"date","Maharashtra/Ahmednagar","Maharashtra/Akola","Maharashtra/Amravati","Maharashtra/Aurangabad","Maharashtra/Beed","Maharashtra/Bhandara","Maharashtra/Buldhana","Maharashtra/Chandrapur","Maharashtra/Dhule","Maharashtra/Gadchiroli","Maharashtra/Gondia","Maharashtra/Hingoli","Maharashtra/Jalgaon","Maharashtra/Jalna","Maharashtra/Kolhapur","Maharashtra/Latur","Maharashtra/Mumbai","Maharashtra/Nagpur","Maharashtra/Nanded","Maharashtra/Nandurbar","Maharashtra/Nashik","Maharashtra/Osmanabad","Maharashtra/Other State","Maharashtra/Palghar","Maharashtra/Parbhani","Maharashtra/Pune","Maharashtra/Raigad","Maharashtra/Ratnagiri","Maharashtra/Sangli","Maharashtra/Satara","Maharashtra/Sindhudurg","Maharashtra/Solapur","Maharashtra/Thane","Maharashtra/Unknown","Maharashtra/Wardha","Maharashtra/Washim","Maharashtra/Yavatmal"
"2020-04-03","","","","","","","","","","","","","","","","","-20.37 %","","","","","","","","","-40.00 %","","-50.00 %","","","",""," 11.11 %","","","   .00 %",""
"2020-04-04","","","   .00 %","","","","","","","","","   .00 %","   .00 %","","","   .00 %"," ##.## %","-50.00 %","","",""," ##.## %","","",""," 66.67 %","   .00 %","","","","",""," ##.## %","","","",""
"2020-04-05","-55.56 %","",""," ##.## %","","","","","","","","","","","","","-18.18 %","","","","","","","-66.67 %",""," 70.00 %"," ##.## %","","","","","","-95.24 %","","","",""
"2020-04-06","-50.00 %","","","-25.00 %","","","","","","","","","","   .00 %","","","-17.28 %","","","","   .00 %","",""," ##.## %",""," ##.## %","","",""," ##.## %","","","","","","",""
"2020-04-07","   .00 %","","","   .00 %","",""," ##.## %","","","","","","","","",""," 85.07 %"," ##.## %","","","","","","-25.00 %","   .00 %","-75.61 %","","   .00 %","   .00 %","-50.00 %","","","","","","",""
"2020-04-08","","   .00 %","","","","","-50.00 %","","","","","","","","","","-41.94 %","","","","","","","",""," ##.## %","","","","","",""," ##.## %","","","",""
"2020-04-09",""," ##.## %"," ##.## %"," 33.33 %","   .00 %",""," ##.## %","","","","","","",""," ##.## %",""," ##.## %","","",""," ##.## %","","","-66.67 %","","-55.26 %","","   .00 %","","   .00 %","",""," ##.## %","","","",""
"2020-04-10","","-62.50 %","","","","","-33.33 %","","","","","","","","","","-18.52 %"," ##.## %","","","","","","   .00 %",""," ##.## %","","   .00 %","","","",""," 46.67 %","","","",""
"2020-04-11","-50.00 %","","","-50.00 %","","","","","","","","","","","-50.00 %","","  4.55 %","","",""," 40.00 %","",""," ##.## %","","-78.57 %","-66.67 %","","","","","","  9.09 %","","","",""
"2020-04-12","","-66.67 %","","","","","","","","","","","","","",""," 10.14 %"," ##.## %","","","-42.86 %","",""," ##.## %","","-33.33 %"," ##.## %","","","","","   .00 %"," 75.00 %","","","",""
"2020-04-13","   .00 %","",""," ##.## %","",""," ##.## %","","   .00 %","","","","","","",""," 59.21 %","-82.35 %","",""," ##.## %","","","-28.57 %",""," ##.## %","-60.00 %","","","","","","-50.00 %","","","","-50.00 %"
"2020-04-14","","","-66.67 %","","","","","","","","","","","","","","-10.74 %"," ##.## %","","","-26.67 %","","","-20.00 %",""," -4.44 %","-50.00 %","   .00 %","","",""," ##.## %"," ##.## %","","","",""
"2020-04-15","","   .00 %","","","","","   .00 %","","","","","","","","","","-35.19 %","-88.89 %","","","","","","-25.00 %",""," 27.91 %","","","","",""," ##.## %","-76.67 %","","","",""
"2020-04-16","   .00 %","",""," 25.00 %","","","","   .00 %","","","","","","   .00 %","",""," 26.43 %"," ##.## %","","","-81.82 %","",""," 33.33 %",""," 20.00 %"," ##.## %","","","","","-71.43 %"," -7.14 %","","",""," ##.## %"
"2020-04-17","","","","","","","","","","","","","","","","","-93.22 %","-66.67 %","",""," ##.## %","",""," ##.## %","","-53.03 %"," ##.## %","","","","",""," 38.46 %","","","",""
"2020-04-18","-##.## %","   .00 %","   .00 %","-80.00 %","","","","","","","","","","","",""," ##.## %"," ##.## %","","   .00 %","","","","-76.47 %",""," ##.## %","-66.67 %","",""," ##.## %","","   .00 %"," 66.67 %","","","",""
"2020-04-19","   .00 %","   .00 %","","   .00 %","","","","","","","","","","-##.## %","   .00 %",""," ##.## %"," ##.## %","",""," ##.## %","",""," ##.## %","","-77.01 %","-##.## %","","","","","-50.00 %","-76.67 %","","","","-87.50 %"
"2020-04-20","","","","","","","","","","","","","",""," ##.## %","","-32.46 %","-30.00 %","","","-76.47 %","",""," 15.79 %",""," ##.## %","   .00 %","   .00 %","","-50.00 %",""," ##.## %"," ##.## %","","","","   .00 %"
"2020-04-21","","",""," ##.## %","","","",""," ##.## %","","","","   .00 %","","-50.00 %",""," 36.04 %"," 42.86 %",""," ##.## %","","","","","","  1.92 %","-75.00 %","   .00 %","","","","-33.33 %","-20.00 %","","","","   .00 %"
"2020-04-22",""," ##.## %","   .00 %","-40.00 %","","","-25.00 %",""," 66.67 %","",""," ##.## %"," ##.## %","   .00 %","","","-44.63 %","   .00 %","   .00 %","   .00 %"," 25.00 %","","","-54.55 %",""," 67.92 %","-50.00 %","","   .00 %"," 50.00 %",""," 25.00 %","-31.82 %","","",""," ##.## %"
"2020-04-23"," ##.## %","-##.## %","","-33.33 %","","","",""," 60.00 %","","","","-33.33 %","","",""," ##.## %","","",""," 50.00 %","","","-##.## %",""," 17.98 %","-##.## %","","-##.## %"," 33.33 %","","-40.00 %"," ##.## %","","","","-##.## %"
"2020-04-24","-66.67 %","   .00 %"," ##.## %","   .00 %","","","-##.## %","","-37.50 %","","","","","","   .00 %","-87.50 %","-53.64 %","-90.00 %","","","-53.33 %","","","   .00 %","","-51.43 %","   .00 %","","","",""," ##.## %","-58.97 %","","","","   .00 %"
"2020-04-25"," ##.## %","","   .00 %"," ##.## %","","","","","-40.00 %","","","-83.33 %"," ##.## %","","",""," ##.## %"," ##.## %",""," 33.33 %","-42.86 %","","","-20.00 %",""," 35.29 %","-50.00 %","",""," ##.## %",""," 16.67 %"," 54.17 %","","","","-16.67 %"
"2020-04-26","-50.00 %"," ##.## %","-83.33 %","","","","","","","","",""," 20.00 %","","","","-40.53 %","","","","","","","-50.00 %","","-68.12 %","-50.00 %","","   .00 %","","","-85.71 %","-71.62 %","","",""," ##.## %"
"2020-04-27"," ##.## %",""," ##.## %","-75.00 %","","   .00 %","   .00 %","","","","","","-83.33 %","","   .00 %","   .00 %","  3.07 %"," ##.## %"," ##.## %",""," ##.## %","",""," ##.## %",""," ##.## %"," ##.## %","","","",""," ##.## %","-33.33 %","","","","-30.00 %"
"2020-04-28","","   .00 %"," ##.## %"," ##.## %","","","   .00 %","","","",""," ##.## %"," ##.## %","","   .00 %"," ##.## %","  6.50 %","-60.00 %","",""," ##.## %","",""," ##.## %",""," 59.57 %"," 25.00 %","","","   .00 %",""," -5.56 %"," ##.## %","","","","-35.71 %"
"2020-04-29","","   .00 %","","-60.53 %","","","","","","","","","","","",""," 20.87 %","-62.50 %","","","","","","-72.22 %","","-76.00 %","-40.00 %",""," ##.## %","","   .00 %","-82.35 %","-19.44 %","","","   .00 %","-11.11 %"
"2020-04-30","","",""," 73.33 %","","","","","","","","","",""," ##.## %","","-12.21 %","-66.67 %","","","-95.92 %","","   .00 %","","   .00 %"," ##.## %","-33.33 %","","","   .00 %",""," ##.## %","  5.17 %","","","",""
"2020-05-01","","",""," 15.38 %","","","   .00 %","-50.00 %","-66.67 %","","","   .00 %","-80.00 %","   .00 %","-50.00 %",""," 80.10 %","","-50.00 %",""," ##.## %","","   .00 %","   .00 %","   .00 %"," 21.43 %"," 50.00 %","","-50.00 %","","","-35.71 %"," 19.67 %","","","",""
"2020-05-02",""," ##.## %","-50.00 %"," 96.67 %","","","","","   .00 %","",""," ##.## %","-50.00 %"," ##.## %","   .00 %","","-27.16 %"," ##.## %","","-75.00 %","-55.56 %","","","-10.00 %","","-66.18 %","-33.33 %"," ##.## %","   .00 %","   .00 %","   .00 %","-22.22 %"," -4.11 %","","","",""
"2020-05-03","   .00 %"," 30.00 %","   .00 %","-59.32 %","","","","   .00 %","   .00 %","","","-66.67 %","","","","","-19.38 %","-14.29 %"," ##.## %",""," 10.00 %","","   .00 %","-11.11 %",""," ##.## %"," ##.## %","-50.00 %","","-75.00 %","","-85.71 %","-20.00 %","","","",""
"2020-05-04","-##.## %","-##.## %"," ##.## %"," ##.## %","","","   .00 %",""," ##.## %","",""," ##.## %"," ##.## %","","-##.## %"," ##.## %"," 15.65 %"," ##.## %",""," ##.## %"," ##.## %","","   .00 %","   .00 %","-##.## %"," ##.## %"," ##.## %","-##.## %"," ##.## %"," ##.## %","-##.## %"," ##.## %"," 71.43 %","","","-##.## %"," 50.00 %"
"2020-05-05","   .00 %","   .00 %","-87.50 %","-60.87 %","","","","","","","","-70.00 %","-90.91 %","","   .00 %",""," 24.51 %","-68.18 %","","-83.33 %","-72.45 %","","   .00 %","-##.## %","","-92.93 %"," ##.## %","","","","   .00 %","-92.31 %"," 72.92 %","","","","-91.67 %"
"2020-05-06",""," ##.## %"," ##.## %"," 22.22 %","","","","","","","","   .00 %"," ##.## %","","   .00 %",""," 21.10 %","-85.71 %","",""," ##.## %",""," ##.## %","   .00 %","","-43.18 %","-79.31 %","   .00 %","-66.67 %","   .00 %","   .00 %"," ##.## %"," 27.71 %","","","",""
"2020-05-07","","-20.00 %","","-18.18 %","","","","","   .00 %","","",""," 85.71 %","","","-14.29 %","-11.57 %"," ##.## %","   .00 %",""," 29.63 %","","   .00 %"," 15.79 %",""," 68.00 %"," ##.## %","","","-50.00 %","","-82.22 %"," 28.77 %","","","   .00 %","   .00 %"
"2020-05-08",""," 37.50 %","-41.67 %","-14.81 %","","","   .00 %","","   .00 %","","",""," 38.46 %","-20.00 %","",""," 10.00 %","-75.00 %","","","-65.71 %","","","-68.18 %",""," 14.29 %","-53.85 %","-83.33 %","","","   .00 %","-75.00 %","-39.93 %","","","   .00 %"," ##.## %"
"2020-05-09","   .00 %","   .00 %","-71.43 %","-17.39 %","","","","","   .00 %","","",""," ##.## %","","   .00 %",""," -3.48 %"," ##.## %","   .00 %",""," 58.33 %","","-50.00 %"," 14.29 %","","   .00 %","  8.33 %","   .00 %","","   .00 %",""," ##.## %"," 24.39 %","","","",""
"2020-05-10","-57.14 %","-27.27 %",""," ##.## %","","","   .00 %","","-77.78 %","","","-66.67 %"," 21.62 %","","","-83.33 %"," 21.19 %"," ##.## %"," ##.## %","   .00 %"," 68.42 %","","   .00 %"," 87.50 %",""," ##.## %","-69.23 %"," ##.## %","   .00 %"," ##.## %","   .00 %"," ##.## %"," -6.37 %","","","   .00 %","-50.00 %"
"2020-05-11","","-81.25 %","   .00 %","-87.30 %","","","   .00 %","","","","","   .00 %","-95.56 %","-50.00 %",""," ##.## %","-10.63 %","-70.37 %","-80.00 %","","-42.19 %",""," ##.## %"," 53.33 %","","-75.77 %"," ##.## %","-66.67 %","","-90.48 %","","-23.33 %","-24.61 %","","   .00 %","","   .00 %"
"2020-05-12","-66.67 %"," ##.## %"," ##.## %"," ##.## %","","","","","   .00 %","","","   .00 %"," ##.## %","   .00 %","","","-45.52 %"," 12.50 %","-50.00 %",""," 21.62 %","-50.00 %","","-34.78 %",""," 34.55 %","-59.38 %"," ##.## %","   .00 %","   .00 %","","-54.35 %"," 54.17 %","","","   .00 %","   .00 %"
"2020-05-13",""," ##.## %","","-60.87 %","","","","","-11.11 %","","",""," 16.67 %","","   .00 %","   .00 %"," 87.79 %"," ##.## %"," ##.## %","","-77.78 %","",""," 66.67 %",""," 51.35 %"," ##.## %","-61.54 %"," ##.## %","   .00 %","   .00 %","-85.71 %"," 13.06 %","","","   .00 %","   .00 %"
"2020-05-14","   .00 %","-30.43 %","   .00 %"," 33.33 %","","","   .00 %","   .00 %","","","","   .00 %"," 21.43 %"," ##.## %","   .00 %",""," 23.88 %","-71.43 %","",""," ##.## %","","","-56.00 %","","-31.70 %","-42.42 %"," ##.## %","-33.33 %","",""," ##.## %","-11.55 %","","","",""
"2020-05-15","-83.33 %"," 12.50 %"," ##.## %"," 72.22 %","","","","","-62.50 %","","","   .00 %"," 35.29 %","-75.00 %","",""," -5.85 %","-78.57 %","   .00 %","","-67.86 %"," ##.## %",""," ##.## %","   .00 %","  9.15 %"," ##.## %","-86.96 %","-50.00 %","-50.00 %","","-12.50 %"," -4.50 %","","   .00 %","",""
"2020-05-16","   .00 %","-44.44 %","-33.33 %"," 53.23 %","","","   .00 %","","   .00 %","","","","-82.61 %","","-33.33 %","   .00 %"," -5.25 %"," ##.## %","   .00 %","   .00 %","-44.44 %","-50.00 %","","  3.85 %","","  -.60 %","-66.15 %"," 66.67 %","   .00 %"," ##.## %"," ##.## %","-71.43 %"," 58.02 %","","","",""
"2020-05-17"," ##.## %"," ##.## %"," ##.## %","-30.53 %"," ##.## %","   .00 %","   .00 %","","   .00 %","","","   .00 %"," ##.## %","   .00 %"," ##.## %"," ##.## %"," 80.43 %","-72.22 %"," ##.## %","   .00 %"," 60.00 %","",""," 11.11 %","","  4.82 %"," 40.91 %","-20.00 %"," ##.## %","","","-66.67 %","-16.12 %","","","",""
"2020-05-18"," ##.## %","-84.85 %","-37.50 %","-46.97 %","","","","","   .00 %","","","-73.33 %"," 62.50 %"," 14.29 %"," 77.78 %","-40.00 %","-25.71 %"," ##.## %","-10.00 %"," ##.## %","-62.50 %"," ##.## %","-60.00 %","-43.33 %","-75.00 %"," 43.68 %","-12.90 %"," 50.00 %","-40.00 %","   .00 %",""," ##.## %","  2.14 %","","   .00 %","","   .00 %"
"2020-05-19","-##.## %"," ##.## %","-20.00 %"," 54.29 %","   .00 %"," ##.## %","-25.00 %","","-66.67 %","   .00 %","","-62.50 %","-57.69 %","-75.00 %"," 81.25 %",""," 19.07 %","-27.78 %","-88.89 %","","-##.## %",""," 50.00 %"," 52.94 %","   .00 %","-32.40 %"," 33.33 %","-83.33 %","-33.33 %","-77.78 %","","-82.14 %","  8.71 %","","","","   .00 %"
"2020-05-20","   .00 %"," 76.92 %","   .00 %","   .00 %","","","-66.67 %","","","-80.00 %"," ##.## %","","",""," ##.## %",""," -2.76 %"," ##.## %","   .00 %","","   .00 %","","-33.33 %","-53.85 %","   .00 %"," 40.24 %","-33.33 %"," ##.## %","   .00 %"," ##.## %",""," ##.## %","-40.38 %","",""," ##.## %","   .00 %"
"2020-05-21","-50.00 %"," 47.83 %"," ##.## %","-18.52 %"," ##.## %","-50.00 %"," ##.## %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"," ##.## %","-62.07 %","   .00 %","   .73 %","-60.00 %"," ##.## %","-50.00 %"," 39.29 %","   .00 %",""," ##.## %"," ##.## %","-20.68 %","   .00 %","-50.00 %"," ##.## %","-50.00 %","   .00 %","-74.24 %"," 97.85 %","","",""," ##.## %"
"2020-05-22"," ##.## %","-32.35 %","-70.59 %"," 38.64 %"," 62.50 %","","-75.00 %","","-81.82 %"," ##.## %"," ##.## %","-33.33 %"," ##.## %","-40.00 %"," 54.55 %"," 75.00 %"," 26.70 %"," 64.29 %","-50.00 %"," ##.## %","-71.79 %","-12.50 %","","-40.38 %","-55.56 %"," 74.47 %","  4.17 %"," 71.43 %"," 33.33 %"," 42.86 %","","-41.18 %"," 22.01 %","","","","-77.78 %"
"2020-05-23","-80.00 %","-73.91 %"," ##.## %","-47.54 %","","","","-90.00 %",""," ##.## %","-56.00 %","","-87.50 %"," ##.## %","   .00 %","-14.29 %","-10.57 %","-78.26 %","",""," 18.18 %","-57.14 %",""," 67.74 %","","  7.93 %"," 40.00 %","-41.67 %","-62.50 %","",""," ##.## %"," -8.02 %","","","",""
"2020-05-24","   .00 %"," ##.## %","  9.09 %"," 15.62 %","","-50.00 %","   .00 %"," ##.## %","   .00 %","","","","   .00 %","-75.00 %","-11.76 %","-33.33 %"," 10.15 %"," 20.00 %","","","-61.54 %","-33.33 %","-50.00 %"," 26.92 %",""," -5.37 %"," ##.## %"," 85.71 %"," ##.## %","   .00 %","   .00 %"," -2.86 %"," 19.85 %","","   .00 %","","   .00 %"
"2020-05-25"," ##.## %","-37.93 %"," 16.67 %","-10.81 %","-53.85 %"," ##.## %","   .00 %"," 66.67 %","","-50.00 %","-63.64 %","   .00 %","-12.50 %"," ##.## %","-73.33 %"," ##.## %","-17.10 %","-33.33 %","",""," ##.## %"," ##.## %"," ##.## %","-37.88 %","-50.00 %"," -6.27 %","-61.11 %"," -7.69 %","-50.00 %","-53.33 %","","-35.29 %","-32.73 %",""," ##.## %","",""
"2020-05-26"," 75.00 %"," -5.56 %","-21.43 %","-36.36 %","",""," ##.## %","-80.00 %","-47.62 %"," ##.## %","   .00 %","-95.00 %"," ##.## %"," 42.86 %"," ##.## %","","-29.93 %"," 50.00 %","   .00 %","","-48.65 %","","-50.00 %","-14.63 %","-50.00 %","  7.96 %"," 10.20 %","-66.67 %"," 33.33 %","-28.57 %","   .00 %","  4.55 %","  7.21 %","","-50.00 %","",""
"2020-05-27","-57.14 %"," ##.## %","-90.91 %"," 19.05 %"," 33.33 %"," 25.00 %","-50.00 %","","","","-75.00 %",""," ##.## %","-40.00 %","-91.78 %","   .00 %","  4.19 %","-50.00 %","","","  5.26 %","   .00 %","   .00 %","-45.71 %","","-17.70 %"," -5.56 %"," ##.## %"," 75.00 %"," ##.## %",""," 43.48 %"," 30.53 %",""," ##.## %","",""
"2020-05-28"," 66.67 %","-16.00 %"," ##.## %"," 40.00 %","-87.50 %","-80.00 %","-50.00 %","","   .00 %","-81.82 %"," ##.## %"," ##.## %","-63.79 %"," 33.33 %","-16.67 %","  8.33 %"," 40.52 %"," ##.## %","   .00 %",""," 55.00 %"," 12.50 %","   .00 %"," ##.## %"," ##.## %","  1.08 %"," -5.88 %","-42.86 %","   .00 %","-39.29 %",""," -3.03 %"," -5.79 %","","-66.67 %","","   .00 %"
"2020-05-29","-20.00 %","-80.95 %"," 66.67 %"," 14.29 %"," ##.## %"," ##.## %","-50.00 %","   .00 %","   .00 %"," 50.00 %"," ##.## %",""," 38.10 %"," ##.## %"," ##.## %","-92.31 %"," -1.36 %"," 45.45 %","","   .00 %","-12.90 %"," 11.11 %"," ##.## %"," 62.96 %","-86.67 %"," 15.96 %"," 14.58 %","   .00 %","-57.14 %","-11.76 %","-77.78 %"," 81.25 %"," -4.78 %","","","   .00 %"," ##.## %"
"2020-05-30"," ##.## %"," ##.## %"," ##.## %"," 30.00 %","","-20.00 %"," ##.## %","   .00 %","-16.67 %","-66.67 %","-57.14 %","   .00 %"," 79.31 %","-93.33 %"," 78.57 %"," ##.## %","  4.35 %"," ##.## %","   .00 %","   .00 %"," 51.85 %","-80.00 %"," 50.00 %","-37.50 %"," ##.## %"," -3.98 %","-21.82 %"," ##.## %"," ##.## %","  3.33 %"," ##.## %"," 77.59 %"," 16.03 %","","","","-83.33 %"
"2020-05-31","   .00 %","-61.76 %"," 18.18 %","-25.00 %","-80.00 %","-25.00 %"," ##.## %","",""," ##.## %"," 66.67 %","","-82.69 %"," ##.## %","-44.00 %","-30.00 %","-17.62 %","-60.00 %","   .00 %","   .00 %","-41.46 %"," ##.## %",""," -9.09 %","-60.00 %"," 21.66 %"," 53.49 %","-15.38 %","","  6.45 %","","-75.73 %"," -4.74 %","","   .00 %","",""
"2020-06-01",""," 46.15 %","-53.85 %","  7.69 %","","","-75.00 %","   .00 %","   .00 %","-66.67 %","","   .00 %"," ##.## %","-33.33 %"," 85.71 %",""," 13.59 %","   .00 %"," ##.## %",""," 95.83 %","-57.14 %","-66.67 %","  6.00 %","","-67.02 %","-39.39 %","","   .00 %","-87.88 %",""," 44.00 %","-22.94 %","","-##.## %","",""
"2020-06-02"," 75.00 %"," ##.## %"," ##.## %"," 16.67 %","",""," ##.## %",""," ##.## %"," ##.## %","   .00 %","-97.56 %","-20.00 %","-75.00 %","-34.62 %","","-20.95 %"," 22.22 %","-50.00 %","   .00 %","-36.17 %"," 33.33 %"," ##.## %"," -3.77 %"," 33.33 %"," 19.84 %"," 52.50 %","   .00 %","   .00 %"," ##.## %","   .00 %","-97.22 %"," 30.06 %","","","","   .00 %"
"2020-06-03"," 14.29 %","-87.18 %"," 23.08 %"," 24.49 %","   .00 %"," 66.67 %","-90.00 %","   .00 %","-85.71 %","-50.00 %","   .00 %"," ##.## %","-67.19 %"," ##.## %"," 88.24 %",""," 14.23 %"," -4.55 %","   .00 %","","-23.33 %"," ##.## %","-50.00 %"," 50.98 %","-75.00 %"," 76.82 %","-52.46 %","-75.00 %","-83.33 %","-94.29 %"," 36.84 %"," ##.## %","  -.43 %","","   .00 %",""," ##.## %"
"2020-06-04","-79.17 %"," ##.## %","-31.25 %","   .00 %","   .00 %","-80.00 %"," ##.## %","   .00 %"," ##.## %","   .00 %","   .00 %","-50.00 %"," ##.## %","-79.17 %","-92.19 %","   .00 %"," 12.77 %"," 28.57 %"," ##.## %","   .00 %"," ##.## %","-54.55 %","   .00 %","-54.55 %","   .00 %"," 35.58 %"," 89.66 %"," 50.00 %","-50.00 %"," ##.## %","-65.38 %"," -5.10 %"," 20.39 %","","   .00 %","   .00 %","-58.82 %"
"2020-06-05"," ##.## %"," 50.00 %","-72.73 %","  9.84 %","","","-66.67 %"," ##.## %","-20.00 %","   .00 %",""," ##.## %","-38.03 %"," ##.## %"," ##.## %","-83.33 %","-20.15 %","-29.63 %","-77.27 %","-50.00 %"," 12.90 %"," ##.## %","   .00 %"," 45.71 %","   .00 %","-37.57 %"," 25.45 %","   .00 %"," ##.## %","-85.00 %"," ##.## %"," -1.08 %","-17.66 %","","   .00 %","","-28.57 %"
"2020-06-06","-88.89 %","-27.08 %"," ##.## %"," 19.40 %","   .00 %","   .00 %"," ##.## %","-50.00 %"," ##.## %","","","-90.91 %"," 52.27 %","-36.36 %","-55.56 %"," ##.## %"," 10.88 %"," ##.## %"," 20.00 %","","-35.71 %"," 20.00 %",""," 98.04 %","-50.00 %","  5.31 %","-28.99 %","-46.67 %","   .00 %"," ##.## %","-55.56 %","-52.17 %"," 28.45 %","","   .00 %","",""
"2020-06-07"," ##.## %","-54.29 %","-71.43 %"," 30.00 %","   .00 %","","-75.00 %","   .00 %","-80.56 %","   .00 %","   .00 %"," ##.## %"," 28.36 %"," 57.14 %"," 12.50 %","-33.33 %"," 11.46 %","-84.21 %","-83.33 %",""," ##.## %","-50.00 %"," ##.## %"," -1.98 %",""," 74.79 %","-38.78 %","-75.00 %","-44.44 %","-89.74 %",""," 86.36 %"," -6.30 %","","   .00 %","   .00 %",""
"2020-06-08","-61.54 %"," ##.## %"," 50.00 %","-31.73 %","-50.00 %","   .00 %"," ##.## %"," ##.## %"," ##.## %"," ##.## %","   .00 %","-85.71 %","-62.79 %"," 81.82 %","-88.89 %","-50.00 %"," -7.68 %"," 55.56 %","   .00 %","","-34.86 %","-83.33 %","-57.14 %","-17.17 %","","-58.65 %","-33.33 %"," ##.## %"," ##.## %"," ##.## %","   .00 %"," -7.32 %"," -6.55 %","","","","   .00 %"
"2020-06-09","-60.00 %","-75.00 %","-33.33 %","-30.99 %"," ##.## %","-50.00 %","-75.00 %",""," 26.09 %","-50.00 %","   .00 %",""," ##.## %","-95.00 %"," ##.## %","   .00 %","-22.58 %"," 92.86 %","   .00 %",""," -4.23 %","","   .00 %","-15.85 %",""," 13.95 %"," 95.00 %","-58.82 %","-50.00 %"," 80.00 %","   .00 %","-35.53 %","  4.09 %","",""," ##.## %","-66.67 %"
