"date","Chhattisgarh/Balod","Chhattisgarh/Baloda Bazar","Chhattisgarh/Balrampur","Chhattisgarh/Bametara","Chhattisgarh/Bastar","Chhattisgarh/Bijapur","Chhattisgarh/Bilaspur","Chhattisgarh/Dakshin Bastar Dantewada","Chhattisgarh/Dhamtari","Chhattisgarh/Durg","Chhattisgarh/Gariaband","Chhattisgarh/Gaurela Pendra Marwahi","Chhattisgarh/Janjgir Champa","Chhattisgarh/Jashpur","Chhattisgarh/Kabeerdham","Chhattisgarh/Kondagaon","Chhattisgarh/Korba","Chhattisgarh/Koriya","Chhattisgarh/Mahasamund","Chhattisgarh/Mungeli","Chhattisgarh/Narayanpur","Chhattisgarh/Other State","Chhattisgarh/Raigarh","Chhattisgarh/Raipur","Chhattisgarh/Rajnandgaon","Chhattisgarh/Sukma","Chhattisgarh/Surajpur","Chhattisgarh/Surguja","Chhattisgarh/Unknown","Chhattisgarh/Uttar Bastar Kanker"
"2020-07-20","4","26","1","7","","0","7","4","1","15","","","5","0","","0","","1","1","","","","1","57","24","0","2","11","","2"
"2020-07-21","","4","1","4","0","0","23","0","13","6","5","3","2","2","","0","","0","","","2","1","1","82","11","1","","6","","3"
"2020-07-22","5","2","6","0","6","0","7","7","","17","1","","14","0","","4","1","6","1","0","0","","2","13","0","4","0","15","","5"
"2020-07-23","1","2","","4","0","5","26","0","2","20","3","","2","0","0","0","6","0","0","0","18","","2","18","40","","0","0","","8"
"2020-07-24","2","0","0","1","0","0","0","0","0","35","0","","20","-2","8","0","0","6","0","9","12","","0","63","0","","0","12","","14"
"2020-07-25","2","1","1","3","0","","10","0","3","11","","","7","0","1","3","0","","1","","7","2","1","26","2","","","12","","23"
"2020-07-26","0","0","2","1","26","0","64","4","2","7","2","","6","1","0","","0","1","0","2","","","5","112","0","2","3","14","","7"
"2020-07-27","9","5","","7","0","","16","14","2","14","1","","13","","2","","3","0","6","","","","0","87","21","","7","2","","19"
"2020-07-28","","7","0","","0","1","17","15","1","14","1","","16","7","15","19","4","7","6","4","0","","1","120","2","","0","10","","0"
"2020-07-29","","3","0","","4","","6","2","0","6","5","1","0","1","3","0","2","0","1","14","7","","4","109","1","","0","28","",""
"2020-07-30","","0","2","3","0","24","21","3","0","30","6","0","7","2","0","5","4","3","1","10","5","1","0","106","27","","0","3","","22"
"2020-07-31","7","10","3","5","22","16","2","7","1","12","0","2","20","9","1","0","10","4","0","","6","0","9","122","17","","1","0","","23"
"2020-08-01","1","0","12","5","6","","45","","0","19","0","","27","","2","0","","2","0","0","0","","5","204","17","13","9","13","","0"
"2020-08-02","","1","2","1","0","0","25","6","0","118","7","13","0","","","5","2","2","0","","1","","7","152","19","16","-2","6","","0"
"2020-08-03","0","11","","4","17","2","7","2","0","64","2","","1","2","","","0","","1","0","1","","6","125","0","5","0","1","","14"
"2020-08-04","3","12","2","1","3","0","10","4","0","29","1","5","16","3","23","0","","0","0","6","1","1","7","178","40","5","0","7","","0"
"2020-08-05","2","6","","0","1","","19","1","0","23","0","","7","5","15","27","12","4","0","-1","12","0","5","96","18","","0","5","","1"
"2020-08-06","1","8","2","0","2","0","13","2","5","48","0","1","7","-2","","0","10","0","1","1","0","0","0","110","0","0","1","7","","0"
"2020-08-07","0","9","1","0","19","23","29","2","1","13","0","0","0","0","1","4","0","3","8","0","0","0","6","88","15","0","2","2","","5"
"2020-08-08","1","13","0","0","7","0","8","0","0","10","7","","12","4","2","8","0","8","0","0","0","0","0","77","92","5","9","0","","0"
"2020-08-09","0","1","7","0","4","0","16","0","","60","0","","0","2","","0","1","2","1","2","","0","0","126","1","0","2","1","","1"
"2020-08-10","3","4","1","1","4","0","17","0","1","20","0","","9","0","3","4","6","8","13","1","0","0","19","60","30","0","1","1","","2"
"2020-08-11","3","3","","0","3","0","15","7","3","6","4","","16","26","","9","5","8","7","0","1","0","15","57","13","6","0","7","","8"
"2020-08-12","1","0","26","0","17","2","6","","15","24","1","","1","2","","","6","4","1","0","0","0","3","107","47","0","0","4","","2"
"2020-08-13","0","8","0","6","0","0","18","0","0","19","1","","0","2","1","0","1","0","0","2","0","0","2","60","5","0","19","0","","6"
"2020-08-14","0","14","4","0","3","0","8","","0","9","0","","11","1","1","0","6","0","10","","0","0","23","74","30","0","5","0","","0"
"2020-08-15","1","0","10","0","8","","6","","0","13","4","","10","6","0","0","0","0","6","","0","0","16","80","24","1","1","3","","0"
"2020-08-16","7","0","3","0","1","0","66","0","4","14","7","","4","4","0","9","0","0","15","","0","0","3","30","3","0","0","10","","9"
"2020-08-17","0","14","2","4","10","3","8","6","1","10","11","","11","1","2","0","8","1","2","1","0","","2","212","31","8","12","2","","1"
"2020-08-18","1","17","0","8","3","0","9","2","0","5","0","","13","6","4","0","4","7","17","6","0","","21","60","45","2","0","2","","17"
"2020-08-19","1","8","0","10","19","4","10","2","1","10","0","2","4","0","1","0","2","5","7","0","71","1","8","101","61","0","1","3","","6"
"2020-08-20","1","4","0","27","6","0","33","1","0","13","4","","8","18","39","5","4","0","4","1","34","","1","278","60","8","0","5","","0"
"2020-08-21","24","0","1","3","7","0","5","5","4","15","1","","16","0","0","0","2","2","22","2","13","2","42","75","19","0","0","23","","0"
"2020-08-22","5","12","1","13","13","2","49","2","1","17","1","","1","3","0","0","0","0","2","1","7","2","96","83","45","0","1","5","","10"
"2020-08-23","7","1","2","1","4","7","6","3","1","176","4","0","21","9","","2","9","14","0","2","3","0","24","113","91","15","8","14","","0"
"2020-08-24","5","2","2","1","21","2","26","2","13","166","6","0","6","3","0","4","8","0","0","0","4","1","42","122","9","28","7","6","","7"
"2020-08-25","28","4","2","1","0","1","6","0","1","10","2","0","3","1","12","10","1","3","6","0","19","3","48","99","38","3","4","1","","2"
"2020-08-26","5","29","2","4","3","0","27","2","3","13","1","0","20","15","0","12","37","3","7","0","14","1","31","126","8","1","4","21","","24"
"2020-08-27","1","1","1","0","6","0","11","3","14","11","8","0","13","20","6","3","1","9","15","0","13","1","13","238","15","20","6","18","","15"
"2020-08-28","33","3","0","1","14","43","24","0","8","30","25","","9","1","3","26","0","21","8","1","0","2","29","154","40","10","3","7","","7"
"2020-08-29","14","21","2","15","9","0","89","7","1","25","29","","4","30","5","16","0","28","12","3","16","0","104","189","22","29","14","16","","9"
"2020-08-30","5","44","0","0","1","0","1","0","29","18","0","","3","6","0","0","20","6","27","0","5","0","91","124","88","4","0","0","","13"
"2020-08-31","23","9","0","7","10","0","8","33","4","24","","0","74","1","12","8","20","15","1","28","26","3","65","191","40","27","3","28","","26"
"2020-09-01","21","27","3","42","3","23","1","20","17","8","21","0","22","0","1","31","30","4","17","5","20","0","81","101","7","39","7","13","","14"
"2020-09-02","1","18","2","25","10","12","87","0","13","9","9","0","66","7","0","2","14","0","0","0","5","0","61","129","34","35","17","73","","24"
"2020-09-03","0","5","3","21","6","43","10","6","29","16","11","","18","13","6","0","14","21","15","5","19","0","104","228","65","16","27","16","","13"
"2020-09-04","0","38","12","1","75","0","10","9","1","44","2","","3","0","16","15","34","6","62","14","24","0","36","156","14","5","10","19","","52"
"2020-09-05","32","40","11","42","9","0","50","11","48","19","13","0","66","7","4","15","0","2","26","34","17","1","95","247","45","13","20","7","","5"
"2020-09-06","3","0","10","37","38","0","36","0","14","19","12","","2","5","0","0","9","0","0","","11","1","22","328","48","80","12","22","","2"
"2020-09-07","17","44","0","9","48","0","25","11","25","229","5","1","4","5","0","2","39","20","2","0","25","6","43","307","40","28","33","5","","6"
"2020-09-08","30","2","1","2","9","7","14","7","11","60","41","0","31","10","0","18","33","20","7","13","13","5","62","113","63","11","11","16","","5"
"2020-09-09","16","63","7","2","35","237","50","4","7","42","63","0","32","12","0","1","54","10","3","14","0","5","9","366","58","22","18","15","","1"
"2020-09-10","14","46","20","7","131","10","60","40","60","602","5","4","44","15","18","18","82","31","0","1","45","1","160","228","126","18","11","109","","11"
"2020-09-11","9","49","11","22","57","16","38","11","15","145","20","0","127","11","3","32","61","9","4","12","12","8","115","217","107","45","12","26","","74"
"2020-09-12","29","34","0","14","40","14","0","9","18","93","28","0","10","4","6","15","0","9","27","0","13","0","110","215","120","11","11","25","","0"
"2020-09-13","71","53","6","15","55","14","72","13","5","169","30","-2","53","12","56","20","52","18","61","0","24","0","124","2703","227","9","26","47","","20"
"2020-09-14","3","2","0","24","42","0","52","0","0","4","46","0","0","41","18","39","43","35","58","3","28","0","194","325","117","10","45","32","","17"
"2020-09-15","25","5","41","16","55","28","17","7","40","109","18","","15","2","3","3","26","9","55","14","0","0","69","459","70","0","8","11","","24"
"2020-09-16","42","6","9","35","10","","346","","0","10","27","0","3","18","49","3","33","0","50","1","0","0","115","593","194","35","38","30","","0"
"2020-09-17","184","61","11","86","25","147","537","0","154","127","0","0","205","0","5","26","11","25","44","3","0","69","17","3188","153","42","25","75","","6"
"2020-09-18","29","171","49","38","44","41","184","0","35","238","3","5","182","4","3","48","38","20","112","15","0","0","236","1512","116","41","6","64","","47"
"2020-09-19","46","19","22","54","3","24","127","0","10","114","4","","19","1","0","13","32","1","62","0","0","0","85","882","76","25","12","58","","0"
"2020-09-20","42","10","0","3","1","21","159","36","30","481","2","","1","0","18","14","9","0","27","0","31","","184","254","129","7","81","26","","6"
"2020-09-21","61","23","3","54","13","17","145","0","33","435","0","20","41","0","16","20","31","6","71","0","1","0","172","435","35","124","49","84","","22"
"2020-09-22","57","31","0","28","4","62","316","14","14","265","5","4","24","6","105","6","22","1","78","24","0","0","82","682","296","110","5","73","","123"
"2020-09-23","27","14","2","24","134","3","1228","96","154","488","23","0","18","32","395","41","22","78","39","83","2","0","189","308","1022","45","168","35","","102"
"2020-09-24","55","6","12","5","3","45","226","24","81","398","2","1","171","34","0","2","17","53","91","53","14","3","158","375","139","28","2","58","","4"
"2020-09-25","139","209","82","43","91","114","699","372","82","2090","240","123","390","44","70","219","47","410","293","281","61","0","315","681","541","50","120","134","","87"
"2020-09-26","65","160","29","40","2","31","289","86","247","210","49","43","569","4","69","51","215","6","58","33","4","3","646","742","244","27","57","68","","48"
"2020-09-27","66","39","12","17","42","0","49","36","3","121","4","18","226","40","10","53","24","4","20","0","0","1","59","212","106","50","6","22","","29"
"2020-09-28","89","138","74","39","69","4","49","112","17","174","4","12","178","-24","83","7","24","17","100","18","104","6","139","442","114","107","62","109","","46"
"2020-09-29","117","506","31","73","335","49","158","145","276","210","20","6","186","112","322","48","252","26","82","60","73","1","155","349","125","23","106","62","","69"
"2020-09-30","58","123","19","9","73","212","398","133","24","321","220","","154","45","90","52","130","1","112","7","29","","140","366","257","77","70","60","","24"
"2020-10-01","83","109","18","77","209","171","164","132","147","198","85","","124","6","40","38","91","34","66","112","76","8","194","407","201","50","66","45","","30"
"2020-10-02","77","163","40","7","263","53","93","98","163","295","44","9","67","33","83","10","82","81","27","51","50","0","183","1092","100","31","57","96","","48"
"2020-10-03","87","64","61","65","44","26","218","125","84","280","34","9","94","21","100","51","110","85","73","85","46","1","289","426","238","29","48","57","","132"
"2020-10-04","67","36","29","27","81","113","241","150","170","138","4","0","50","13","81","17","90","25","47","73","29","0","288","419","146","63","39","38","","180"
