"date","Himachal Pradesh/Bilaspur","Himachal Pradesh/Chamba","Himachal Pradesh/Hamirpur","Himachal Pradesh/Kangra","Himachal Pradesh/Kinnaur","Himachal Pradesh/Kullu","Himachal Pradesh/Lahaul and Spiti","Himachal Pradesh/Mandi","Himachal Pradesh/Shimla","Himachal Pradesh/Sirmaur","Himachal Pradesh/Solan","Himachal Pradesh/Una"
"2020-07-14",""," 11.48 %","","   .64 %","  2.86 %","","","","  3.33 %",""," 24.52 %","  2.14 %"
"2020-07-15"," 21.15 %","  4.41 %","   .00 %","   .00 %",""," 75.00 %","","","","  2.22 %","  3.47 %","  1.40 %"
"2020-07-16","","","   .73 %","  1.60 %","","   .00 %","   .00 %"," 10.00 %","  1.61 %","  2.17 %","  6.72 %","  3.45 %"
"2020-07-17","   .00 %","  9.86 %","   .00 %","   .94 %","  8.33 %"," 35.71 %","","  4.55 %","  9.52 %"," 21.28 %","  1.40 %",""
"2020-07-18","   .00 %","   .00 %","   .36 %","  2.18 %","","  5.26 %","","  2.17 %","  2.90 %","  8.77 %","  5.52 %","  4.67 %"
"2020-07-19","","","   .72 %","  1.52 %","","","","  2.13 %",""," 41.94 %","  8.50 %","  2.55 %"
"2020-07-20","  4.76 %","  2.56 %","   .72 %","  3.60 %","   .00 %","  5.00 %","","  4.17 %"," 32.39 %"," 23.86 %"," 12.65 %","  1.24 %"
"2020-07-21","","","   .71 %","  2.03 %","","  4.76 %","","   .00 %","  3.19 %"," 11.93 %","  1.87 %",""
"2020-07-22","","  5.00 %","   .35 %","  1.70 %","","","","  6.00 %"," 23.71 %","  5.74 %","  2.62 %","  4.29 %"
"2020-07-23","  1.52 %","  2.38 %","   .70 %","  3.07 %","   .00 %","",""," 13.21 %","   .83 %"," 32.56 %"," 11.00 %",""
"2020-07-24","  1.49 %","   .00 %","  1.05 %","  4.07 %","  5.13 %","  9.09 %",""," 43.33 %","  2.48 %"," 16.96 %","  8.76 %","   .59 %"
"2020-07-25","","  8.14 %","   .69 %","  1.04 %","","   .00 %",""," 17.44 %","   .81 %"," 12.50 %","  7.42 %","  3.51 %"
"2020-07-26","  7.35 %","","  2.06 %","  5.41 %","","","","  9.90 %"," 14.40 %","  7.11 %","  8.09 %","  5.65 %"
"2020-07-27"," 15.07 %","  3.23 %","   .34 %","  3.91 %","","   .00 %","","  9.01 %","  3.50 %"," 12.86 %","  2.74 %","  1.07 %"
"2020-07-28","  3.57 %","  7.29 %","   .67 %","   .94 %","   .00 %","   .00 %","","  4.13 %","  2.03 %","  9.93 %","   .71 %","  2.65 %"
"2020-07-29","   .00 %","","   .67 %","  3.03 %","  7.32 %"," 37.50 %","","  5.56 %","  5.30 %","  1.67 %","  4.59 %",""
"2020-07-30","  1.15 %","","","  2.04 %","  2.27 %","  6.06 %",""," 18.05 %","  3.77 %","  7.24 %","  5.90 %","  1.55 %"
"2020-07-31","   .00 %","  1.94 %","   .66 %","  1.77 %","","","","  5.10 %","   .00 %","   .92 %","  4.14 %","  4.57 %"
"2020-08-01"," 12.50 %","  3.81 %","   .33 %","  1.74 %","","  5.71 %","","  4.24 %","  1.82 %","  4.56 %","  1.38 %","  4.85 %"
"2020-08-02","  2.02 %","  3.67 %","  1.97 %","  1.71 %","","","","  6.40 %","  5.95 %","   .29 %","  4.07 %","   .00 %"
"2020-08-03","  8.91 %","  3.54 %","   .64 %","  1.26 %","","",""," 16.39 %","  1.12 %","  1.16 %","  4.64 %"," 12.04 %"
"2020-08-04"," 15.45 %","  1.71 %","   .96 %","  2.08 %","","  5.41 %","","  3.29 %","  1.11 %","  1.43 %","  1.66 %","   .41 %"
"2020-08-05",""," 14.29 %","","   .81 %","","","","   .00 %","  1.10 %","   .00 %","  1.09 %","  2.47 %"
"2020-08-06","  5.51 %","   .74 %","  6.65 %","   .81 %","  2.22 %"," ##.## %","","  3.18 %","  2.17 %","  2.54 %","  2.16 %","  5.62 %"
"2020-08-07","  2.99 %","  9.49 %","","  2.40 %","   .00 %","  6.98 %","","   .44 %","  4.26 %","  4.13 %","  4.75 %","  3.04 %"
"2020-08-08",""," 28.67 %","  2.37 %","  1.57 %","","  4.35 %","","  3.51 %","   .51 %","  6.35 %","  2.14 %","   .37 %"
"2020-08-09","  6.52 %"," 11.92 %","  3.77 %","  1.73 %","   .00 %","  5.21 %","","  5.93 %","  3.55 %","  2.74 %","  1.36 %","  1.84 %"
"2020-08-10","   .68 %","","  2.51 %","   .76 %","  4.35 %","  1.98 %","","  8.00 %","  1.47 %","  4.84 %","  3.77 %","   .00 %"
"2020-08-11","   .00 %","  6.48 %","   .27 %","  1.13 %","   .00 %","   .97 %","","   .37 %","   .00 %","  1.85 %","   .35 %","   .00 %"
"2020-08-12",""," 10.43 %","","  2.42 %",""," 16.35 %","","   .74 %","","  4.54 %","  5.49 %","  5.78 %"
"2020-08-13","  4.73 %","  5.12 %","  5.16 %","   .36 %"," 20.83 %"," 57.02 %","","  5.13 %","  4.35 %","  1.95 %","  1.11 %","  6.14 %"
"2020-08-14","  3.23 %","  4.49 %","  1.29 %","  1.45 %","  1.72 %","  5.26 %"," 50.00 %","  1.05 %","   .46 %","  1.70 %","   .11 %","   .64 %"
"2020-08-15","  7.50 %","  1.43 %","  3.32 %","  2.32 %","","  4.00 %","","  4.83 %","  5.99 %","  1.67 %","  2.74 %","  2.88 %"
"2020-08-16","  5.23 %","  3.18 %","  1.73 %","  6.79 %","","  9.13 %","","  4.28 %","   .43 %","  5.35 %","  3.83 %","  1.24 %"
"2020-08-17","   .55 %","  1.03 %","   .00 %","   .33 %","","","","   .00 %","   .87 %","   .39 %","   .62 %","   .61 %"
"2020-08-18","   .00 %","   .68 %","   .49 %","   .65 %","","  4.85 %","","  4.42 %","  6.44 %","   .19 %","   .10 %","  3.35 %"
"2020-08-19"," 15.38 %","  4.04 %","   .97 %","  2.58 %"," 16.95 %","  2.10 %","","  6.34 %","  2.02 %","  4.08 %","  5.19 %","   .88 %"
"2020-08-20","","   .97 %","  1.67 %","   .47 %","","   .41 %","","  5.40 %","","  4.48 %","  6.20 %","  1.75 %"
"2020-08-21","  4.76 %"," 10.26 %","  1.88 %","  2.04 %","","   .41 %","","  2.16 %","  2.77 %","  4.11 %","  7.29 %","  2.30 %"
"2020-08-22"," 19.55 %","   .58 %","  6.00 %","  2.61 %","  5.80 %","  3.27 %"," 16.67 %","  1.32 %","  2.31 %","   .17 %","  4.50 %","   .28 %"
"2020-08-23","   .00 %","  2.02 %","   .87 %","  2.54 %","","   .40 %","","   .52 %","   .75 %","  5.82 %","  2.20 %","  3.36 %"
"2020-08-24","  2.28 %","  2.27 %","   .65 %","  2.19 %","  4.11 %","   .39 %","   .00 %","  1.04 %","   .75 %","  4.85 %","  1.27 %","  3.25 %"
"2020-08-25","   .00 %","   .00 %","   .00 %","  2.29 %","","  1.18 %","","   .26 %","   .74 %","  1.54 %","   .79 %","  2.89 %"
"2020-08-26","  5.95 %","  3.60 %","","  1.54 %","  1.32 %","  4.65 %","","   .00 %","  5.51 %","  8.81 %","  2.26 %","  3.06 %"
"2020-08-27","  2.81 %","  2.67 %","  4.94 %","  3.44 %","  2.60 %","   .00 %"," 14.29 %","   .77 %","  3.14 %","  5.17 %","  3.89 %","  2.72 %"
"2020-08-28","  1.02 %","  4.17 %","   .41 %","  3.99 %","  2.53 %","   .37 %","","   .25 %","  4.05 %","  4.65 %","  1.39 %","  3.61 %"
"2020-08-29","  1.35 %","   .75 %","  2.44 %","  1.79 %","","   .00 %","","   .51 %","  3.90 %","  6.47 %","  1.95 %","  4.42 %"
"2020-08-30","  1.00 %","  2.98 %","  5.77 %","  5.65 %","","   .74 %","","   .25 %","  3.12 %","  4.41 %","  1.14 %","  2.00 %"
"2020-08-31","  6.60 %","  3.86 %","  6.20 %","  2.14 %","   .00 %","  3.66 %","   .00 %","   .50 %","  2.42 %","  1.14 %","  1.82 %","  6.11 %"
