"date","Delaware/Kent","Delaware/New Castle","Delaware/Sussex","Delaware/Unassigned"
"2020-05-12"," 10.26 %","  5.26 %","  2.20 %","   .00 %"
"2020-05-13","  4.65 %","  2.00 %","  6.45 %","   .00 %"
"2020-05-14","  2.22 %","  5.88 %","  6.06 %","   .00 %"
"2020-05-15","  4.35 %","  5.56 %","  2.86 %","   .00 %"
"2020-05-16","  8.33 %","  6.14 %","  3.70 %","   .00 %"
"2020-05-17","   .00 %","  2.48 %","   .89 %","   .00 %"
"2020-05-18","   .00 %","  4.84 %","   .88 %","   .00 %"
"2020-05-19","  1.92 %","  3.85 %","   .88 %","   .00 %"
"2020-05-20","  3.77 %","  2.22 %","   .87 %","   .00 %"
"2020-05-21","   .00 %","  4.35 %","   .86 %","   .00 %"
"2020-05-22","  1.82 %","  1.39 %","  1.71 %","   .00 %"
"2020-05-23","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-24","   .00 %","  1.37 %","  1.68 %","   .00 %"
"2020-05-25","   .00 %","   .68 %","  4.13 %","   .00 %"
"2020-05-26","  1.79 %","   .67 %","  1.59 %","-##.## %"
"2020-05-27","  7.02 %","  3.33 %","   .00 %","   .00 %"
"2020-05-28","   .00 %","   .00 %","   .78 %","   .00 %"
"2020-05-29","  1.64 %","  5.16 %","  1.55 %","   .00 %"
"2020-05-30","  1.61 %","  1.84 %","   .76 %","   .00 %"
"2020-05-31","   .00 %","  2.41 %","   .76 %","   .00 %"
"2020-06-01","   .00 %","  1.18 %","   .00 %","   .00 %"
"2020-06-02","  4.76 %","   .00 %","  1.50 %","   .00 %"
"2020-06-03","   .00 %","   .58 %","   .74 %","   .00 %"
"2020-06-04","  4.55 %","   .00 %","  5.15 %","   .00 %"
"2020-06-05","  2.90 %","   .00 %","   .70 %","-##.## %"
"2020-06-06","  1.41 %","   .58 %","   .00 %","   .00 %"
"2020-06-07","  5.56 %","  1.15 %","  1.39 %","   .00 %"
"2020-06-08","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-09","   .00 %","  5.11 %","  2.05 %","   .00 %"
"2020-06-10","  2.63 %","   .54 %","   .00 %","   .00 %"
"2020-06-11","  1.28 %","   .00 %","   .00 %","   .00 %"
"2020-06-12","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-13","  3.80 %","   .54 %","   .67 %","   .00 %"
"2020-06-14","  1.22 %","  1.07 %","   .00 %","   .00 %"
"2020-06-15","   .00 %","   .53 %","   .00 %","   .00 %"
"2020-06-16","  1.20 %","   .00 %","   .00 %","   .00 %"
"2020-06-17","   .00 %","   .53 %","   .67 %","   .00 %"
"2020-06-18","   .00 %","  2.09 %","   .66 %","   .00 %"
"2020-06-19","   .00 %","   .51 %","   .66 %","   .00 %"
"2020-06-20","   .00 %","   .51 %","   .00 %","   .00 %"
"2020-06-21","   .00 %","   .00 %","   .65 %","   .00 %"
"2020-06-22","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-23","  5.95 %"," 21.32 %"," 14.29 %","   .00 %"
"2020-06-24","   .00 %","   .42 %","   .00 %","   .00 %"
"2020-06-25","   .00 %","   .83 %","   .00 %","   .00 %"
"2020-06-26","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-27","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-28","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-29","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-30","   .00 %","   .83 %","   .00 %","   .00 %"
"2020-07-01","  1.12 %","  -.41 %","   .00 %","   .00 %"
"2020-07-02","   .00 %","   .82 %","  -.57 %","   .00 %"
"2020-07-03","  2.22 %","   .00 %","   .00 %","   .00 %"
"2020-07-04","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-05","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-06","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-07","   .00 %","   .82 %","   .00 %","   .00 %"
"2020-07-08","   .00 %","   .40 %","   .00 %","   .00 %"
"2020-07-09"," -9.78 %","   .40 %","   .57 %","   .00 %"
"2020-07-10","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-11","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-12","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-13","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-14","   .00 %","   .00 %","   .57 %","   .00 %"
"2020-07-15","  2.41 %","   .00 %","   .56 %","   .00 %"
"2020-07-16","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-17","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-18","  1.18 %","   .40 %","   .00 %","   .00 %"
"2020-07-19","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-20","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-21","  1.16 %","   .40 %","   .00 %","   .00 %"
"2020-07-22","   .00 %","   .40 %","   .56 %","   .00 %"
"2020-07-23","   .00 %","   .40 %","   .56 %","   .00 %"
"2020-07-24","  9.20 %"," 11.86 %","  5.56 %"," 11.11 %"
"2020-07-25","   .00 %","   .35 %","   .00 %","   .00 %"
"2020-07-26","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-27","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-28","   .00 %","   .35 %","   .00 %","   .00 %"
"2020-07-29","   .00 %","   .00 %","   .53 %","   .00 %"
"2020-07-30","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-31","  2.11 %","   .70 %","   .00 %","   .00 %"
"2020-08-01"," 10.31 %","   .00 %","   .00 %","-##.## %"
"2020-08-02","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-03","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-04","   .00 %","   .70 %","   .00 %","   .00 %"
"2020-08-05","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-06","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-07","   .00 %","   .00 %","   .52 %","   .00 %"
"2020-08-08","   .00 %","   .69 %","   .00 %","   .00 %"
"2020-08-09","   .93 %","   .00 %","   .00 %","   .00 %"
"2020-08-10","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-11","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-12","   .93 %","   .00 %","   .00 %","   .00 %"
"2020-08-13","  -.92 %","   .69 %","   .00 %","   .00 %"
"2020-08-14","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-15","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-16","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-17","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-18","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-19","   .93 %","  -.34 %","  1.04 %","   .00 %"
"2020-08-20","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-21","   .00 %","  1.71 %","   .00 %","   .00 %"
"2020-08-22","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-23","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-24","   .00 %","   .67 %","  1.03 %","   .00 %"
