"date","Rajasthan/Ajmer","Rajasthan/Alwar","Rajasthan/BSF Camp","Rajasthan/Banswara","Rajasthan/Baran","Rajasthan/Barmer","Rajasthan/Bharatpur","Rajasthan/Bhilwara","Rajasthan/Bikaner","Rajasthan/Bundi","Rajasthan/Chittorgarh","Rajasthan/Churu","Rajasthan/Dausa","Rajasthan/Dholpur","Rajasthan/Dungarpur","Rajasthan/Evacuees","Rajasthan/Ganganagar","Rajasthan/Hanumangarh","Rajasthan/Jaipur","Rajasthan/Jaisalmer","Rajasthan/Jalore","Rajasthan/Jhalawar","Rajasthan/Jhunjhunu","Rajasthan/Jodhpur","Rajasthan/Karauli","Rajasthan/Kota","Rajasthan/Nagaur","Rajasthan/Other State","Rajasthan/Other state","Rajasthan/Pali","Rajasthan/Pratapgarh","Rajasthan/Rajsamand","Rajasthan/Sawai Madhopur","Rajasthan/Sikar","Rajasthan/Sirohi","Rajasthan/Tonk","Rajasthan/Udaipur"
"2020-05-17","","","","",""," ##.## %","",""," 80.00 %",""," ##.## %"," ##.## %"," 61.67 %",""," ##.## %","","",""," 88.51 %","","",""," 69.00 %"," ##.## %"," 10.00 %"," ##.## %"," ##.## %","",""," ##.## %","",""," 83.33 %"," ##.## %"," ##.## %","","  6.87 %"
"2020-05-18","-14.86 %","","","",""," ##.## %","",""," 84.00 %",""," ##.## %",""," ##.## %",""," ##.## %","","",""," 68.30 %","","",""," 84.00 %"," ##.## %",""," ##.## %"," ##.## %","",""," ##.## %","","",""," ##.## %"," 18.90 %",""," 15.86 %"
"2020-05-19"," 25.14 %","","","",""," 88.41 %","",""," ##.## %",""," ##.## %"," 81.28 %"," 95.67 %",""," ##.## %","","",""," 68.97 %","","","   .00 %","  4.00 %"," 83.16 %",""," ##.## %"," ##.## %","",""," ##.## %","","",""," ##.## %"," 67.00 %",""," -4.66 %"
"2020-05-20"," 57.52 %","","","","","","","","",""," ##.## %"," 91.28 %","",""," ##.## %","","",""," 75.39 %","","","   .00 %"," 90.00 %"," 75.17 %",""," 82.42 %"," ##.## %","",""," ##.## %","","",""," ##.## %"," 19.55 %","","-13.79 %"
"2020-05-21"," 49.52 %","","","",""," 92.97 %","",""," 94.00 %",""," ##.## %"," ##.## %","",""," 54.87 %","","","","-21.73 %","","","   .00 %"," 74.44 %"," 86.21 %",""," 88.67 %"," ##.## %","",""," ##.## %","","",""," ##.## %"," 26.55 %",""," 68.14 %"
"2020-05-22"," 63.81 %","","","",""," ##.## %","",""," 77.33 %",""," ##.## %"," ##.## %"," ##.## %",""," 54.40 %","","",""," -3.27 %","","",""," 94.44 %"," -6.65 %",""," ##.## %"," ##.## %","   .00 %",""," ##.## %","","","","  7.95 %"," 51.55 %",""," 48.82 %"
"2020-05-23"," 63.81 %","",""," 17.22 %",""," 48.21 %","",""," 37.33 %",""," 86.86 %","  7.95 %","",""," -7.83 %","","",""," -3.76 %","",""," ##.## %"," ##.## %","  1.83 %",""," ##.## %"," ##.## %","",""," ##.## %","","","","  2.95 %"," 43.99 %"," 21.33 %"," 47.45 %"
"2020-05-24"," 77.14 %"," 39.00 %","","",""," 13.21 %","",""," 33.33 %","","",""," 69.00 %"," ##.## %","-28.35 %","","",""," 59.91 %","","",""," 88.61 %","  6.47 %",""," ##.## %"," 21.16 %"," 20.00 %","","  8.50 %",""," ##.## %","","  9.62 %","  2.33 %",""," 62.21 %"
"2020-05-25",""," ##.## %","","",""," -1.04 %","","-18.38 %","","",""," 88.33 %"," 74.00 %"," ##.## %","-28.41 %","","",""," 33.83 %","","",""," 18.61 %"," 24.10 %",""," ##.## %"," 26.13 %","",""," ##.## %",""," ##.## %"," 83.33 %"," ##.## %"," 56.44 %",""," 69.89 %"
"2020-05-26","","","","","","  7.90 %"," ##.## %"," ##.## %","","","",""," -6.00 %"," ##.## %"," ##.## %","","",""," 66.26 %","","",""," 47.50 %"," 11.52 %",""," ##.## %"," 12.72 %","",""," ##.## %"," 13.33 %"," ##.## %"," 83.33 %"," ##.## %"," 84.44 %",""," 24.89 %"
"2020-05-27","","","","","","-33.76 %"," ##.## %"," ##.## %","","","",""," 10.00 %","-25.00 %"," ##.## %","","",""," 64.90 %","","",""," 11.50 %"," 75.81 %",""," 10.48 %"," -2.57 %","",""," 91.74 %",""," ##.## %",""," ##.## %"," 40.93 %",""," 11.23 %"
"2020-05-28","","","","","",""," ##.## %"," ##.## %","","","",""," 50.00 %",""," ##.## %","","",""," 53.06 %","","","","  8.17 %"," 89.83 %","","  6.48 %","-17.20 %","",""," ##.## %","",""," 83.33 %"," ##.## %"," 46.48 %","",""
