"date","Jharkhand/Bokaro","Jharkhand/Chatra","Jharkhand/Deoghar","Jharkhand/Dhanbad","Jharkhand/Dumka","Jharkhand/East Singhbhum","Jharkhand/Garhwa","Jharkhand/Giridih","Jharkhand/Godda","Jharkhand/Gumla","Jharkhand/Hazaribagh","Jharkhand/Jamtara","Jharkhand/Khunti","Jharkhand/Koderma","Jharkhand/Latehar","Jharkhand/Lohardaga","Jharkhand/Pakur","Jharkhand/Palamu","Jharkhand/Ramgarh","Jharkhand/Ranchi","Jharkhand/Sahibganj","Jharkhand/Saraikela-Kharsawan","Jharkhand/Simdega","Jharkhand/West Singhbhum"
"2020-08-12","  7.17 %","   .00 %","  8.03 %","  8.04 %","  3.02 %","  6.84 %","  1.48 %","  1.14 %","  2.04 %","  3.25 %","  1.09 %","  8.28 %","  3.35 %","  1.47 %","  5.73 %","  8.00 %","   .61 %","   .57 %","   .80 %","  3.13 %","  2.56 %","  8.16 %","  5.11 %","  5.35 %"
"2020-08-13","  2.10 %","   .22 %","  1.68 %"," 11.28 %","   .49 %","  4.17 %","  3.36 %","   .38 %","  1.83 %","  2.73 %","  1.73 %","  1.18 %","  6.76 %","  1.05 %","  5.83 %","  2.78 %","  2.43 %","  3.54 %","  3.98 %","  1.99 %","  1.11 %"," 11.11 %","  4.29 %","  3.11 %"
"2020-08-14","  2.25 %","  3.98 %","  1.93 %","  1.65 %"," 13.11 %","  4.83 %","  3.82 %"," 10.00 %","  2.95 %","  3.88 %","  7.00 %","  3.49 %","  1.52 %"," 10.82 %","  4.33 %","  6.91 %","   .30 %","  5.18 %"," 11.94 %","  6.91 %","  7.67 %","  6.79 %","  4.25 %","  6.04 %"
"2020-08-15","  4.21 %","","  1.22 %","  7.50 %","   .00 %","  2.43 %","  3.00 %","   .08 %","   .48 %","   .59 %","  2.87 %","  4.49 %","  7.48 %","   .35 %","  2.45 %","","  2.66 %","  3.35 %","  2.46 %","  2.22 %","   .25 %","  2.12 %","  1.18 %","  4.80 %"
"2020-08-16","  4.04 %","   .21 %","  6.82 %","  9.74 %","  5.15 %","   .75 %","  1.32 %","   .76 %","   .95 %","  4.49 %","   .67 %","  2.15 %","  1.16 %","  1.29 %","","  5.34 %","   .86 %","   .30 %","  3.60 %","  2.59 %","  3.55 %","  3.81 %","  1.56 %","   .14 %"
"2020-08-17","  7.43 %","  1.27 %","  1.25 %","  6.53 %","  7.35 %","  2.77 %","   .52 %","  1.10 %","   .94 %","   .37 %","  3.73 %","  5.79 %","   .92 %","  1.50 %","  4.24 %","  4.80 %","  4.57 %"," 15.37 %","  2.06 %","  3.42 %","  4.41 %","  3.67 %","  1.15 %","  4.57 %"
"2020-08-18","  9.75 %","  1.05 %","  3.96 %","  1.86 %","  1.14 %","  9.25 %","  1.17 %","  1.50 %","  1.55 %","  7.45 %","  3.97 %","  1.00 %","  5.68 %","  1.82 %","  4.77 %","  1.02 %","  4.10 %","   .00 %","  1.52 %","  9.20 %","  7.75 %","  3.54 %","  1.77 %","  7.51 %"
"2020-08-19","  2.01 %","   .21 %"," 15.34 %","   .44 %","  3.76 %","  4.89 %","   .51 %","   .08 %","  1.99 %","  7.45 %","  5.94 %","  2.96 %","  4.09 %","  1.79 %","  6.91 %","  6.80 %","  3.15 %","  7.19 %","  4.73 %","  2.97 %","  3.92 %","  4.19 %","  1.24 %","  2.92 %"
"2020-08-20","  3.09 %","   .62 %","  1.13 %","  5.39 %","  2.54 %","  3.70 %","  1.40 %","   .41 %","   .30 %","  1.94 %","   .92 %","  2.39 %","  3.93 %","   .99 %","  1.89 %","  1.65 %","","  3.60 %","  3.56 %","  2.19 %","   .42 %","  1.64 %","  1.47 %","  3.21 %"
"2020-08-21"," 14.44 %","  1.03 %","  3.98 %"," 24.32 %","  3.18 %","  3.57 %","  1.89 %","  1.31 %","  1.35 %","   .79 %","  1.08 %","  8.88 %","  1.39 %","   .54 %","  6.19 %","  3.48 %","  3.82 %","   .87 %","  4.24 %","  3.38 %","  1.25 %","  2.35 %","  1.45 %","  5.62 %"
"2020-08-22","  8.69 %","  1.02 %","  1.18 %","  1.26 %","  5.82 %","  3.86 %","  2.72 %","  1.69 %","  1.62 %","  1.73 %","  1.89 %"," 11.16 %","  2.16 %","  1.63 %","  3.35 %","  1.79 %","  2.45 %","  4.23 %","  3.63 %","  3.42 %","  1.03 %","  4.58 %","  1.31 %","  9.17 %"
"2020-08-23","  7.23 %","  1.21 %","  6.20 %","  1.91 %","  1.29 %","  5.25 %","  1.81 %","  6.58 %","  1.16 %","   .15 %","  2.50 %","  1.16 %","  2.69 %","  2.03 %","  3.81 %","  3.52 %","   .72 %","  3.38 %","  3.61 %","  4.32 %","  4.90 %","  1.37 %","   .94 %","  4.25 %"
"2020-08-24","  3.27 %","  5.58 %","   .73 %","  3.01 %","  3.51 %","  2.81 %","  4.96 %","  5.95 %","   .72 %","  1.69 %","  2.59 %","  6.11 %","  3.93 %","  6.69 %","   .41 %","  1.06 %","  1.43 %","  1.16 %","  4.00 %","  2.70 %","  4.67 %","  2.16 %","   .70 %","  9.25 %"
"2020-08-25","  6.73 %","","  2.17 %","  2.13 %","  6.79 %","  2.62 %","  1.91 %","  2.11 %","  1.28 %","  2.58 %","  4.44 %","  5.04 %","  2.52 %","  3.33 %","  3.25 %","  3.58 %","  1.87 %","  1.08 %","  6.60 %","  5.15 %","  4.09 %","  3.17 %","  3.12 %","  3.28 %"
"2020-08-26","  3.52 %","  1.32 %","  3.72 %","  5.14 %","  3.76 %","  2.39 %","  7.96 %","  5.57 %","   .56 %","  3.55 %"," 12.25 %","  2.05 %","  2.63 %","  2.46 %","  4.59 %","  3.25 %","   .69 %","   .99 %","  3.05 %","  2.70 %","  5.54 %","  1.03 %","  3.59 %","  2.82 %"
"2020-08-27","  2.95 %","  4.84 %","  1.71 %","  1.32 %","  5.57 %","  2.88 %"," 11.16 %","  4.17 %","  2.10 %","  3.99 %","  3.07 %","  7.72 %","  3.08 %","  7.40 %","  5.51 %","  3.35 %","  1.83 %","  1.90 %","  8.61 %","  4.98 %"," 14.89 %","  2.79 %","  1.08 %","  3.69 %"
"2020-08-28"," 12.78 %","   .89 %","   .84 %","  3.01 %","  3.69 %","  5.38 %","  2.76 %","  3.88 %","  1.51 %","  2.06 %","  2.28 %","  1.87 %","  8.29 %","  3.70 %","  2.26 %","  3.24 %","   .67 %","  1.31 %","  6.52 %","  1.36 %","  3.68 %","   .49 %","  3.54 %","  1.57 %"
"2020-08-29","  5.09 %","  7.22 %","  2.33 %","  2.11 %"," 16.54 %","  3.80 %","  1.70 %","  4.70 %","  5.67 %","  1.48 %","  2.54 %","  7.34 %","  6.43 %","  2.91 %","  2.90 %","   .18 %","  1.78 %","  3.13 %","  4.26 %","  3.67 %","  3.69 %","  6.51 %","  1.55 %","  2.28 %"
"2020-08-30"," 13.06 %"," 18.06 %","  1.30 %","  1.07 %"," 34.28 %","  1.34 %","  1.32 %","  3.97 %","  2.68 %","  2.65 %","  2.24 %","  7.12 %","  1.58 %","  2.10 %","  1.02 %","   .92 %","   .22 %","  1.92 %","  9.22 %","  3.42 %","  2.05 %","  7.15 %","  1.22 %","  1.35 %"
"2020-08-31","   .32 %"," 14.33 %","  3.46 %","  5.22 %","  4.72 %","  9.77 %","  4.96 %","  4.26 %","  5.85 %"," 18.97 %"," 10.05 %"," 13.03 %","   .99 %"," 19.37 %"," 10.73 %"," 17.88 %"," 12.45 %","  8.23 %"," 11.03 %","  3.89 %"," 16.24 %"," 24.43 %","  6.95 %"," 16.50 %"
"2020-09-01"," 13.13 %","  1.82 %","  2.41 %","  1.04 %","  2.80 %","  3.45 %","  1.57 %","  8.22 %","   .59 %","  2.71 %","  3.76 %","  5.18 %","  5.47 %","  4.97 %","   .30 %","   .93 %","  1.94 %","  1.86 %","  7.23 %"," 12.19 %","  1.50 %","  4.15 %","  1.04 %","  2.23 %"
"2020-09-02","  2.80 %","  3.70 %","  1.75 %","  1.70 %","  1.96 %","  3.14 %","   .16 %","  2.45 %","  1.40 %","   .95 %","   .73 %","  4.25 %","  3.32 %","  2.33 %","  1.01 %","  2.45 %","  3.24 %","   .88 %","  3.60 %","  2.89 %","  2.16 %","  3.41 %","   .37 %","  1.58 %"
"2020-09-03","  7.51 %","  1.38 %","  2.39 %","   .73 %","   .44 %","  4.34 %","   .65 %","  8.28 %","   .69 %","  1.78 %","  5.40 %","  1.93 %","  6.31 %","  2.71 %","   .90 %","  2.84 %","   .37 %","  1.81 %","  3.48 %","  4.83 %","  1.22 %","  6.51 %","   .56 %","  1.10 %"
"2020-09-04","  6.52 %","   .11 %","  2.18 %","   .85 %","  3.69 %","  4.49 %","  2.27 %","   .97 %","  2.52 %","  1.23 %","  1.07 %","  3.58 %","  5.81 %","  2.28 %","  1.58 %","  2.91 %","   .18 %","  3.84 %","  9.87 %","  3.75 %","  1.10 %","  2.41 %","  1.39 %","  5.59 %"
"2020-09-05","  5.63 %","   .23 %","  2.07 %","  3.89 %","  2.13 %","  3.01 %","  1.27 %","  2.06 %","  2.23 %","  2.74 %","   .53 %","  1.02 %","  1.49 %","  1.64 %","  4.47 %","  1.84 %","   .55 %","  2.43 %","  1.94 %","  6.70 %","  1.31 %","  5.38 %","   .46 %","  9.98 %"
"2020-09-06","  4.46 %","  4.64 %","  3.28 %","  1.32 %","   .97 %","  1.20 %","  5.31 %","  1.67 %","   .55 %","  1.48 %","  3.41 %","  2.62 %","  2.93 %","   .23 %","  1.30 %","   .14 %","   .36 %","   .59 %","  4.19 %","  3.34 %","   .75 %","  6.57 %","  1.00 %","  6.08 %"
"2020-09-07","  2.38 %","   .76 %","  5.00 %","  1.12 %","  2.76 %","  5.77 %","  1.78 %","  1.52 %","   .76 %","   .58 %","  4.64 %","   .98 %","  2.85 %","  1.32 %","  1.01 %","  1.39 %","   .00 %","  2.68 %","  6.12 %","  3.12 %","   .85 %","   .98 %","  1.80 %","  2.97 %"
"2020-09-08"," 14.40 %","   .00 %","  1.93 %","  5.61 %","  2.28 %","  5.23 %","  1.09 %","  1.45 %","  1.08 %","  1.06 %","  9.32 %","   .78 %","  8.63 %"," 16.71 %","  1.55 %","   .41 %","  1.82 %","  1.51 %","  8.14 %","  1.89 %","   .74 %"," 16.10 %"," 11.20 %","  6.43 %"
"2020-09-09","  1.58 %","  4.83 %","  4.61 %","  1.19 %","  1.18 %","  2.62 %","  1.23 %","  1.23 %","  1.07 %","  5.08 %","  1.87 %","   .39 %","   .49 %","   .54 %","  1.34 %","  1.77 %","  1.61 %","   .36 %","  3.90 %","  5.60 %","  2.20 %","  5.09 %","   .40 %","  3.38 %"
"2020-09-10","  2.63 %","   .72 %","  1.99 %","  1.18 %","   .65 %","  2.75 %","  1.42 %","   .81 %","  1.37 %","  4.83 %","   .60 %","   .96 %","  2.63 %","  1.60 %","  1.59 %","   .67 %","   .53 %","   .56 %","  1.42 %","  3.19 %","  1.13 %","  3.03 %","   .39 %","  1.75 %"
"2020-09-11","  2.70 %","  1.53 %","  1.54 %","  1.22 %","  1.55 %","  2.00 %","  2.60 %","   .48 %","  1.66 %","  1.74 %","   .63 %","  1.14 %","  2.00 %","   .72 %","   .96 %","   .53 %","   .17 %","  1.48 %","  3.59 %","  1.59 %","   .91 %","  1.08 %","   .87 %","  2.99 %"
"2020-09-12","  7.06 %","   .70 %","  1.11 %","  5.10 %","  1.90 %","  2.63 %","  1.64 %","  3.71 %","  2.35 %","  5.30 %","  1.18 %","  1.88 %","  1.96 %","   .66 %","  2.84 %","  2.65 %","   .17 %","  1.00 %","  1.02 %","  1.84 %","  2.72 %","  1.28 %","  1.33 %","  1.67 %"
"2020-09-13","   .23 %","   .20 %","   .69 %","  1.73 %","  1.49 %","  1.09 %","  1.62 %","   .92 %","  1.30 %","  1.95 %","  1.40 %","  1.85 %","  1.10 %","  1.22 %","  1.51 %","  1.93 %","  1.74 %","  1.24 %","   .58 %","  3.12 %","   .59 %","  3.08 %","  2.54 %","  1.99 %"
"2020-09-14","  2.13 %","  3.97 %","  6.07 %","  1.35 %","  1.35 %","  1.42 %","  4.84 %","  4.08 %","  2.76 %","  3.66 %","  1.19 %","   .36 %","  1.27 %","   .42 %","  2.23 %","  1.77 %","   .34 %","  1.27 %","  3.55 %","  1.99 %","   .88 %","  1.62 %","   .83 %","  1.78 %"
"2020-09-15","  1.47 %","  1.53 %","  1.51 %","  2.32 %","   .61 %","  1.77 %","  2.09 %","  3.45 %","  2.69 %","  4.15 %","  1.06 %","  3.79 %","  1.70 %","   .93 %","  1.21 %","  3.11 %","   .51 %","   .87 %","  2.43 %","  3.40 %","  5.41 %","  5.35 %","  6.70 %","  7.49 %"
"2020-09-16","   .28 %","   .28 %","  5.27 %","  1.88 %","   .00 %","  3.64 %","  1.36 %","   .43 %","   .47 %","   .66 %","  1.24 %","  2.96 %","  1.23 %"," 10.96 %","  2.79 %","  1.81 %","  1.19 %","   .72 %","  3.25 %","  2.46 %","   .64 %","  3.61 %","  1.54 %","  2.94 %"
"2020-09-17","  1.04 %","   .84 %","  1.31 %","  1.06 %","  1.56 %","  1.61 %","  1.28 %","   .42 %","   .56 %","  3.00 %","  4.33 %","  2.36 %","  4.51 %","  1.12 %","  1.24 %","  2.37 %","  1.01 %","  2.29 %","   .75 %","  1.47 %","   .64 %","  1.10 %","   .89 %","  2.22 %"
"2020-09-18","   .00 %","   .37 %","  1.45 %","  1.45 %","  1.18 %","  2.80 %","   .97 %","   .39 %","   .46 %","  1.21 %","  1.35 %","  8.42 %","  1.24 %","   .86 %","  1.99 %","  4.62 %","   .33 %","  2.98 %","  1.37 %","  3.40 %","  3.98 %","  1.79 %","  1.16 %","  3.94 %"
"2020-09-19","  3.68 %","   .74 %","   .84 %","  1.71 %","  1.52 %","  1.78 %","  2.03 %","   .53 %","  8.48 %","  1.76 %","  1.16 %","  1.37 %","  1.15 %","  1.74 %","  1.28 %","  2.10 %","  1.66 %","  2.94 %","  1.12 %","  1.90 %","  2.00 %","  3.86 %","   .27 %","   .99 %"
"2020-09-20","  1.68 %","  2.02 %","  3.51 %","   .84 %","  2.77 %","  1.06 %","  1.81 %","   .70 %","  5.35 %","  3.94 %","   .45 %","  1.20 %","  1.54 %","  4.54 %","   .52 %","  4.22 %","  1.47 %","  2.64 %","  1.37 %","  3.07 %","   .85 %","  2.06 %","   .87 %","  4.49 %"
"2020-09-21","  1.48 %","   .27 %","  2.54 %","  2.49 %","  1.35 %","  2.95 %","  4.08 %","   .52 %","  2.58 %","  1.00 %","  4.86 %","  2.82 %","   .24 %","   .69 %","  1.18 %","  4.15 %","  4.49 %","   .86 %","  1.35 %","  1.12 %","  1.10 %","  1.38 %","   .67 %","  1.21 %"
"2020-09-22","  1.95 %","   .54 %","  1.52 %","  2.06 %","  1.33 %","  1.52 %","   .77 %","   .62 %","  5.27 %","   .66 %","  2.33 %","  1.15 %","   .16 %","   .49 %","   .73 %","  1.30 %","   .61 %","  4.67 %","  1.82 %","  1.75 %","   .67 %","  2.91 %","   .53 %","  3.48 %"
"2020-09-23","  2.23 %","   .27 %","   .95 %","  1.33 %","  2.40 %","  1.02 %","  1.70 %","   .72 %","  1.27 %","   .92 %","  1.32 %","   .43 %","  4.45 %","   .83 %","   .43 %","  2.76 %","  1.83 %","  1.22 %","   .91 %","  2.56 %","   .00 %","   .97 %","   .33 %","  2.24 %"
"2020-09-24","  1.34 %","  3.84 %","  1.61 %","  1.80 %","  1.81 %","   .95 %","  6.04 %","   .58 %","  3.24 %","  1.23 %","  2.47 %","   .71 %","   .38 %","  1.34 %","  1.15 %","  1.82 %","   .30 %","  2.76 %","   .96 %","  2.18 %","  3.41 %","  2.15 %","   .33 %","  2.47 %"
"2020-09-25","  1.21 %","   .26 %","  3.31 %","  1.83 %","  1.57 %","  1.10 %","  1.88 %","  1.59 %","  1.00 %","   .45 %","  1.80 %","  1.41 %","  4.78 %","   .66 %","   .78 %","  4.80 %","  1.05 %","  1.09 %","   .66 %","  2.42 %","   .48 %","  1.50 %","   .92 %","  1.80 %"
"2020-09-26","  1.83 %","   .51 %","  1.54 %","  1.02 %","  1.86 %","  1.62 %","  1.15 %","   .27 %","  2.90 %","   .83 %","   .88 %","  3.34 %","  1.45 %","   .88 %","   .78 %","   .63 %","  5.62 %","  1.27 %","   .74 %","  2.45 %","   .88 %","  1.30 %","   .32 %","  1.89 %"
"2020-09-27","  1.95 %","   .00 %","  1.89 %","   .85 %","  1.01 %","  1.68 %","  2.71 %","   .30 %","  2.41 %","   .95 %","   .51 %","  3.63 %","   .50 %","  1.12 %","   .07 %","  2.50 %","","  1.22 %","   .41 %","  1.20 %","   .48 %","  1.28 %","   .97 %","  1.09 %"
"2020-09-28","   .52 %","   .17 %","  1.07 %","  1.14 %","  1.20 %","  2.21 %","   .24 %","   .30 %","  5.97 %","   .88 %","  1.68 %","   .26 %","  3.55 %","  4.09 %","   .21 %"," 12.10 %","   .98 %","   .90 %","   .99 %","  1.59 %","  2.37 %","  3.07 %","  3.58 %","  2.54 %"
"2020-09-29","  3.11 %","   .34 %","  1.14 %","  1.15 %","  3.07 %","  1.50 %","   .91 %","   .59 %","   .51 %","   .43 %","  1.47 %","  1.94 %","  1.51 %","  1.03 %","  2.52 %","   .85 %","   .00 %","   .63 %","   .49 %","  1.75 %","   .31 %","  1.37 %","   .49 %","  1.54 %"
