"date","Maine/Androscoggin","Maine/Aroostook","Maine/Cumberland","Maine/Franklin","Maine/Hancock","Maine/Kennebec","Maine/Knox","Maine/Lincoln","Maine/Out of ME","Maine/Oxford","Maine/Penobscot","Maine/Piscataquis","Maine/Sagadahoc","Maine/Somerset","Maine/Unassigned","Maine/Waldo","Maine/Washington","Maine/York"
"2020-05-02","  3.85 %","   .00 %","  4.56 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","  3.80 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .96 %"
"2020-05-03","  3.70 %","   .00 %","  4.17 %","  3.57 %","   .00 %","   .96 %","   .00 %"," -7.14 %","","   .00 %","  2.44 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.38 %"
"2020-05-04","  7.14 %","   .00 %","  1.64 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","  1.19 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.86 %"
"2020-05-05","  3.33 %"," 20.00 %","  2.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-##.## %","   .00 %","   .00 %","  3.20 %"
"2020-05-06","  8.06 %","   .00 %","  2.10 %","   .00 %","   .00 %","   .95 %","  6.25 %","  7.69 %","","  6.67 %","  2.35 %","   .00 %","  5.26 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.77 %"
"2020-05-07"," 10.45 %","   .00 %","  8.23 %","  6.90 %","   .00 %","   .94 %","   .00 %","   .00 %","","  6.25 %","  2.30 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.65 %"
"2020-05-08","  5.41 %","   .00 %","  4.28 %","   .00 %","   .00 %","   .93 %","  5.88 %","  7.14 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","  2.47 %"
"2020-05-09","  5.13 %","   .00 %","  4.10 %","   .00 %","   .00 %","   .93 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-83.33 %","   .00 %","   .00 %","  2.81 %"
"2020-05-10","  2.44 %","   .00 %","  2.48 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","  1.12 %","   .00 %","  5.00 %","   .00 %"," ##.## %","   .00 %","   .00 %","  1.95 %"
"2020-05-11","  9.52 %","   .00 %","  1.71 %","   .00 %","   .00 %","   .92 %","  5.56 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .38 %"
"2020-05-12","  5.43 %","   .00 %","   .98 %","   .00 %","   .00 %","   .91 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .76 %"
"2020-05-13","  6.19 %","   .00 %","  3.19 %","   .00 %","   .00 %","   .90 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","  9.52 %","  5.88 %","   .00 %","   .00 %","   .00 %","  1.89 %"
"2020-05-14","  5.83 %"," 16.67 %","  4.57 %","   .00 %","   .00 %","   .89 %","   .00 %","   .00 %","","   .00 %","  1.11 %","   .00 %","  8.70 %","   .00 %","-66.67 %","  2.04 %","   .00 %","  2.97 %"
"2020-05-15","  3.67 %","   .00 %","  2.57 %","  6.45 %","   .00 %","  2.65 %"," 10.53 %","  6.67 %","","   .00 %","   .00 %","   .00 %","  4.00 %","  5.56 %","   .00 %","   .00 %","   .00 %","  1.44 %"
"2020-05-16","  6.19 %","   .00 %","  2.88 %","   .00 %","   .00 %","  3.45 %","   .00 %","  6.25 %","","   .00 %","  2.20 %","   .00 %","   .00 %","  5.26 %","   .00 %","   .00 %","   .00 %","  2.49 %"
"2020-05-17","  9.17 %","   .00 %","  1.95 %","   .00 %"," 10.00 %","   .83 %"," -4.76 %","   .00 %","","   .00 %","   .00 %","   .00 %","  3.85 %","   .00 %","   .00 %","   .00 %"," ##.## %","  2.43 %"
"2020-05-18","  6.11 %","   .00 %","  1.79 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-50.00 %","   .00 %","-60.00 %","  2.37 %"
"2020-05-19","  8.63 %","   .00 %","  1.29 %","   .00 %","   .00 %","  -.83 %","   .00 %","   .00 %","","   .00 %","  1.08 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.66 %"
"2020-05-20"," 22.52 %"," 14.29 %","  3.24 %","  3.03 %","   .00 %","   .83 %","   .00 %","   .00 %","","  5.88 %","  1.06 %","   .00 %","  3.70 %","   .00 %"," ##.## %","   .00 %","   .00 %","  2.93 %"
