"date","New Hampshire/Belknap","New Hampshire/Carroll","New Hampshire/Cheshire","New Hampshire/Coos","New Hampshire/Grafton","New Hampshire/Hillsborough","New Hampshire/Merrimack","New Hampshire/Nashua","New Hampshire/Rockingham","New Hampshire/Strafford","New Hampshire/Sullivan","New Hampshire/Unassigned"
"2020-04-07","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-08"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.88 %","  7.69 %","","  3.66 %","   .00 %","   .00 %","   .00 %"
"2020-04-09","   .00 %"," 21.05 %","  7.69 %","   .00 %","  4.88 %","  5.21 %","  7.14 %","","  5.10 %","  4.35 %","   .00 %"," ##.## %"
"2020-04-10","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-11","   .00 %"," 21.74 %"," 21.43 %"," ##.## %","   .00 %"," 13.53 %"," 10.00 %",""," 13.81 %"," 10.42 %","   .00 %","-##.## %"
"2020-04-12","   .00 %","   .00 %","  5.88 %","   .00 %","   .00 %","  6.69 %","  7.58 %","","  2.95 %","  9.43 %","   .00 %","   .00 %"
"2020-04-13","  4.76 %","   .00 %","  5.56 %","   .00 %","  4.65 %","  4.90 %","  2.82 %","","  9.87 %","  1.72 %","   .00 %","   .00 %"
"2020-04-14","  9.09 %","  3.57 %"," 10.53 %","   .00 %","   .00 %","-29.61 %","  2.74 %","","  9.57 %"," 16.95 %"," 16.67 %","   .00 %"
"2020-04-15","   .00 %","   .00 %"," 23.81 %","   .00 %"," -2.22 %"," 69.00 %","  8.00 %","","  5.56 %","   .00 %","   .00 %","-##.## %"
"2020-04-16","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-17","  4.17 %"," 10.34 %","  3.85 %","   .00 %","   .00 %"," 14.63 %","  8.64 %",""," 12.53 %"," 21.74 %"," 28.57 %","   .00 %"
"2020-04-18","   .00 %"," -6.25 %","  3.70 %","   .00 %","  2.27 %","  5.14 %","  4.55 %","","  3.79 %","  9.52 %"," 11.11 %","-##.## %"
"2020-04-19","  4.00 %","   .00 %","  3.57 %","   .00 %","   .00 %","  5.25 %","  2.17 %","","  2.79 %","  2.17 %","   .00 %","   .00 %"
"2020-04-20","   .00 %","   .00 %","  3.45 %","   .00 %","   .00 %","  3.96 %","  2.13 %","","  2.09 %"," 18.09 %","   .00 %","   .00 %"
"2020-04-21","  7.69 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.64 %","  5.21 %","","   .82 %","   .00 %","   .00 %"," ##.## %"
"2020-04-22","   .00 %","   .00 %"," 10.00 %","   .00 %","   .00 %","  8.79 %","  3.96 %","","  5.27 %","  6.31 %","   .00 %"," 21.43 %"
"2020-04-23","   .00 %","   .00 %","  6.06 %","   .00 %","  2.22 %","  5.87 %","  7.62 %","","  6.17 %","  4.24 %","   .00 %","-35.29 %"
"2020-04-24","  7.14 %","   .00 %","   .00 %","   .00 %","  2.17 %","  4.44 %","  1.77 %","","  3.09 %","  2.44 %"," 10.00 %","-72.73 %"
"2020-04-25","  3.33 %","   .00 %","  2.86 %","   .00 %","   .00 %","  3.59 %"," 12.17 %","","  4.40 %","  2.38 %","   .00 %"," ##.## %"
"2020-04-26","   .00 %","   .00 %","   .00 %","   .00 %","  2.13 %","  5.64 %"," -2.33 %","","  4.38 %","  2.33 %","   .00 %","-44.44 %"
"2020-04-27"," 12.90 %","  3.33 %","  5.56 %","   .00 %","   .00 %","  4.25 %","  1.59 %","","  3.88 %","   .00 %","   .00 %"," ##.## %"
"2020-04-28"," -2.86 %","   .00 %","  5.26 %","   .00 %","   .00 %","  4.31 %"," 12.50 %","","  3.27 %","   .76 %","   .00 %","-36.36 %"
"2020-04-29","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.91 %","   .69 %","","   .90 %","  4.51 %","   .00 %","   .00 %"
"2020-04-30","   .00 %","   .00 %","   .00 %","   .00 %","  4.17 %","  3.54 %"," 22.07 %","","  3.28 %","  1.44 %","  9.09 %","-57.14 %"
"2020-05-01","  8.82 %","  3.23 %","   .00 %","   .00 %","  2.00 %","  4.98 %","  4.52 %",""," 12.57 %","  2.84 %","   .00 %"," ##.## %"
"2020-05-02","  2.70 %","   .00 %","   .00 %","   .00 %","   .00 %","  4.55 %","   .00 %","","  6.29 %","  2.76 %","   .00 %"," ##.## %"
"2020-05-03","  2.63 %","   .00 %","   .00 %","   .00 %","  3.92 %","  4.82 %","  5.41 %","","  4.11 %","  4.03 %","   .00 %","-44.12 %"
"2020-05-04","  2.56 %","  3.12 %","   .00 %","   .00 %","   .00 %","  4.33 %","  2.56 %","","  1.86 %","  1.94 %","   .00 %","-21.05 %"
"2020-05-05","   .00 %","  3.03 %","  2.50 %","   .00 %","  1.89 %","  2.07 %","  3.00 %","","  1.14 %","  3.16 %","   .00 %","   .00 %"
"2020-05-06","  2.50 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.01 %","  3.40 %","","  1.69 %","  3.07 %","  8.33 %"," 33.33 %"
"2020-05-07","  2.44 %","  2.94 %","   .00 %","   .00 %","  1.85 %","  4.47 %","  3.29 %","","  3.32 %","  2.38 %","  7.69 %","  5.00 %"
"2020-05-08","   .00 %","  2.86 %","  4.88 %","   .00 %","  1.82 %","  5.12 %","  3.18 %","","  1.71 %","  1.74 %","   .00 %"," 33.33 %"
"2020-05-09","  4.76 %","   .00 %","   .00 %","   .00 %"," -1.79 %","  2.11 %","  3.08 %","","  1.58 %","  4.57 %","   .00 %"," 14.29 %"
"2020-05-10","  4.55 %","  2.78 %","   .00 %","   .00 %","  1.82 %","  2.42 %","  1.28 %","","  1.45 %","  4.92 %","   .00 %","-12.50 %"
"2020-05-11","   .00 %","   .00 %","   .00 %","   .00 %","  3.57 %","  4.03 %","  2.53 %","","  1.64 %","  2.08 %","   .00 %"," 10.71 %"
"2020-05-12","  2.17 %","   .00 %","  2.33 %","   .00 %"," -1.72 %","  3.68 %","  3.70 %","","  1.61 %","  1.53 %","   .00 %","-16.13 %"
"2020-05-13","   .00 %","   .00 %","  2.27 %","   .00 %","  1.75 %","  2.64 %","  1.59 %","","  1.09 %","  1.01 %","   .00 %","   .00 %"
"2020-05-14","  4.26 %","  5.41 %","   .00 %","   .00 %","  1.72 %","  2.01 %","  1.95 %","","  1.86 %","  6.97 %","   .00 %"," 30.77 %"
"2020-05-15","  2.04 %","   .00 %","  4.44 %"," ##.## %","  3.39 %","  3.45 %","   .00 %","","   .00 %","  2.79 %"," 14.29 %","   .00 %"
"2020-05-16","  2.00 %","  5.13 %","   .00 %","   .00 %","   .00 %","  2.56 %","  6.51 %","","  5.29 %","  4.07 %","   .00 %","-70.59 %"
"2020-05-17","  3.92 %","  7.32 %","   .00 %","   .00 %","   .00 %","  1.39 %","   .00 %","","   .82 %","   .87 %","   .00 %","   .00 %"
"2020-05-18","   .00 %","   .00 %","  2.13 %","   .00 %","  1.64 %","   .97 %","  1.44 %","","   .82 %","   .86 %","   .00 %"," ##.## %"
"2020-05-19","   .00 %","   .00 %","  2.08 %","   .00 %","  1.61 %","  3.17 %","   .35 %","","  2.25 %","  2.56 %","   .00 %","-65.62 %"
"2020-05-20","  1.89 %","   .00 %","   .00 %","   .00 %","  1.59 %","  6.15 %","  2.47 %","","  1.85 %","   .83 %","   .00 %"," 27.27 %"
"2020-05-21","   .00 %","  4.55 %","  2.04 %","   .00 %","  3.12 %","  1.60 %","  3.10 %","","  1.73 %","   .41 %","   .00 %","  7.14 %"
"2020-05-22","   .00 %","   .00 %","  2.00 %","   .00 %","  3.03 %","  2.09 %","  2.68 %","","  1.70 %","  2.06 %","   .00 %"," 13.33 %"
"2020-05-23","  1.85 %","   .00 %","   .00 %","   .00 %","  1.47 %","  2.25 %","  1.63 %","","  1.58 %","  2.02 %","  6.25 %","-11.76 %"
"2020-05-24","   .00 %","   .00 %","  1.96 %","   .00 %","   .00 %","  2.24 %","  2.56 %","","   .41 %","   .40 %","   .00 %"," -6.67 %"
"2020-05-25","   .00 %","   .00 %","  3.85 %","   .00 %","   .00 %","  1.77 %","   .31 %","","   .57 %","  1.18 %","   .00 %","-14.29 %"
"2020-05-26","  1.82 %","   .00 %","   .00 %"," 25.00 %","   .00 %","   .80 %","   .93 %","","   .81 %","   .78 %","   .00 %","   .00 %"
"2020-05-27","  1.79 %","   .00 %","   .00 %","   .00 %","  4.35 %","  1.58 %","   .93 %","","  1.13 %","   .77 %","   .00 %","-16.67 %"
"2020-05-28","   .00 %","   .00 %","  1.85 %","   .00 %","  2.78 %","  3.25 %","  1.22 %","","  1.83 %","   .77 %","   .00 %","   .00 %"
"2020-05-29","  1.75 %","   .00 %","  3.64 %","   .00 %","   .00 %","  3.90 %","   .91 %","","   .55 %","  1.52 %"," 11.76 %","-40.00 %"
"2020-05-30","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-31","  3.45 %","  2.17 %","   .00 %","   .00 %","  2.70 %","  5.21 %","  2.40 %","","  1.71 %","   .75 %","   .00 %","   .00 %"
"2020-06-01","   .00 %","  2.13 %","   .00 %","   .00 %","   .00 %","   .89 %","  1.17 %","","   .54 %","   .00 %","   .00 %","   .00 %"
"2020-06-02","  5.00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.69 %","  1.73 %","","   .53 %","   .74 %","   .00 %"," 66.67 %"
"2020-06-03","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.03 %","   .28 %","","  1.21 %","   .74 %","  5.26 %","   .00 %"
"2020-06-04","  1.59 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.35 %","  1.70 %","","   .82 %","  1.83 %","   .00 %","-20.00 %"
"2020-06-05","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," ##.## %"
"2020-06-06","  4.69 %","   .00 %","   .00 %","   .00 %","  1.32 %","  3.63 %","  3.34 %","","  2.30 %","  -.36 %","   .00 %","-88.24 %"
"2020-06-07","  1.49 %","   .00 %","   .00 %","   .00 %"," -1.30 %","   .81 %","   .27 %","","   .15 %","   .00 %","   .00 %","-10.00 %"
"2020-06-08","  2.94 %","   .00 %","  3.51 %"," 20.00 %","   .00 %","   .81 %","   .81 %","","   .43 %","   .00 %","   .00 %","   .00 %"
"2020-06-09","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-10","   .00 %","  2.08 %","   .00 %","   .00 %","   .00 %","  2.91 %","  2.13 %","","   .43 %","   .36 %"," 20.00 %","-11.11 %"
"2020-06-11","  2.86 %","   .00 %","  1.69 %","   .00 %","   .00 %","   .71 %","   .78 %","","   .57 %","   .00 %","  4.17 %","-50.00 %"
"2020-06-12","  1.39 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.05 %","  1.04 %","","   .43 %","   .00 %","   .00 %"," 25.00 %"
"2020-06-13","  1.37 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.46 %","   .26 %","","   .28 %","   .00 %","   .00 %","   .00 %"
"2020-06-14","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .58 %","   .00 %","","   .14 %","   .00 %","   .00 %","   .00 %"
"2020-06-15","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .71 %","   .26 %","","   .28 %","   .36 %","   .00 %","   .00 %"
"2020-06-16","   .00 %","   .00 %","  3.33 %","   .00 %"," -1.32 %","   .61 %","   .00 %","","   .14 %","   .00 %"," -4.00 %","-20.00 %"
"2020-06-17","   .00 %","   .00 %","  1.61 %","   .00 %","   .00 %","  2.25 %","   .00 %","","   .28 %","   .36 %","   .00 %","-25.00 %"
"2020-06-18","  2.70 %","   .00 %"," -1.59 %","   .00 %","  1.33 %","   .39 %","   .00 %","","   .14 %","   .00 %","   .00 %","-66.67 %"
"2020-06-19","  1.32 %","  4.08 %","  1.61 %","   .00 %","   .00 %","   .88 %","   .26 %","","   .21 %","   .36 %","   .00 %","   .00 %"
"2020-06-20","  1.30 %","   .00 %","  1.59 %","   .00 %","   .00 %","   .75 %","   .76 %","","   .14 %","   .71 %","   .00 %","   .00 %"
"2020-06-21","   .00 %","  1.96 %","   .00 %","   .00 %","   .00 %","   .51 %","   .00 %","","   .49 %","   .35 %","   .00 %"," ##.## %"
"2020-06-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .26 %","   .25 %","","   .21 %","   .35 %","   .00 %"," 50.00 %"
"2020-06-23","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .35 %","   .25 %","","   .21 %","   .00 %","   .00 %","-66.67 %"
"2020-06-24","   .00 %","   .00 %","  3.12 %","   .00 %","  1.32 %","   .57 %","   .50 %","","   .07 %","   .35 %","  4.17 %"," ##.## %"
"2020-06-25","   .00 %","  1.92 %","   .00 %","   .00 %","  3.90 %","   .76 %","   .25 %","","   .49 %","   .70 %","  8.00 %","   .00 %"
"2020-06-26","  1.28 %","   .00 %","  1.52 %","   .00 %","  3.75 %","   .38 %","  1.50 %","","   .34 %","   .69 %"," 11.11 %","   .00 %"
"2020-06-27","  2.53 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.00 %","   .25 %","","   .69 %","   .00 %","  3.33 %","   .00 %"
"2020-06-28","   .00 %","  1.89 %","   .00 %","   .00 %","  1.20 %","   .71 %","  -.25 %","","   .34 %","   .34 %","   .00 %","   .00 %"
"2020-06-29","   .00 %","   .00 %","  2.99 %","   .00 %","   .00 %","   .28 %","   .49 %","","   .00 %","   .34 %","   .00 %","-50.00 %"
"2020-06-30","   .00 %","   .00 %","  2.90 %"," 16.67 %","  1.19 %","   .37 %","   .24 %","","   .27 %","   .00 %","  3.23 %","   .00 %"
"2020-07-01","   .00 %","   .00 %","  1.41 %","   .00 %","  1.18 %","   .40 %","   .49 %","","   .14 %","   .00 %","  3.12 %","   .00 %"
"2020-07-02","   .00 %"," 12.96 %","   .00 %","   .00 %","   .00 %","   .21 %","   .49 %","","   .20 %","   .00 %","  3.03 %","   .00 %"
"2020-07-03","  1.23 %","   .00 %","   .00 %","   .00 %","  1.16 %","   .52 %","   .72 %","","   .68 %","   .68 %","   .00 %"," ##.## %"
"2020-07-04","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .30 %","   .24 %","","   .20 %","   .34 %","  2.94 %","-50.00 %"
"2020-07-05","   .00 %"," -1.64 %","  1.39 %","   .00 %","  1.15 %","   .57 %","   .00 %","","   .13 %","   .00 %","   .00 %"," ##.## %"
"2020-07-06","  3.66 %","  5.00 %","   .00 %"," 28.57 %","   .00 %","   .21 %","   .24 %","","   .07 %","   .34 %","   .00 %","-25.00 %"
"2020-07-07","  1.18 %","  1.59 %","  1.37 %","   .00 %","   .00 %","   .39 %","   .24 %","","   .27 %","  -.34 %","   .00 %","-66.67 %"
"2020-07-08","  1.16 %","   .00 %","   .00 %","   .00 %","  2.27 %","   .27 %","   .24 %","","   .40 %","   .34 %","   .00 %","   .00 %"
"2020-07-09","   .00 %","  1.56 %","  1.35 %","   .00 %","   .00 %","   .50 %","   .24 %","","   .00 %","   .34 %","   .00 %","   .00 %"
"2020-07-10","  1.15 %","  1.54 %","   .00 %","   .00 %","   .00 %","   .12 %","   .24 %","","   .60 %","   .34 %","   .00 %"," ##.## %"
"2020-07-11","  2.27 %","   .00 %","   .00 %"," 22.22 %","  1.11 %","   .56 %","   .47 %","","   .40 %","   .34 %","   .00 %","   .00 %"
"2020-07-12","   .00 %","  1.52 %","  1.33 %","   .00 %","   .00 %","   .50 %","   .47 %","","   .20 %","   .67 %","   .00 %"," ##.## %"
"2020-07-13","  1.11 %","   .00 %","   .00 %","   .00 %","  1.10 %","   .18 %","   .70 %","","   .20 %","   .00 %","  2.86 %","-16.67 %"
"2020-07-14","  1.10 %","  1.49 %","  1.32 %","   .00 %","  2.17 %","   .29 %","   .47 %","","   .33 %","  1.66 %","  2.78 %","-##.## %"
"2020-07-15","  1.09 %","  1.47 %","  1.30 %","   .00 %","  2.13 %","   .35 %","   .46 %","","   .20 %","   .00 %","   .00 %","   .00 %"
"2020-07-16","  2.15 %","   .00 %","  1.28 %","   .00 %","  1.04 %","   .38 %","   .23 %","","   .46 %","   .33 %","   .00 %","   .00 %"
"2020-07-17","   .00 %","  2.90 %","   .00 %","   .00 %","  1.03 %","   .52 %","   .23 %","","   .26 %","   .00 %","   .00 %","   .00 %"
"2020-07-18","   .00 %","   .00 %","  1.27 %"," 18.18 %","   .00 %","   .40 %","   .23 %","","   .39 %","  -.33 %","   .00 %","   .00 %"
"2020-07-19","  1.05 %","   .00 %","   .00 %","   .00 %","  1.02 %","   .29 %","   .46 %","","   .00 %","   .00 %","  2.70 %","   .00 %"
"2020-07-20","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.11 %","   .23 %","","   .39 %","   .00 %","   .00 %","   .00 %"
"2020-07-21","  1.04 %","  2.82 %","   .00 %","  7.69 %","   .00 %","   .23 %","   .23 %","","  -.06 %","   .33 %","   .00 %","   .00 %"
"2020-07-22","  1.03 %","  4.11 %","   .00 %","   .00 %","   .00 %","   .51 %","   .45 %","","   .39 %","   .98 %","   .00 %","   .00 %"
"2020-07-23","   .00 %","  1.32 %","   .00 %","   .00 %"," -1.01 %","   .42 %","   .23 %","","   .45 %","   .00 %","   .00 %","   .00 %"
"2020-07-24","  1.02 %","  2.60 %","   .00 %"," 14.29 %","   .00 %","  1.20 %","   .90 %","","   .25 %","   .32 %","   .00 %","   .00 %"
"2020-07-25","  2.02 %","   .00 %","   .00 %","   .00 %","  1.02 %","   .61 %","   .45 %","","   .51 %","  1.61 %","   .00 %","   .00 %"
"2020-07-26","   .00 %","   .00 %","  1.25 %","   .00 %","  2.02 %","   .36 %","   .22 %","","   .06 %","   .95 %","   .00 %","   .00 %"
"2020-07-27","   .00 %","  2.53 %","  1.23 %","   .00 %","   .00 %","   .03 %","   .22 %","","  -.06 %","   .31 %","   .00 %","   .00 %"
"2020-07-28","   .00 %","  3.70 %","  3.66 %","   .00 %","  1.98 %","   .63 %","   .00 %","","  1.64 %","   .62 %","   .00 %","   .00 %"
"2020-07-29","   .99 %","   .00 %","   .00 %","   .00 %","   .00 %","   .24 %","   .00 %","","   .12 %","   .31 %","   .00 %","   .00 %"
"2020-07-30","  1.96 %","  2.38 %","   .00 %","   .00 %","   .00 %","   .43 %","   .88 %","","   .25 %","   .00 %","   .00 %","   .00 %"
"2020-07-31","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .70 %","   .22 %","","   .68 %","   .62 %","  2.63 %","-66.67 %"
"2020-08-01","   .96 %","  3.49 %","  5.88 %","   .00 %","   .00 %","   .32 %","   .22 %","","   .31 %","   .92 %","  2.56 %","   .00 %"
"2020-08-02","  3.81 %","   .00 %","   .00 %","   .00 %","   .00 %","   .32 %","   .00 %","","   .18 %","   .61 %","   .00 %","-##.## %"
"2020-08-03","   .00 %","   .00 %","  2.22 %","   .00 %","   .00 %","   .21 %","   .00 %","","   .61 %","  1.52 %","   .00 %","   .00 %"
"2020-08-04","   .92 %","  1.12 %","  1.09 %","   .00 %","   .00 %","   .32 %","   .00 %","","   .73 %","   .90 %","   .00 %"," ##.## %"
"2020-08-05","  2.73 %","  1.11 %","  2.15 %","   .00 %","   .00 %","   .37 %","   .22 %","","   .36 %","   .00 %","   .00 %","-25.00 %"
"2020-08-06","   .00 %","  2.20 %","  1.05 %","   .00 %","   .00 %","   .16 %","   .22 %","","   .30 %","  2.37 %","   .00 %","   .00 %"
"2020-08-07","  1.77 %","   .00 %","   .00 %","   .00 %","   .00 %","   .45 %","   .65 %","","   .78 %","   .58 %","   .00 %","   .00 %"
"2020-08-08","   .00 %","   .00 %","  1.04 %","  6.25 %","   .00 %","   .47 %","   .22 %","","   .60 %","  1.44 %","   .00 %"," ##.## %"
"2020-08-09","   .00 %","  1.08 %","   .00 %","   .00 %","   .00 %","   .21 %","   .00 %","","   .18 %","  1.42 %","   .00 %","   .00 %"
"2020-08-10","   .00 %","   .00 %","  2.06 %","   .00 %","   .00 %","   .13 %","   .43 %","","   .00 %","   .56 %","   .00 %","-##.## %"
"2020-08-11","   .00 %","   .00 %","  2.02 %","   .00 %","   .97 %","   .21 %","   .00 %","","   .41 %","   .56 %","  2.50 %","   .00 %"
"2020-08-12","  1.74 %","  1.06 %","  1.98 %","   .00 %","   .96 %","   .23 %","   .21 %","","   .29 %","   .28 %","  7.32 %","   .00 %"
"2020-08-13","  1.71 %","   .00 %","   .00 %","   .00 %","   .00 %","   .49 %","  1.07 %","","   .53 %","   .00 %","   .00 %","-##.## %"
"2020-08-14","   .84 %","   .00 %","  2.91 %","   .00 %","   .95 %","   .72 %","   .00 %","","   .41 %","   .83 %","   .00 %","   .00 %"
"2020-08-15","   .00 %","  1.05 %","   .00 %","   .00 %","   .94 %","   .31 %","   .00 %","","   .12 %","   .27 %"," -2.27 %","   .00 %"
"2020-08-16","   .83 %","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %","","   .12 %","   .00 %","  2.33 %","   .00 %"
"2020-08-17","   .00 %","   .00 %","   .94 %","   .00 %","   .00 %","   .18 %","   .42 %","","   .35 %","   .00 %","   .00 %","   .00 %"
"2020-08-18","   .00 %","  2.08 %","   .00 %","   .00 %","   .00 %","   .15 %","   .21 %","","   .23 %","   .00 %","   .00 %","   .00 %"
"2020-08-19","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .30 %","   .42 %","","   .29 %","   .00 %","   .00 %","   .00 %"
"2020-08-20","   .00 %","   .00 %","   .93 %","   .00 %","   .00 %","   .08 %","   .63 %","","   .23 %","   .27 %","   .00 %","   .00 %"
"2020-08-21","   .00 %","  1.02 %","   .93 %","   .00 %","   .00 %","   .23 %","   .62 %","","   .29 %","   .54 %","   .00 %","   .00 %"
"2020-08-22","   .00 %","   .00 %","  1.83 %","   .00 %","  1.87 %","   .18 %","   .41 %","","   .52 %","   .27 %","   .00 %","   .00 %"
"2020-08-23","   .00 %","   .00 %","  3.60 %","   .00 %","   .00 %","   .00 %","   .41 %","","   .11 %","   .27 %","   .00 %"," ##.## %"
"2020-08-24","   .83 %","   .00 %","  3.48 %","   .00 %","   .00 %","   .10 %","  1.44 %","","   .74 %","  1.08 %","   .00 %","   .00 %"
