"date","Vermont/Addison","Vermont/Bennington","Vermont/Caledonia","Vermont/Chittenden","Vermont/Essex","Vermont/Franklin","Vermont/Grand Isle","Vermont/Lamoille","Vermont/Orange","Vermont/Orleans","Vermont/Rutland","Vermont/Unassigned","Vermont/Washington","Vermont/Windham","Vermont/Windsor"
"2020-06-23","68","69","18","590","3","102","8","30","9","14","61","5","41","91","55"
"2020-06-24","68","69","18","598","3","102","9","30","9","14","71","5","41","92","55"
"2020-06-25","68","70","19","599","3","103","10","30","9","14","71","5","41","93","56"
"2020-06-26","68","71","19","601","3","103","10","30","9","14","73","5","41","93","58"
"2020-06-27","68","71","19","601","3","104","10","30","9","14","73","5","41","94","58"
"2020-06-28","68","71","19","602","3","104","10","30","9","14","73","6","41","94","58"
"2020-06-29","68","72","19","607","3","104","10","30","9","14","73","6","41","94","58"
"2020-06-30","68","72","19","607","3","104","10","30","9","14","73","6","41","94","58"
"2020-07-01","68","72","19","608","3","105","10","30","9","14","73","6","41","94","58"
"2020-07-02","68","72","20","617","3","108","10","31","9","14","73","5","41","97","59"
"2020-07-03","68","73","20","622","3","110","10","31","9","14","74","5","41","97","59"
"2020-07-04","68","73","20","623","3","110","10","32","9","14","74","5","41","97","59"
"2020-07-05","68","73","21","629","3","110","10","34","10","14","74","5","42","97","59"
"2020-07-06","68","73","21","630","4","110","10","34","10","14","74","5","42","97","59"
"2020-07-07","68","73","21","631","4","110","10","34","10","14","75","5","42","98","59"
"2020-07-08","68","73","21","632","4","110","10","34","10","14","75","5","42","97","61"
"2020-07-09","68","74","21","643","5","110","10","36","10","14","75","5","42","98","61"
"2020-07-10","68","74","21","645","5","110","10","37","10","14","75","5","42","99","62"
"2020-07-11","68","74","21","650","5","110","10","37","10","14","75","5","43","99","62"
"2020-07-12","68","74","21","658","5","110","13","38","10","14","76","5","43","99","62"
"2020-07-13","68","74","22","659","5","110","13","39","10","14","78","5","43","99","62"
"2020-07-14","68","74","22","662","5","110","13","40","10","14","78","5","43","99","62"
"2020-07-15","70","76","23","667","5","110","13","40","10","14","78","5","44","99","64"
"2020-07-16","70","76","24","672","5","110","13","41","10","14","78","5","44","99","64"
"2020-07-17","70","76","24","679","5","110","13","41","10","14","79","5","44","99","65"
"2020-07-18","70","76","24","681","5","110","13","41","10","14","79","6","45","99","65"
"2020-07-19","70","79","24","683","5","110","13","42","11","14","80","9","45","100","65"
"2020-07-20","71","79","25","688","5","110","13","42","11","14","80","10","45","100","67"
"2020-07-21","71","80","25","696","4","111","13","42","11","14","80","7","45","100","67"
"2020-07-22","71","80","25","695","4","111","13","42","11","14","80","7","45","100","68"
"2020-07-23","71","80","25","705","4","111","13","42","11","14","80","7","45","100","69"
"2020-07-24","72","81","25","706","4","113","13","42","11","14","82","7","46","100","69"
"2020-07-25","71","81","25","711","4","114","13","42","14","14","83","7","47","101","69"
"2020-07-26","71","82","25","713","4","114","13","42","14","14","84","7","47","101","69"
"2020-07-27","71","82","25","713","4","115","13","42","15","14","84","7","47","101","69"
"2020-07-28","71","82","26","715","4","115","13","42","15","14","84","7","47","101","69"
"2020-07-29","71","83","26","715","4","115","13","42","15","14","84","7","47","101","69"
"2020-07-30","71","83","26","715","4","115","13","42","15","14","84","7","47","101","70"
"2020-07-31","71","83","26","715","4","117","13","42","15","14","89","7","47","101","70"
"2020-08-01","72","84","26","717","4","117","13","42","16","14","89","8","47","101","71"
"2020-08-02","72","84","26","720","4","117","13","42","16","14","89","8","49","101","71"
"2020-08-03","72","84","26","721","4","117","13","42","16","14","89","8","49","101","71"
"2020-08-04","73","84","26","723","4","117","13","42","16","14","89","8","50","101","71"
"2020-08-05","73","84","26","723","4","118","13","42","14","14","92","8","52","102","71"
"2020-08-06","73","85","26","723","4","118","13","43","14","14","97","8","53","102","72"
"2020-08-07","73","85","26","724","4","118","13","43","14","14","99","8","53","102","72"
"2020-08-08","73","85","26","728","6","118","13","43","14","14","99","8","53","102","72"
"2020-08-09","73","87","28","729","6","118","13","43","14","14","99","8","53","102","72"
"2020-08-10","73","88","28","730","6","118","13","43","14","14","100","8","53","102","72"
"2020-08-11","74","90","28","735","6","118","13","43","15","14","99","8","53","104","72"
"2020-08-12","74","90","28","735","6","118","13","43","15","14","100","8","57","104","73"
"2020-08-13","74","91","28","738","6","118","13","43","16","14","101","8","57","104","73"
"2020-08-14","74","92","28","749","6","120","13","43","16","15","101","8","57","105","74"
"2020-08-15","75","92","29","752","6","120","13","43","17","15","101","8","58","105","75"
"2020-08-16","76","92","29","756","6","121","13","43","17","15","101","8","58","105","75"
"2020-08-17","76","92","29","763","6","121","13","45","18","15","101","8","58","107","75"
"2020-08-18","76","92","29","763","6","121","13","45","18","15","102","8","58","109","75"
"2020-08-19","76","92","29","764","6","122","13","45","18","15","102","8","59","109","75"
"2020-08-20","76","92","30","766","6","122","13","45","19","15","102","8","59","109","75"
"2020-08-21","76","92","30","766","6","122","13","45","20","15","103","8","59","111","75"
"2020-08-22","77","95","30","770","6","122","13","45","20","15","103","8","60","114","75"
"2020-08-23","77","96","30","773","6","122","13","45","20","15","103","8","60","114","75"
"2020-08-24","77","96","30","775","6","123","13","45","20","15","105","8","61","117","75"
