"date","Connecticut/Fairfield","Connecticut/Hartford","Connecticut/Litchfield","Connecticut/Middlesex","Connecticut/New Haven","Connecticut/New London","Connecticut/Tolland","Connecticut/Unassigned","Connecticut/Windham"
"2020-05-11","  1.67 %","  1.81 %","  1.75 %","  3.28 %","  2.63 %","  3.60 %","  1.34 %"," 10.00 %"," 12.33 %"
"2020-05-12","  1.38 %","  1.44 %","  1.13 %","  2.23 %","  2.38 %","  3.46 %","   .43 %"," 10.00 %","  7.33 %"
"2020-05-13","  1.20 %","  1.73 %","  1.33 %","  1.46 %","  2.18 %","  3.74 %","  1.29 %"," 13.33 %"," 13.05 %"
"2020-05-14","  1.45 %","  2.09 %","  1.85 %","   .69 %","  2.26 %","  2.81 %","  2.10 %","  5.33 %"," 13.49 %"
"2020-05-15","  1.61 %","  2.44 %","  1.47 %","  1.54 %","  2.24 %","  3.13 %","  1.67 %","  5.33 %"," 11.98 %"
"2020-05-16","  1.70 %","  2.54 %","  1.27 %","  1.54 %","  2.25 %","  3.03 %","  1.67 %"," -1.33 %"," 11.98 %"
"2020-05-17","  1.84 %","  2.81 %","  1.08 %","  1.52 %","  2.48 %","  2.62 %","  2.84 %","-11.33 %"," 15.31 %"
"2020-05-18","  1.54 %","  2.40 %","  1.08 %","  2.48 %","  2.19 %","  1.93 %","  1.99 %"," -4.67 %","  9.60 %"
"2020-05-19","  1.20 %","  1.76 %","   .35 %","  2.14 %","  1.79 %","  1.27 %","  1.18 %","  3.33 %","  5.15 %"
"2020-05-20","  1.03 %","  1.72 %","  1.03 %","  1.12 %","  1.78 %","  1.55 %","  1.55 %","  3.33 %","  3.33 %"
"2020-05-21","   .96 %","  1.65 %","   .86 %","  1.12 %","  1.79 %","  2.38 %","  1.55 %"," 10.00 %","  3.33 %"
"2020-05-22","   .84 %","  1.56 %","   .86 %","  1.57 %","  1.68 %","  1.80 %","   .37 %"," 20.00 %","   .00 %"
"2020-05-23","   .94 %","  1.52 %","  1.02 %","   .76 %","  1.57 %","  1.80 %","   .37 %","   .00 %","   .00 %"
"2020-05-24","   .93 %","  1.52 %","   .69 %","   .76 %","  1.51 %","  2.36 %","   .37 %","-20.00 %","   .00 %"
"2020-05-25","   .91 %","  1.24 %","   .83 %","  1.05 %","  1.52 %","  2.83 %","   .36 %","-20.00 %","   .00 %"
"2020-05-26","   .85 %","  1.04 %","  1.30 %","  1.63 %","  1.14 %","  1.36 %","   .36 %","-20.00 %","   .00 %"
"2020-05-27","   .77 %","   .82 %","  1.46 %","  1.16 %","  1.02 %","  1.89 %","   .72 %","-20.00 %","   .00 %"
"2020-05-28","   .62 %","   .66 %","   .99 %","  1.15 %","  1.07 %","  2.91 %","   .72 %","-40.00 %","   .00 %"
"2020-05-29","   .68 %","   .79 %","  1.46 %","  1.43 %","  1.17 %","  2.83 %","   .72 %","-20.00 %","   .00 %"
"2020-05-30","   .74 %","   .85 %","   .79 %","  1.69 %","   .94 %","  2.69 %","   .36 %","-20.00 %","   .00 %"
"2020-05-31","   .74 %","   .94 %","   .62 %","  1.37 %","  1.00 %","  2.69 %","   .36 %","-20.00 %","   .00 %"
"2020-06-01","   .73 %","   .91 %","   .92 %","  1.36 %","   .84 %","  2.44 %","   .35 %","-20.00 %"," -1.43 %"
"2020-06-02","   .65 %","   .74 %","   .78 %","   .83 %","   .81 %","  1.65 %","  1.04 %","   .00 %","   .11 %"
"2020-06-03","   .50 %","   .60 %","   .47 %","   .82 %","   .68 %","  1.61 %","  1.04 %","   .00 %","   .11 %"
"2020-06-04","   .41 %","   .45 %","   .47 %","   .54 %","   .53 %","  1.10 %","  1.04 %","   .00 %","   .11 %"
"2020-06-05","   .42 %","   .43 %","   .16 %","   .40 %","   .55 %","  1.32 %","  1.04 %","   .00 %","   .11 %"
"2020-06-06","   .32 %","   .32 %","  -.29 %","   .53 %","   .67 %","  1.32 %","   .69 %","   .00 %","  1.54 %"
"2020-06-07","   .39 %","   .54 %","   .15 %","  1.17 %","   .50 %","  1.09 %","   .00 %","   .00 %","   .00 %"
"2020-06-08","   .42 %","   .50 %","   .15 %","  1.03 %","   .46 %","   .86 %","   .00 %","   .00 %","   .00 %"
"2020-06-09","   .40 %","   .39 %","   .30 %","  1.14 %","   .48 %","   .42 %","   .33 %","   .00 %","  1.43 %"
"2020-06-10","   .26 %","   .40 %","   .00 %","  1.14 %","   .50 %","   .42 %","   .33 %","   .00 %","   .10 %"
"2020-06-11","   .36 %","   .45 %","   .15 %","  1.00 %","   .47 %","   .63 %","   .66 %","-20.00 %","   .10 %"
"2020-06-12","   .38 %","   .40 %","   .15 %","   .87 %","   .47 %","   .63 %","   .66 %","-20.00 %","   .10 %"
"2020-06-13","   .44 %","   .46 %","   .15 %","   .98 %","   .55 %","   .82 %","   .66 %","-20.00 %","   .10 %"
"2020-06-14","   .41 %","   .55 %","   .00 %","   .96 %","   .55 %","  1.02 %","   .33 %","-20.00 %"," -1.33 %"
"2020-06-15","   .39 %","   .38 %","   .15 %","   .84 %","   .41 %","  1.01 %","   .33 %","-20.00 %","   .00 %"
"2020-06-16","   .25 %","   .33 %","   .00 %","   .72 %","   .29 %","   .81 %","   .00 %","   .00 %","   .00 %"
"2020-06-17","   .22 %","   .27 %","   .00 %","   .60 %","   .35 %","   .61 %","   .32 %","   .00 %","   .00 %"
"2020-06-18","   .10 %","   .23 %","   .00 %","   .47 %","   .21 %","   .20 %","   .64 %","   .00 %","   .00 %"
"2020-06-19","   .13 %","   .21 %","  -.15 %","   .12 %","   .23 %","   .00 %","   .64 %","   .00 %","   .00 %"
"2020-06-20","   .21 %","   .24 %","   .00 %","   .12 %","   .29 %","  -.20 %","   .64 %","   .00 %","   .00 %"
"2020-06-21","   .16 %","   .30 %","   .00 %","   .35 %","   .29 %","  -.20 %","   .64 %","   .00 %","   .00 %"
"2020-06-22","   .15 %","   .28 %","   .00 %","   .35 %","   .21 %","   .00 %","   .32 %","   .00 %","   .00 %"
"2020-06-23","   .22 %","   .24 %","   .15 %","   .58 %","   .25 %","   .20 %","   .00 %","   .00 %","   .00 %"
"2020-06-24","   .22 %","   .22 %","   .15 %","   .80 %","   .19 %","   .20 %","   .00 %","   .00 %","   .00 %"
"2020-06-25","   .18 %","   .27 %","   .15 %","   .80 %","   .15 %","   .20 %","   .00 %","   .00 %","   .00 %"
"2020-06-26","   .20 %","   .22 %","   .15 %","   .91 %","   .15 %","   .20 %","   .00 %","   .00 %","   .00 %"
"2020-06-27","   .19 %","   .28 %","   .15 %","   .91 %","   .11 %","   .20 %","   .00 %","   .00 %","   .00 %"
"2020-06-28","   .12 %","   .25 %","   .00 %","   .67 %","   .15 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-29","   .09 %","   .21 %","   .00 %","   .45 %","   .17 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-30","   .04 %","   .12 %","   .15 %","   .55 %","   .13 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-01","   .01 %","   .12 %","   .15 %","   .33 %","   .07 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-02","   .01 %","   .07 %","   .15 %","   .33 %","   .09 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-03","   .03 %","   .13 %","   .15 %","   .33 %","   .07 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-04","   .01 %","   .12 %","   .15 %","   .33 %","   .04 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-05","   .01 %","   .12 %","   .00 %","   .22 %","   .04 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-06","   .01 %","   .10 %","   .00 %","   .11 %","   .09 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-07","   .01 %","   .09 %","   .00 %","   .11 %","   .07 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-08","   .01 %","   .06 %","   .00 %","   .11 %","   .04 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-09","   .04 %","   .10 %","   .00 %","   .11 %","   .04 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-10","   .04 %","   .10 %","   .00 %","   .11 %","   .04 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-11","   .04 %","   .07 %","   .00 %","   .11 %","   .02 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-12","   .04 %","   .07 %","   .00 %","   .11 %","   .02 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-13","   .10 %","   .13 %","   .29 %","   .00 %","   .15 %","  -.20 %","   .31 %","   .00 %","   .00 %"
"2020-07-14","   .07 %","   .13 %","   .15 %","   .00 %","   .15 %","   .00 %","   .31 %","-20.00 %","   .00 %"
"2020-07-15","   .10 %","   .19 %","   .15 %","   .11 %","   .17 %","   .00 %","   .31 %","-20.00 %","   .00 %"
"2020-07-16","   .16 %","   .24 %","   .15 %","   .21 %","   .17 %","   .00 %","   .31 %","-20.00 %","   .00 %"
"2020-07-17","   .22 %","   .26 %","   .15 %","   .21 %","   .20 %","   .00 %","   .31 %","-20.00 %","   .00 %"
"2020-07-18","   .14 %","   .17 %","  -.14 %","   .21 %","   .06 %","   .20 %","   .00 %","-20.00 %","   .00 %"
"2020-07-19","   .14 %","   .13 %","   .00 %","   .21 %","   .06 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-20","   .17 %","   .11 %","   .00 %","   .11 %","   .07 %","   .00 %","   .00 %","   .00 %","  1.43 %"
"2020-07-21","   .11 %","   .06 %","   .00 %","   .00 %","   .07 %","   .00 %","   .00 %","   .00 %","  1.43 %"
"2020-07-22","   .06 %","   .06 %","   .00 %","  -.11 %","   .04 %","   .00 %","   .00 %","   .00 %","  1.43 %"
"2020-07-23","   .09 %","   .07 %","   .00 %","  -.11 %","   .06 %","   .00 %","   .00 %","   .00 %","  1.43 %"
"2020-07-24","   .10 %","   .07 %","   .00 %","  -.11 %","   .09 %","   .00 %","   .00 %","   .00 %","  1.43 %"
"2020-07-25","   .04 %","   .03 %","   .00 %","  -.11 %","   .05 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-26","   .04 %","   .03 %","   .00 %","  -.11 %","   .05 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-27","   .04 %","   .04 %","   .00 %","   .11 %","   .09 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-28","   .03 %","   .04 %","   .00 %","   .11 %","   .11 %","   .20 %","   .00 %","   .00 %","   .00 %"
"2020-07-29","   .03 %","   .04 %","   .00 %","   .11 %","   .09 %","   .20 %","   .00 %","   .00 %","   .00 %"
"2020-07-30","   .06 %","   .04 %","   .00 %","   .32 %","   .11 %","   .20 %","   .31 %","   .00 %","   .00 %"
"2020-07-31","   .06 %","   .06 %","   .00 %","   .32 %","   .11 %","   .20 %","   .31 %","   .00 %","   .00 %"
"2020-08-01","   .06 %","   .03 %","   .00 %","   .21 %","   .07 %","   .20 %","   .31 %","   .00 %","   .00 %"
"2020-08-02","   .04 %","   .01 %","   .00 %","   .21 %","   .04 %","   .00 %","   .31 %","   .00 %","   .00 %"
"2020-08-03","   .06 %","   .01 %","   .00 %","   .21 %","   .07 %","   .00 %","   .31 %","   .00 %","   .00 %"
"2020-08-04","   .03 %","   .01 %","   .00 %","   .00 %","   .05 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-05","   .03 %","   .00 %","   .00 %","   .00 %","   .05 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-06","   .00 %","   .03 %","   .00 %","   .00 %","   .05 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-07","   .03 %","   .04 %","   .00 %","   .10 %","   .05 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-08","   .00 %","   .04 %","   .00 %","   .10 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-09","   .00 %","   .04 %","   .00 %","   .10 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-10","   .01 %","   .04 %","   .00 %","   .10 %","   .04 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-11","   .04 %","   .01 %","   .00 %","   .10 %","   .04 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-12","   .03 %","   .01 %","   .14 %","   .00 %","   .09 %","   .19 %","  -.30 %","   .00 %","   .00 %"
"2020-08-13","   .03 %","   .01 %","   .14 %","   .00 %","   .09 %","   .19 %","  -.30 %","   .00 %","   .00 %"
"2020-08-14","   .03 %","   .06 %","   .14 %","   .00 %","   .09 %","   .19 %","  -.30 %","   .00 %","   .00 %"
"2020-08-15","   .01 %","   .06 %","   .14 %","   .00 %","   .05 %","   .19 %","  -.30 %","   .00 %","   .00 %"
"2020-08-16","   .01 %","   .06 %","   .14 %","   .00 %","   .05 %","   .19 %","  -.30 %","   .00 %","   .00 %"
"2020-08-17","   .01 %","   .06 %","   .00 %","   .00 %","   .00 %","   .19 %","   .00 %","   .00 %","   .00 %"
"2020-08-18","   .01 %","   .06 %","   .00 %","   .00 %","   .00 %","   .19 %","   .00 %","   .00 %","   .00 %"
"2020-08-19","   .00 %","   .00 %","   .00 %","   .00 %","   .04 %","   .38 %","   .00 %","   .00 %","   .00 %"
"2020-08-20","   .00 %","   .01 %","   .00 %","   .00 %","   .04 %","   .38 %","   .00 %","   .00 %","   .00 %"
"2020-08-21","   .01 %","   .04 %","   .00 %","   .00 %","   .04 %","   .19 %","   .00 %","   .00 %","   .00 %"
"2020-08-22","   .00 %","   .03 %","   .00 %","   .00 %","   .04 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-23","   .00 %","   .03 %","   .00 %","   .00 %","   .04 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-24","   .01 %","   .04 %","   .00 %","   .00 %","   .00 %","  -.19 %","   .00 %","   .00 %","   .00 %"
