"date","Himachal Pradesh/Bilaspur","Himachal Pradesh/Chamba","Himachal Pradesh/Hamirpur","Himachal Pradesh/Kangra","Himachal Pradesh/Kinnaur","Himachal Pradesh/Kullu","Himachal Pradesh/Lahaul and Spiti","Himachal Pradesh/Mandi","Himachal Pradesh/Shimla","Himachal Pradesh/Sirmaur","Himachal Pradesh/Solan","Himachal Pradesh/Una"
"2020-05-24","8","14","60","49","","","","11","","","20","29"
"2020-05-25","11","18","61","57","","","","","6","","",""
"2020-05-26","","20","76","60","","","","","9","","","30"
"2020-05-27","18","","91","63","","","","11","9","","","31"
"2020-05-28","18","","91","67","","","","12","","","23",""
"2020-05-29","","","99","72","","","","","","","","32"
"2020-05-30","","","105","77","","1","","12","","","26","36"
"2020-05-31","","","109","85","","2","","","","","30","37"
"2020-06-01","","24","110","","","","","13","","","32","38"
"2020-06-02","18","","110","88","","","","15","","3","","38"
"2020-06-03","19","25","112","92","2","","","17","10","","","39"
"2020-06-04","20","28","116","96","","3","","20","11","10","32","39"
"2020-06-05","21","29","118","99","","4","","20","12","","","40"
"2020-06-06","","30","119","103","","","","","","","","41"
"2020-06-07","22","32","121","107","","","","21","13","","32","41"
"2020-06-08","","","121","","","","","","","11","34","48"
"2020-06-09","","","122","113","","","","22","","19","",""
"2020-06-10","24","32","","116","","4","","22","14","21","35","53"
"2020-06-11","24","34","124","124","","","","22","15","22","37","56"
"2020-06-12","24","35","129","126","","","","22","","25","38","60"
"2020-06-13","24","35","129","136","","","","22","19","26","39","60"
"2020-06-14","29","36","129","140","","","","22","21","","40","63"
"2020-06-15","","39","132","143","","4","","","22","","59","72"
"2020-06-16","29","","","145","3","","","23","","","59","72"
"2020-06-17","","42","139","153","","","","23","","27","61","76"
"2020-06-18","29","43","","156","","","","","26","","63","76"
"2020-06-19","31","43","153","164","","","","","","27","71","76"
"2020-06-20","32","","164","168","","5","","","30","29","74","79"
"2020-06-21","","44","164","179","","","","","","31","77","79"
"2020-06-22","37","","180","189","","","","24","33","33","81","92"
"2020-06-23","","46","203","206","3","5","","","36","","","95"
"2020-06-24","38","50","219","209","","","","24","37","","84","98"
"2020-06-25","38","50","223","226","4","","","","39","35","91","98"
"2020-06-26","","51","226","242","","","","25","39","36","92","100"
"2020-06-27","43","51","236","249","7","","","27","","","95",""
"2020-06-28","44","51","","260","8","","","28","40","37","98","103"
"2020-06-29","","52","241","266","","5","2","30","","37","108","103"
"2020-06-30","","52","243","270","","","","","40","","109","107"
"2020-07-01","46","52","248","276","13","","3","32","41","38","110","109"
"2020-07-02","47","","251","278","30","","4","33","47","39","110","112"
"2020-07-03","","54","254","280","34","","","34","47","39","111","118"
"2020-07-04","47","","263","281","","","","34","47","39","114","118"
"2020-07-05","47","","263","286","","7","","35","","","116","125"
"2020-07-06","48","58","265","288","","","","36","","","119","126"
"2020-07-07","","","265","289","","","","36","49","","120","128"
"2020-07-08","48","","266","296","34","","","37","","40","126","130"
"2020-07-09","","","266","296","","","","38","52","","159","132"
"2020-07-10","51","59","269","298","35","8","4","38","55","","175","133"
"2020-07-11","51","59","270","301","","","4","38","55","41","177","137"
"2020-07-12","52","61","","307","","","","39","59","45","187","140"
"2020-07-13","","","274","310","","","","40","60","","208","140"
"2020-07-14","","68","","312","36","","","","62","","259","143"
"2020-07-15","63","71","274","312","","14","","","","46","268","145"
"2020-07-16","","","276","317","","14","4","44","63","47","286","150"
"2020-07-17","63","78","276","320","39","19","","46","69","57","290",""
"2020-07-18","63","78","277","327","","20","","47","71","62","306","157"
"2020-07-19","","","279","332","","","","48","","88","332","161"
"2020-07-20","66","80","281","344","39","21","","50","94","109","374","163"
"2020-07-21","","","283","351","","22","","50","97","122","381",""
"2020-07-22","","84","284","357","","","","53","120","129","391","170"
"2020-07-23","67","86","286","368","39","","","60","121","171","434",""
"2020-07-24","68","86","289","383","41","24","","86","124","200","472","171"
"2020-07-25","","93","291","387","","24","","101","125","225","507","177"
"2020-07-26","73","","297","408","","","","111","143","241","548","187"
"2020-07-27","84","96","298","424","","24","","121","148","272","563","189"
"2020-07-28","87","103","300","428","41","24","","126","151","299","567","194"
"2020-07-29","87","","302","441","44","33","","133","159","304","593",""
"2020-07-30","88","","","450","45","35","","157","165","326","628","197"
"2020-07-31","88","105","304","458","","","","165","165","329","654","206"
"2020-08-01","99","109","305","466","","37","","172","168","344","663","216"
"2020-08-02","101","113","311","474","","","","183","178","345","690","216"
"2020-08-03","110","117","313","480","","","","213","180","349","722","242"
"2020-08-04","127","119","316","490","","39","","220","182","354","734","243"
"2020-08-05","","136","","494","","","","220","184","354","742","249"
"2020-08-06","134","137","337","498","46","86","","227","188","363","758","263"
"2020-08-07","138","150","","510","46","92","","228","196","378","794","271"
"2020-08-08","","193","345","518","","96","","236","197","402","811","272"
"2020-08-09","147","216","358","527","46","101","","250","204","413","822","277"
"2020-08-10","148","","367","531","48","103","","270","207","433","853","277"
"2020-08-11","148","230","368","537","48","104","","271","207","441","856","277"
"2020-08-12","","254","","550","","121","","273","","461","903","293"
"2020-08-13","155","267","387","552","58","190","","287","216","470","913","311"
"2020-08-14","160","279","392","560","59","200","6","290","217","478","914","313"
"2020-08-15","172","283","405","573","","208","","304","230","486","939","322"
"2020-08-16","181","292","412","612","","227","","317","231","512","975","326"
"2020-08-17","182","295","412","614","","","","317","233","514","981","328"
"2020-08-18","182","297","414","618","","238","","331","248","515","982","339"
"2020-08-19","210","309","418","634","69","243","","352","253","536","1033","342"
"2020-08-20","","312","425","637","","244","","371","","560","1097","348"
"2020-08-21","220","344","433","650","","245","","379","260","583","1177","356"
"2020-08-22","263","346","459","667","73","253","7","384","266","584","1230","357"
"2020-08-23","263","353","463","684","","254","","386","268","618","1257","369"
"2020-08-24","269","361","466","699","76","255","7","390","270","648","1273","381"
"2020-08-25","269","361","466","715","","258","","391","272","658","1283","392"
"2020-08-26","285","374","","726","77","270","","391","287","716","1312","404"
"2020-08-27","293","384","489","751","79","270","8","394","296","753","1363","415"
"2020-08-28","296","400","491","781","81","271","","395","308","788","1382","430"
"2020-08-29","300","403","503","795","","271","","397","320","839","1409","449"
"2020-08-30","303","415","532","840","","273","","398","330","876","1425","458"
"2020-08-31","323","431","565","858","81","283","8","400","338","886","1451","486"
"2020-09-01","358","432","573","883","81","283","","400","352","920","1456","503"
"2020-09-02","361","441","596","924","96","285","","402","365","927","1492","513"
"2020-09-03","374","442","609","964","102","287","","403","376","979","1533","532"
"2020-09-04","381","475","616","1001","","290","","435","384","1012","1568","552"
"2020-09-05","","484","638","1029","103","291","","447","389","1023","1639","580"
"2020-09-06","412","536","658","1089","","359","","487","420","1045","1696","596"
"2020-09-07","419","541","","1140","","","19","542","437","1051","1762","623"
"2020-09-08","425","551","678","1194","","364","","554","462","1069","1770","636"
"2020-09-09","440","599","706","1230","104","371","19","558","481","1109","1839","685"
"2020-09-10","449","602","706","1287","116","375","","624","516","1122","1938","706"
"2020-09-11","461","618","726","1344","116","381","","672","540","1146","2011","744"
"2020-09-12","496","627","732","1431","121","383","19","763","583","1194","2072","802"
"2020-09-13","515","632","","1478","","383","","808","604","1248","2169","840"
"2020-09-14","527","639","736","1533","121","388","29","909","632","1258","2275","870"
"2020-09-15","543","644","744","1565","121","395","","1030","676","1318","2359","905"
"2020-09-16","556","656","748","1657","135","403","75","1088","727","1332","2476","936"
"2020-09-17","568","663","751","1733","135","416","90","1158","757","1414","2525","974"
"2020-09-18","598","677","760","1757","138","433","96","1228","826","1481","2566","1056"
"2020-09-19","628","691","776","1809","139","443","96","1252","859","1510","2624","1075"
"2020-09-20","628","700","777","1824","139","462","109","1332","885","1525","2636","1106"
"2020-09-21","657","727","816","1881","163","468","121","1360","910","1546","2660","1123"
"2020-09-22","671","744","826","1900","166","493","122","1426","958","1625","2698","1134"
"2020-09-23","688","769","837","1956","167","527","128","1456","985","1642","2726","1162"
"2020-09-24","724","780","842","1977","172","545","131","1521","1071","1669","2780","1168"
"2020-09-25","740","787","857","2034","181","554","133","1555","1107","1717","2806","1202"
"2020-09-26","764","798","863","2089","183","567","137","1597","1156","1730","2883","1223"
"2020-09-27","766","807","880","2117","185","573","137","1632","1178","1756","2918","1236"
"2020-09-28","781","814","908","2187","190","589","151","1656","1219","1784","2929","1243"
"2020-09-29","800","829","911","2238","190","603","154","1671","1284","1807","2988","1266"
"2020-09-30","820","846","915","2274","191","646","157","1715","1300","1817","3018","1271"
"2020-10-01","838","851","921","2311","196","670","166","1748","1322","1838","3047","1305"
"2020-10-02","855","870","936","2356","196","685","174","1776","1347","1853","3077","1323"
"2020-10-03","868","883","949","2397","196","705","175","1826","1391","1864","3100","1335"
"2020-10-04","889","892","955","2406","196","719","175","1848","1400","1871","3147","1347"
"2020-10-05","905","915","975","2443","197","720","175","1862","1436","1891","3150","1358"
"2020-10-06","920","919","977","2463","201","774","176","1880","1485","1918","3189","1375"
"2020-10-07","944","932","983","2510","206","791","176","1946","1516","1926","3244","1385"
"2020-10-08","962","943","991","2527","207","803","180","2000","1553","1951","3265","1390"
"2020-10-09","984","951","994","2561","207","835","184","2028","1592","1961","3277","1397"
"2020-10-10","1000","967","1004","2592","207","860","218","2083","1637","1970","3294","1406"
"2020-10-11","1009","970","1017","2636","207","870","218","2096","1656","1989","3320","1414"
"2020-10-12","1019","980","1024","2654","211","894","228","2113","1692","2004","3332","1421"
"2020-10-13","1037","986","1033","2677","212","902","246","2143","1730","2024","3339","1427"
"2020-10-14","1052","995","1044","2693","212","936","251","2177","1784","2051","3376","1431"
"2020-10-15","1077","1007","1063","2719","212","958","269","2238","1845","2067","3398","1444"
"2020-10-16","1101","1021","1071","2737","236","984","270","2281","1887","2076","3405","1447"
