"date","Connecticut/Fairfield","Connecticut/Hartford","Connecticut/Litchfield","Connecticut/Middlesex","Connecticut/New Haven","Connecticut/New London","Connecticut/Tolland","Connecticut/Unassigned","Connecticut/Windham"
"2020-04-11","  8.37 %"," 14.77 %"," 25.00 %","  5.88 %","  9.18 %","   .00 %","  7.14 %"," 25.00 %","   .00 %"
"2020-04-12"," 12.73 %"," 14.85 %"," 20.00 %","   .00 %"," 11.21 %","   .00 %"," 13.33 %","-20.00 %","   .00 %"
"2020-04-13","  5.65 %"," 14.66 %","   .00 %","  5.56 %"," 13.45 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-14","  9.54 %"," 15.04 %"," 20.83 %"," 10.53 %"," 11.85 %","   .00 %","  5.88 %","   .00 %","   .00 %"
"2020-04-15"," 27.18 %"," 39.22 %"," 20.69 %"," 33.33 %"," 29.14 %","   .00 %"," 22.22 %","-50.00 %","   .00 %"
"2020-04-16"," 11.23 %"," 14.08 %"," 25.71 %","  7.14 %","  9.74 %"," 28.57 %","   .00 %","   .00 %","   .00 %"
"2020-04-17","  4.68 %","  9.47 %","  4.55 %","  6.67 %","  7.01 %"," 11.11 %","  9.09 %","   .00 %"," ##.## %"
"2020-04-18","  1.65 %","  8.65 %","  4.35 %"," 15.62 %","  5.24 %","   .00 %","   .00 %"," 50.00 %","   .00 %"
"2020-04-19","  3.47 %","  2.08 %","   .00 %","  8.11 %","  6.64 %","   .00 %","   .00 %"," 33.33 %","   .00 %"
"2020-04-20"," 14.54 %"," 25.08 %"," 20.83 %"," 12.50 %"," 17.12 %"," 30.00 %"," 12.50 %","   .00 %","   .00 %"
"2020-04-21","  6.25 %","  8.94 %","  1.72 %","  4.44 %","  6.98 %","   .00 %"," 11.11 %","   .00 %","   .00 %"
"2020-04-22","  7.35 %","  9.95 %","  6.78 %"," 12.77 %","  7.14 %","  7.69 %","  6.67 %","   .00 %"," ##.## %"
"2020-04-23","  5.31 %","  6.11 %","  4.76 %","  7.55 %","  7.83 %"," 21.43 %","  3.12 %"," 50.00 %","-42.86 %"
"2020-04-24","  7.64 %","  8.96 %","  4.55 %"," 10.53 %","  6.45 %"," 35.29 %","  3.03 %","   .00 %","-25.00 %"
"2020-04-25","  4.08 %","  8.22 %","  5.80 %"," -1.59 %","  5.05 %"," 21.74 %","  2.94 %","   .00 %","   .00 %"
"2020-04-26","  2.61 %","  4.70 %","  1.37 %","  6.45 %","  3.12 %"," 10.71 %","   .00 %","-##.## %","   .00 %"
"2020-04-27","  2.83 %","  5.70 %","  1.35 %","  4.55 %","  6.29 %","  9.68 %","   .00 %","   .00 %","   .00 %"
"2020-04-28","  2.75 %","  5.07 %","  1.33 %","  1.45 %","  4.82 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-29","  3.61 %","  4.20 %","  3.95 %","  8.57 %","  3.14 %","  2.94 %","  2.86 %"," ##.## %","   .00 %"
"2020-04-30","  4.65 %","  4.18 %","  1.27 %","  3.95 %","  3.85 %","  2.86 %","   .00 %"," 33.33 %","-33.33 %"
"2020-05-01","  3.58 %","  2.44 %","  7.50 %","  3.80 %","  4.10 %"," 16.67 %","  5.56 %","-50.00 %","   .00 %"
"2020-05-02","  3.10 %","  3.64 %","  3.49 %"," 10.98 %","  6.00 %","  2.38 %","  2.63 %","-50.00 %","   .00 %"
"2020-05-03","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-04","  5.20 %","  4.32 %","  5.62 %","  2.20 %","  5.31 %","  4.65 %","  2.56 %"," ##.## %"," 50.00 %"
"2020-05-05","  2.75 %","  4.01 %","  1.06 %","  2.15 %","  2.52 %","   .00 %","  7.50 %","-33.33 %"," 33.33 %"
"2020-05-06","  1.82 %","  4.73 %","  5.26 %","  3.16 %","  3.11 %","  4.44 %","  2.33 %","   .00 %","   .00 %"
"2020-05-07","  2.63 %","  2.97 %","  4.00 %","  6.12 %","  2.23 %","  4.26 %","  4.55 %","   .00 %"," 25.00 %"
"2020-05-08","  2.97 %","  1.96 %","  -.96 %","  3.85 %","  4.04 %","  2.04 %","   .00 %"," 50.00 %","   .00 %"
"2020-05-09","  1.09 %","  1.92 %","  1.94 %","  5.56 %","  2.54 %","  8.00 %","   .00 %","   .00 %"," 20.00 %"
"2020-05-10","   .69 %","   .89 %","  1.90 %","   .88 %","  2.19 %","   .00 %","  2.17 %","   .00 %"," 16.67 %"
"2020-05-11","   .98 %","  1.32 %","  1.87 %","   .00 %","  2.14 %","  3.70 %","   .00 %","   .00 %","   .00 %"
"2020-05-12","  1.16 %","  1.09 %","   .92 %","   .87 %","   .98 %","  3.57 %","   .00 %","   .00 %","   .00 %"
"2020-05-13","  2.10 %","  3.44 %","   .00 %","   .00 %","  3.04 %","  3.45 %","  4.26 %"," 66.67 %"," 28.57 %"
"2020-05-14","  2.34 %","  3.74 %","  4.55 %","  1.72 %","  2.95 %","  3.33 %","  4.08 %","-40.00 %"," 22.22 %"
"2020-05-15","  1.46 %","  2.60 %","   .00 %","  5.08 %","  2.09 %","  1.61 %","   .00 %","   .00 %","  9.09 %"
"2020-05-16","  1.44 %","  1.85 %","   .87 %","   .00 %","  2.17 %","  3.17 %","   .00 %","-33.33 %","   .00 %"
"2020-05-17","  1.87 %","  2.39 %","   .00 %","   .81 %","  2.12 %","  1.54 %","  5.88 %","-50.00 %"," 16.67 %"
"2020-05-18","   .61 %","  1.40 %","   .00 %","  4.80 %","  1.59 %","   .00 %","   .00 %"," ##.## %","   .00 %"
"2020-05-19","   .61 %","   .55 %","   .86 %","   .00 %","   .96 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-20","   .60 %","  2.39 %","  3.42 %","   .00 %","  2.03 %","  3.03 %","  1.85 %","   .00 %","   .00 %"
"2020-05-21","  1.11 %","  1.52 %","   .00 %","   .00 %","  2.22 %","  7.35 %","   .00 %","   .00 %","   .00 %"
"2020-05-22","  1.27 %","  1.94 %","   .00 %","  3.05 %","  1.60 %"," -1.37 %","   .00 %","   .00 %","   .00 %"
"2020-05-23","  1.09 %","  1.21 %","   .83 %","   .74 %","  1.01 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-24","   .58 %","   .51 %","  -.82 %","   .00 %","   .67 %","  2.78 %","   .00 %","-##.## %","   .00 %"
"2020-05-25","   .49 %","  1.02 %","  4.13 %","  1.47 %","  2.10 %","  5.41 %","  1.82 %","   .00 %","   .00 %"
"2020-05-26","   .82 %","   .51 %","  2.38 %","  2.90 %","   .33 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-27","   .89 %","   .84 %","   .78 %","   .70 %","   .97 %","  1.28 %","  1.79 %","   .00 %","   .00 %"
"2020-05-28","   .32 %","   .42 %"," -1.54 %","   .70 %","  1.28 %","  5.06 %","   .00 %","-##.## %","   .00 %"
"2020-05-29","   .88 %","  1.16 %","  1.56 %","  1.39 %","  1.16 %","  2.41 %","   .00 %","   .00 %","   .00 %"
"2020-05-30","   .80 %","  1.31 %","   .77 %","  2.74 %","   .94 %","  4.71 %","   .00 %","   .00 %","   .00 %"
"2020-05-31","   .79 %","   .97 %","  1.53 %","  1.33 %","   .62 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-01","   .86 %","   .72 %","  2.26 %","   .66 %","   .21 %","   .00 %","  1.75 %","   .00 %"," -7.14 %"
"2020-06-02","  -.08 %","  -.48 %"," -2.21 %"," -1.96 %","  1.13 %","  1.12 %","  3.45 %","   .00 %","  7.69 %"
"2020-06-03","   .16 %","   .48 %","   .00 %","  1.33 %","   .51 %","  2.22 %","   .00 %","   .00 %","   .00 %"
"2020-06-04","   .31 %","   .56 %","   .75 %","  1.32 %","   .20 %","  2.17 %","   .00 %","   .00 %","   .00 %"
"2020-06-05","   .85 %","   .87 %","   .00 %","   .65 %","   .71 %","  1.06 %","   .00 %","   .00 %","   .00 %"
"2020-06-06","   .38 %","   .16 %","   .00 %","  1.29 %","   .80 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-07","   .23 %","   .63 %","   .00 %","  1.27 %","   .30 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-08","   .30 %","   .31 %","   .00 %","   .63 %","   .30 %","  1.05 %","   .00 %","   .00 %","   .00 %"
"2020-06-09","   .23 %","   .00 %","  1.49 %","  1.88 %","   .30 %","   .00 %","  1.67 %","   .00 %","  7.14 %"
"2020-06-10","   .15 %","   .93 %"," -1.47 %","   .61 %","   .79 %","  1.04 %","   .00 %","   .00 %"," -6.67 %"
"2020-06-11","   .91 %","   .38 %","   .75 %","   .61 %","   .68 %","  1.03 %","  1.64 %","-##.## %","   .00 %"
"2020-06-12","   .30 %","   .38 %","   .00 %","   .61 %","   .29 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-13","   .60 %","   .61 %","   .00 %","  1.20 %","   .68 %","  2.04 %","   .00 %","   .00 %","   .00 %"
"2020-06-14","   .07 %","   .45 %","   .74 %","  1.79 %","   .29 %","  1.00 %","   .00 %","   .00 %","   .00 %"
"2020-06-15","   .07 %","   .08 %","  -.74 %","   .00 %","   .10 %","   .99 %","   .00 %","   .00 %","   .00 %"
"2020-06-16","   .22 %","   .15 %","   .00 %","   .00 %","   .10 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-17","   .15 %","   .08 %","   .00 %","   .00 %","   .57 %","  -.98 %","  1.61 %","   .00 %","   .00 %"
"2020-06-18","   .00 %","   .38 %","   .00 %","   .58 %","   .00 %","   .00 %","  1.59 %","   .00 %","   .00 %"
"2020-06-19","   .22 %","   .37 %","   .00 %","   .00 %","   .38 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-20","   .44 %","   .22 %","   .00 %","   .00 %","   .38 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-21","   .00 %","   .45 %","   .00 %","  1.16 %","   .09 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-22","   .07 %","   .00 %","   .00 %","   .00 %","   .19 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-23","   .37 %","   .15 %","   .74 %","  1.72 %","   .19 %","   .99 %","   .00 %","   .00 %","   .00 %"
"2020-06-24","   .22 %","   .30 %","   .00 %","  1.13 %","   .09 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-25","   .22 %","   .44 %","   .00 %","   .00 %","   .19 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-26","   .15 %","   .22 %","   .00 %","  1.68 %","   .09 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-27","   .00 %","   .29 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-28","   .00 %","   .00 %","   .00 %","   .55 %","   .37 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-29","   .07 %","   .07 %","   .00 %","   .00 %","   .19 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-30","   .00 %","   .00 %","   .74 %","   .55 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-01","   .00 %","   .22 %","   .00 %","   .54 %","  -.19 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-02","   .00 %","   .07 %","   .00 %","   .00 %","   .09 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-03","   .07 %","   .29 %","   .00 %","   .54 %","   .28 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-04","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-05","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-06","   .00 %","   .15 %","   .00 %","   .00 %","   .09 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-07","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-08","   .07 %","   .14 %","   .00 %","   .54 %","   .09 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-09","   .15 %","   .22 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-10","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-11","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-12","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-13","   .36 %","   .43 %","  1.46 %","   .00 %","   .74 %","  -.98 %","  1.56 %","   .00 %","   .00 %"
"2020-07-14","   .00 %","   .22 %","  -.72 %","   .00 %","   .00 %","   .99 %","   .00 %","-##.## %","   .00 %"
"2020-07-15","   .14 %","   .29 %","   .00 %","   .53 %","   .09 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-16","   .29 %","   .29 %","   .00 %","   .53 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-17","   .29 %","   .07 %","   .00 %","   .00 %","   .18 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-18","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-19","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-20","   .29 %","   .21 %","   .00 %","   .00 %","   .18 %","   .00 %","   .00 %","   .00 %","  7.14 %"
"2020-07-21","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-22","   .00 %","   .07 %","   .00 %","  -.53 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-23","   .14 %","   .07 %","   .00 %","   .00 %","   .09 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-24","   .07 %","   .00 %","   .00 %","   .00 %","   .18 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-25","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-26","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-27","   .00 %","   .14 %","   .00 %","   .53 %","   .18 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-28","   .07 %","   .07 %","   .00 %","   .00 %","   .18 %","   .98 %","   .00 %","   .00 %","   .00 %"
"2020-07-29","   .07 %","   .00 %","   .00 %","   .00 %","   .09 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-30","   .14 %","   .00 %","   .00 %","  1.06 %","   .09 %","   .00 %","  1.54 %","   .00 %","   .00 %"
"2020-07-31","   .00 %","   .07 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-01","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-02","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-03","   .14 %","   .00 %","   .00 %","   .00 %","   .27 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-04","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-05","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-06","  -.14 %","   .14 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-07","   .14 %","   .07 %","   .00 %","   .52 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-08","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-09","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-10","   .07 %","   .00 %","   .00 %","   .00 %","   .18 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-11","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-12","   .07 %","   .07 %","   .72 %","   .00 %","   .27 %","   .97 %"," -1.52 %","   .00 %","   .00 %"
"2020-08-13","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-14","   .00 %","   .21 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-15","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-16","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-17","   .07 %","   .07 %","   .00 %","   .00 %","   .00 %","   .96 %","   .00 %","   .00 %","   .00 %"
"2020-08-18","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-19","  -.07 %","  -.07 %","   .00 %","   .00 %","   .18 %","   .95 %","   .00 %","   .00 %","   .00 %"
"2020-08-20","   .00 %","   .07 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-21","   .07 %","   .14 %","   .00 %","   .00 %","   .00 %","  -.94 %","   .00 %","   .00 %","   .00 %"
"2020-08-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-23","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-24","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
