"date","Punjab/Amritsar","Punjab/Barnala","Punjab/Bathinda","Punjab/Faridkot","Punjab/Fatehgarh Sahib","Punjab/Fazilka","Punjab/Ferozepur","Punjab/Gurdaspur","Punjab/Hoshiarpur","Punjab/Jalandhar","Punjab/Kapurthala","Punjab/Ludhiana","Punjab/Mansa","Punjab/Moga","Punjab/Pathankot","Punjab/Patiala","Punjab/Rupnagar","Punjab/S.A.S. Nagar","Punjab/Sangrur","Punjab/Shahid Bhagat Singh Nagar","Punjab/Sri Muktsar Sahib","Punjab/Tarn Taran"
"2020-06-20","-40.00 %","-66.67 %","","","   .00 %","","","","","-40.51 %","-42.86 %","-63.16 %","   .00 %","   .00 %","-75.00 %","-12.50 %","","   .00 %","-22.22 %","","","   .00 %"
"2020-06-21","-80.95 %","","","-80.00 %","-50.00 %"," ##.## %","","   .00 %","   .00 %","-85.11 %","-25.00 %"," ##.## %","",""," ##.## %","-57.14 %"," ##.## %","-63.64 %","-85.71 %"," ##.## %","-66.67 %","-50.00 %"
"2020-06-22"," ##.## %",""," 33.33 %"," ##.## %"," ##.## %"," ##.## %","   .00 %"," ##.## %","-71.43 %"," ##.## %","-##.## %","-42.59 %","","   .00 %","-60.00 %"," 66.67 %","","-50.00 %"," ##.## %","   .00 %"," 50.00 %"," ##.## %"
"2020-06-23","-78.57 %","   .00 %"," ##.## %","-66.67 %"," ##.## %","","-63.64 %","-60.00 %","-50.00 %"," 80.95 %","   .00 %","  9.68 %"," ##.## %"," ##.## %",""," ##.## %","   .00 %",""," 20.00 %","","","-33.33 %"
"2020-06-24"," ##.## %","","-45.45 %","   .00 %","-90.00 %","","   .00 %","-75.00 %",""," 13.16 %"," ##.## %","-20.59 %","-66.67 %","-88.89 %","   .00 %","-25.00 %"," 50.00 %","   .00 %"," ##.## %","-50.00 %"," ##.## %",""
"2020-06-25"," ##.## %","","","   .00 %","","-85.71 %"," 25.00 %"," ##.## %","   .00 %","-46.51 %","-22.22 %","-22.22 %","   .00 %"," ##.## %","","-11.11 %","-66.67 %","-20.00 %","-70.31 %","","-75.76 %","-50.00 %"
"2020-06-26","-56.25 %","","",""," ##.## %"," ##.## %","-60.00 %"," ##.## %","","",""," ##.## %","","","   .00 %"," ##.## %"," ##.## %"," 50.00 %"," 26.32 %","","",""
"2020-06-27"," 35.71 %"," 33.33 %","   .00 %","","","","   .00 %","-88.89 %","   .00 %","-21.74 %","-71.43 %","-82.09 %","","-66.67 %","","-96.77 %","-83.33 %"," 33.33 %","-29.17 %","   .00 %","-87.50 %",""
"2020-06-28","-36.84 %","",""," ##.## %","   .00 %","-92.31 %"," 50.00 %"," ##.## %","-40.00 %","   .00 %"," ##.## %"," ##.## %","","","   .00 %"," ##.## %","","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"
"2020-06-29"," 75.00 %"," ##.## %","   .00 %"," 50.00 %","-66.67 %","","   .00 %","-62.50 %","","-55.56 %","-75.00 %","-64.10 %","   .00 %","-50.00 %","-25.00 %"," ##.## %","   .00 %","-50.00 %"," 33.33 %"," ##.## %",""," ##.## %"
"2020-06-30","-66.67 %",""," ##.## %",""," ##.## %","","","-66.67 %"," 33.33 %"," ##.## %"," ##.## %"," ##.## %",""," ##.## %"," 66.67 %","-93.33 %","-80.00 %"," ##.## %","-63.33 %","-90.00 %","",""
"2020-07-01"," ##.## %","","-50.00 %","-33.33 %",""," ##.## %",""," ##.## %"," 25.00 %","-80.77 %","","-11.11 %","","-28.57 %","-20.00 %","   .00 %","","-45.45 %","-90.91 %","","","-66.67 %"
"2020-07-02","","   .00 %"," ##.## %","   .00 %","-88.89 %"," 25.00 %"," 33.33 %"," 25.00 %","-80.00 %"," ##.## %"," 50.00 %"," -7.50 %","","-40.00 %",""," ##.## %"," ##.## %","   .00 %","-50.00 %","","   .00 %","   .00 %"
"2020-07-03","   .00 %","-75.00 %","-83.33 %","-50.00 %","","-80.00 %","-50.00 %"," ##.## %","   .00 %"," 58.33 %","-88.89 %"," 45.95 %",""," 33.33 %","   .00 %"," 71.43 %","","-33.33 %"," ##.## %"," ##.## %",""," ##.## %"
"2020-07-04","-10.00 %"," ##.## %"," ##.## %","","   .00 %","   .00 %"," ##.## %","-81.82 %","   .00 %"," ##.## %"," ##.## %","-14.81 %","   .00 %","-50.00 %"," ##.## %","-75.00 %","   .00 %"," 25.00 %","-11.11 %","-83.33 %","","-66.67 %"
"2020-07-05"," 11.11 %","-60.00 %","-33.33 %"," ##.## %","   .00 %","   .00 %"," ##.## %"," ##.## %","","-88.33 %",""," 34.78 %","   .00 %"," ##.## %"," ##.## %"," ##.## %",""," ##.## %","-50.00 %","","   .00 %","-50.00 %"
"2020-07-06"," 10.00 %",""," 25.00 %","   .00 %"," ##.## %","",""," 71.43 %",""," ##.## %","   .00 %","-59.68 %","   .00 %","","-25.00 %","-24.00 %",""," -6.25 %"," 12.50 %","   .00 %","   .00 %",""
"2020-07-07","-27.27 %","","-60.00 %","-87.50 %","   .00 %","","-75.00 %","-83.33 %","   .00 %","-80.95 %"," 40.00 %"," ##.## %",""," ##.## %"," 66.67 %"," ##.## %","   .00 %","-86.67 %"," ##.## %"," ##.## %","",""
"2020-07-08"," 37.50 %",""," ##.## %"," ##.## %","","-##.## %"," ##.## %"," ##.## %",""," ##.## %","","-84.62 %"," ##.## %","-##.## %","-60.00 %","-90.48 %","-66.67 %"," ##.## %","-88.64 %","","   .00 %","   .00 %"
"2020-07-09"," 27.27 %","   .00 %","-80.00 %","-88.89 %","   .00 %","   .00 %"," 33.33 %","-12.50 %","   .00 %","-57.33 %","   .00 %"," ##.## %"," 50.00 %","   .00 %","   .00 %"," ##.## %"," ##.## %"," 66.67 %"," ##.## %","   .00 %"," ##.## %"," ##.## %"
"2020-07-10"," 42.86 %","   .00 %"," ##.## %","-50.00 %","-62.50 %","   .00 %","-66.67 %"," 14.29 %","   .00 %"," 93.75 %","","-27.78 %","-66.67 %","-66.67 %"," ##.## %","-47.62 %","   .00 %"," ##.## %","-18.75 %"," 25.00 %","-66.67 %","-##.## %"
"2020-07-11"," -5.00 %"," ##.## %","-80.00 %"," ##.## %","-33.33 %"," ##.## %"," ##.## %","-87.50 %","-66.67 %"," 24.19 %","","-25.64 %",""," ##.## %",""," ##.## %","","-42.86 %","-46.15 %"," 20.00 %","",""
"2020-07-12"," 15.79 %",""," ##.## %","-66.67 %","   .00 %","","-75.00 %","   .00 %"," ##.## %","-53.25 %","-60.00 %"," ##.## %"," ##.## %","","   .00 %","-61.82 %"," 33.33 %"," 91.67 %"," 71.43 %"," ##.## %"," ##.## %","   .00 %"
"2020-07-13"," 13.64 %","   .00 %","-25.00 %"," ##.## %"," ##.## %","   .00 %"," ##.## %","   .00 %"," ##.## %"," 47.22 %"," 50.00 %","  8.33 %","","   .00 %"," ##.## %"," ##.## %","   .00 %"," 13.04 %","-50.00 %","-52.17 %"," ##.## %",""
"2020-07-14","-12.00 %","-50.00 %","-88.89 %"," ##.## %","-65.00 %"," 33.33 %","-50.00 %"," ##.## %","-40.00 %"," 30.19 %"," ##.## %"," 21.54 %","-83.33 %","-87.50 %","-88.89 %","-42.05 %"," ##.## %"," -3.85 %"," ##.## %","-18.18 %","","   .00 %"
"2020-07-15","   .00 %"," ##.## %"," ##.## %","-50.00 %","-28.57 %","-50.00 %"," ##.## %","-50.00 %","   .00 %"," 33.33 %","","-22.78 %","","   .00 %"," ##.## %","-50.98 %","-77.78 %","-48.00 %","-75.00 %","   .00 %","-14.29 %","   .00 %"
"2020-07-16"," 31.82 %",""," ##.## %"," 33.33 %"," ##.## %"," ##.## %","-57.14 %"," ##.## %"," 66.67 %","-67.39 %","   .00 %","-16.39 %",""," ##.## %","-85.71 %"," 12.00 %","-50.00 %"," 76.92 %"," ##.## %"," 33.33 %","-50.00 %",""
"2020-07-17"," 17.24 %","   .00 %","-88.24 %","-12.50 %","","-83.33 %","-88.89 %"," 20.00 %"," ##.## %"," ##.## %","-25.00 %"," 23.53 %","   .00 %"," -6.25 %"," ##.## %"," ##.## %"," ##.## %","-39.13 %","-26.67 %","-91.67 %"," ##.## %","-50.00 %"
"2020-07-18"," -8.82 %",""," ##.## %","-14.29 %","   .00 %"," 75.00 %"," ##.## %","-33.33 %","-64.71 %"," -8.97 %","-66.67 %"," 14.29 %","-50.00 %","-33.33 %","-66.67 %","-14.29 %","   .00 %"," ##.## %"," ##.## %"," ##.## %","-66.67 %",""
"2020-07-19"," -9.68 %","   .00 %","","-33.33 %"," 25.00 %","-28.57 %","-13.33 %","-25.00 %","-83.33 %","-15.49 %"," ##.## %","  5.56 %"," ##.## %","-50.00 %"," ##.## %","-14.58 %","-85.71 %","-25.00 %","-47.83 %"," ##.## %","   .00 %"," ##.## %"
"2020-07-20"," 39.29 %"," ##.## %"," ##.## %"," ##.## %"," ##.## %","","-69.23 %","-33.33 %"," ##.## %","-55.00 %","   .00 %","  9.21 %"," 25.00 %"," ##.## %"," ##.## %"," ##.## %"," ##.## %","-57.14 %"," 75.00 %",""," ##.## %",""
"2020-07-21"," 43.59 %","-66.67 %","-70.59 %","","-50.00 %","   .00 %","-50.00 %"," ##.## %","-92.59 %"," 22.22 %","-75.00 %","-24.10 %","   .00 %","-55.56 %","","-24.18 %"," ##.## %"," ##.## %"," ##.## %","","","   .00 %"
"2020-07-22","-75.00 %"," ##.## %","-80.00 %"," 41.67 %"," ##.## %","   .00 %"," 50.00 %","-90.00 %"," ##.## %","  9.09 %"," ##.## %"," 11.11 %","   .00 %","-50.00 %","","-27.54 %","-78.57 %"," 29.17 %","-76.71 %","   .00 %","   .00 %"," 60.00 %"
"2020-07-23"," 35.71 %","-20.00 %"," ##.## %","-23.53 %","-26.32 %","-68.00 %"," ##.## %"," ##.## %","-88.89 %"," 66.67 %","-45.45 %"," 12.86 %","-20.00 %","   .00 %","   .00 %","  6.00 %",""," -3.23 %"," 23.53 %","-55.56 %"," ##.## %"," 25.00 %"
"2020-07-24"," ##.## %","-25.00 %","","-53.85 %","-57.14 %"," ##.## %"," -5.56 %","-28.57 %"," ##.## %"," 26.67 %"," 50.00 %","-44.30 %"," 25.00 %"," ##.## %",""," 32.08 %"," ##.## %","-60.00 %","   .00 %"," ##.## %","-76.92 %","-50.00 %"
"2020-07-25","   .00 %"," ##.## %","-57.14 %"," 66.67 %"," ##.## %","","-35.29 %"," 60.00 %","-97.14 %","-61.84 %"," 11.11 %"," ##.## %","-80.00 %","-66.67 %","   .00 %","-42.86 %","-40.00 %"," ##.## %"," 80.95 %","-70.00 %","","   .00 %"
"2020-07-26","-12.73 %","-50.00 %"," 50.00 %","-90.00 %","-16.67 %","   .00 %"," 18.18 %"," -6.25 %"," ##.## %"," ##.## %","-30.00 %","-39.31 %"," ##.## %","-75.00 %"," 71.43 %"," ##.## %"," 16.67 %","-12.50 %","-55.26 %"," 33.33 %","   .00 %"," ##.## %"
"2020-07-27"," -4.17 %"," 70.00 %","-66.67 %","   .00 %"," 20.00 %","",""," ##.## %","-54.76 %","-31.94 %"," 28.57 %"," ##.## %"," 14.29 %"," ##.## %","   .00 %","-51.81 %","-28.57 %"," 10.71 %","   .00 %","-50.00 %"," ##.## %"," 26.67 %"
"2020-07-28"," 56.52 %","-94.12 %"," ##.## %"," ##.## %","-66.67 %"," -8.33 %"," ##.## %","-52.83 %","-78.95 %"," 10.20 %"," ##.## %","-24.43 %","-87.50 %","   .00 %","-75.00 %"," 65.00 %"," ##.## %"," -3.23 %"," 82.35 %","   .00 %","-87.50 %","-10.53 %"
"2020-07-29","  8.33 %"," ##.## %",""," ##.## %"," ##.## %","-59.09 %","-94.59 %"," 36.00 %","-75.00 %","-16.67 %","-72.00 %","-28.57 %","","-27.78 %"," ##.## %"," 30.30 %","-57.69 %","  3.33 %"," -3.23 %"," ##.## %"," ##.## %"," 35.29 %"
"2020-07-30","-17.95 %","-65.71 %","-57.14 %"," ##.## %","","-66.67 %"," ##.## %","-79.41 %"," ##.## %"," 51.11 %"," 57.14 %"," 50.53 %","   .00 %","-23.08 %","-66.67 %","-83.72 %","","-41.94 %","-53.33 %",""," 25.00 %","-30.43 %"
"2020-07-31","   .00 %"," ##.## %","-80.00 %","-##.## %","   .00 %","","-97.26 %"," 14.29 %"," ##.## %","-64.71 %","-81.82 %"," 74.13 %","   .00 %","-90.00 %"," ##.## %"," ##.## %","-27.27 %"," 33.33 %"," 64.29 %"," 80.00 %","-60.00 %","-56.25 %"
"2020-08-01","-25.00 %","-18.75 %"," ##.## %","   .00 %"," 40.00 %"," ##.## %"," ##.## %"," ##.## %"," 27.27 %"," ##.## %"," ##.## %","-33.33 %","   .00 %"," ##.## %","-55.81 %","-51.47 %"," 50.00 %"," 41.67 %"," 60.87 %","-66.67 %","   .00 %"," ##.## %"
"2020-08-02"," -6.25 %"," 34.62 %","-63.16 %"," ##.## %","-52.38 %","-81.08 %","-12.50 %","-66.29 %","-71.43 %","-41.98 %","-13.89 %","-11.45 %"," 28.57 %"," ##.## %","-57.89 %"," 51.52 %","-75.00 %"," 52.94 %","-32.43 %"," 33.33 %","","-85.71 %"
"2020-08-03","-35.56 %","-42.86 %"," ##.## %","-85.71 %","-90.00 %"," ##.## %"," 21.43 %"," 13.33 %"," ##.## %"," 11.70 %","-64.52 %"," 29.25 %","","-73.81 %"," 62.50 %","-66.00 %","","-78.85 %","-68.00 %","","","-50.00 %"
