"date","Manipur/Bishnupur","Manipur/CAPF Personnel","Manipur/CAPF Personnel ","Manipur/Chandel","Manipur/Churachandpur","Manipur/Imphal East","Manipur/Imphal West","Manipur/Jiribam","Manipur/Kakching","Manipur/Kamjong","Manipur/Kangpokpi","Manipur/Meitram","Manipur/Noney","Manipur/Pherzawl","Manipur/Senapati","Manipur/Tamenglong","Manipur/Tengnoupal","Manipur/Thoubal","Manipur/Ukhrul","Manipur/kasom khulem"
"2020-08-20","  2.65 %","   .99 %","","  1.33 %","","  1.85 %","  2.13 %","","","","","","","","   .39 %","","","  1.42 %","   .73 %",""
"2020-08-21","  3.23 %","  2.84 %",""," 10.53 %","   .58 %","  7.85 %","  5.49 %","","   .56 %","","","","","","","   .41 %","","  1.00 %","",""
"2020-08-22","  3.12 %","  2.34 %","","  3.57 %","  1.15 %","  4.76 %","  2.71 %","","   .56 %","","","","","","","","","   .99 %","",""
"2020-08-23","  3.03 %","  4.88 %","","  1.15 %","","  4.55 %","  3.55 %","","   .55 %","","","","  1.75 %","","","","","  1.18 %","   .36 %",""
"2020-08-24","  1.18 %","  4.16 %","","","  1.42 %","  6.39 %","  3.03 %","","   .55 %","","","","","","","","","  1.36 %","  1.08 %",""
"2020-08-25","  7.56 %","   .76 %","","  2.27 %","  1.12 %","  1.68 %","  3.61 %","","","","","","","","","","","  1.92 %","",""
"2020-08-26","  2.16 %","  2.36 %","","","   .83 %","  7.57 %","  5.22 %","","   .55 %","","   .31 %","","  5.17 %","","   .39 %","","","  2.63 %","",""
"2020-08-27","  2.12 %","  1.66 %","","  6.67 %","   .55 %","  2.20 %","  7.40 %","","","","  1.56 %","","","","   .39 %","","","  1.47 %","   .36 %",""
"2020-08-28","   .52 %","  3.35 %","","   .00 %","   .54 %","  5.16 %","  3.00 %","","   .54 %","","","","","","   .77 %",""," 10.00 %","  2.17 %","",""
"2020-08-29","  1.03 %","  2.63 %","","  1.04 %","  1.08 %","  1.84 %","  4.88 %","","","","","","","","","","","  1.06 %","",""
"2020-08-30","  1.02 %","  1.62 %","","  1.03 %","  1.88 %","  4.82 %","  3.68 %","","  9.73 %","","   .31 %","","","","   .38 %",""," 18.18 %","  3.50 %","  2.13 %",""
"2020-08-31","   .51 %","  3.11 %","","  1.02 %","  1.32 %","  4.02 %","  1.88 %","  7.89 %","","","   .31 %","","","","  1.15 %",""," 42.31 %","  2.87 %","  2.78 %",""
"2020-09-01","  3.52 %","   .24 %","","","  1.56 %","   .92 %","  4.26 %","  4.88 %","","","   .61 %","","","","   .75 %","  5.69 %","","  3.61 %","   .68 %",""
"2020-09-02","  8.25 %","   .16 %","","  1.01 %","  7.16 %","  3.28 %","  2.73 %","","  2.46 %","","","","","","","","","  2.22 %","",""
"2020-09-03","  1.79 %","  2.19 %","","  7.00 %","   .48 %","  1.94 %","   .93 %","","","","","","","","",""," 45.95 %","  3.10 %","",""
"2020-09-04","  5.73 %","  1.91 %","","","","  2.08 %","   .66 %","  2.33 %","   .96 %","","","","","","",""," 27.78 %","  1.20 %","",""
"2020-09-05","  1.25 %","  1.87 %","","","   .95 %","  2.04 %","  6.40 %","","","","  2.12 %","","  9.84 %","","   .37 %","   .38 %"," 13.04 %","  2.82 %","   .34 %",""
"2020-09-06","   .82 %","  1.38 %","","","   .47 %","  3.49 %","  4.54 %","","","","","","","","   .37 %","   .38 %","","  2.60 %","   .67 %",""
"2020-09-07","  2.86 %","  1.51 %","","  2.80 %","  1.17 %","  2.57 %","   .82 %","  5.30 %","   .48 %","","   .59 %","","  1.49 %","","","","","  1.13 %","",""
"2020-09-08","  5.56 %","   .15 %","","   .91 %","   .69 %","  4.23 %","  1.22 %","  3.60 %","   .95 %","","","","  1.47 %","","","   .38 %","","  2.37 %","   .66 %",""
"2020-09-09","  4.51 %","  1.86 %","","","","  7.97 %","  2.99 %","","  1.88 %","","  1.47 %","","","","  1.12 %","","","   .68 %","   .33 %",""
"2020-09-10","  2.16 %","  1.90 %","","","   .69 %","  1.53 %","   .84 %","  1.39 %","   .46 %","","","","","","","  1.14 %","  2.56 %","  5.00 %","   .33 %",""
"2020-09-11","   .70 %","   .57 %","","   .90 %","   .91 %","  2.06 %","  3.27 %","","  1.38 %","","   .29 %","","","","","","  2.50 %","  1.54 %","   .66 %",""
"2020-09-12","   .70 %","  2.06 %","","   .89 %","  2.04 %","  4.44 %","  3.22 %","   .68 %","   .90 %","","","","  2.90 %","","","","","  1.52 %","   .33 %",""
"2020-09-13","  3.47 %","   .77 %","","","  2.66 %","  2.96 %","  3.27 %","","   .45 %","","   .58 %","","","","","","","  2.75 %","",""
"2020-09-14","   .34 %","  1.25 %","","  4.42 %","  2.16 %","  2.12 %","   .81 %","   .68 %","","","   .29 %","","  4.23 %","","","   .75 %","","  2.43 %","   .65 %",""
"2020-09-15","  4.68 %","  1.03 %","","","   .63 %","  5.26 %","  7.39 %","","  1.79 %","","","","","","","   .75 %","  2.44 %","   .59 %","   .97 %",""
"2020-09-16","  1.28 %","  1.15 %","","","  2.10 %","  3.37 %","  1.21 %","","","","   .29 %","","  4.05 %","","","","","  2.12 %","   .64 %",""
"2020-09-18","","  4.28 %","","","","","","","","","","","","","","","","","",""
"2020-09-19","  2.52 %","   .06 %","","","  1.65 %","  3.71 %","  1.75 %","   .68 %","   .88 %","","","","","","   .74 %","","","  2.77 %","",""
"2020-09-20","  2.46 %","   .13 %","","","  1.01 %","  2.28 %","  4.42 %","","","   .63 %","  1.72 %","","  1.30 %","","  1.09 %","  5.56 %","","  1.12 %","",""
"2020-09-21","   .90 %","  1.86 %","","","   .40 %","  4.14 %","   .09 %","","  2.17 %","","  1.97 %","","  1.28 %","","   .36 %","  1.75 %","","  2.44 %","",""
"2020-09-22","  1.79 %","  3.52 %","","  2.54 %","  1.00 %"," 10.18 %","  2.33 %","","  2.98 %","   .62 %","   .28 %","","","","   .36 %","  1.38 %","  3.57 %","  3.15 %","",""
"2020-09-23","   .29 %","  1.15 %","","   .83 %","   .79 %","  1.76 %","  1.01 %","  2.01 %","  4.13 %","","   .28 %","","","","   .36 %","   .34 %","","  1.26 %","",""
"2020-09-24","  2.33 %","","","   .82 %","  4.31 %","  3.18 %","  1.50 %","","  3.57 %","   .62 %","  1.92 %",""," 18.99 %","","   .36 %","","","  1.87 %","  2.54 %",""
"2020-09-25","  1.42 %","  3.48 %","","","  2.07 %","  1.14 %","  5.23 %","","  4.60 %","","   .27 %","","","","","  2.37 %","  6.90 %","  1.22 %","   .62 %",""
"2020-09-26","   .84 %","  1.16 %","","","  3.68 %","  3.13 %","  4.69 %","  3.95 %","   .37 %","  1.23 %","",""," 11.70 %","","   .71 %","   .66 %","","  2.11 %","  4.92 %",""
"2020-09-27","  2.23 %","  3.90 %","","  5.69 %","   .18 %","  2.95 %","  3.92 %","   .63 %","  1.46 %","   .61 %","   .27 %","","","","   .35 %","   .99 %","","   .89 %","  1.17 %",""
"2020-09-28","   .54 %","  1.16 %","","  3.08 %","  1.06 %","  4.75 %","  1.19 %","","  2.16 %","","   .80 %",""," 10.48 %","","","  5.54 %","","  1.66 %","",""
"2020-09-29","   .54 %","  2.07 %","","","   .35 %","  3.44 %","  1.88 %","  2.52 %","   .70 %","  4.24 %","   .53 %",""," 12.93 %","","   .35 %"," 12.35 %","  9.68 %","  4.71 %","   .29 %",""
"2020-09-30","  1.08 %","  1.66 %","","  7.46 %","   .87 %","  4.61 %","  2.09 %","  3.07 %","","","",""," 17.56 %","","  1.40 %","  3.30 %","  2.94 %","  1.74 %","",""
"2020-10-01","  1.07 %","   .84 %","","   .69 %","   .69 %","   .94 %","  1.37 %","  1.19 %","   .70 %","","",""," 10.39 %","","   .69 %","  4.79 %","   .95 %","   .45 %","  1.16 %",""
"2020-10-02","  1.06 %","  3.13 %","","","  1.89 %","  7.38 %","  2.46 %","  1.18 %","","","","","  4.12 %","","   .69 %","  3.05 %","  7.55 %","   .36 %","",""
"2020-10-03","   .26 %","  1.21 %","","  3.45 %","  4.39 %","  6.27 %","  1.71 %","  1.16 %","  2.08 %","","   .79 %","","  7.91 %","","   .34 %","   .74 %","  1.75 %","  1.25 %","  1.43 %",""
"2020-10-04","  1.56 %","   .30 %","","  2.00 %","   .65 %","  3.45 %","  2.46 %","  1.72 %","  1.36 %","","  1.57 %","","  6.81 %","","  1.36 %","  1.22 %","  2.59 %","  1.59 %","",""
"2020-10-05","  1.03 %","","   .00 %","","  2.73 %","  3.46 %","  1.77 %","","  7.05 %","","   .78 %","","","","   .34 %","  1.93 %","  6.72 %","  1.31 %","   .56 %",""
"2020-10-06","  1.02 %","   .50 %","","  2.61 %","   .47 %","  2.64 %","  1.02 %","","   .94 %","   .58 %","   .26 %","","  2.94 %","","  1.00 %","  1.90 %","  1.57 %","   .86 %","   .56 %",""
"2020-10-07","  4.27 %",""," 10.34 %","   .64 %","  4.05 %","  5.03 %","  2.67 %","","","","","","  2.38 %","","   .66 %","  2.33 %","","   .26 %","  1.11 %",""
"2020-10-08","  4.10 %","   .50 %","","   .63 %","  4.34 %","  1.96 %","  1.50 %","","   .62 %","","   .51 %","","  2.33 %","","  1.64 %","  4.55 %","","   .68 %","  1.38 %",""
"2020-10-09","   .23 %","   .39 %","","","   .57 %","  3.15 %","   .71 %","  2.26 %","  1.54 %","","   .51 %","","  1.36 %","","  1.29 %","  1.09 %","","  1.01 %","",""
"2020-10-10","  3.00 %","  1.33 %","","  1.89 %","  2.43 %","  2.28 %","  3.83 %","  2.76 %","","  4.05 %","  1.01 %","","   .45 %","","   .32 %","   .86 %","  2.33 %","  1.25 %","  1.90 %",""
"2020-10-11","  2.69 %","   .58 %","","","  1.95 %","  1.87 %","  3.72 %","  1.08 %","   .91 %","","   .25 %","","   .45 %","","   .32 %","  1.71 %","  1.52 %","   .58 %","   .53 %",""
"2020-10-12","  1.09 %","","","   .62 %","   .55 %","  6.55 %","   .98 %","   .53 %","   .30 %","","   .25 %","","  1.33 %","","","  1.26 %","","   .57 %","   .53 %",""
"2020-10-13","  2.81 %","   .34 %","","","  1.36 %","  4.29 %","  1.83 %","","  1.80 %","","   .75 %","","   .88 %","","","  3.11 %","  1.49 %","  1.55 %","",""
"2020-10-14","  1.89 %","   .96 %","","  8.59 %","  1.61 %","  4.20 %","  1.29 %","","  4.42 %","","  5.20 %","","   .87 %","","   .32 %","   .80 %","","  4.58 %","   .79 %",""
"2020-10-15","  1.65 %","   .90 %","","  1.69 %","  6.86 %","  3.90 %","   .57 %","   .53 %","  2.82 %","  1.67 %","  7.06 %","","  1.72 %","","  4.75 %","  1.79 %","  1.47 %","  1.15 %","",""
"2020-10-16","  1.83 %","  1.56 %",""," 11.11 %","  1.11 %","  4.66 %","  1.43 %","","  9.07 %","","   .66 %","","   .42 %","","  3.63 %","  3.72 %"," 10.87 %","   .53 %","  2.09 %",""
"2020-10-17","  2.99 %","   .46 %","","  1.50 %","  2.32 %","  4.89 %","  4.63 %","   .53 %","   .76 %","  2.73 %","   .44 %","","","","   .29 %","  4.91 %","  4.58 %","  1.81 %","  1.28 %",""
