"date","Gujarat/Ahmedabad","Gujarat/Amreli","Gujarat/Anand","Gujarat/Aravalli","Gujarat/Banaskantha","Gujarat/Bharuch","Gujarat/Bhavnagar","Gujarat/Botad","Gujarat/Chhota Udaipur","Gujarat/Dahod","Gujarat/Dang","Gujarat/Devbhumi Dwarka","Gujarat/Gandhinagar","Gujarat/Gir Somnath","Gujarat/Jamnagar","Gujarat/Junagadh","Gujarat/Kheda","Gujarat/Kutch","Gujarat/Mahisagar","Gujarat/Mehsana","Gujarat/Morbi","Gujarat/Narmada","Gujarat/Navsari","Gujarat/Other State","Gujarat/Other state","Gujarat/Panchmahal","Gujarat/Patan","Gujarat/Porbandar","Gujarat/Rajkot","Gujarat/Sabarkantha","Gujarat/Surat","Gujarat/Surendranagar","Gujarat/Tapi","Gujarat/Vadodara","Gujarat/Valsad","Gujarat/dahod","Gujarat/kutch","Gujarat/other state","Gujarat/porbandar","Gujarat/surat","Gujarat/surendranagar","Gujarat/tapi","Gujarat/vadodara"
"2020-03-29"," 33.33 %","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","   .00 %","-66.67 %","","   .00 %","","","","","","","","","","","",""
"2020-03-30","-75.00 %","","","","",""," ##.## %","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-31","   .00 %","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","   .00 %","","   .00 %","","","","","","","","","","","",""
"2020-04-01"," ##.## %","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %",""," ##.## %","",""," ##.## %","","","","","","","","","","","",""
"2020-04-02","","","","","","","-75.00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-03","-12.50 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-04","   .00 %","","","","",""," ##.## %","","","","",""," ##.## %","","","","","","","","","","","","","","   .00 %","","","","-50.00 %","","","","","","","","","","","",""
"2020-04-05"," 14.29 %","","","","",""," ##.## %","","   .00 %","","","","","","   .00 %","","","-50.00 %","","","   .00 %","","","","","","","","",""," ##.## %","","","-50.00 %","","","","","","","","",""
"2020-04-06"," 37.50 %","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","   .00 %","","","","   .00 %","",""," ##.## %","","","","","","","","",""
"2020-04-07"," 72.73 %","","   .00 %","","","","-75.00 %","","","","","","","","","","","","","","","","","","",""," ##.## %","","   .00 %","   .00 %","   .00 %","","","","","","","","","","","",""
"2020-04-08","","","","","",""," ##.## %","","","","","","","","","","","","","","","","","","","","","","","","-66.67 %","",""," ##.## %","","","","","","","","",""
"2020-04-09"," ##.## %","","   .00 %","","","","","","   .00 %","   .00 %","","","","","","","","","","","","","","","",""," ##.## %",""," ##.## %","","   .00 %","","","-33.33 %","","","","","","","","",""
"2020-04-10"," -6.78 %","","","","","   .00 %","   .00 %","","","","","","-50.00 %","","","",""," ##.## %","","","","","","","","","-71.43 %",""," ##.## %",""," ##.## %","",""," ##.## %","","","","","","","","",""
"2020-04-11","-16.36 %",""," ##.## %","","","-85.71 %","-75.00 %","","   .00 %","","","","   .00 %","","","","","","","","","","","","","","","","","","-66.67 %","",""," -2.70 %","","","","","","","","",""
"2020-04-12","-15.22 %","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-83.33 %","","","","","","","","",""
"2020-04-13"," -2.56 %","","-66.67 %","","   .00 %"," ##.## %","","","","","","","","","","","","","","","","","","","","   .00 %","","","",""," ##.## %","","","   .00 %","","","","","","","","",""
"2020-04-14"," 39.47 %","","   .00 %","","",""," ##.## %",""," ##.## %","   .00 %","","","   .00 %","","","","","",""," ##.## %","","","","","","","","","",""," 80.00 %","","","   .00 %","","","","","","","","",""
"2020-04-15"," 45.28 %",""," ##.## %","","","-33.33 %","","   .00 %","","","","","","","","","   .00 %","","","","","   .00 %","","",""," ##.## %","",""," 20.00 %","","   .00 %","",""," 33.33 %","","","","","","","","",""
"2020-04-16"," 23.38 %",""," 14.29 %","   .00 %"," ##.## %","","","","","","","","   .00 %","","","","   .00 %","","","",""," ##.## %","","","","-66.67 %","","","-33.33 %",""," ##.## %","","","-12.50 %","","","","","","","","",""
"2020-04-17","-17.89 %","","-87.50 %","","-50.00 %"," ##.## %",""," ##.## %","-50.00 %","","","","","","","","","","   .00 %","",""," 25.00 %","","",""," ##.## %","-50.00 %","","",""," 40.54 %","",""," ##.## %","","","","","","","","",""
"2020-04-18"," ##.## %","","   .00 %","","","-87.50 %"," 33.33 %","","","","","","","","","","","","   .00 %","","","","","","","-50.00 %","","","-50.00 %","   .00 %","-75.00 %","","","-12.50 %","","","","","","","","",""
"2020-04-19","   .00 %","","   .00 %","","   .00 %","   .00 %","-50.00 %","-66.67 %","   .00 %","   .00 %","","","","","","","","","","-50.00 %","","-80.00 %","","","","","",""," ##.## %",""," ##.## %","",""," 57.14 %","","","","","","","","",""
"2020-04-20","-38.49 %","",""," ##.## %","","","","","","","","","","","","","","   .00 %","   .00 %","   .00 %","","","","",""," ##.## %","","","-66.67 %","","-69.66 %","","","-63.64 %","","","","","","","","",""
"2020-04-21","-14.97 %","","","-16.67 %"," ##.## %","   .00 %",""," ##.## %","","   .00 %","","","","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","","","","","","   .00 %","   .00 %"," ##.## %","","   .00 %"," 37.50 %","   .00 %","","","","","","","",""
"2020-04-22","  2.40 %",""," ##.## %","   .00 %","-80.00 %","","","   .00 %"," ##.## %","","","","","","","","",""," ##.## %","","","","","","","","","","-50.00 %","","-12.82 %","","","-18.18 %","","","","","","","","",""
"2020-04-23"," 17.97 %",""," 50.00 %","-80.00 %",""," ##.## %","-50.00 %","   .00 %","","","   .00 %","","   .00 %","","",""," ##.## %","","","","","","","","","-50.00 %","","","","","-39.71 %","","","-22.22 %","-66.67 %","","","","","","","",""
"2020-04-24"," 11.92 %","","   .00 %","","",""," ##.## %","-50.00 %","","","","","   .00 %","","","","","","","","","","","",""," ##.## %","","","","","-85.37 %","","","-28.57 %","   .00 %","","","","","","","",""
"2020-04-25","  7.69 %",""," 66.67 %",""," ##.## %",""," ##.## %","","-50.00 %","","",""," ##.## %","","","","","","-88.89 %","","","","   .00 %","","","-33.33 %","   .00 %","","",""," ##.## %","   .00 %",""," 40.00 %","","","","","","","","",""
"2020-04-26"," -2.20 %",""," 60.00 %","","-90.91 %","","","","","","","","-50.00 %","","","","-50.00 %","","","","","","   .00 %","","","","   .00 %",""," ##.## %","","-11.76 %","","","-42.86 %","","","","","","","","",""
"2020-04-27"," 11.24 %","","-75.00 %","","","","","   .00 %","","","   .00 %",""," ##.## %","","","","","","","","","","","",""," 50.00 %","","","-75.00 %","","   .00 %","",""," 50.00 %","","","","","","","","",""
"2020-04-28","-17.17 %",""," ##.## %","","","-60.00 %","   .00 %"," ##.## %","","","",""," 20.00 %","","","","","","","","","","","","","","",""," ##.## %","","-53.33 %","",""," ##.## %","","","","","","","","",""
"2020-04-29"," 42.68 %",""," 22.22 %","","",""," ##.## %","-83.33 %","   .00 %","","","","-66.67 %","","","","","","   .00 %","   .00 %","","   .00 %"," ##.## %","",""," 33.33 %","","","-66.67 %",""," ##.## %","","","   .00 %","","","","","","","","",""
"2020-04-30","  6.41 %","","-72.73 %","   .00 %","   .00 %","   .00 %"," ##.## %","","","   .00 %","",""," ##.## %","","","","","   .00 %",""," ##.## %","","","","",""," ##.## %","","","","","-58.06 %","",""," 26.67 %","","","","","","","","",""
"2020-05-01","  7.23 %","","","","   .00 %","   .00 %","","   .00 %","","","","","-90.00 %","","","","","   .00 %","   .00 %","","","","","","","-70.00 %","   .00 %","","   .00 %",""," ##.## %","","","   .00 %","","","","","","","","",""
"2020-05-02"," -6.37 %","","   .00 %","","","   .00 %"," 50.00 %"," ##.## %","   .00 %","   .00 %","",""," ##.## %","","","","   .00 %","","   .00 %","","","","   .00 %","","","-66.67 %"," ##.## %","","","","-43.33 %","","   .00 %","-10.53 %","   .00 %","","","","","","","",""
"2020-05-03","  9.60 %","","   .00 %","   .00 %","   .00 %","","","-50.00 %","","   .00 %","","   .00 %","-83.33 %","","","","",""," 66.67 %","   .00 %","","","","","","","-66.67 %","","",""," 47.06 %","",""," 47.06 %","","","","","","","","",""
"2020-05-04"," -5.47 %","","   .00 %","","-57.14 %","   .00 %"," ##.## %","   .00 %","   .00 %"," ##.## %","",""," ##.## %","","   .00 %","","   .00 %","","-70.00 %","","","","","",""," ##.## %","","","   .00 %","   .00 %","-20.00 %","",""," 40.00 %","","","","","","","","",""
"2020-05-05"," 34.75 %","","","   .00 %"," ##.## %","","-90.48 %"," ##.## %","","","","","-71.43 %","","","   .00 %"," 33.33 %",""," 33.33 %","-52.38 %","","   .00 %","   .00 %","","","-42.86 %"," ##.## %","","-66.67 %"," ##.## %","-15.00 %","","","-42.86 %","","","","","","","","",""
"2020-05-06","-16.62 %","","   .00 %",""," 50.00 %",""," ##.## %","-12.50 %","","-66.67 %","",""," ##.## %","","-66.67 %","","-75.00 %","","-50.00 %","","","","","","","-50.00 %","","","","-75.00 %"," 82.35 %","","","-20.00 %","   .00 %","","","","","","","",""
"2020-05-07"," -5.50 %","",""," ##.## %","-80.00 %","   .00 %","-83.33 %","","   .00 %"," ##.## %","","-66.67 %"," 25.00 %",""," ##.## %",""," ##.## %","","","   .00 %","","","","   .00 %","","","",""," ##.## %",""," 45.16 %","",""," 18.75 %","","","","","","","","",""
"2020-05-08"," -2.18 %","","   .00 %","-20.00 %"," ##.## %","","   .00 %","-57.14 %","   .00 %","","",""," 80.00 %","   .00 %"," 75.00 %",""," ##.## %","","-50.00 %","","","","   .00 %","",""," ##.## %","   .00 %","",""," ##.## %","-44.44 %","","   .00 %"," 31.58 %","   .00 %","","","","","","","",""
"2020-05-09","  4.09 %","","","-80.00 %","-75.00 %","   .00 %"," ##.## %","-33.33 %","","-75.00 %","",""," ##.## %","","   .00 %","","-71.43 %","","   .00 %","","","","   .00 %","","","-66.67 %","","","   .00 %",""," 20.00 %","",""," 12.00 %","","","","","","","","",""
"2020-05-10","  -.71 %","","   .00 %","-50.00 %"," ##.## %","",""," 50.00 %","","","   .00 %","","-54.55 %"," ##.## %","-57.14 %","","","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","   .00 %","","","-14.29 %"," 36.67 %","   .00 %","","-10.71 %","","","","","","","","",""
"2020-05-11"," -3.60 %",""," ##.## %","-50.00 %",""," ##.## %","   .00 %","","","","","","   .00 %","","   .00 %","-50.00 %","","","   .00 %","-75.00 %","","   .00 %","","",""," ##.## %","","","   .00 %","-50.00 %","-53.66 %","",""," 16.00 %","","","","","","","","",""
"2020-05-12","  -.37 %","","","   .00 %","","-66.67 %"," ##.## %","   .00 %","   .00 %","   .00 %","","   .00 %","-70.00 %","-37.50 %","-66.67 %","","   .00 %"," ##.## %","   .00 %"," ##.## %","","","","","","","   .00 %","","   .00 %","-66.67 %"," 57.89 %","",""," -6.90 %","","","","","","","","",""
"2020-05-13","  9.36 %","   .00 %","","   .00 %","   .00 %",""," 50.00 %","","","",""," ##.## %","","-80.00 %"," ##.## %","   .00 %","-66.67 %","","-50.00 %"," 14.29 %","","","","","","-75.00 %","   .00 %","","   .00 %","","-23.33 %","","","-33.33 %","","","","","","","","",""
"2020-05-14"," -9.25 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %"," ##.## %","","","","","","-25.00 %","","","","",""," ##.## %"," 50.00 %","-50.00 %","","","-30.43 %","","","-27.78 %","","","","","","","","",""
"2020-05-15"," -1.51 %","","","   .00 %","","","","   .00 %","","","",""," ##.## %","-75.00 %","-66.67 %","","   .00 %","","   .00 %","","","","","","","","-66.67 %","","   .00 %","   .00 %"," ##.## %","-50.00 %",""," 15.38 %","","","","","","","","",""
"2020-05-16"," ##.## %","","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","-45.45 %","","","   .00 %"," ##.## %","","","   .00 %","","","   .00 %","","","   .00 %"," ##.## %","","-91.67 %"," 50.00 %","  6.25 %","",""," 26.67 %","   .00 %","","","","","","","",""
"2020-05-17","-71.63 %","   .00 %","   .00 %","   .00 %","   .00 %","","-75.00 %","   .00 %","","   .00 %","","","-16.67 %"," ##.## %","   .00 %","   .00 %","   .00 %"," ##.## %","","","","","","",""," ##.## %"," 33.33 %","   .00 %",""," ##.## %"," 32.35 %","",""," 10.53 %","-50.00 %","","","","","","","",""
"2020-05-18"," -4.71 %","",""," ##.## %","   .00 %",""," ##.## %","",""," ##.## %","",""," ##.## %","",""," ##.## %","-83.33 %","-78.57 %","   .00 %","","","","","","",""," 75.00 %","","   .00 %","-83.33 %","-26.67 %","   .00 %","","  4.76 %"," ##.## %","","","","","","","",""
"2020-05-19","  -.38 %","","","-66.67 %","   .00 %","   .00 %","-50.00 %","   .00 %","-75.00 %","","","","-16.67 %"," 50.00 %","   .00 %","   .00 %"," ##.## %"," ##.## %"," 50.00 %","   .00 %","","","","","","   .00 %","-42.86 %",""," ##.## %"," ##.## %","-12.12 %"," ##.## %","   .00 %","-18.18 %","","","","","","","","",""
"2020-05-20","  3.44 %",""," ##.## %"," ##.## %","-33.33 %","-75.00 %","","   .00 %","","-75.00 %","","","-70.00 %","","-85.71 %","-66.67 %","-50.00 %","-76.19 %"," ##.## %","","","","   .00 %","   .00 %","","   .00 %"," ##.## %","","","-57.14 %"," 27.59 %","-40.00 %",""," 44.44 %","-66.67 %","","","","","","","",""
"2020-05-21","-14.02 %","",""," 75.00 %"," ##.## %","","","",""," ##.## %","","   .00 %"," 66.67 %"," ##.## %"," ##.## %"," ##.## %","-50.00 %","-20.00 %","-40.00 %"," ##.## %",""," ##.## %","   .00 %"," ##.## %","","   .00 %","-93.33 %","","","   .00 %"," -8.11 %","   .00 %",""," -7.69 %","","","","","","","","",""
"2020-05-22"," 18.03 %","","   .00 %","","","","   .00 %","","","","","","-40.00 %","-33.33 %",""," 50.00 %"," ##.## %","-25.00 %","","-84.62 %","","","","","","","","","   .00 %"," ##.## %","-14.71 %"," 66.67 %","","-12.50 %","-50.00 %","","","","","","","",""
"2020-05-23","   .73 %"," ##.## %"," 50.00 %","   .00 %","","","   .00 %","","","","","   .00 %"," ##.## %"," 50.00 %","   .00 %"," ##.## %","-33.33 %","","   .00 %"," ##.## %","   .00 %","","-66.67 %","","","   .00 %","   .00 %","   .00 %"," ##.## %","","   .00 %","-60.00 %"," ##.## %"," 66.67 %","","","","","","","","",""
"2020-05-24","   .72 %","","-66.67 %","-80.00 %","","","   .00 %","","   .00 %"," 33.33 %","",""," 22.22 %","","   .00 %",""," 50.00 %","","   .00 %","-50.00 %","","","","-33.33 %","","   .00 %","",""," 25.00 %"," 27.27 %"," 20.69 %","","","-14.29 %","   .00 %","","","","","","","",""
"2020-05-25"," 11.11 %","   .00 %"," ##.## %","","",""," ##.## %","   .00 %","","","","","-63.64 %","   .00 %","","","-66.67 %",""," ##.## %","-50.00 %",""," 50.00 %","   .00 %","-50.00 %",""," 50.00 %","   .00 %","   .00 %","-80.00 %","-14.29 %","-11.43 %","   .00 %","","-40.00 %","   .00 %","","","","","","","",""
"2020-05-26","-19.03 %","-50.00 %",""," ##.## %","-72.73 %","   .00 %","   .00 %","","","","",""," 75.00 %",""," ##.## %","   .00 %","","   .00 %","-57.14 %","   .00 %","",""," ##.## %","","","-66.67 %","   .00 %","","   .00 %","-33.33 %"," 16.13 %","",""," 72.22 %"," ##.## %","","","","","","","",""
"2020-05-27","  1.99 %","   .00 %","   .00 %","","","","-50.00 %","   .00 %","   .00 %","","","","-28.57 %","   .00 %","","","   .00 %","   .00 %"," ##.## %","   .00 %","",""," ##.## %"," ##.## %","","   .00 %"," ##.## %","   .00 %"," ##.## %",""," -5.56 %","   .00 %",""," -6.45 %"," ##.## %","","","","","","","",""
"2020-05-28"," -3.52 %","","   .00 %","   .00 %","-66.67 %","","","   .00 %","   .00 %","","","","-20.00 %","   .00 %","","   .00 %","   .00 %"," ##.## %","-42.86 %","   .00 %","   .00 %","","-75.00 %","",""," ##.## %","-50.00 %",""," ##.## %",""," 29.41 %","-83.33 %",""," 13.79 %","-90.00 %","","","","","","","",""
"2020-05-29","  2.43 %","","","   .00 %","   .00 %","   .00 %","",""," ##.## %","   .00 %","",""," ##.## %","","","   .00 %"," ##.## %","-##.## %","-87.50 %"," ##.## %","",""," ##.## %","-50.00 %","","-50.00 %","","","-85.71 %","   .00 %","  2.27 %","   .00 %","","  3.03 %","   .00 %","","","","","","","",""
"2020-05-30"," 12.25 %","   .00 %","   .00 %"," ##.## %"," ##.## %","","   .00 %","","-71.43 %","","",""," 50.00 %","","   .00 %","","","   .00 %","   .00 %","","","",""," ##.## %",""," ##.## %","   .00 %","   .00 %"," ##.## %"," ##.## %"," 22.22 %","","","-17.65 %","","","","","","","","",""
"2020-05-31","  5.28 %","   .00 %","","-83.33 %"," 33.33 %"," ##.## %","","","","","","   .00 %","  8.33 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","","","   .00 %","   .00 %","-50.00 %","   .00 %"," 33.33 %","-33.33 %","   .00 %","   .00 %",""," 21.43 %","   .00 %","","","","","","","",""
"2020-06-01","  5.02 %","","   .00 %","   .00 %","-25.00 %","","   .00 %","","","   .00 %","","","-15.38 %","","","","","","   .00 %"," ##.## %","","","","   .00 %","","-66.67 %","   .00 %"," ##.## %","-25.00 %"," 50.00 %","-29.09 %","-80.00 %",""," -8.82 %","-75.00 %","","","","","","","",""
"2020-06-02","-11.15 %","","","","-66.67 %"," ##.## %"," ##.## %","","","   .00 %","",""," 36.36 %","   .00 %","","","   .00 %","   .00 %","","-16.67 %","","   .00 %","   .00 %","",""," ##.## %","   .00 %","","",""," 48.72 %"," ##.## %","   .00 %","  3.23 %","   .00 %","","","","","","","",""
"2020-06-03","  3.94 %","","   .00 %","   .00 %"," ##.## %","-25.00 %","   .00 %","","","-75.00 %","",""," ##.## %","   .00 %","   .00 %","   .00 %"," 66.67 %","","","-20.00 %","",""," ##.## %","",""," 50.00 %"," ##.## %","","   .00 %","   .00 %"," 32.76 %","-50.00 %","","  6.25 %","","","","","","","","",""
"2020-06-04","   .34 %",""," ##.## %"," ##.## %","-40.00 %","-66.67 %","-50.00 %","   .00 %",""," ##.## %","","   .00 %","-46.15 %","","   .00 %","","-20.00 %","   .00 %",""," ##.## %",""," ##.## %",""," ##.## %","","   .00 %","","","   .00 %"," ##.## %","  5.19 %","   .00 %",""," 14.71 %","   .00 %","","","","","   .00 %","","",""
"2020-06-05"," 11.34 %"," ##.## %","","-75.00 %","-83.33 %"," ##.## %"," ##.## %","","-50.00 %","","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","-25.00 %","","   .00 %","   .00 %","","","-50.00 %","","","","   .00 %","","-50.00 %","-75.00 %","-17.28 %"," ##.## %",""," 15.38 %","   .00 %","","","","","","","",""
"2020-06-06","-10.80 %","","   .00 %"," ##.## %"," ##.## %","   .00 %","-50.00 %",""," ##.## %","","",""," -4.76 %","   .00 %","","","-33.33 %","","   .00 %","-33.33 %","",""," ##.## %","","","   .00 %","   .00 %",""," ##.## %"," ##.## %"," 37.31 %","","","-24.44 %"," 40.00 %","","   .00 %","","","","","",""
"2020-06-07"," 10.03 %","   .00 %"," 50.00 %","-50.00 %"," 50.00 %","-33.33 %","   .00 %","","","","",""," -5.00 %","","",""," ##.## %","","","   .00 %","","","-50.00 %","   .00 %","","","-16.67 %","","-62.50 %","","-30.43 %","","","","-71.43 %","   .00 %","-80.00 %","","","","   .00 %","","   .00 %"
"2020-06-08","  8.81 %","   .00 %",""," ##.## %","-66.67 %","   .00 %"," 50.00 %","","","","","","-78.95 %","   .00 %","   .00 %"," ##.## %","-75.00 %","   .00 %","","-83.33 %","   .00 %",""," ##.## %","   .00 %","","   .00 %","","","","   .00 %","-25.00 %"," ##.## %","","  2.94 %","","","","","","","","",""
"2020-06-09"," -4.34 %"," ##.## %","   .00 %","-75.00 %","-50.00 %","   .00 %","   .00 %","","","","",""," ##.## %","","","-75.00 %"," ##.## %","   .00 %","","   .00 %","","","-50.00 %","-50.00 %","","-25.00 %","-40.00 %","","   .00 %","   .00 %"," 29.17 %","",""," -8.57 %","   .00 %","","","","","","","",""
"2020-06-10","  3.63 %","","   .00 %"," ##.## %","","   .00 %"," ##.## %","","   .00 %","","","","-75.00 %","","-60.00 %"," ##.## %"," ##.## %"," ##.## %",""," ##.## %","   .00 %","",""," ##.## %","","-66.67 %","-66.67 %","   .00 %"," ##.## %","-20.00 %"," 17.74 %","   .00 %","","  9.38 %","","","","","","","","",""
"2020-06-11"," -3.79 %",""," 25.00 %","-50.00 %","   .00 %"," ##.## %","-62.50 %","","   .00 %","-50.00 %","",""," ##.## %","   .00 %"," 50.00 %"," 50.00 %","-66.67 %","   .00 %",""," 25.00 %","","-75.00 %","   .00 %","-33.33 %","","   .00 %","","","-60.00 %","-50.00 %"," 17.81 %","-75.00 %",""," 11.43 %","","","","","","","","",""
"2020-06-12","  -.91 %","   .00 %","","-50.00 %","-50.00 %","-28.57 %","-33.33 %","   .00 %","","","","","-54.55 %","","-33.33 %","",""," ##.## %",""," 40.00 %","","   .00 %","   .00 %","",""," ##.## %","   .00 %",""," ##.## %","   .00 %","-10.47 %"," ##.## %",""," -5.13 %","","","","","","","","",""
"2020-06-13","  5.20 %"," 50.00 %","   .00 %"," ##.## %"," ##.## %","-20.00 %"," ##.## %","-75.00 %","   .00 %","","",""," 80.00 %","   .00 %"," 50.00 %","-66.67 %","   .00 %","   .00 %","   .00 %","-14.29 %",""," ##.## %","","   .00 %",""," 66.67 %"," 50.00 %","","-40.00 %","","-23.38 %","-##.## %","   .00 %","  8.11 %","","","","","","","","",""
"2020-06-14"," -2.91 %","   .00 %"," ##.## %"," 20.00 %","-50.00 %"," 50.00 %","-57.14 %","   .00 %","","   .00 %","","   .00 %","-11.11 %","","","","   .00 %",""," ##.## %","-66.67 %","","-80.00 %","","-16.67 %","","-80.00 %","-33.33 %","","-66.67 %","   .00 %"," 28.81 %","   .00 %","","  5.00 %","","","","","","","","",""
"2020-06-15"," -2.10 %","-66.67 %","-66.67 %","-66.67 %","   .00 %"," 50.00 %","","   .00 %","","   .00 %","","   .00 %"," 87.50 %","","   .00 %"," ##.## %","-50.00 %","-75.00 %","","   .00 %","","   .00 %","   .00 %","-40.00 %",""," ##.## %"," 50.00 %",""," ##.## %"," ##.## %","-15.79 %","-66.67 %","","  4.76 %","   .00 %","","","","","","","",""
"2020-06-16","  1.53 %"," ##.## %"," ##.## %"," ##.## %"," ##.## %","-33.33 %","-66.67 %","   .00 %","","","","   .00 %"," 46.67 %","","-66.67 %",""," ##.## %"," ##.## %",""," 50.00 %","   .00 %","","","-33.33 %","","-28.57 %","   .00 %",""," 25.00 %","-50.00 %"," 10.94 %","   .00 %",""," -6.82 %","","","","","","","","",""
"2020-06-17","  -.60 %","-50.00 %"," ##.## %","-50.00 %","   .00 %"," 16.67 %"," ##.## %","   .00 %","   .00 %","   .00 %",""," ##.## %","-27.27 %"," ##.## %"," ##.## %","   .00 %"," ##.## %","","-66.67 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","",""," 33.33 %","","-60.00 %","-50.00 %"," -8.45 %","-33.33 %","","  7.32 %","   .00 %","","","","","","","",""
"2020-06-18"," -3.94 %","   .00 %"," 50.00 %"," ##.## %"," 50.00 %"," 28.57 %","   .00 %","   .00 %","   .00 %","","","","-31.25 %",""," 16.67 %","-80.00 %","-75.00 %","","","","   .00 %","   .00 %"," ##.## %","-50.00 %","","   .00 %"," 25.00 %","","-75.00 %"," ##.## %"," 26.15 %","-50.00 %",""," -2.27 %","   .00 %","","","","","","","",""
"2020-06-19"," -1.58 %","","-83.33 %"," 40.00 %","-66.67 %","   .00 %","-50.00 %","","   .00 %","   .00 %","","","-18.18 %",""," 28.57 %"," ##.## %"," ##.## %","   .00 %","   .00 %"," ##.## %",""," ##.## %","-66.67 %","","","-50.00 %"," 60.00 %",""," ##.## %","   .00 %"," 13.41 %"," ##.## %","","  4.65 %","   .00 %","","","","","","","",""
"2020-06-20"," -1.92 %"," ##.## %"," ##.## %","-57.14 %"," ##.## %"," 33.33 %"," ##.## %","   .00 %","","","","-50.00 %","-11.11 %","","-22.22 %","","   .00 %","-75.00 %"," ##.## %","-66.67 %","   .00 %"," ##.## %"," ##.## %","","","   .00 %","-62.50 %","","-20.00 %",""," 10.75 %"," ##.## %",""," -4.44 %","-33.33 %","","","","","","","",""
"2020-06-21","-10.78 %","   .00 %","   .00 %"," ##.## %","   .00 %","-16.67 %","-11.11 %","   .00 %","","   .00 %","","   .00 %"," 87.50 %","   .00 %"," 14.29 %","   .00 %","-50.00 %","","","-50.00 %","","","","",""," ##.## %"," 33.33 %","","   .00 %","   .00 %"," 70.87 %","-75.00 %",""," -4.65 %"," ##.## %","","","","","","","",""
"2020-06-22"," 15.02 %","-50.00 %"," 50.00 %","","-66.67 %","-50.00 %","-62.50 %"," ##.## %","","","","","-53.33 %","   .00 %"," 25.00 %"," ##.## %"," ##.## %","   .00 %","   .00 %"," ##.## %","","-12.50 %","   .00 %","","","-75.00 %","-25.00 %","","-75.00 %","-33.33 %","-25.00 %","   .00 %","","  7.32 %","-60.00 %","","","","","","","",""
