"date","Chhattisgarh/Balod","Chhattisgarh/Baloda Bazar","Chhattisgarh/Balrampur","Chhattisgarh/Bametara","Chhattisgarh/Bastar","Chhattisgarh/Bijapur","Chhattisgarh/Bilaspur","Chhattisgarh/Dakshin Bastar Dantewada","Chhattisgarh/Dhamtari","Chhattisgarh/Durg","Chhattisgarh/Gariaband","Chhattisgarh/Gaurela Pendra Marwahi","Chhattisgarh/Janjgir Champa","Chhattisgarh/Jashpur","Chhattisgarh/Kabeerdham","Chhattisgarh/Kondagaon","Chhattisgarh/Korba","Chhattisgarh/Koriya","Chhattisgarh/Mahasamund","Chhattisgarh/Mungeli","Chhattisgarh/Narayanpur","Chhattisgarh/Other State","Chhattisgarh/Raigarh","Chhattisgarh/Raipur","Chhattisgarh/Rajnandgaon","Chhattisgarh/Sukma","Chhattisgarh/Surajpur","Chhattisgarh/Surguja","Chhattisgarh/Unknown","Chhattisgarh/Uttar Bastar Kanker"
"2020-06-19",""," ##.## %","","","","","","",""," 95.00 %","",""," ##.## %","","","","",""," -5.00 %","-76.67 %","","",""," 35.02 %"," 44.56 %","","","   .00 %","",""
"2020-06-20","","","","","","","","",""," ##.## %","",""," ##.## %"," -5.83 %","","","",""," -5.00 %","","","",""," 20.57 %"," ##.## %","","","","",""
"2020-06-21","","","","","","","","",""," ##.## %","",""," ##.## %"," ##.## %","","","",""," -5.00 %","","","",""," 74.14 %"," ##.## %","","","-18.82 %","",""
"2020-06-22","",""," 64.24 %","","","","","",""," ##.## %","","","-10.43 %"," ##.## %","","","","","-25.00 %","-86.67 %","","",""," 41.63 %"," ##.## %","","","","",""
"2020-06-23","",""," ##.## %","","","","","",""," ##.## %","",""," 89.57 %","","","","","","   .00 %","","","",""," 47.74 %"," ##.## %","",""," 81.18 %","",""
"2020-06-24","","","","","","","","",""," ##.## %","",""," 73.51 %","","",""," ##.## %","","","","","",""," 37.74 %"," ##.## %","","","",""," 83.33 %"
"2020-06-25","",""," ##.## %","","","","","","","","",""," 49.73 %","","","","","","","","","",""," 58.85 %"," -3.75 %","","","","",""
"2020-06-26","",""," ##.## %","","","","","","","","","","","","","","","","","","","","","  4.96 %"," 16.33 %","",""," 64.51 %","",""
"2020-06-27","",""," ##.## %","","","","","","","","","","","","","","","","","","",""," -2.33 %"," -5.12 %"," 94.90 %","","","","",""
"2020-06-28","",""," ##.## %","","","","","","","","","","","","","","","","","","",""," 37.67 %"," 33.97 %"," 86.90 %","","","","",""
"2020-06-29","","",""," 10.00 %","","","","","","","","","","","","","","","","","  1.67 %",""," 31.00 %"," 49.97 %"," 89.00 %","","","","",""
"2020-06-30","","  2.50 %","","   .00 %","","","","",""," 35.31 %","","","","","",""," 20.00 %","","","","","",""," ##.## %"," 53.00 %","","","","",""
"2020-07-01",""," 22.50 %","","","","","","","","","","","",""," ##.## %","","-20.00 %","","","","  1.67 %",""," 24.33 %"," ##.## %"," ##.## %","","","","",""
"2020-07-02","","",""," ##.## %","","","","","","","","","","","","","-20.00 %","","","   .00 %","","","  9.33 %"," ##.## %"," ##.## %","","","",""," 15.00 %"
"2020-07-03","","","","","","","","","","","","","",""," ##.## %","","","","",""," 21.67 %",""," 93.33 %"," 76.93 %"," ##.## %","","","",""," 48.33 %"
"2020-07-04","","","","","","","","","","","","","","","","","","-10.00 %","",""," 60.00 %",""," 45.33 %"," ##.## %"," ##.## %","","","","",""
"2020-07-05","","","","","",""," 77.50 %","","","","","","","   .00 %","","",""," 30.00 %","","","",""," 55.33 %"," 32.85 %","","","","","",""
"2020-07-06","","","",""," ##.## %",""," 93.50 %","","","","",""," 19.33 %","","","","","","   .00 %","","","",""," 45.53 %"," ##.## %","","","","",""
"2020-07-07","","","","","",""," 53.50 %","","","","",""," 75.33 %","   .00 %","","","","","","","","",""," 82.34 %"," ##.## %","","","","",""
"2020-07-08","","","",""," ##.## %",""," 84.61 %","","","","",""," 53.23 %","   .00 %","","","","","","","","",""," 82.82 %"," ##.## %","",""," 98.33 %","",""
"2020-07-09","","",""," 60.00 %","",""," 10.61 %","","","","",""," 33.23 %","   .00 %","","","","","","","","",""," 51.39 %"," ##.## %","",""," 98.33 %","",""
