"date","Delaware/Kent","Delaware/New Castle","Delaware/Sussex","Delaware/Unassigned"
"2020-07-02","   .22 %","   .25 %","  -.11 %","   .00 %"
"2020-07-03","   .67 %","   .25 %","  -.11 %","   .00 %"
"2020-07-04","   .67 %","   .25 %","  -.11 %","   .00 %"
"2020-07-05","   .67 %","   .08 %","  -.11 %","   .00 %"
"2020-07-06","   .44 %","   .16 %","  -.11 %","   .00 %"
"2020-07-07","   .44 %","   .16 %","   .00 %","   .00 %"
"2020-07-08","   .00 %","   .24 %","   .00 %","   .00 %"
"2020-07-09"," -1.96 %","   .32 %","   .11 %","   .00 %"
"2020-07-10"," -1.96 %","   .32 %","   .11 %","   .00 %"
"2020-07-11"," -1.96 %","   .32 %","   .11 %","   .00 %"
"2020-07-12"," -1.96 %","   .16 %","   .11 %","   .00 %"
"2020-07-13"," -1.96 %","   .08 %","   .11 %","   .00 %"
"2020-07-14","   .00 %","   .00 %","   .11 %","   .00 %"
"2020-07-15","   .48 %","   .00 %","   .23 %","   .00 %"
"2020-07-16","   .48 %","   .00 %","   .23 %","   .00 %"
"2020-07-17","   .48 %","   .00 %","   .23 %","   .00 %"
"2020-07-18","   .72 %","   .08 %","   .23 %","   .00 %"
"2020-07-19","   .72 %","   .08 %","   .11 %","   .00 %"
"2020-07-20","   .24 %","   .08 %","   .00 %","   .00 %"
"2020-07-21","   .47 %","   .16 %","   .00 %","   .00 %"
"2020-07-22","   .47 %","   .24 %","   .11 %","   .00 %"
"2020-07-23","   .23 %","   .24 %","   .22 %","   .00 %"
"2020-07-24","  2.07 %","  2.61 %","  1.34 %","  2.22 %"
"2020-07-25","  2.07 %","  2.68 %","  1.34 %","  2.22 %"
"2020-07-26","  1.84 %","  2.60 %","  1.34 %","  2.22 %"
"2020-07-27","  1.84 %","  2.52 %","  1.22 %","  2.22 %"
"2020-07-28","  1.84 %","  2.51 %","  1.11 %","  2.22 %"
"2020-07-29","   .00 %","   .14 %","   .11 %","   .00 %"
"2020-07-30","   .00 %","   .07 %","   .11 %","   .00 %"
"2020-07-31","   .42 %","   .21 %","   .11 %","   .00 %"
"2020-08-01","  2.48 %","   .21 %","   .11 %","-20.00 %"
"2020-08-02","  2.48 %","   .14 %","   .11 %","-20.00 %"
"2020-08-03","  2.48 %","   .14 %","   .00 %","-20.00 %"
"2020-08-04","  2.48 %","   .28 %","   .00 %","-20.00 %"
"2020-08-05","  2.06 %","   .14 %","   .00 %","-20.00 %"
"2020-08-06","   .00 %","   .14 %","   .00 %","   .00 %"
"2020-08-07","   .00 %","   .14 %","   .10 %","   .00 %"
"2020-08-08","   .00 %","   .28 %","   .10 %","   .00 %"
"2020-08-09","   .19 %","   .14 %","   .10 %","   .00 %"
"2020-08-10","   .19 %","   .14 %","   .10 %","   .00 %"
"2020-08-11","   .19 %","   .14 %","   .10 %","   .00 %"
"2020-08-12","   .37 %","   .14 %","   .00 %","   .00 %"
"2020-08-13","   .19 %","   .14 %","   .00 %","   .00 %"
"2020-08-14","   .00 %","   .14 %","   .00 %","   .00 %"
"2020-08-15","   .00 %","   .14 %","   .00 %","   .00 %"
"2020-08-16","   .00 %","   .14 %","   .00 %","   .00 %"
"2020-08-17","  -.18 %","   .14 %","   .00 %","   .00 %"
"2020-08-18","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-19","   .19 %","  -.07 %","   .21 %","   .00 %"
"2020-08-20","   .19 %","  -.07 %","   .21 %","   .00 %"
"2020-08-21","   .19 %","   .27 %","   .21 %","   .00 %"
"2020-08-22","   .19 %","   .27 %","   .21 %","   .00 %"
"2020-08-23","   .19 %","   .27 %","   .21 %","   .00 %"
"2020-08-24","   .00 %","   .48 %","   .21 %","   .00 %"
