"date","Maharashtra/Ahmednagar","Maharashtra/Akola","Maharashtra/Amravati","Maharashtra/Aurangabad","Maharashtra/Beed","Maharashtra/Bhandara","Maharashtra/Buldhana","Maharashtra/Chandrapur","Maharashtra/Dhule","Maharashtra/Gadchiroli","Maharashtra/Gondia","Maharashtra/Hingoli","Maharashtra/Jalgaon","Maharashtra/Jalna","Maharashtra/Kolhapur","Maharashtra/Latur","Maharashtra/Mumbai","Maharashtra/Nagpur","Maharashtra/Nanded","Maharashtra/Nandurbar","Maharashtra/Nashik","Maharashtra/Osmanabad","Maharashtra/Other State","Maharashtra/Palghar","Maharashtra/Parbhani","Maharashtra/Pune","Maharashtra/Raigad","Maharashtra/Ratnagiri","Maharashtra/Sangli","Maharashtra/Satara","Maharashtra/Sindhudurg","Maharashtra/Solapur","Maharashtra/Thane","Maharashtra/Unknown","Maharashtra/Wardha","Maharashtra/Washim","Maharashtra/Yavatmal"
"2020-07-17","  7.53 %","  1.39 %","  5.50 %","  2.85 %"," 14.98 %","   .57 %","  7.01 %","  2.55 %","  3.99 %","   .59 %","  1.36 %","  4.07 %","  1.43 %","  7.16 %","  4.56 %","  8.72 %","  1.24 %","  4.60 %","  2.25 %"," 10.06 %","  5.70 %","  7.37 %","  3.61 %","  3.62 %"," 16.22 %","  5.07 %","  4.00 %","  8.67 %","  9.13 %","  3.92 %","   .37 %","  3.67 %","  2.70 %","","","  4.88 %","  1.64 %"
"2020-07-18","  1.83 %","  2.80 %","  4.93 %","  2.83 %","  5.21 %","  1.70 %","  1.90 %","  6.47 %","  2.43 %","  1.17 %","   .45 %","   .78 %","  2.87 %","  5.70 %"," 16.27 %","  4.42 %","  1.20 %","  3.11 %","  7.44 %","  2.86 %","  3.80 %","  3.22 %"," 10.95 %","  2.44 %","  2.66 %","  5.17 %","  3.66 %","  3.21 %","  7.01 %","  3.73 %","   .74 %","  4.62 %","  2.72 %",""," 32.00 %","  4.32 %","  3.23 %"
"2020-07-19"," 18.99 %","  1.54 %","  8.43 %","  3.42 %","  3.72 %","  4.47 %","  2.28 %","  6.54 %","  4.80 %","  9.83 %","  1.78 %","  3.88 %","  2.07 %","  5.24 %"," 11.05 %","  9.16 %","  1.03 %","  2.37 %","  3.59 %","  6.11 %","  6.30 %","  3.53 %","  3.14 %","  3.09 %"," 18.77 %","  5.91 %","  5.28 %","  6.22 %","  2.99 %","  4.30 %","  2.58 %","  5.58 %","  2.49 %","","  7.58 %","  7.01 %","  7.03 %"
"2020-07-20"," 14.72 %","  2.98 %","  4.75 %","  2.64 %","  1.19 %","   .00 %","  6.49 %","  5.70 %","  4.63 %","  2.11 %","   .44 %","  8.21 %","  5.59 %","  6.95 %","  8.64 %","   .00 %","  1.02 %","  1.57 %"," 10.52 %","  3.93 %","  4.07 %","   .40 %","  2.17 %","  2.85 %","  1.09 %","  4.39 %","  3.70 %","   .59 %","  7.70 %","  3.19 %","  2.16 %","  3.94 %","  2.18 %","","  1.41 %","  7.74 %","  2.19 %"
"2020-07-21"," 15.11 %","  1.37 %","  4.69 %","  2.44 %"," 14.75 %","   .00 %","  6.86 %","  3.73 %","  3.67 %","  2.58 %","","  1.84 %","  3.00 %","  3.76 %","  7.24 %"," 11.10 %","   .92 %","  2.63 %","  5.94 %"," 10.33 %","  3.37 %"," 11.20 %","  6.81 %","  2.46 %","  7.28 %","  4.77 %","  2.71 %","  5.90 %","  6.32 %","  5.69 %","  1.41 %","  7.37 %","  1.80 %","   .00 %","  4.17 %","  6.91 %","  -.54 %"
"2020-07-22"," 22.97 %","  2.06 %","  6.64 %","  3.38 %"," 11.57 %","   .53 %"," 19.25 %","  4.40 %","  6.06 %","  6.03 %","   .43 %","  2.26 %","  2.30 %","  3.63 %","  9.66 %","  2.92 %","  1.27 %","  5.88 %","  5.60 %","  6.39 %","  4.78 %","  3.06 %","  4.78 %","  1.66 %","  3.77 %","  6.03 %","  3.78 %","  4.32 %","  6.73 %","  3.32 %","   .69 %","  6.21 %","  2.28 %",""," 12.00 %","  8.53 %"," 10.41 %"
"2020-07-23","  2.41 %","  3.07 %","  3.99 %","  2.52 %","  6.45 %","  1.60 %"," 18.83 %","  1.92 %","  3.43 %","   .95 %","   .43 %","  4.64 %","  4.46 %","   .45 %","  7.48 %","   .00 %","  1.19 %","  4.38 %"," 10.01 %","  2.36 %","  5.17 %","  3.49 %","  5.70 %","  3.30 %","  1.21 %","  5.03 %","  4.03 %","  4.82 %","  7.67 %","  3.96 %","  1.72 %","  4.43 %","  2.25 %",""," 15.48 %","  3.81 %","  7.48 %"
"2020-07-24","  6.53 %","  1.73 %","  4.51 %","  3.20 %","  3.46 %","  4.71 %"," 13.84 %","  9.40 %","  1.11 %","  3.76 %","   .43 %","  5.27 %","  2.88 %","  2.03 %"," 12.97 %","  7.18 %","  1.00 %","  6.78 %","  3.91 %","  2.94 %","  3.88 %","  4.38 %","  5.04 %","  2.65 %","   .48 %","  5.08 %","  3.66 %","  2.58 %","  4.33 %","  3.92 %","  3.73 %","  4.33 %","  1.81 %","","  7.22 %","  2.98 %","  5.14 %"
"2020-07-25"," 10.48 %","  1.75 %","  1.93 %","  2.69 %","  9.00 %","  3.50 %","  5.41 %","  7.56 %","  2.01 %","  4.98 %","   .86 %","  1.80 %","  2.05 %","  6.71 %","  3.45 %","  8.69 %","  1.01 %","  6.51 %","  6.13 %","  1.22 %","  3.78 %","  2.42 %","  2.05 %","  2.19 %","  5.00 %","  4.42 %","  3.56 %","  4.06 %","  5.77 %","  4.37 %","  4.90 %","  2.45 %","  2.00 %","","  9.62 %"," 10.69 %","  3.02 %"
"2020-07-26"," 14.58 %","  1.93 %","  2.34 %","  2.28 %","  4.99 %","   .97 %","  2.62 %","  7.67 %","  2.74 %","  1.29 %","  2.98 %","   .20 %","  1.78 %","  2.56 %","  4.63 %","  3.52 %","  1.02 %","  5.43 %","  5.78 %","  1.41 %","  3.56 %","  5.84 %","  3.69 %","  2.36 %","  3.63 %","  4.38 %","  3.48 %","  4.17 %"," 12.61 %","  4.02 %","  2.18 %","  4.60 %","  1.78 %",""," 10.53 %","  3.22 %","  1.26 %"
"2020-07-27","  5.18 %","   .67 %","  3.21 %","  2.62 %","  6.22 %","   .48 %","  6.33 %","  1.78 %","  1.04 %","  1.28 %","  3.31 %","  2.55 %","  4.61 %","  1.65 %"," 11.87 %","  7.46 %","   .94 %","  5.43 %","  6.24 %","  2.38 %","  2.09 %","  3.28 %","  3.56 %","  1.80 %","   .66 %","  2.53 %","  2.76 %","   .06 %","  7.30 %","  3.70 %","  3.96 %","  3.90 %","  1.66 %","","  7.14 %","  3.31 %","  8.97 %"
"2020-07-28","  6.36 %","  2.85 %","  3.47 %","  5.39 %","  6.37 %","   .48 %","  7.20 %","  7.00 %","  9.08 %","  2.52 %","  1.20 %","   .96 %","  3.88 %","  3.07 %","  3.32 %","  5.91 %","   .64 %","  5.45 %","   .44 %","  8.91 %","  2.97 %","  2.16 %","  2.19 %","  1.30 %","  6.09 %","  2.81 %","  1.78 %","  4.06 %","  8.21 %","  4.13 %","   .29 %","  2.76 %","  1.22 %",""," 14.81 %","  1.13 %","  2.28 %"
"2020-07-29","  8.42 %","   .45 %","  6.01 %","  4.21 %","  6.15 %","  2.84 %","  3.58 %","  6.27 %","  5.53 %","  2.46 %","","  1.90 %","  1.93 %","   .92 %","  3.88 %","  3.97 %","  1.00 %","  6.29 %","  6.80 %","  1.96 %","  3.97 %","  7.20 %","  5.20 %","  2.01 %","  6.56 %","  3.23 %","  3.26 %","  3.35 %","  8.17 %","  4.20 %","  4.09 %","  3.04 %","  1.60 %","","  8.39 %","  3.92 %","  2.85 %"
"2020-07-30"," 11.73 %","  2.67 %","  8.18 %","  3.14 %","  9.30 %"," 11.06 %","  2.16 %","  5.64 %","  2.40 %","  5.60 %","  7.11 %","  1.86 %","  3.73 %","  2.68 %","  9.46 %","  7.25 %","  1.08 %","  8.23 %"," 10.34 %","  2.62 %","  3.65 %"," 13.04 %","  2.33 %","  2.51 %"," 13.08 %","  3.99 %","  2.64 %","  1.50 %"," 13.70 %","  5.95 %","   .56 %","  3.79 %","  1.66 %","","  8.93 %","  1.62 %","  3.37 %"
"2020-07-31","  7.31 %","  2.29 %","  2.52 %","  1.19 %","  5.58 %","  1.66 %","  8.64 %","  4.37 %","  7.22 %","  1.89 %","  6.27 %","   .55 %","  3.72 %","  1.41 %"," 10.70 %","  6.60 %","   .96 %","  7.58 %","  5.15 %","  6.97 %","  3.18 %"," 13.17 %","  5.97 %","  2.23 %","  9.35 %","  3.49 %","  2.33 %","   .53 %"," 12.09 %","  4.54 %","  2.79 %","  2.89 %","  1.70 %","","  7.10 %","  4.42 %"," 10.24 %"
"2020-08-01"," 10.35 %","  1.81 %","  3.64 %","   .83 %","  6.47 %","  1.22 %","  6.24 %"," 11.40 %","   .98 %","  1.12 %","  9.38 %","   .91 %","  2.52 %","  1.13 %"," 11.98 %","  8.08 %","   .92 %","  7.27 %","  5.07 %","  2.07 %","  3.23 %","  3.40 %","  1.88 %","  1.98 %","  4.35 %","  3.02 %","  2.52 %","  2.65 %"," 11.68 %","  5.24 %","  1.63 %","  2.46 %","  1.31 %","","  4.59 %","  1.18 %"," 10.67 %"
"2020-08-02","  5.83 %","   .42 %","  4.13 %","   .87 %"," 10.55 %","  2.02 %","  3.01 %","  5.64 %","  4.08 %","  5.15 %","  1.59 %","  2.34 %","  2.19 %","  1.43 %","  3.48 %","  6.18 %","   .96 %","  4.72 %"," 14.49 %","  2.02 %","  2.56 %","  8.76 %","  3.16 %","  2.02 %","  2.53 %","  3.24 %","  2.32 %","  5.38 %","  2.02 %","  5.28 %","  6.68 %","  1.97 %","  1.65 %","","  8.78 %","  5.02 %","  6.01 %"
"2020-08-03","  6.68 %","  1.58 %","  4.56 %","  2.25 %","  4.60 %","  2.77 %","  3.63 %","  3.16 %","   .75 %","  3.50 %"," 19.06 %"," 17.61 %","  3.99 %","   .95 %","  9.40 %","  4.51 %","   .83 %","  5.22 %"," 11.08 %","   .46 %","  2.96 %","  3.21 %","  2.55 %","  2.21 %","  1.60 %","  1.85 %","  2.33 %","  1.68 %"," 17.93 %","  3.80 %","   .25 %","  2.77 %","  1.27 %","","  1.35 %","  1.27 %","   .27 %"
"2020-08-04","  5.53 %","   .59 %","  3.14 %","  1.53 %","  6.12 %","   .00 %","  5.98 %","  2.30 %","  1.08 %","  4.05 %","  4.46 %","   .45 %","  2.46 %","   .05 %","  3.79 %","  4.80 %","   .60 %","  4.13 %","  4.33 %","  1.52 %","  2.83 %"," 30.52 %","  3.23 %","  1.26 %","  6.01 %","  2.28 %","  1.32 %","  3.10 %","  8.09 %","  3.66 %","  3.50 %","  2.04 %","   .90 %","","  4.87 %"," 10.06 %","  4.67 %"
"2020-08-05"," 10.81 %","  1.18 %","  2.07 %","  1.87 %","  9.00 %","  1.92 %","  2.53 %","  7.30 %","   .24 %"," 12.66 %"," 11.56 %","   .60 %","  3.86 %","   .55 %","  6.46 %","  5.85 %","   .95 %","  7.72 %","  5.92 %","  1.50 %","  4.26 %","  9.65 %","  3.86 %","  1.78 %","  5.94 %","  2.41 %","  2.54 %","   .52 %","  5.84 %","  4.18 %","  3.38 %","  2.91 %","  1.37 %","","  4.22 %","  8.14 %","  3.95 %"
"2020-08-06","  7.71 %","  2.70 %","  5.84 %","  1.81 %"," 10.11 %"," 20.00 %","  5.19 %"," 12.04 %","  5.66 %","  3.75 %","  5.18 %","  2.07 %","  3.82 %","  3.27 %","  7.96 %","  7.71 %","   .76 %","  8.39 %","  4.59 %","  7.23 %","  4.73 %","  7.19 %","  3.48 %","  1.53 %","  4.08 %","  3.05 %","  2.33 %","  2.94 %","  9.13 %","  4.26 %","  1.17 %","  2.64 %","  1.32 %","","  2.02 %","  3.04 %","  3.63 %"
"2020-08-07","  6.26 %","  2.52 %","  3.25 %","  2.94 %"," 11.96 %","  4.09 %","  2.65 %","  7.17 %","  3.57 %","  5.83 %","  1.71 %","  8.71 %","  3.23 %","  2.92 %","  3.53 %","  5.81 %","   .72 %","  7.43 %","  7.56 %","  1.79 %","  4.33 %","  9.43 %","  2.91 %","  1.16 %","  7.59 %","  2.73 %","  2.28 %","   .65 %","  4.88 %","  4.39 %","  3.46 %","  2.87 %","  1.09 %","","  1.19 %","  7.56 %","  2.71 %"
"2020-08-08","  7.68 %","   .94 %","  3.83 %","  2.25 %","  8.05 %"," 11.78 %","  6.27 %","  2.33 %","  9.46 %","  8.92 %","  8.63 %","   .80 %","  4.88 %","  9.40 %","  6.56 %","  7.18 %","  1.08 %","  6.88 %","  4.37 %"," 21.08 %","  4.19 %"," 10.36 %","  3.70 %","  2.13 %","  8.53 %","  2.60 %","  2.08 %","   .40 %","  6.11 %","  3.59 %","  3.12 %","  4.02 %","  1.63 %","   .00 %","   .78 %","  5.84 %","  7.13 %"
"2020-08-09","  7.02 %","  2.33 %","  2.48 %","  1.75 %"," 16.36 %","   .54 %","  4.74 %","  4.40 %","  3.28 %","  1.20 %","  5.43 %","  4.11 %","  2.34 %","  4.68 %","  5.26 %","  8.31 %","   .87 %","  7.56 %","  4.83 %","  3.01 %","  4.95 %","  7.71 %","  4.83 %","  2.53 %","  7.76 %","  2.74 %","  2.21 %","  5.11 %","  7.06 %","  4.74 %","  5.84 %","  3.60 %","  1.25 %","","  8.95 %","  4.73 %","  6.37 %"
"2020-08-10","  7.06 %","  1.01 %","  3.20 %","  2.41 %","  9.40 %","  2.42 %","  4.00 %","  4.90 %","   .76 %","  1.19 %","  9.01 %","  4.20 %","  2.79 %","  3.25 %","  6.52 %","  6.65 %","   .75 %","  5.22 %","  4.80 %","   .54 %","  1.68 %","  7.11 %","  2.81 %","  1.71 %","  8.17 %","  1.50 %","  1.56 %","  5.14 %","  4.03 %","  1.60 %","  2.45 %","  3.56 %","   .92 %","","   .71 %","  1.61 %","  4.35 %"
"2020-08-11","  6.62 %","  1.59 %","  4.24 %","  1.19 %"," 17.01 %","  8.40 %","  1.77 %","  3.50 %","  4.37 %","  4.24 %"," 10.29 %","  1.95 %","  3.52 %","  5.35 %"," 11.39 %","  7.32 %","   .74 %","  8.89 %","  3.28 %","  3.99 %","  2.40 %"," 13.62 %","  2.53 %","  1.74 %","  5.40 %","  1.69 %","  2.13 %","  3.54 %","  2.89 %","  3.28 %","   .60 %","  2.70 %","   .98 %","","  3.90 %","  3.28 %","  5.54 %"
"2020-08-12","  6.09 %","  1.44 %","  3.44 %","  1.95 %","  4.39 %","  4.36 %","  2.69 %","  5.64 %","  2.11 %","  2.93 %","  4.13 %","  3.23 %","  2.71 %","  3.59 %","  6.01 %","  5.84 %","   .90 %","  7.85 %","  4.02 %","  3.63 %","  5.28 %","  4.42 %","  2.66 %","  2.43 %","  4.78 %","  2.56 %","  1.98 %","  3.51 %","  3.61 %","  4.53 %","  5.95 %","  3.05 %","  1.37 %","","  3.75 %","  3.79 %","  8.59 %"
"2020-08-13","  4.78 %","  1.06 %","  2.40 %","  1.81 %","  5.37 %","  2.78 %","  2.18 %"," 10.56 %","  2.25 %","  7.46 %","  4.70 %","  3.83 %","  3.16 %","  2.92 %","  7.49 %","  5.01 %","   .95 %","  5.12 %","  2.19 %","  8.80 %","  4.10 %","  7.24 %","  3.89 %","  1.97 %","  5.05 %","  2.00 %","  2.37 %","  2.55 %","  4.29 %","  5.19 %","   .37 %","  2.49 %","  1.20 %","","  4.61 %","  3.36 %","  4.49 %"
"2020-08-14","  5.11 %","  1.72 %","  5.06 %","  2.24 %","  3.14 %","  5.42 %","  4.83 %","  4.29 %","  6.93 %","  2.04 %","  2.95 %","  4.92 %","  3.56 %","  3.40 %","  6.09 %","  3.74 %","   .77 %","  6.87 %","  4.15 %","  1.38 %","  4.00 %","  6.23 %","  4.28 %","  1.74 %","  3.18 %","  2.15 %","  2.13 %","  6.61 %","  5.96 %","  3.68 %","  5.60 %","  3.49 %","  1.13 %","","  8.49 %","  7.16 %","  6.26 %"
"2020-08-15","  3.04 %","  1.22 %","  2.35 %","  2.29 %","  4.82 %","  5.35 %","  4.07 %","  4.73 %","  7.63 %","  2.60 %","  4.50 %","  4.15 %","  2.85 %","  1.76 %","  5.01 %","  3.77 %","  -.64 %","  8.02 %","  3.66 %","  6.62 %","  4.98 %","  5.41 %","-12.31 %","  2.92 %","  4.51 %","  2.31 %","  3.26 %","  5.47 %","  5.85 %","  5.81 %","  1.06 %","  3.08 %","  1.53 %","","  5.51 %","  3.65 %","  3.12 %"
"2020-08-16","  2.35 %","   .96 %","  3.02 %","   .76 %","  3.34 %","  4.47 %","  2.56 %","  3.05 %","  1.03 %","   .58 %","  1.83 %","  4.60 %","  3.45 %","  2.60 %","  3.87 %","  4.76 %","   .79 %","  5.37 %","  1.72 %","   .51 %","  2.65 %","  3.70 %","  3.90 %","  1.88 %","  5.46 %","  2.42 %","  1.73 %","  2.21 %","  5.30 %","  2.75 %","   .70 %","  1.90 %","  1.16 %","","  2.75 %","  2.15 %","  2.68 %"
"2020-08-17","  2.50 %","   .52 %","  2.51 %","  1.27 %","  3.04 %","  3.70 %","  1.91 %","  1.53 %","  1.56 %","  2.52 %","  1.92 %","","  2.02 %","  6.69 %","  2.44 %","  2.53 %","   .58 %","  3.18 %","  2.80 %","   .17 %","  3.08 %","  4.27 %","   .38 %","   .82 %","  3.61 %","  1.44 %","   .96 %","  1.95 %","  4.94 %","  2.78 %"," 10.59 %","  1.77 %","   .84 %","","  1.34 %","  5.13 %","  1.45 %"
"2020-08-18","  4.07 %","   .31 %","  3.66 %","  1.31 %","  4.28 %"," 10.32 %","  4.20 %","  1.50 %","  1.82 %","  2.08 %","  3.02 %","  1.86 %","  2.55 %","  1.92 %","  3.31 %","  3.40 %","   .72 %","  5.80 %","  6.42 %","  3.12 %","  2.57 %","  2.75 %","  1.31 %","  1.23 %","  6.45 %","  1.84 %","  1.79 %","  4.88 %","  6.03 %","  4.65 %","  6.44 %","  3.00 %","   .89 %","","  3.69 %","  1.92 %","  3.48 %"
"2020-08-19","  4.41 %","  1.83 %","  2.95 %","  2.88 %","  9.31 %","  7.31 %","  2.87 %","  6.01 %","  1.64 %","  2.41 %","  4.15 %","  3.36 %","  3.22 %","  4.48 %","  3.63 %","  2.37 %","   .87 %","  6.73 %","  4.37 %","  3.11 %","  2.79 %","  8.03 %","  1.66 %","  1.93 %","  6.43 %","  1.99 %","  2.07 %","  1.43 %","  4.48 %","  3.60 %","  2.06 %","  3.11 %","  1.21 %",""," 15.01 %","  1.02 %","  2.67 %"
"2020-08-20","  3.86 %","   .66 %","  4.07 %","  2.70 %","  9.46 %","  2.69 %","  1.86 %","  2.53 %","  1.41 %","   .72 %","  5.50 %","  2.79 %","  3.19 %","  4.54 %","  3.77 %","  4.18 %","   .97 %","  6.64 %","  5.22 %","  6.43 %","  3.71 %","  6.41 %","  2.18 %","  1.45 %","  5.69 %","  2.51 %","  2.51 %","  2.59 %","  5.31 %","  4.28 %","  1.88 %","  2.21 %","  1.24 %","","  5.75 %","  2.49 %","  4.35 %"
"2020-08-21","  3.53 %","   .56 %","  1.66 %","  1.55 %","  9.02 %","  2.93 %","  1.10 %","  7.91 %","  4.27 %","  1.80 %","  5.11 %","  1.26 %","  3.28 %","  2.05 %","  3.51 %","  2.95 %","  1.06 %","  6.59 %","  5.67 %","  8.36 %","  2.72 %","  3.13 %","  1.78 %","  1.69 %","  3.85 %","  2.41 %","  2.24 %","  4.28 %","  4.52 %","  3.79 %","  4.11 %","  1.89 %","  1.25 %",""," 10.04 %","  1.75 %","  3.31 %"
"2020-08-22","  3.82 %","  2.04 %","  2.22 %","  1.22 %","  7.19 %","  6.15 %","  1.92 %","  3.47 %"," 10.06 %","   .71 %","  4.75 %","  6.96 %","  3.77 %","  1.61 %","  3.87 %","  6.07 %","   .84 %","  4.93 %","  3.40 %"," 10.26 %","  2.93 %","  5.82 %","  2.62 %","  1.59 %","  4.44 %","  2.23 %","  1.85 %","  2.45 %","  4.74 %","  4.43 %"," 19.21 %","  2.62 %","  1.14 %","","  7.03 %","  2.46 %","  1.50 %"
"2020-08-23","  3.12 %","   .69 %","  1.64 %","   .34 %","  2.05 %","  1.98 %","  2.25 %","  6.02 %","   .85 %","  2.45 %","  2.22 %","  5.34 %","  2.93 %","  2.37 %","  3.07 %","  2.27 %","   .73 %","  4.34 %","  1.27 %","  7.43 %","  1.52 %","  3.83 %","  2.72 %","  1.50 %","  4.36 %","  1.72 %","  1.28 %","  1.08 %","  3.79 %","  2.72 %","   .00 %","  1.91 %","   .82 %","","  2.84 %","  2.40 %","  2.42 %"
"2020-08-24","  2.42 %","  1.35 %","  3.24 %","  1.65 %","  3.42 %","  2.22 %","  2.24 %","  3.38 %","  5.25 %","   .85 %","  3.94 %","   .40 %","  2.94 %","   .85 %","  3.82 %","  1.27 %","   .54 %","  3.33 %","  3.23 %","  6.86 %","  2.87 %","  4.07 %","  3.97 %","   .71 %","  2.43 %","  1.53 %","  1.04 %","  2.84 %","  4.76 %","  4.67 %","  6.97 %","  2.18 %","   .71 %","","   .86 %","  3.77 %","  2.48 %"
"2020-08-25","  2.74 %","  1.02 %","  1.86 %","  1.95 %","  2.93 %","  6.64 %","   .95 %","  5.01 %","   .62 %","  4.07 %","  3.23 %","   .47 %","  2.73 %","   .82 %","  2.69 %","  2.49 %","   .43 %","  3.88 %","  2.68 %","  5.82 %","  2.59 %","  2.03 %","  1.11 %","   .60 %","  3.93 %","  1.66 %","   .81 %","  1.32 %","  3.62 %","  4.89 %","  7.91 %","  2.01 %","   .62 %","","  8.56 %","   .48 %","  3.28 %"
"2020-08-26","  3.49 %","  1.32 %","  2.25 %","  1.58 %","  1.93 %","  4.07 %","  3.78 %","  3.25 %","  2.69 %","  1.79 %","  5.51 %","  1.41 %","  2.57 %","  1.55 %","  2.07 %","  2.66 %","  1.35 %","  5.99 %","  4.38 %","  6.68 %","  2.94 %","  1.04 %","  2.36 %","  1.50 %","  3.47 %","  2.08 %","  2.19 %","  1.84 %","  4.57 %","  4.81 %","  1.98 %","  1.10 %","  1.43 %","","  8.20 %","  4.16 %","  3.97 %"
"2020-08-27","  3.38 %","  1.58 %","  2.92 %","  1.30 %","  1.33 %","  5.13 %","  2.63 %","  8.27 %","  2.21 %","  4.00 %","  5.84 %","  4.64 %","  2.97 %","  1.07 %","  2.68 %","  3.03 %","   .97 %","  5.56 %","  5.14 %","  6.89 %","  2.90 %","   .92 %","  3.38 %","  1.27 %","  3.26 %","  2.32 %","  1.89 %","  2.42 %","  5.22 %","  4.87 %","  1.84 %","  1.76 %","  1.06 %","","  5.98 %","  1.90 %","  4.26 %"
"2020-08-28","  2.95 %","  1.69 %","  2.18 %","   .89 %","  1.44 %","  3.95 %","  3.19 %","  6.04 %","  3.04 %","  7.23 %","  6.50 %","  2.66 %","  2.37 %","  1.51 %","  3.73 %","  2.02 %","   .87 %","  4.91 %","  4.25 %","  3.43 %","  2.03 %","  2.57 %","  2.08 %","   .95 %","  2.69 %","  2.25 %","  1.90 %","  3.15 %","  5.79 %","  5.88 %","  2.10 %","  1.84 %","  1.03 %","","  4.95 %","  2.83 %","  3.60 %"
"2020-08-29","  3.23 %","  1.29 %","  2.63 %","  1.72 %","  2.58 %","  6.70 %","  4.08 %","  8.32 %","  2.65 %","  1.58 %","  7.50 %","  3.67 %","  3.42 %","  1.77 %","  3.30 %","  2.51 %","   .90 %","  5.64 %","  4.89 %","  2.83 %","  3.19 %","  2.85 %","   .15 %","  1.08 %","  3.41 %","  2.33 %","  2.02 %","  3.40 %","  5.18 %","  5.87 %","  2.80 %","  2.85 %","   .91 %","","  7.34 %","  2.44 %","  3.94 %"
"2020-08-30","  2.39 %","  2.14 %","  2.30 %","   .54 %","  2.25 %"," 11.41 %","  1.35 %"," 14.23 %","  2.10 %"," 10.59 %","  3.45 %","   .69 %","  2.90 %","  1.60 %","  4.64 %","  3.56 %","   .86 %","  4.04 %","  4.73 %"," 12.29 %","  3.83 %","  1.90 %","  2.47 %","  1.16 %","  2.69 %","  2.20 %","  1.92 %","  4.16 %","  5.83 %","  4.77 %","  4.36 %","  2.08 %","  1.15 %","","  8.06 %","  3.84 %","  3.08 %"
"2020-08-31","  1.18 %","   .26 %","  2.45 %","  1.68 %","  1.99 %","  2.16 %","  1.99 %","  7.00 %","  2.36 %","   .77 %","  2.02 %","  4.07 %","  2.26 %","  2.19 %","  2.35 %","  2.22 %","   .82 %","  2.94 %","  3.98 %","  3.96 %","  2.30 %","  2.28 %","  1.70 %","   .95 %","  3.05 %","  1.11 %","  1.55 %","  2.01 %","  5.96 %","  3.12 %"," 11.84 %","  1.38 %","   .98 %","","   .56 %","   .23 %","  1.16 %"
"2020-09-01","  3.55 %","  3.77 %","  1.35 %","   .81 %","  1.52 %","  7.91 %","  4.35 %"," 11.10 %","   .84 %","  5.20 %","  6.88 %","   .46 %","  2.42 %","  2.19 %","  1.23 %","  2.95 %","   .78 %","  5.32 %","  4.79 %","  1.53 %","  1.49 %","  4.62 %","  2.23 %","  1.59 %","  3.99 %","  1.99 %","  1.71 %","  2.78 %","  8.82 %","  5.59 %","  1.79 %","  2.39 %","   .91 %",""," 15.28 %","  6.27 %","  4.94 %"
"2020-09-02","  2.78 %","  1.30 %","   .70 %","  1.22 %","  2.66 %","  5.97 %","  2.10 %","  7.63 %","  2.47 %","  4.34 %","  6.95 %","  2.97 %","  3.11 %","  3.04 %","  2.65 %","  3.86 %","  1.10 %","  5.08 %","  4.42 %","  3.61 %","  2.54 %","  2.72 %","  3.28 %","  1.63 %","  3.14 %","  2.02 %","  2.42 %","  3.41 %","  5.21 %","  4.63 %","  3.06 %","  2.11 %","  1.32 %","","  6.24 %","  2.59 %","  3.55 %"
"2020-09-03","  3.40 %","  1.82 %","  4.12 %","  1.21 %","  1.99 %","  1.05 %","  4.86 %","  7.20 %","  6.49 %","  2.42 %"," 10.43 %","  2.12 %","  1.78 %","  2.12 %","  2.00 %","  3.18 %","  1.03 %","  5.22 %","  3.80 %","  2.93 %","  2.17 %","  4.56 %","  2.51 %","  1.71 %","  4.11 %","  2.15 %","  2.26 %","  3.05 %","  5.56 %","  4.34 %","  6.16 %","  2.64 %","  1.21 %",""," 10.09 %","  3.44 %","  4.98 %"
"2020-09-04","  3.60 %","  1.50 %","  2.72 %","  1.42 %","  2.15 %","  9.08 %","  3.21 %","  7.24 %","  4.01 %","  1.92 %","  7.12 %","  2.89 %","  2.51 %","  2.93 %","  2.83 %","  4.81 %","  1.29 %","  5.66 %","  4.83 %","  2.78 %","  2.21 %","  3.25 %","  2.71 %","  1.48 %","  4.05 %","  1.93 %","  2.58 %","  1.82 %","  4.50 %","  4.23 %","  9.01 %","  2.21 %","  1.41 %","","  9.75 %","  4.05 %","  5.45 %"
"2020-09-05","  3.40 %","  2.88 %","  1.48 %","  1.66 %","  3.94 %"," 13.43 %","  1.69 %","  9.98 %","  2.04 %","  1.66 %","  7.46 %","  4.39 %","  1.66 %","  2.35 %","  3.05 %","  4.56 %","  1.11 %","  5.05 %","  4.29 %","  3.39 %","  2.06 %","  3.37 %","  2.51 %","  1.77 %","  4.67 %","  2.55 %","  2.87 %","  3.94 %","  5.22 %","  5.69 %","  6.09 %","  3.35 %","  1.30 %","","  8.58 %","  3.69 %","  3.59 %"
