"date","Maharashtra/Ahmednagar","Maharashtra/Akola","Maharashtra/Amravati","Maharashtra/Aurangabad","Maharashtra/Beed","Maharashtra/Bhandara","Maharashtra/Buldhana","Maharashtra/Chandrapur","Maharashtra/Dhule","Maharashtra/Gadchiroli","Maharashtra/Gondia","Maharashtra/Hingoli","Maharashtra/Jalgaon","Maharashtra/Jalna","Maharashtra/Kolhapur","Maharashtra/Latur","Maharashtra/Mumbai","Maharashtra/Nagpur","Maharashtra/Nanded","Maharashtra/Nandurbar","Maharashtra/Nashik","Maharashtra/Osmanabad","Maharashtra/Other State","Maharashtra/Palghar","Maharashtra/Parbhani","Maharashtra/Pune","Maharashtra/Raigad","Maharashtra/Ratnagiri","Maharashtra/Sangli","Maharashtra/Satara","Maharashtra/Sindhudurg","Maharashtra/Solapur","Maharashtra/Thane","Maharashtra/Unknown","Maharashtra/Wardha","Maharashtra/Washim","Maharashtra/Yavatmal"
"2020-04-25","  5.71 %",""," 46.15 %"," 18.60 %","","","",""," 13.64 %","",""," 14.29 %"," 62.50 %","","",""," 13.47 %","  5.71 %",""," 57.14 %","  3.17 %","","","  2.96 %","","  7.08 %","  3.64 %","",""," 45.00 %",""," 17.95 %"," 11.42 %","","",""," 18.52 %"
"2020-04-26","  2.70 %"," 26.09 %","  5.26 %","","","","","","","","",""," 46.15 %","","","","  7.06 %","","","","","","","  1.44 %","","  2.11 %","  1.75 %","","  3.85 %","","","  2.17 %","  2.91 %","","",""," 62.50 %"
"2020-04-27"," 15.79 %","   .00 %"," 10.00 %","  3.92 %","","   .00 %","   .00 %","","","","","","  5.26 %",""," 10.00 %"," 11.11 %","  6.80 %"," 18.02 %"," ##.## %",""," 11.54 %","","","  3.55 %","","  4.41 %","  6.90 %","","","   .00 %",""," 38.30 %","  1.88 %","","",""," 26.92 %"
"2020-04-28",""," 17.24 %"," 27.27 %"," 71.70 %","","","   .00 %","","","",""," 87.50 %"," ##.## %","","  9.09 %"," 20.00 %","  6.78 %","  6.11 %","",""," 33.79 %","",""," 12.33 %","","  6.74 %","  8.06 %","",""," 10.34 %",""," 26.15 %","  9.51 %","","",""," 13.64 %"
"2020-04-29",""," 14.71 %",""," 16.48 %","","","","","","","","","","","","","  7.67 %","  2.16 %","","","","","","  3.05 %","   .00 %","  1.52 %","  4.48 %","","  7.41 %","   .00 %"," ##.## %","  3.66 %","  7.00 %","",""," ##.## %"," 10.67 %"
"2020-04-30","","",""," 24.53 %","","","","","","","","","","   .00 %"," 16.67 %","","  6.26 %","   .70 %","","","  1.03 %","","   .00 %","   .00 %"," ##.## %","  4.64 %","  2.86 %","","","   .00 %",""," 16.47 %","  6.88 %","","","",""
"2020-05-01","","",""," 22.73 %","","","   .00 %"," 50.00 %","  4.00 %","",""," 46.67 %"," 10.00 %"," 50.00 %","  7.14 %",""," 10.60 %",""," 33.33 %",""," 22.96 %",""," ##.## %","  5.92 %"," 50.00 %","  5.39 %","  4.17 %","","  3.45 %","","   .00 %","  9.09 %","  7.70 %","","","",""
"2020-05-02","   .00 %"," 25.64 %"," 10.71 %"," 36.42 %","","","","","  3.85 %","",""," 68.18 %","  4.55 %"," ##.## %","  6.67 %","","  6.98 %","  4.90 %","","  9.09 %","  8.30 %","","   .00 %","  5.03 %","","  1.73 %","  2.67 %"," 22.22 %","  3.33 %"," 12.50 %"," 50.00 %","  6.48 %","  6.86 %","","","",""
"2020-05-03","  2.27 %"," 26.53 %","  9.68 %"," 10.86 %","","",""," 33.33 %","  3.70 %","",""," 13.51 %","","","","","  5.26 %","  4.00 %"," ##.## %","","  8.43 %",""," 50.00 %","  4.26 %","","  4.21 %"," 11.69 %","  9.09 %","","  2.78 %","","   .87 %","  5.13 %","","","",""
"2020-05-04"," -2.22 %","-11.29 %"," 70.59 %"," 28.16 %","",""," 14.29 %",""," 14.29 %","",""," 23.81 %"," 23.91 %","","-12.50 %"," 58.33 %","  5.78 %"," 14.10 %","   .00 %"," 50.00 %"," 34.63 %",""," 33.33 %","  4.08 %","-33.33 %"," 44.11 %"," 23.26 %"," -8.33 %","  9.68 %"," ##.## %","-33.33 %"," 11.21 %","  8.37 %","","","-50.00 %"," 14.46 %"
"2020-05-05"," 25.00 %"," 14.55 %","  5.17 %","  8.60 %","","","","","","","","  5.77 %","  1.75 %","","  7.14 %","","  6.81 %","  3.93 %","","  5.56 %","  7.09 %",""," 25.00 %"," -5.88 %","","  2.17 %"," 54.72 %","","","   .00 %"," 50.00 %","   .78 %"," 13.35 %","","","","  1.05 %"
"2020-05-06","   .00 %"," 31.75 %"," 19.67 %","  9.68 %","","","   .00 %","","   .00 %","","","  5.45 %"," 12.07 %","","  6.67 %","","  7.72 %","   .54 %","","   .00 %"," 13.24 %",""," 40.00 %","  9.90 %","","  1.20 %","  7.32 %"," 54.55 %","  2.94 %"," 12.66 %"," 33.33 %"," 34.62 %"," 15.05 %","","","",""
"2020-05-07",""," 19.28 %","","  7.22 %","","","","","   .00 %","","",""," 20.00 %","","   .00 %"," 31.58 %","  6.33 %"," 12.90 %","  3.23 %",""," 15.15 %",""," 28.57 %"," 10.43 %","","  2.00 %"," 14.77 %","","","  5.62 %","   .00 %","  4.57 %"," 16.84 %","","","   .00 %","  1.04 %"
"2020-05-08",""," 22.22 %","  9.59 %","  5.74 %","","","   .00 %","","   .00 %","","",""," 23.08 %"," 50.00 %","","","  6.55 %","  2.86 %","","","  4.51 %","","","  3.00 %","","  2.24 %","  5.94 %","  5.88 %","   .00 %","   .00 %"," 25.00 %","  1.09 %","  8.66 %","","","   .00 %","  2.06 %"
"2020-05-09"," 12.73 %"," 18.18 %","  2.50 %","  4.48 %","","","",""," 56.25 %","","",""," 38.54 %",""," 18.75 %","","  5.94 %","  5.56 %","  3.12 %","","  6.83 %",""," 11.11 %","  3.33 %","","  2.19 %","  6.07 %","  5.56 %","","  4.26 %","","  2.70 %","  9.91 %","","","",""
"2020-05-10","  4.84 %"," 11.19 %","   .00 %"," 28.44 %","","","   .00 %","","  8.00 %","","","  1.72 %"," 33.83 %","","","  4.00 %","  6.79 %"," 11.84 %"," 30.30 %"," 15.79 %"," 10.77 %",""," 10.00 %","  6.05 %",""," 20.28 %","  1.76 %"," 94.74 %","  5.71 %"," 21.43 %"," 20.00 %"," 31.58 %","  8.44 %","","","   .00 %","  1.01 %"
"2020-05-11","","  1.89 %","  1.22 %","  2.81 %","","","  4.17 %","","   .00 %","","","  1.69 %","  1.12 %"," 16.67 %",""," 19.23 %","  5.68 %","  3.14 %","  4.65 %","","  5.62 %",""," 45.45 %","  8.75 %","","  4.08 %"," 13.85 %"," 16.22 %","   .00 %","  1.68 %",""," 18.40 %","  5.87 %","","   .00 %","","  1.00 %"
"2020-05-12","  1.54 %","  4.32 %","  7.23 %"," 11.79 %","","","",""," 16.67 %","","","  1.67 %","  6.67 %"," 14.29 %","","   .00 %","  2.93 %","  3.42 %","  2.22 %","","  6.47 %"," 33.33 %","","  5.24 %","","  5.28 %","  4.94 %"," 30.23 %","  2.70 %","  1.65 %","","  7.09 %","  8.55 %","",""," ##.## %","   .99 %"
"2020-05-13","   .00 %"," 13.61 %","   .00 %","  4.13 %","","","",""," 12.70 %","","","   .00 %","  7.29 %",""," 15.79 %","  3.23 %","  5.34 %"," 18.01 %"," 23.91 %","","  1.35 %","","","  8.31 %","","  7.59 %"," 11.96 %","  8.93 %","  7.89 %","  1.63 %"," 16.67 %","   .95 %","  8.90 %","",""," 50.00 %","   .98 %"
"2020-05-14","  9.09 %","  8.33 %","  3.37 %","  5.29 %","","","  4.00 %"," 25.00 %","","","","   .00 %","  8.25 %"," 25.00 %"," 13.64 %","   .00 %","  6.28 %","  4.36 %","   .00 %","   .00 %","  7.47 %","","","  3.37 %","","  4.82 %","  6.15 %"," 37.70 %","  4.88 %","","","  7.50 %","  7.23 %","","","",""
"2020-05-15","  1.39 %","  8.65 %","  6.52 %","  8.65 %","","   .00 %","   .00 %","","  4.23 %","","","  8.20 %"," 10.31 %","  5.00 %","","","  5.57 %","   .90 %","   .00 %","","  2.23 %"," 50.00 %","","  7.72 %"," ##.## %","  5.02 %"," 19.82 %","  3.57 %","  2.33 %","   .80 %","","  6.10 %","  6.44 %",""," ##.## %","",""
"2020-05-16","  1.37 %","  4.42 %","  4.08 %"," 12.20 %","","","   .00 %","","  4.05 %","","","   .00 %","  1.63 %","   .00 %","  8.00 %","  6.25 %","  5.00 %","  5.33 %","  3.51 %","   .00 %","  1.21 %"," 16.67 %","","  7.44 %","","  4.75 %","  5.60 %","  5.75 %","  2.27 %","  3.97 %"," 42.86 %","  1.64 %","  9.56 %","","","",""
"2020-05-17","  4.05 %"," 13.98 %","  7.84 %","  7.55 %"," ##.## %"," ##.## %"," 15.38 %","","  3.90 %","",""," 45.45 %","  6.40 %"," 33.33 %"," 33.33 %"," 29.41 %","  8.59 %","  1.40 %"," 16.95 %","  4.55 %","  1.92 %","","","  7.69 %","","  4.75 %","  7.47 %","  4.35 %"," 11.11 %","   .00 %","   .00 %","   .54 %","  7.32 %","","","","   .00 %"
"2020-05-18"," 11.69 %","  1.86 %","  4.55 %","  3.72 %","","","","","  3.75 %","","","  8.33 %","  9.77 %"," 28.57 %"," 44.44 %"," 13.64 %","  5.87 %","  4.99 %"," 13.04 %","  8.70 %","   .71 %"," 57.14 %"," 12.50 %","  4.05 %"," 16.67 %","  6.52 %","  6.05 %","  6.25 %","  6.00 %","  6.87 %",""," 15.01 %","  6.97 %",""," 50.00 %","","   .97 %"
"2020-05-19","-27.91 %","  4.74 %","  3.48 %","  5.54 %"," 66.67 %"," ##.## %"," 10.00 %","","  1.20 %","   .00 %","","  2.88 %","  3.77 %","  5.56 %"," 55.77 %","","  6.61 %","  3.43 %","  1.28 %",""," -1.99 %",""," 16.67 %","  5.95 %"," 14.29 %","  4.14 %","  7.61 %","   .98 %","  3.77 %","  1.43 %","","  2.33 %","  7.08 %","","","","   .96 %"
"2020-05-20","  6.45 %","  8.01 %","  3.36 %","  5.25 %","","","  3.03 %","   .00 %","   .00 %"," 20.00 %"," ##.## %","","   .00 %",""," 71.60 %","   .00 %","  6.03 %","  8.93 %","  1.27 %","","  3.34 %","   .00 %","  9.52 %","  2.59 %"," 12.50 %","  5.57 %","  4.72 %"," 13.59 %","  3.64 %"," 19.72 %",""," 15.03 %","  3.94 %","",""," ##.## %","   .95 %"
"2020-05-21","  3.03 %"," 10.97 %"," 13.82 %","  4.06 %"," ##.## %"," 28.57 %"," 11.76 %"," ##.## %"," 13.10 %"," 16.67 %","","  2.80 %","  9.24 %"," 13.16 %"," 15.83 %","  8.00 %","  5.73 %","  3.28 %"," 15.00 %","  4.00 %","  4.50 %"," 72.73 %",""," 10.95 %"," ##.## %","  4.19 %","  4.50 %","  5.98 %"," 10.53 %","  8.24 %","   .00 %","  3.37 %","  7.50 %","","","","  8.49 %"
"2020-05-22","  7.35 %","  6.69 %","  3.57 %","  5.41 %"," ##.## %","","  2.63 %","","  2.11 %"," 28.57 %"," ##.## %","  1.82 %"," 19.34 %","  6.98 %"," 21.12 %"," 12.96 %","  6.86 %","  5.22 %","  6.52 %"," 23.08 %","  1.21 %"," 36.84 %","","  5.88 %"," 22.22 %","  7.01 %","  4.49 %","  9.68 %"," 12.70 %"," 10.87 %","","  1.92 %","  8.52 %","","","","  1.74 %"
"2020-05-23","  1.37 %","  1.63 %","  7.59 %","  2.69 %","","","   .00 %","  6.67 %","   .00 %"," 44.44 %"," 39.29 %","   .00 %","  2.03 %"," 17.39 %"," 17.44 %","  9.84 %","  5.74 %","  1.08 %","   .00 %","","  1.42 %"," 11.54 %","","  9.32 %","","  7.07 %","  6.01 %","  5.15 %","  4.23 %","   .00 %","","  6.58 %","  7.22 %","","","",""
