"date","West Virginia/Barbour","West Virginia/Berkeley","West Virginia/Boone","West Virginia/Braxton","West Virginia/Brooke","West Virginia/Cabell","West Virginia/Calhoun","West Virginia/Clay","West Virginia/Doddridge","West Virginia/Fayette","West Virginia/Gilmer","West Virginia/Grant","West Virginia/Greenbrier","West Virginia/Hampshire","West Virginia/Hancock","West Virginia/Hardy","West Virginia/Harrison","West Virginia/Jackson","West Virginia/Jefferson","West Virginia/Kanawha","West Virginia/Lewis","West Virginia/Lincoln","West Virginia/Logan","West Virginia/Marion","West Virginia/Marshall","West Virginia/Mason","West Virginia/McDowell","West Virginia/Mercer","West Virginia/Mineral","West Virginia/Mingo","West Virginia/Monongalia","West Virginia/Monroe","West Virginia/Morgan","West Virginia/Nicholas","West Virginia/Ohio","West Virginia/Pendleton","West Virginia/Pleasants","West Virginia/Pocahontas","West Virginia/Preston","West Virginia/Putnam","West Virginia/Raleigh","West Virginia/Randolph","West Virginia/Ritchie","West Virginia/Roane","West Virginia/Summers","West Virginia/Taylor","West Virginia/Tucker","West Virginia/Tyler","West Virginia/Unassigned","West Virginia/Upshur","West Virginia/Wayne","West Virginia/Webster","West Virginia/Wetzel","West Virginia/Wirt","West Virginia/Wood","West Virginia/Wyoming"
"2020-04-01","   .00 %"," 31.25 %","","","","   .00 %","","","","","","","   .00 %",""," ##.## %","   .00 %"," 27.27 %"," 22.22 %"," 12.50 %"," 19.35 %","",""," 50.00 %"," 60.00 %","   .00 %","   .00 %","","   .00 %","","","  3.23 %","","   .00 %",""," 10.00 %","","   .00 %","","   .00 %"," 25.00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","",""," ##.## %","   .00 %","   .00 %",""
"2020-04-02","   .00 %"," 28.57 %","","",""," ##.## %","","","","","","","   .00 %","","-16.67 %"," ##.## %"," 21.43 %","   .00 %"," 33.33 %","  5.41 %","",""," 33.33 %"," 25.00 %","   .00 %","   .00 %",""," 50.00 %","","","  9.38 %","","   .00 %",""," -9.09 %","","   .00 %","","   .00 %","   .00 %","   .00 %"," ##.## %","","   .00 %","",""," 50.00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %"," 50.00 %",""
"2020-04-03","   .00 %"," 37.04 %","","",""," 66.67 %","","","","","","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.56 %","","","   .00 %"," 10.00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %",""," 10.00 %","   .00 %","   .00 %",""," 33.33 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %"," 66.67 %",""
"2020-04-04"," ##.## %"," 32.43 %","","","","   .00 %","","","","","","","   .00 %",""," 20.00 %","   .00 %"," 11.76 %"," 18.18 %"," 41.67 %"," 20.00 %","",""," 25.00 %"," 18.18 %","   .00 %"," 33.33 %","","   .00 %","   .00 %",""," 14.29 %","","   .00 %","","   .00 %","   .00 %","   .00 %",""," 25.00 %","   .00 %"," 33.33 %"," 50.00 %","","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %"," 40.00 %",""
"2020-04-05","   .00 %"," 10.20 %","","","","   .00 %","","","","","","","   .00 %","","   .00 %","   .00 %"," 26.32 %","  7.69 %"," 23.53 %","  6.25 %","","","   .00 %","  7.69 %"," 25.00 %","   .00 %","","   .00 %","   .00 %",""," 22.50 %",""," ##.## %",""," 63.64 %","   .00 %","   .00 %","","   .00 %"," 20.00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","","","   .00 %","   .00 %"," 42.86 %",""
"2020-04-06","   .00 %","   .00 %","","",""," 40.00 %","","","","","","","   .00 %","","   .00 %","   .00 %","  4.17 %"," 14.29 %","  4.76 %","  9.80 %","   .00 %",""," 20.00 %"," 21.43 %","   .00 %","   .00 %",""," 33.33 %","   .00 %","","  8.16 %","","   .00 %","","-16.67 %","   .00 %","   .00 %","","-20.00 %"," 33.33 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","","   .00 %","   .00 %"," 10.00 %",""
"2020-04-07"," 50.00 %","  5.56 %","","","   .00 %"," 57.14 %","","","","   .00 %","","","   .00 %",""," 16.67 %","   .00 %","   .00 %"," 18.75 %"," 40.91 %","  8.93 %","   .00 %",""," 16.67 %"," 47.06 %","   .00 %"," 50.00 %","   .00 %"," 25.00 %"," 50.00 %",""," 13.21 %",""," 33.33 %","   .00 %"," 26.67 %","   .00 %","   .00 %",""," 50.00 %"," 25.00 %","   .00 %","   .00 %","","   .00 %",""," ##.## %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %"," 18.18 %","   .00 %"
"2020-04-08"," 33.33 %"," 15.79 %","   .00 %","   .00 %","   .00 %","  9.09 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %"," 16.00 %","   .00 %"," 22.58 %"," 13.11 %","   .00 %",""," 14.29 %"," 20.00 %","   .00 %","   .00 %"," 50.00 %"," 20.00 %","   .00 %",""," 13.33 %","","   .00 %","   .00 %"," -5.26 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","",""," 50.00 %","   .00 %","  7.69 %","   .00 %"
"2020-04-09"," 25.00 %"," 24.24 %","   .00 %","   .00 %"," ##.## %"," 41.67 %","","","","   .00 %","","","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","  5.26 %"," 18.42 %","  5.80 %","   .00 %","","   .00 %","  3.33 %","   .00 %"," 16.67 %"," 33.33 %"," 16.67 %","   .00 %",""," 11.76 %","","   .00 %","   .00 %"," 11.11 %","   .00 %","   .00 %","","   .00 %","   .00 %"," 25.00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","-##.## %"," ##.## %","","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-10","-20.00 %","  8.54 %","   .00 %","   .00 %"," 50.00 %"," 23.53 %","","",""," ##.## %","","","   .00 %"," 50.00 %","   .00 %","   .00 %"," -3.45 %"," 15.00 %","  2.22 %"," 12.33 %"," ##.## %","","   .00 %","  3.23 %"," 20.00 %","   .00 %","   .00 %"," 14.29 %","   .00 %","","  2.63 %","   .00 %"," 25.00 %","   .00 %","  5.00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %"," ##.## %","   .00 %"," 50.00 %","   .00 %","","   .00 %"," ##.## %"," 28.57 %","   .00 %"
"2020-04-11","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","-33.33 %","","","   .00 %"," 33.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 33.33 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-12","   .00 %","  3.37 %","   .00 %","   .00 %","   .00 %","  4.76 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.52 %","  1.22 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 14.29 %"," 25.00 %","   .00 %","   .00 %","","  3.85 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"," 10.00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-13","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  4.55 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 17.39 %","   .00 %","  3.61 %","   .00 %","","   .00 %","  6.25 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.47 %","   .00 %","   .00 %","   .00 %"," 19.05 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-14","   .00 %","  8.70 %","   .00 %","   .00 %","   .00 %"," 13.04 %","","","","   .00 %","","   .00 %","   .00 %"," 25.00 %","   .00 %","   .00 %","   .00 %"," 11.11 %","  6.12 %"," -1.16 %","   .00 %","","   .00 %"," 11.76 %","   .00 %"," 25.00 %"," 20.00 %","   .00 %"," 25.00 %","   .00 %"," -2.41 %","   .00 %","   .00 %","   .00 %"," -8.00 %","   .00 %","   .00 %","","   .00 %","  9.09 %"," 20.00 %","   .00 %","","   .00 %","   .00 %"," 33.33 %","   .00 %","   .00 %","   .00 %","   .00 %"," 11.76 %","","   .00 %","   .00 %"," 16.67 %","   .00 %"
"2020-04-15","   .00 %"," -1.00 %","   .00 %","   .00 %","   .00 %","  7.69 %","","","","   .00 %","","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","  3.85 %","  3.53 %","   .00 %","   .00 %","   .00 %","  7.89 %"," 16.67 %","-10.00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","  2.47 %","   .00 %","   .00 %"," 50.00 %"," -4.35 %","   .00 %","   .00 %","","   .00 %","  8.33 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","","   .00 %","   .00 %","  4.76 %","   .00 %"
"2020-04-16","   .00 %","  3.03 %"," ##.## %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","  3.57 %","  3.03 %","  5.56 %","  3.41 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 11.11 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 13.11 %","","   .00 %","   .00 %"," 13.64 %","   .00 %"
"2020-04-17","   .00 %","  3.92 %","   .00 %","   .00 %","   .00 %","   .00 %","","",""," ##.## %","","   .00 %","   .00 %","-14.29 %","   .00 %","   .00 %"," -3.45 %"," 17.65 %","  5.26 %"," 14.29 %","   .00 %","   .00 %","   .00 %","  2.44 %"," 14.29 %","   .00 %","   .00 %","   .00 %"," 33.33 %"," ##.## %","   .00 %"," ##.## %"," 14.29 %","   .00 %","   .00 %"," ##.## %","   .00 %","","   .00 %","  7.69 %"," 16.67 %","   .00 %","","   .00 %","   .00 %"," 25.00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","  7.25 %","","   .00 %","   .00 %"," 16.00 %","   .00 %"
"2020-04-18","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.57 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.50 %","   .00 %","  1.92 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.20 %","   .00 %","   .00 %","   .00 %","  4.55 %","   .00 %","   .00 %",""," 16.67 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.35 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-19","   .00 %","  2.83 %","   .00 %","   .00 %","   .00 %"," 17.24 %","","",""," 25.00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.14 %"," ##.## %","   .00 %"," 19.81 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.57 %"," ##.## %","   .00 %"," 33.33 %"," -4.35 %","   .00 %","   .00 %",""," 42.86 %","   .00 %","   .00 %","   .00 %",""," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  4.00 %","","   .00 %","   .00 %","  6.90 %","   .00 %"
"2020-04-20","   .00 %","  1.83 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.00 %","  1.67 %","   .79 %","   .00 %","   .00 %","   .00 %","  4.76 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.45 %","   .00 %"," 12.50 %","   .00 %","   .00 %","   .00 %"," ##.## %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-21","   .00 %","  1.80 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.91 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," -1.11 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-22","   .00 %","  7.08 %","   .00 %","   .00 %","   .00 %","  2.94 %","","","","   .00 %","","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","  1.98 %","  6.56 %","  3.76 %","   .00 %","   .00 %"," 12.50 %"," -2.27 %","   .00 %"," -9.09 %","   .00 %"," 12.50 %"," 25.00 %","   .00 %","  1.12 %","   .00 %","-22.22 %","   .00 %","  4.55 %","-50.00 %","   .00 %",""," 20.00 %"," 14.29 %","   .00 %","   .00 %",""," 66.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.28 %","","   .00 %","   .00 %","  6.45 %","   .00 %"
"2020-04-23","   .00 %","  4.96 %","   .00 %","   .00 %","   .00 %","  8.57 %","","",""," 60.00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  8.74 %","  3.08 %","  2.90 %"," 50.00 %","   .00 %"," 22.22 %","  2.33 %","   .00 %"," 10.00 %","   .00 %","   .00 %"," 10.00 %","   .00 %"," -1.11 %","   .00 %","   .00 %"," 25.00 %","  4.35 %","   .00 %","   .00 %","","   .00 %"," 18.75 %"," 14.29 %","   .00 %","","-20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.53 %","","   .00 %"," 50.00 %","  6.06 %","   .00 %"
"2020-04-24","   .00 %","  1.57 %","   .00 %","   .00 %","   .00 %","   .00 %","","",""," 12.50 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.57 %","  4.48 %","  3.52 %","   .00 %","   .00 %","   .00 %","   .00 %"," 12.50 %","   .00 %","   .00 %","   .00 %","  9.09 %","   .00 %","  8.99 %","   .00 %"," 28.57 %"," 20.00 %","  4.17 %"," ##.## %","   .00 %","","   .00 %","-15.79 %"," 12.50 %","   .00 %","","-25.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  2.86 %","   .00 %"
"2020-04-25","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-26","   .00 %","  1.55 %","   .00 %"," ##.## %"," 33.33 %","  5.26 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 14.29 %","   .00 %","   .00 %","  9.48 %","  1.43 %","  4.08 %","   .00 %","   .00 %","  9.09 %","  2.27 %"," 22.22 %","   .00 %","   .00 %","   .00 %"," 25.00 %","   .00 %","  4.12 %","   .00 %","   .00 %","   .00 %","  4.00 %","   .00 %","   .00 %","","  8.33 %"," 12.50 %","   .00 %","   .00 %",""," 33.33 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.23 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-27","   .00 %","  1.53 %","   .00 %","   .00 %","   .00 %","  2.50 %","","",""," 11.11 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.41 %","  1.31 %"," 33.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .99 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-11.11 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"," -2.78 %","   .00 %"
"2020-04-28","   .00 %","  6.02 %","   .00 %","   .00 %","-25.00 %","   .00 %","","",""," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %","  1.57 %","  6.94 %","  1.29 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  9.09 %","   .00 %","   .00 %","   .00 %","   .00 %","   .98 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"," 22.22 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.44 %","","   .00 %","   .00 %"," 11.43 %","   .00 %"
"2020-04-29","   .00 %","  1.42 %"," 50.00 %","   .00 %","   .00 %","  2.44 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 12.50 %"," 25.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 11.11 %","   .00 %","   .00 %","   .00 %","   .00 %"," 11.11 %","   .00 %","  3.85 %","   .00 %","   .00 %","   .00 %","   .00 %"," 13.64 %","   .00 %","   .00 %",""," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.19 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-30"," 25.00 %","  1.40 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","  8.33 %","   .00 %","   .00 %","   .00 %","   .00 %"," 11.11 %","   .00 %","   .00 %","   .78 %","  2.60 %","  1.91 %","   .00 %"," ##.## %","  8.33 %","   .00 %","  9.09 %","   .00 %","   .00 %","   .00 %"," 13.33 %","   .00 %","  -.97 %","   .00 %"," 10.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"," -2.56 %","   .00 %"
