"date","Puducherry/Karaikal","Puducherry/Mahe","Puducherry/Puducherry","Puducherry/Yanam"
"2020-07-20"," ##.## %","","-21.15 %",""
"2020-07-21","-90.91 %","","  4.88 %",""
"2020-07-22"," ##.## %","   .00 %","  9.30 %","   .00 %"
"2020-07-23","-62.50 %",""," 23.40 %","-94.44 %"
"2020-07-24","-66.67 %","   .00 %","-19.83 %",""
"2020-07-25"," ##.## %",""," 21.51 %"," ##.## %"
"2020-07-26","   .00 %",""," 13.27 %","-91.30 %"
"2020-07-27","","","-33.59 %",""
"2020-07-28","",""," 50.59 %"," ##.## %"
"2020-07-29","   .00 %",""," 20.31 %",""
"2020-07-30","-41.67 %","","-25.97 %",""
"2020-07-31"," 85.71 %",""," 18.42 %","   .00 %"
"2020-08-01","-76.92 %","   .00 %","-34.07 %"," 61.54 %"
"2020-08-02"," ##.## %",""," 80.90 %","-23.81 %"
"2020-08-03"," 28.57 %","   .00 %","-23.60 %"," 31.25 %"
"2020-08-04","-44.44 %","-##.## %"," 30.89 %",""
"2020-08-05"," ##.## %","   .00 %"," 13.04 %","   .00 %"
"2020-08-06"," -9.52 %",""," -7.69 %","-98.75 %"
"2020-08-07","-47.37 %",""," 36.90 %","   .00 %"
"2020-08-08"," ##.## %",""," -3.91 %"," ##.## %"
"2020-08-09"," -2.63 %",""," -7.24 %"," ##.## %"
"2020-08-10","-83.78 %",""," -7.80 %"," ##.## %"
"2020-08-11"," ##.## %",""," 27.51 %","-89.36 %"
"2020-08-12","","   .00 %"," 71.37 %"," ##.## %"
"2020-08-13"," 36.67 %","","-39.71 %","-86.57 %"
"2020-08-14","-60.98 %",""," 19.68 %","-88.89 %"
"2020-08-15"," ##.## %","","  3.02 %",""
"2020-08-16","-86.54 %",""," 19.22 %","   .00 %"
"2020-08-17","","","-19.67 %","-40.00 %"
"2020-08-18","   .00 %","","  6.80 %","-33.33 %"
"2020-08-19","-92.16 %","   .00 %","   .64 %"," ##.## %"
"2020-08-20"," ##.## %",""," 48.73 %"," -2.78 %"
"2020-08-21","-77.14 %","   .00 %","-38.72 %","-85.71 %"
"2020-08-22"," ##.## %","   .00 %"," 52.08 %"," ##.## %"
"2020-08-23","-96.55 %",""," -8.68 %","-61.90 %"
"2020-08-24"," ##.## %","","-26.00 %"," 25.00 %"
"2020-08-25"," 16.13 %",""," 77.36 %","-40.00 %"
"2020-08-26","-22.22 %"," ##.## %","-20.38 %"," ##.## %"
"2020-08-27"," 10.71 %"," 20.00 %","  8.61 %","-75.47 %"
"2020-08-28"," 48.39 %","","  1.54 %"," ##.## %"
"2020-08-29"," -6.52 %","-50.00 %"," -9.76 %","-15.66 %"
"2020-08-30","-72.09 %","-66.67 %"," 24.04 %","-40.00 %"
"2020-08-31"," 83.33 %"," ##.## %","-50.78 %","-97.62 %"
"2020-09-01","-81.82 %",""," 21.26 %"," ##.## %"
"2020-09-02"," 50.00 %",""," 10.06 %","  6.98 %"
"2020-09-03"," ##.## %","   .00 %"," 12.68 %","-89.13 %"
"2020-09-04","-45.45 %","   .00 %"," 37.43 %"," ##.## %"
"2020-09-05"," 38.89 %"," ##.## %","-37.33 %","-27.27 %"
"2020-09-06"," 60.00 %",""," 20.67 %"," -9.38 %"
"2020-09-07"," ##.## %"," ##.## %"," ##.## %"," ##.## %"
