"date","Delaware/Kent","Delaware/New Castle","Delaware/Sussex","Delaware/Unassigned"
"2020-06-08","1513","4095","4353","11"
"2020-06-09","1522","4125","4361","12"
"2020-06-10","1530","4139","4373","14"
"2020-06-11","1543","4171","4379","13"
"2020-06-12","1544","4224","4389","16"
"2020-06-13","1554","4259","4401","15"
"2020-06-14","1557","4287","4406","14"
"2020-06-15","1565","4345","4416","14"
"2020-06-16","1573","4386","4428","16"
"2020-06-17","1579","4422","4429","14"
"2020-06-18","1584","4470","4431","14"
"2020-06-19","1602","4522","4470","17"
"2020-06-20","1606","4569","4487","19"
"2020-06-21","1613","4647","4495","20"
"2020-06-22","1620","4682","4501","17"
"2020-06-23","1624","4697","4509","17"
"2020-06-24","1628","4720","4522","19"
"2020-06-25","1630","4791","4538","21"
"2020-06-26","1635","4840","4519","23"
"2020-06-27","1652","4871","4542","26"
"2020-06-28","1663","4925","4608","30"
"2020-06-29","1672","5031","4637","36"
"2020-06-30","1690","5065","4681","38"
"2020-07-01","1699","5079","4690","42"
"2020-07-02","1716","5183","4779","53"
"2020-07-03","1730","5277","4847","69"
"2020-07-04","1735","5334","4854","73"
"2020-07-05","1746","5398","4903","81"
"2020-07-06","1761","5489","4952","91"
"2020-07-07","1784","5555","4977","98"
"2020-07-08","1790","5583","4988","101"
"2020-07-09","1795","5626","5008","102"
"2020-07-10","1815","5688","5045","104"
"2020-07-11","1829","5732","5076","106"
"2020-07-12","1848","5759","5093","104"
"2020-07-13","1857","5797","5119","106"
"2020-07-14","1865","5860","5130","114"
"2020-07-15","1876","5904","5153","117"
"2020-07-16","1887","5935","5171","121"
"2020-07-17","1978","5981","5244","134"
"2020-07-18","1995","6028","5264","142"
"2020-07-19","2000","6070","5304","145"
"2020-07-20","2013","6125","5333","153"
"2020-07-21","2017","6206","5365","158"
"2020-07-22","2025","6231","5375","161"
"2020-07-23","2058","6296","5407","163"
"2020-07-24","2102","6408","5508","184"
"2020-07-25","2091","6414","5488","182"
"2020-07-26","2117","6480","5506","187"
"2020-07-27","2125","6560","5529","192"
"2020-07-28","2132","6588","5564","192"
"2020-07-29","2142","6682","5575","203"
"2020-07-30","2151","6743","5583","212"
"2020-07-31","2167","6794","5608","219"
"2020-08-01","2183","6843","5630","221"
"2020-08-02","2199","6868","5656","226"
"2020-08-03","2215","6938","5673","229"
"2020-08-04","2226","6994","5685","232"
"2020-08-05","2238","7042","5778","238"
"2020-08-06","2247","7092","5786","240"
"2020-08-07","2268","7130","5803","244"
"2020-08-08","2277","7161","5821","243"
"2020-08-09","2287","7206","5839","243"
"2020-08-10","2294","7243","5848","249"
"2020-08-11","2306","7276","5867","250"
"2020-08-12","2319","7309","5881","256"
"2020-08-13","2402","7379","5928","258"
"2020-08-14","2463","7450","6167","260"
"2020-08-15","2475","7490","6172","259"
"2020-08-16","2485","7524","6181","261"
"2020-08-17","2496","7580","6197","263"
"2020-08-18","2503","7617","6209","264"
"2020-08-19","2505","7661","6213","264"
"2020-08-20","2525","7705","6221","267"
"2020-08-21","2529","7737","6235","269"
"2020-08-22","2543","7771","6242","272"
"2020-08-23","2551","7826","6245","273"
"2020-08-24","2553","7865","6249","275"
