"date","Arizona/Apache","Arizona/Cochise","Arizona/Coconino","Arizona/Gila","Arizona/Graham","Arizona/Greenlee","Arizona/La Paz","Arizona/Maricopa","Arizona/Mohave","Arizona/Navajo","Arizona/Pima","Arizona/Pinal","Arizona/Santa Cruz","Arizona/Unassigned","Arizona/Yavapai","Arizona/Yuma"
"2020-04-26","22","0","18","0","1","0","0","125","7","13","46","10","0","0","0","6"
"2020-04-27","26","0","5","0","2","0","0","98","8","3","28","17","0","0","1","3"
"2020-04-28","18","1","14","0","0","0","0","121","3","37","24","6","1","0","0","5"
"2020-04-29","12","1","14","1","1","0","1","145","6","17","27","22","0","0","2","5"
"2020-04-30","57","1","33","1","6","0","6","249","12","30","26","10","2","0","0","13"
"2020-05-01","29","0","12","0","1","0","1","184","5","29","26","20","0","0","3","4"
"2020-05-02","29","0","14","1","0","0","-1","265","5","25","33","18","1","0","5","0"
"2020-05-03","19","0","15","0","1","0","0","164","8","11","26","21","0","0","2","9"
"2020-05-04","23","0","13","0","0","0","0","166","6","23","20","12","0","0","4","17"
"2020-05-05","27","0","21","0","1","0","2","178","6","69","33","10","1","0","33","0"
"2020-05-06","36","1","27","1","0","0","2","209","3","23","46","19","2","0","14","19"
"2020-05-07","18","0","30","2","0","0","2","58","8","20","40","33","1","0","12","14"
"2020-05-08","41","1","41","2","-1","0","2","329","13","33","55","36","0","0","18","11"
"2020-05-09","39","0","20","0","1","0","0","254","7","36","34","19","2","0","5","17"
"2020-05-10","6","0","20","0","0","0","1","48","15","2","31","15","4","0","2","15"
"2020-05-11","11","1","14","0","0","0","0","161","5","23","17","20","1","0","3","8"
"2020-05-12","17","1","7","0","1","0","-1","231","9","11","21","16","6","0","26","8"
"2020-05-13","73","0","52","0","1","0","3","122","6","82","38","7","-1","0","21","76"
"2020-05-14","42","1","23","2","0","0","2","258","7","51","35","7","12","0","16","2"
"2020-05-15","68","1","28","1","0","0","9","222","22","27","54","20","7","0","11","25"
"2020-05-16","35","1","16","0","-1","0","1","275","8","61","31","8","3","0","6","53"
"2020-05-17","19","0","27","0","0","0","1","144","0","35","33","15","3","0","2","0"
"2020-05-18","7","0","35","0","0","0","0","100","1","12","11","9","3","0","5","80"
"2020-05-19","35","0","42","0","0","1","0","142","11","35","63","18","19","0","2","0"
"2020-05-20","57","0","18","0","1","0","2","162","5","41","15","4","5","0","4","16"
"2020-05-21","41","5","11","0","0","0","5","191","10","60","41","8","21","0","0","49"
"2020-05-22","18","5","7","2","0","0","3","115","11","49","30","17","8","0","11","0"
"2020-05-23","5","2","21","-1","0","0","1","227","15","21","28","2","12","0","0","96"
"2020-05-24","47","1","19","1","0","0","1","100","1","32","25","4","26","0","1","66"
"2020-05-25","0","0","9","0","3","0","1","102","15","20","19","9","17","0","3","0"
"2020-05-26","23","5","13","0","0","0","0","69","10","7","29","2","1","0","3","127"
"2020-05-27","36","-1","25","1","1","0","3","179","10","102","44","11","1","0","1","41"
"2020-05-28","40","4","12","0","1","1","-1","269","11","26","48","11","37","0","2","98"
"2020-05-29","124","0","26","3","1","0","1","216","19","74","67","26","37","0","1","0"
"2020-05-30","77","5","19","2","1","0","16","410","14","81","56","23","35","0","1","46"
"2020-05-31","33","2","28","1","4","2","8","293","13","33","78","26","33","0","1","123"
"2020-06-01","2","2","4","0","0","0","1","122","7","7","14","2","0","0","0","32"
"2020-06-02","43","13","18","4","5","2","13","599","6","84","114","44","35","0","3","152"
"2020-06-03","17","5","13","2","4","0","-1","532","13","37","131","31","73","0","4","231"
"2020-06-04","51","11","35","2","-3","0","19","161","6","48","42","8","24","0","3","123"
"2020-06-05","19","15","27","3","2","1","39","862","19","62","214","70","41","0","7","172"
"2020-06-06","36","2","19","1","-1","0","9","670","38","48","67","49","27","0","12","35"
"2020-06-07","35","19","15","2","1","1","23","737","15","46","148","45","69","0","1","381"
"2020-06-08","5","8","8","1","1","0","2","505","12","31","56","15","16","0","3","26"
"2020-06-09","15","7","-1","1","1","0","6","371","1","24","7","37","18","0","10","121"
"2020-06-10","64","11","21","1","3","0","16","908","39","135","189","45","55","0","8","61"
"2020-06-11","76","4","7","1","3","2","6","736","11","91","129","72","117","0","11","149"
"2020-06-12","40","7","28","5","0","-1","6","992","21","33","149","82","28","0","8","374"
"2020-06-13","40","28","15","5","0","0","4","781","2","78","261","137","81","0","7","182"
"2020-06-14","5","10","8","11","2","0","0","901","3","29","21","0","56","0","0","0"
"2020-06-15","3","5","5","17","0","1","1","680","29","17","34","68","18","0","0","260"
"2020-06-16","21","20","20","4","5","0","16","1403","6","113","385","159","116","0","10","63"
"2020-06-17","2","7","17","8","1","0","0","1497","12","22","56","66","61","0","3","0"
"2020-06-18","61","19","29","16","2","1","7","1608","40","103","297","95","45","0","15","170"
"2020-06-19","44","65","31","10","1","1","12","2119","10","54","337","242","83","0","15","441"
"2020-06-20","13","30","20","18","2","-1","11","2304","31","56","294","41","54","0","19","325"
"2020-06-21","1","1","46","17","2","0","5","1833","4","25","57","186","66","0","20","201"
"2020-06-22","4","9","5","16","2","0","6","1514","2","28","217","102","69","0","34","0"
"2020-06-23","44","60","54","16","1","3","7","2233","90","129","502","245","39","0","20","336"
"2020-06-24","29","9","16","9","5","0","3","1109","28","82","229","74","17","0","11","191"
"2020-06-25","41","27","65","15","-1","1","10","2143","40","63","228","134","49","0","43","233"
"2020-06-26","15","41","37","21","5","0","10","2491","46","56","290","123","50","0","33","160"
"2020-06-27","0","29","22","12","7","1","6","2748","35","30","250","119","17","2","31","156"
"2020-06-28","53","23","84","19","3","0","13","2588","42","140","439","196","44","-1","40","113"
"2020-06-29","6","19","31","3","7","0","4","216","24","33","43","32","19","-1","87","102"
"2020-06-30","28","34","35","21","4","0","10","3414","43","55","436","192","54","1","26","330"
"2020-07-01","44","43","56","17","12","0","3","3674","71","78","383","203","31","-1","-10","273"
"2020-07-02","24","21","45","5","9","1","1","2491","106","41","190","131","47","0","43","185"
"2020-07-03","13","32","101","11","8","0","5","3172","94","73","447","231","38","0","47","155"
"2020-07-04","5","30","20","10","2","-1","6","1900","16","31","289","98","45","0","20","224"
"2020-07-05","16","51","57","19","13","3","6","2467","26","35","308","154","49","0","48","284"
"2020-07-06","2","35","26","-5","12","5","8","2619","29","21","252","209","21","0","19","99"
"2020-07-07","30","29","47","12","20","0","3","2628","35","111","311","192","46","0","21","154"
"2020-07-08","28","29","13","12","7","0","7","2585","61","74","301","167","13","0","47","176"
"2020-07-09","21","21","88","12","1","1","3","3037","86","61","350","197","34","0","21","124"
"2020-07-10","14","75","41","39","4","2","10","3163","101","105","337","176","38","0","21","95"
"2020-07-11","17","40","48","15","17","3","4","2153","63","24","271","181","29","0","24","149"
"2020-07-12","28","29","30","6","3","0","9","1665","66","58","324","101","18","0","41","159"
"2020-07-13","1","13","18","1","3","1","3","1070","6","18","89","13","6","0","33","82"
"2020-07-14","31","33","48","22","11","0","2","3017","106","127","258","318","22","0","33","245"
"2020-07-15","33","36","9","11","3","5","10","2250","108","47","292","173","18","0","40","222"
"2020-07-16","14","9","49","3","15","2","0","2471","63","69","291","125","25","0","25","98"
"2020-07-17","33","46","38","30","4","-2","6","2909","87","71","361","177","19","0","45","86"
"2020-07-18","44","31","28","39","38","1","6","2007","34","99","212","116","0","0","36","51"
"2020-07-19","6","41","17","19","14","1","1","1601","40","33","179","118","35","0","40","214"
"2020-07-20","-1","2","11","3","6","0","0","1240","12","16","145","-3","35","0","19","74"
"2020-07-21","39","27","70","23","13","-1","10","2277","122","60","254","223","34","0","54","295"
"2020-07-22","18","9","-9","4","3","0","0","1555","61","21","142","36","27","0","15","44"
"2020-07-23","44","15","42","22","14","0","3","1704","61","94","153","64","23","0","15","81"
"2020-07-24","29","8","43","22","25","1","9","2366","77","36","285","240","28","8","44","136"
"2020-07-25","38","44","28","42","9","0","5","2678","79","21","372","164","43","-8","17","208"
"2020-07-26","12","25","9","28","4","8","1","1386","17","29","163","90","22","0","28","151"
"2020-07-27","10","11","12","-11","30","6","0","1311","27","1","146","93","0","0","32","145"
"2020-07-28","15","23","10","21","35","-2","3","1458","66","27","183","94","18","0","28","128"
"2020-07-29","5","20","23","6","11","0","0","1702","37","24","309","65","8","0","34","95"
"2020-07-30","19","25","30","48","-7","2","2","1704","37","52","283","155","34","0","37","104"
"2020-07-31","25","36","14","31","16","1","1","2441","53","20","283","115","22","0","35","119"
"2020-08-01","60","20","17","13","27","0","3","2002","72","53","308","163","11","0","45","198"
"2020-08-02","10","13","26","11","11","0","1","984","37","16","180","74","-2","0","40","64"
"2020-08-03","20","21","7","8","1","2","1","681","13","13","86","74","2","0","40","61"
"2020-08-04","14","-3","16","5","2","0","2","829","8","17","68","3","8","0","25","14"
"2020-08-05","21","6","20","25","19","0","0","1293","25","8","155","-7","15","0","21","97"
"2020-08-06","0","5","10","13","7","1","1","940","5","21","329","26","10","0","32","53"
"2020-08-07","32","8","22","3","11","0","1","902","69","22","204","4","8","0","30","81"
"2020-08-08","4","27","11","18","10","-1","0","621","3","16","231","29","7","0","14","64"
"2020-08-09","38","3","14","7","6","0","-2","508","36","6","152","22","4","0","24","-2"
"2020-08-10","1","8","9","4","4","0","1","318","16","1","116","0","9","0","14","99"
"2020-08-11","3","119","29","34","6","0","2","420","24","16","385","131","-2","1","22","24"
"2020-08-12","15","2","2","26","4","0","7","397","24","17","127","46","6","0","25","8"
"2020-08-13","6","15","16","2","15","0","2","580","35","22","493","61","23","0","19","62"
"2020-08-14","3","4","3","4","10","0","1","584","9","16","163","49","-2","-1","21","63"
"2020-08-15","20","9","18","16","12","0","1","513","54","5","149","19","1","0","29","87"
"2020-08-16","0","1","13","4","8","0","0","520","15","1","268","26","7","0","12","8"
"2020-08-17","0","1","8","0","5","0","0","177","5","3","162","67","1","0","14","25"
"2020-08-18","16","10","8","14","5","0","2","396","15","13","233","158","3","0","20","22"
"2020-08-19","12","-3","4","5","7","0","0","426","28","2","71","54","1","0","11","19"
"2020-08-20","8","6","13","12","3","0","2","416","43","7","92","76","2","0","6","37"
"2020-08-21","6","5","9","27","27","0","1","366","14","12","34","42","7","0","24","45"
"2020-08-22","18","11","14","14","13","0","0","519","16","11","273","42","17","0","14","34"
"2020-08-23","1","4","8","-1","5","0","-1","102","5","-2","29","38","7","1","7","5"
"2020-08-24","-1","0","5","3","0","1","1","175","11","-2","60","24","3","0","7","24"
