"date","Vermont/Addison","Vermont/Bennington","Vermont/Caledonia","Vermont/Chittenden","Vermont/Essex","Vermont/Franklin","Vermont/Grand Isle","Vermont/Lamoille","Vermont/Orange","Vermont/Orleans","Vermont/Rutland","Vermont/Unassigned","Vermont/Washington","Vermont/Windham","Vermont/Windsor"
"2020-04-13","  1.82 %","  3.23 %"," 12.50 %","  2.20 %","   .00 %","  2.47 %","   .00 %","  4.76 %","   .00 %","   .00 %","  8.33 %"," 14.29 %","   .00 %","  1.85 %","  8.00 %"
"2020-04-14","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.20 %","   .00 %","   .00 %","   .00 %","   .00 %","-79.49 %"," ##.## %","  3.57 %","  3.64 %","   .00 %"
"2020-04-15","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","-61.54 %","   .00 %","   .00 %","   .00 %"
"2020-04-16","   .00 %","  3.12 %","   .00 %","  1.34 %","   .00 %","  2.38 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.13 %","   .00 %","   .00 %","  1.75 %"," 14.81 %"
"2020-04-17","  1.79 %","   .00 %"," 11.11 %","   .27 %","   .00 %","  2.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-33.33 %","  3.45 %","  3.45 %","  6.45 %"
"2020-04-18","  7.02 %"," 12.12 %","   .00 %","  1.59 %","   .00 %","  2.27 %","   .00 %","  4.55 %","   .00 %"," 12.50 %","  2.44 %","   .00 %","  3.33 %","  5.00 %","  3.03 %"
"2020-04-19","   .00 %","   .00 %"," 20.00 %","   .26 %"," ##.## %","  1.11 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.38 %","   .00 %","  3.23 %","   .00 %","  8.82 %"
"2020-04-20","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.20 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %","   .00 %","   .00 %"
"2020-04-21","   .00 %","   .00 %","   .00 %","  1.56 %","   .00 %"," -1.08 %","   .00 %","   .00 %"," 20.00 %","   .00 %","  2.33 %","-72.73 %","   .00 %","  3.17 %","  2.70 %"
"2020-04-22","   .00 %","   .00 %","   .00 %","   .51 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.12 %","  3.08 %","   .00 %"
"2020-04-23","   .00 %","   .00 %","   .00 %","   .51 %","   .00 %"," -2.17 %","   .00 %","  8.70 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-24","   .00 %","  2.70 %","   .00 %","   .25 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-25","   .00 %","  2.63 %","  8.33 %","  2.27 %","   .00 %","   .00 %","   .00 %","  4.00 %","   .00 %","   .00 %","   .00 %"," 66.67 %","   .00 %","  1.49 %","  2.63 %"
"2020-04-26","   .00 %","  2.56 %","   .00 %","  1.23 %","   .00 %","  1.11 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.47 %","   .00 %"
"2020-04-27","   .00 %","   .00 %","   .00 %","   .98 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %","-40.00 %"," -3.03 %","  1.45 %","  2.56 %"
"2020-04-28","   .00 %"," 10.00 %","   .00 %","   .48 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.43 %","   .00 %"
