"date","Himachal Pradesh/Bilaspur","Himachal Pradesh/Chamba","Himachal Pradesh/Hamirpur","Himachal Pradesh/Kangra","Himachal Pradesh/Kinnaur","Himachal Pradesh/Kullu","Himachal Pradesh/Lahaul and Spiti","Himachal Pradesh/Mandi","Himachal Pradesh/Shimla","Himachal Pradesh/Sirmaur","Himachal Pradesh/Solan","Himachal Pradesh/Una"
"2020-07-01","","-2","","4","","","","","-3","","-3","4"
"2020-07-02","","","-17","-8","","","","","0","","2","-2"
"2020-07-03","","0","4","16","","","","","3","","-1","-1"
"2020-07-04","","","-6","-9","","","","","1","-1","3","-3"
"2020-07-05","2","","5","-1","","","","0","","","3","0"
"2020-07-06","-1","0","1","4","","","","0","","","","1"
"2020-07-07","","","-1","-1","","","","0","0","","","-1"
"2020-07-08","1","","0","-4","","","","","","2","13","3"
"2020-07-09","","","-7","0","","","","","","","-10","-3"
"2020-07-10","","","12","9","","","","","","","-4","6"
"2020-07-11","","","-4","-14","","","1","-1","","","0","-6"
"2020-07-12","","-2","","13","","","","0","","","0",""
"2020-07-13","","","-1","-13","","","","","","","",""
"2020-07-14","","","","5","","","","","","","",""
"2020-07-15","","","11","-3","","","","","","","",""
"2020-07-16","","","-18","-2","","","-1","","","","",""
"2020-07-17","1","-2","1","9","","","","","","","",""
"2020-07-18","-2","0","","-7","","","","","","","",""
"2020-07-19","","","","2","","","","0","","","","-7"
"2020-07-20","-1","0","","-2","-13","","","","","","","1"
"2020-07-21","","","","-2","","","","","","","",""
"2020-07-22","","3","0","5","","","","","","","-1","1"
"2020-07-23","1","-1","","-5","1","","","","","","9",""
"2020-07-24","-1","-2","","1","","","","","","","",""
"2020-07-25","","2","","","","","","","","","",""
"2020-07-26","","","","","","","","","","","","-1"
"2020-07-27","","-1","","","","4","","","","","","3"
"2020-07-28","","","","","","-4","","-2","4","","","-3"
"2020-07-29","","","","6","","","","","","","",""
"2020-07-30","1","","","-4","","","","","","","0","12"
"2020-07-31","4","","","4","","","","","14","","-22","-12"
"2020-08-01","-6","","","-7","","","","","-8","","26",""
"2020-08-02","0","","","6","","","","","-3","","-15",""
"2020-08-03","0","","","12","","","","","14","10","-13","-4"
"2020-08-04","","2","","-11","","","","","-6","-29","19","-1"
"2020-08-05","","-2","","-2","","","","","-9","21","-19","4"
"2020-08-06","","-2","","11","","","","4","4","9","21","-1"
"2020-08-07","-2","","","-2","","4","","-1","8","-22","0","0"
"2020-08-08","","","","-11","","","","11","-4","-9","58","-1"
"2020-08-09","3","","7","3","3","","","-16","-6","33","-61","0"
"2020-08-10","","","","0","","","","1","","-26","","-3"
"2020-08-11","","","","10","","","","-1","","-6","","4"
"2020-08-12","","12","","-11","","","","18","","","","-1"
"2020-08-13","11","","-3","6","","","","-12","-3","","","7"
"2020-08-14","-16","","","0","","","","7","-5","","","-9"
"2020-08-15","1","-5","","-6","","","","-16","","","-49","3"
"2020-08-16","-1","37","4","1","","","","","","2","","-3"
"2020-08-17","-1","-24","-8","2","","","","","4","5","","15"
"2020-08-18","7","-13","-1","-1","","","","-6","8","","12",""
"2020-08-19","-7","-6","","6","","-2","","14","-1","","-31",""
"2020-08-20","","19","","-5","","10","","","","","21","-10"
"2020-08-21","6","0","5","-2","","-10","","","0","9","13","14"
"2020-08-22","","-20","6","-2","","11","","6","-8","-15","-6","-11"
"2020-08-23","","","-5","1","","39","","-1","-14","-4","1","-4"
"2020-08-24","2","","-1","15","-2","-20","","4","12","0","","11"
"2020-08-25","-5","9","3","","","-27","","11","2","14","",""
"2020-08-26","-2","-10","","","","","","-23","","-11","-43",""
"2020-08-27","","3","-4","","","","","19","","0","4","6"
"2020-08-28","","3","-2","-24","","","","11","-1","-4","12","-7"
"2020-08-29","2","19","","-5","","","","-19","-2","9","-20","-1"
"2020-08-30","24","-22","","11","","","","-5","","-5","27",""
"2020-08-31","","5","11","-13","","","","","","-14","-38",""
"2020-09-01","","-2","-9","5","","","","","-2","45","53",""
"2020-09-02","4","-6","","4","","","","","","","-54",""
"2020-09-03","15","2","","2","","","","","","","-8",""
"2020-09-04","-14","-5","3","-3","","2","","2","3","-8","37",""
"2020-09-05","","4","-9","-1","","","","","","","",""
"2020-09-06","7","4","18","4","","","","","","","","6"
"2020-09-07","251","363","","728","","","5","","266","764","1212","386"
