"date","Delaware/Kent","Delaware/New Castle","Delaware/Sussex","Delaware/Unassigned"
"2020-06-30","   .73 %","  1.12 %","   .62 %"," 12.70 %"
"2020-07-01","   .77 %","   .97 %","   .75 %"," 12.90 %"
"2020-07-02","   .76 %","  1.25 %","  1.02 %"," 15.53 %"
"2020-07-03","   .79 %","  1.39 %","  1.02 %"," 18.49 %"
"2020-07-04","   .74 %","  1.18 %","   .92 %"," 15.65 %"
"2020-07-05","   .65 %","  1.28 %","   .93 %"," 16.73 %"
"2020-07-06","   .72 %","  1.57 %","  1.09 %"," 17.10 %"
"2020-07-07","   .78 %","  1.40 %","   .82 %"," 13.40 %"
"2020-07-08","   .68 %","  1.13 %","   .58 %","  7.97 %"
"2020-07-09","   .68 %","  1.07 %","   .63 %","  7.01 %"
"2020-07-10","   .78 %","  1.05 %","   .57 %","  5.21 %"
"2020-07-11","   .76 %","   .87 %","   .50 %","  3.13 %"
"2020-07-12","   .71 %","   .72 %","   .46 %","  1.21 %"
"2020-07-13","   .74 %","   .76 %","   .52 %","   .98 %"
"2020-07-14","   .77 %","   .82 %","   .48 %","  2.29 %"
"2020-07-15","   .66 %","   .75 %","   .42 %","  2.43 %"
"2020-07-16","   .63 %","   .70 %","   .37 %","  2.73 %"
"2020-07-17","  1.38 %","   .76 %","   .59 %","  5.25 %"
"2020-07-18","  1.46 %","   .78 %","   .56 %","  6.06 %"
"2020-07-19","  1.42 %","   .71 %","   .67 %","  4.98 %"
"2020-07-20","  1.43 %","   .74 %","   .69 %","  5.55 %"
"2020-07-21","  1.36 %","   .90 %","   .74 %","  5.52 %"
"2020-07-22","   .47 %","   .82 %","   .49 %","  3.75 %"
"2020-07-23","   .63 %","   .87 %","   .54 %","  2.81 %"
"2020-07-24","  1.00 %","  1.09 %","   .76 %","  4.96 %"
"2020-07-25","   .77 %","   .93 %","   .58 %","  3.64 %"
"2020-07-26","   .98 %","   .87 %","   .52 %","  3.54 %"
"2020-07-27","   .97 %","  1.04 %","   .57 %","  3.69 %"
"2020-07-28","   .71 %","   .91 %","   .58 %","  3.44 %"
"2020-07-29","   .38 %","   .84 %","   .24 %","  2.01 %"
"2020-07-30","   .57 %","  1.01 %","   .34 %","  3.12 %"
"2020-07-31","   .47 %","   .95 %","   .37 %","  3.23 %"
"2020-08-01","   .54 %","   .85 %","   .36 %","  2.88 %"
"2020-08-02","   .62 %","   .84 %","   .33 %","  3.33 %"
"2020-08-03","   .67 %","   .76 %","   .35 %","  2.45 %"
"2020-08-04","   .69 %","   .73 %","   .36 %","  1.82 %"
"2020-08-05","   .65 %","   .72 %","   .60 %","  1.68 %"
"2020-08-06","   .58 %","   .72 %","   .55 %","  1.67 %"
"2020-08-07","   .62 %","   .75 %","   .52 %","  1.55 %"
"2020-08-08","   .55 %","   .63 %","   .52 %","  1.20 %"
"2020-08-09","   .54 %","   .60 %","   .54 %","   .94 %"
"2020-08-10","   .50 %","   .56 %","   .24 %","   .91 %"
"2020-08-11","   .52 %","   .51 %","   .28 %","   .83 %"
"2020-08-12","   .45 %","   .50 %","   .27 %","   .97 %"
"2020-08-13","  1.08 %","   .60 %","   .37 %","  1.21 %"
"2020-08-14","  1.50 %","   .67 %","  1.11 %","  1.37 %"
"2020-08-15","  1.54 %","   .67 %","  1.10 %","   .79 %"
"2020-08-16","  1.51 %","   .67 %","  1.06 %","   .87 %"
"2020-08-17","  1.49 %","   .73 %","  1.06 %","   .54 %"
"2020-08-18","   .83 %","   .64 %","   .94 %","   .46 %"
"2020-08-19","   .34 %","   .56 %","   .15 %","   .31 %"
"2020-08-20","   .40 %","   .57 %","   .16 %","   .61 %"
"2020-08-21","   .35 %","   .56 %","   .17 %","   .61 %"
"2020-08-22","   .37 %","   .50 %","   .14 %","   .68 %"
"2020-08-23","   .38 %","   .54 %","   .12 %","   .67 %"
"2020-08-24","   .38 %","   .53 %","   .12 %","   .82 %"
