"date","Nagaland/Dimapur","Nagaland/Kiphire","Nagaland/Kohima","Nagaland/Longleng","Nagaland/Mokokchung","Nagaland/Mon","Nagaland/Others","Nagaland/Peren","Nagaland/Phek","Nagaland/Tuensang","Nagaland/Wokha","Nagaland/Zunheboto"
"2020-06-26","","","","","","","","   .00 %","","","",""
"2020-06-27"," 33.33 %",""," ##.## %","   .00 %",""," ##.## %","","   .00 %","","","",""
"2020-06-28"," ##.## %","","-78.57 %","","","-75.00 %",""," ##.## %","","","",""
"2020-06-29","","","","","",""," ##.## %","-50.00 %","","","",""
"2020-06-30","-95.00 %","","","","   .00 %","","-66.67 %","","","   .00 %","",""
"2020-07-01","   .00 %","","-33.33 %","","","",""," ##.## %"," ##.## %","","",""
"2020-07-02","   .00 %","","-50.00 %","","","","","  3.23 %","","","",""
"2020-07-03","","","","","","   .00 %","","-96.88 %","","","",""
"2020-07-04","","","   .00 %","","","",""," ##.## %","","","",""
"2020-07-05","   .00 %","","-50.00 %","","   .00 %","-66.67 %","","-52.38 %","","-88.24 %","","-50.00 %"
"2020-07-06"," 25.00 %","","","",""," ##.## %","","","","","",""
"2020-07-07","","","   .00 %","","","-50.00 %","","",""," ##.## %","",""
"2020-07-08","-40.00 %","","   .00 %","","   .00 %","-90.00 %","","","","-87.50 %","",""
"2020-07-09","","","","","","",""," 30.00 %","   .00 %","","",""
"2020-07-10"," ##.## %",""," ##.## %","","","",""," 46.15 %","-66.67 %","","   .00 %",""
"2020-07-11","","","-65.00 %","","   .00 %"," ##.## %","","",""," ##.## %","",""
"2020-07-12","   .00 %","","-85.71 %","","","","",""," ##.## %","-40.00 %","",""
"2020-07-13"," ##.## %",""," ##.## %","",""," ##.## %","","","","","",""
"2020-07-14","-95.00 %",""," ##.## %"," ##.## %","   .00 %","","","   .00 %","","","","   .00 %"
"2020-07-15"," ##.## %","","","","","","","","","","",""
"2020-07-16"," ##.## %","","   .00 %","","","","","","","","",""
"2020-07-17"," ##.## %","","","","","","","   .00 %","","","",""
"2020-07-18","-79.49 %",""," 50.00 %","","","",""," ##.## %","","","",""
"2020-07-19","-87.50 %",""," ##.## %","-50.00 %"," ##.## %","","","","","","",""
"2020-07-20"," ##.## %","","-16.67 %","",""," 71.43 %","","","","","",""
"2020-07-21","-62.50 %","","","","","-83.33 %","","-90.91 %","","","",""
"2020-07-22"," ##.## %",""," ##.## %","","   .00 %","   .00 %","","   .00 %","","",""," ##.## %"
"2020-07-23"," 13.04 %",""," ##.## %","","","",""," ##.## %","-75.00 %","","",""
"2020-07-24"," 57.69 %","","-65.57 %","","","","","   .00 %","","   .00 %","",""
"2020-07-25","-53.66 %","","-66.67 %","","   .00 %","   .00 %","","","","","",""
"2020-07-26","-52.63 %",""," ##.## %","   .00 %","","-35.00 %","","","","","",""
"2020-07-27"," 55.56 %","","-17.86 %","","","-38.46 %","","   .00 %","","","   .00 %",""
"2020-07-28","-78.57 %",""," ##.## %","","","-62.50 %","","","   .00 %","   .00 %","   .00 %",""
"2020-07-29"," ##.## %","","-62.75 %","",""," 66.67 %","","   .00 %","","","",""
"2020-07-30"," 10.34 %","","-15.79 %","   .00 %","   .00 %","","","","","","",""
"2020-07-31"," ##.## %",""," 93.75 %","","","","","   .00 %","","","",""
"2020-08-01"," 21.88 %","","-32.26 %","","","","","   .00 %","","","","   .00 %"
"2020-08-02","-47.01 %","","-19.05 %","","","   .00 %","","","   .00 %","","-28.57 %","   .00 %"
"2020-08-03"," ##.## %",""," 29.41 %","","","","","","","",""," ##.## %"
"2020-08-04"," 37.50 %","","","",""," ##.## %","","","","","",""
"2020-08-05","-52.94 %","","","","   .00 %","-94.38 %","","   .00 %","","","",""
"2020-08-06","-34.09 %","","   .00 %","","   .00 %","-##.## %","","","   .00 %","   .00 %","","   .00 %"
"2020-08-07"," 27.59 %","","-88.89 %","","","","","","","","","   .00 %"
"2020-08-08","-86.49 %",""," ##.## %","","   .00 %","","","","","","-40.00 %","   .00 %"
"2020-08-09"," ##.## %",""," 66.67 %","","","   .00 %","","   .00 %","   .00 %","","","-83.33 %"
"2020-08-10"," 67.74 %",""," ##.## %","",""," ##.## %","","-50.00 %","","","   .00 %",""
"2020-08-11","-91.35 %","","-90.38 %","","","","","","","   .00 %","",""
"2020-08-12"," ##.## %",""," ##.## %","","   .00 %","","","","","","   .00 %"," ##.## %"
"2020-08-13","-97.92 %",""," 14.29 %","","","   .00 %","","","","",""," 66.67 %"
"2020-08-14"," ##.## %",""," ##.## %","","   .00 %","-75.00 %","","","   .00 %","","   .00 %"," ##.## %"
"2020-08-15","","","-80.95 %","","   .00 %","","","","","   .00 %","   .00 %",""
"2020-08-16","   .00 %",""," 62.50 %","","   .00 %","","","","","","","-30.00 %"
"2020-08-17"," 61.90 %",""," -7.69 %","","   .00 %","   .00 %","","","   .00 %","","","-71.43 %"
"2020-08-18","-32.35 %",""," 70.83 %","","","   .00 %","","","","","",""
"2020-08-19"," 26.09 %","   .00 %","-82.93 %","","","","","","","","   .00 %",""
"2020-08-20","-48.28 %",""," 28.57 %","","","   .00 %","","","","","","   .00 %"
"2020-08-21","-33.33 %",""," 88.89 %","","","","","   .00 %","","","","   .00 %"
"2020-08-22","","","-29.41 %","   .00 %","","","","",""," ##.## %","   .00 %",""
"2020-08-23","   .00 %",""," ##.## %","","   .00 %"," ##.## %","","","","   .00 %","","-71.43 %"
"2020-08-24","-80.00 %","","-22.58 %","   .00 %","","","","","","","","-50.00 %"
"2020-08-25","",""," 29.17 %","","","-40.00 %","","   .00 %","",""," ##.## %",""
"2020-08-26","   .00 %","","-35.48 %","","   .00 %","","","","","","",""
"2020-08-27","   .00 %","","","","","","","","","   .00 %","",""
"2020-08-28"," 75.00 %","","   .00 %","","","   .00 %","","","","","-50.00 %","   .00 %"
"2020-08-29","",""," ##.## %","","","   .00 %","","","   .00 %","","",""
"2020-08-30","   .00 %",""," 11.36 %",""," ##.## %","","","","","   .00 %","","   .00 %"
"2020-08-31"," ##.## %"," ##.## %","-91.84 %","","","","","","","","",""
"2020-09-01","-35.71 %",""," ##.## %","","","   .00 %","","","","","",""
"2020-09-02","-22.22 %","","-83.87 %","","   .00 %","","","","","   .00 %","   .00 %",""
"2020-09-03"," ##.## %",""," ##.## %","   .00 %","","-92.31 %","","","","","","   .00 %"
"2020-09-04"," -4.17 %","","-29.17 %","","","","","","   .00 %","","   .00 %","   .00 %"
"2020-09-05","-65.22 %","","-52.94 %","","   .00 %"," ##.## %","","","","","",""
"2020-09-06"," ##.## %","","-12.50 %","","","-75.00 %","","","","","",""
"2020-09-07"," ##.## %",""," ##.## %","   .00 %"," ##.## %"," ##.## %","","   .00 %",""," ##.## %","   .00 %",""
