"date","Jammu and Kashmir/Anantnag","Jammu and Kashmir/Bandipora","Jammu and Kashmir/Baramulla","Jammu and Kashmir/Budgam","Jammu and Kashmir/Doda","Jammu and Kashmir/Ganderbal","Jammu and Kashmir/Jammu","Jammu and Kashmir/Kathua","Jammu and Kashmir/Kishtwar","Jammu and Kashmir/Kulgam","Jammu and Kashmir/Kupwara","Jammu and Kashmir/Pulwama","Jammu and Kashmir/Punch","Jammu and Kashmir/Rajouri","Jammu and Kashmir/Ramban","Jammu and Kashmir/Reasi","Jammu and Kashmir/Samba","Jammu and Kashmir/Shopiyan","Jammu and Kashmir/Srinagar","Jammu and Kashmir/Udham Singh Nagar","Jammu and Kashmir/Udhampur","Jammu and Kashmir/Unknown"
"2020-04-18","2","79","","14","","","","","","","","","","","","","","22","","","",""
"2020-04-19","","83","44","","","","","","","6","31","","","4","","","","","79","","",""
"2020-04-20","7","90","","","","","","","","","33","","","","","","","","","","",""
"2020-04-21","","","45","","","","","1","","","","","","","","","","32","","","",""
"2020-04-22","8","96","47","","","","","","","","37","","","","","","","46","","","",""
"2020-04-23","15","98","50","15","","","","","","","41","","","","1","","","55","","","",""
"2020-04-24","","107","52","","","","","","","","45","","","","","","","60","","","",""
"2020-04-25","36","115","55","","","","","","","","46","","","","","","","63","83","","",""
"2020-04-26","48","123","62","14","","","","","","","47","","","","","","","","85","","",""
"2020-04-27","54","126","67","15","","14","26","","","","48","","","","","1","","68","86","","20",""
"2020-04-28","62","","72","","","","26","","","","49","5","","","","","4","71","86","","20",""
"2020-04-29","71","","73","19","","","26","","","7","49","","","","","","","","87","","",""
"2020-04-30","83","","84","20","","","26","","","11","","7","","","","","","72","89","","20",""
"2020-05-01","95","127","85","21","","14","","","","11","55","","","","","","","74","91","","",""
"2020-05-02","99","127","88","","","14","","","","","55","","","","","","6","77","106","","",""
"2020-05-03","109","127","91","26","","","","","","","66","8","","","","","7","81","106","","20",""
"2020-05-04","","129","103","30","","","27","","","","","9","","","","","","83","109","","",""
"2020-05-05","110","131","104","","","","","","","","66","","","","","","","89","113","","21",""
"2020-05-06","121","","","","","15","29","","","12","69","","","","","","","94","124","","",""
"2020-05-07","122","133","105","31","","16","31","","","12","","12","","","","","","98","126","","22",""
"2020-05-08","","133","106","46","","19","","1","","20","69","","","","","","","98","129","","",""
"2020-05-09","","","106","","","23","","2","","21","71","13","","4","","","","100","131","","",""
"2020-05-10","123","","108","","","","32","3","","31","73","","","","","","","103","136","","",""
"2020-05-11","123","133","109","46","","","35","6","","42","73","","","","","","","","136","","",""
"2020-05-12","127","","109","","","","","13","","69","83","","","","","3","11","104","136","","",""
"2020-05-13","145","133","110","53","","","38","17","","72","","","","","1","3","","105","136","","",""
"2020-05-14","145","133","","53","","","","","","","","14","","","4","","","107","141","","23",""
"2020-05-15","145","134","116","53","","","39","21","","","85","15","","5","6","","","107","152","","24",""
"2020-05-16","162","134","118","58","","","39","31","","119","97","","","","18","","11","107","155","","",""
"2020-05-17","177","","","","","","45","32","","147","","16","1","","23","","13","108","156","","25",""
"2020-05-18","236","136","119","59","1","24","47","34","2","159","101","17","3","7","24","","","109","168","","26",""
"2020-05-19","247","","121","","","25","47","36","","166","","18","","8","","","14","","","","28",""
"2020-05-20","252","137","129","","","","67","37","5","171","118","19","4","","27","4","16","109","168","","33",""
"2020-05-21","264","","","63","","27","68","40","6","192","125","19","","","30","","","","173","","",""
"2020-05-22","266","138","132","64","","","","","","193","128","21","5","10","","","20","127","175","","",""
"2020-05-23","272","139","136","","","","72","41","7","198","164","25","6","","44","","","127","178","","",""
"2020-05-24","273","","137","64","","27","78","45","","224","165","25","","13","","","27","128","178","","35",""
"2020-05-25","278","","","","2","","99","49","","227","166","26","8","","45","6","","129","181","","37",""
"2020-05-26","278","143","143","76","","31","109","53","","228","167","28","12","","74","9","29","","188","","39",""
"2020-05-27","282","145","153","78","","","113","56","","255","193","49","23","15","75","12","32","141","208","","50",""
"2020-05-28","289","","169","89","2","","121","59","","255","238","52","24","","","13","","149","219","","51",""
"2020-05-29","295","","177","89","","","128","65","","274","256","65","38","21","","","34","150","246","","52",""
"2020-05-30","314","146","217","99","5","32","130","71","","278","259","70","","27","89","14","41","166","272","","65",""
"2020-05-31","338","","232","110","","","136","74","","295","269","73","","30","91","","42","168","280","","",""
"2020-06-01","350","","238","","26","34","144","79","11","301","280","77","40","33","144","","43","173","290","","67",""
"2020-06-02","350","151","245","118","27","","157","81","11","312","290","91","49","36","153","","44","180","305","","69",""
"2020-06-03","350","160","272","124","","37","167","80","12","313","299","105","59","40","","","48","205","319","","72",""
"2020-06-04","377","175","301","129","30","41","178","83","17","362","318","119","63","46","","17","51","240","344","","97",""
"2020-06-05","383","179","308","138","35","42","190","94","17","364","331","121","65","48","164","18","55","282","366","","123",""
"2020-06-06","386","193","317","142","36","","200","105","","367","331","","68","52","168","20","57","346","369","","129",""
"2020-06-07","445","214","449","160","41","56","222","107","","528","338","181","69","56","","","59","370","456","","130",""
"2020-06-08","459","223","482","200","42","57","234","118","","538","349","188","73","57","168","","63","401","465","","",""
"2020-06-09","463","224","487","209","","58","238","121","21","540","356","189","73","","170","23","","402","478","","131",""
"2020-06-10","470","228","495","211","43","","242","123","21","568","374","190","85","","172","","69","439","488","","150",""
"2020-06-11","483","232","497","214","46","59","253","","","570","375","199","91","58","","23","69","","496","","153",""
"2020-06-12","484","232","504","220","49","59","261","149","22","572","380","203","103","60","193","24","83","477","501","","153",""
"2020-06-13","485","235","512","228","57","61","267","155","","617","387","212","104","65","195","","91","492","513","","155",""
"2020-06-14","490","238","515","239","63","61","273","159","","633","396","245","","66","","","99","537","523","","158",""
"2020-06-15","569","241","521","245","63","63","279","160","23","634","407","252","104","66","199","27","105","557","539","","165",""
"2020-06-16","579","245","525","259","63","63","279","162","23","643","410","259","105","69","199","27","112","558","549","","168",""
"2020-06-17","583","247","532","264","63","64","279","163","","650","419","261","105","72","201","30","113","585","566","","185",""
"2020-06-18","587","250","552","289","63","65","290","175","","653","421","282","107","","201","31","120","595","577","","201",""
"2020-06-19","588","257","561","291","","66","298","182","23","666","428","301","108","73","","31","124","602","613","","203",""
"2020-06-20","591","259","582","311","67","67","309","189","24","675","435","312","108","74","207","32","127","614","641","","209",""
"2020-06-21","606","269","599","326","67","68","","194","25","681","440","313","110","82","208","32","","","673","","212",""
"2020-06-22","608","272","617","346","68","","310","196","25","693","453","323","115","83","","","","636","695","","212",""
"2020-06-23","614","277","633","346","70","73","311","201","","709","460","368","115","","213","35","129","636","723","","214",""
"2020-06-24","622","279","670","347","71","76","318","203","","711","482","387","117","91","","36","133","671","752","","217",""
"2020-06-25","622","282","685","347","72","82","322","206","25","744","491","386","118","94","213","37","134","686","785","","217",""
"2020-06-26","627","283","748","358","","82","322","211","","751","508","409","120","101","213","40","135","704","795","","257",""
"2020-06-27","633","287","800","371","","86","325","211","27","759","517","429","120","104","215","","136","730","844","","259",""
"2020-06-28","635","288","806","393","74","90","333","214","","766","533","440","121","","216","","136","732","875","","269",""
"2020-06-29","650","290","816","397","77","91","336","227","","767","536","469","123","111","217","45","144","750","891","","272",""
"2020-06-30","666","293","860","416","77","92","348","232","27","831","537","484","123","113","222","","145","768","938","","279",""
"2020-07-01","674","293","909","422","80","103","359","232","","831","553","508","","115","","","147","800","971","","280",""
"2020-07-02","692","295","928","434","86","110","363","232","","846","553","518","123","","223","45","152","801","1021","","284",""
"2020-07-03","713","297","949","439","89","118","376","242","29","851","577","518","123","118","226","","158","802","1062","","286",""
"2020-07-04","717","302","1006","466","90","121","388","","","854","584","534","124","122","","45","168","848","1091","","288",""
"2020-07-05","720","306","1023","486","93","119","397","249","","859","604","538","","124","236","","186","849","1151","","290",""
"2020-07-06","721","307","1064","489","","120","403","254","","908","607","572","125","128","239","48","199","861","1216","","291",""
"2020-07-07","729","315","1094","499","106","134","415","260","39","924","625","588","132","148","241","48","201","862","1277","","293",""
"2020-07-08","755","322","1176","504","120","138","417","261","40","928","643","590","","171","243","52","208","866","1396","","298",""
"2020-07-09","764","327","1214","522","123","153","429","265","44","930","676","593","137","189","243","","217","873","1451","","298",""
"2020-07-10","775","335","1251","528","124","160","452","272","","963","709","640","139","240","254","53","218","887","1545","","298",""
"2020-07-11","781","335","1288","532","","161","473","292","45","986","746","645","142","269","","57","224","888","1612","","301",""
"2020-07-12","788","364","1319","561","128","201","488","300","46","1000","771","656","142","275","261","","244","901","1708","","302",""
"2020-07-13","802","384","1325","572","134","201","513","316","50","1021","801","662","146","","270","","268","917","1809","","303",""
"2020-07-14","860","400","1337","586","148","205","524","326","55","1028","805","701","147","285","271","60","269","929","1933","","303",""
"2020-07-15","933","418","1381","628","152","211","539","","58","1076","815","742","148","288","277","","293","930","2086","","304",""
"2020-07-16","939","420","1399","662","154","222","553","328","","1097","818","774","","321","","","301","972","2345","","307",""
"2020-07-17","988","422","1464","708","","251","569","349","68","1113","831","794","152","333","318","63","316","1055","2486","","322",""
"2020-07-18","1032","427","1527","749","158","267","584","352","68","1140","833","842","152","339","318","64","328","1082","2611","","324",""
"2020-07-19","1060","454","1580","770","161","291","624","360","","1147","917","888","","379","318","66","","1103","2901","","331",""
"2020-07-20","1071","463","1623","865","193","301","636","373","90","1147","918","999","153","402","408","78","330","1165","3070","","364",""
"2020-07-21","1097","477","1651","948","200","307","651","386","","1186","965","1042","155","439","419","86","340","1168","3283","","367",""
"2020-07-22","1098","482","1709","950","206","307","665","396","","1248","976","1072","159","486","419","94","344","1184","3450","","375",""
"2020-07-23","1131","524","1738","984","210","309","712","404","92","1354","1008","1128","164","501","439","98","349","1293","3608","","382",""
"2020-07-24","1131","560","1740","984","210","","757","433","96","1437","1008","1132","166","508","463","99","362","1352","3648","","386",""
"2020-07-25","1151","590","1758","1040","228","318","823","460","106","1443","1018","1194","170","524","472","101","364","1363","3793","","388",""
"2020-07-26","1176","631","1772","1128","242","349","860","465","106","1445","1035","1219","184","557","487","103","374","1390","4002","","394",""
"2020-07-27","1229","651","1783","1151","257","351","897","475","129","1468","1041","1257","187","577","502","114","386","1391","4134","","409",""
"2020-07-28","1233","674","1813","1183","259","384","940","494","","1475","1069","1296","192","600","525","119","392","1412","4272","","417",""
"2020-07-29","1258","677","1835","1228","265","387","989","511","134","1491","1069","1363","197","633","533","125","404","1416","4476","","427",""
"2020-07-30","1278","710","1877","1248","269","401","1027","","136","1493","1085","1395","209","646","534","126","407","1422","4658","","436",""
"2020-07-31","1299","732","1901","1277","","411","1070","522","137","1504","1094","1480","210","670","535","146","425","1430","4786","","460",""
"2020-08-01","1311","754","1924","1291","288","421","1122","530","145","1508","1098","1538","218","691","537","156","430","1446","5091","","472",""
"2020-08-02","1339","778","1931","1297","291","434","1187","535","147","1512","1108","1600","234","709","550","163","438","1468","5153","","541",""
"2020-08-03","1374","814","1954","1336","292","490","1259","547","155","1523","1141","1614","234","720","574","170","446","1474","5333","","555",""
"2020-08-04","1411","819","1968","1345","299","518","1300","551","155","1524","1161","1628","248","741","574","198","457","1485","5432","","581",""
"2020-08-05","1417","864","1997","1386","299","560","1361","559","157","1552","1163","1733","251","746","","","462","1492","5590","","593",""
"2020-08-06","1490","913","2041","1438","","603","1412","565","159","1572","1181","1743","252","751","575","198","467","1500","5699","","595",""
"2020-08-07","1498","961","2073","1462","302","630","1473","574","159","1593","1209","1769","253","754","576","214","478","1508","5822","","618",""
"2020-08-08","1521","971","2093","1523","302","654","1513","589","163","1594","1230","1807","265","756","576","214","485","1514","6000","","619",""
"2020-08-09","1553","1021","2137","1533","311","672","1555","594","","1609","1256","1829","275","758","589","226","517","1520","6155","","623",""
"2020-08-10","1569","1100","2178","1568","315","689","1613","602","165","1619","1273","1860","275","763","605","228","522","1534","6263","","625",""
"2020-08-11","1612","1167","2231","1609","317","734","1685","612","170","1642","1306","1897","289","767","611","235","529","1536","6350","","631",""
"2020-08-12","1665","1196","2257","1641","324","773","1727","626","175","1659","1348","1949","305","771","616","242","533","1537","6435","","633",""
"2020-08-13","1680","1250","2303","1677","327","815","1776","636","176","1674","1394","1983","310","774","619","257","541","1545","6577","","634",""
"2020-08-14","1709","1300","2351","1714","331","849","1843","645","180","1688","1459","2016","316","778","623","265","546","1553","6680","","642",""
"2020-08-15","1748","1381","2387","1754","334","894","1907","655","181","1698","1498","2029","321","780","624","270","559","1564","6790","","646",""
"2020-08-16","1772","1425","2429","1787","337","919","1965","663","","1697","1525","2053","328","786","624","277","567","1570","6915","","649",""
"2020-08-17","1815","1475","2438","1828","343","963","2005","674","181","1712","1571","2095","329","788","","288","577","1576","6960","","649",""
"2020-08-18","1857","1534","2475","1834","347","987","2033","677","185","1728","1637","2122","332","790","629","302","589","1579","7026","","662",""
"2020-08-19","1905","1582","2510","1922","350","1051","2074","681","186","1747","1680","2146","333","794","631","336","599","1589","7253","","664",""
"2020-08-20","1946","1695","2535","1974","352","1093","2133","695","","1753","1724","2205","335","801","632","340","608","1617","7412","","680",""
"2020-08-21","1992","1747","2586","2044","363","1110","2196","706","191","1793","1753","2238","337","804","634","342","610","1617","7614","","693",""
"2020-08-22","2040","1793","2606","2089","368","1145","2262","718","191","1812","1780","2278","343","808","","349","616","1622","7821","","705",""
"2020-08-23","2088","1820","2640","2129","370","1181","2322","730","","1839","1814","2315","352","820","636","356","631","1625","8075","","712",""
"2020-08-24","2102","1885","2649","2157","374","1207","2387","744","196","1850","1839","2329","364","832","642","358","646","1631","8151","","731",""
"2020-08-25","2146","1951","2678","2207","377","1238","2463","755","197","1868","1894","2386","376","841","648","360","659","1637","8357","","737",""
"2020-08-26","2193","1973","2694","2271","384","1279","2561","782","206","1877","1943","2442","383","858","651","360","671","1646","8553","","752",""
"2020-08-27","2220","2024","2727","2331","394","1304","2648","807","209","1885","1989","2484","388","865","","362","682","1669","8735","","760",""
"2020-08-28","2254","2055","2766","2390","400","1343","2769","822","216","1895","2014","2543","398","880","635","364","706","1678","8924","","778",""
"2020-08-29","2276","2104","2784","2427","410","1371","2903","841","216","1907","2045","2565","409","889","636","368","714","1690","9025","","796",""
"2020-08-30","2314","2141","2810","2479","415","1415","3149","871","242","1918","2075","2590","413","888","653","389","706","1698","9186","","810",""
"2020-08-31","2332","2179","2826","2507","424","1433","3288","904","250","1925","2094","2643","416","901","654","395","712","1704","9273","","837",""
"2020-09-01","2358","2207","2840","2524","437","1467","3409","932","262","1934","2117","2684","436","920","654","407","724","1701","9368","","841",""
"2020-09-02","2389","2234","2862","2580","445","1521","3576","951","269","1944","2135","2700","450","934","661","423","738","1703","9499","","849",""
"2020-09-03","2416","2283","2876","2644","459","1578","4060","972","291","1961","2166","2733","458","949","667","433","764","1731","9636","","865",""
"2020-09-04","2464","2317","2937","2722","466","1609","4382","1012","319","1982","2235","2767","469","967","673","437","777","1735","9810","","909",""
"2020-09-05","2499","2329","2988","2797","493","1671","4902","1039","335","1986","2289","2807","480","989","692","439","800","1739","9985","","981",""
"2020-09-06","2560","2364","3048","2867","529","1753","5353","1070","354","1997","2382","2856","506","1031","702","447","828","1746","10165","","998",""
"2020-09-07","2600","2394","3079","2923","542","1782","5795","1091","355","2000","2421","2896","547","1043","703","462","850","1756","10300","","1030",""
"2020-09-08","2644","2426","3114","3017","577","1829","6278","1122","390","2010","2474","2927","590","1098","710","479","870","1772","10508","","1089",""
"2020-09-09","2713","2501","3199","3088","608","1867","6861","1158","399","2026","2524","2967","601","1169","728","507","900","1795","10764","","1166",""
"2020-09-10","2762","2557","3274","3278","639","1933","7282","1205","445","2041","2609","3035","679","1217","736","535","935","1797","10980","","1194",""
"2020-09-11","2803","2627","3317","3457","665","1980","7697","1243","487","2059","2676","3069","728","1281","763","537","979","1805","11243","","1295",""
"2020-09-12","2848","2709","3399","3580","732","2025","7947","1285","565","2069","2784","3119","821","1364","794","570","1037","1865","11498","","1398",""
"2020-09-13","2895","2837","3479","3741","826","2103","8352","1333","610","2091","2846","3164","900","1434","825","588","1066","1873","11678","","1454",""
"2020-09-14","2919","2882","3495","3819","939","2146","8744","1360","636","2093","2863","3204","957","1521","839","617","1104","1881","11797","","1508",""
"2020-09-15","2976","2920","3517","3947","1053","2205","8998","1422","681","2108","2906","3274","995","1626","865","632","1135","1892","11942","","1559",""
"2020-09-16","3013","2962","3609","4066","1167","2291","9219","1502","713","2121","2980","3344","1087","1773","904","656","1174","1892","12167","","1603",""
"2020-09-17","3091","3017","3662","4155","1264","2366","9429","1577","757","2135","3027","3372","1162","1861","922","683","1243","1902","12400","","1685",""
"2020-09-18","3151","3082","3726","4217","1350","2410","9650","1619","792","2154","3079","3413","1239","1923","969","701","1296","1916","12637","","1716",""
"2020-09-19","3203","3119","3758","4286","1535","2503","9911","1673","830","2165","3178","3484","1296","2010","1012","726","1358","1921","12829","","1735",""
"2020-09-20","3252","3154","3844","4364","1686","2560","10177","1719","874","2184","3207","3534","1356","2086","1077","740","1391","1930","13057","","1797",""
"2020-09-21","3288","3176","3923","4424","1745","2616","10422","1753","881","2188","3221","3588","1380","2152","1092","766","1448","1936","13199","","1827",""
"2020-09-22","3316","3212","3953","4483","1843","2637","10675","1794","918","2200","3243","3650","1453","2220","1127","781","1500","1955","13409","","1891",""
"2020-09-23","3356","3253","4033","4545","1904","2711","10905","1818","958","2213","3304","3675","1511","2308","1171","795","1539","1963","13608","","1939",""
"2020-09-24","3380","3273","4105","4595","1958","2740","11147","1854","997","2224","3346","3708","1555","2357","1209","831","1576","1970","13800","","1988",""
"2020-09-25","3416","3299","4169","4656","2019","2793","11387","1893","1052","2229","3377","3759","1606","2401","1257","845","1606","1995","14024","","2048",""
"2020-09-26","3444","3318","4215","4703","2107","2819","11688","1934","1105","2244","3450","3817","1670","2464","1273","877","1627","2000","14204","","2089",""
"2020-09-27","3474","3351","4249","4764","2148","2831","12012","1985","1149","2252","3495","3852","1716","2513","1294","916","1665","2013","14385","","2125",""
"2020-09-28","3492","3362","4273","4791","2159","2844","12349","2022","1160","2253","3539","3885","1726","2565","1295","930","1694","2021","14490","","2163",""
"2020-09-29","3503","3384","4335","4820","2193","2868","12662","2051","1206","2260","3575","3909","1747","2626","1323","945","1738","2025","14712","","2212",""
"2020-09-30","3519","3399","4388","4871","2211","2891","13015","2063","1241","2266","3613","3942","1774","2653","1335","964","1762","2027","14882","","2253",""
"2020-10-01","3535","3433","4427","4925","2233","2918","13505","2079","1290","2279","3640","3967","1788","2692","1357","","1782","2029","15046","","2273",""
"2020-10-02","3567","3491","4491","4980","2260","2946","13859","2100","1315","2285","3665","3996","1810","2725","1382","1010","1802","2039","15226","","2303",""
"2020-10-03","3595","3513","4523","5023","2271","2957","14262","2119","1324","2290","3717","4035","1842","2754","1388","1023","1832","2041","15376","","2342",""
"2020-10-04","3624","3567","4575","5075","2285","2990","14514","2140","1373","2297","3729","4052","1859","2789","1396","1034","1854","2050","15533","","2369",""
"2020-10-05","3644","3582","4603","5114","2311","3009","14687","2147","1404","2301","3752","4067","1884","2824","1398","1038","1864","2054","15652","","2402",""
"2020-10-06","3666","3612","4640","5160","2337","3029","14778","2165","1435","2305","3794","4122","1896","2851","1412","1066","1893","2063","15835","","2416",""
"2020-10-07","3686","3627","4690","5211","2361","3051","14861","2175","1456","2310","3812","4147","1910","2887","1422","1096","1915","2075","15978","","2426",""
"2020-10-08","3707","3645","4761","5263","2371","3075","14950","2218","1471","2317","3827","4169","1957","2921","1430","1098","1926","2079","16164","","2443",""
"2020-10-09","3734","3662","4811","5300","2378","3100","15051","2240","1486","2324","3841","4192","1967","2952","1438","1115","1952","2085","16331","","2469",""
"2020-10-10","3756","3673","4847","5350","2383","3135","15160","2255","1515","2329","3885","4212","1981","2981","1440","1120","1967","2089","16504","","2481",""
"2020-10-11","3791","3685","4889","5399","2387","3155","15268","2266","1520","2339","3905","4235","2005","2987","1452","1134","1978","2094","16650","","2493",""
"2020-10-12","3801","3695","4910","5437","2388","3168","15381","2273","1520","2340","3926","4247","2017","2994","1453","","1989","2101","16756","","2500",""
"2020-10-13","3815","3719","4963","5472","2411","3190","15502","2280","1560","2349","3944","4290","2029","3035","1462","1157","2010","2102","16901","","2516",""
"2020-10-14","3843","3751","5033","5515","2422","3225","15630","2289","1588","2357","3967","4316","2047","3057","1471","1162","2023","2111","17064","","2537",""
"2020-10-15","3860","3773","5065","5554","2443","3254","15750","2304","1629","2361","3986","4351","2070","3074","1477","1166","2034","2112","17246","","2547",""
"2020-10-16","3905","3794","5105","5582","2473","3277","15871","2318","1660","2382","4019","4370","2114","3095","1485","1186","2053","2112","17401","","2551",""
"2020-10-17","3924","3830","5163","5614","2490","3301","15987","2326","1698","2388","4044","4398","2125","3111","1504","1190","2061","2118","17530","","2561",""
"2020-10-18","3973","3845","5215","5647","2502","3315","16106","2328","1720","2395","4076","4414","2139","3120","1510","1193","2067","2118","17697","","",""
"2020-10-19","3999","3864","5253","5663","2502","3319","16222","2333","1727","2397","4094","4433","2148","3122","1514","1196","2079","2122","17809","","2572",""
"2020-10-20","4038","3896","5285","5697","2527","3341","16340","2342","1752","2409","4098","4463","2161","3132","1525","1209","2086","2130","17944","","2582",""
"2020-10-21","4059","3911","5348","5726","2542","3359","16452","2348","1790","2425","4135","4477","2170","3146","1533","1209","2098","2137","18120","","2596",""
"2020-10-22","4086","3920","5452","5745","2557","3386","16555","2360","1812","2432","4175","4507","2175","3149","1536","1213","2111","2139","18247","","2608",""
"2020-10-23","4135","3932","5492","5786","2571","3408","16676","2368","1824","2443","4205","4527","2184","3159","1544","1218","2118","2140","18401","","2620",""
"2020-10-24","4162","3956","5539","5836","2604","3420","16792","2376","1837","2454","4250","4539","2193","3166","1551","1223","2125","2146","18531","","2628",""
"2020-10-25","4176","3975","5619","5862","2609","3427","16905","2382","1849","2459","4286","4558","2209","3172","1556","1224","2133","2171","18655","","2633",""
"2020-10-26","4183","3980","5675","5877","2615","3440","17013","2387","","2460","4311","4573","2219","3172","1563","1229","2135","2177","18729","","2637",""
"2020-10-27","4189","3993","5722","5899","2624","3458","17122","2396","1866","2460","4320","4597","2226","3179","1567","1247","2143","2178","18847","","2643",""
"2020-10-28","4202","4005","5795","5926","2628","3484","17240","2410","1884","2466","4350","4609","2231","3182","1575","1258","2155","2186","18977","","2649",""
"2020-10-29","4212","4016","5880","5948","2640","3505","17349","2425","1890","2479","4394","4628","2239","3185","1583","1266","2162","2188","19104","","2670",""
"2020-10-30","4224","4030","5946","5974","2654","3533","17458","2439","1909","2482","4419","4648","2247","3190","1590","1273","2168","2200","19245","","2700",""
"2020-10-31","4234","4039","6006","5995","2655","3549","17568","2447","1915","2485","4460","4656","2253","3197","1596","1277","2174","2202","19369","","2707",""
"2020-11-01","4247","4046","6093","6021","2661","3572","17676","2453","1924","2491","4480","4685","2258","3201","1601","1281","2176","2207","19522","","2729",""
"2020-11-02","4255","4058","6162","6038","2663","3586","17784","2457","1926","2492","4512","4700","2261","3204","1608","1281","2179","2220","19592","","2731",""
"2020-11-03","4266","4074","6228","6070","2670","3607","17890","2468","1949","2495","4518","4714","2267","3214","1611","1289","2187","2223","19703","","2744",""
"2020-11-04","4268","4092","6295","6105","2680","3623","17988","2479","1967","2499","4550","4724","2270","3223","1627","1293","2193","2230","19838","","2755",""
"2020-11-05","4274","4101","6333","6162","2690","3646","18087","2489","1986","2504","4576","4732","2275","3232","1638","1302","2197","2245","19990","","2764",""
"2020-11-06","4286","4110","6407","6175","2701","3666","18179","2498","2006","2506","4613","4745","2283","3244","1661","1323","2207","2249","20159","","2786",""
"2020-11-07","4293","4119","6451","6218","2704","3690","18275","2503","2024","2509","4657","4760","2290","3259","1680","1327","2210","2252","20291","","2824",""
"2020-11-08","4310","4143","6493","6258","2720","3736","18370","2518","2037","2521","4670","4779","2311","3266","1687","1333","2223","2259","20413","","2844",""
"2020-11-09","4327","4156","6526","6276","2730","3767","18469","2525","2047","2528","4688","4784","2312","3269","1689","1333","2225","2263","20574","","2863",""
"2020-11-10","4345","4166","6554","6314","2742","3803","18562","2539","2075","2529","4702","4793","2317","3274","1697","1339","2236","2264","20705","","2887",""
"2020-11-11","4359","4174","6594","6345","2755","3847","18656","2551","2094","2533","4734","4804","2320","3282","1702","1343","2239","2266","20845","","2907",""
"2020-11-12","4393","4203","6656","6388","2770","3869","18749","2567","2116","2539","4756","4822","2328","3291","1715","1350","2247","2268","20998","","2942",""
"2020-11-13","4406","4215","6814","6409","2780","3896","18844","2578","2136","2543","4779","4832","2335","3301","1727","1357","2254","2273","21154","","2960",""
"2020-11-14","4417","4223","6859","6428","2806","3921","18935","2598","2161","2546","4808","4840","2343","3316","1741","1367","2263","2279","21306","","3001",""
"2020-11-15","4431","4234","6910","6457","2813","3941","19029","2610","2184","2549","4810","4858","2349","3319","1761","1372","2274","2282","21426","","3009",""
"2020-11-16","4435","4245","6968","6477","2816","3954","19126","2615","2189","2552","4821","4866","2350","3321","1769","1374","2284","2282","21538","","3026",""
"2020-11-17","4441","4255","7003","6502","2831","3984","19221","2627","2202","2556","4927","4883","2353","3327","1770","1382","2294","2283","21685","","3054",""
