"date","Wyoming/Albany","Wyoming/Big Horn","Wyoming/Campbell","Wyoming/Carbon","Wyoming/Converse","Wyoming/Crook","Wyoming/Fremont","Wyoming/Goshen","Wyoming/Hot Springs","Wyoming/Johnson","Wyoming/Laramie","Wyoming/Lincoln","Wyoming/Natrona","Wyoming/Niobrara","Wyoming/Park","Wyoming/Platte","Wyoming/Sheridan","Wyoming/Sublette","Wyoming/Sweetwater","Wyoming/Teton","Wyoming/Uinta","Wyoming/Unassigned","Wyoming/Washakie","Wyoming/Weston","Wyoming/unassigned"
"2020-04-29","0","1","0","0","1","0","1","0","0","0","5","0","0","0","0","0","0","0","1","0","0","0","0","",""
"2020-04-30","0","0","1","0","0","0","6","0","0","0","6","0","0","0","0","0","0","0","1","0","0","0","0","",""
"2020-05-01","0","0","0","1","0","0","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","",""
"2020-05-02","0","0","0","0","1","0","8","0","0","0","4","0","-1","0","0","0","0","0","0","1","0","0","0","",""
"2020-05-03","0","0","0","0","0","0","3","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","",""
"2020-05-04","0","0","0","0","0","0","6","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","",""
"2020-05-05","0","0","0","0","0","0","3","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","",""
"2020-05-06","0","0","1","0","0","0","24","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","",""
"2020-05-07","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"2020-05-08","0","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","",""
"2020-05-09","0","0","4","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"2020-05-10","0","0","0","0","0","0","7","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",""
"2020-05-11","0","0","0","0","0","0","4","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","",""
"2020-05-12","0","0","1","0","0","0","2","0","0","0","4","0","-1","0","0","0","0","0","0","0","0","0","0","",""
"2020-05-13","0","0","-1","0","0","0","9","0","0","0","3","0","1","0","0","0","0","0","0","1","0","0","0","",""
"2020-05-14","0","0","0","2","0","0","6","0","0","0","0","3","1","0","0","0","0","0","1","0","0","0","0","",""
"2020-05-15","0","0","0","1","0","0","6","0","0","0","5","0","1","0","0","0","0","0","1","0","0","0","1","",""
"2020-05-16","1","0","0","6","0","0","6","0","3","0","3","0","3","0","0","0","0","0","1","1","1","0","0","",""
"2020-05-17","0","0","0","0","0","0","3","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","7","",""
"2020-05-18","1","0","0","0","0","0","1","0","1","1","0","0","6","0","0","0","0","0","0","0","2","0","0","",""
"2020-05-19","0","0","0","1","1","0","4","0","0","0","2","0","2","0","0","0","0","0","1","0","-1","0","0","",""
"2020-05-20","0","0","1","1","0","0","5","0","1","0","-1","0","2","0","1","0","0","0","1","0","0","0","0","",""
"2020-05-21","0","0","0","0","0","0","4","0","1","0","0","1","1","0","0","1","0","0","0","0","2","0","4","",""
"2020-05-22","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","",""
"2020-05-23","4","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","1","",""
"2020-05-24","3","1","0","0","0","0","4","0","1","2","0","0","3","0","0","0","0","0","0","0","0","0","11","",""
"2020-05-25","3","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","-1","",""
"2020-05-26","3","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","",""
"2020-05-27","0","0","0","0","0","0","5","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1",""
"2020-05-28","1","0","0","0","0","0","6","0","0","0","3","0","3","0","0","0","0","0","1","0","0","0","2","0",""
"2020-05-29","1","0","1","0","0","0","12","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"2020-05-30","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0",""
"2020-05-31","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","-1","0",""
"2020-06-01","0","0","0","0","0","0","4","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0",""
"2020-06-02","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"2020-06-03","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"2020-06-04","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0",""
"2020-06-05","1","0","0","0","0","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","6","0","0","0",""
"2020-06-06","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"2020-06-07","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","4","0","0","0",""
"2020-06-08","0","0","3","0","0","0","2","0","0","0","0","0","5","0","0","0","0","0","1","0","2","0","0","0",""
"2020-06-09","0","1","0","0","0","0","-2","0","0","0","0","0","0","0","0","0","0","0","1","0","10","0","0","0",""
"2020-06-10","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","4","0","0","0",""
"2020-06-11","0","1","2","4","0","0","6","0","0","0","0","0","0","0","0","0","0","0","1","1","14","0","0","0",""
"2020-06-12","-1","0","1","0","0","0","1","0","0","0","3","0","0","0","1","0","0","0","2","2","9","0","0","0",""
"2020-06-13","1","1","1","2","0","0","1","0","0","0","4","0","0","0","2","0","0","0","2","0","9","0","0","0",""
"2020-06-14","0","0","3","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0",""
"2020-06-15","1","0","1","-2","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","15","0","0","0",""
"2020-06-16","1","0","1","0","0","0","2","0","0","0","0","0","1","0","2","0","0","0","0","0","3","0","0","0",""
"2020-06-17","0","0","0","-1","0","0","5","0","0","1","1","0","0","0","1","0","0","0","3","2","13","0","0","0",""
"2020-06-18","0","0","0","1","0","0","4","0","0","0","6","0","2","0","2","0","0","1","1","1","12","0","0","0",""
"2020-06-19","0","0","0","0","0","0","7","0","0","0","1","0","5","0","-1","0","0","0","4","1","12","0","0","0",""
"2020-06-20","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","1","0","2","0","0","0",""
"2020-06-21","0","0","1","0","0","0","2","0","0","0","0","1","1","0","0","0","0","0","4","1","8","0","0","0",""
"2020-06-22","1","0","0","0","1","0","6","0","0","0","7","-1","2","0","1","1","0","1","3","1","10","0","0","0",""
"2020-06-23","0","0","3","0","0","1","4","0","0","0","4","0","0","0","4","0","0","0","2","2","4","0","0","0",""
"2020-06-24","2","0","4","0","0","0","1","0","0","0","4","0","4","0","1","0","0","0","7","0","5","0","0","0",""
"2020-06-25","0","0","1","0","0","0","5","0","0","0","6","1","5","0","5","0","3","0","8","5","5","0","0","0",""
"2020-06-26","1","1","0","0","0","0","4","0","0","1","15","1","2","0","3","0","2","0","7","1","4","0","0","0",""
"2020-06-27","0","0","0","0","1","0","3","0","0","0","6","0","5","0","6","0","0","1","1","0","1","0","0","0",""
"2020-06-28","0","0","0","0","0","0","3","0","0","0","4","0","4","0","6","0","2","0","1","4","1","0","0","0",""
"2020-06-29","2","2","0","0","0","0","1","0","0","0","6","1","2","0","3","0","0","0","4","5","6","0","0","1",""
"2020-06-30","0","6","1","1","0","0","-1","0","0","0","5","5","1","0","10","1","1","0","4","1","2","0","0","0",""
"2020-07-01","0","0","0","0","0","0","3","0","0","0","9","1","5","0","6","1","0","0","-1","2","1","0","0","0",""
"2020-07-02","0","0","1","0","0","0","3","0","0","0","12","3","5","0","1","0","0","0","3","5","3","0","0","0",""
"2020-07-03","1","1","1","1","0","0","1","1","0","0","4","6","3","0","4","0","0","0","8","-1","2","0","0","0",""
"2020-07-04","1","2","5","2","0","0","4","1","0","0","1","1","2","0","0","0","0","0","2","2","1","0","0","0",""
"2020-07-05","1","0","7","0","0","0","4","1","0","0","1","1","4","0","1","0","0","0","4","3","1","0","0","0",""
"2020-07-06","1","0","4","0","1","0","0","0","0","0","4","1","9","0","4","0","0","0","7","5","6","0","0","-1",""
"2020-07-07","5","1","1","1","0","0","0","0","0","0","6","1","4","0","4","0","0","0","9","1","0","0","1","0",""
"2020-07-08","2","1","0","2","0","0","3","1","0","0","4","0","2","0","6","0","0","0","2","3","2","0","3","0",""
"2020-07-09","0","1","0","0","0","0","6","0","0","0","5","2","3","0","4","0","0","0","2","0","6","0","0","0",""
"2020-07-10","0","3","7","0","0","0","-1","0","0","0","3","2","0","0","1","0","2","0","2","1","2","0","-1","0",""
"2020-07-11","4","1","3","0","1","0","6","0","0","1","13","0","1","0","3","0","0","1","8","5","1","0","1","0",""
"2020-07-12","0","0","3","0","0","0","2","0","0","0","6","0","6","0","1","0","0","0","2","2","1","0","0","0",""
"2020-07-13","0","0","0","0","0","0","1","1","0","0","9","0","2","0","-1","0","4","3","12","5","3","0","0","2",""
"2020-07-14","3","0","1","0","0","1","10","0","0","1","14","2","4","0","0","0","0","0","6","2","3","0","0","0",""
"2020-07-15","1","0","4","0","0","0","10","0","0","0","5","0","1","0","4","0","3","0","1","6","0","0","0","0",""
"2020-07-16","1","1","0","2","0","1","6","0","0","0","2","2","1","0","1","0","2","1","1","11","9","0","0","0",""
"2020-07-17","1","0","0","0","1","0","4","1","1","0","8","7","1","0","0","0","1","6","4","6","2","0","0","0",""
"2020-07-18","3","0","0","2","0","0","4","0","0","0","5","3","0","0","0","0","0","0","9","10","2","0","0","1",""
"2020-07-19","1","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","2","11","0","0","1","0",""
"2020-07-20","8","0","3","2","0","0","5","0","0","0","10","5","3","0","0","0","1","0","8","15","1","0","0","0",""
"2020-07-21","6","1","1","7","1","0","5","0","0","0","5","4","3","0","0","0","0","1","13","3","1","0","0","0",""
"2020-07-22","2","1","-1","7","0","0","7","0","0","0","4","6","1","0","5","1","0","0","7","8","1","0","1","0",""
"2020-07-23","-1","0","5","10","0","0","2","0","2","0","8","2","2","0","1","0","0","0","5","20","3","0","0","0",""
"2020-07-24","2","0","2","1","0","0","4","0","0","0","9","9","3","0","2","0","0","7","4","10","5","0","0","0",""
"2020-07-25","2","0","4","1","0","0","4","0","0","0","3","4","5","0","1","0","0","1","4","11","0","1","0","0",""
"2020-07-26","0","0","0","4","0","0","5","0","0","0","3","3","3","0","1","0","1","4","1","4","1","-1","0","0",""
"2020-07-27","-1","0","1","3","0","0","2","0","1","0","7","1","5","0","2","0","2","0","6","13","2","0","0","1",""
"2020-07-28","1","0","3","1","0","0","3","1","0","0","10","-1","9","0","6","0","1","1","7","19","8","0","0","0",""
"2020-07-29","2","2","2","1","0","0","1","2","0","0","10","1","1","0","1","0","1","0","6","7","2","0","0","0",""
"2020-07-30","3","0","2","1","0","0","5","0","1","0","7","1","4","0","3","0","11","1","3","13","2","0","1","0",""
"2020-07-31","1","0","0","4","0","0","4","0","0","0","7","-1","1","0","4","0","2","2","3","4","7","0","2","0",""
"2020-08-01","1","0","1","3","0","0","5","0","0","0","6","0","0","0","2","0","2","2","2","13","5","0","1","0",""
"2020-08-02","2","1","2","0","1","0","2","1","0","0","11","3","1","0","0","0","0","1","5","6","3","0","0","0",""
"2020-08-03","1","0","0","4","0","0","13","4","0","0","6","0","1","0","0","0","1","0","3","4","3","0","0","0",""
"2020-08-04","0","0","0","2","1","1","3","1","0","0","5","1","7","0","0","0","1","2","1","4","2","0","5","0",""
"2020-08-05","0","0","0","4","0","0","5","2","1","0","5","4","2","0","7","0","2","0","1","1","1","0","4","0",""
"2020-08-06","0","0","0","0","0","0","2","1","0","1","3","4","2","0","4","0","4","-1","1","4","4","0","1","0",""
"2020-08-07","0","0","4","7","0","0","4","3","0","0","4","-1","1","0","4","0","1","0","4","4","2","0","10","0",""
"2020-08-08","0","0","1","4","0","0","1","0","4","0","2","0","0","0","0","0","3","0","0","-1","0","0","1","0",""
"2020-08-09","0","1","0","0","0","0","1","2","-1","0","4","3","2","0","2","0","2","2","2","4","4","0","7","0",""
"2020-08-10","-2","0","1","1","-1","0","-7","6","1","0","-7","0","4","0","1","0","-1","-1","1","-4","-1","0","0","1",""
"2020-08-11","2","0","5","3","0","0","0","0","0","1","5","0","3","0","0","0","0","0","7","2","2","0","2","-1",""
"2020-08-12","1","0","3","2","0","0","3","0","0","0","4","-3","0","0","0","0","0","1","-1","1","-1","0","3","0",""
"2020-08-13","1","0","7","0","1","0","0","2","0","1","5","1","2","0","4","1","1","0","1","2","0","0","4","0",""
"2020-08-14","2","0","7","1","-1","1","15","1","0","0","3","0","5","0","5","0","4","0","4","8","-1","0","10","0",""
"2020-08-15","1","0","2","23","0","0","5","0","0","0","0","0","2","0","0","0","3","0","4","2","-1","0","1","2",""
"2020-08-16","2","0","0","38","0","0","3","2","0","0","5","1","1","0","0","0","2","0","1","4","0","0","0","0",""
"2020-08-17","8","2","0","2","2","0","10","0","0","0","6","2","0","0","2","0","3","0","2","1","1","0","3","1",""
"2020-08-18","1","0","2","2","0","0","2","0","0","1","5","0","1","0","2","1","5","0","1","3","1","0","2","0",""
"2020-08-19","1","-1","2","9","1","2","16","1","0","0","5","0","2","0","4","0","10","1","6","1","5","0","2","4",""
"2020-08-20","2","1","3","0","0","0","9","0","0","0","1","3","5","0","1","0","7","0","0","4","0","0","2","-12",""
"2020-08-21","19","-1","1","2","1","0","8","0","3","0","4","0","5","0","3","0","4","3","3","1","0","0","0","11",""
"2020-08-22","-1","0","5","1","0","0","1","0","0","1","1","0","3","0","0","0","1","2","2","2","0","0","1","0",""
"2020-08-23","2","0","1","1","1","0","3","4","1","0","2","0","3","0","2","0","4","2","0","8","0","0","1","0",""
"2020-08-24","0","1","2","1","0","1","2","2","1","0","4","1","6","0","0","0","4","0","0","0","0","0","0","0",""
