"date","Madhya Pradesh/Agar Malwa","Madhya Pradesh/Alirajpur","Madhya Pradesh/Anuppur","Madhya Pradesh/Ashoknagar","Madhya Pradesh/Balaghat","Madhya Pradesh/Barwani","Madhya Pradesh/Betul","Madhya Pradesh/Bhind","Madhya Pradesh/Bhopal","Madhya Pradesh/Burhanpur","Madhya Pradesh/Chhatarpur","Madhya Pradesh/Chhindwara","Madhya Pradesh/Damoh","Madhya Pradesh/Datia","Madhya Pradesh/Dewas","Madhya Pradesh/Dhar","Madhya Pradesh/Dindori","Madhya Pradesh/Guna","Madhya Pradesh/Gwalior","Madhya Pradesh/Harda","Madhya Pradesh/Hoshangabad","Madhya Pradesh/Indore","Madhya Pradesh/Jabalpur","Madhya Pradesh/Jhabua","Madhya Pradesh/Katni","Madhya Pradesh/Khandwa","Madhya Pradesh/Khargone","Madhya Pradesh/Mandi","Madhya Pradesh/Mandla","Madhya Pradesh/Mandsaur","Madhya Pradesh/Morena","Madhya Pradesh/Narsinghpur","Madhya Pradesh/Neemuch","Madhya Pradesh/Niwari","Madhya Pradesh/Other Region","Madhya Pradesh/Panna","Madhya Pradesh/Raisen","Madhya Pradesh/Rajgarh","Madhya Pradesh/Ratlam","Madhya Pradesh/Rewa","Madhya Pradesh/Sagar","Madhya Pradesh/Satna","Madhya Pradesh/Sehore","Madhya Pradesh/Seoni","Madhya Pradesh/Shahdol","Madhya Pradesh/Shajapur","Madhya Pradesh/Sheopur","Madhya Pradesh/Shivpuri","Madhya Pradesh/Sidhi","Madhya Pradesh/Singrauli","Madhya Pradesh/Tikamgarh","Madhya Pradesh/Ujjain","Madhya Pradesh/Umaria","Madhya Pradesh/Vidisha","Madhya Pradesh/bhind","Madhya Pradesh/bhopal","Madhya Pradesh/dewas","Madhya Pradesh/dhar","Madhya Pradesh/khargone","Madhya Pradesh/sheopur","Madhya Pradesh/ujjain","Madhya Pradesh/vidisha"
"2020-05-04","","","","","","","","","6","3","","","","","","","","","","","1","21","","","","","1","","","","","","","","","","3","","","","","","","","","","","","","","","19","","","","","","","","","",""
"2020-05-05","","","","","","","","","7","","","","","","","","","","","","","23","2","","","5","1","","","","","","","","","","3","","","","","1","","","","","","","","","","24","","","","","","","","","",""
"2020-05-06","","","","","","","","","11","4","","","","","1","","","","","","1","25","2","","","6","1","","","3","","","","","","","3","","","","","","","","","1","","","","","","","","","","","","","","","",""
"2020-05-07","","","","","","","","","13","","","","","","1","","","","","","","27","3","","","","2","","","3","","","","","","","3","","","","","","","","","","","","","","","26","","","","","","","","","",""
"2020-05-08","","","","","","","","","15","4","","","","","1","","","","","","1","30","4","","","6","","","","3","","","","","","","3","","","","","","","","","","","","","","","27","","","","","","","","","",""
"2020-05-09","","","","","","","","","20","5","","","","","1","","","","","","1","31","4","","","6","2","","","","","","","","","","","","","","1","1","1","","","","","","","","","29","","","","","","","","","",""
"2020-05-10","","","","","","","","","21","5","","","","","1","1","","","","","1","33","4","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","29","","","","","","","","","",""
"2020-05-11","","","","1","","","","","24","5","","","","","1","1","","","","","1","34","6","","","6","2","","","3","","","","","","","3","","","","1","1","1","","","","","","","","","29","","","","","","","","","",""
"2020-05-12","","","","","","","","","25","6","","","","","1","1","","","","","1","36","6","","","6","2","","","3","","","","","","","3","","","","","1","","","","","","","","","","29","","","","","","","","","",""
"2020-05-13","","","","","","","","","26","6","","","","","1","1","","","1","","1","39","7","","","7","2","","","3","","","","","","","3","","","","","1","1","","","","","","","","","29","","","","","","","","","",""
"2020-05-14","","","","","","","","","26","9","","","","","1","1","","","","","1","40","7","","","7","2","","","3","","","1","","","","3","","","","1","","","","","","","","","","","29","","","","","","","","","",""
"2020-05-15","","","","","","","","","26","9","","","","","1","1","","","1","","","42","7","","","","2","","","3","","","1","","","","3","","","","1","1","1","","","1","","","","","","29","","","","","","","","","",""
"2020-05-16","","","","","","","","","26","9","","","","","1","","","","1","","","43","7","","","7","2","","","4","","","1","","","","","","","","1","","","","","","","","","","","31","","","","","","","","","",""
"2020-05-17","","","","","","","","","29","10","","","","","1","1","","","1","","1","44","7","","","","2","","","4","","","1","","","","","","","","1","","","","","","","","","","","31","","","","","","","","","",""
"2020-05-18","","","","1","","","","","30","11","","","","","1","1","","","1","","","45","7","","","7","","","","","","","1","","","","","","","","1","","","","","","","","","","","32","","","","","","","","","",""
"2020-05-19","","","","","","","","","30","11","","","","","2","1","","","1","","","47","8","1","","8","2","","","4","","","","","","","3","","","","1","1","","","","","","","","","","32","","","","","","","","","",""
"2020-05-20","","","","1","","","","","31","","","","","","2","1","","","1","","","49","8","","","9","2","","","5","","","","","","","3","","","1","2","1","","","","","","","","","","34","","","","","","","","","",""
"2020-05-21","","","","1","","","","","31","11","","","","","2","","","","1","","","51","8","","","9","","","","5","","","2","","","","","","","1","2","","","","","1","","","","","","35","","","","","","","","","",""
"2020-05-22","","","","","","","","","31","11","","","","","2","1","","","1","","","53","8","","","9","","","","5","","","2","","","","","","","0","2","1","","","","","","","","","","35","","","","","","","","","",""
"2020-05-23","","","","1","","","","","33","13","","","","","2","2","","","1","","","55","8","1","","10","2","","","5","","","","","","","","","","0","3","","","","","","","","","","","35","","","","","","","","","",""
"2020-05-24","","","","","","","","","36","13","","","","","2","2","","","1","","","58","8","","","10","2","","","5","","","3","","","","3","","","","3","1","1","","","","","","","","","37","","","","","","","","","",""
