"date","Connecticut/Fairfield","Connecticut/Hartford","Connecticut/Litchfield","Connecticut/Middlesex","Connecticut/New Haven","Connecticut/New London","Connecticut/Tolland","Connecticut/Unassigned","Connecticut/Windham"
"2020-05-10","  1.38 %","  2.72 %","  1.60 %","  1.69 %","  2.01 %","  2.82 %","  1.58 %"," -2.86 %","  3.95 %"
"2020-05-11","  1.34 %","  2.42 %","  1.37 %","  1.55 %","  1.93 %","  2.19 %","  1.22 %"," -1.24 %","  2.32 %"
"2020-05-12","  1.25 %","  2.21 %","  1.00 %","  1.50 %","  1.68 %","  1.34 %","  1.27 %","  -.66 %","  2.40 %"
"2020-05-13","  1.15 %","  2.29 %","   .85 %","  1.55 %","  1.49 %","  1.27 %","  1.11 %"," -2.84 %","  2.91 %"
"2020-05-14","  1.21 %","  2.24 %","  1.05 %","  1.81 %","  1.33 %","  1.16 %","  1.02 %","  -.33 %","  1.82 %"
"2020-05-15","  1.14 %","  2.27 %","  1.10 %","  2.10 %","  1.42 %","  1.54 %","  1.44 %"," -4.47 %","  2.21 %"
"2020-05-16","  1.21 %","  2.44 %","  1.23 %","  2.31 %","  1.70 %","  1.87 %","  3.18 %"," -1.07 %","  2.33 %"
"2020-05-17","  1.10 %","  3.00 %","  1.62 %","  2.01 %","  1.50 %","  1.94 %","  5.26 %"," -3.99 %","  2.18 %"
"2020-05-18","  1.15 %","  2.99 %","  1.66 %","  2.26 %","  1.56 %","  1.73 %","  5.68 %","  -.82 %","  2.33 %"
"2020-05-19","   .97 %","  2.67 %","  1.41 %","  1.88 %","  1.43 %","  1.40 %","  6.34 %","  -.90 %","  2.30 %"
"2020-05-20","   .99 %","  2.60 %","  1.30 %","  1.75 %","  1.39 %","  1.21 %","  6.23 %"," -2.63 %","  1.80 %"
"2020-05-21","   .85 %","  2.31 %","  1.10 %","  1.60 %","  1.14 %","   .98 %","  4.44 %"," -5.01 %","  2.03 %"
"2020-05-22","   .88 %","  1.64 %","   .45 %","  1.77 %","  1.15 %","   .83 %","  2.18 %"," -1.98 %","  2.15 %"
"2020-05-23","   .75 %","  1.28 %","   .37 %","  1.31 %","   .97 %","  2.08 %","  1.70 %"," -1.29 %","  1.92 %"
"2020-05-24","   .80 %","  1.37 %","   .63 %","  1.30 %","   .90 %","  3.56 %","   .95 %","  -.47 %","  1.95 %"
"2020-05-25","   .66 %","  1.28 %","   .72 %","   .96 %","   .80 %","  3.14 %","   .65 %","  2.33 %","  2.10 %"
"2020-05-26","   .81 %","  1.30 %","   .86 %","  1.09 %","   .84 %","  3.60 %","   .85 %","  6.07 %","  2.00 %"
"2020-05-27","   .57 %","  1.03 %","   .94 %","  1.36 %","   .68 %","  3.03 %","   .48 %","  4.43 %","  1.29 %"
"2020-05-28","   .48 %","  1.09 %","   .94 %","  1.61 %","   .64 %","  1.98 %","   .57 %","   .68 %","  1.16 %"
"2020-05-29","   .39 %","   .93 %","   .65 %","  1.54 %","   .61 %","   .43 %","   .49 %","  1.88 %","  1.15 %"
"2020-05-30","   .38 %","   .73 %","   .52 %","  1.76 %","   .53 %","   .64 %","   .51 %","   .81 %","   .86 %"
"2020-05-31","   .25 %","   .75 %","   .54 %","  1.48 %","   .36 %","   .06 %","   .36 %"," -1.70 %","   .69 %"
"2020-06-01","   .51 %","   .96 %","   .58 %","  1.51 %","   .63 %","   .71 %","   .73 %","   .82 %","   .90 %"
"2020-06-02","   .55 %","   .89 %","   .52 %","  1.30 %","   .58 %","   .50 %","   .63 %","  2.87 %","   .94 %"
"2020-06-03","   .49 %","   .87 %","   .42 %","  1.28 %","   .54 %","   .59 %","   .69 %","  1.90 %","   .63 %"
"2020-06-04","   .44 %","   .83 %","   .36 %","  1.19 %","   .48 %","   .52 %","   .62 %","  1.07 %","   .83 %"
"2020-06-05","   .47 %","   .73 %","   .17 %","  1.18 %","   .61 %","   .55 %","   .55 %","   .97 %","  1.07 %"
"2020-06-06","   .39 %","   .57 %","   .19 %","   .54 %","   .58 %","   .38 %","   .45 %","  1.53 %","  1.41 %"
"2020-06-07","   .35 %","   .51 %","   .24 %","   .53 %","   .52 %","   .45 %","   .38 %","  1.36 %","  1.34 %"
"2020-06-08","   .38 %","   .47 %","   .31 %","   .44 %","   .54 %","   .36 %","   .16 %","  1.90 %","  1.77 %"
"2020-06-09","   .33 %","   .42 %","   .37 %","   .39 %","   .50 %","   .32 %","   .33 %","  3.50 %","  1.61 %"
"2020-06-10","   .28 %","   .46 %","   .30 %","   .49 %","   .41 %","   .39 %","   .44 %","  4.42 %","  1.54 %"
"2020-06-11","   .17 %","   .41 %","   .31 %","   .61 %","   .19 %","   .62 %","   .44 %","  2.88 %","  1.18 %"
"2020-06-12","   .15 %","   .54 %","   .22 %","   .52 %","   .25 %","   .55 %","   .50 %","  1.59 %","  1.53 %"
"2020-06-13","   .23 %","   .63 %","   .18 %","   .60 %","   .27 %","  1.37 %","   .51 %","  1.98 %","  1.59 %"
"2020-06-14","   .24 %","   .65 %","   .14 %","   .58 %","   .27 %","  1.96 %","   .34 %","  -.99 %","  1.58 %"
"2020-06-15","   .25 %","   .56 %","   .15 %","   .56 %","   .24 %","  1.89 %","   .23 %","  3.09 %","  1.34 %"
"2020-06-16","   .25 %","   .53 %","   .11 %","   .41 %","   .25 %","  2.17 %","   .11 %","  3.70 %","  1.24 %"
"2020-06-17","   .25 %","   .32 %","   .13 %","   .41 %","   .18 %","  2.26 %","   .07 %","  4.26 %","   .78 %"
"2020-06-18","   .15 %","   .24 %","   .11 %","   .37 %","   .14 %","  1.47 %","   .16 %","  -.78 %","   .39 %"
"2020-06-19","   .15 %","   .25 %","   .08 %","   .40 %","   .17 %","  -.49 %","   .11 %","  1.38 %","  4.32 %"
"2020-06-20","   .16 %","   .29 %","   .36 %","   .40 %","   .20 %","  -.45 %","   .16 %"," -3.73 %","  4.52 %"
"2020-06-21","   .14 %","   .25 %","   .33 %","   .39 %","   .18 %","  -.90 %","   .16 %"," -3.83 %","  4.57 %"
"2020-06-22","   .12 %","   .23 %","   .32 %","   .29 %","   .18 %"," -1.09 %","   .13 %"," -4.34 %","  4.66 %"
"2020-06-23","   .15 %","   .21 %","   .30 %","   .41 %","   .20 %"," -1.02 %","   .13 %","  -.59 %","  4.72 %"
"2020-06-24","   .12 %","   .16 %","   .29 %","   .30 %","   .15 %","   .30 %","   .11 %","  -.96 %","   .73 %"
"2020-06-25","   .09 %","   .16 %","   .03 %","   .30 %","   .12 %","   .17 %","   .09 %"," -1.18 %","   .69 %"
"2020-06-26","   .11 %","   .19 %","   .05 %","   .36 %","   .11 %","   .10 %","   .20 %"," -1.58 %","   .65 %"
"2020-06-27","   .15 %","   .25 %","   .20 %","   .44 %","   .13 %","   .44 %","   .24 %"," -1.36 %","   .51 %"
"2020-06-28","   .13 %","   .25 %","   .18 %","   .31 %","   .12 %","   .38 %","   .27 %","  -.85 %","   .61 %"
"2020-06-29","   .17 %","   .30 %","   .24 %","   .34 %","   .15 %","   .55 %","   .24 %"," -4.36 %","   .61 %"
"2020-06-30","   .19 %","   .31 %","   .28 %","   .43 %","   .19 %","   .79 %","   .31 %"," -4.46 %","   .50 %"
"2020-07-01","   .18 %","   .31 %","   .26 %","   .34 %","   .19 %","   .73 %","   .20 %"," -3.35 %","   .46 %"
"2020-07-02","   .15 %","   .27 %","   .13 %","   .37 %","   .18 %","   .51 %","   .20 %"," -3.16 %","   .43 %"
"2020-07-03","   .15 %","   .24 %","   .16 %","   .25 %","   .18 %","   .53 %","   .11 %"," -2.89 %","   .36 %"
"2020-07-04","   .11 %","   .18 %","   .09 %","   .20 %","   .15 %","   .35 %","   .13 %","   .77 %","   .33 %"
"2020-07-05","   .06 %","   .11 %","   .05 %","   .05 %","   .08 %","   .14 %","   .04 %","   .87 %","   .20 %"
"2020-07-06","   .13 %","   .18 %","   .19 %","   .26 %","   .15 %","   .44 %","   .26 %","  1.70 %","   .39 %"
"2020-07-07","   .12 %","   .16 %","   .21 %","   .14 %","   .15 %","   .48 %","   .22 %","  1.50 %","   .49 %"
"2020-07-08","   .12 %","   .18 %","   .20 %","   .35 %","   .12 %","   .48 %","   .24 %","  1.40 %","   .32 %"
"2020-07-09","   .15 %","   .23 %","   .21 %","   .40 %","   .16 %","   .65 %","   .28 %","  1.31 %","   .45 %"
"2020-07-10","   .18 %","   .28 %","   .21 %","   .41 %","   .20 %","   .70 %","   .28 %","  1.58 %","   .52 %"
"2020-07-11","   .10 %","   .17 %","   .08 %","   .21 %","   .11 %","   .40 %","   .06 %","   .26 %","   .26 %"
"2020-07-12","   .08 %","   .14 %","   .03 %","   .23 %","   .09 %","   .28 %","   .06 %","   .26 %","   .16 %"
"2020-07-13","   .11 %","   .19 %","   .04 %","   .13 %","   .20 %","   .30 %","   .19 %","  1.39 %","   .32 %"
"2020-07-14","   .09 %","   .14 %","   .03 %","   .10 %","   .17 %","   .23 %","   .15 %","  1.40 %","   .25 %"
"2020-07-15","   .10 %","   .15 %","   .09 %","   .16 %","   .18 %","   .26 %","   .19 %","  1.05 %","   .22 %"
"2020-07-16","   .14 %","   .21 %","   .13 %","   .24 %","   .24 %","   .35 %","   .19 %","  -.27 %","   .31 %"
"2020-07-17","   .19 %","   .26 %","   .17 %","   .33 %","   .32 %","   .38 %","   .24 %","  -.09 %","   .60 %"
"2020-07-18","   .14 %","   .16 %","   .15 %","   .25 %","   .19 %","   .28 %","   .09 %"," -1.31 %","   .47 %"
"2020-07-19","   .13 %","   .16 %","   .15 %","   .24 %","   .18 %","   .19 %","   .09 %"," -1.23 %","   .41 %"
"2020-07-20","   .14 %","   .17 %","   .09 %","   .19 %","   .23 %","   .25 %","   .23 %","  -.62 %","   .40 %"
"2020-07-21","   .11 %","   .14 %","   .07 %","   .15 %","   .17 %","   .18 %","   .19 %","   .87 %","   .34 %"
"2020-07-22","   .11 %","   .17 %","   .09 %","   .07 %","   .14 %","   .25 %","   .15 %","   .19 %","   .12 %"
"2020-07-23","   .13 %","   .16 %","   .09 %","   .04 %","   .16 %","   .08 %","  -.04 %","   .54 %","   .12 %"
"2020-07-24","   .41 %","   .49 %","   .48 %","   .12 %","   .24 %","   .22 %","   .54 %","  -.49 %","   .21 %"
"2020-07-25","   .36 %","   .43 %","   .47 %","   .09 %","   .15 %","   .09 %","   .34 %"," -1.02 %","   .18 %"
"2020-07-26","   .35 %","   .39 %","   .46 %","   .06 %","   .14 %","   .08 %","   .39 %"," -1.19 %","   .15 %"
"2020-07-27","   .34 %","   .40 %","   .49 %","   .16 %","   .18 %","   .13 %","   .49 %","  1.12 %","   .40 %"
"2020-07-28","   .36 %","   .42 %","   .52 %","   .21 %","   .20 %","   .44 %","   .74 %","  1.02 %","   .58 %"
"2020-07-29","   .36 %","   .33 %","   .42 %","   .15 %","   .15 %","   .36 %","   .76 %","  2.46 %","   .54 %"
"2020-07-30","   .42 %","   .36 %","   .50 %","   .18 %","   .20 %","   .49 %","   .96 %","  1.82 %","   .81 %"
"2020-07-31","   .42 %","   .49 %","   .47 %","   .18 %","   .24 %","   .58 %","  1.12 %","  1.90 %","  1.04 %"
"2020-08-01","   .38 %","   .41 %","   .37 %","   .06 %","   .15 %","   .42 %","  1.02 %","   .10 %","   .74 %"
"2020-08-02","   .34 %","   .39 %","   .34 %","   .04 %","   .12 %","   .29 %","   .95 %","  -.15 %","   .56 %"
"2020-08-03","   .15 %","   .25 %","   .06 %","   .19 %","   .16 %","   .39 %","   .97 %","  -.56 %","  1.05 %"
"2020-08-04","   .10 %","   .24 %","   .01 %","   .20 %","   .13 %","   .36 %","   .82 %","   .00 %","   .89 %"
"2020-08-05","   .13 %","   .14 %","   .11 %","   .27 %","   .12 %","   .37 %","   .72 %","   .91 %","   .83 %"
"2020-08-06","   .15 %","   .16 %","   .13 %","   .26 %","   .13 %","   .41 %","   .70 %","  -.67 %","   .88 %"
"2020-08-07","   .18 %","   .18 %","   .16 %","   .27 %","   .16 %","   .44 %","   .72 %","  -.41 %","   .94 %"
"2020-08-08","   .10 %","   .09 %","   .15 %","   .12 %","   .09 %","   .27 %","   .11 %","  -.41 %","   .39 %"
"2020-08-09","   .09 %","   .08 %","   .12 %","   .07 %","   .07 %","   .17 %","   .06 %","  -.33 %","   .28 %"
"2020-08-10","   .14 %","   .11 %","   .11 %","   .13 %","   .16 %","   .40 %","   .00 %"," -1.32 %","   .44 %"
"2020-08-11","   .17 %","   .13 %","   .14 %","   .19 %","   .17 %","   .50 %","   .02 %","   .76 %","   .58 %"
"2020-08-12","   .15 %","   .11 %","   .09 %","   .17 %","   .17 %","   .50 %","   .00 %","  -.07 %","   .60 %"
"2020-08-13","   .19 %","   .15 %","   .12 %","   .21 %","   .19 %","   .58 %","   .00 %"," -1.76 %","   .68 %"
"2020-08-14","   .23 %","   .17 %","   .27 %","   .26 %","   .26 %","   .61 %","   .00 %"," -1.76 %","   .79 %"
"2020-08-15","   .14 %","   .11 %","   .21 %","   .13 %","   .14 %","   .27 %","   .00 %"," -1.76 %","   .46 %"
"2020-08-16","   .09 %","   .07 %","   .17 %","   .09 %","   .11 %","   .14 %","   .00 %"," -2.27 %","   .27 %"
"2020-08-17","   .25 %","   .20 %","   .25 %","   .24 %","   .19 %","   .41 %","   .06 %","  -.03 %","   .37 %"
"2020-08-18","   .22 %","   .15 %","   .20 %","   .18 %","   .16 %","   .30 %","   .36 %","  -.04 %","   .29 %"
"2020-08-19","   .21 %","   .13 %","   .07 %","   .16 %","   .11 %","   .30 %","   .47 %","  -.14 %","   .32 %"
"2020-08-20","   .26 %","   .17 %","   .12 %","   .16 %","   .16 %","   .35 %","   .49 %","  -.23 %","   .32 %"
"2020-08-21","   .30 %","   .20 %","   .16 %","   .17 %","   .19 %","   .38 %","   .51 %","  -.04 %","   .34 %"
"2020-08-22","   .13 %","   .07 %","   .10 %","   .01 %","   .10 %","   .08 %","   .45 %"," -1.71 %","   .16 %"
"2020-08-23","   .12 %","   .08 %","   .11 %","   .03 %","   .10 %","   .11 %","   .15 %","   .00 %","   .16 %"
"2020-08-24","   .28 %","   .34 %","   .24 %","   .13 %","   .19 %","   .24 %","   .07 %","  1.96 %","   .34 %"
