"date","Rhode Island/Bristol","Rhode Island/Kent","Rhode Island/Newport","Rhode Island/Providence","Rhode Island/Unassigned","Rhode Island/Washington"
"2020-04-25","   .00 %","   .00 %","   .00 %","   .00 %","  6.44 %","   .00 %"
"2020-04-26","   .00 %","   .00 %","   .00 %","   .00 %","  5.12 %","   .00 %"
"2020-04-27","   .00 %","   .00 %","   .00 %","   .00 %","  3.10 %","   .00 %"
"2020-04-28","   .00 %","   .00 %","   .00 %","   .00 %","  2.58 %","   .00 %"
"2020-04-29","   .00 %","   .00 %","   .00 %","   .00 %","  5.02 %","   .00 %"
"2020-04-30","   .00 %","   .00 %","   .00 %","   .00 %","  5.98 %","   .00 %"
"2020-05-01","   .00 %","   .00 %","   .00 %","   .00 %","  4.89 %","   .00 %"
"2020-05-02","   .00 %","   .00 %","   .00 %","   .00 %","  6.09 %","   .00 %"
"2020-05-03","   .00 %","   .00 %","   .00 %","   .00 %","  8.11 %","   .00 %"
"2020-05-04","   .00 %","   .00 %","   .00 %","   .00 %","  6.56 %","   .00 %"
"2020-05-05","   .00 %","   .00 %","   .00 %","   .00 %","  4.11 %","   .00 %"
"2020-05-06","   .00 %","   .00 %","   .00 %","   .00 %","  4.23 %","   .00 %"
"2020-05-07","   .00 %","   .00 %","   .00 %","   .00 %","  4.86 %","   .00 %"
"2020-05-08","   .00 %","   .00 %","   .00 %","   .00 %","  2.84 %","   .00 %"
"2020-05-09","   .00 %","   .00 %","   .00 %","   .00 %","  4.76 %","   .00 %"
"2020-05-10","   .00 %","   .00 %","   .00 %","   .00 %","   .96 %","   .00 %"
"2020-05-11","   .00 %","   .00 %","   .00 %","   .00 %","  1.90 %","   .00 %"
"2020-05-12","   .00 %","   .00 %","   .00 %","   .00 %","  3.26 %","   .00 %"
"2020-05-13","   .00 %","   .00 %","   .00 %","   .00 %","  4.05 %","   .00 %"
"2020-05-14","   .00 %","   .00 %","   .00 %","   .00 %","  1.30 %","   .00 %"
"2020-05-15","   .00 %","   .00 %","   .00 %","   .00 %","  2.35 %","   .00 %"
"2020-05-16","   .00 %","   .00 %","   .00 %","   .00 %","  2.09 %","   .00 %"
"2020-05-17","   .00 %","   .00 %","   .00 %","   .00 %","  2.04 %","   .00 %"
"2020-05-18","   .00 %","   .00 %","   .00 %","   .00 %","  1.40 %","   .00 %"
"2020-05-19","   .00 %","   .00 %","   .00 %","   .00 %","  5.14 %","   .00 %"
"2020-05-20","   .00 %","   .00 %","   .00 %","   .00 %","  1.13 %","   .00 %"
"2020-05-21","   .00 %","   .00 %","   .00 %","   .00 %","  3.35 %","   .00 %"
"2020-05-22","   .00 %","   .00 %","   .00 %","   .00 %","  4.14 %","   .00 %"
"2020-05-23","   .00 %","   .00 %","   .00 %","   .00 %","  3.11 %","   .00 %"
"2020-05-24","   .00 %","   .00 %","   .00 %","   .00 %","  1.84 %","   .00 %"
"2020-05-25","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-26","   .00 %","   .00 %","   .00 %","   .00 %","  4.28 %","   .00 %"
"2020-05-27","   .00 %","   .00 %","   .00 %","   .00 %","  3.31 %","   .00 %"
"2020-05-28","   .00 %","   .00 %","   .00 %","   .00 %","  3.36 %","   .00 %"
"2020-05-29","   .00 %","   .00 %","   .00 %","   .00 %","  2.36 %","   .00 %"
"2020-05-30","   .00 %","   .00 %","   .00 %","   .00 %","  2.60 %","   .00 %"
"2020-05-31","   .00 %","   .00 %","   .00 %","   .00 %","   .98 %","   .00 %"
"2020-06-01","   .00 %","   .00 %","   .00 %","   .00 %","   .28 %","   .00 %"
"2020-06-02","   .00 %","   .00 %","   .00 %","   .00 %","  1.67 %","   .00 %"
"2020-06-03","   .00 %","   .00 %","   .00 %","   .00 %","  1.37 %","   .00 %"
"2020-06-04","   .00 %","   .00 %","   .00 %","   .00 %","  1.89 %","   .00 %"
"2020-06-05","   .00 %","   .00 %","   .00 %","   .00 %","  2.12 %","   .00 %"
"2020-06-06","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-07","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-08","   .00 %","   .00 %","   .00 %","   .00 %","  3.50 %","   .00 %"
"2020-06-09","   .00 %","   .00 %","   .00 %","   .00 %","  1.13 %","   .00 %"
"2020-06-10","   .00 %","   .00 %","   .00 %","   .00 %","   .50 %","   .00 %"
"2020-06-11","   .00 %","   .00 %","   .00 %","   .00 %","  1.35 %","   .00 %"
"2020-06-12","   .00 %","   .00 %","   .00 %","   .00 %","  1.22 %","   .00 %"
"2020-06-13","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-14","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-15","   .00 %","   .00 %","   .00 %","   .00 %","  2.16 %","   .00 %"
"2020-06-16","   .00 %","   .00 %","   .00 %","   .00 %","  1.65 %","   .00 %"
"2020-06-17","   .00 %","   .00 %","   .00 %","   .00 %","  1.27 %","   .00 %"
"2020-06-18","   .00 %","   .00 %","   .00 %","   .00 %","  1.03 %","   .00 %"
"2020-06-19","   .00 %","   .00 %","   .00 %","   .00 %","  1.02 %","   .00 %"
"2020-06-20","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-21","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-22","   .00 %","   .00 %","   .00 %","   .00 %","  1.01 %","   .00 %"
"2020-06-23","   .00 %","   .00 %","   .00 %","   .00 %","   .33 %","   .00 %"
"2020-06-24","   .00 %","   .00 %","   .00 %","   .00 %","   .66 %","   .00 %"
"2020-06-25","   .00 %","   .00 %","   .00 %","   .00 %","   .88 %","   .00 %"
"2020-06-26","   .00 %","   .00 %","   .00 %","   .00 %","   .76 %","   .00 %"
"2020-06-27","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-28","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-29","   .00 %","   .00 %","   .00 %","   .00 %","  2.05 %","   .00 %"
"2020-06-30","   .00 %","   .00 %","   .00 %","   .00 %","   .42 %","   .00 %"
"2020-07-01","   .00 %","   .00 %","   .00 %","   .00 %","   .63 %","   .00 %"
"2020-07-02","   .00 %","   .00 %","   .00 %","   .00 %","   .31 %","   .00 %"
"2020-07-03","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-07-04","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-05","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-06","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-07","   .00 %","   .00 %","   .00 %","   .00 %","   .94 %","   .00 %"
"2020-07-08","   .00 %","   .00 %","   .00 %","   .00 %","   .21 %","   .00 %"
"2020-07-09","   .00 %","   .00 %","   .00 %","   .00 %","   .31 %","   .00 %"
"2020-07-10","   .00 %","   .00 %","   .00 %","   .00 %","   .21 %","   .00 %"
"2020-07-11","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-12","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-13","   .00 %","   .00 %","   .00 %","   .00 %","   .82 %","   .00 %"
"2020-07-14","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-07-15","   .00 %","   .00 %","   .00 %","   .00 %","   .20 %","   .00 %"
"2020-07-16","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-07-17","   .00 %","   .00 %","   .00 %","   .00 %","   .20 %","   .00 %"
"2020-07-18","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-19","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-20","   .00 %","   .00 %","   .00 %","   .00 %","   .51 %","   .00 %"
"2020-07-21","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-07-22","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-07-23","   .00 %","   .00 %","   .00 %","   .00 %","   .40 %","   .00 %"
"2020-07-24","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-07-25","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-26","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-27","   .00 %","   .00 %","   .00 %","   .00 %","   .20 %","   .00 %"
"2020-07-28","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-07-29","   .00 %","   .00 %","   .00 %","   .00 %","   .20 %","   .00 %"
"2020-07-30","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-31","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-01","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-02","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-03","   .00 %","   .00 %","   .00 %","   .00 %","   .30 %","   .00 %"
"2020-08-04","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-08-05","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-08-06","   .00 %","   .00 %","   .00 %","   .00 %","   .20 %","   .00 %"
"2020-08-07","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-08","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-09","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-10","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-08-11","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-08-12","   .00 %","   .00 %","   .00 %","   .00 %","   .20 %","   .00 %"
"2020-08-13","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-08-14","   .00 %","   .00 %","   .00 %","   .00 %","   .20 %","   .00 %"
"2020-08-15","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-16","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-17","   .00 %","   .00 %","   .00 %","   .00 %","   .20 %","   .00 %"
"2020-08-18","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-08-19","   .00 %","   .00 %","   .00 %","   .00 %","   .29 %","   .00 %"
"2020-08-20","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-08-21","   .00 %","   .00 %","   .00 %","   .00 %","   .19 %","   .00 %"
"2020-08-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-23","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-24","   .00 %","   .00 %","   .00 %","   .00 %","   .49 %","   .00 %"
