"date","Assam/.","Assam/Airport","Assam/Airport Quarantine","Assam/Baksa","Assam/Barpeta","Assam/Biswanath","Assam/Bongaigaon","Assam/Cachar","Assam/Charaideo","Assam/Chirang","Assam/Darrang","Assam/Dhemaji","Assam/Dhubri","Assam/Dibrugarh","Assam/Dima Hasao","Assam/Goalpara","Assam/Golaghat","Assam/Hailakandi","Assam/Hojai","Assam/Jorhat","Assam/Kamrup","Assam/Kamrup Metropolitan","Assam/Karbi Anglong","Assam/KarimganJ","Assam/Karimganj","Assam/Kishanganj","Assam/KokraJhar","Assam/Kokrajhar","Assam/LakhImpur","Assam/Lakhimpur","Assam/Majuli","Assam/Morigaon","Assam/Nagaon","Assam/Nalbari","Assam/Other State","Assam/Others","Assam/Sarusajai Quarantine Centre","Assam/Sivasagar","Assam/Sonitpur","Assam/South Salmara Mankachar","Assam/Tinsukia","Assam/Tinsukla","Assam/Udalguri","Assam/West Karbi Anglong","Assam/cachar"
"2020-05-23","","","","","   .00 %","",""," 36.36 %","","   .00 %","",""," 16.67 %","","   .00 %"," 16.67 %"," 14.29 %"," ##.## %"," 50.00 %","  6.67 %",""," 84.88 %","","","","",""," 16.67 %","","",""," ##.## %"," 20.00 %"," 40.00 %","","",""," 16.67 %","",""," ##.## %","",""," ##.## %",""
"2020-05-24","","","","","","","","",""," 50.00 %","","","","","","","",""," 66.67 %"," 12.50 %"," ##.## %","  4.40 %","","","","","","","","",""," 14.29 %"," 66.67 %"," ##.## %","","","","","","","","",""," ##.## %",""
"2020-05-25","","","",""," ##.## %","",""," 16.67 %","","","","   .00 %","","",""," 14.29 %"," ##.## %"," 80.00 %","","  5.56 %","","  9.04 %","",""," ##.## %","",""," 85.71 %",""," ##.## %",""," 12.50 %"," 10.00 %"," 14.29 %","","",""," 71.43 %",""," ##.## %"," 50.00 %","","","",""
"2020-05-26","","","","","","","","","",""," ##.## %",""," 14.29 %","",""," ##.## %"," 80.60 %"," 11.11 %"," 28.00 %","","  5.00 %"," 15.47 %","   .00 %",""," 28.00 %","","","",""," 23.81 %",""," 88.89 %"," 72.73 %","","","","","","","","",""," 50.00 %","",""
"2020-05-27","","","","","","","","","   .00 %",""," ##.## %"," 25.00 %","","","",""," 11.57 %",""," 43.75 %","  5.26 %","  4.76 %"," 20.57 %"," ##.## %","","","","","","","  3.85 %",""," 35.29 %"," 21.05 %","","","","","  8.33 %","","","","","","",""
"2020-05-28","","","",""," 23.08 %","",""," 31.43 %","","",""," 60.00 %"," 12.50 %"," ##.## %"," 14.29 %"," 68.75 %",""," 20.00 %","  2.17 %","","  4.55 %"," 12.70 %"," 25.00 %","","  6.25 %","",""," 15.38 %","","  3.70 %","",""," 47.83 %"," 18.75 %","","","","","",""," 50.00 %","","","",""
"2020-05-29","","","","",""," ##.## %",""," 26.09 %","",""," 25.00 %"," 50.00 %"," ##.## %","-16.67 %","",""," 20.00 %"," 16.67 %"," 17.02 %","   .00 %"," ##.## %"," 11.97 %"," 60.00 %",""," 17.65 %","","","","","  7.14 %","","","","","","","","","",""," ##.## %",""," ##.## %","-20.00 %",""
"2020-05-30","","","",""," 18.75 %",""," 20.00 %","  3.45 %",""," ##.## %","",""," 21.74 %"," ##.## %","","","  4.32 %"," ##.## %",""," 45.00 %"," 24.07 %","  7.23 %","","","","",""," ##.## %","","",""," 47.83 %","","","","","","","","","","","","",""
"2020-05-31","","","","   .00 %"," 63.16 %","","","   .00 %","","",""," 16.67 %"," 17.86 %","",""," 37.04 %","  1.18 %","","","   .00 %","  7.46 %","  2.05 %","","","  7.50 %","",""," 21.95 %",""," 60.00 %","",""," 20.59 %","  5.26 %","","",""," 53.85 %"," 35.71 %",""," 61.54 %",""," 58.33 %","",""
"2020-06-01","","","",""," 38.71 %","",""," 20.00 %"," 55.56 %",""," 30.00 %"," 28.57 %","  9.09 %"," 77.78 %","","  5.41 %","","  5.88 %","","  3.45 %"," 27.78 %","  9.77 %","",""," 20.93 %","",""," 14.00 %","","",""," 17.65 %","  2.44 %","","","","","  5.00 %","  5.26 %","","  7.14 %",""," 26.32 %","",""
"2020-06-02","","","","","   .00 %"," ##.## %","","  1.39 %","","","","   .00 %","","","","","  5.85 %","","  7.27 %","  3.33 %","  1.09 %","  3.66 %","",""," 13.46 %","","","","","","",""," 28.57 %","","","",""," 23.81 %","","","","",""," ##.## %",""
"2020-06-03","","","","","   .00 %"," 53.85 %","","  1.37 %","",""," ##.## %",""," ##.## %"," 31.25 %"," ##.## %","","  9.94 %",""," 33.90 %","  6.45 %","  3.23 %","   .00 %","   .00 %",""," 11.86 %","","","","","  6.25 %","",""," 33.33 %","","","","",""," 15.00 %","","","","  8.33 %","   .00 %",""
"2020-06-04","","",""," 28.57 %"," 55.81 %",""," 66.67 %","   .00 %","",""," 15.38 %"," 77.78 %"," 24.22 %",""," 36.84 %","  7.69 %","  1.01 %",""," ##.## %","  6.06 %"," 19.79 %","   .00 %","","","","","","","","  7.84 %",""," 12.50 %"," 13.89 %"," 15.00 %","","","","","",""," 46.67 %",""," ##.## %","",""
"2020-06-05","","",""," 77.78 %","  1.49 %",""," 10.00 %","  9.46 %","","  3.12 %"," 43.33 %","  6.25 %"," 18.50 %","   .00 %"," 46.15 %","","   .00 %"," 22.22 %","","   .00 %","   .00 %","   .00 %","",""," 13.64 %","","","","","","","","  8.54 %","  4.35 %","","","",""," 21.74 %"," 50.00 %","","","  4.84 %","",""
"2020-06-06","","   .00 %","   .00 %",""," 17.65 %"," 10.00 %"," 18.18 %","  2.47 %","  7.14 %",""," 51.16 %"," 44.12 %"," 18.57 %"," 19.05 %"," 15.79 %"," 14.29 %","  1.99 %"," 11.36 %"," 25.32 %","   .00 %","  4.35 %","  4.29 %"," 37.50 %","","  1.33 %","","","","","  1.82 %","","  2.22 %","  8.99 %","   .00 %","","","","  3.85 %"," 21.43 %","","  3.03 %","",""," 30.77 %",""
"2020-06-07","","","","","   .00 %","","","   .00 %","","","","  2.04 %","  8.54 %","   .00 %","","","  3.41 %","   .00 %"," 19.70 %","   .00 %","   .00 %"," 28.09 %","   .00 %","","","","","","","  8.93 %","   .00 %","   .00 %"," 10.31 %","","","","","","","","","","   .00 %","",""
"2020-06-08","","","",""," 12.50 %"," 18.18 %","  7.69 %","  8.43 %","","  6.06 %"," 35.38 %"," 30.00 %","","  4.00 %","","","   .00 %","","","   .00 %"," 21.67 %","   .38 %","  9.09 %","","   .00 %","","","   .00 %","","  9.84 %","",""," 42.06 %","","","","",""," 17.65 %","","   .00 %","","","",""
"2020-06-09","","","","  6.25 %"," 16.67 %",""," 35.71 %","  1.11 %","","  8.57 %","  1.14 %","  7.69 %","","  5.77 %",""," 18.75 %","  2.36 %","  6.12 %"," 12.24 %"," 48.57 %","  2.05 %","  3.58 %"," 16.67 %","","  7.89 %","","","","","  5.97 %"," 16.67 %","   .00 %"," 17.76 %","","","","","","  2.50 %"," 16.67 %"," 50.00 %",""," 30.77 %","",""
"2020-06-10","","","","","","","","","","","","  1.43 %","","","","","","","","  3.85 %","","","","","","",""," 28.07 %","","  5.63 %","",""," 10.61 %","","","","","","","","","","","",""
"2020-06-11","","",""," 17.65 %","  2.86 %","","","","","  2.63 %","","","","  1.82 %","","","  2.76 %","","","","","","","","","","","","","  1.33 %","","","  7.58 %","","","","","","  7.32 %","","","","","  5.88 %",""
"2020-06-13","","",""," 15.00 %","","","","","","","","  2.82 %","","","","","   .45 %","","","  9.26 %","",""," 21.43 %","","","","","","","","","","   .47 %","","","","","","","","","",""," 55.56 %",""
"2020-06-14","","","","  8.70 %"," 12.04 %","   .00 %","  5.26 %","  1.10 %","","  5.13 %"," 14.61 %"," 10.96 %","  4.92 %","","   .00 %","","  4.46 %","",""," 20.34 %"," 38.26 %","  3.45 %","  5.88 %","","  3.66 %","","","","","  2.63 %"," ##.## %","   .00 %"," 28.97 %","","","","","   .00 %","","","","","  4.71 %","",""
"2020-06-15","","","","","","  3.85 %","","","","","","  3.70 %","   .62 %","  1.79 %","","","","",""," 43.66 %","","","","","","","","","","  1.28 %","","","","","","","","","","","","","","",""
"2020-06-16","","","","","","","","","","","","  3.57 %","","","","","","","   .38 %","","","","","","","","","","","","","","   .36 %","","","","","","  4.55 %","","","","  3.37 %","",""
"2020-06-17","","",""," ##.## %"," 19.83 %","  1.85 %"," 20.00 %","  4.35 %","","","","  5.75 %",""," 10.53 %","  1.14 %","","  9.40 %"," 23.08 %",""," 26.47 %","  2.91 %","  2.64 %"," 38.89 %","","","",""," 12.33 %","","","","","  1.44 %","","","","","","  6.52 %","","","","  2.17 %","",""
"2020-06-18","","",""," 40.00 %","  1.38 %","  1.82 %","","  3.12 %","  6.67 %"," 26.83 %","","  1.09 %","  2.17 %"," 14.29 %","","","  2.34 %"," 21.88 %","","","","  6.51 %"," 56.00 %",""," 15.29 %","","","  1.22 %","","  3.80 %"," 18.75 %","","  5.34 %","  4.17 %","","","","  7.41 %"," 71.43 %","","   .98 %","","  6.38 %","",""
"2020-06-21","","","","","","","","","","","","  1.08 %","","","","","   .76 %","",""," 13.95 %",""," 11.90 %","","","","","","","",""," 10.53 %",""," 10.47 %","","","","","","","","   .97 %","","  5.00 %","",""
"2020-06-25","","",""," 10.39 %","","  3.57 %","","","","","","  1.06 %","  1.22 %","  6.94 %","","","","","","","  1.42 %","  3.30 %","","","  7.14 %","","","  3.61 %","","","","","","  8.00 %","","","",""," 23.81 %","","  9.62 %","","","",""
"2020-06-26","","","","","","","","","","","","","","","","","","","","",""," 28.23 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-28","","","","","","","","","","","","","","","","","","","","",""," 21.15 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-29","","","","","","","","","","","","","","","","","","","","",""," 15.40 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-06-30","","","","   .00 %","  2.04 %","","","","","","","  1.05 %","","","","","","   .00 %","","  4.08 %",""," 29.87 %","  5.13 %","","","","","","","  3.66 %","","","   .92 %","","","","",""," 17.31 %","","","","","",""
"2020-07-01","","","","","","","","","","","","","","","","","","","","",""," 22.58 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-02","","","","","","","","","","","","","","","","","","","","",""," 11.60 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-03","","","","","","","","","","","","","","","","","","","","","","  5.85 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-04","","","","","","","","","","","","","","","","","","","","",""," 32.05 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-05","","","","","","","","","","","","","","","","","","","","",""," 17.24 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-06","","","","","","","","","","","","","","","","","","","","",""," 15.93 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-07","","","","","","","","","","","","","","","","","","","","","   .00 %"," 13.51 %","","","","","","","","","","","   .00 %","","","","","","","","","","","",""
"2020-07-08","","","","","   .00 %","","","","","","","","","","","","","","","","","  8.56 %","","","","","","","","","","","","","","","","   .00 %","","","","","   .00 %","",""
"2020-07-09","","","","","","","","","","","","","","","","","","","","","","  6.62 %","   .00 %","","","","","","","","","","","","","","","","","","",""," ##.## %","",""
"2020-07-10","   .00 %","","","","","","","","","","","","","","","","","","","","","  9.11 %","","","","","","","","","","","","","","","","","","","","","  3.08 %","",""
"2020-07-11","","","","","","","","","","","","","","","","","","","","","","  6.57 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-12","","","","","","","","","","","","","","","","","","","","   .00 %","","  6.02 %","","","","","","","","","","","   .00 %","","","","","","","","","","   .85 %","",""
"2020-07-13","","","",""," ##.## %",""," ##.## %"," ##.## %",""," 50.00 %"," ##.## %",""," 46.85 %"," ##.## %"," 52.81 %",""," ##.## %"," ##.## %","   .00 %"," 54.25 %","   .00 %","  7.28 %"," ##.## %",""," ##.## %","","","",""," ##.## %",""," ##.## %","   .00 %"," ##.## %","","",""," 13.79 %"," ##.## %"," ##.## %"," ##.## %","","","",""
"2020-07-14","","","","","","","","","","","","","","","","","","","","","","  8.29 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-15","","","","","","","","","","","","","","","","","","","","","","  7.93 %","","","","","","","","","","","","","","","","","","","   .00 %","","","",""
"2020-07-16","","","","   .00 %","","","","","","","","","","","","","","","","","","  6.77 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-17","","","","","","","","","","","","","","","","","","","","","","  6.04 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-18","","","","","","","","","","","","","","","","","","","","   .00 %","","  5.15 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-19","","","","   .00 %"," 36.62 %"," ##.## %"," 59.35 %"," 92.33 %"," ##.## %"," 11.54 %"," 33.26 %"," ##.## %"," 22.90 %"," 85.33 %","  2.21 %"," 42.11 %"," 44.90 %"," 33.15 %"," 20.22 %"," ##.## %","   .00 %"," 13.61 %"," 21.97 %",""," 85.24 %","",""," ##.## %",""," 69.31 %"," 47.62 %"," 19.71 %"," ##.## %"," 93.75 %","","",""," ##.## %"," 20.51 %",""," 75.95 %",""," 15.68 %","",""
"2020-07-20","","","","","","","","","","","","","","","","","","","","","","  3.75 %","","","","","","   .00 %","","","","","","","","","","","","","","","","",""
"2020-07-21","","","","","","","","","","","   .00 %","","","   .00 %","","","","","","","   .00 %","  4.60 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-22","","","","","","","","","","","","","","","","","","","","   .00 %","","  2.73 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-23","","","","","","","","","","","","","","","","","","","","","","  1.64 %","","","   .00 %","","","   .00 %","","","","","","","","","","","","","","","","",""
"2020-07-24","","","","","","",""," 15.36 %","","","","","","","","","","","","","","  3.08 %","","","   .00 %","","","","","","","","","   .00 %","","","","","","","","","","",""
"2020-07-25","","","","","","","","","","","","","","","",""," 11.35 %","","","","","  2.53 %","","","","","","","","","","","   .00 %","","","","","","","","","","","",""
"2020-07-26","",""," ##.## %"," ##.## %"," 19.75 %"," 15.34 %"," 93.93 %"," 51.47 %","",""," 72.08 %","   .00 %"," 32.45 %"," 85.14 %"," 15.11 %"," ##.## %"," 34.66 %"," 15.02 %"," ##.## %"," 75.68 %"," ##.## %"," -1.94 %"," 17.28 %",""," 19.02 %","",""," 81.62 %",""," 40.06 %"," 74.19 %"," 45.78 %"," 35.69 %"," 50.90 %","","",""," 77.65 %"," 46.99 %"," 64.29 %"," 75.78 %",""," 35.53 %","  7.14 %",""
"2020-07-27","","","","","","","","","","","","","","   .00 %","","","","","","   .00 %","","  1.10 %","   .00 %","","","","","","","","","","","","","","","","","","   .00 %","","","",""
"2020-07-28","","","","","","","","","","","","","","","","","","","",""," 46.62 %","  2.08 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-07-29","","","","","","","","   .00 %","","","","","","","","","","","","   .00 %"," 18.27 %","  2.40 %","","","","","","","","","","","","","","","","","","","   .00 %","","","",""
"2020-07-30","","","","","","","","","","","   .00 %","","","","","","","","",""," 25.55 %","  1.91 %","","","","","","","","","",""," 14.68 %","","","","",""," 15.92 %","","","","","",""
"2020-07-31","","","","","","",""," 11.83 %","","","","",""," 10.21 %","","","","","   .00 %","  7.42 %"," 19.57 %","  1.86 %","","","","","","","","","","","  6.92 %","","","","",""," 13.42 %","","","","","",""
"2020-08-01","","","","","","","","   .00 %","","","","",""," 10.77 %","","","   .00 %","","","","","  1.79 %","","","","","","","","","","","","","","","",""," 10.64 %","","","","","",""
"2020-08-02","","","","","","","","","","","","","","","","","","","","   .00 %","","  1.71 %","","","   .00 %","","","","","","","","","","","","","","","","   .00 %","","","",""
"2020-08-03","","","","","","","","","","","","",""," 20.16 %","","","","","",""," 15.56 %","  2.60 %","","","","","","","","","",""," 14.25 %","","","","","   .00 %","","","   .00 %","","","",""
"2020-08-04","","","","  7.32 %","  7.98 %"," 21.67 %"," 50.10 %"," 42.03 %","  1.39 %"," ##.## %"," 32.66 %"," 30.59 %"," 45.98 %"," 18.74 %"," 19.38 %"," 64.13 %"," 31.79 %"," 21.64 %"," 25.40 %"," 42.21 %"," 20.62 %","  3.36 %"," 25.39 %",""," 31.97 %","",""," 21.43 %",""," 39.04 %"," 57.41 %"," 14.60 %"," 18.08 %"," 66.98 %","","",""," 10.60 %"," 23.30 %","   .00 %"," ##.## %",""," 37.57 %","   .00 %",""
"2020-08-05","","","","","","","","   .00 %","","","   .00 %","","","  8.87 %","","","","","","","  7.15 %","  2.14 %","","","","","","","","","","","  6.60 %","","","","","","","","   .00 %","","","",""
"2020-08-06","","","","","","","","  8.67 %","","","","","","  5.89 %","","","","","","  4.81 %","","  2.72 %","","","   .00 %","","","","","","","","  7.77 %","","","","","","","","  6.49 %","","","",""
"2020-08-07","","","","","","",""," 12.24 %","","","","","   .00 %","   .00 %","","","","","",""," 14.38 %","  2.49 %","","","","","","   .00 %","","","","","  6.30 %","","","","","","","","","","","",""
"2020-08-08","","","","","","","","  7.20 %","","","","","","  6.17 %","","","","","","","","  1.64 %","","","","","","   .00 %","","","","","  5.17 %","   .00 %","","","","","","","   .00 %","","","",""
"2020-08-09","","","","","","","","","","","","","","   .00 %","","","","","","  5.34 %","   .00 %","  1.30 %","","","","","","","","","","   .00 %","","","","","","","","","   .00 %","","","",""
"2020-08-10","","","","","","","","","","","","",""," 10.23 %","","","","","",""," 13.95 %","  2.04 %","","","","   .00 %","","","","","","","  6.55 %","","","","","","   .00 %","","","","","",""
"2020-08-11","","","","","","","","   .00 %","","","","","","  9.62 %","","","","","","","","  2.09 %"," 47.25 %","","","","","","","","","","","","","","","","","","  9.04 %","","","",""
"2020-08-12","","",""," 44.51 %"," 35.88 %"," 89.07 %"," 54.80 %"," 34.43 %"," 54.79 %"," 20.17 %"," 50.38 %"," 75.52 %"," 48.19 %"," 33.03 %"," 24.08 %"," 45.25 %"," 36.65 %"," 37.87 %"," 44.16 %"," 40.12 %"," 20.82 %","  6.00 %","  7.30 %",""," 67.59 %","   .00 %","","   .00 %",""," 90.09 %"," 94.12 %"," 52.64 %"," 19.74 %"," 34.71 %","","",""," 58.38 %"," 58.10 %"," 10.87 %"," 54.12 %",""," 48.92 %"," 30.00 %",""
"2020-08-13","","","","","","","   .00 %","  9.29 %","","","","","","  5.27 %","","","","","","","  8.55 %","  2.02 %","","","   .00 %","","","","","   .00 %","","","","","","","","","","","","","","",""
"2020-08-14","","","","","","","","","","","","","","  6.39 %","","   .00 %","","   .00 %","","","  8.19 %","  3.41 %","   .00 %","","","","","","","","","","  3.72 %","","","","","","","","","","","",""
"2020-08-15","","","","","","","   .00 %","","","","   .00 %","","","   .00 %","","","","   .00 %","","","","  1.34 %","","","   .00 %","","","","","","","","   .00 %","","","","","","","","","","","",""
"2020-08-16","","","","   .00 %","","","","  4.46 %","","","   .00 %","","","  3.02 %","","","","","","","","  1.05 %","","","","","","   .00 %","","","","","","","","","","   .00 %","","","","","","",""
"2020-08-17","","","","","","","","  6.02 %","","","   .00 %","","","  4.97 %","","","   .00 %","","","","  5.72 %","  2.05 %","","","","","","","","","","","","","","","","","","","   .00 %","","   .00 %","",""
"2020-08-18","","","","","","","","  6.10 %","","","","","","  5.61 %","","","","","","","  4.02 %","  2.19 %","","","   .00 %","","","","","","","","","","","","","","","","","","","",""
"2020-08-19","","","","","","","","  4.48 %","","","","","","  3.46 %","","","   .00 %","   .00 %","","  3.74 %","","  1.34 %","","","   .00 %","","","","","","","","   .00 %","","","","","","","","","","","",""
"2020-08-20","","","","","   .00 %","","","","","","","","   .00 %","   .00 %","","","","","","","   .00 %","","   .00 %","","   .00 %","","","","","","","","","","","","","","","","","","","",""
"2020-08-21","","","","","   .00 %","","","  3.23 %","","","","","   .00 %","  2.89 %","","","","   .00 %","","","  3.23 %","  1.83 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-08-22","","","","","","","","   .00 %","","","","","","   .00 %","","","","","","  3.95 %","  2.69 %","  1.46 %","","","","","","","","","","","","","","","","","   .00 %","","","","","",""
"2020-08-23","","","","   .00 %","","","","  2.93 %","","","","","","   .00 %","","","","","   .00 %","","   .00 %","  1.15 %","","","   .00 %","","","","","","","","","   .00 %","","","","","","","","","","",""
"2020-08-24","","","","","","","","  2.82 %","   .00 %","","","","","  2.67 %","","","","","","  3.82 %","","  1.91 %","   .00 %","","   .00 %","","","   .00 %","","","","","   .00 %","","","","","","","","","","","",""
"2020-08-25","","","","   .00 %","","","","  3.08 %","","","","","","  2.11 %","","","   .00 %","","","  3.52 %","  3.05 %","  2.03 %","   .00 %","","","","","","","","   .00 %","","","   .00 %","","","","","","","","","","",""
"2020-08-26","","","","","","","","  2.72 %","","","","","   .00 %","  2.71 %","","","   .00 %","","   .00 %","  3.46 %","  2.98 %","  2.07 %","","","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","","",""
"2020-08-27","","","","   .00 %","","","","","","","   .00 %","","","  2.24 %","","","","  7.93 %","","  3.64 %","","  1.84 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-08-28","","","","","","","","  3.22 %","","","","","","  2.36 %","","","   .00 %","  9.02 %","","  4.02 %","   .00 %","  2.11 %","","","","","","","","","","","","","","","","   .00 %","","","   .00 %","","","",""
"2020-08-29","","","","","","","","  2.99 %","","","","","","  2.94 %","","","","","","  3.14 %","","  1.69 %","","","","","","","","","","","","","","","","","","","   .00 %","","","   .00 %",""
"2020-08-30","","","","","","","","  1.96 %","","   .00 %","","","","","","","   .00 %","","","  3.00 %","","  1.64 %","","","","","","","","","","","  5.92 %","","","","","","","","","","","",""
"2020-08-31","","","","","","","","  3.40 %","","","","","","   .00 %","","","  9.79 %","","","  4.11 %","","  2.49 %","","","","","","","","","","","","","","","","   .00 %","","","   .00 %","","","",""
"2020-09-01","","","","","","","","  3.03 %","","","","   .00 %","","  2.53 %","","","","","   .00 %","   .00 %","","  2.14 %","","","   .00 %","","","","","","","","","   .00 %","","","","","","","","","","",""
"2020-09-02","","",""," 41.07 %","","","","","","","   .00 %","","","  3.35 %","","","","","","","","  3.14 %","","","   .00 %","","","","","","","","  5.52 %","","","","","","","","","","","",""
"2020-09-03","","","","","   .00 %","","","  3.24 %","","","","","","  3.01 %","","","",""," 13.09 %","","","  2.42 %","","","","","","","","","","","","   .00 %","","","","   .00 %","","","","","","",""
