"date","Pennsylvania/Adams","Pennsylvania/Allegheny","Pennsylvania/Armstrong","Pennsylvania/Beaver","Pennsylvania/Bedford","Pennsylvania/Berks","Pennsylvania/Blair","Pennsylvania/Bradford","Pennsylvania/Bucks","Pennsylvania/Butler","Pennsylvania/Cambria","Pennsylvania/Cameron","Pennsylvania/Carbon","Pennsylvania/Centre","Pennsylvania/Chester","Pennsylvania/Clarion","Pennsylvania/Clearfield","Pennsylvania/Clinton","Pennsylvania/Columbia","Pennsylvania/Crawford","Pennsylvania/Cumberland","Pennsylvania/Dauphin","Pennsylvania/Delaware","Pennsylvania/Elk","Pennsylvania/Erie","Pennsylvania/Fayette","Pennsylvania/Forest","Pennsylvania/Franklin","Pennsylvania/Fulton","Pennsylvania/Greene","Pennsylvania/Huntingdon","Pennsylvania/Indiana","Pennsylvania/Jefferson","Pennsylvania/Juniata","Pennsylvania/Lackawanna","Pennsylvania/Lancaster","Pennsylvania/Lawrence","Pennsylvania/Lebanon","Pennsylvania/Lehigh","Pennsylvania/Luzerne","Pennsylvania/Lycoming","Pennsylvania/McKean","Pennsylvania/Mercer","Pennsylvania/Mifflin","Pennsylvania/Monroe","Pennsylvania/Montgomery","Pennsylvania/Montour","Pennsylvania/Northampton","Pennsylvania/Northumberland","Pennsylvania/Perry","Pennsylvania/Philadelphia","Pennsylvania/Pike","Pennsylvania/Potter","Pennsylvania/Schuylkill","Pennsylvania/Snyder","Pennsylvania/Somerset","Pennsylvania/Sullivan","Pennsylvania/Susquehanna","Pennsylvania/Tioga","Pennsylvania/Unassigned","Pennsylvania/Union","Pennsylvania/Venango","Pennsylvania/Warren","Pennsylvania/Washington","Pennsylvania/Wayne","Pennsylvania/Westmoreland","Pennsylvania/Wyoming","Pennsylvania/York"
"2020-04-01","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 75.00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"," 19.67 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %"," 10.00 %"," 30.00 %"," 20.00 %","   .00 %"," 21.67 %"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %"," 39.52 %"," 24.00 %","   .00 %"," 11.67 %","   .00 %","   .00 %"," 47.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-02","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 75.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"," 15.86 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %"," 10.00 %"," 36.67 %"," 20.00 %","   .00 %"," 11.67 %"," 21.67 %","   .00 %","   .00 %","   .00 %","   .00 %"," 44.52 %"," 13.17 %","   .00 %"," 21.00 %","   .00 %","   .00 %"," 23.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-03","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 81.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %"," 20.86 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %"," 16.67 %"," 21.67 %"," 20.00 %","   .00 %"," 11.67 %"," 21.67 %","   .00 %","   .00 %","   .00 %","   .00 %"," 34.52 %"," 17.61 %","   .00 %"," 23.22 %","   .00 %","   .00 %"," 12.54 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-04","   .00 %"," 10.00 %","   .00 %"," 60.00 %","   .00 %"," 20.00 %","   .00 %","   .00 %"," 29.17 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %"," 26.86 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %"," 26.67 %"," 21.67 %"," 20.00 %","   .00 %"," 19.67 %"," 11.67 %","   .00 %","   .00 %","   .00 %","   .00 %","  9.86 %"," 28.52 %","   .00 %"," 20.22 %","   .00 %","   .00 %"," 26.82 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-05","   .00 %"," 16.67 %","   .00 %"," 60.00 %","   .00 %"," 30.00 %","   .00 %","   .00 %"," 39.62 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %"," 23.40 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"," 16.67 %"," 23.67 %","   .00 %","   .00 %"," 15.86 %","  5.00 %","   .00 %","   .00 %","   .00 %","   .00 %","  9.86 %"," 25.70 %","   .00 %"," 20.22 %","   .00 %","   .00 %"," 25.16 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-06","   .00 %"," 16.67 %","   .00 %"," 40.00 %","   .00 %"," 30.00 %","   .00 %","   .00 %"," 23.91 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %"," 16.82 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"," 20.00 %"," 31.17 %","   .00 %","   .00 %"," 10.86 %","  5.00 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.00 %"," 19.03 %","   .00 %"," 22.04 %","   .00 %","   .00 %"," 37.30 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-07","   .00 %"," 26.67 %","   .00 %"," 50.00 %","   .00 %"," 36.67 %","   .00 %","   .00 %"," 28.61 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %"," 20.63 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 22.86 %"," 29.95 %","   .00 %","   .00 %"," 15.86 %"," 12.00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.82 %"," 29.86 %","   .00 %","  9.37 %","   .00 %","   .00 %"," 40.19 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"
"2020-04-08","   .00 %"," 40.00 %","   .00 %"," 58.89 %","   .00 %"," 76.67 %","   .00 %","   .00 %"," 24.80 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 18.63 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 26.19 %"," 24.95 %","   .00 %","   .00 %"," 19.86 %"," 19.50 %","   .00 %","   .00 %","   .00 %","   .00 %"," 12.15 %"," 30.09 %","   .00 %"," 11.44 %","   .00 %","   .00 %"," 45.42 %"," 54.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"
"2020-04-09","   .00 %"," 34.00 %","   .00 %"," 18.89 %","   .00 %"," 56.67 %","   .00 %","   .00 %"," 18.14 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %"," 33.33 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %"," 20.00 %"," 15.24 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 22.86 %"," 29.24 %","   .00 %","   .00 %"," 13.52 %"," 21.32 %","   .00 %","   .00 %","   .00 %","   .00 %"," 12.50 %"," 19.18 %","   .00 %"," 12.97 %","   .00 %","   .00 %"," 31.13 %"," 54.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.00 %"
"2020-04-10","   .00 %"," 37.33 %","   .00 %"," 18.89 %","   .00 %"," 46.67 %","   .00 %","   .00 %"," 15.08 %"," 10.00 %","   .00 %","   .00 %"," 30.00 %","   .00 %"," 39.05 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %"," 20.00 %"," 16.78 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 25.36 %"," 21.95 %"," 10.00 %","   .00 %"," 15.28 %"," 26.32 %","   .00 %","   .00 %","   .00 %","   .00 %"," 12.50 %"," 25.03 %","   .00 %"," 13.97 %","   .00 %","   .00 %"," 33.09 %"," 54.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","-20.00 %","   .00 %","   .00 %"," 30.00 %"
"2020-04-11","   .00 %"," 38.44 %","   .00 %"," 18.89 %","   .00 %"," 58.33 %","   .00 %","   .00 %"," 13.65 %"," 10.00 %","   .00 %","   .00 %"," 30.00 %","   .00 %"," 42.38 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %"," 10.00 %"," 30.00 %"," 21.35 %","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 24.25 %"," 16.35 %"," 16.67 %","   .00 %"," 15.28 %"," 28.98 %","   .00 %","   .00 %","   .00 %","   .00 %"," 15.66 %"," 29.03 %","   .00 %"," 14.05 %","   .00 %","   .00 %"," 25.85 %"," 34.00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-20.00 %","  4.00 %","   .00 %"," 30.00 %"
"2020-04-12","   .00 %"," 28.44 %","   .00 %","  8.89 %","   .00 %"," 52.72 %","   .00 %","   .00 %"," 10.82 %"," 16.67 %","   .00 %","   .00 %"," 30.00 %","   .00 %"," 25.05 %","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %"," 10.00 %"," 36.67 %"," 14.69 %","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 21.39 %"," 11.77 %"," 16.67 %","   .00 %"," 12.78 %"," 16.98 %","   .00 %","   .00 %","   .00 %","   .00 %"," 14.75 %"," 16.69 %","   .00 %"," 10.72 %","   .00 %","   .00 %"," 22.66 %","  4.00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-20.00 %","  4.00 %","   .00 %"," 10.00 %"
"2020-04-13","   .00 %"," 17.22 %","   .00 %","   .00 %","   .00 %"," 13.72 %","   .00 %","   .00 %","  9.68 %"," 16.67 %","   .00 %","   .00 %"," 30.00 %","   .00 %"," 25.05 %","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %"," 10.00 %"," 16.67 %"," 12.71 %","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 12.39 %"," 11.77 %"," 16.67 %"," 20.00 %","  9.89 %"," 14.19 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.29 %"," 12.66 %","   .00 %","  6.43 %","   .00 %","   .00 %"," 17.48 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-20.00 %","  4.00 %","   .00 %"," 10.00 %"
"2020-04-14","   .00 %"," 16.07 %","   .00 %","  1.54 %","   .00 %"," 19.43 %","   .00 %","   .00 %"," 10.43 %"," 21.67 %","   .00 %","   .00 %"," 10.00 %","   .00 %"," 25.24 %","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %"," 16.67 %"," 21.67 %"," 12.54 %","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  8.58 %"," 34.15 %"," 16.67 %"," 20.00 %"," 12.44 %"," 17.13 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.44 %"," 16.05 %","   .00 %","  4.64 %","   .00 %","   .00 %"," 19.16 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-20.00 %","  4.00 %","   .00 %","   .00 %"
"2020-04-15","   .00 %","  7.74 %","   .00 %","  1.54 %","   .00 %"," 20.17 %","   .00 %","   .00 %"," 13.39 %"," 11.67 %","   .00 %","   .00 %"," 20.00 %","   .00 %"," 24.53 %","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %"," 16.67 %"," 21.67 %"," 15.55 %","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.75 %"," 34.08 %"," 11.67 %"," 20.00 %","  9.56 %"," 12.90 %","   .00 %","   .00 %","   .00 %","   .00 %","  8.18 %"," 10.60 %","   .00 %","  3.64 %","   .00 %","   .00 %"," 15.43 %","  3.33 %","   .00 %"," 30.00 %","   .00 %","   .00 %","   .00 %","-10.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 20.67 %","   .00 %","  6.67 %"
"2020-04-16","   .00 %"," 15.86 %","   .00 %","  1.54 %","   .00 %"," 10.65 %","   .00 %","   .00 %"," 13.61 %"," 11.67 %","   .00 %","   .00 %"," 20.00 %","   .00 %"," 12.00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %","  6.67 %"," 19.67 %"," 13.22 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","  7.06 %"," 21.74 %","  5.00 %"," 20.00 %"," 11.96 %"," 10.98 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.73 %","  8.31 %","   .00 %","  1.74 %","   .00 %","   .00 %"," 14.31 %","  3.33 %","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","-10.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 20.30 %","   .00 %","  6.67 %"
"2020-04-17","   .00 %"," 18.49 %"," 20.00 %","  2.97 %","   .00 %"," 11.53 %","   .00 %","   .00 %"," 14.07 %","  5.00 %","   .00 %","   .00 %"," 23.33 %","   .00 %"," 12.41 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.67 %"," 13.00 %"," 13.78 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %","  8.49 %"," 22.09 %","  5.00 %"," 20.00 %"," 10.18 %"," 13.12 %","   .00 %","   .00 %","   .00 %","   .00 %","  4.82 %","  9.10 %","   .00 %","  3.34 %","   .00 %","   .00 %"," 11.19 %","  6.19 %","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 20.30 %","   .00 %","  6.67 %"
"2020-04-18","   .00 %"," 18.25 %"," 20.00 %"," 24.30 %","   .00 %"," 14.06 %","   .00 %","   .00 %"," 14.74 %","  5.00 %","   .00 %","   .00 %"," 26.19 %","   .00 %"," 16.41 %","   .00 %","   .00 %","   .00 %","  6.67 %","   .00 %","  6.67 %"," 18.71 %"," 13.85 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 36.67 %","   .00 %","   .00 %"," 10.82 %"," 22.66 %","  5.00 %"," 20.00 %","  9.06 %","  9.06 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.40 %"," 10.32 %","   .00 %","  4.82 %","   .00 %","   .00 %"," 12.55 %","  6.19 %","   .00 %"," 21.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 20.00 %"," 20.30 %","   .00 %","  6.67 %"
"2020-04-19","   .00 %"," 16.67 %"," 20.00 %"," 23.41 %","   .00 %"," 20.85 %","   .00 %","   .00 %"," 15.56 %","   .00 %","   .00 %","   .00 %"," 26.19 %","   .00 %"," 16.21 %","   .00 %","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %"," 13.71 %"," 15.05 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 36.67 %","   .00 %","   .00 %"," 11.40 %"," 30.44 %","  5.00 %"," 20.00 %","  6.92 %","  5.55 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.26 %"," 17.88 %","   .00 %","  7.91 %","   .00 %","   .00 %"," 12.21 %","  6.19 %","   .00 %"," 21.67 %","   .00 %","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 30.00 %"," 24.92 %","   .00 %"," 16.67 %"
"2020-04-20","   .00 %"," 17.00 %"," 20.00 %"," 25.91 %","   .00 %"," 22.88 %","   .00 %","   .00 %"," 11.63 %","   .00 %","   .00 %","   .00 %","  8.69 %","   .00 %"," 12.16 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %"," 13.71 %"," 10.94 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 36.67 %","   .00 %","   .00 %","  9.73 %"," 26.41 %","   .00 %"," 25.00 %","  5.81 %","  5.96 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.04 %"," 18.74 %","   .00 %","  7.91 %","   .00 %","   .00 %"," 10.93 %","  5.36 %","   .00 %"," 11.67 %","   .00 %","   .00 %","   .00 %"," 46.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 10.00 %","  8.25 %","   .00 %"," 10.00 %"
