"date","New Mexico/Bernalillo","New Mexico/Catron","New Mexico/Chaves","New Mexico/Cibola","New Mexico/Colfax","New Mexico/Curry","New Mexico/De Baca","New Mexico/Dona Ana","New Mexico/Doña Ana","New Mexico/Eddy","New Mexico/Grant","New Mexico/Guadalupe","New Mexico/Harding","New Mexico/Hidalgo","New Mexico/Lea","New Mexico/Lincoln","New Mexico/Los Alamos","New Mexico/Luna","New Mexico/McKinley","New Mexico/Mora","New Mexico/Otero","New Mexico/Quay","New Mexico/Rio Arriba","New Mexico/Roosevelt","New Mexico/San Juan","New Mexico/San Miguel","New Mexico/Sandoval","New Mexico/Santa Fe","New Mexico/Sierra","New Mexico/Socorro","New Mexico/Taos","New Mexico/Torrance","New Mexico/Unassigned","New Mexico/Union","New Mexico/Valencia"
"2020-04-22","  6.01 %","   .00 %","   .00 %","  6.06 %","   .00 %","   .00 %",""," 12.33 %",""," 10.00 %","   .00 %"," ##.## %","","   .00 %"," ##.## %"," ##.## %","   .00 %","   .00 %"," 24.76 %","","   .00 %","   .00 %","   .00 %"," ##.## %"," 15.70 %","   .00 %","  7.57 %","  8.14 %","","  9.68 %","   .00 %","   .00 %","   .00 %","","  6.06 %"
"2020-04-23","  5.17 %","   .00 %","  4.76 %","  8.57 %","   .00 %","   .00 %","","  7.32 %","","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %"," 60.00 %","   .00 %","   .00 %","   .00 %"," 10.40 %",""," 66.67 %"," 33.33 %","   .00 %","   .00 %"," 15.04 %","   .00 %","  1.17 %","  3.23 %",""," 11.76 %","  6.25 %","   .00 %","   .00 %","","  8.57 %"
"2020-04-24","  3.17 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  6.82 %","","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %"," 25.00 %","   .00 %","   .00 %","   .00 %"," 11.52 %","","-20.00 %","   .00 %","  9.09 %","   .00 %","  7.69 %","   .00 %","  3.48 %"," -2.08 %","","  2.63 %","   .00 %","   .00 %","   .00 %","","  7.89 %"
"2020-04-25","  2.92 %","   .00 %","   .00 %","  2.63 %","   .00 %"," 10.00 %",""," 17.02 %","","   .00 %","   .00 %"," 71.43 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.80 %","","   .00 %","   .00 %","   .00 %"," 50.00 %","  3.57 %","   .00 %","  2.24 %","  1.06 %","","  2.56 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-26","  2.69 %","   .00 %","   .00 %","  5.13 %","   .00 %"," 18.18 %","","  5.45 %",""," 18.18 %","   .00 %","  8.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.69 %","","   .00 %","   .00 %"," 16.67 %"," 16.67 %","  1.61 %","   .00 %","  2.47 %","   .00 %","","   .00 %","   .00 %","  7.69 %","   .00 %"," ##.## %","  2.44 %"
"2020-04-27","   .87 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  8.62 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  8.06 %","","   .00 %","   .00 %","   .00 %","   .00 %","  4.75 %","   .00 %","  1.07 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-28","  6.34 %","   .00 %","   .00 %"," 12.20 %","   .00 %","   .00 %","","  2.38 %",""," -7.69 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.40 %","","   .00 %","   .00 %","   .00 %"," 14.29 %","  9.72 %","   .00 %","  1.32 %","  3.16 %","","  2.50 %","   .00 %","  7.14 %","   .00 %","   .00 %","   .00 %"
"2020-04-29","  3.66 %","   .00 %","   .00 %","  2.17 %","   .00 %","   .00 %","","   .78 %","","   .00 %","   .00 %","  7.69 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %"," 16.22 %",""," 25.00 %","   .00 %","   .00 %","   .00 %"," 13.39 %","   .00 %","   .52 %","   .00 %","   .00 %","  2.44 %","   .00 %","   .00 %","   .00 %","   .00 %","  4.76 %"
"2020-04-30","  6.01 %","   .00 %","   .00 %"," 10.64 %","   .00 %"," 30.77 %",""," 10.77 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 25.00 %","  7.76 %","","   .00 %","   .00 %","   .00 %"," 12.50 %","  7.81 %","   .00 %","  1.04 %","  2.04 %","   .00 %","   .00 %","  5.88 %","   .00 %","   .00 %","   .00 %","  2.27 %"
"2020-05-01","  2.34 %","   .00 %","  4.55 %"," 21.15 %","   .00 %","   .00 %","","  2.08 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.60 %","","   .00 %","   .00 %"," 28.57 %","   .00 %","  2.58 %","   .00 %","  1.80 %","   .00 %","   .00 %","  2.38 %","  5.56 %","   .00 %","   .00 %","   .00 %","  4.44 %"
