"date","North Dakota/Adams","North Dakota/Barnes","North Dakota/Benson","North Dakota/Billings","North Dakota/Bottineau","North Dakota/Bowman","North Dakota/Burke","North Dakota/Burleigh","North Dakota/Cass","North Dakota/Cavalier","North Dakota/Dickey","North Dakota/Divide","North Dakota/Dunn","North Dakota/Eddy","North Dakota/Emmons","North Dakota/Foster","North Dakota/Golden Valley","North Dakota/Grand Forks","North Dakota/Grant","North Dakota/Griggs","North Dakota/Hettinger","North Dakota/Kidder","North Dakota/LaMoure","North Dakota/Logan","North Dakota/McHenry","North Dakota/McIntosh","North Dakota/McKenzie","North Dakota/McLean","North Dakota/Mercer","North Dakota/Morton","North Dakota/Mountrail","North Dakota/Nelson","North Dakota/Oliver","North Dakota/Pembina","North Dakota/Pierce","North Dakota/Ramsey","North Dakota/Ransom","North Dakota/Renville","North Dakota/Richland","North Dakota/Rolette","North Dakota/Sargent","North Dakota/Sheridan","North Dakota/Sioux","North Dakota/Slope","North Dakota/Stark","North Dakota/Steele","North Dakota/Stutsman","North Dakota/Towner","North Dakota/Traill","North Dakota/Unassigned","North Dakota/Walsh","North Dakota/Ward","North Dakota/Wells","North Dakota/Williams"
"2020-04-05","","   .00 %","","","","","   .00 %","  5.08 %"," 11.31 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 49.33 %","   .00 %","","","","","","   .00 %","   .00 %"," 30.00 %","   .00 %","-20.00 %","  2.86 %"," 31.03 %","","   .00 %","","   .00 %","   .00 %","","","","-20.00 %","","","   .00 %","   .00 %"," 18.17 %","","","","","   .00 %","   .00 %","  9.87 %",""," 21.67 %"
"2020-04-06","","   .00 %","","","","","   .00 %","  3.56 %"," 14.13 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 19.33 %","   .00 %","","","","","","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %","  4.11 %"," 27.03 %","","   .00 %","","   .00 %","   .00 %","","","","-20.00 %","","","   .00 %"," 20.00 %"," 12.71 %","","","","","   .00 %"," 40.00 %","  6.06 %",""," 11.67 %"
"2020-04-07","","   .00 %","","","","   .00 %","   .00 %","  4.08 %"," 10.38 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 19.33 %","   .00 %","","","","","","   .00 %","   .00 %"," 23.33 %","   .00 %","   .00 %","  5.28 %"," 21.42 %","","   .00 %","","   .00 %","   .00 %","","","","-20.00 %","","","   .00 %"," 30.00 %","  7.00 %","","","","","   .00 %"," 40.00 %","  4.40 %","","  5.00 %"
"2020-04-08","","   .00 %","","","","   .00 %","   .00 %","  5.62 %"," 10.98 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 15.33 %","   .00 %","","","","","","   .00 %","   .00 %"," 23.33 %","   .00 %","   .00 %","  2.43 %"," 13.92 %","","   .00 %","","   .00 %","   .00 %","","","","-20.00 %","","","   .00 %"," 30.00 %","  8.29 %","","   .00 %","","","   .00 %"," 40.00 %","  2.86 %","","   .00 %"
"2020-04-09","","   .00 %","","","","   .00 %","   .00 %","  6.27 %"," 11.67 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  2.00 %","   .00 %","","","","","","   .00 %","   .00 %"," 27.33 %","   .00 %","   .00 %","  3.54 %"," 10.28 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %"," 30.00 %","  5.84 %","","   .00 %","","","   .00 %"," 40.00 %","  6.61 %","","  4.00 %"
"2020-04-10","","   .00 %","","","","   .00 %","   .00 %","  5.38 %"," 10.38 %","","","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %"," 17.33 %","   .00 %","   .00 %","  3.54 %","  1.05 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %"," 30.00 %","  3.11 %","","   .00 %","","","   .00 %"," 40.00 %","  6.61 %","","  4.00 %"
"2020-04-11","","   .00 %","","","","   .00 %","   .00 %","  5.26 %","  7.89 %","","","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %"," 17.33 %","   .00 %","   .00 %","  2.29 %","  2.05 %","","   .00 %","","   .00 %","   .00 %","",""," 20.00 %","   .00 %","   .00 %","","   .00 %"," 10.00 %","  3.80 %","","   .00 %","","","","   .00 %","  4.80 %",""," 10.67 %"
"2020-04-12","","   .00 %","","","","   .00 %","   .00 %","  5.14 %","  8.88 %","","","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %","  4.00 %","   .00 %","   .00 %","  1.11 %","  1.00 %","","   .00 %","","   .00 %","   .00 %","",""," 20.00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  5.14 %","","   .00 %","","","","   .00 %","  4.80 %",""," 10.67 %"
"2020-04-13","","   .00 %","","","","   .00 %","   .00 %","  4.00 %","  8.56 %","","","   .00 %"," 30.00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %"," 10.67 %","   .00 %","   .00 %","  2.16 %","  6.71 %","","   .00 %","","   .00 %","   .00 %","",""," 30.00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  3.99 %","","   .00 %","","","","   .00 %","  4.80 %",""," 10.67 %"
"2020-04-14","","   .00 %","","","","   .00 %","   .00 %","  2.49 %","  8.21 %","","","   .00 %"," 30.00 %","   .00 %","   .00 %","   .00 %","","  1.82 %","   .00 %","","","","","","   .00 %","   .00 %","  6.67 %","   .00 %","   .00 %","  2.05 %","  6.71 %","","   .00 %","","   .00 %","   .00 %","",""," 30.00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  3.27 %","","   .00 %","","","","   .00 %","  1.05 %","","  6.67 %"
"2020-04-15","","   .00 %","","","","   .00 %","   .00 %","  1.62 %","  8.96 %","","","   .00 %"," 10.00 %","   .00 %","   .00 %","   .00 %",""," 15.15 %","   .00 %","","","","","","   .00 %","   .00 %","  9.17 %"," 10.00 %","   .00 %","  2.05 %","  8.20 %","","   .00 %","","   .00 %","   .00 %","",""," 30.00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  3.27 %","","   .00 %","","","","   .00 %","  1.05 %","","  6.67 %"
"2020-04-16","","   .00 %","","","","   .00 %","   .00 %","  1.97 %","  9.89 %","","","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %",""," 18.15 %","   .00 %","","","","","","   .00 %","   .00 %"," 11.39 %"," 10.00 %","   .00 %","  2.05 %","  7.20 %","","   .00 %","","   .00 %","   .00 %","",""," 16.67 %","   .00 %","   .00 %","","   .00 %","   .00 %","  4.35 %","","   .00 %","","","","   .00 %","   .00 %","","   .00 %"
"2020-04-17","","   .00 %","","","","   .00 %","   .00 %","  1.56 %","  7.36 %","","","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %",""," 18.15 %","   .00 %","","","","","","   .00 %","   .00 %"," 11.39 %"," 10.00 %","   .00 %","  2.05 %","  7.20 %","","   .00 %","","   .00 %","   .00 %","",""," 16.67 %","   .00 %","   .00 %","","   .00 %","   .00 %","  3.01 %","","   .00 %","","","","   .00 %","   .00 %","","   .00 %"
"2020-04-18",""," 10.00 %","","","","   .00 %","   .00 %","  3.75 %"," 11.60 %","","","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %",""," 84.24 %","   .00 %","","","","","","   .00 %","   .00 %","  4.72 %"," 10.00 %","   .00 %","  1.00 %","  1.48 %","","   .00 %","","   .00 %","   .00 %","",""," 11.67 %","   .00 %","   .00 %","","   .00 %","   .00 %","  2.31 %","","   .00 %","","","","   .00 %","   .00 %","","  5.00 %"
"2020-04-19",""," 10.00 %","","","","   .00 %","   .00 %","  4.02 %"," 11.91 %","","","   .00 %"," 26.67 %","   .00 %","   .00 %","   .00 %",""," 89.29 %","   .00 %","","","","","","   .00 %","   .00 %","  4.72 %"," 10.00 %","   .00 %","   .95 %","  2.17 %","   .00 %","   .00 %","","   .00 %","   .00 %","",""," 11.67 %","   .00 %","   .00 %","","   .00 %","   .00 %","  2.83 %","","   .00 %","","","","   .00 %","   .00 %","","  3.00 %"
"2020-04-20",""," 10.00 %","","","","   .00 %","   .00 %","  4.02 %"," 13.17 %","","","   .00 %"," 28.89 %","   .00 %","   .00 %","   .00 %",""," 76.71 %","   .00 %","","","","","","   .00 %","   .00 %","  2.22 %","   .00 %","   .00 %","   .95 %","   .69 %","   .00 %","   .00 %","","   .00 %","   .00 %","",""," 11.67 %","   .00 %","   .00 %","","   .00 %","   .00 %","  2.83 %",""," 40.00 %","","","","   .00 %","   .00 %","","  3.00 %"
"2020-04-21",""," 10.00 %","","","","   .00 %","   .00 %","  3.25 %"," 11.38 %","","","   .00 %"," 22.22 %","   .00 %","   .00 %","   .00 %",""," 74.43 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.86 %","  1.36 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","  5.00 %","   .00 %","   .00 %",""," 20.00 %","   .00 %","  1.07 %",""," 40.00 %","","","","   .00 %","   .00 %","","  3.00 %"
"2020-04-22",""," 10.00 %","","","","   .00 %","   .00 %","  3.88 %"," 12.87 %","","","   .00 %"," 22.22 %","   .00 %","   .00 %","   .00 %",""," 75.97 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.86 %","  1.36 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","  9.00 %","   .00 %","   .00 %",""," 10.00 %","   .00 %","  1.58 %",""," 40.00 %","","","","   .00 %","  1.00 %","   .00 %","  3.00 %"
"2020-04-23","","   .00 %","","","","   .00 %"," 10.00 %","  1.91 %","  8.12 %","","","   .00 %"," 12.22 %","   .00 %","   .00 %","   .00 %",""," 10.92 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.86 %","  2.65 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","  7.33 %","   .00 %","   .00 %",""," 10.00 %","   .00 %","  1.04 %",""," 40.00 %","","","   .00 %","   .00 %","  1.00 %","   .00 %"," -2.00 %"
"2020-04-24","","   .00 %","","","","   .00 %"," 10.00 %","  1.55 %","  8.53 %","","","   .00 %","  2.22 %","   .00 %","   .00 %","   .00 %","","  5.04 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .91 %","  1.96 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","  7.33 %","   .00 %","   .00 %",""," 10.00 %","   .00 %","   .51 %",""," 40.00 %","","","   .00 %","  6.67 %","  1.00 %","   .00 %","  2.22 %"
"2020-04-25","","  6.67 %","","","","   .00 %"," 10.00 %","  3.31 %","  7.77 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  4.64 %","   .00 %","","","","","","   .00 %","   .00 %","  4.00 %","   .00 %","   .00 %","  1.78 %","  1.96 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","  7.33 %","   .00 %","   .00 %",""," 10.00 %","   .00 %","   .51 %","","  6.67 %","","","   .00 %","  6.67 %","  1.00 %"," 20.00 %","  2.22 %"
"2020-04-26","","  6.67 %","","","","   .00 %"," 10.00 %","  3.31 %","  9.28 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  6.46 %","   .00 %","","","","","","   .00 %","   .00 %","  4.00 %","   .00 %","   .00 %","   .87 %","  1.29 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  7.33 %","   .00 %","   .00 %","","-10.00 %","   .00 %","  1.01 %","","  6.67 %","","","   .00 %","  6.67 %","  1.00 %"," 20.00 %","  2.22 %"
"2020-04-27","","  6.67 %","","","","   .00 %"," 10.00 %","  2.68 %","  9.51 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  8.62 %","   .00 %","","","","","","   .00 %","   .00 %","  4.00 %","   .00 %","   .00 %","   .87 %","  1.90 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.67 %","   .00 %","","  3.33 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .50 %","","  6.67 %","","","   .00 %"," 21.67 %","   .00 %"," 20.00 %","  2.22 %"
"2020-04-28","","  6.67 %","","","","   .00 %","   .00 %","  2.06 %"," 10.24 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  7.84 %","   .00 %","","","","","","   .00 %","   .00 %","  4.00 %","   .00 %","   .00 %","   .87 %","  1.19 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.67 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  1.96 %",""," 11.67 %","","","   .00 %"," 21.67 %","   .00 %"," 20.00 %","  2.22 %"
"2020-04-29","","  6.67 %","","","","   .00 %","   .00 %","  2.31 %","  9.16 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  8.30 %","   .00 %","","","","","","   .00 %","   .00 %","  5.67 %","   .00 %","   .00 %","   .87 %","  1.19 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.67 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  2.87 %",""," 15.67 %","","","   .00 %"," 15.00 %","   .00 %"," 20.00 %","   .00 %"
"2020-04-30","","   .00 %","","","","   .00 %","   .00 %","   .80 %","  7.56 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  8.51 %","   .00 %","","","","","","   .00 %","   .00 %","  1.67 %","   .00 %","   .00 %","   .00 %","  1.19 %","   .00 %","   .00 %"," 40.00 %","   .00 %","  1.67 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  4.18 %","","  9.00 %","","","   .00 %"," 15.00 %","   .00 %","   .00 %","   .00 %"
"2020-05-01","","   .00 %","","","","   .00 %","   .00 %","  1.32 %","  6.45 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  6.27 %","   .00 %","","","","","","   .00 %","   .00 %","  1.67 %","   .00 %","   .00 %","   .00 %","  1.19 %","   .00 %","   .00 %"," 40.00 %","   .00 %","  1.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  4.90 %",""," 12.33 %","","","   .00 %"," 15.00 %","   .00 %","   .00 %","   .00 %"
"2020-05-02","","   .00 %","","","","   .00 %","   .00 %","  1.58 %","  5.84 %","","","   .00 %","  2.00 %","   .00 %","   .00 %","   .00 %","","  2.81 %","   .00 %","","","","","","   .00 %","   .00 %","  1.67 %"," 13.33 %","   .00 %","   .00 %","   .59 %","   .00 %","   .00 %"," 40.00 %","   .00 %"," -5.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  5.67 %",""," 20.90 %","","","   .00 %","   .00 %","  3.81 %","   .00 %","   .00 %"
"2020-05-03","","   .00 %","","","","   .00 %","   .00 %","  1.58 %","  5.09 %","","","   .00 %","  2.00 %","   .00 %","   .00 %","   .00 %","","  2.70 %","   .00 %","","","","","","   .00 %","   .00 %","  1.67 %"," 13.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 40.00 %","   .00 %"," -5.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  4.58 %",""," 17.90 %","","","   .00 %","   .00 %","  3.81 %","   .00 %","  2.00 %"
"2020-05-04","","   .00 %","","","","   .00 %","   .00 %","  1.79 %","  5.07 %","","","   .00 %","  2.00 %","   .00 %","   .00 %","   .00 %","","  1.40 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %"," 13.33 %","   .00 %","  1.67 %","   .00 %","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  4.40 %",""," 13.90 %","","","   .00 %","   .00 %","  3.81 %","   .00 %","  2.00 %"
"2020-05-05","","   .00 %","","","","   .00 %"," 13.33 %","  3.69 %","  4.63 %","","","   .00 %","  2.00 %","   .00 %","   .00 %","   .00 %","","   .91 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %"," 13.33 %","   .00 %","  8.59 %","   .00 %","   .00 %","   .00 %","  6.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  3.09 %",""," 15.72 %","","","   .00 %","   .00 %","  3.81 %","   .00 %","  5.64 %"
"2020-05-06","","   .00 %","","","","   .00 %"," 13.33 %","  5.35 %","  4.84 %","","","   .00 %","  2.00 %","   .00 %","   .00 %","   .00 %","","   .68 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %"," 13.33 %","   .00 %","  8.59 %","   .57 %","   .00 %","   .00 %","  6.67 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","","   .00 %","   .00 %","  1.87 %",""," 12.39 %","","","   .00 %","   .00 %","  3.81 %","   .00 %","  5.64 %"
"2020-05-07","","   .00 %","   .00 %","","","   .00 %"," 13.33 %","  5.09 %","  4.40 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .74 %","   .00 %","","","","","","   .00 %","   .00 %","  3.08 %","   .00 %","   .00 %","  8.59 %","   .02 %","   .00 %","   .00 %"," 11.67 %"," 10.00 %"," 13.33 %"," 20.00 %","   .00 %","  2.86 %"," 20.00 %"," 30.00 %","","   .00 %","   .00 %","  2.15 %","","  3.82 %","","   .00 %","   .00 %","  2.86 %","   .80 %","   .00 %"," 13.33 %"
"2020-05-08","","   .00 %","   .00 %","","","   .00 %"," 13.33 %","  5.29 %","  4.46 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  1.10 %","   .00 %","","","","","","   .00 %","   .00 %","  3.08 %","   .00 %","   .00 %","  8.59 %","  1.16 %","   .00 %","   .00 %"," 15.67 %"," 10.00 %"," 13.33 %"," 20.00 %","   .00 %","  2.86 %"," 20.00 %"," 30.00 %","","   .00 %","   .00 %","  1.78 %","","  1.82 %","","   .00 %","   .00 %","  2.86 %","   .80 %","   .00 %"," 11.33 %"
"2020-05-09","","   .00 %","   .00 %","","","   .00 %"," 13.33 %","  4.54 %","  4.40 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  1.09 %","   .00 %","","","","",""," 20.00 %","   .00 %","  3.08 %","   .00 %","   .00 %","  6.92 %","  1.16 %","   .00 %","   .00 %"," 15.67 %"," 10.00 %"," 21.33 %"," 30.00 %","   .00 %","  2.86 %"," 30.00 %"," 30.00 %","","   .00 %","   .00 %","  1.39 %","","  3.48 %","","   .00 %","   .00 %","  2.86 %","  1.57 %","   .00 %"," 11.33 %"
"2020-05-10","","   .00 %","   .00 %","","","   .00 %","   .00 %","  2.37 %","  4.61 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  1.09 %","   .00 %","","","","",""," 20.00 %","   .00 %","  3.08 %","   .00 %","   .00 %","   .57 %","  1.16 %","   .00 %","   .00 %","  9.00 %"," 10.00 %"," 21.33 %"," 30.00 %","   .00 %","  5.36 %"," 30.00 %"," 30.00 %","","   .00 %","   .00 %","  1.39 %","","  1.67 %","","   .00 %","   .00 %","  2.86 %","  1.57 %","   .00 %","  7.69 %"
"2020-05-11","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .39 %","  3.67 %","","","   .00 %","  1.82 %"," 20.00 %","   .00 %","   .00 %","","  1.16 %"," 20.00 %","","","","",""," 20.00 %","   .00 %","  3.08 %","   .00 %","  6.67 %","  1.13 %","   .59 %","   .00 %","   .00 %","  9.00 %"," 10.00 %"," 21.33 %"," 10.00 %","   .00 %","  5.36 %"," 30.00 %"," 10.00 %","","   .00 %","   .00 %","  1.39 %","","  4.74 %","","   .00 %","   .00 %","  2.86 %","  1.57 %","   .00 %","  8.80 %"
"2020-05-12","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .58 %","  4.09 %","","","   .00 %","   .15 %"," 20.00 %","   .00 %","   .00 %","","  1.28 %"," 20.00 %","","","","",""," 20.00 %","   .00 %","   .00 %","   .00 %","  6.67 %","  1.13 %","  1.14 %","   .00 %","   .00 %","  4.00 %","   .00 %","  8.00 %"," 10.00 %","   .00 %","   .28 %"," 10.00 %","   .00 %","","   .00 %","   .00 %","   .33 %","","  6.08 %","","   .00 %","   .00 %","   .00 %","  1.51 %","   .00 %","  2.16 %"
