"date","Hawaii/Hawaii","Hawaii/Honolulu","Hawaii/Kalawao","Hawaii/Kauai","Hawaii/Maui","Hawaii/Out of HI","Hawaii/Unassigned"
"2020-06-04","   .00 %","   .14 %","","   .00 %","   .00 %","  2.00 %","   .00 %"
"2020-06-05","   .00 %","   .47 %","","  1.00 %","   .00 %","  2.00 %","   .00 %"
"2020-06-06","   .00 %","   .84 %","","  1.00 %","   .00 %","  3.82 %","   .00 %"
"2020-06-07","   .00 %","   .89 %","","  1.00 %","   .00 %","  3.82 %","   .00 %"
"2020-06-08","   .00 %","   .89 %","","  1.00 %","   .17 %","  3.82 %","   .00 %"
"2020-06-09","   .00 %","  1.11 %","","  1.00 %","   .17 %","  1.82 %","   .00 %"
"2020-06-10","   .00 %","   .91 %","","   .00 %","   .00 %","  1.82 %","   .00 %"
"2020-06-11","   .00 %","   .85 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-12","   .00 %","  1.37 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-13","   .00 %","  2.05 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-14","   .25 %","  1.94 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-15","   .25 %","  2.13 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-16","   .25 %","  1.82 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-17","   .49 %","  1.49 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-18","   .49 %","  1.48 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-19","   .24 %","  2.26 %","","   .95 %","   .17 %","   .00 %","   .00 %"
"2020-06-20","   .24 %","  1.94 %","","   .95 %","   .17 %","   .00 %","   .00 %"
"2020-06-21","   .73 %","  2.48 %","","  7.32 %","   .33 %","   .00 %","   .00 %"
"2020-06-22","   .48 %","  2.27 %","","  7.32 %","   .33 %","   .00 %","   .00 %"
"2020-06-23","   .48 %","  1.67 %","","  7.32 %","   .33 %","   .00 %","   .00 %"
"2020-06-24","   .72 %","  1.18 %","","  6.36 %","   .17 %","  3.33 %","   .00 %"
"2020-06-25","   .72 %","  1.55 %","","  9.81 %","   .17 %","  3.33 %","   .00 %"
"2020-06-26","   .24 %","  1.45 %","","  3.45 %","   .00 %","  6.19 %","   .00 %"
"2020-06-27","   .24 %","  1.54 %","","  4.04 %","   .00 %","  6.19 %","   .00 %"
"2020-06-28","   .47 %","  2.18 %","","  5.18 %","   .16 %","  6.19 %","   .00 %"
"2020-06-29","   .23 %","  1.79 %","","  5.18 %","   .00 %","  2.86 %","   .00 %"
"2020-06-30","   .23 %","  1.85 %","","  2.27 %","   .17 %","  2.86 %","   .00 %"
"2020-07-01","   .23 %","  1.63 %","","  2.27 %","   .49 %","  1.25 %","-20.00 %"
"2020-07-02","   .92 %","  1.98 %","","  1.68 %","   .49 %","  1.25 %","-20.00 %"
"2020-07-03","   .91 %","  1.97 %","","   .54 %","   .65 %","  2.43 %","-20.00 %"
"2020-07-04","  1.35 %","  2.45 %","","  1.59 %","   .97 %","  2.43 %","-20.00 %"
"2020-07-05","  1.35 %","  2.68 %","","  1.05 %","   .80 %","  2.43 %","-20.00 %"
"2020-07-06","  1.57 %","  2.63 %","","  1.05 %","   .48 %","  1.18 %","   .00 %"
"2020-07-07","  1.09 %","  3.12 %","","  2.05 %","   .48 %","  1.18 %","   .00 %"
"2020-07-08","  1.08 %","  2.89 %","","  2.05 %","   .47 %","   .00 %","   .00 %"
"2020-07-09","   .85 %","  3.19 %","","  1.48 %","   .31 %","   .00 %","   .00 %"
"2020-07-10","  1.05 %","  3.12 %","","  1.48 %","   .47 %","  1.11 %","   .00 %"
"2020-07-11","  1.25 %","  3.83 %","","  1.48 %","   .77 %","  1.11 %","   .00 %"
"2020-07-12","  1.23 %","  3.22 %","","   .48 %","   .92 %","  1.11 %","   .00 %"
"2020-07-13","  1.22 %","  3.12 %","","   .48 %","   .76 %","  3.22 %","   .00 %"
"2020-07-14","  1.60 %","  2.66 %","","   .00 %","   .76 %","  3.22 %","   .00 %"
"2020-07-15","  1.78 %","  2.61 %","","   .00 %","   .60 %","  2.11 %","   .00 %"
"2020-07-16","  1.37 %","  2.06 %","","   .00 %","   .30 %","  2.11 %","   .00 %"
"2020-07-17","  1.54 %","  2.12 %","","   .00 %","   .15 %","  3.06 %","-20.00 %"
"2020-07-18","  1.71 %","  2.00 %","","   .00 %","   .00 %","   .95 %","-20.00 %"
"2020-07-19","  1.48 %","  2.10 %","","   .00 %","   .00 %","   .95 %","-20.00 %"
"2020-07-20","  1.28 %","  1.82 %","","   .00 %","   .00 %","   .95 %","-40.00 %"
"2020-07-21","  1.28 %","  1.88 %","","   .00 %","   .59 %","   .95 %","-40.00 %"
"2020-07-22","   .90 %","  1.73 %","","   .00 %","   .59 %","   .00 %","-20.00 %"
"2020-07-23","  1.06 %","  2.34 %","","   .00 %","   .88 %","   .00 %","-20.00 %"
"2020-07-24","   .70 %","  2.85 %","","   .00 %","   .88 %","   .91 %","-20.00 %"
"2020-07-25","   .53 %","  3.67 %","","   .00 %","  1.59 %","   .91 %","   .00 %"
"2020-07-26","   .53 %","  4.11 %","","   .93 %","  1.96 %","   .91 %","   .00 %"
"2020-07-27","   .53 %","  4.22 %","","   .93 %","  1.96 %","   .91 %","   .00 %"
"2020-07-28","  -.17 %","  3.99 %","","   .93 %","  1.80 %","   .91 %","   .00 %"
"2020-07-29","  -.17 %","  4.37 %","","  1.82 %","  2.97 %","   .00 %","   .00 %"
"2020-07-30","  -.34 %","  4.89 %","","  1.82 %","  2.75 %","   .00 %","   .00 %"
"2020-07-31","  -.34 %","  5.49 %","","   .89 %","  2.27 %","   .00 %","   .00 %"
"2020-08-01","  -.34 %","  6.07 %","","   .89 %","  2.15 %","   .00 %","   .00 %"
"2020-08-02","  -.17 %","  5.87 %","","   .89 %","  2.14 %","   .00 %","   .00 %"
"2020-08-03","   .18 %","  6.60 %","","   .00 %","  1.79 %","   .00 %","   .00 %"
"2020-08-04","  1.20 %","  6.32 %","","   .00 %","  1.30 %","   .00 %","   .00 %"
"2020-08-05","  1.20 %","  6.44 %","","   .00 %","   .71 %","   .00 %","   .00 %"
"2020-08-06","  1.37 %","  6.68 %","","   .00 %","  1.16 %","   .00 %","   .00 %"
"2020-08-07","  1.37 %","  7.77 %","","   .00 %","  1.16 %","   .00 %","   .00 %"
"2020-08-08","  1.83 %","  7.31 %","","   .00 %","   .67 %","   .00 %","   .00 %"
"2020-08-09","  1.45 %","  6.98 %","","   .43 %","   .78 %","   .00 %","   .00 %"
"2020-08-10","  1.45 %","  6.31 %","","   .84 %","  1.00 %","   .00 %","   .00 %"
"2020-08-11","  1.59 %","  5.77 %","","   .84 %","  1.09 %","   .00 %","   .00 %"
"2020-08-12","  1.89 %","  5.37 %","","  1.66 %","  1.08 %","   .00 %","   .00 %"
"2020-08-13","  1.67 %","  5.66 %","","  2.05 %","  1.49 %","   .00 %","   .00 %"
"2020-08-14","  1.92 %","  5.78 %","","  2.01 %","  2.18 %","   .00 %","   .00 %"
"2020-08-15","  2.06 %","  6.22 %","","  1.97 %","  2.76 %","   .00 %","   .00 %"
"2020-08-16","  2.17 %","  6.45 %","","  1.97 %","  3.55 %","   .00 %","   .00 %"
"2020-08-17","  2.00 %","  5.99 %","","  1.15 %","  4.24 %","   .00 %","   .00 %"
"2020-08-18","  1.81 %","  4.59 %","","   .76 %","  4.10 %","   .00 %","   .00 %"
"2020-08-19","  2.01 %","  4.43 %","","   .38 %","  4.95 %","   .00 %","   .00 %"
"2020-08-20","  2.50 %","  4.00 %","","   .00 %","  4.34 %","   .00 %","   .00 %"
"2020-08-21","  3.67 %","  3.86 %","","   .74 %","  3.58 %","   .00 %","   .00 %"
"2020-08-22","  5.23 %","  4.08 %","","   .74 %","  3.52 %","   .00 %","   .00 %"
"2020-08-23","  5.66 %","  4.34 %","","   .74 %","  3.72 %","   .00 %","   .00 %"
"2020-08-24","  5.64 %","  3.88 %","","   .74 %","  2.75 %","   .00 %","   .00 %"
