"date","Louisiana/Acadia","Louisiana/Allen","Louisiana/Ascension","Louisiana/Assumption","Louisiana/Avoyelles","Louisiana/Beauregard","Louisiana/Bienville","Louisiana/Bossier","Louisiana/Caddo","Louisiana/Calcasieu","Louisiana/Caldwell","Louisiana/Cameron","Louisiana/Catahoula","Louisiana/Claiborne","Louisiana/Concordia","Louisiana/De Soto","Louisiana/East Baton Rouge","Louisiana/East Carroll","Louisiana/East Feliciana","Louisiana/Evangeline","Louisiana/Franklin","Louisiana/Grant","Louisiana/Iberia","Louisiana/Iberville","Louisiana/Jackson","Louisiana/Jefferson","Louisiana/Jefferson Davis","Louisiana/LaSalle","Louisiana/Lafayette","Louisiana/Lafourche","Louisiana/Lincoln","Louisiana/Livingston","Louisiana/Madison","Louisiana/Morehouse","Louisiana/Natchitoches","Louisiana/Orleans","Louisiana/Ouachita","Louisiana/Out of LA","Louisiana/Plaquemines","Louisiana/Pointe Coupee","Louisiana/Rapides","Louisiana/Red River","Louisiana/Richland","Louisiana/Sabine","Louisiana/St. Bernard","Louisiana/St. Charles","Louisiana/St. Helena","Louisiana/St. James","Louisiana/St. John the Baptist","Louisiana/St. Landry","Louisiana/St. Martin","Louisiana/St. Mary","Louisiana/St. Tammany","Louisiana/Tangipahoa","Louisiana/Tensas","Louisiana/Terrebonne","Louisiana/Unassigned","Louisiana/Union","Louisiana/Vermilion","Louisiana/Vernon","Louisiana/Washington","Louisiana/Webster","Louisiana/West Baton Rouge","Louisiana/West Carroll","Louisiana/West Feliciana","Louisiana/Winn"
"2020-04-06","4","12","61","18","3","4","2","6","64","20","1","","3","7","4","2","160","0","12","4","3","2","14","14","3","442","8","2","13","77","1","12","0","5","8","499","48","","8","7","10","0","1","2","25","25","3","12","21","5","13","6","77","15","","34","17","7","1","0","11","2","5","1","11","0"
"2020-04-07","3","6","11","7","5","0","3","7","45","27","2","1","1","0","2","7","76","0","0","0","0","0","6","24","1","392","4","0","12","17","3","15","1","5","2","377","34","","15","2","19","0","2","0","22","25","2","9","49","8","11","3","63","52","","12","1","7","2","1","8","-1","7","0","1","1"
"2020-04-08","4","7","8","5","3","0","0","13","47","5","1","0","1","3","1","2","43","0","0","2","2","0","8","11","0","170","3","2","13","33","2","5","0","3","1","128","11","","8","1","6","1","0","0","15","18","0","5","17","26","11","5","33","31","","15","0","2","3","0","6","1","2","0","1","2"
"2020-04-09","3","1","4","5","8","3","7","12","103","18","4","0","3","5","1","10","65","0","20","6","7","0","11","16","2","388","2","1","18","38","4","4","0","1","2","172","25","","6","5","13","2","3","1","21","34","1","10","45","4","15","8","44","14","","24","2","4","0","0","13","4","3","0","6","2"
"2020-04-10","5","1","27","11","0","1","3","4","44","19","0","0","1","2","3","6","88","0","6","4","3","1","13","11","1","198","2","0","27","33","5","4","0","3","6","174","26","","1","6","8","2","2","0","18","14","0","3","30","13","13","11","48","22","","11","3","2","0","2","17","2","4","2","3","1"
"2020-04-11","4","4","18","4","5","0","3","3","24","20","0","1","2","1","1","7","70","0","2","-1","7","0","7","16","0","199","3","1","7","28","4","2","0","4","0","119","24","","6","2","3","2","1","0","15","25","2","3","31","6","6","5","20","13","1","4","0","4","2","1","6","3","5","1","4","1"
"2020-04-12","1","2","13","7","0","0","3","8","44","11","0","0","1","0","1","10","65","0","4","2","1","0","8","18","0","113","9","1","17","14","2","11","0","0","8","65","17","","1","3","6","2","0","1","3","3","0","7","7","4","11","8","19","26","0","7","0","2","2","0","5","2","2","0","1","3"
"2020-04-13","2","1","4","4","3","1","4","2","15","9","0","0","0","0","1","1","50","0","2","2","1","1","6","9","0","98","3","2","6","13","0","2","0","1","0","51","17","","3","4","3","1","1","0","8","6","1","3","11","1","5","14","17","8","0","5","2","1","0","0","9","3","4","0","0","0"
"2020-04-14","3","0","6","3","1","0","0","19","64","5","0","0","0","0","0","5","22","0","4","1","0","0","6","12","1","100","0","0","3","5","3","7","0","0","1","67","3","","2","2","7","1","0","1","8","50","0","1","6","1","6","2","17","39","0","5","0","2","1","0","6","0","4","0","0","0"
"2020-04-15","1","0","2","6","-1","2","5","4","21","9","0","0","1","3","2","4","30","0","4","1","4","0","11","3","2","77","1","0","12","13","-1","4","0","0","0","51","24","","5","4","4","0","1","0","6","16","0","2","7","1","6","1","26","27","0","8","0","6","0","0","11","4","2","0","1","0"
"2020-04-16","3","4","11","3","2","3","3","9","36","18","1","0","1","3","0","6","64","0","3","1","5","0","5","2","1","81","0","0","12","29","2","3","0","2","3","78","18","","2","7","13","2","1","1","5","10","3","4","40","2","5","4","20","4","0","10","0","11","1","0","6","2","3","0","8","5"
"2020-04-17","2","1","17","5","2","2","13","10","66","9","0","0","0","1","2","5","35","0","6","1","9","0","11","9","2","130","4","0","9","14","4","6","2","0","5","59","41","","3","2","4","3","5","2","16","-15","1","2","14","1","5","3","17","13","0","10","0","4","0","0","5","3","2","0","5","-1"
"2020-04-18","0","0","28","6","0","0","7","0","24","0","-4","0","0","2","2","7","52","0","0","1","11","0","1","3","0","67","1","0","18","18","2","2","0","1","3","47","13","","4","2","5","1","0","0","5","16","1","1","14","14","3","6","26","5","0","17","1","4","2","0","4","2","3","0","14","0"
"2020-04-19","0","0","12","3","1","0","1","3","17","14","0","1","1","0","1","4","36","0","3","0","3","0","8","4","0","49","2","0","5","6","0","4","0","2","4","47","28","","1","5","9","1","6","0","2","1","0","1","5","1","3","6","24","2","0","10","1","3","0","0","3","0","2","0","0","3"
"2020-04-20","4","0","4","0","0","1","0","0","15","1","0","0","0","0","0","2","22","0","2","0","2","0","10","8","1","169","0","1","4","7","2","1","0","1","1","148","7","","7","2","0","1","1","0","12","20","1","4","27","2","3","7","46","10","0","22","1","1","3","0","4","2","2","0","4","0"
"2020-04-21","0","0","3","5","0","0","0","8","34","10","0","0","0","0","0","10","26","0","6","0","4","0","1","-1","0","41","2","0","6","3","1","9","0","1","0","21","14","","0","9","3","0","4","1","5","8","1","6","17","0","0","4","10","37","0","4","0","3","0","0","11","1","0","0","3","0"
"2020-04-22","3","1","18","3","2","0","3","5","22","7","0","0","0","0","1","3","43","4","1","1","8","0","22","16","1","58","0","1","6","7","6","3","1","2","4","40","20","","0","4","4","1","4","0","2","6","1","3","18","4","9","2","12","5","0","4","1","3","0","0","8","0","0","0","1","0"
"2020-04-23","0","1","3","4","0","-1","0","9","57","11","2","0","0","0","0","5","33","0","4","0","13","-1","11","2","5","69","0","0","4","20","4","4","0","4","0","54","27","","1","2","3","0","3","-1","5","7","1","4","17","14","8","6","32","7","0","7","2","4","0","0","11","2","0","0","2","0"
"2020-04-24","12","0","15","8","-2","0","0","3","18","4","0","0","1","2","1","4","61","1","-1","0","0","0","3","40","1","56","0","2","1","4","2","7","0","1","3","23","19","","1","2","8","0","2","0","5","7","0","2","15","3","8","3","20","7","0","6","1","6","0","1","7","-1","3","0","5","1"
"2020-04-25","1","1","6","6","0","0","1","7","25","4","0","0","0","0","2","4","23","0","2","1","5","0","9","94","3","22","2","1","2","3","5","5","2","0","8","11","11","","2","1","11","0","1","0","3","4","4","0","11","6","1","7","7","18","0","3","0","7","1","1","9","2","-1","0","8","0"
"2020-04-26","0","0","11","1","0","0","2","5","16","3","0","0","0","0","0","1","19","0","1","0","3","0","3","0","0","52","0","1","1","14","3","5","0","0","0","45","13","","0","0","8","0","0","0","3","2","0","2","2","0","2","1","24","2","0","5","1","0","0","0","4","1","-1","0","6","0"
"2020-04-27","0","5","6","2","0","1","1","4","22","6","0","0","0","0","1","2","32","0","8","0","3","1","2","9","5","45","2","2","0","8","7","1","0","2","4","23","23","","0","5","2","0","4","0","3","7","0","0","2","4","2","2","10","7","0","4","0","1","1","0","8","0","3","0","1","2"
"2020-04-28","0","3","2","2","2","1","0","3","27","8","0","0","0","1","1","2","16","2","2","1","2","0","2","1","0","31","0","0","3","3","1","2","0","0","0","15","6","","0","4","6","1","1","3","3","5","1","1","7","3","3","1","12","5","0","7","-3","5","0","0","3","2","0","0","5","4"
"2020-04-29","0","0","11","1","0","0","1","8","28","9","1","0","10","1","4","2","43","0","1","3","2","0","1","5","4","38","1","1","5","16","3","5","0","3","2","40","20","","4","0","4","1","3","0","9","9","0","3","7","2","2","3","21","9","0","7","0","6","0","0","5","0","2","0","2","6"
"2020-04-30","0","0","6","4","0","2","3","1","15","3","0","0","1","5","2","-1","44","1","3","0","2","1","9","2","0","24","0","1","4","0","2","7","0","1","5","32","35","","5","1","6","1","2","1","3","7","0","3","3","8","4","6","15","4","0","48","0","3","0","0","1","0","2","0","4","0"
"2020-05-01","3","0","34","7","2","3","0","1","39","48","2","0","4","0","1","4","115","0","6","2","5","1","4","9","6","108","1","3","8","10","0","32","0","0","2","43","24","","2","5","5","4","8","0","5","3","0","1","3","1","9","2","50","12","0","13","2","8","2","0","11","7","10","0","14","6"
"2020-05-02","0","0","9","5","-1","0","-1","5","22","12","0","0","4","0","0","4","65","0","0","8","1","1","4","13","0","57","1","0","1","5","3","6","1","2","1","29","25","","1","-3","3","3","7","0","5","4","2","0","1","4","3","6","51","19","1","6","0","6","1","0","9","0","2","0","13","3"
"2020-05-03","1","0","8","3","2","1","0","3","9","6","11","0","1","-1","0","0","32","0","1","0","0","0","2","4","2","26","0","0","2","3","2","3","0","1","0","14","15","","0","2","8","0","1","0","1","5","0","3","0","1","0","6","4","0","0","3","0","4","0","0","3","0","0","0","7","1"
"2020-05-04","0","0","3","4","0","0","2","5","19","9","8","0","1","0","1","4","45","-1","1","1","8","2","3","6","5","38","1","1","2","12","4","5","0","0","3","19","15","","1","5","19","1","8","0","5","2","1","3","5","5","0","4","16","4","0","7","0","8","0","0","6","0","1","0","4","2"
"2020-05-05","2","0","10","1","-1","0","0","0","10","6","1","0","0","0","1","0","44","1","1","3","1","0","4","2","1","65","0","0","5","5","2","4","0","0","0","18","8","","0","6","8","1","2","0","22","5","1","1","5","7","3","3","28","17","0","3","0","1","2","1","1","3","4","0","3","2"
"2020-05-06","4","0","7","1","1","1","0","3","28","5","1","0","0","0","1","3","49","2","1","0","6","0","4","5","8","63","1","2","4","6","3","19","0","0","1","33","13","","2","3","8","0","2","0","3","1","0","2","8","4","5","3","37","26","0","7","0","4","0","0","6","1","3","0","2","1"
"2020-05-07","2","0","8","3","0","0","0","4","23","3","0","0","0","0","0","2","32","3","0","1","-1","0","3","3","1","34","0","1","2","1","2","2","0","2","0","18","8","","2","3","0","0","5","0","3","4","0","0","1","1","2","7","9","4","1","23","0","3","0","0","10","1","0","0","16","1"
"2020-05-08","0","0","3","0","0","0","-1","1","22","3","6","0","13","0","1","1","28","1","1","3","1","0","2","1","1","22","0","1","2","5","2","0","0","0","1","19","6","","0","5","22","0","4","0","0","-1","0","1","0","1","1","2","1","10","0","2","0","2","0","0","4","0","1","0","2","1"
"2020-05-09","9","0","14","2","0","2","0","2","31","9","1","0","24","1","0","5","64","2","3","0","42","1","2","2","1","69","1","2","17","8","3","9","4","3","6","29","16","","4","1","13","2","4","0","4","0","3","0","10","7","2","18","31","7","3","22","1","9","1","1","23","0","3","0","7","2"
"2020-05-10","-3","0","5","20","0","0","0","0","8","3","0","0","2","0","0","1","26","0","-1","0","18","0","0","4","5","30","0","0","3","5","0","1","0","2","2","8","6","","1","0","11","0","1","0","1","1","0","0","0","4","0","3","5","2","0","0","0","3","0","0","2","1","1","0","1","1"
"2020-05-11","4","0","1","0","1","0","0","2","14","3","0","0","0","0","0","1","24","6","1","0","2","0","1","2","3","46","1","0","7","2","1","3","1","3","0","11","0","","0","10","8","0","3","2","1","1","0","-1","0","-1","3","5","11","16","0","5","0","4","0","0","5","2","0","1","0","0"
"2020-05-12","0","0","6","2","1","0","0","1","19","0","0","0","1","0","0","0","47","1","4","1","0","0","1","3","0","34","0","0","4","2","0","2","1","2","0","25","14","","1","2","6","0","0","0","1","1","3","0","3","1","4","1","14","9","0","5","0","2","0","0","5","1","1","0","2","2"
"2020-05-13","-1","4","3","1","3","2","3","11","16","9","0","0","17","0","8","6","42","1","5","6","48","0","65","3","0","44","1","2","25","1","8","10","0","20","0","35","5","","0","1","18","1","1","9","0","4","0","12","4","26","12","6","15","8","0","9","0","56","1","1","3","11","0","0","1","10"
"2020-05-14","8","0","41","3","0","1","1","3","18","2","0","0","0","0","3","2","411","0","24","0","10","0","0","30","3","27","0","0","4","3","1","50","4","2","2","15","8","","1","13","23","1","0","1","1","2","0","16","12","3","2","6","19","9","0","8","1","4","0","0","6","0","26","1","-6","2"
"2020-05-15","30","0","4","1","1","1","2","9","28","6","0","0","0","0","1","2","55","1","3","0","0","2","0","6","-1","37","1","1","2","5","6","4","6","3","0","19","22","","1","3","7","2","2","0","1","4","2","0","10","0","0","5","9","11","0","7","0","7","1","0","1","0","0","5","3","10"
"2020-05-16","3","5","3","-6","9","1","-1","6","18","1","2","0","1","-1","1","-7","56","6","4","-8","2","0","1","-19","-1","85","-1","1","35","14","-3","-3","0","-7","-1","-6","40","","1","8","13","2","0","0","-6","7","1","-2","-1","-14","-6","1","8","12","-1","10","7","-2","1","1","6","1","-2","1","0","4"
"2020-05-17","6","1","4","1","3","1","1","2","13","3","0","0","2","0","1","4","25","2","0","0","5","1","0","2","1","57","0","3","12","4","2","4","0","6","0","28","15","","0","5","37","0","0","0","1","0","0","1","0","1","2","5","11","10","0","18","0","6","0","0","2","0","0","1","2","4"
"2020-05-18","59","18","4","0","1","0","1","2","21","3","0","0","0","0","0","2","22","3","1","0","0","1","2","1","1","20","1","0","8","2","0","2","0","2","2","13","10","","0","1","25","1","1","0","1","2","0","1","1","4","0","1","5","3","0","5","0","1","1","1","5","4","0","5","2","5"
"2020-05-19","5","13","2","0","1","0","0","2","14","1","0","0","0","0","0","2","89","9","2","1","1","0","3","1","5","36","1","0","7","6","1","6","3","0","0","47","10","","2","4","5","0","1","1","3","0","0","0","1","2","1","2","15","10","0","1","0","2","0","0","5","2","0","1","2","1"
"2020-05-20","0","26","6","3","2","0","0","5","27","0","0","0","0","0","0","2","68","0","0","0","0","0","1","3","1","33","0","0","2","3","0","2","6","1","0","15","14","","1","6","12","0","0","1","2","0","1","0","1","0","0","4","13","10","0","3","0","0","0","0","1","0","1","0","2","0"
"2020-05-21","7","15","14","5","3","2","30","21","333","27","1","0","6","0","11","7","106","5","4","16","13","4","25","9","4","47","1","5","24","10","8","5","10","14","38","20","52","","0","2","75","1","5","8","3","3","1","5","6","7","12","7","27","15","5","20","6","42","5","1","7","7","3","2","1","10"
"2020-05-22","20","10","3","0","2","2","22","6","21","19","0","0","0","0","1","1","51","11","1","4","0","0","4","1","2","57","1","0","6","3","3","3","11","2","4","40","9","","1","1","9","2","1","0","0","4","1","0","0","3","1","6","10","0","0","9","25","0","0","1","0","0","2","12","1","12"
"2020-05-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-05-24","2","0","1","0","3","0","1","2","19","1","1","0","0","3","0","1","16","3","3","78","1","0","0","5","1","16","0","0","22","0","0","9","1","1","2","9","4","","2","0","6","1","0","1","0","1","0","0","3","0","0","1","9","17","0","5","-25","0","0","0","6","10","0","0","2","0"
"2020-05-25","8","0","2","5","9","2","1","16","31","4","0","0","0","0","4","2","52","38","3","1","6","1","4","8","7","50","1","2","15","9","2","16","14","6","5","52","57","","0","4","48","1","5","0","8","2","5","3","4","1","1","7","47","18","0","11","-1","4","0","1","9","3","2","6","4","14"
"2020-05-26","96","2","4","2","2","0","0","0","4","6","0","0","0","0","1","0","24","8","0","-91","3","0","1","2","6","34","0","0","4","1","3","8","1","2","5","16","23","","0","2","9","0","0","0","0","0","2","0","3","1","2","2","13","8","0","2","0","4","1","0","2","0","1","2","5","19"
"2020-05-27","2","0","13","0","2","3","1","4","80","3","0","0","0","1","12","2","29","4","1","0","13","1","10","3","4","62","1","1","11","5","4","4","7","2","0","24","25","","1","1","16","0","5","1","2","6","0","1","1","3","1","4","9","16","0","6","7","8","2","0","7","3","1","3","0","5"
"2020-05-28","4","0","5","3","3","0","0","4","53","7","0","0","0","0","0","1","35","3","1","0","1","0","1","4","0","30","0","0","6","8","2","5","2","0","0","22","16","","0","3","24","1","1","0","3","2","0","1","1","0","1","1","16","5","0","6","0","3","0","1","3","1","1","12","0","3"
"2020-05-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-05-30","11","0","7","3","5","5","5","6","45","8","1","2","1","4","1","4","65","20","2","3","3","0","3","1","6","112","1","3","68","20","8","9","11","0","11","41","53","","10","3","80","1","3","5","2","4","0","0","8","3","1","8","21","23","1","14","0","7","0","0","9","4","2","5","3","10"
"2020-05-31","6","0","3","1","3","0","2","3","37","3","1","1","0","0","0","1","27","10","0","0","18","0","1","3","0","48","0","0","5","12","5","5","7","1","1","19","29","","0","2","7","0","7","0","0","1","0","0","2","2","4","2","25","4","0","12","0","4","0","1","6","0","5","1","1","1"
"2020-06-01","4","0","7","0","2","3","1","1","16","9","4","0","2","0","1","0","48","11","3","0","44","1","2","10","0","68","2","1","25","6","3","6","4","0","2","14","16","","2","2","10","0","3","1","3","4","0","0","2","6","2","2","15","10","1","7","0","7","2","0","8","0","9","2","2","9"
"2020-06-02","6","0","14","0","6","0","0","5","31","3","2","0","-1","0","0","2","64","5","1","2","1","1","1","1","3","59","0","1","10","40","0","12","4","0","1","15","25","","2","6","10","0","1","0","5","3","0","0","2","3","0","2","12","15","0","6","1","0","2","2","4","10","1","2","1","1"
"2020-06-03","18","1","11","0","5","12","2","4","24","2","1","0","3","0","6","1","43","1","0","1","0","0","7","1","1","27","0","0","18","11","1","6","1","9","1","18","23","","0","0","19","0","4","2","1","2","0","9","4","3","6","5","14","8","4","17","0","7","1","0","7","6","0","2","3","4"
"2020-06-04","16","1","9","0","8","9","0","13","43","8","4","2","2","0","0","10","47","14","1","0","1","3","1","5","7","25","6","3","13","4","2","7","10","1","0","18","34","","2","2","21","1","5","1","1","0","1","0","4","3","5","3","9","7","0","10","3","2","1","1","7","8","4","0","1","0"
"2020-06-05","5","0","4","1","2","9","2","12","23","4","5","0","1","0","1","2","54","5","0","0","5","1","3","4","3","40","3","2","20","4","2","5","5","0","0","14","50","","1","1","40","0","0","0","2","0","1","1","1","36","-30","2","24","18","4","5","0","10","0","2","6","4","0","0","4","4"
"2020-06-06","33","0","11","1","4","3","1","3","14","7","1","1","0","0","1","0","37","3","2","1","1","2","2","5","10","28","2","1","12","10","4","2","78","1","2","16","36","","0","4","36","0","1","1","1","2","2","0","2","1","4","4","14","19","1","14","32","1","2","2","5","4","3","6","0","1"
"2020-06-07","2","0","6","3","6","-1","1","10","18","5","0","0","1","0","0","0","38","8","0","2","2","8","0","3","1","31","2","2","14","6","4","4","10","0","2","8","38","","0","1","31","0","4","0","3","0","0","0","2","0","1","2","9","9","0","6","0","4","0","1","3","3","2","10","2","3"
"2020-06-08","11","2","7","0","4","5","1","1","6","5","1","0","0","2","0","1","14","4","0","0","3","2","3","3","2","23","2","2","17","7","2","4","5","1","0","7","30","","0","1","18","0","3","0","3","0","0","0","0","2","2","0","3","0","0","4","0","1","0","0","13","3","1","2","0","1"
"2020-06-09","4","1","11","1","10","8","3","9","18","19","2","1","0","2","1","0","60","6","6","1","1","2","1","4","6","55","3","3","11","13","9","13","5","1","2","10","43","","1","1","17","1","1","1","0","3","0","1","4","5","3","3","14","21","0","8","75","17","0","5","11","10","6","4","2","3"
"2020-06-10","3","0","6","1","3","2","9","5","29","12","2","0","2","1","0","0","31","3","3","0","1","3","0","4","9","31","6","1","23","6","9","3","2","1","1","32","49","","1","2","15","0","0","1","3","1","1","1","2","7","4","0","9","8","0","5","19","9","1","0","11","8","3","9","1","4"
"2020-06-11","9","0","6","-1","0","1","1","6","10","11","0","1","0","1","0","3","34","4","0","0","4","0","2","0","1","61","4","1","26","9","3","11","28","2","2","15","39","","2","0","67","0","2","0","1","1","0","0","0","1","12","4","13","11","0","10","0","8","3","0","9","1","2","0","0","1"
"2020-06-12","6","4","6","0","3","10","3","4","9","17","0","0","1","1","0","3","62","4","6","2","0","3","5","3","5","59","8","4","31","8","6","19","2","0","6","25","48","","1","0","24","0","1","0","3","1","0","2","3","2","9","2","21","17","0","9","26","2","4","4","11","2","3","0","1","2"
"2020-06-13","42","17","13","5","3","7","2","6","27","40","3","0","6","3","8","1","47","6","9","2","20","4","24","0","4","248","17","4","152","23","25","11","10","15","3","55","65","","5","1","34","0","3","6","6","1","2","0","3","32","24","5","25","38","1","12","53","24","10","8","8","36","2","5","3","14"
"2020-06-14","6","12","4","6","1","0","1","8","23","14","4","0","0","1","0","1","29","13","1","0","0","1","2","0","0","40","1","1","8","5","8","1","9","5","0","19","38","","0","0","13","0","0","0","1","4","0","0","2","2","3","3","11","3","0","9","0","2","0","2","4","2","2","8","2","1"
"2020-06-15","14","4","13","5","3","2","2","8","16","17","0","0","1","1","2","0","58","8","1","2","9","2","4","5","4","37","1","3","54","10","6","20","16","3","3","18","31","","0","3","48","1","1","0","2","1","0","0","1","10","8","3","12","6","0","11","26","11","2","1","14","4","0","3","0","2"
"2020-06-16","7","4","9","2","0","0","1","3","19","17","0","0","31","3","2","2","17","0","2","2","1","0","11","2","7","52","14","5","41","16","7","15","1","4","1","17","19","","0","2","16","-1","0","3","4","4","2","1","2","9","30","1","8","14","0","6","74","0","4","4","10","4","0","-1","3","1"
"2020-06-17","21","13","5","6","5","3","7","15","45","35","3","1","2","4","8","2","56","1","2","7","14","0","25","1","4","39","15","5","59","14","11","12","0","21","0","31","57","","0","1","20","0","3","1","5","2","0","4","10","14","60","3","37","20","0","8","65","13","14","9","4","79","1","1","5","0"
