"date","Punjab/Amritsar","Punjab/Barnala","Punjab/Bathinda","Punjab/Faridkot","Punjab/Fatehgarh Sahib","Punjab/Fazilka","Punjab/Ferozepur","Punjab/Gurdaspur","Punjab/Hoshiarpur","Punjab/Jalandhar","Punjab/Kapurthala","Punjab/Ludhiana","Punjab/Mansa","Punjab/Moga","Punjab/Pathankot","Punjab/Patiala","Punjab/Rupnagar","Punjab/S.A.S. Nagar","Punjab/Sangrur","Punjab/Shahid Bhagat Singh Nagar","Punjab/Sri Muktsar Sahib","Punjab/Tarn Taran"
"2020-04-30","28","","","0","","","1","3","","3","6","34","","1","","1","2","13","2","1","3","7"
"2020-05-01","48","","","","1","","15","","","16","","13","0","1","","1","","6","","","0",""
"2020-05-02","53","","","","6","","9","1","31","15","1","21","","22","","21","1","2","1","","3",""
"2020-05-03","75","2","33","0","7","","3","25","46","4","","14","3","","","0","8","1","4","62","43",""
"2020-05-04","","15","1","12","","","13","6","","4","0","-1","1","","2","0","","0","52","","-1","26"
"2020-05-05","0","","","27","","34","","48","0","6","5","14","","","0","1","","","22","","15","47"
"2020-05-06","13","1","1","","3","1","1","1","1","1","","0","2","28","","2","","","2","1","1","16"
"2020-05-07","46","","2","0","1","","","6","0","12","","1","0","","","6","","0","1","","","43"
"2020-05-08","11","1","1","","4","","","24","","11","5","","1","","","","","0","","18","","11"
"2020-05-09","","","","","5","","","","1","17","1","0","","","2","1","4","","","","",""
"2020-05-10","8","","","","8","","","","","0","1","","0","1","0","1","35","7","","","",""
"2020-05-11","1","","","1","11","1","1","6","1","13","","2","12","2","","1","1","","","","","1"
"2020-05-12","1","","","","8","1","","","","9","1","16","","","","1","","0","","","",""
"2020-05-13","0","","","0","","","","","1","1","1","5","","","","","2","0","","","",""
"2020-05-14","","","","","","","","","","7","","3","0","","0","1","","","","","",""
"2020-05-15","-1","","1","6","0","3","","1","","0","","-15","0","0","","0","3","0","","-1","",""
"2020-05-16","4","0","0","3","0","","0","0","0","2","5","3","","0","0","0","1","0","0","0","0","-4"
"2020-05-17","4","","0","4","","","","0","","0","","5","","2","","0","0","","","3","0",""
"2020-05-18","","","","2","0","","","1","3","2","1","6","","","","","0","0","0","","0","1"
"2020-05-19","2","","","0","","0","","1","0","0","","19","0","-2","0","3","0","","0","-1","0","0"
"2020-05-20","1","","","","0","","","1","","1","","0","0","","0","0","","","","0","",""
"2020-05-21","5","1","","","","0","","4","7","0","1","2","","","2","1","","0","","","0",""
"2020-05-22","1","","0","","1","","","","","0","","1","0","","","","0","","0","","","-2"
"2020-05-23","4","","1","0","0","","","1","","3","1","1","","","1","3","0","","","","1",""
"2020-05-24","1","","","0","","0","","2","4","1","","0","0","","7","0","","","","0","","0"
"2020-05-25","10","","","0","","","","0","","6","1","","","","","1","","1","1","0","","1"
"2020-05-26","2","","","1","","","","","4","10","","2","","","5","0","","","","1","",""
"2020-05-27","16","1","","","","","","1","","","","1","","","3","7","","","2","","","2"
"2020-05-28","7","","","","","","","0","4","3","","","","","","","1","1","3","","",""
"2020-05-29","12","","","","","","","3","","8","0","4","","2","5","1","1","3","","","",""
"2020-05-30","8","","5","","1","2","","1","2","0","","0","","","8","2","","4","2","","0","1"
"2020-05-31","3","1","","","","","","0","4","4","","9","","1","0","0","8","","","0","","0"
"2020-06-01","9","","2","","5","-2","2","1","8","1","","8","","","1","4","","2","","-3","",""
"2020-06-02","1","","","1","1","","","2","0","11","2","4","","2","8","1","","","6","2","",""
"2020-06-03","2","0","1","3","","","","3","3","3","","","","","7","2","","7","","1","2",""
"2020-06-04","16","","3","","","1","0","2","3","2","","5","","","4","","1","0","1","0","1",""
"2020-06-05","3","","1","1","1","","","3","","8","2","16","","1","1","1","","4","1","","1","2"
"2020-06-06","26","1","1","2","4","1","","0","","","","10","2","1","5","","","","0","1","",""
"2020-06-07","35","1","","3","1","1","","3","1","23","","10","","","2","7","","1","5","","",""
"2020-06-08","12","","","2","0","1","","1","","14","","9","","1","3","5","","3","2","2","",""
"2020-06-09","21","1","","-1","0","","","","0","4","","15","","","3","1","0","5","5","0","1","1"
"2020-06-10","13","1","0","13","3","","","13","0","1","1","11","","0","19","3","","3","4","1","","0"
"2020-06-11","14","","1","0","","","","1","0","4","","18","","2","19","6","","4","10","2","1",""
"2020-06-12","63","1","","","0","2","1","0","2","3","","12","","","0","0","5","3","5","2","0",""
"2020-06-13","9","2","1","","1","","1","","","4","1","26","","","6","1","2","11","3","5","","4"
"2020-06-14","12","","","","2","0","1","2","2","1","0","21","","1","5","10","1","10","5","","1","3"
"2020-06-15","20","0","0","1","1","0","2","1","2","23","2","33","","1","2","10","1","11","15","1","","1"
"2020-06-16","9","","","1","1","3","1","2","3","31","4","22","","","6","9","2","4","4","1","","1"
"2020-06-17","17","","4","1","3","1","6","0","1","31","1","40","3","3","6","1","","5","2","","","1"
"2020-06-18","39","8","","","2","","1","4","5","1","2","21","1","","0","12","1","7","8","","","6"
"2020-06-19","35","3","3","5","2","1","3","1","5","79","7","19","","0","8","8","1","11","18","","6","2"
"2020-06-20","21","1","","","2","","","0","0","47","4","7","1","1","2","7","","11","14","","","2"
"2020-06-21","4","","","1","1","6","0","5","7","7","3","54","","","15","3","5","4","2","2","2","1"
"2020-06-22","28","0","4","3","2","14","11","10","2","21","-2","31","","1","6","5","0","2","15","2","3","3"
"2020-06-23","6","3","11","1","10","","4","4","1","38","4","34","3","9","0","12","2","0","18","","","2"
"2020-06-24","14","","6","1","1","","4","1","","43","9","27","1","1","7","9","3","5","64","1","33",""
"2020-06-25","32","","","1","","2","5","2","1","23","7","21","1","6","0","8","1","4","19","0","8","1"
"2020-06-26","14","","0","","6","13","2","9","0","","","67","0","","10","31","6","6","24","","",""
"2020-06-27","19","4","4","","0","","2","1","5","18","2","12","","2","0","1","1","8","17","2","1","0"
"2020-06-28","12","","0","2","3","1","3","8","3","18","4","39","","","4","6","0","8","45","2","1","1"
"2020-06-29","21","9","1","3","1","","3","3","","8","1","14","4","1","3","45","5","4","60","10","","6"
"2020-06-30","7","","2","","9","","","1","4","26","6","45","0","7","5","3","1","11","22","1","",""
"2020-07-01","17","0","1","2","","4","","4","5","5","","40","","5","4","3","","6","2","","0","2"
"2020-07-02","0","4","6","2","1","5","4","5","1","12","9","37","","3","0","7","5","6","1","","6","2"
"2020-07-03","10","1","1","1","0","1","2","11","1","19","1","54","","4","1","12","0","4","18","6","0","6"
"2020-07-04","9","5","6","","1","1","5","2","1","60","3","46","1","2","2","3","1","5","16","1","","2"
"2020-07-05","10","2","4","8","1","1","12","7","","7","0","62","1","5","4","25","","16","8","","0","1"
"2020-07-06","11","0","5","8","4","","","12","0","84","5","25","1","","3","19","0","15","9","1","6","0"
"2020-07-07","8","","2","1","4","","3","2","1","16","7","78","","14","5","42","3","2","44","26","0",""
"2020-07-08","11","","5","18","0","-1","9","8","0","75","0","12","2","-1","2","4","1","6","5","0","1","1"
"2020-07-09","14","0","1","2","8","0","12","7","3","32","5","54","3","3","2","42","3","10","16","4","3","9"
"2020-07-10","20","1","5","1","3","1","4","8","3","62","","39","1","1","4","22","3","21","13","5","1","-1"
"2020-07-11","19","2","1","3","2","2","8","1","1","77","","29","","5","0","55","","12","7","6","",""
"2020-07-12","22","0","12","1","2","0","2","1","2","36","2","60","6","0","2","21","4","23","12","23","2","1"
"2020-07-13","25","2","9","4","20","3","8","1","5","53","3","65","","8","9","88","4","26","6","11","7","0"
"2020-07-14","22","1","1","12","7","4","4","2","3","69","10","79","1","1","1","51","9","25","20","9","","2"
"2020-07-15","22","2","3","6","5","2","21","1","3","92","0","61","0","1","7","25","2","13","5","9","6","2"
"2020-07-16","29","0","17","8","14","24","9","5","5","30","4","51","","16","1","28","1","23","15","12","3",""
"2020-07-17","34","0","2","7","0","4","1","6","34","78","3","63","2","15","3","56","7","14","11","1","6","1"
"2020-07-18","31","","4","6","4","7","15","4","12","71","1","72","1","10","1","48","7","28","23","3","2",""
"2020-07-19","28","1","","4","5","5","13","3","2","60","4","76","4","5","7","41","1","21","12","7","2","7"
"2020-07-20","39","3","17","12","16","0","4","2","27","27","4","83","5","18","16","91","4","9","21","0","12","0"
"2020-07-21","56","1","5","","8","0","2","10","2","33","1","63","5","8","0","69","14","24","73","","0","5"
"2020-07-22","14","5","1","17","19","25","3","1","81","36","11","70","5","4","","50","3","31","17","9","2","8"
"2020-07-23","19","4","42","13","14","8","18","14","9","60","6","79","4","4","13","53","","30","21","4","13","10"
"2020-07-24","55","3","","6","6","21","17","10","70","76","9","44","5","24","0","70","10","12","21","10","3","5"
"2020-07-25","55","20","18","10","12","0","11","16","2","29","10","145","1","8","7","40","6","32","38","3","0","5"
"2020-07-26","48","10","27","1","10","24","13","15","42","72","7","88","7","2","12","83","7","28","17","4","2","15"
"2020-07-27","46","17","9","1","12","","","53","19","49","9","176","8","18","12","40","5","31","17","2","8","19"
"2020-07-28","72","1","35","2","4","22","37","25","4","54","25","133","1","18","3","66","26","30","31","2","1","17"
"2020-07-29","78","35","","9","31","9","2","34","1","45","7","95","0","13","15","86","11","31","30","5","8","23"
"2020-07-30","64","12","15","23","0","3","73","7","4","68","11","143","0","10","5","14","","18","14","","10","16"
"2020-07-31","64","32","3","-2","15","","2","8","11","24","2","249","0","1","43","136","8","24","23","9","4","7"
"2020-08-01","48","26","76","2","21","37","48","89","14","162","36","166","14","16","19","66","12","34","37","3","4","14"
"2020-08-02","45","35","28","21","10","7","42","30","4","94","31","147","18","84","8","100","3","52","25","4","","2"
"2020-08-03","29","20","118","3","1","14","51","34","9","105","11","190","","22","13","34","","11","8","0","0","1"
"2020-08-04","39","14","14","1","13","3","14","10","10","34","7","221","15","6","15","19","5","11","35","","1","1"
"2020-08-05","53","33","-24","13","14","9","19","1","6","101","8","301","0","14","18","184","10","27","19","1","11","23"
"2020-08-06","60","33","150","22","17","7","33","54","11","100","6","190","6","46","11","136","3","104","14","3","15","14"
"2020-08-07","48","37","26","19","27","16","7","71","21","62","28","294","15","14","37","122","32","77","33","11","13","29"
"2020-08-08","102","11","72","18","14","8","17","50","12","120","31","168","8","1","29","139","31","91","32","4","16","24"
"2020-08-09","76","13","40","-1","38","0","16","34","11","59","18","315","7","59","3","199","18","12","22","22","7","7"
"2020-08-10","32","23","24","25","15","14","6","37","28","156","6","245","11","6","0","197","5","59","60","14","10","13"
"2020-08-11","118","9","38","15","9","3","20","13","77","54","31","253","34","16","64","114","4","83","16","16","5","8"
"2020-08-12","85","63","22","36","18","13","28","40","21","126","39","229","3","19","27","70","24","104","22","13","9","9"
"2020-08-13","36","13","79","32","43","5","66","4","4","171","19","216","12","24","1","140","10","88","24","17","15","8"
"2020-08-14","36","17","60","20","27","3","28","35","13","134","42","292","3","23","62","135","9","53","29","23","17","16"
"2020-08-15","72","57","45","45","12","36","4","84","49","46","23","122","6","14","19","203","16","85","58","10","11","11"
"2020-08-16","32","5","16","5","12","15","96","70","21","187","14","314","11","64","35","90","23","91","29","","4","31"
"2020-08-17","49","62","153","32","12","21","153","36","1","298","16","220","6","90","8","130","55","63","26","19","38","1"
"2020-08-18","46","24","94","46","52","46","34","18","50","130","28","483","15","33","16","338","24","104","52","16","49","7"
"2020-08-19","91","52","62","54","61","38","112","39","31","208","8","435","24","65","1","114","34","113","73","14","46","8"
"2020-08-20","75","58","148","41","33","46","133","20","18","242","19","398","18","94","22","81","33","169","28","13","20","32"
"2020-08-21","85","43","89","22","42","16","75","58","18","173","72","170","22","52","26","201","20","142","121","27","27","2"
"2020-08-22","90","6","3","25","30","10","3","28","34","46","74","352","19","25","42","177","30","159","47","13","68","35"
"2020-08-23","69","0","21","38","21","19","38","20","51","107","58","238","14","62","35","188","16","34","51","37","4","15"
"2020-08-24","111","32","127","26","42","50","12","143","39","201","47","-23","20","44","41","147","44","253","56","23","62","8"
"2020-08-25","75","6","82","39","5","15","41","149","61","119","65","175","23","39","30","140","11","154","32","5","12","15"
"2020-08-26","73","29","21","1","17","1","15","131","83","147","69","472","19","24","44","237","4","54","10","20","14","28"
"2020-08-27","74","19","125","44","21","20","21","210","94","186","31","353","26","9","25","194","36","178","43","23","10","4"
"2020-08-28","82","41","12","116","67","39","88","182","86","213","48","90","36","65","56","105","26","87","31","9","61","2"
"2020-08-29","114","50","35","5","37","40","119","15","78","64","22","272","26","22","83","145","47","137","51","27","55","26"
"2020-08-30","111","35","60","60","10","68","57","136","44","150","72","268","15","42","55","188","33","149","53","10","56","6"
"2020-08-31","119","60","232","33","28","3","43","76","42","205","40","107","45","26","38","162","16","103","37","12","36","3"
"2020-09-01","111","23","61","91","15","25","11","18","39","328","33","66","23","51","35","220","33","211","-8","21","60","49"
"2020-09-02","100","61","164","42","18","56","48","26","18","174","25","210","28","26","24","160","31","112","45","17","65","31"
"2020-09-03","167","18","36","56","17","53","51","70","60","228","58","150","50","15","46","139","23","134","55","20","45","35"
"2020-09-04","92","21","101","71","12","34","57","108","58","210","43","184","20","58","13","184","5","138","36","10","36","7"
"2020-09-05","132","16","97","38","14","22","7","113","122","229","41","208","49","4","43","137","15","146","15","5","30","31"
"2020-09-06","133","10","168","88","10","15","21","186","135","261","72","161","28","26","205","150","7","154","40","19","40","17"
"2020-09-07","210","25","106","59","33","60","46","181","86","210","74","338","38","26","96","16","115","176","45","23","126","21"
"2020-09-08","236","30","168","83","22","36","23","126","104","265","24","311","25","28","15","206","16","127","32","25","23","39"
"2020-09-09","311","15","130","54","22","52","49","173","94","210","45","240","31","37","19","159","8","319","57","24","53","35"
"2020-09-10","310","28","202","43","32","36","63","175","230","219","91","95","5","26","190","144","43","307","53","16","75","76"
"2020-09-11","186","28","115","51","27","50","81","191","165","331","166","148","64","39","56","317","31","265","67","17","61","17"
"2020-09-12","257","12","137","64","24","64","47","118","110","313","39","267","40","39","100","268","42","331","21","39","72","37"
"2020-09-13","188","32","105","71","52","58","71","270","74","255","65","237","48","39","50","327","45","433","78","33","66","25"
"2020-09-14","284","14","92","31","45","27","28","-20","89","261","57","307","32","22","104","394","100","408","61","","65","20"
"2020-09-15","214","14","122","62","46","42","4","197","157","206","84","370","20","35","190","177","7","188","68","61","81","37"
"2020-09-16","267","25","119","120","32","54","45","150","190","209","72","562","50","35","37","247","78","272","53","54","19","12"
"2020-09-17","181","39","221","54","42","69","96","138","46","337","133","513","37","2","63","293","59","284","64","56","77","44"
"2020-09-18","311","32","105","53","72","43","119","110","177","281","85","464","42","6","57","211","42","417","55","","43","49"
"2020-09-19","316","38","103","59","-11","76","289","129","130","194","48","312","62","33","138","218","59","285","53","104","65","23"
"2020-09-20","126","36","148","20","48","55","256","104","94","197","48","212","46","11","174","183","10","225","56","39","37","35"
"2020-09-21","255","13","139","45","21","65","249","100","55","207","38","245","37","21","56","151","77","257","71","38","65","36"
"2020-09-22","257","22","76","32","20","32","-81","95","52","72","92","115","12","33","58","127","66","227","27","23","44","10"
"2020-09-23","229","23","90","65","18","135","32","143","144","279","91","181","37","12","66","126","34","237","48","51","33","49"
"2020-09-24","145","23","158","45","35","47","14","114","108","188","66","206","29","20","72","135","47","169","31","47","49","8"
"2020-09-25","189","12","159","38","16","67","77","73","86","225","95","170","31","52","117","118","27","126","35","28","94","41"
"2020-09-26","132","20","78","35","22","12","51","149","43","195","69","170","34","21","80","172","49","153","35","20","32","16"
"2020-09-27","167","13","88","30","20","108","17","19","73","108","60","151","8","3","115","131","30","165","47","37","12","20"
"2020-09-28","180","18","62","37","23","18","18","89","72","101","49","138","21","30","79","75","36","128","27","33","17","18"
"2020-09-29","96","11","55","20","18","20","13","65","50","145","49","180","10","16","7","70","28","111","20","11","43","47"
"2020-09-30","167","11","90","57","22","58","76","71","66","143","35","163","17","25","89","96","39","123","27","29","27","-5"
"2020-10-01","157","7","62","-5","16","38","53","88","87","127","69","130","1","25","52","71","19","166","27","20","34","21"
"2020-10-02","134","11","22","23","18","45","35","82","60","62","57","115","16","7","35","89","33","132","28","18","27","13"
"2020-10-03","100","5","113","29","20","4","17","66","83","76","69","130","32","14","61","54","20","126","19","11","21","36"
"2020-10-04","91","8","21","12","4","18","1","28","3","122","101","169","43","24","6","76","7","39","16","26","10","13"
"2020-10-05","179","11","40","22","9","50","48","56","68","86","61","157","13","8","46","42","8","40","12","31","28","14"
"2020-10-06","87","3","143","18","7","14","25","31","59","90","17","80","15","13","13","53","47","48","21","29","24","-7"
"2020-10-07","92","12","27","26","10","42","21","57","46","120","57","114","6","24","43","27","6","62","11","0","18","31"
"2020-10-08","100","16","-22","25","15","23","49","56","37","96","32","89","16","-2","19","46","30","155","22","-3","7","42"
"2020-10-09","94","6","-8","16","8","32","1","4","59","103","39","98","23","26","34","49","2","77","10","14","22","34"
"2020-10-10","69","11","37","20","13","31","30","109","40","77","27","43","25","15","48","54","28","125","16","8","22","10"
"2020-10-11","65","9","17","13","8","34","7","40","30","43","16","91","0","8","36","51","4","114","10","18","25","17"
"2020-10-12","48","11","42","17","6","12","23","21","35","82","21","62","18","2","51","14","4","58","8","8","15","4"
"2020-10-13","57","3","55","15","12","18","15","40","41","95","20","103","5","4","7","44","28","41","12","14","29","18"
"2020-10-14","22","10","68","15","15","16","6","31","47","37","32","64","11","7","31","51","17","22","10","4","23","10"
"2020-10-15","46","10","29","15","9","14","-1","37","33","25","6","81","5","3","15","29","13","66","9","4","12","10"
"2020-10-16","40","5","43","10","8","7","18","25","23","54","11","68","7","8","37","60","2","42","11","8","15","5"
"2020-10-17","36","16","27","17","1","21","11","1","8","73","10","54","11","5","24","28","2","48","6","3","3","12"
"2020-10-18","31","1","47","5","2","6","2","17","75","54","19","67","6","1","9","52","3","41","16","5","12","5"
"2020-10-19","28","20","24","18","1","10","19","29","97","51","17","28","3","2","10","24","6","42","15","4","15","10"
"2020-10-20","36","6","57","13","3","13","11","24","141","-20","3","46","14","4","9","45","9","32","16","1","18","6"
"2020-10-21","52","6","16","30","31","24","2","5","79","60","19","47","3","2","28","26","1","35","6","10","9","7"
"2020-10-22","47","15","55","8","3","29","13","30","124","47","7","43","0","3","38","15","18","57","11","3","27","12"
"2020-10-24","36","10","47","1","5","11","7","16","91","39","9","77","5","3","7","29","14","51","6","2","15","2"
"2020-10-25","29","4","26","5","6","22","8","13","74","45","13","55","0","1","21","31","10","43","2","0","6","1"
"2020-10-26","8","0","28","14","4","6","10","16","16","58","31","24","10","","13","5","7","55","2","8","14","7"
"2020-10-27","26","6","12","8","6","25","5","6","44","18","16","50","7","4","6","34","12","20","8","2","18","13"
