"date","Uttarakhand/Almora","Uttarakhand/Bageshwar","Uttarakhand/Chamoli","Uttarakhand/Champawat","Uttarakhand/Dehradun","Uttarakhand/Haridwar","Uttarakhand/Nainital","Uttarakhand/Pauri Garhwal","Uttarakhand/Pithoragarh","Uttarakhand/Rudraprayag","Uttarakhand/Tehri Garhwal","Uttarakhand/Udham Singh Nagar","Uttarakhand/Uttarkashi"
"2020-08-17","","","-24","-2","-39","54","2","","0","14","-17","17","54"
"2020-08-18","1","8","","21","89","-41","75","","0","-69","27","67","-69"
"2020-08-19","","","","-19","19","-29","-38","-26","","29","-39","-98","-7"
"2020-08-20","-2","","-10","-1","-31","76","-13","-7","","","14","118",""
"2020-08-21","12","1","-4","7","8","-14","3","5","5","0","-11","-19","40"
"2020-08-22","5","0","-1","-8","-13","32","47","-8","-1","11","-3","-25","0"
"2020-08-23","-15","4","5","3","-16","-27","-83","15","-2","-2","3","168","22"
"2020-08-24","-11","-5","-6","-2","-39","25","52","-8","","-9","19","-125","-41"
"2020-08-25","","5","","4","93","-5","-27","0","","9","13","-34","18"
"2020-08-26","","7","19","14","50","-46","42","15","4","-8","-2","-26","-25"
"2020-08-27","","1","-21","-17","-20","95","41","-22","31","5","13","13","30"
"2020-08-28","-31","-2","57","3","35","-55","-67","15","-26","-2","-23","-5","-39"
"2020-08-29","41","4","-53","0","-6","41","-10","-12","-1","-3","38","66","13"
"2020-08-30","-27","-12","19","-1","-59","-35","-6","14","25","6","-38","45","27"
"2020-08-31","-17","2","","8","29","12","60","-7","-30","-1","26","-125","-5"
"2020-09-01","19","1","","12","20","-75","7","9","","-1","-10","21","-21"
"2020-09-02","5","-2","4","-13","15","157","-9","10","22","26","0","33","11"
"2020-09-03","14","-4","-6","8","88","-85","8","-1","0","-8","-5","82","19"
"2020-09-04","-14","9","2","4","-67","28","26","54","-15","-11","39","-131","-39"
"2020-09-05","-2","-3","27","-10","21","-30","-18","-14","-5","4","-21","112","58"
"2020-09-06","","-1","-12","","9","-30","-74","-33","13","14","-1","-106","-15"
"2020-09-07","","311","410","403","5379","5505","3390","822","423","325","1442","4502","1085"
