"date","Colorado/Adams","Colorado/Alamosa","Colorado/Arapahoe","Colorado/Archuleta","Colorado/Baca","Colorado/Bent","Colorado/Boulder","Colorado/Broomfield","Colorado/Chaffee","Colorado/Cheyenne","Colorado/Clear Creek","Colorado/Conejos","Colorado/Costilla","Colorado/Crowley","Colorado/Custer","Colorado/Delta","Colorado/Denver","Colorado/Dolores","Colorado/Douglas","Colorado/Eagle","Colorado/El Paso","Colorado/Elbert","Colorado/Fremont","Colorado/Garfield","Colorado/Gilpin","Colorado/Grand","Colorado/Gunnison","Colorado/Hinsdale","Colorado/Huerfano","Colorado/Jackson","Colorado/Jefferson","Colorado/Kiowa","Colorado/Kit Carson","Colorado/La Plata","Colorado/Lake","Colorado/Larimer","Colorado/Las Animas","Colorado/Lincoln","Colorado/Logan","Colorado/Mesa","Colorado/Mineral","Colorado/Moffat","Colorado/Montezuma","Colorado/Montrose","Colorado/Morgan","Colorado/Otero","Colorado/Ouray","Colorado/Out of CO","Colorado/Park","Colorado/Phillips","Colorado/Pitkin","Colorado/Prowers","Colorado/Pueblo","Colorado/Rio Blanco","Colorado/Rio Grande","Colorado/Routt","Colorado/Saguache","Colorado/San Juan","Colorado/San Miguel","Colorado/Sedgwick","Colorado/Summit","Colorado/Teller","Colorado/Unassigned","Colorado/Washington","Colorado/Weld","Colorado/Yuma"
"2020-04-11"," 14.32 %"," 40.00 %","  6.16 %","   .00 %","   .00 %","","  7.83 %"," 11.48 %","  3.85 %",""," 10.00 %","","   .00 %","   .00 %","   .00 %","   .00 %","  7.95 %","","  4.44 %","  8.12 %","  3.00 %"," 30.00 %","   .00 %","  4.00 %","   .00 %","   .00 %","  2.02 %","   .00 %","   .00 %","","  3.48 %","","   .00 %"," 18.92 %","   .00 %","  1.72 %","   .00 %","   .00 %","   .00 %","  6.25 %","   .00 %","   .00 %"," 50.00 %","   .00 %"," 15.91 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %"," 20.51 %","   .00 %","  4.17 %","   .00 %","   .00 %","  9.38 %","   .00 %","","   .00 %",""," 12.28 %","   .00 %","-38.30 %","   .00 %","  5.70 %","   .00 %"
"2020-04-12"," 19.15 %","   .00 %"," 16.33 %","   .00 %"," 11.11 %",""," 12.82 %"," 19.12 %","  3.70 %","","   .00 %","","   .00 %"," ##.## %","   .00 %","   .00 %"," 12.04 %","","  5.67 %","  6.10 %"," 11.45 %"," 23.08 %"," 40.00 %","  5.77 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %",""," 11.71 %",""," 33.33 %","   .00 %","   .00 %","  5.65 %","   .00 %","   .00 %","   .00 %","  2.94 %","   .00 %","   .00 %","   .00 %"," 50.00 %"," 15.69 %","   .00 %","   .00 %","","   .00 %","   .00 %","  4.26 %","   .00 %"," 16.00 %","   .00 %","   .00 %","  2.86 %","   .00 %","","  9.09 %",""," 12.50 %"," 33.33 %","  7.59 %","   .00 %"," 13.71 %","   .00 %"
"2020-04-13","  7.11 %","   .00 %","  5.45 %","   .00 %","   .00 %","","  7.58 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %"," 16.67 %","  7.94 %","","  2.01 %","  1.11 %","  4.57 %","   .00 %"," 14.29 %","  5.45 %","   .00 %","   .00 %"," -1.98 %","   .00 %","   .00 %","","  3.15 %","","   .00 %","   .00 %","   .00 %","  3.21 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.51 %"," 27.12 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"," 10.34 %","   .00 %","   .00 %"," 13.89 %","   .00 %","","   .00 %","","   .00 %"," -6.25 %"," -7.05 %","   .00 %","  9.49 %","   .00 %"
"2020-04-14","  4.76 %","   .00 %","  3.59 %","   .00 %","   .00 %","","  3.17 %","  8.64 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %"," 71.43 %","  4.16 %","","  2.30 %","  2.41 %","  1.72 %","  6.25 %","   .00 %","  1.72 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %","","  2.80 %","","   .00 %","   .00 %"," 25.00 %","  2.59 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.78 %"," 18.67 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","  2.78 %","  6.67 %","-17.93 %"," ##.## %","  6.19 %","   .00 %"
"2020-04-15","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  2.05 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-16","  4.41 %","   .00 %","  5.07 %","   .00 %","   .00 %","","   .33 %","  4.55 %"," 10.71 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","  4.71 %","","   .32 %","  2.56 %","  2.45 %"," -5.88 %"," 12.50 %","  5.08 %","   .00 %","   .00 %","  5.05 %","   .00 %","   .00 %","","  3.46 %","","   .00 %","  4.55 %","   .00 %","  2.02 %","   .00 %","   .00 %","   .00 %"," -2.86 %","   .00 %","   .00 %","   .00 %","  3.17 %"," 15.73 %","   .00 %","   .00 %","","   .00 %","   .00 %","  4.08 %","   .00 %","  6.25 %","   .00 %"," 40.00 %","   .00 %","   .00 %","","   .00 %",""," 10.81 %","   .00 %"," -6.72 %","   .00 %","  8.16 %","   .00 %"
"2020-04-17","  6.20 %","   .00 %","  7.96 %","   .00 %","   .00 %","","  4.00 %","  3.26 %"," 12.90 %","","   .00 %","","   .00 %","   .00 %","   .00 %","  8.33 %","  5.52 %","","  5.45 %","  -.21 %","  3.14 %","  6.25 %","   .00 %","  3.23 %","   .00 %","   .00 %","  6.73 %","   .00 %","   .00 %","","  2.75 %",""," 62.50 %","  2.17 %"," 60.00 %","  7.43 %"," 50.00 %","   .00 %"," 30.77 %","   .00 %","   .00 %","   .00 %","  8.33 %","  6.15 %"," 18.45 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","  5.88 %","   .00 %","   .00 %","  4.88 %","   .00 %","","   .00 %",""," 13.41 %","  6.25 %","-13.51 %","   .00 %","  3.45 %","   .00 %"
"2020-04-18","  6.83 %","   .00 %","  5.74 %","   .00 %","   .00 %","","  4.81 %","  3.16 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %"," 23.08 %","  5.62 %","","  7.29 %","   .63 %","  2.76 %"," 17.65 %","   .00 %","  1.56 %","   .00 %","   .00 %","   .90 %","   .00 %","   .00 %","","  3.26 %","","   .00 %","  8.51 %","   .00 %","  3.23 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.45 %"," 10.66 %"," 20.00 %"," 25.00 %","","   .00 %"," 25.00 %","   .00 %","   .00 %","  8.33 %","   .00 %","   .00 %","  6.98 %","   .00 %","","  8.33 %","","   .00 %","  5.88 %","-30.21 %","   .00 %","  2.71 %","   .00 %"
"2020-04-19","  6.40 %","   .00 %","  8.25 %"," 16.67 %","   .00 %","","  7.65 %","  3.06 %","  8.57 %","","   .00 %","","   .00 %","   .00 %","   .00 %"," 37.50 %","  9.05 %","","  4.25 %","   .62 %","  3.25 %"," 15.00 %"," 11.11 %","  7.69 %","   .00 %","   .00 %","  1.79 %","   .00 %","   .00 %","","  7.77 %",""," 38.46 %","  1.96 %","   .00 %","  6.70 %","   .00 %","   .00 %","   .00 %","  2.94 %","   .00 %"," 33.33 %","   .00 %"," 10.00 %"," 16.30 %","   .00 %","   .00 %","","   .00 %","   .00 %"," 11.76 %","   .00 %"," 11.54 %","   .00 %","   .00 %","  6.52 %","   .00 %",""," 15.38 %","","   .00 %"," 33.33 %"," 70.15 %"," 20.00 %","  7.81 %"," 50.00 %"
"2020-04-20","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
