"date","Massachusetts/Barnstable","Massachusetts/Berkshire","Massachusetts/Bristol","Massachusetts/Brockton","Massachusetts/Dukes","Massachusetts/Dukes and Nantucket","Massachusetts/Essex","Massachusetts/Franklin","Massachusetts/Hampden","Massachusetts/Hampshire","Massachusetts/Middlesex","Massachusetts/Nantucket","Massachusetts/Norfolk","Massachusetts/Plymouth","Massachusetts/Suffolk","Massachusetts/Unassigned","Massachusetts/Worcester"
"2020-04-05","  5.15 %","  1.98 %","  9.65 %","","","  6.25 %","  7.57 %","  5.26 %","  4.77 %","  2.40 %","  6.65 %","","  6.01 %","  7.24 %","  9.43 %","-21.53 %","  6.89 %"
"2020-04-06"," 10.37 %","  3.88 %","  9.56 %","","","   .00 %","  9.76 %","  7.00 %"," 15.76 %"," 14.84 %"," 12.08 %","","  8.73 %"," 10.80 %"," 10.20 %"," 14.42 %"," 10.12 %"
"2020-04-07","  5.74 %","  3.73 %","  6.37 %","","","  5.88 %"," 11.37 %"," 10.28 %"," 12.15 %","  7.48 %","  8.03 %",""," 15.20 %"," 11.90 %"," 10.79 %"," -6.91 %","  8.82 %"
"2020-04-08","  4.44 %","  1.08 %","  8.72 %","",""," -5.56 %"," 14.23 %","  -.85 %","  8.43 %","  3.80 %"," 11.23 %",""," 11.68 %"," 11.14 %"," 10.94 %"," -2.62 %"," 10.58 %"
"2020-04-09","  4.96 %","  8.19 %"," 19.04 %","","","  5.88 %"," 11.08 %","  9.40 %"," 18.04 %","  7.93 %"," 14.10 %",""," 12.88 %"," 13.56 %"," 12.25 %"," -8.97 %"," 12.73 %"
"2020-04-10","  4.50 %","  8.22 %","  9.26 %","",""," 16.67 %"," 14.30 %","  5.47 %","  9.25 %","  9.60 %","  9.94 %",""," 10.41 %"," 11.28 %"," 12.20 %","-36.45 %"," 14.85 %"
"2020-04-11","  3.45 %","  2.13 %","  9.67 %","","","   .00 %","  8.46 %","  2.22 %"," 10.83 %","  5.15 %","  9.56 %","","  8.08 %","  7.87 %","  8.65 %"," 74.42 %","  8.58 %"
"2020-04-12","  4.38 %","  4.17 %"," 11.42 %","","","   .00 %","  9.46 %","  3.62 %","  6.60 %","  7.35 %"," 16.17 %",""," 10.61 %"," 11.89 %","  8.79 %"," 65.78 %"," 11.53 %"
"2020-04-13","   .20 %","  1.43 %","  5.05 %","","","   .00 %","  7.67 %","  3.50 %","  2.85 %","  2.28 %","  5.71 %","","  7.13 %","  5.78 %","  4.11 %"," 19.84 %","  4.72 %"
"2020-04-14","  2.39 %","  1.41 %","  2.94 %","","","   .00 %","  5.30 %","  4.73 %","  6.14 %","  4.02 %","  4.53 %","","  4.62 %","  3.08 %","  5.25 %"," 13.20 %","  5.55 %"
"2020-04-15","  3.11 %","  2.78 %","  5.09 %","",""," -4.76 %","  8.35 %","  3.23 %","  4.84 %","  2.58 %","  6.83 %","","  5.15 %","  4.58 %","  6.93 %"," 13.04 %","  4.63 %"
"2020-04-16","  3.77 %","  3.24 %","  6.43 %","","","  5.00 %","  9.01 %","  6.25 %","  5.31 %","  3.77 %","  7.86 %","","  7.05 %","  6.85 %","  8.62 %"," 11.54 %","  6.51 %"
"2020-04-17","  4.18 %","   .26 %","  3.36 %","","","   .00 %","  7.99 %","  1.76 %","  7.51 %","  4.03 %","  7.47 %","","  4.70 %","  4.50 %","  6.63 %"," 19.12 %"," 10.47 %"
"2020-04-18","  2.97 %","   .52 %","  2.35 %","","","  9.52 %","  7.20 %","  2.31 %","  5.62 %"," 18.60 %","  7.14 %","","  4.57 %","  4.31 %","  5.83 %"," -3.55 %","  6.76 %"
"2020-04-19","  7.12 %","   .52 %","  1.94 %","","","   .00 %","  4.86 %","  2.26 %","  3.68 %","  3.59 %","  5.30 %","","  3.55 %","  5.36 %","  4.91 %"," 11.19 %","  3.96 %"
"2020-04-20","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-21","  6.33 %","  4.39 %","  6.99 %","","","   .00 %","  7.14 %","  6.08 %","  8.39 %","  6.31 %"," 10.12 %","","  7.21 %","  7.45 %","  7.37 %"," 13.99 %","  8.86 %"
"2020-04-22","   .89 %","   .00 %","  3.02 %","","","   .00 %","  4.75 %","  2.08 %","  5.72 %","  2.37 %","  4.92 %","","  3.69 %","  6.90 %","  4.51 %"," -8.07 %","  3.44 %"
"2020-04-23","  4.42 %","  3.47 %"," 14.31 %","","","   .00 %","  7.54 %","  3.57 %","  5.90 %","  6.38 %","  6.24 %","","  7.81 %","  8.48 %","  7.49 %","-13.70 %","  9.90 %"
"2020-04-24","  5.51 %","  1.67 %"," 23.66 %","","","  4.35 %"," 10.00 %","  6.90 %","  7.90 %","  7.90 %","  8.92 %","","  9.65 %"," 17.88 %"," 10.11 %","  7.33 %"," 11.30 %"
"2020-04-25","  1.20 %","   .00 %","  4.89 %","","","   .00 %","  5.42 %","  3.69 %","  5.52 %","  4.04 %","  4.90 %","","  3.88 %","  5.29 %","  4.61 %"," -4.80 %","  5.51 %"
"2020-04-26","  2.12 %","   .71 %","  3.32 %","","","  4.17 %","  3.84 %","   .44 %","  2.04 %","  3.64 %","  3.22 %","","  2.24 %","  2.63 %","  2.90 %","  7.17 %","  2.51 %"
"2020-04-27","  3.37 %","   .00 %","  4.96 %","","","   .00 %","  2.92 %","  2.21 %","  2.61 %","  3.75 %","  2.41 %","","  2.08 %","  2.49 %","  2.95 %"," -1.49 %","  3.76 %"
"2020-04-28","  2.76 %","   .47 %","  6.58 %","","","  4.00 %","  3.43 %","  2.60 %","  4.88 %"," 14.90 %","  3.58 %","","  3.13 %","  2.97 %","  2.16 %","-21.38 %","  5.38 %"
"2020-04-29","  2.68 %","  2.33 %","  4.86 %","","","  3.85 %","  5.12 %","  6.33 %","  4.29 %","  4.32 %","  2.85 %","","  2.39 %","  2.68 %","  3.29 %","-26.88 %","  6.02 %"
"2020-04-30","  2.14 %","   .45 %","  4.40 %","","","  3.70 %","  3.50 %","  1.98 %","  2.14 %","  2.82 %","  2.96 %","","  3.44 %","  4.35 %","  2.80 %"," -9.19 %","  4.72 %"
"2020-05-01","  4.88 %","   .45 %","  5.92 %","","","  3.57 %","  4.09 %","  1.17 %","  3.26 %","   .00 %","  2.81 %","","  2.87 %","  3.46 %","  3.14 %"," -4.34 %","  4.27 %"
"2020-05-02","  3.88 %","   .90 %","  3.27 %","","","   .00 %","  3.70 %","  1.15 %","  2.64 %","   .55 %","  3.02 %","","  2.01 %","  2.85 %","  2.34 %"," -5.04 %","  5.91 %"
"2020-05-03","   .96 %","   .67 %","  2.63 %","",""," 10.34 %","  1.92 %","  2.28 %","  1.57 %","  1.82 %","  2.14 %","","  1.50 %","  1.81 %","  1.26 %"," ##.## %","  2.59 %"
"2020-05-04","  1.59 %","   .44 %","  2.09 %","","","   .00 %","  2.42 %","  1.49 %","  1.18 %","   .72 %","  2.52 %","","  1.62 %","  1.73 %","  1.19 %","-32.52 %","  2.91 %"
"2020-05-05","   .83 %","   .88 %","  3.22 %","","","   .00 %","  2.11 %","   .73 %","  2.16 %","  2.13 %","  1.42 %","","  1.32 %","  2.39 %","  1.66 %","-10.27 %","  1.95 %"
"2020-05-06","  2.89 %","   .88 %","  3.42 %","","","  6.25 %","  3.66 %","  1.09 %","  2.81 %","   .87 %","  2.17 %","","  2.23 %","  2.84 %","  2.14 %","-45.12 %","  5.99 %"
"2020-05-07","  2.41 %","   .65 %","  3.40 %","",""," -2.94 %","  2.57 %","  2.52 %","  2.78 %","  2.59 %","  2.14 %","","  1.80 %","  3.09 %","  1.77 %","   .61 %","  2.93 %"
"2020-05-08","  1.67 %","  1.72 %","  3.11 %","","","   .00 %","  3.63 %","  1.40 %","  1.82 %","  9.92 %","  2.03 %","","  1.07 %","  1.86 %","  1.44 %"," -9.45 %","  2.96 %"
"2020-05-09","  1.73 %","   .00 %","  3.79 %","","","  3.03 %","  1.96 %","  1.73 %","  2.76 %","   .76 %","  1.72 %","","  1.26 %","  1.89 %","  1.17 %"," -3.03 %","  2.71 %"
"2020-05-10","  1.14 %","   .64 %","  1.73 %","","","  2.94 %","  1.27 %","   .00 %","  1.44 %","  2.58 %","  1.63 %","","   .94 %","  1.13 %","  1.06 %","  4.86 %","  1.73 %"
"2020-05-11","   .66 %","   .63 %","  1.38 %","","","   .00 %","   .70 %","   .68 %","  1.04 %","  1.78 %","  1.05 %","","   .75 %","  1.18 %","   .50 %"," -4.97 %","   .97 %"
"2020-05-12","  1.67 %","  1.46 %","  2.52 %","","","   .00 %","  1.22 %","   .34 %","  1.43 %","  2.03 %","  1.01 %","","   .60 %","   .77 %","   .64 %"," -4.88 %","  1.80 %"
"2020-05-13","  1.65 %","   .21 %","  2.42 %","","","   .00 %","  1.13 %","  1.68 %","  1.20 %","   .85 %","  1.38 %","","  1.18 %","  1.31 %","   .86 %"," -3.30 %","  3.54 %"
"2020-05-14","   .72 %","   .41 %","  3.64 %","","","  2.86 %","  2.11 %","   .00 %","  1.74 %","  2.26 %","   .99 %","","  1.81 %","  2.76 %","  1.89 %"," 13.64 %","  3.81 %"
"2020-05-15","  1.61 %","   .61 %","  2.76 %","","","   .00 %","  1.51 %","   .66 %","  1.29 %","  1.93 %","  1.64 %","","  1.01 %","  1.49 %","   .72 %"," -5.00 %","  2.70 %"
"2020-05-16","   .88 %","   .81 %","  2.83 %","","","  2.78 %","  1.51 %","   .00 %","  1.89 %","  1.76 %","  1.07 %","","  1.10 %","  1.63 %","  2.19 %","  8.42 %","  3.20 %"
"2020-05-17","   .26 %","   .40 %","  2.12 %","","","  2.70 %","  1.20 %","  1.32 %","  1.40 %","  2.13 %","  1.30 %","","   .84 %","  1.10 %","   .81 %","  1.94 %","  2.04 %"
"2020-05-18","   .43 %","   .00 %","  2.15 %","","","   .00 %","  1.00 %","   .00 %","  1.13 %","   .91 %","  1.13 %","","   .67 %","  1.06 %","  1.17 %","  -.95 %","  2.05 %"
"2020-05-19","  1.90 %","   .00 %","  1.40 %","","","   .00 %","  1.28 %","   .00 %","  1.35 %","   .78 %","   .82 %","","   .54 %","   .83 %","   .92 %"," -7.69 %","  1.48 %"
"2020-05-20","  1.70 %","   .60 %","  1.40 %","","","   .00 %","  1.35 %","   .32 %","  1.56 %","  1.54 %","  1.05 %","","   .56 %","  1.14 %","   .81 %","  2.08 %","  2.07 %"
"2020-05-21","   .42 %","  1.80 %","  1.96 %","","","  2.63 %","  1.11 %","   .32 %","  1.37 %","  1.77 %","  1.13 %","","  1.10 %","  1.18 %","   .75 %","  3.40 %","  2.22 %"
"2020-05-22","  4.58 %","   .20 %","  1.21 %","","","   .00 %","  1.21 %","   .00 %","  1.38 %","   .74 %","   .78 %","","   .43 %","   .79 %","   .53 %"," -2.63 %","  1.04 %"
"2020-05-23","   .56 %","   .98 %","  1.01 %","","","   .00 %","   .85 %","   .65 %","   .95 %","   .86 %","   .73 %","","   .45 %","   .75 %","   .65 %","  7.77 %","  1.49 %"
"2020-05-24","   .40 %","   .97 %","  2.65 %","","","   .00 %","   .92 %","   .32 %","  1.17 %","  1.34 %","  1.01 %","","   .68 %","  1.06 %","   .73 %"," -3.45 %","  1.76 %"
"2020-05-25","   .63 %","   .58 %","  1.29 %","","","   .00 %","   .88 %","   .32 %","  1.20 %","   .48 %","   .50 %","","   .41 %","   .46 %","   .36 %","   .97 %","   .71 %"
"2020-05-26","   .23 %","  2.68 %","   .78 %","","","   .00 %","   .70 %","   .32 %","   .71 %","   .72 %","   .30 %","","   .24 %","   .50 %","   .30 %"," -4.50 %","   .50 %"
"2020-05-27","   .47 %","   .37 %","   .68 %","","","   .00 %","   .79 %","   .63 %","   .85 %","   .36 %","   .51 %","","   .22 %","   .31 %","   .36 %","  4.04 %","   .85 %"
"2020-05-28","   .70 %","   .00 %","  1.08 %","","","   .00 %","   .88 %","   .63 %","   .56 %","   .24 %","   .73 %","","   .49 %","   .89 %","   .58 %","  2.91 %","   .62 %"
"2020-05-29","   .62 %","   .93 %","  1.14 %","","","   .00 %","   .68 %","   .00 %","  1.09 %","   .95 %","   .55 %","","   .51 %","   .54 %","   .50 %"," -9.12 %","   .96 %"
"2020-05-30","   .15 %","   .00 %","  2.29 %","","","   .00 %","   .75 %","   .00 %","   .67 %","   .23 %","   .72 %","","   .72 %","   .68 %","   .49 %"," 16.26 %","   .79 %"
"2020-05-31","   .54 %","   .00 %","   .99 %","","","  2.56 %","   .89 %","   .31 %","   .89 %","   .00 %","   .77 %","","   .79 %","   .51 %","   .35 %","-11.90 %","  1.07 %"
"2020-06-01","  8.54 %","  4.23 %","  2.64 %","",""," 32.50 %","  3.49 %","  4.69 %","  2.54 %","  3.63 %","  4.40 %","","  6.28 %","  4.34 %","  3.60 %"," 14.86 %","  3.03 %"
"2020-06-02","   .42 %","   .18 %","   .44 %","","","  1.89 %","   .50 %","   .00 %","   .21 %","  -.34 %","   .32 %","","   .16 %","   .34 %","   .30 %"," -6.18 %","   .76 %"
"2020-06-03","   .35 %","  -.35 %","   .99 %","","","   .00 %","   .42 %","   .00 %","   .58 %","   .91 %","   .48 %","","   .15 %","   .18 %","   .52 %"," -3.76 %","   .24 %"
"2020-06-04","   .56 %","   .35 %","   .74 %","","","  1.85 %","   .75 %","   .60 %","   .50 %","   .34 %","   .37 %","","   .14 %","   .47 %","   .30 %","   .98 %","   .56 %"
"2020-06-05","   .21 %","   .53 %","   .87 %","","","  1.82 %","   .63 %","   .00 %","   .46 %","   .67 %","   .44 %","","   .24 %","   .37 %","   .36 %","   .97 %","   .62 %"
"2020-06-06","   .28 %","   .35 %","   .82 %","",""," -1.79 %","   .70 %","   .30 %","   .64 %","   .44 %","   .46 %","","   .50 %","   .41 %","   .51 %"," -5.11 %","   .83 %"
"2020-06-07","   .41 %","   .17 %","   .63 %","","","   .00 %","   .31 %","   .00 %","   .25 %","   .11 %","   .30 %","","   .28 %","   .19 %","   .24 %"," -1.68 %","   .31 %"
"2020-06-08","   .14 %","   .17 %","   .20 %","","","   .00 %","   .12 %","   .00 %","   .19 %","   .22 %","   .25 %","","   .02 %","   .11 %","   .14 %","  5.82 %","   .22 %"
"2020-06-09","   .27 %","   .00 %","   .39 %","","","  1.82 %","   .23 %","   .89 %","   .24 %","  -.22 %","   .14 %","","   .44 %","   .38 %","   .20 %"," -3.24 %","   .38 %"
"2020-06-10","   .34 %","  -.17 %","   .34 %","",""," -1.79 %","   .62 %","   .88 %","   .24 %","   .00 %","   .19 %","","   .24 %","   .17 %","   .17 %","  -.67 %","   .14 %"
"2020-06-11","   .48 %","   .17 %","   .50 %","","","   .00 %","   .65 %","  1.16 %","   .31 %","   .88 %","   .47 %","","   .40 %","   .26 %","   .50 %","  2.36 %","   .55 %"
"2020-06-12","   .34 %","   .00 %","  1.01 %","","","   .00 %","   .34 %","   .00 %","   .25 %","   .55 %","   .34 %","","   .37 %","   .26 %","   .28 %"," -1.97 %","   .44 %"
"2020-06-13","   .47 %","   .87 %","   .43 %","","","   .00 %","   .35 %","  1.44 %","   .45 %","   .33 %","   .35 %","","   .20 %","   .19 %","   .26 %","  3.02 %","   .20 %"
"2020-06-14","   .07 %","   .00 %","   .34 %","","","   .00 %","   .20 %","   .00 %","   .33 %","   .33 %","   .17 %","","   .07 %","   .34 %","   .19 %","   .33 %","   .12 %"
"2020-06-15","   .13 %","  -.17 %","  -.10 %","","   .00 %","-##.## %","   .15 %","   .00 %","   .12 %","   .22 %","   .14 %","   .00 %","   .07 %","   .06 %","  -.01 %","   .97 %","   .13 %"
"2020-06-16","   .34 %","  -.17 %","   .19 %","","","   .00 %","   .26 %","   .00 %","   .22 %","   .43 %","   .18 %","","   .23 %","   .02 %","   .17 %"," -1.29 %","   .19 %"
"2020-06-17","   .20 %","   .69 %","   .20 %","","","   .00 %","   .23 %","   .28 %","   .23 %","   .65 %","   .33 %","","   .18 %","   .09 %","   .35 %","  -.33 %","   .15 %"
"2020-06-18","   .33 %","   .34 %","   .29 %","","","   .00 %","   .23 %","   .56 %","   .29 %","   .00 %","   .26 %","","   .30 %","   .39 %","   .22 %","   .65 %","   .15 %"
"2020-06-19","   .40 %","   .17 %","   .29 %","","","   .00 %","   .25 %","   .28 %","   .29 %","   .53 %","   .24 %","","   .30 %","   .13 %","   .08 %"," -3.90 %","   .29 %"
"2020-06-20","   .33 %","   .17 %","   .32 %","","","   .00 %","   .25 %","   .28 %","   .43 %","   .21 %","   .34 %","","   .23 %","   .12 %","   .18 %","   .34 %","   .31 %"
"2020-06-21","   .13 %","   .68 %","   .09 %","","","   .00 %","   .08 %","   .00 %","   .21 %","   .11 %","   .13 %","","   .12 %","   .08 %","   .12 %","  2.02 %","   .07 %"
"2020-06-22","   .13 %","   .17 %","   .27 %","","","  3.51 %","   .14 %","   .00 %","   .18 %","   .21 %","   .15 %","","   .18 %","   .10 %","   .08 %","  -.99 %","   .11 %"
"2020-06-23","   .40 %","   .00 %","   .30 %","","","   .00 %","   .21 %","   .28 %","   .15 %","   .11 %","   .16 %","","   .36 %","   .14 %","   .17 %"," -4.00 %","   .40 %"
"2020-06-24","   .13 %","   .00 %","   .06 %","","","   .00 %","   .22 %","   .00 %","   .20 %","   .32 %","   .21 %","","   .15 %","   .07 %","   .14 %","   .69 %","   .12 %"
"2020-06-25","   .00 %","   .00 %","   .26 %","","","   .00 %","   .20 %","   .84 %","   .38 %","   .21 %","   .19 %","","   .29 %","   .17 %","   .18 %"," -2.41 %","   .24 %"
"2020-06-26","   .33 %","   .17 %","   .43 %","","","  1.69 %","   .14 %","   .55 %","   .50 %","   .00 %","   .19 %","","   .20 %","   .24 %","   .22 %","   .71 %","   .03 %"
"2020-06-27","   .07 %","   .34 %","   .42 %","","","  5.00 %","   .33 %","   .55 %","   .57 %","   .32 %","   .31 %","","   .27 %","   .17 %","   .29 %","  1.40 %","   .51 %"
"2020-06-28","   .07 %","   .00 %","   .27 %","","","   .00 %","   .16 %","   .00 %","   .46 %","   .31 %","   .23 %","","   .28 %","   .12 %","   .16 %","  -.69 %","   .17 %"
"2020-06-29","   .20 %","   .00 %","   .12 %","","","  1.59 %","   .10 %","   .00 %","   .07 %","   .10 %","   .13 %","","   .11 %","   .06 %","   .00 %","   .35 %","   .15 %"
"2020-06-30","   .20 %","   .00 %","   .21 %","","","   .00 %","   .12 %","   .00 %","   .16 %","   .31 %","   .07 %","","   .05 %","   .09 %","   .12 %","   .00 %","   .06 %"
"2020-07-01","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-02","   .59 %","  1.01 %","   .47 %","","","  3.12 %","   .55 %","  1.64 %","   .53 %","   .73 %","   .32 %","","   .37 %","   .26 %","   .37 %","  -.35 %","   .46 %"
"2020-07-03","   .39 %","   .33 %","   .38 %","","","  3.03 %","   .21 %","   .00 %","   .32 %","   .72 %","   .18 %","","   .46 %","   .17 %","   .22 %","  1.74 %","   .29 %"
"2020-07-04","   .00 %","   .00 %","   .19 %","","","   .00 %","   .15 %","   .27 %","   .40 %","   .61 %","   .13 %","","   .19 %","   .14 %","   .18 %","  -.34 %","   .31 %"
"2020-07-05","   .26 %","   .00 %","   .12 %","","","  4.41 %","   .12 %","   .00 %","   .13 %","   .31 %","   .16 %","","   .14 %","   .07 %","   .07 %","   .00 %","   .14 %"
"2020-07-06","   .26 %","   .33 %","   .12 %","","","   .00 %","   .18 %","   .00 %","   .19 %","   .00 %","   .17 %","","   .12 %","   .09 %","   .15 %","   .34 %","   .13 %"
"2020-07-07","   .00 %","   .00 %","   .20 %","","","   .00 %","   .21 %","   .00 %","   .17 %","   .10 %","   .21 %","","   .24 %","   .10 %","   .17 %","   .68 %","   .15 %"
"2020-07-08","   .13 %","   .00 %","   .20 %","","","  4.23 %","   .15 %","   .80 %","   .12 %","   .51 %","   .24 %","","   .35 %","   .09 %","   .36 %","  1.36 %","   .22 %"
"2020-07-09","   .19 %","   .83 %","   .41 %","","","  4.05 %","   .23 %","  1.33 %","   .42 %","   .20 %","   .20 %","","   .48 %","   .14 %","   .26 %","  -.34 %","   .17 %"
"2020-07-10","   .26 %","   .16 %","   .32 %","","","  1.30 %","   .21 %","   .52 %","   .16 %","   .20 %","   .12 %","","   .20 %","   .10 %","   .28 %"," -1.01 %","   .16 %"
"2020-07-11","   .25 %","   .16 %","   .19 %","","","  3.85 %","   .23 %","   .26 %","   .45 %","   .60 %","   .24 %","","   .39 %","   .18 %","   .22 %","  2.04 %","   .21 %"
"2020-07-12","   .25 %","   .33 %","   .21 %","",""," -1.23 %","   .10 %","   .00 %","   .37 %","   .70 %","   .19 %","","   .23 %","   .10 %","   .14 %","   .00 %","   .15 %"
"2020-07-13","   .25 %","   .33 %","   .37 %","","","   .00 %","   .10 %","   .00 %","   .27 %","   .00 %","   .22 %","","   .24 %","   .12 %","   .20 %","  -.33 %","   .25 %"
"2020-07-14","   .25 %","   .00 %","   .42 %","","","   .00 %","   .27 %","   .00 %","   .28 %","   .40 %","   .26 %","","   .47 %","   .09 %","   .22 %","   .67 %","   .24 %"
"2020-07-15","   .44 %","   .00 %","   .36 %","","","  2.50 %","   .21 %","   .26 %","   .24 %","   .00 %","   .21 %","","   .31 %","   .02 %","   .12 %","   .66 %","   .11 %"
"2020-07-16","   .19 %","   .16 %","   .41 %","","","   .00 %","   .19 %","   .26 %","   .30 %","   .30 %","   .13 %","","   .29 %","   .17 %","   .17 %","  4.62 %","   .11 %"
"2020-07-17","   .44 %","   .32 %","   .51 %","","","   .00 %","   .22 %","   .78 %","   .32 %","  1.08 %","   .21 %","","   .25 %","   .20 %","   .26 %","  -.32 %","   .19 %"
"2020-07-18","   .56 %","   .65 %","   .19 %","","","  4.88 %","   .47 %","   .51 %","   .28 %","   .68 %","   .29 %","","   .48 %","   .03 %","   .27 %","   .95 %","   .31 %"
"2020-07-19","   .62 %","   .16 %","   .32 %","","","   .00 %","   .14 %","   .00 %","   .28 %","   .58 %","   .31 %","","   .42 %","   .24 %","   .22 %"," -1.57 %","   .22 %"
"2020-07-20","   .80 %","   .16 %","   .44 %","","","  2.33 %","   .14 %","  -.26 %","   .01 %","   .96 %","   .29 %","","   .39 %","   .06 %","   .10 %","   .96 %","   .23 %"
"2020-07-21","   .24 %","   .16 %","   .30 %","","","  5.68 %","   .16 %","   .00 %","   .15 %","   .76 %","   .21 %","","   .43 %","   .10 %","   .14 %"," -1.89 %","   .27 %"
"2020-07-22","   .31 %","   .16 %","   .18 %","","","   .00 %","   .18 %","   .00 %","   .39 %","   .57 %","   .29 %","","   .43 %","   .16 %","   .14 %","  1.29 %","   .30 %"
"2020-07-23","  1.46 %","   .48 %","   .31 %","","","   .00 %","   .24 %","   .26 %","   .56 %","   .19 %","   .16 %","","   .29 %","   .26 %","   .26 %","  1.90 %","   .30 %"
"2020-07-24","   .72 %","  1.11 %","   .32 %","","","  1.08 %","   .16 %","   .00 %","   .11 %","  1.03 %","   .27 %","","   .47 %","   .18 %","   .29 %","  2.18 %","   .36 %"
"2020-07-25","   .24 %","   .31 %","   .31 %","","","   .00 %","   .19 %","   .51 %","   .43 %","   .56 %","   .24 %","","   .39 %","   .12 %","   .16 %"," -1.52 %","   .31 %"
"2020-07-26","   .53 %","   .78 %","   .44 %","","","  1.06 %","   .22 %","   .76 %","   .33 %","   .74 %","   .33 %","","   .37 %","   .20 %","   .33 %","   .62 %","   .26 %"
"2020-07-27","   .30 %","   .31 %","   .28 %","","","   .00 %","   .22 %","   .00 %","   .36 %","   .46 %","   .25 %","","   .42 %","   .17 %","   .09 %","   .92 %","   .36 %"
