"date","Odisha/Angul","Odisha/Balangir","Odisha/Balasore","Odisha/Bargarh","Odisha/Bhadrak","Odisha/Boudh","Odisha/Cuttack","Odisha/Deogarh","Odisha/Dhenkanal","Odisha/Gajapati","Odisha/Ganjam","Odisha/Jagatsinghpur","Odisha/Jajpur","Odisha/Jharsuguda","Odisha/Kalahandi","Odisha/Kandhamal","Odisha/Kendrapara","Odisha/Kendujhar","Odisha/Khordha","Odisha/Koraput","Odisha/Malkangiri","Odisha/Mayurbhanj","Odisha/Nabarangapur","Odisha/Nayagarh","Odisha/Nuapada","Odisha/Others","Odisha/Puri","Odisha/Rayagada","Odisha/Sambalpur","Odisha/State Pool","Odisha/Subarnapur","Odisha/Sundargarh"
"2020-08-28","3","36","132","70","70","70","281","1","19","48","204","15","33","71","38","52","43","21","369","95","67","107","44","135","7","","102","180","149","","26","15"
"2020-08-29","5","173","123","51","52","10","189","1","34","30","217","35","5","55","33","21","14","29","410","151","81","144","56","138","0","","134","487","117","","15","78"
"2020-08-30","1","45","100","25","77","4","129","7","76","40","216","27","12","38","19","48","39","38","419","169","84","150","58","95","28","","210","205","85","","33","42"
"2020-08-31","1","62","83","100","172","6","468","13","66","48","233","35","339","35","165","79","50","29","370","175","120","128","52","141","9","","144","608","92","","13","217"
"2020-09-01","51","54","105","57","63","12","143","7","23","23","253","62","314","59","16","52","162","46","890","130","87","131","25","126","4","","82","302","84","","35","86"
"2020-09-02","80","47","79","35","49","0","650","8","32","37","209","49","213","13","14","55","30","90","493","149","76","104","34","125","35","","128","185","172","","25","87"
"2020-09-03","2","24","124","185","98","8","230","5","66","43","368","77","195","89","24","88","35","69","511","107","117","117","47","121","25","","122","187","67","","23","104"
"2020-09-04","80","126","111","87","64","0","654","5","75","25","212","38","20","67","10","33","91","80","263","103","61","207","21","114","37","","114","76","133","","5","68"
"2020-09-05","5","61","137","56","164","11","251","8","161","23","148","107","144","67","12","24","61","54","951","110","64","213","33","117","23","","105","154","100","","41","38"
"2020-09-06","6","54","71","72","77","34","431","4","59","20","142","78","77","44","24","10","75","68","386","108","61","202","57","67","7","","105","120","71","","30","30"
