"date","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Puerto Rico","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wuhan Evacuee","Wyoming"
"2020-03-26"," 35.70 %"," 36.59 %"," 26.68 %"," 19.64 %"," 30.05 %"," 40.06 %"," 15.66 %","  9.24 %"," 23.53 %"," 40.13 %"," 22.29 %","  4.40 %"," 60.44 %"," 36.09 %"," 35.22 %"," 22.60 %"," 28.36 %"," 25.38 %"," 28.36 %","  9.15 %"," 37.18 %"," 31.50 %"," 23.91 %"," 20.28 %"," 28.65 %"," 46.89 %"," 38.46 %","  4.23 %"," 30.03 %"," 26.85 %"," 56.20 %","   .00 %"," 22.81 %"," 25.08 %"," 13.33 %"," 23.30 %"," 51.22 %"," 18.80 %"," 42.46 %"," 25.49 %"," 25.00 %","   .00 %"," 12.20 %"," 19.76 %"," 27.18 %"," 16.47 %"," 26.40 %"," 17.68 %"," 23.77 %"," 33.33 %"," 17.23 %",""," 20.45 %"
"2020-03-27","-98.81 %","  3.57 %"," 30.91 %","-98.54 %","-98.46 %","-95.96 %"," 27.57 %"," 25.38 %"," 17.32 %","-98.75 %","-98.13 %"," 11.58 %","-97.83 %","-98.00 %","-98.03 %","-99.29 %","-98.84 %","-98.35 %","-96.19 %","  8.39 %"," 32.93 %"," 34.05 %","-95.16 %","-99.01 %","-98.28 %","-97.48 %","-92.56 %","-99.60 %"," 27.62 %"," 15.33 %"," 28.34 %","-99.05 %","-88.77 %","-98.89 %","-98.33 %","-98.15 %","-98.26 %","-96.28 %","-97.60 %","-99.11 %"," 23.03 %","-98.93 %","-99.21 %","-97.71 %","-99.18 %"," 19.19 %"," 16.46 %","-99.11 %","-90.99 %","-98.01 %","-97.27 %",""," 32.08 %"
"2020-03-28","-99.43 %"," 46.55 %"," 16.24 %","-99.31 %","-99.27 %","-96.93 %"," 18.05 %"," 31.29 %"," 12.18 %","-99.39 %","-99.11 %"," 40.57 %","-99.25 %"," ##.## %","-98.65 %","-99.53 %","-99.35 %","-99.19 %","-97.73 %"," 25.60 %"," 28.39 %"," 31.39 %","-95.82 %","-99.40 %","-99.18 %","-98.98 %","-98.17 %","-99.71 %"," 16.79 %"," 18.35 %"," 26.05 %","-99.17 %","-87.89 %","-99.37 %","-99.15 %","-98.83 %","-99.33 %","-98.16 %","-97.92 %","-99.69 %"," 17.73 %","-99.43 %","-99.46 %","-99.00 %","-99.60 %"," 27.54 %"," 14.67 %","-99.37 %"," ##.## %","-99.02 %","-98.57 %",""," 17.14 %"
"2020-03-29","-94.49 %"," 20.00 %"," 18.89 %","-92.93 %","-93.93 %","-90.49 %"," 30.77 %","  8.41 %"," 12.50 %","-91.79 %","-93.89 %","   .00 %","-89.30 %","-95.90 %","-95.23 %","-98.09 %","-96.38 %","-94.89 %","-90.64 %"," 19.91 %"," 24.52 %"," 16.40 %","-90.00 %","-97.64 %","-94.36 %","-92.67 %","-67.85 %","-99.13 %"," 46.96 %"," 14.44 %"," 20.33 %","-96.63 %","-83.56 %","-95.05 %","-96.01 %","-94.91 %","-92.96 %","-86.12 %","-95.23 %","-96.10 %"," 23.01 %","-92.40 %","-98.04 %","-91.62 %","-95.05 %"," 19.60 %"," 11.37 %","-97.64 %","-77.75 %","-93.63 %","-92.53 %","","  4.88 %"
"2020-03-30","-98.72 %"," 11.76 %"," 25.90 %","-98.64 %","-98.26 %","-94.37 %"," 29.00 %"," 13.79 %"," 17.25 %","-98.52 %","-98.12 %"," 17.45 %","-97.85 %","-96.93 %","-96.92 %","-98.93 %","-98.38 %","-98.01 %","-95.83 %","  8.70 %"," 14.04 %"," 16.08 %","-92.18 %","-98.79 %","-98.14 %","-97.01 %","-93.69 %","-99.37 %"," 10.00 %"," 46.73 %"," 24.28 %","-98.65 %","-83.67 %","-98.73 %","-97.91 %","-97.50 %","-98.17 %","-96.00 %","-96.13 %","-98.66 %"," 38.78 %","-98.74 %","-98.74 %","-97.66 %","-99.10 %"," 10.83 %","  8.94 %","-98.71 %","-89.87 %","-97.20 %","-97.21 %","","  9.30 %"
"2020-03-31","-82.35 %","  4.39 %"," 11.41 %","-77.02 %","-78.02 %","-72.77 %"," 21.66 %"," 20.83 %"," 23.44 %","-76.19 %","-81.48 %"," 16.57 %","-70.84 %","-82.93 %","-82.65 %","-86.74 %","-81.38 %","-81.41 %","-79.27 %"," 10.18 %"," 17.48 %"," 15.09 %","-77.58 %","-76.89 %","-80.85 %","-78.38 %","-54.90 %","-90.51 %"," 10.08 %"," 13.69 %"," 12.38 %","-85.75 %","-71.20 %","-79.52 %","-82.03 %","-84.42 %","-80.37 %","-66.49 %","-86.25 %","-80.91 %"," 19.61 %","-77.25 %","-94.19 %","-67.66 %","-82.13 %"," 11.28 %"," 14.45 %","-87.83 %","-56.88 %","-82.75 %","-70.86 %",""," 15.96 %"
"2020-04-01","-99.11 %"," 10.92 %"," 18.70 %","-98.99 %","-98.63 %","-94.67 %"," 13.71 %"," 15.36 %"," 18.38 %","-98.86 %","-98.22 %","  9.80 %","-98.16 %","-96.93 %","-97.13 %","-99.07 %","-98.78 %","-98.60 %","-95.57 %","   .00 %"," 19.64 %"," 16.89 %","-91.49 %","-99.03 %","-98.66 %","-97.95 %","-96.93 %","-99.36 %"," 14.81 %","  2.80 %"," 19.04 %","-98.63 %","-80.54 %","-98.95 %","-98.64 %","-97.83 %","-98.69 %","-97.12 %","-95.56 %","-99.07 %"," 15.98 %","-98.87 %","-98.89 %","-98.01 %","-99.29 %","   .00 %","  9.56 %","-98.72 %","-92.23 %","-98.00 %","-97.85 %",""," 19.27 %"
"2020-04-02","-98.56 %","  8.33 %"," 12.09 %","-98.46 %","-97.81 %","-92.76 %","  7.51 %","  6.79 %"," 11.43 %","-98.05 %","-97.07 %"," 14.29 %","-96.17 %","-95.68 %","-95.34 %","-98.61 %","-97.94 %","-97.38 %","-92.01 %"," 24.09 %"," 17.37 %"," 15.87 %","-87.98 %","-98.62 %","-97.96 %","-96.22 %","-93.68 %","-99.05 %"," 14.39 %","-13.90 %"," 14.99 %","-98.10 %","-77.68 %","-98.36 %","-97.48 %","-96.76 %","-97.53 %","-95.44 %","-93.72 %","-98.09 %"," 13.96 %","-98.23 %","-98.10 %","-97.07 %","-98.82 %"," 22.97 %","  5.30 %","-98.08 %","-88.55 %","-96.61 %","-96.65 %",""," 15.38 %"
"2020-04-03","-96.82 %","  9.79 %"," 12.94 %","-97.21 %","-95.90 %","-89.34 %"," 28.50 %"," 14.50 %"," 15.93 %","-95.41 %","-94.39 %"," 24.61 %","-90.07 %","-94.09 %","-92.99 %","-97.86 %","-96.37 %","-95.70 %","-85.32 %"," 14.89 %"," 18.32 %"," 16.02 %","-82.91 %","-98.01 %","-95.87 %","-92.72 %","-82.28 %","-98.63 %","  3.49 %"," 51.58 %"," 16.82 %","-96.19 %","-74.18 %","-97.10 %","-95.64 %","-94.50 %","-94.47 %","-91.69 %","-91.14 %","-96.39 %"," 10.23 %","-96.52 %","-97.42 %","-94.52 %","-97.45 %"," 14.93 %"," 15.09 %","-97.01 %","-81.96 %","-93.61 %","-93.93 %","","  8.00 %"
"2020-04-04","-98.99 %","  8.92 %"," 12.91 %","-99.15 %","-98.46 %","-94.30 %","  7.37 %"," 31.78 %"," 19.15 %","-98.39 %","-98.10 %"," 10.03 %","-97.70 %","-96.62 %","-96.86 %","-99.16 %","-98.87 %","-98.75 %","-92.58 %","  5.56 %"," 13.31 %"," 12.82 %","-90.03 %","-99.17 %","-98.56 %","-98.29 %","-98.22 %","-99.33 %"," 15.06 %"," 12.73 %"," 14.15 %","-98.26 %","-75.55 %","-98.87 %","-99.22 %","-97.66 %","-98.74 %","-97.44 %","-93.82 %","-99.12 %"," 13.36 %","-98.74 %","-99.14 %","-98.37 %","-99.17 %"," 14.34 %"," 18.51 %","-98.42 %","-91.97 %","-98.32 %","-98.49 %",""," 15.43 %"
