"date","Andaman and Nicobar Islands","Andhra Pradesh","Arunachal Pradesh","Assam","Bihar","Chandigarh","Chhattisgarh","Delhi","Goa","Gujarat","Haryana","Himachal Pradesh","Jammu and Kashmir","Jharkhand","Karnataka","Kerala","Lakshadweep","Madhya Pradesh","Maharashtra","Manipur","Meghalaya","Mizoram","Nagaland","Odisha","Puducherry","Punjab","Rajasthan","Sikkim","Tamil Nadu","Telangana","Tripura","Uttar Pradesh","Uttarakhand","West Bengal"
"2020-05-31","","-99.56 %","","-99.46 %","-98.47 %","   .00 %","-99.97 %"," 15.83 %","   .00 %","-78.12 %","-99.39 %","-99.86 %","-98.60 %","","-99.68 %","-99.76 %","","-93.15 %","-96.18 %","","","","","-99.47 %","","-99.56 %","-93.28 %","","-98.80 %","-96.56 %","","-97.74 %","-99.64 %","-96.55 %"
"2020-06-01","","-77.55 %","","-99.10 %","-98.46 %","   .00 %","-99.97 %"," 11.99 %","   .00 %","-45.70 %","-92.44 %","   .00 %","-74.44 %","-99.78 %","-80.75 %","-54.55 %","","-43.16 %","-72.21 %","","","","","-99.50 %","","   .00 %","-58.29 %","","-85.64 %","-72.05 %","","-72.01 %","-99.64 %","-49.92 %"
"2020-06-02","","-99.08 %","","-99.93 %","-99.78 %"," 25.00 %","-99.99 %","  7.07 %","   .00 %","-66.68 %","-96.88 %","-99.91 %","-95.79 %","-99.98 %","-99.31 %","-95.88 %","","-79.32 %","-90.78 %","","","","","-99.75 %","","-99.82 %","-83.08 %","","-97.53 %","-91.10 %","","-94.00 %","-99.90 %","-89.03 %"
"2020-06-03","","-99.70 %","","-90.32 %","-85.54 %","","-94.74 %"," 11.80 %","   .00 %","-89.79 %","-99.77 %","-50.00 %","-99.29 %","-94.44 %","-99.89 %","-99.90 %","","-96.78 %","-97.72 %","   .00 %","","   .00 %","   .00 %","-91.26 %","","-89.00 %","-98.02 %","   .00 %","-99.34 %","-97.83 %","","-99.22 %","-85.11 %","-97.74 %"
"2020-06-04","","-99.40 %","","-98.92 %","-97.89 %","   .00 %","-99.91 %","  7.87 %","   .00 %","-71.80 %","-98.88 %","-98.71 %","-97.96 %","-99.77 %","-99.71 %","-99.04 %","","-91.05 %","-94.74 %","","","","","-99.37 %","","-99.35 %","-90.77 %","","-98.20 %","-94.30 %","","-96.98 %","-99.00 %","-94.80 %"
"2020-06-05","","-99.28 %","","-99.36 %","-97.01 %","   .00 %","-99.79 %","  8.13 %","   .00 %","-68.55 %","-98.52 %","-97.77 %","-97.36 %","-99.58 %","-99.51 %","-98.34 %","","-88.12 %","-93.07 %","","","   .00 %","","-98.88 %","","-99.23 %","-88.15 %","   .00 %","-97.83 %","-92.32 %","","-96.14 %","-98.20 %","-92.56 %"
"2020-06-06","","-98.40 %","","-99.91 %","-99.52 %","   .00 %","-99.97 %","  8.13 %","   .00 %","-59.69 %","-96.07 %","-99.97 %","-93.67 %","-99.93 %","-98.79 %","-91.03 %","","-71.29 %","-86.73 %","","","","","-99.65 %","","-99.87 %","-77.87 %","   .00 %","-96.06 %","-85.20 %","","-90.44 %","-99.82 %","-84.18 %"
"2020-06-07","","-99.44 %","","-99.76 %","-98.90 %","   .00 %","-99.96 %","  7.23 %","   .00 %","-84.42 %","-99.34 %","-99.68 %","-98.30 %","-99.89 %","-99.68 %","-99.72 %","","-94.28 %","-95.90 %","","","","","-99.46 %","","-99.65 %","-95.07 %","","-98.22 %","-95.11 %","","-98.09 %","-99.45 %","-96.12 %"
"2020-06-08","","   .00 %","","-99.31 %","-98.28 %","   .00 %","-99.90 %","  8.20 %","   .00 %"," ##.## %","   .00 %","-99.86 %"," ##.## %","-99.69 %"," ##.## %"," ##.## %",""," ##.## %"," ##.## %","","","","","-99.41 %","","-99.41 %","   .00 %",""," ##.## %"," ##.## %","","   .00 %","-99.03 %","   .00 %"
"2020-06-09","   .00 %","-99.70 %","","-98.78 %","-96.73 %","   .00 %","-99.65 %","  3.79 %","   .00 %","-64.57 %","-96.71 %","-98.21 %","-96.27 %","-99.41 %","-99.44 %","-97.64 %","","-88.40 %","-91.62 %","","","   .00 %","","-98.71 %","","-98.94 %","-84.68 %","   .00 %","-97.00 %","-88.89 %","-99.66 %","-95.20 %","-97.91 %","-91.32 %"
"2020-06-10","   .00 %","-98.89 %","","-99.59 %","-95.54 %","   .00 %","-98.22 %","  9.31 %","   .00 %","-59.10 %","-94.18 %","-91.49 %","-93.87 %","-99.32 %","-99.13 %","-94.79 %","","-78.10 %","-87.88 %","","","   .00 %","","-98.12 %","","-97.79 %","-79.63 %","","-96.10 %","-84.32 %","-99.22 %","-92.57 %","-95.19 %","-87.40 %"
"2020-06-11","   .00 %","-76.44 %","","-99.94 %","-99.02 %","   .00 %","-99.94 %"," 10.88 %","   .00 %","-31.97 %","-76.54 %","-99.70 %","-67.18 %","-99.88 %","-85.19 %","-37.04 %","","-40.28 %","-66.37 %","","","","","-99.46 %","-99.79 %","-99.62 %","-46.34 %","","-79.15 %","-50.00 %","-99.77 %","-61.04 %","-99.64 %","-42.73 %"
"2020-06-12","","-99.31 %","","-99.93 %","-99.66 %","   .00 %","-99.97 %"," 12.54 %","   .00 %","-68.94 %","-97.63 %","-99.91 %","-97.24 %","-99.95 %","-99.45 %","-99.54 %","","-91.09 %","-93.49 %","","","","","-99.63 %","-99.82 %","-99.71 %","-90.34 %","   .00 %","-97.24 %","-91.24 %","","-95.95 %","-99.70 %","-95.12 %"
"2020-06-13",""," ##.## %",""," ##.## %"," ##.## %","   .00 %","   .00 %","  4.92 %","   .00 %"," ##.## %"," ##.## %","   .00 %"," ##.## %","   .00 %"," ##.## %"," ##.## %",""," ##.## %"," ##.## %","   .00 %","","",""," ##.## %","   .00 %"," ##.## %"," ##.## %","   .00 %"," ##.## %"," ##.## %","   .00 %"," ##.## %"," ##.## %"," ##.## %"
"2020-06-14","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  4.61 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
