"date","Assam/.","Assam/Airport","Assam/Airport Quarantine","Assam/Baksa","Assam/Barpeta","Assam/Biswanath","Assam/Bongaigaon","Assam/Cachar","Assam/Charaideo","Assam/Chirang","Assam/Darrang","Assam/Dhemaji","Assam/Dhubri","Assam/Dibrugarh","Assam/Dima Hasao","Assam/Goalpara","Assam/Golaghat","Assam/Hailakandi","Assam/Hojai","Assam/Jorhat","Assam/Kamrup","Assam/Kamrup Metropolitan","Assam/Karbi Anglong","Assam/Karimganj","Assam/Kishanganj","Assam/Kokrajhar","Assam/Lakhimpur","Assam/Majuli","Assam/Morigaon","Assam/Nagaon","Assam/Nalbari","Assam/Other State","Assam/Sarusajai Quarantine Centre","Assam/Sivasagar","Assam/Sonitpur","Assam/South Salmara Mankachar","Assam/Tinsukia","Assam/Udalguri","Assam/West Karbi Anglong"
"2020-07-24","","","","","","","","1","","","","","","","","","","","","","","39","","3","","","","","","","1","","","","","","","",""
"2020-07-25","","","","","","","","","","","","","","","","","1","","","","","39","","","","","","","","2","","","","","","","","",""
"2020-07-26","","","","1","1","","","1","","","3","","","2","","","1","1","","4","5","40","3","3","","2","","","","2","1","","","1","1","","4","1",""
"2020-07-27","","","","","","","","","","","","","","3","","","","","","5","","41","4","","","","","","","","","","","","","","7","",""
"2020-07-28","","","","","","","","","","","","","","","","","","","","","5","43","","","","","","","","","","","","","","","","",""
"2020-07-29","","","","","","","","2","","","","","","","","","","","","7","5","43","","","","","","","","","","","","","","","8","",""
"2020-07-30","","","","","","","","","","","4","","","","","","","","","","5","44","","","","","","","","2","","","","","1","","","",""
"2020-07-31","","","","","","","","2","","","","","","4","","","","","1","8","5","45","","","","","","","","2","","","","","1","","","",""
"2020-08-01","","","","","","","","4","","","","","","4","","","2","","","","","45","","","","","","","","","","","","","1","","","",""
"2020-08-02","","","","","","","","","","","","","","","","","","","","9","","46","","4","","","","","","","","","","","","","9","",""
"2020-08-03","","","","","","","","","","","","","","5","","","","","","","5","47","","","","","","","","2","","","","2","","","10","",""
"2020-08-04","","","","1","1","","","4","1","","4","","","7","","","2","1","1","10","5","47","4","4","","2","","","","2","1","","","2","2","","12","1",""
"2020-08-05","","","","","","","","5","","","5","","","8","","","","","","","5","49","","","","","","","","2","","","","","","","13","",""
"2020-08-06","","","","","","","","5","","","","","","9","","","","","","10","","50","","6","","","","","","2","","","","","","","14","",""
"2020-08-07","","","","","","","","6","","","","","1","10","","","","","","","5","51","","","","3","","","","3","","","","","","","","",""
"2020-08-08","","","","","","","","6","","","","","","11","","","","","","","","51","","","","5","","","","4","3","","","","","","16","",""
"2020-08-09","","","","","","","","","","","","","","12","","","","","","10","7","51","","","","","","","1","","","","","","","","17","",""
"2020-08-10","","","","","","","","","","","","","","13","","","","","","","7","54","","","1","","","","","4","","","","","3","","","",""
"2020-08-11","","","","","","","","9","","","","","","14","","","","","","","","54","4","","","","","","","","","","","","","","17","",""
"2020-08-12","","","","1","1","","","10","1","","5","1","1","17","","","2","1","1","10","8","53","4","8","0","4","","","2","4","3","","","2","3","","17","1",""
"2020-08-13","","","","","","","1","12","","","","","","20","","","","","","","8","53","","9","","","1","","","","","","","","","","","",""
"2020-08-14","","","","","","","","","","","","","","20","","1","","2","","","10","54","5","","","","","","","4","","","","","","","","",""
"2020-08-15","","","","","","","2","","","","6","","","22","","","","3","","","","54","","10","","","","","","5","","","","","","","","",""
"2020-08-16","","","","2","","","","13","","","7","","","24","","","","","","","","54","","","","5","","","","","","","","3","","","","",""
"2020-08-17","","","","","","","","15","","","8","","","25","","","3","","","","11","54","","","","","","","","","","","","","","","18","2",""
"2020-08-18","","","","","","","","17","","","","","","25","","","","","","","13","55","","11","","","","","","","","","","","","","","",""
"2020-08-19","","","","","","","","19","","","","","","26","","","4","4","","10","","57","","13","","","","","","6","","","","","","","","",""
"2020-08-20","","","","","2","","","","","","","","2","28","","","","","","","15","","6","14","","","","","","","","","","","","","","",""
"2020-08-21","","","","","3","","","20","","","","","3","29","","","","5","","","16","57","","","","","","","","","","","","","","","","",""
"2020-08-22","","","","","","","","21","","","","","","31","","","","","","11","17","58","","","","","","","","","","","","","4","","","",""
"2020-08-23","","","","3","","","","21","","","","","","33","","","","","2","","19","58","","15","","","","","","","4","","","","","","","",""
"2020-08-24","","","","","","","","24","2","","","","","34","","","","","","12","","58","7","16","","6","","","","7","","","","","","","","",""
"2020-08-25","","","","4","","","","24","","","","","","34","","","5","","","12","19","61","8","","","","","1","","","5","","","","","","","",""
"2020-08-26","","","","","","","","26","","","","","4","34","","","6","","3","12","19","62","","18","","","2","","","8","7","","","4","","","19","",""
"2020-08-27","","","","5","","","","","","","9","","","35","","","","5","","12","","63","","","","","","","","","","","","","","","","",""
"2020-08-28","","","","","","","","26","","","","","","37","","","8","5","","12","20","64","","","","","","","","","","","","5","","","20","",""
"2020-08-29","","","","","","","","26","","","","","","38","","","","","","12","","64","","","","","","","","","","","","","","","21","","1"
"2020-08-30","","","","","","","","27","","2","","","","","","","10","","","12","","66","","","","","","","","8","","","","","","","","",""
"2020-08-31","","","","","","","","27","","","","","","43","","","10","","","12","","69","","","","","","","","","","","","6","","","22","",""
"2020-09-01","","","","","","","","27","","","","2","","44","","","","","6","14","","69","","19","","","","","","","8","","","","","","","",""
"2020-09-02","","","","5","","","","","","","10","","","47","","","","","","","","71","","21","","","","","","8","","","","","","","","",""
"2020-09-03","","","","","4","","","27","","","","","","49","","","","","6","","","73","","","","","","","","","9","","","7","","","","",""
"2020-09-04","","","","","","","","","","","","","","51","","","","","7","15","20","74","","23","","8","","","","10","","","","9","","","23","3",""
"2020-09-05","","","","","","","2","","3","","12","","","","","","","6","","16","20","75","","","","","2","","","","","","","10","","","","",""
"2020-09-06","","","","","","","","","","","","","","51","","","","","7","","","75","","","","","","","","","","","","","","","","",""
"2020-09-07","","","","","","","","","","","","","","51","","","","","","16","","75","","","","","2","","","","","","","","","","","",""
"2020-09-08","","","","","","","3","28","","","","2","","53","","","","","8","17","","76","","","","","","","","","","","","","","","","4",""
"2020-09-09","","","","","","","","","","","","","","53","","","","","","17","","76","","","","","2","","","","","","","","","","","",""
"2020-09-10","","","","","","","","","","","","","","53","","","","","","17","","76","","","","","2","","","","","","","","","","","",""
"2020-09-11","","","","","","","","","","","","2","","53","","","","","","17","","76","","","","","","","","","","","","","","","","",""
"2020-09-12","","","","","","","","","","","","","","53","","","","","","17","","76","","","","","2","","","","","","","","","","","",""
"2020-09-13","","","","","","","","","","","","","","","","","","","","17","","76","","","","","2","","","","","","","","","","","",""
"2020-09-14","","","","","","","","","","","","","","53","","","10","","","17","","76","","","","","2","","","","","","","","","","","",""
"2020-09-15","","","","","","","","","","","","","","53","","","","","","17","","76","","","","","2","","","","","","","","","","","",""
"2020-09-16","","","","","","","","","","","","","","53","","","10","","","17","","76","","","","","","","","","","","","","","","","",""
"2020-09-17","","","","","","","","","","","","","","","","","","","","17","","76","","","","","","","","","","","","","","","","",""
"2020-09-19","","","","","","","","","","","","","","","","","10","","","17","","76","","","","","2","","","","","","","","","","","",""
"2020-09-20","","","","6","","","","","4","","","","","56","","","12","","10","17","","78","","","","","","","4","","","","","","","","24","",""
