"date","Connecticut/Fairfield","Connecticut/Hartford","Connecticut/Litchfield","Connecticut/Middlesex","Connecticut/New Haven","Connecticut/New London","Connecticut/Tolland","Connecticut/Unassigned","Connecticut/Windham"
"2020-06-23","39","29","2","13","29","7","3","-8","3"
"2020-06-24","5","7","0","1","2","0","0","-2","1"
"2020-06-25","20","33","0","4","18","-2","1","0","7"
"2020-06-26","17","28","2","5","9","4","5","-8","3"
"2020-06-27","42","47","11","5","21","18","2","0","1"
"2020-06-28","27","29","0","5","24","3","4","-1","6"
"2020-06-29","31","36","5","3","19","11","-1","-46","1"
"2020-06-30","39","39","3","10","41","13","4","-1","4"
"2020-07-01","14","29","0","-1","9","0","0","5","2"
"2020-07-02","16","25","2","7","15","5","2","2","0"
"2020-07-03","24","12","2","-3","26","4","0","2","4"
"2020-07-04","0","0","0","0","0","0","0","0","0"
"2020-07-05","0","0","0","0","0","0","0","0","0"
"2020-07-06","66","66","10","13","53","19","10","14","8"
"2020-07-07","14","18","4","-1","11","8","0","0","3"
"2020-07-08","22","23","1","11","13","4","1","1","-1"
"2020-07-09","27","31","1","3","23","11","2","-1","4"
"2020-07-10","20","26","0","1","23","3","0","3","2"
"2020-07-11","0","0","0","0","0","0","0","0","0"
"2020-07-12","0","0","0","0","0","0","0","0","0"
"2020-07-13","48","57","2","5","80","6","7","14","4"
"2020-07-14","6","1","0","1","5","6","0","-1","2"
"2020-07-15","33","30","5","5","26","5","2","-1","1"
"2020-07-16","34","36","3","5","43","6","0","-16","3"
"2020-07-17","42","30","3","6","47","2","2","2","9"
"2020-07-18","0","0","0","0","0","0","0","0","0"
"2020-07-19","0","0","0","0","0","0","0","0","0"
"2020-07-20","43","36","1","2","55","9","9","6","1"
"2020-07-21","11","19","1","2","6","1","-2","2","1"
"2020-07-22","41","46","5","1","31","7","0","-6","2"
"2020-07-23","20","-2","0","-2","10","-12","-9","4","0"
"2020-07-24","237","195","30","5","49","10","27","-12","3"
"2020-07-25","0","0","0","0","0","0","0","0","0"
"2020-07-26","0","0","0","0","0","0","0","0","0"
"2020-07-27","38","50","8","8","57","11","5","20","10"
"2020-07-28","35","11","2","1","24","9","3","3","6"
"2020-07-29","239","141","23","1","18","5","29","5","2"
"2020-07-30","53","19","6","2","30","9","10","-8","9"
"2020-07-31","7","84","-2","0","28","6","8","1","8"
"2020-08-01","0","0","0","0","0","0","0","0","0"
"2020-08-02","0","0","0","0","0","0","0","0","0"
"2020-08-03","77","56","1","11","45","12","31","0","19"
"2020-08-04","6","10","2","3","14","7","3","-1","4"
"2020-08-05","36","22","6","5","18","7","3","12","6"
"2020-08-06","14","12","1","-1","10","3","-1","-20","2"
"2020-08-07","30","16","3","1","17","2","1","3","2"
"2020-08-08","0","0","0","0","0","0","0","0","0"
"2020-08-09","0","0","0","0","0","0","0","0","0"
"2020-08-10","79","39","5","9","79","24","0","0","12"
"2020-08-11","46","26","3","3","16","10","0","6","7"
"2020-08-12","7","4","-1","0","14","2","0","-7","3"
"2020-08-13","38","25","3","3","18","6","0","-20","3"
"2020-08-14","34","16","12","3","44","2","0","0","4"
"2020-08-15","0","0","0","0","0","0","0","0","0"
"2020-08-16","0","0","0","0","0","0","0","0","0"
"2020-08-17","157","85","5","11","62","22","3","18","7"
"2020-08-18","5","-7","-1","-1","-2","-2","16","-20","0"
"2020-08-19","25","7","2","1","12","2","6","-1","5"
"2020-08-20","54","22","4","0","34","4","1","-1","0"
"2020-08-21","33","24","3","1","20","2","1","2","1"
"2020-08-22","0","0","0","0","0","0","0","0","0"
"2020-08-23","0","0","0","0","0","0","0","0","0"
"2020-08-24","171","178","13","8","76","12","2","20","12"
