"date","Arunachal Pradesh/Anjaw","Arunachal Pradesh/Changlang","Arunachal Pradesh/East Kameng","Arunachal Pradesh/East Siang","Arunachal Pradesh/Kamle","Arunachal Pradesh/Kra Daadi","Arunachal Pradesh/Kurung Kumey","Arunachal Pradesh/Lepa Rada","Arunachal Pradesh/Lohit","Arunachal Pradesh/Longding","Arunachal Pradesh/Lower Dibang Valley","Arunachal Pradesh/Lower Siang","Arunachal Pradesh/Lower Subansiri","Arunachal Pradesh/Namsai","Arunachal Pradesh/Pakke Kessang","Arunachal Pradesh/Papum Pare","Arunachal Pradesh/Shi Yomi","Arunachal Pradesh/Siang","Arunachal Pradesh/Tawang","Arunachal Pradesh/Tirap","Arunachal Pradesh/Upper Dibang Valley","Arunachal Pradesh/Upper Siang","Arunachal Pradesh/Upper Subansiri","Arunachal Pradesh/West Kameng","Arunachal Pradesh/West Siang"
"2020-07-28",""," 15.83 %","","","","","",""," 43.33 %","","","","","",""," ##.## %","","","  9.67 %","",""," ##.## %","",""," ##.## %"
"2020-07-29",""," 15.83 %","","","","","",""," 58.33 %","","","","","",""," ##.## %","",""," 89.67 %"," 12.33 %",""," 92.38 %","",""," 52.67 %"
"2020-07-30",""," 14.72 %","","","","","",""," 41.19 %","","","","","",""," ##.## %","",""," 97.67 %"," -4.33 %","","","","",""
"2020-07-31",""," 46.09 %","","","","","",""," 47.86 %","","","","","",""," ##.## %","","",""," -8.33 %","","","","",""
"2020-08-01",""," 24.12 %",""," ##.## %","","","","","","","","",""," 38.08 %","","  1.23 %","",""," 98.24 %"," ##.## %","","","","",""
"2020-08-02","","  4.12 %"," ##.## %"," ##.## %","","","",""," ##.## %","","","","","",""," -5.54 %","","","","","","","","",""
"2020-08-03",""," ##.## %"," ##.## %"," ##.## %","","","","","","-15.00 %",""," 70.00 %","","","","  -.54 %","","","","","","","","",""
"2020-08-04",""," ##.## %"," ##.## %"," ##.## %","","","","","","",""," 73.33 %","","","","-11.85 %","","","","","","",""," ##.## %",""
"2020-08-05",""," ##.## %"," ##.## %"," 79.33 %","","","","","","","","","","",""," 13.75 %","","","","","","","","",""
"2020-08-06",""," ##.## %"," 77.33 %","","","","","","","","","","","",""," -6.56 %","","","","","","",""," ##.## %",""
"2020-08-07",""," ##.## %"," ##.## %","","","","","","","-15.00 %","","","","",""," 23.51 %","","","","","","",""," 81.90 %",""
"2020-08-08",""," ##.## %"," ##.## %","","","","","","","","","","","",""," 21.85 %","","","","","","",""," 89.33 %"," ##.## %"
"2020-08-09","",""," ##.## %","","","","","","","","","",""," ##.## %",""," 18.44 %","",""," 83.33 %","","","","",""," ##.## %"
"2020-08-10",""," ##.## %"," 51.40 %","","","","","","-16.33 %","",""," 16.00 %",""," ##.## %",""," 38.44 %","",""," 83.33 %","","","",""," ##.## %",""
"2020-08-11",""," ##.## %"," 31.40 %","   .19 %","","","",""," 83.67 %","","","","","",""," 59.46 %","","","","","","","",""," ##.## %"
"2020-08-12",""," ##.## %"," ##.## %","  3.52 %","","","",""," ##.## %","","","","","",""," 34.06 %","","","  3.33 %","","","","",""," ##.## %"
"2020-08-13",""," 83.33 %"," ##.## %"," 34.95 %","","","",""," ##.## %","","","","","",""," 57.40 %","","","","","","","",""," ##.## %"
"2020-08-14",""," ##.## %"," ##.## %"," 16.62 %","","","",""," ##.## %","","","","","",""," 55.51 %","","","","","","","-12.00 %",""," ##.## %"
"2020-08-15","","  4.33 %"," ##.## %"," -2.94 %","","","",""," ##.## %",""," 10.00 %","","","","","  4.84 %","","","","","",""," 48.00 %",""," ##.## %"
"2020-08-16",""," 17.67 %"," ##.## %","  7.06 %","","","","","",""," 90.00 %","","","","","  7.76 %","","","","","",""," 35.50 %"," 37.35 %",""
"2020-08-17",""," 32.67 %"," 10.91 %"," -2.94 %","","","","","","","","",""," 48.00 %",""," 22.50 %","","","","","","",""," 33.35 %",""
"2020-08-18",""," 26.00 %"," 30.00 %","-27.22 %","","",""," 50.00 %","","","","",""," 48.00 %","","  8.53 %","",""," 28.33 %","","",""," ##.## %"," 53.35 %",""
"2020-08-19"," ##.## %","   .00 %"," 30.00 %"," 17.78 %","","",""," 50.00 %","","","","",""," 98.00 %",""," 25.77 %","",""," 21.67 %","","",""," ##.## %"," -1.33 %",""
"2020-08-20"," ##.## %"," ##.## %"," 90.00 %"," ##.## %","","","","","","","","","","",""," 21.53 %","",""," 35.00 %","","",""," ##.## %"," 35.39 %",""
"2020-08-21",""," ##.## %"," 88.00 %"," ##.## %","","","","","","","","-14.00 %","","",""," 16.86 %","","","  5.00 %","","","",""," 33.63 %"," 67.50 %"
"2020-08-22","",""," 68.00 %"," ##.## %","","","","","","","","-24.00 %","","",""," 20.73 %","",""," ##.## %","","",""," ##.## %"," 49.63 %"," 54.17 %"
"2020-08-23","  4.07 %"," ##.## %",""," ##.## %","","","","","","","","-24.00 %","","","","  3.04 %","",""," ##.## %","","",""," ##.## %","  2.13 %"," ##.## %"
"2020-08-24",""," 95.32 %",""," ##.## %","","","","","","",""," 16.00 %","",""," 10.00 %"," -1.41 %","",""," ##.## %","","","",""," 33.94 %",""
"2020-08-25",""," ##.## %",""," 89.93 %","","","","","","","   .00 %"," 26.67 %","",""," ##.## %"," 34.95 %","-10.00 %",""," ##.## %","","","","","  4.50 %"," ##.## %"
"2020-08-26"," 23.33 %"," 59.93 %",""," ##.## %","","","","","","","   .00 %"," 21.67 %","",""," ##.## %"," 33.35 %","","",""," 90.00 %","","",""," 16.72 %"," 99.17 %"
"2020-08-27"," 23.33 %"," 79.72 %",""," ##.## %","","","","","","",""," 51.67 %","",""," ##.## %"," 17.43 %","-10.00 %","",""," 81.11 %","","",""," 14.72 %"," 98.33 %"
"2020-08-28"," 23.33 %"," 87.00 %",""," ##.## %","","",""," 20.00 %","","",""," ##.## %","",""," ##.## %"," 44.71 %","","",""," 69.11 %","","",""," 20.56 %"," ##.## %"
"2020-08-29",""," 96.28 %",""," ##.## %","","","","","","","-10.00 %"," 79.67 %","",""," ##.## %"," 45.68 %","","",""," ##.## %",""," ##.## %",""," 34.56 %"," 25.00 %"
"2020-08-30",""," ##.## %",""," 28.83 %","","","","","","","-10.00 %"," ##.## %","","",""," 11.86 %",""," ##.## %",""," ##.## %",""," ##.## %",""," 21.04 %"," 59.00 %"
"2020-08-31",""," ##.## %","","  7.72 %","","","","","","","-10.00 %"," ##.## %","","","","  3.86 %","",""," 32.00 %"," 26.06 %","","",""," 88.81 %"," 47.64 %"
"2020-09-01",""," ##.## %",""," 35.22 %","","","",""," 10.00 %","","-20.00 %"," 79.67 %","","",""," 27.28 %","",""," 26.29 %"," 44.94 %",""," ##.## %",""," 69.93 %"," 50.97 %"
"2020-09-02",""," ##.## %",""," -8.11 %","","",""," ##.## %"," 30.00 %","","   .00 %","  -.33 %","","","","  5.11 %","",""," 48.95 %"," ##.## %","","-12.62 %",""," 80.59 %"," ##.## %"
"2020-09-03",""," ##.## %","","  6.89 %","","",""," ##.## %"," 10.00 %",""," 90.00 %","","","",""," 19.27 %","","","  5.24 %"," ##.## %",""," 12.38 %",""," 49.93 %"," ##.## %"
"2020-09-04",""," 82.91 %","","  5.56 %","","",""," ##.## %"," 50.00 %",""," 88.00 %",""," 36.67 %","",""," 30.10 %","",""," 75.24 %"," ##.## %",""," 13.33 %",""," 94.16 %"," ##.## %"
"2020-09-05",""," 94.98 %","","  4.67 %","","",""," ##.## %"," 53.33 %"," 84.50 %"," 76.89 %","","","",""," 25.51 %","-10.00 %",""," 82.78 %"," ##.## %","","","","  6.66 %"," ##.## %"
"2020-09-06",""," 72.84 %",""," 44.67 %","","",""," ##.## %"," 48.33 %"," 94.50 %","","","","","","  -.26 %","-10.00 %",""," 69.92 %"," ##.## %","","",""," 25.55 %"," ##.## %"
"2020-09-07",""," ##.## %",""," ##.## %","",""," ##.## %",""," ##.## %"," ##.## %"," ##.## %","","","",""," ##.## %"," ##.## %",""," ##.## %"," ##.## %","","",""," ##.## %"," ##.## %"
