"date","Washington/Adams","Washington/Asotin","Washington/Benton","Washington/Chelan","Washington/Clallam","Washington/Clark","Washington/Columbia","Washington/Cowlitz","Washington/Douglas","Washington/Ferry","Washington/Franklin","Washington/Garfield","Washington/Garfield County","Washington/Grant","Washington/Grays Harbor","Washington/Island","Washington/Jefferson","Washington/King","Washington/Kitsap","Washington/Kittitas","Washington/Klickitat","Washington/Lewis","Washington/Lincoln","Washington/Mason","Washington/Okanogan","Washington/Pacific","Washington/Pend Oreille","Washington/Pierce","Washington/San Juan","Washington/Skagit","Washington/Skamania","Washington/Snohomish","Washington/Spokane","Washington/Stevens","Washington/Thurston","Washington/Unassigned","Washington/Wahkiakum","Washington/Walla Walla","Washington/Walla Walla County","Washington/Whatcom","Washington/Whitman","Washington/Yakima"
"2020-04-05"," 13.11 %"," 20.00 %"," 13.19 %"," 12.82 %","   .00 %","  3.48 %","   .00 %","  5.71 %"," 16.22 %","   .00 %"," 11.59 %","","","  5.04 %"," 30.00 %","  4.18 %","  4.66 %","  6.44 %","  7.18 %","  2.22 %","  4.44 %","  5.67 %","   .00 %"," 25.84 %"," 20.00 %","","   .00 %"," 13.26 %"," 13.33 %","  5.95 %"," 20.00 %","  4.92 %"," 10.10 %","  5.00 %","  7.00 %"," 15.30 %","   .00 %","  8.69 %",""," 10.36 %","  7.00 %"," 15.90 %"
"2020-04-06"," 14.18 %"," 30.00 %"," 10.27 %"," 11.57 %","   .00 %","  5.60 %","   .00 %","  5.71 %"," 16.22 %","   .00 %"," 14.45 %","","","  7.04 %"," 30.00 %","  5.30 %","  5.41 %","  7.47 %","  7.18 %","  6.22 %","  4.44 %"," 10.28 %","   .00 %"," 23.27 %"," 25.71 %","","   .00 %"," 14.10 %"," 19.05 %","  4.79 %"," 20.00 %","  4.26 %","  7.13 %","  5.00 %","  7.00 %"," 17.50 %"," 20.00 %"," 12.02 %",""," 10.72 %","  3.82 %"," 18.17 %"
"2020-04-07","  6.38 %"," 36.67 %","  6.31 %"," 13.84 %","   .00 %","  7.47 %","   .00 %","  3.33 %"," 12.22 %","   .00 %"," 11.48 %","","","  3.86 %"," 30.00 %","  4.53 %","  7.60 %","  5.61 %","  7.63 %","  5.67 %","  4.44 %"," 10.28 %","   .00 %","  7.94 %"," 25.71 %","","   .00 %","  8.88 %"," 11.27 %","  3.07 %"," 20.00 %","  3.85 %","  4.10 %","   .00 %","  7.84 %"," 15.69 %"," 20.00 %"," 10.83 %","","  6.42 %","  1.82 %"," 11.28 %"
"2020-04-08","  7.86 %"," 36.67 %","  5.72 %"," 11.61 %","  2.50 %","  7.09 %","   .00 %","  3.33 %"," 12.22 %","   .00 %"," 10.95 %","","","  4.68 %"," 33.33 %","  4.07 %","  7.60 %","  5.78 %","  4.74 %","  5.67 %","  4.44 %","  6.28 %","   .00 %","  5.55 %"," 21.27 %","","   .00 %","  6.87 %"," 15.27 %","  2.03 %"," 20.00 %","  4.29 %","  4.31 %","   .00 %","  5.10 %"," 13.59 %"," 20.00 %"," 15.45 %","","  5.62 %","  1.82 %"," 10.90 %"
"2020-04-09","  8.55 %"," 36.67 %","  7.54 %"," 12.91 %","  4.72 %","  8.77 %","   .00 %","  5.24 %","  6.22 %","   .00 %"," 13.44 %","","","  4.36 %"," 23.33 %","  4.95 %","  7.60 %","  6.06 %","  4.06 %","  8.74 %","  6.26 %","  5.87 %","   .00 %","  5.55 %"," 15.27 %","","   .00 %","  6.24 %"," 15.27 %","  1.34 %"," 20.00 %","  3.03 %","  3.35 %","  4.00 %","  3.84 %"," 12.63 %"," 20.00 %"," 16.70 %","","  4.17 %","  1.82 %","  8.47 %"
"2020-04-10","  5.55 %"," 16.67 %","  7.49 %","  9.67 %","  6.72 %","  8.77 %","   .00 %","  5.24 %","  5.67 %","   .00 %"," 11.65 %","","","  4.84 %","  6.19 %","  3.64 %","  7.29 %","  5.39 %","  4.05 %","  8.74 %","  1.82 %","  7.04 %","   .00 %","  5.19 %"," 11.94 %","","   .00 %","  4.93 %"," 11.94 %","  2.04 %","   .00 %","  2.94 %","  2.80 %","  4.00 %","  3.94 %"," 12.23 %"," 20.00 %"," 14.20 %","","  2.23 %","  1.82 %","  6.56 %"
"2020-04-11","  2.94 %","  6.67 %","  7.10 %"," 13.23 %","  6.72 %","  5.61 %","   .00 %","  5.24 %"," 10.28 %","   .00 %"," 10.86 %","","","  4.62 %","  6.19 %","  2.20 %","  5.29 %","  5.06 %","  4.37 %","  4.74 %","  1.82 %","  2.43 %"," 20.00 %","  3.76 %","  9.56 %","   .00 %","   .00 %","  5.16 %","  7.89 %","  2.82 %"," 10.00 %","  2.74 %","  2.52 %","  4.00 %","  3.94 %","  6.59 %","   .00 %"," 11.06 %","","  2.75 %","   .00 %","  7.15 %"
"2020-04-12","  6.17 %","  5.00 %","  7.39 %"," 10.53 %","  8.54 %","  3.58 %","   .00 %","  1.90 %"," 10.28 %","   .00 %","  9.92 %","","","  5.35 %"," 13.69 %","  2.19 %","   .74 %","  4.90 %","  2.11 %","   .41 %","  5.15 %","  1.32 %"," 20.00 %","  3.54 %"," 10.98 %","   .00 %","   .00 %","  4.16 %","  5.67 %","  2.42 %"," 10.00 %","  2.39 %","  4.36 %","  7.33 %","  1.85 %","  2.96 %","   .00 %"," 10.39 %","","  2.03 %","   .00 %","  7.15 %"
"2020-04-13","  5.25 %","  5.00 %","  7.85 %"," 10.53 %","  6.04 %","  4.77 %","   .00 %","  3.64 %"," 12.78 %","   .00 %"," 10.27 %","","","  5.04 %"," 10.36 %","  1.76 %","   .74 %","  3.74 %","  2.11 %","  1.95 %","  5.15 %","  1.32 %"," 20.00 %","  2.29 %","  8.76 %","   .00 %","   .00 %","  4.05 %","  1.67 %","  2.48 %"," 10.00 %","  2.39 %","  2.97 %","  7.33 %","  1.85 %"," -7.16 %","   .00 %","  5.78 %","","  2.11 %","   .00 %","  6.21 %"
"2020-04-14","  5.64 %","  9.00 %","  4.37 %","  7.42 %","  3.82 %","  4.01 %","   .00 %","  1.74 %"," 17.67 %","   .00 %","  9.31 %","","","  5.16 %"," 10.36 %","   .89 %","   .74 %","  3.22 %","  1.94 %"," -1.13 %","  3.33 %","   .07 %"," 20.00 %","  2.29 %","  4.76 %","   .00 %","   .00 %","  2.97 %","  1.67 %","  2.55 %"," 10.00 %","  2.25 %","  2.39 %","  3.33 %","  1.04 %"," -9.84 %","   .00 %","  4.53 %","","  1.69 %","   .00 %","  7.39 %"
"2020-04-15","  5.64 %","  9.00 %","  2.70 %","  6.49 %","  5.15 %","  4.65 %","   .00 %","  2.54 %"," 18.31 %","   .00 %"," 14.36 %","","","  3.90 %","  9.32 %","  1.02 %","   .00 %","  2.34 %","   .94 %"," -1.13 %","  4.76 %","  1.24 %"," 20.00 %","  1.11 %","  4.76 %","   .00 %","   .00 %","  2.73 %","  1.67 %","  2.16 %"," 10.00 %","  1.98 %","  2.12 %","  3.33 %","   .25 %","-15.68 %","   .00 %","  6.43 %","","  1.49 %","   .00 %","  7.42 %"
"2020-04-16","  6.15 %"," 22.33 %","  3.03 %","  3.59 %","  5.15 %","  3.83 %","   .00 %","  2.54 %"," 17.14 %","   .00 %","  8.73 %","","","  3.26 %","  9.32 %","   .88 %","   .00 %","  1.97 %","   .62 %"," -1.13 %","  6.10 %","  1.24 %","   .00 %","  2.16 %","  1.43 %","   .00 %","   .00 %","  2.09 %","   .00 %","  2.48 %","   .00 %","  2.06 %","  2.70 %","  3.33 %","  1.22 %","-20.16 %","   .00 %","  5.51 %","","   .91 %","  1.67 %","  5.79 %"
"2020-04-17","  2.15 %"," 19.33 %","  3.47 %","  3.79 %","  4.76 %","  4.74 %","   .00 %","  2.54 %"," 17.14 %","   .00 %","  9.11 %","","","  3.15 %","  1.82 %","   .87 %","   .00 %","  2.07 %","   .45 %","  1.54 %","  2.76 %","  2.35 %","   .00 %","  2.05 %","   .00 %","   .00 %"," 20.00 %","  3.15 %","   .00 %","  3.13 %","   .00 %","  1.95 %","  1.71 %","   .00 %","  1.92 %","-12.86 %","   .00 %","  4.51 %","","   .61 %","  3.21 %","  5.83 %"
"2020-04-18","  1.59 %"," 19.33 %","  3.41 %","  4.09 %","  4.76 %","  3.01 %","   .00 %","  3.11 %"," 14.64 %","   .00 %","  9.18 %","","","  3.15 %","  1.82 %","   .87 %","   .00 %","  2.07 %","   .45 %","   .00 %","  2.76 %","  2.35 %","   .00 %","  3.01 %","   .00 %","   .00 %"," 20.00 %","  2.33 %","  3.08 %","  3.43 %","   .00 %","  1.88 %","  1.83 %","  2.86 %","  1.92 %"," -3.19 %","   .00 %","  5.28 %","","   .90 %","  4.63 %","  7.19 %"
"2020-04-19","  1.01 %"," 18.97 %","  3.33 %","  3.70 %","  4.76 %","  2.09 %","   .00 %","  3.11 %","  5.76 %","   .00 %","  8.79 %","","","  3.25 %","  1.82 %","   .49 %","   .71 %","  2.63 %","   .90 %","   .00 %","  2.76 %","  3.41 %","   .00 %","  3.01 %","   .00 %","   .00 %"," 20.00 %","  3.38 %","  3.08 %","  4.25 %","   .00 %","  1.91 %","  2.16 %","  2.86 %","  2.82 %","   .82 %","   .00 %","  5.28 %","","   .97 %","  4.63 %","  5.55 %"
"2020-04-20","  1.01 %"," 18.97 %","  3.39 %","  4.25 %","   .10 %","  2.82 %","   .00 %","  4.38 %","  2.27 %","   .00 %","  1.18 %","","","  3.25 %","   .00 %","   .37 %","   .02 %","  2.32 %","   .90 %","   .00 %","  1.33 %","  2.05 %","   .00 %","  3.01 %"," -1.33 %"," 40.00 %"," 20.00 %","  3.53 %","  3.08 %","  4.36 %","   .00 %","  1.70 %","  2.41 %","  2.86 %","  2.79 %"," -7.72 %","   .00 %","  7.82 %","","   .66 %","  1.97 %","  5.64 %"
"2020-04-21","  1.48 %","  5.64 %","  2.88 %","  5.19 %","   .10 %","  2.95 %","   .00 %","  4.38 %"," 15.70 %","   .00 %","  4.85 %","","","  2.10 %","   .00 %","   .24 %","   .02 %","  2.44 %","   .90 %","   .00 %","   .00 %","  2.05 %","   .00 %","  1.95 %"," -1.33 %"," 40.00 %"," 20.00 %","  3.61 %","  3.08 %","  3.82 %","   .00 %","  1.50 %","  1.96 %","  2.86 %","  1.81 %"," -1.92 %","   .00 %","  5.21 %","","   .51 %","   .30 %","  5.20 %"
"2020-04-22","  1.94 %","  5.17 %","  2.77 %","  5.97 %"," -1.33 %","  2.51 %","   .00 %","  5.63 %"," 16.38 %","   .00 %","  5.10 %","","","  2.04 %","   .00 %","   .36 %","   .02 %","  1.89 %","   .88 %","   .00 %","   .00 %","  2.05 %","   .00 %","   .95 %"," -1.33 %"," 40.00 %","   .00 %","  2.64 %","  3.08 %","  3.20 %","   .00 %","  1.45 %","  1.25 %","  2.86 %","  1.11 %"," -6.48 %","   .00 %","  5.82 %","","   .73 %"," -1.24 %","  4.63 %"
"2020-04-23","  2.40 %","  8.03 %","  3.62 %","  5.67 %"," -1.33 %","  1.10 %","   .00 %","  3.91 %"," 17.03 %","   .00 %","  5.76 %","   .00 %","","   .85 %","   .00 %","  -.59 %","   .02 %","  2.46 %","  1.30 %","   .00 %","   .00 %","  3.01 %","   .00 %","   .00 %","  1.52 %"," 46.67 %","   .00 %","  1.93 %"," -1.33 %","  4.43 %","   .00 %","  1.15 %","  1.17 %","  2.50 %","  1.54 %","-16.21 %","   .00 %","  9.17 %","","   .43 %"," -2.67 %","  3.00 %"
"2020-04-24","  1.90 %","  4.40 %","  4.15 %","  4.10 %"," -1.33 %","  1.24 %","   .00 %","  4.48 %"," 18.94 %","   .00 %","  4.69 %","   .00 %","","   .83 %","   .00 %","  -.71 %","  -.69 %","  1.73 %","   .72 %","   .00 %","   .00 %","  4.68 %","   .00 %","   .00 %","  1.52 %"," 46.67 %","   .00 %","  1.21 %"," -1.33 %","  3.40 %","   .00 %","   .92 %","  1.46 %","  2.50 %","  1.06 %","-20.93 %","   .00 %"," 12.58 %","","   .36 %"," -1.13 %","  2.82 %"
"2020-04-25","  2.34 %","  5.65 %","  4.92 %","  3.78 %","  1.43 %","   .07 %","   .00 %","  4.08 %"," 20.40 %","   .00 %","  5.61 %","   .00 %","","   .97 %","   .00 %","  -.59 %","   .00 %","  2.10 %","   .86 %","   .00 %","   .00 %","  6.88 %","   .00 %","   .00 %","  4.11 %","  6.67 %","   .00 %","   .80 %"," -1.33 %","  3.27 %","   .00 %","  1.21 %","  1.98 %","  4.72 %","  1.45 %","  -.82 %","   .00 %","  8.97 %","","   .43 %","  1.54 %","  3.20 %"
"2020-04-26","  1.36 %","  5.65 %","  4.46 %","  2.40 %","  1.43 %","  -.54 %","   .00 %","  4.08 %","  4.10 %","   .00 %","  5.59 %","   .00 %","","   .97 %","   .00 %","  -.71 %","   .00 %","  2.07 %","   .86 %","   .00 %","   .00 %","  6.88 %","   .00 %","   .00 %","  6.46 %","  6.67 %","   .00 %","   .43 %"," -1.33 %","  3.53 %","   .00 %","  1.09 %","  1.97 %","  2.72 %","  1.26 %"," -2.86 %","   .00 %","  9.77 %","","   .57 %","  1.54 %","  3.21 %"
"2020-04-27","   .90 %","  4.11 %","  3.92 %","  1.11 %","  1.43 %","  -.26 %","   .00 %","  2.83 %","  4.26 %","   .00 %","  4.43 %","   .00 %","","   .68 %","   .00 %","  -.45 %","   .00 %","  2.02 %","   .84 %","   .00 %","   .00 %","  6.88 %","   .00 %","   .91 %","  7.51 %","  6.67 %","   .00 %","   .45 %"," -1.33 %","  3.70 %","   .00 %","  1.09 %","  1.84 %","  2.72 %","  1.26 %"," -6.12 %","   .00 %"," 10.32 %","","   .43 %","  1.54 %","  3.17 %"
"2020-04-28","   .44 %","  1.25 %","  2.61 %","  1.76 %","  4.10 %","  1.48 %","   .00 %","  2.24 %","  3.60 %","   .00 %","  2.62 %","   .00 %","","  1.21 %","   .00 %","   .99 %","   .00 %","  1.64 %","   .55 %","  1.43 %","   .00 %","  5.93 %","   .00 %","   .91 %","  5.66 %","   .00 %","   .00 %","  1.64 %","   .00 %","  1.93 %","   .00 %","  1.31 %","  1.82 %","   .22 %","   .83 %"," -7.63 %","   .00 %","  6.93 %","","   .77 %","  1.54 %","  3.56 %"
"2020-04-29","   .88 %","  1.25 %","  1.96 %","  1.95 %","  5.27 %","  1.59 %","   .00 %","  2.69 %","  2.23 %","   .00 %","  2.93 %","   .00 %","","   .80 %","   .00 %","   .99 %","   .00 %","  1.60 %","   .69 %","   .10 %","   .00 %","  3.20 %","   .00 %","   .91 %","  5.66 %","   .00 %","   .00 %","  1.51 %","   .00 %","  2.63 %","   .00 %","  1.27 %","  1.37 %","   .22 %","  1.21 %"," -3.32 %","   .00 %","  5.27 %","","   .84 %","   .00 %","  3.24 %"
"2020-04-30","   .43 %","  1.18 %","  1.51 %","  3.76 %","  3.84 %","  1.64 %","   .00 %","  2.98 %","  2.20 %","   .00 %","  2.23 %","   .00 %","","  1.18 %","   .00 %","   .86 %","   .00 %","  1.58 %","   .69 %","   .10 %","  1.25 %","   .00 %","   .00 %","   .91 %","  5.36 %","   .00 %","   .00 %","  1.37 %","   .00 %","  2.78 %","   .00 %","  1.16 %","   .69 %"," -2.00 %","   .79 %","-14.93 %","   .00 %","  6.05 %","","  1.24 %","   .00 %","  2.94 %"
"2020-05-01","   .43 %","  1.18 %","  2.65 %","  4.47 %","  3.84 %","  1.95 %","   .00 %","  3.87 %","  1.88 %","   .00 %","  4.30 %","   .00 %","","  1.68 %","   .00 %","  1.11 %","   .00 %","  1.36 %","   .82 %","  1.52 %","  1.25 %","   .00 %","   .00 %","  2.65 %","  2.10 %","   .00 %","   .00 %","  1.48 %","   .00 %","  2.43 %","   .00 %","  1.20 %","  1.13 %","   .00 %","  1.18 %"," -7.22 %","   .00 %","  7.93 %","","  1.16 %","   .00 %","  3.47 %"
"2020-05-02","   .86 %","  1.18 %","  3.88 %","  4.21 %","  3.84 %","  1.27 %","   .00 %","  6.42 %","  1.81 %","   .00 %","  6.43 %","   .00 %","","  2.15 %","   .00 %","   .61 %","   .00 %","  1.33 %","   .41 %","  1.52 %","  1.25 %","   .00 %","   .00 %","  1.74 %","  1.04 %","   .00 %","   .00 %","  1.73 %","   .00 %","  2.50 %","   .00 %","  1.34 %","  1.08 %","   .00 %","  2.13 %","  2.01 %","   .00 %","  9.68 %","","  1.69 %","   .00 %","  4.25 %"
"2020-05-03","   .86 %","  1.18 %","  4.56 %","  4.26 %","  2.29 %","   .94 %","   .00 %","  6.42 %","  1.81 %","   .00 %","  6.58 %","   .00 %","","  1.87 %","   .00 %","   .12 %","   .00 %","  1.45 %","   .27 %","   .10 %","  2.43 %","   .00 %","   .00 %","  2.54 %","   .04 %","   .00 %","   .00 %","  1.50 %","   .00 %","  2.83 %","   .00 %","  1.19 %","  1.07 %","   .00 %","  2.13 %","  -.73 %","   .00 %","  9.18 %","","  1.53 %","   .00 %","  4.39 %"
"2020-05-04","   .43 %","  1.18 %","  4.76 %","  4.18 %","   .06 %","  1.18 %","   .00 %","  7.66 %","  1.76 %","   .00 %","  6.53 %","   .00 %","","  3.05 %","   .00 %","   .12 %","   .00 %","  1.41 %","   .27 %","   .10 %","  2.43 %","   .00 %","   .00 %","  2.54 %","   .04 %","   .00 %","   .00 %","  1.60 %","   .00 %","  2.09 %","   .00 %","  1.21 %","  1.06 %","   .00 %","  1.69 %"," -3.46 %","   .00 %","  8.33 %","","  1.52 %","   .00 %","  4.88 %"
"2020-05-05","   .43 %","   .00 %","  4.57 %","  2.98 %","  1.17 %","   .98 %","   .00 %","  6.05 %","  1.50 %","   .00 %","  6.41 %","   .00 %","","  2.53 %","   .00 %","   .00 %","   .00 %","  1.30 %","   .13 %","   .10 %","   .07 %","   .00 %","   .00 %","  2.54 %","  -.91 %","   .00 %","   .00 %","  1.63 %","   .00 %","  2.04 %","   .00 %","   .94 %","   .89 %","   .00 %","  1.49 %"," -5.02 %","   .00 %","  6.94 %","","  1.04 %","   .00 %","  4.27 %"
"2020-05-06","   .84 %","   .00 %","  3.54 %","  3.97 %","  1.17 %","   .85 %","   .00 %","  5.82 %","  3.87 %","   .00 %","  4.69 %","   .00 %","","  1.92 %","   .00 %","   .36 %","   .00 %","  1.33 %","   .13 %","   .10 %","  1.24 %","   .00 %","   .00 %","   .80 %","   .00 %","   .00 %","   .00 %","  1.66 %","   .00 %","  2.38 %","   .00 %","  1.05 %","   .65 %","   .00 %","  1.83 %","  2.29 %","   .00 %","  4.90 %","","  1.22 %","   .00 %","  3.81 %"
"2020-05-07","   .42 %","   .00 %","  2.18 %","  4.09 %","  1.17 %","   .84 %","   .00 %","  3.27 %","  3.74 %","   .00 %","  2.89 %","   .00 %","","  1.18 %","  1.67 %","   .47 %","   .00 %","  1.40 %","   .53 %","   .10 %","  2.35 %","   .69 %","   .00 %","  2.34 %","   .00 %","   .00 %","   .00 %","  1.69 %","   .00 %","  2.44 %","   .00 %","  1.05 %","   .75 %","   .00 %","   .72 %"," -6.31 %","   .00 %","  2.21 %","","  1.01 %","   .00 %","  4.01 %"
"2020-05-08","   .42 %","   .00 %","  1.54 %","  3.53 %","   .06 %","  1.14 %","   .00 %","  3.91 %","  4.55 %","   .00 %","  2.17 %","   .00 %","","  1.18 %","  1.67 %","   .36 %","   .00 %","  1.25 %","   .53 %","   .10 %","  1.18 %","   .69 %","   .00 %","  1.54 %","   .00 %"," 20.00 %","   .00 %","  1.63 %","   .00 %","  2.02 %","   .00 %","   .98 %","   .64 %","   .00 %","   .72 %","  7.13 %"," 10.00 %","  1.98 %","","   .81 %","  1.43 %","  4.05 %"
"2020-05-09","   .42 %","   .00 %","  1.57 %","  3.62 %","  1.11 %","   .59 %","   .00 %","  1.96 %","  5.05 %","   .00 %","  1.60 %","   .00 %","","   .11 %","  3.21 %","   .47 %","   .71 %","  1.20 %","   .66 %","  4.10 %","  1.18 %","   .69 %","   .00 %","  1.54 %","   .95 %"," 22.50 %","   .00 %","  1.71 %","  1.43 %","  2.15 %","   .00 %","   .98 %","   .48 %","   .00 %","   .71 %","  6.85 %"," 10.00 %","  1.48 %","","   .81 %","  1.43 %","  4.23 %"
"2020-05-10","   .42 %","   .00 %","  1.45 %","  3.48 %","   .00 %","   .82 %","   .00 %","  1.93 %","  5.98 %","   .00 %","  1.69 %","   .00 %","","   .11 %","  1.78 %","   .71 %","   .71 %","  1.14 %","   .66 %","  5.27 %","  2.29 %","   .69 %","   .00 %","  1.54 %","  3.68 %"," 22.50 %","   .00 %","  1.74 %","  1.43 %","  1.96 %","   .00 %","  1.02 %","   .48 %","   .00 %","  1.39 %","  6.91 %"," 10.00 %","  1.27 %","","   .93 %","  1.43 %","  5.11 %"
