"date","Vermont/Addison","Vermont/Bennington","Vermont/Caledonia","Vermont/Chittenden","Vermont/Essex","Vermont/Franklin","Vermont/Grand Isle","Vermont/Lamoille","Vermont/Orange","Vermont/Orleans","Vermont/Rutland","Vermont/Unassigned","Vermont/Washington","Vermont/Windham","Vermont/Windsor"
"2020-04-24","   .00 %","   .54 %","   .00 %","   .57 %","   .00 %","  -.21 %","   .00 %","  1.74 %","  4.00 %","   .00 %","   .47 %","-12.55 %","   .62 %","  1.25 %","   .54 %"
"2020-04-25","   .00 %","  1.07 %","  1.67 %","  1.02 %","   .00 %","  -.65 %","   .00 %","  2.54 %","  4.00 %","   .00 %","   .47 %"," -1.21 %","   .62 %","  1.55 %","  1.07 %"
"2020-04-26","   .00 %","  1.58 %","  1.67 %","   .96 %","   .00 %","  -.21 %","   .00 %","  2.54 %","   .00 %","   .00 %","   .00 %"," 13.33 %","   .62 %","  1.21 %","   .53 %"
"2020-04-27","   .00 %","  1.58 %","  1.67 %","  1.05 %","   .00 %","  -.21 %","   .00 %","  2.54 %","  3.33 %","   .00 %","   .00 %","  5.33 %","  -.61 %","   .88 %","  1.04 %"
"2020-04-28","   .00 %","  3.58 %","  1.67 %","  1.04 %","   .00 %","   .22 %","   .00 %","   .80 %","  3.33 %","   .00 %","   .00 %","  5.33 %","  -.61 %","  1.17 %","  1.04 %"
"2020-04-29","   .00 %","  3.04 %","  1.67 %","   .99 %","   .00 %","   .22 %","   .00 %","   .80 %","  3.33 %","   .00 %","   .00 %","  5.33 %","  -.61 %","  1.17 %","  1.04 %"
"2020-04-30","   .00 %","  2.51 %","   .00 %","   .63 %","   .00 %","   .22 %","   .00 %","   .00 %","  3.33 %","   .00 %","   .45 %"," -8.00 %","   .02 %","   .87 %","   .51 %"
"2020-05-01","   .00 %","  3.36 %","  1.54 %","   .44 %","   .00 %","  1.54 %","   .00 %","   .00 %","  3.33 %","   .00 %","   .90 %"," -8.00 %","   .02 %","   .58 %","   .51 %"
"2020-05-02","   .00 %","  3.36 %","  1.54 %","   .38 %","   .00 %","  1.54 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.20 %","   .00 %","   .62 %","   .29 %","   .50 %"
"2020-05-03","   .00 %","  3.07 %","  1.54 %","   .33 %","   .00 %","  1.74 %","  6.67 %","  -.77 %","   .00 %","   .00 %","  2.20 %","  6.67 %","  1.84 %","   .28 %","   .99 %"
"2020-05-04","   .00 %","  3.07 %","  1.54 %","   .43 %","   .00 %","  1.74 %","  6.67 %","   .03 %","  2.86 %","   .00 %","  2.20 %","  6.67 %","  1.84 %","   .28 %","  1.46 %"
"2020-05-05","   .00 %","  4.24 %","  1.54 %","   .33 %","   .00 %","  1.74 %","  6.67 %","   .03 %","  2.86 %","   .00 %","  2.16 %","  6.67 %","  1.21 %","   .56 %","  1.46 %"
"2020-05-06","   .00 %","  2.51 %","   .00 %","   .33 %","   .00 %","   .20 %","  6.67 %","   .03 %","  2.86 %","   .00 %","  1.31 %","  6.67 %","  1.78 %","   .56 %","  1.93 %"
"2020-05-07","   .00 %","  2.51 %","   .00 %","   .42 %","   .00 %","   .20 %","  6.67 %","   .03 %","  2.86 %","   .00 %","   .01 %","  6.67 %","  2.34 %","   .56 %","  2.34 %"
"2020-05-08","   .33 %","  1.18 %","   .00 %","   .38 %","   .00 %","   .00 %","   .00 %","   .80 %","  2.86 %","   .00 %","   .42 %","   .00 %","  1.13 %","   .28 %","  1.85 %"
"2020-05-09","   .33 %","  1.92 %","   .00 %","   .28 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .02 %","   .00 %","  1.13 %","   .55 %","  1.37 %"
"2020-05-10","   .33 %","  2.53 %","   .00 %","   .33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  -.39 %","   .00 %","  1.67 %","   .27 %","   .94 %"
"2020-05-11","   .33 %","  2.58 %","   .00 %","   .28 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .01 %","   .00 %","  1.10 %","   .27 %","   .47 %"
"2020-05-12","   .33 %","  2.58 %","   .00 %","   .05 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .01 %","   .00 %","   .54 %","   .54 %","  -.43 %"
"2020-05-13","   .00 %","  2.20 %","   .00 %","   .05 %","   .00 %","   .00 %","   .00 %","   .77 %","   .00 %","   .00 %","  -.40 %","   .00 %","   .54 %","   .54 %","   .01 %"
"2020-05-14","   .00 %","  1.46 %","   .00 %","   .05 %","   .00 %","   .00 %","   .00 %","   .77 %","   .00 %","   .00 %","   .00 %","   .00 %","   .54 %","   .80 %","   .44 %"
"2020-05-15","   .00 %","  -.33 %","   .00 %","   .05 %","   .00 %","   .00 %","   .00 %","   .77 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .80 %","   .88 %"
"2020-05-16","   .00 %","   .00 %","   .00 %","   .09 %","   .00 %","   .00 %","   .00 %","   .77 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .80 %","   .88 %"
"2020-05-17","   .00 %","   .00 %","   .00 %","   .32 %","   .00 %","   .00 %","   .00 %","   .77 %","   .00 %","   .00 %","   .41 %","  5.00 %","   .00 %","   .27 %","   .88 %"
"2020-05-18","   .00 %","   .00 %","   .00 %","   .32 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .41 %","  5.00 %","   .00 %","   .27 %","   .43 %"
"2020-05-19","   .00 %","   .00 %","   .00 %","   .32 %","   .00 %","   .00 %","   .00 %","   .74 %","   .00 %","   .00 %","   .41 %","  9.00 %","   .00 %","   .00 %","   .43 %"
"2020-05-20","   .00 %","   .00 %","   .00 %","   .28 %","   .00 %","   .00 %","   .00 %","   .03 %","   .00 %","   .00 %","   .41 %"," 12.33 %","   .00 %","   .00 %","   .43 %"
"2020-05-21","   .00 %","   .00 %","   .00 %","   .28 %","   .00 %","   .00 %","  5.00 %","  1.51 %","   .00 %","   .00 %","   .41 %","  6.62 %","   .00 %","   .78 %","   .84 %"
"2020-05-22","   .00 %","   .00 %","   .00 %","   .05 %"," 10.00 %","   .00 %","  5.00 %","  1.51 %","   .00 %","   .00 %","   .40 %","  1.62 %","   .00 %","  1.04 %","   .84 %"
"2020-05-23","   .00 %","   .00 %","   .00 %","   .05 %"," 10.00 %","   .00 %","  9.00 %","  1.51 %","   .00 %","   .00 %","   .40 %","  1.62 %","   .53 %","  1.04 %","   .84 %"
"2020-05-24","   .00 %","   .33 %","  1.43 %","   .05 %"," 10.00 %","   .00 %","  9.00 %","   .77 %","   .00 %","   .00 %","   .40 %"," -2.38 %","   .53 %","   .78 %","   .42 %"
"2020-05-25","   .00 %","   .66 %","  1.43 %","   .09 %"," 10.00 %","   .00 %"," 12.33 %","  1.48 %","   .00 %","   .00 %","  1.18 %"," -5.71 %","   .53 %","   .78 %","   .82 %"
"2020-05-26","   .00 %","   .66 %","  1.43 %","   .18 %"," 10.00 %","   .00 %","  7.33 %","   .00 %","   .00 %","  2.22 %","  1.18 %","   .00 %","   .53 %","   .00 %","   .81 %"
"2020-05-27","   .00 %","   .66 %","  1.43 %","   .27 %","   .00 %","   .00 %","  7.33 %","   .00 %","   .00 %","  2.22 %","  1.16 %","  4.00 %","   .53 %","   .00 %","   .81 %"
"2020-05-28","   .00 %","   .66 %","  1.43 %","   .41 %","   .00 %","   .00 %","  3.33 %","   .00 %","   .00 %","  2.22 %","  1.16 %","   .67 %","   .00 %","   .25 %","   .81 %"
"2020-05-29","   .00 %","   .65 %","   .00 %","   .36 %","   .00 %","   .00 %","  3.33 %","   .00 %","   .00 %","  2.22 %","  1.53 %","   .67 %","   .00 %","   .25 %","   .81 %"
"2020-05-30","   .32 %","   .32 %","   .00 %","   .36 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.22 %","   .75 %","   .67 %","   .00 %","   .25 %","   .40 %"
"2020-05-31","   .64 %","   .32 %","   .00 %","   .31 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.50 %","   .00 %","   .75 %","   .67 %","   .00 %","   .25 %","   .00 %"
"2020-06-01","   .64 %","   .32 %","   .00 %","   .31 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.50 %","   .00 %","   .37 %"," -3.33 %","   .00 %","   .25 %","   .00 %"
"2020-06-02","   .64 %","   .64 %","   .00 %","   .35 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.50 %","   .00 %","   .37 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-03","   .64 %","   .32 %","  1.33 %","   .40 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.50 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .39 %"
"2020-06-04","   .32 %","   .63 %","  1.33 %","  1.84 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.50 %","   .00 %","   .36 %","   .00 %","   .00 %","   .00 %","   .39 %"
"2020-06-05","   .00 %","   .94 %","  1.33 %","  1.71 %","   .00 %","   .20 %","   .00 %","   .00 %","   .00 %","   .00 %","   .36 %","   .00 %","   .00 %","   .00 %","   .39 %"
"2020-06-06","   .31 %","   .94 %","  1.33 %","  2.15 %","   .00 %","   .20 %","   .00 %","   .00 %","   .00 %","   .00 %","   .72 %","   .00 %","   .00 %","   .25 %","  1.55 %"
"2020-06-07","   .31 %","   .62 %","  1.33 %","  2.65 %","   .00 %","   .20 %","   .00 %","   .00 %","   .00 %","   .00 %","   .72 %","   .00 %","   .00 %","   .25 %","  1.55 %"
"2020-06-08","   .31 %","   .62 %","   .00 %","  2.96 %","   .00 %","   .20 %","   .00 %","   .00 %","   .00 %","  6.00 %","   .72 %","   .00 %","   .00 %","   .49 %","  1.15 %"
"2020-06-09","   .62 %","   .31 %","   .00 %","  1.74 %","   .00 %","   .20 %","   .00 %","   .00 %","   .00 %","  6.00 %","   .36 %","   .00 %","   .00 %","   .49 %","  1.52 %"
"2020-06-10","   .62 %","   .30 %","   .00 %","  2.12 %","   .00 %","   .20 %","   .00 %","   .00 %","   .00 %","  6.00 %","   .36 %","   .00 %","   .00 %","   .49 %","  1.52 %"
"2020-06-11","   .31 %","   .30 %","   .00 %","  2.14 %","   .00 %","   .20 %","  2.86 %","   .00 %","   .00 %","  6.00 %","   .00 %","   .00 %","   .00 %","   .24 %","   .01 %"
"2020-06-12","   .31 %","   .30 %","   .00 %","  1.64 %","   .00 %","   .40 %","  2.86 %","   .00 %","   .00 %","  6.00 %","   .35 %","   .00 %","   .51 %","   .48 %","   .01 %"
"2020-06-13","   .31 %","   .30 %","   .00 %","  1.47 %","   .00 %","   .40 %","  2.86 %","   .00 %","   .00 %","   .00 %","   .35 %","   .00 %","  1.01 %","   .48 %","   .01 %"
"2020-06-14","   .00 %","   .30 %","   .00 %","  1.21 %","   .00 %","   .40 %","  2.86 %","   .00 %","   .00 %","   .00 %","   .70 %","  4.00 %","  1.01 %","   .48 %","  -.36 %"
"2020-06-15","   .00 %","   .00 %","   .00 %","   .94 %","   .00 %","   .20 %","  2.86 %","   .00 %","   .00 %","   .00 %","   .70 %","   .67 %","  1.01 %","   .48 %","  -.36 %"
"2020-06-16","   .00 %","   .00 %","   .00 %","   .50 %","   .00 %","   .20 %","   .00 %","   .00 %","   .00 %","   .00 %","   .70 %","   .67 %","  1.01 %","   .48 %","   .00 %"
"2020-06-17","   .00 %","   .00 %","   .00 %","   .28 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .34 %","   .67 %","   .50 %","   .24 %","   .00 %"
"2020-06-18","   .30 %","   .30 %","   .00 %","   .21 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .68 %","   .67 %","   .00 %","   .00 %","   .00 %"
"2020-06-19","   .30 %","   .59 %","   .00 %","   .38 %","   .00 %","   .00 %","   .00 %","   .69 %","   .00 %","  1.54 %","   .67 %"," -3.33 %","   .00 %","   .00 %","   .00 %"
"2020-06-20","   .30 %","   .59 %","  1.25 %","   .31 %","   .00 %","   .00 %","   .00 %","   .69 %","   .00 %","  1.54 %","   .67 %","   .00 %","   .00 %","   .47 %","   .00 %"
"2020-06-21","   .30 %","   .59 %","  2.43 %","   .45 %","   .00 %","   .00 %","   .00 %","   .69 %","   .00 %","  1.54 %","   .67 %","   .00 %","   .00 %","  1.39 %","   .00 %"
"2020-06-22","   .30 %","   .59 %","  2.43 %","   .62 %","   .00 %","   .00 %","   .00 %","   .69 %","   .00 %","  1.54 %","   .67 %","   .00 %","   .00 %","  1.39 %","   .00 %"
"2020-06-23","   .30 %","   .29 %","  2.43 %","   .55 %","   .00 %","   .00 %","   .00 %","   .69 %","   .00 %","  1.54 %","   .33 %","   .00 %","   .00 %","  1.39 %","   .00 %"
"2020-06-24","   .30 %","   .00 %","  2.43 %","   .65 %","   .00 %","   .00 %","  2.50 %","   .00 %","   .00 %","   .00 %","  3.28 %","   .00 %","   .00 %","  1.61 %","   .00 %"
"2020-06-25","   .30 %","   .29 %","  2.29 %","   .68 %","   .00 %","   .20 %","  4.72 %","   .00 %","   .00 %","   .00 %","  3.28 %","   .00 %","   .00 %","  1.36 %","   .36 %"
"2020-06-26","   .30 %","   .58 %","  1.11 %","   .51 %","   .00 %","   .20 %","  4.72 %","   .00 %","   .00 %","   .00 %","  3.84 %","   .00 %","   .00 %","   .44 %","  1.08 %"
"2020-06-27","   .30 %","   .58 %","  1.11 %","   .37 %","   .00 %","   .39 %","  4.72 %","   .00 %","   .00 %","   .00 %","  3.84 %","   .00 %","   .00 %","   .65 %","  1.08 %"
"2020-06-28","   .00 %","   .58 %","  1.11 %","   .40 %","   .00 %","   .39 %","  4.72 %","   .00 %","   .00 %","   .00 %","  3.84 %","  4.00 %","   .00 %","   .65 %","  1.08 %"
"2020-06-29","   .00 %","   .86 %","  1.11 %","   .30 %","   .00 %","   .39 %","  2.22 %","   .00 %","   .00 %","   .00 %","   .56 %","  4.00 %","   .00 %","   .43 %","  1.08 %"
"2020-06-30","   .00 %","   .57 %","   .00 %","   .27 %","   .00 %","   .19 %","   .00 %","   .00 %","   .00 %","   .00 %","   .56 %","  4.00 %","   .00 %","   .22 %","   .71 %"
"2020-07-01","   .00 %","   .28 %","   .00 %","   .23 %","   .00 %","   .39 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  4.00 %","   .00 %","   .22 %","   .00 %"
"2020-07-02","   .00 %","   .28 %","  1.05 %","   .53 %","   .00 %","   .76 %","   .00 %","   .67 %","   .00 %","   .00 %","   .00 %","   .67 %","   .00 %","   .64 %","   .34 %"
"2020-07-03","   .00 %","   .56 %","  1.05 %","   .66 %","   .00 %","  1.13 %","   .00 %","   .67 %","   .00 %","   .00 %","   .27 %"," -3.33 %","   .00 %","   .64 %","   .34 %"
"2020-07-04","   .00 %","   .28 %","  1.05 %","   .52 %","   .00 %","  1.13 %","   .00 %","  1.31 %","   .00 %","   .00 %","   .27 %"," -3.33 %","   .00 %","   .64 %","   .34 %"
"2020-07-05","   .00 %","   .28 %","  2.05 %","   .72 %","   .00 %","  1.13 %","   .00 %","  2.56 %","  2.22 %","   .00 %","   .27 %"," -3.33 %","   .49 %","   .64 %","   .34 %"
"2020-07-06","   .00 %","   .28 %","  2.05 %","   .71 %","  6.67 %","   .94 %","   .00 %","  2.56 %","  2.22 %","   .00 %","   .27 %"," -3.33 %","   .49 %","   .64 %","   .34 %"
"2020-07-07","   .00 %","   .28 %","  1.00 %","   .45 %","  6.67 %","   .37 %","   .00 %","  1.90 %","  2.22 %","   .00 %","   .54 %","   .00 %","   .49 %","   .21 %","   .00 %"
"2020-07-08","   .00 %","   .00 %","  1.00 %","   .32 %","  6.67 %","   .00 %","   .00 %","  1.90 %","  2.22 %","   .00 %","   .27 %","   .00 %","   .49 %","   .00 %","   .68 %"
"2020-07-09","   .00 %","   .27 %","  1.00 %","   .64 %"," 11.67 %","   .00 %","   .00 %","  2.43 %","  2.22 %","   .00 %","   .27 %","   .00 %","   .49 %","   .21 %","   .68 %"
"2020-07-10","   .00 %","   .27 %","   .00 %","   .51 %"," 11.67 %","   .00 %","   .00 %","  1.73 %","   .00 %","   .00 %","   .27 %","   .00 %","   .00 %","   .41 %","  1.01 %"
"2020-07-11","   .00 %","   .27 %","   .00 %","   .63 %","  5.00 %","   .00 %","   .00 %","  1.73 %","   .00 %","   .00 %","   .27 %","   .00 %","   .48 %","   .41 %","  1.01 %"
"2020-07-12","   .00 %","   .27 %","   .00 %","   .84 %","  5.00 %","   .00 %","  6.00 %","  2.27 %","   .00 %","   .00 %","   .27 %","   .00 %","   .48 %","   .21 %","  1.01 %"
"2020-07-13","   .00 %","   .27 %","   .95 %","   .84 %","  5.00 %","   .00 %","  6.00 %","  2.80 %","   .00 %","   .00 %","   .79 %","   .00 %","   .48 %","   .41 %","   .33 %"
"2020-07-14","   .00 %","   .00 %","   .95 %","   .58 %","   .00 %","   .00 %","  6.00 %","  2.14 %","   .00 %","   .00 %","   .79 %","   .00 %","   .48 %","   .20 %","   .33 %"
"2020-07-15","   .59 %","   .54 %","  1.86 %","   .67 %","   .00 %","   .00 %","  6.00 %","  1.58 %","   .00 %","   .00 %","   .79 %","   .00 %","   .94 %","   .00 %","   .65 %"
"2020-07-16","   .59 %","   .54 %","  2.73 %","   .67 %","   .00 %","   .00 %","  6.00 %","  2.08 %","   .00 %","   .00 %","   .79 %","   .00 %","   .47 %","   .00 %","   .65 %"
"2020-07-17","   .59 %","   .54 %","  2.73 %","   .63 %","   .00 %","   .00 %","   .00 %","  1.54 %","   .00 %","   .00 %","   .78 %","   .00 %","   .47 %","   .00 %","   .96 %"
"2020-07-18","   .59 %","   .54 %","  1.78 %","   .66 %","   .00 %","   .00 %","   .00 %","  1.01 %","   .00 %","   .00 %","   .26 %","  4.00 %","   .92 %","   .00 %","   .96 %"
"2020-07-19","   .59 %","  1.33 %","  1.78 %","   .63 %","   .00 %","   .00 %","   .00 %","   .99 %","  2.00 %","   .00 %","   .51 %"," 14.00 %","   .92 %","   .20 %","   .96 %"
"2020-07-20","   .29 %","   .79 %","  1.70 %","   .62 %","   .00 %","   .00 %","   .00 %","   .99 %","  2.00 %","   .00 %","   .51 %"," 16.22 %","   .45 %","   .20 %","   .93 %"
"2020-07-21","   .29 %","  1.04 %","   .83 %","   .70 %"," -4.00 %","   .18 %","   .00 %","   .49 %","  2.00 %","   .00 %","   .51 %"," 10.22 %","   .45 %","   .20 %","   .93 %"
"2020-07-22","   .29 %","  1.04 %","   .83 %","   .47 %"," -4.00 %","   .18 %","   .00 %","   .49 %","  2.00 %","   .00 %","   .25 %"," 10.22 %","   .45 %","   .20 %","   .91 %"
"2020-07-23","   .29 %","  1.04 %","   .83 %","   .70 %"," -4.00 %","   .18 %","   .00 %","   .49 %","  2.00 %","   .00 %","   .25 %","  6.22 %","   .00 %","   .20 %","  1.21 %"
"2020-07-24","   .57 %","   .50 %","   .83 %","   .67 %"," -4.00 %","   .54 %","   .00 %","   .00 %","   .00 %","   .00 %","   .50 %"," -3.78 %","   .44 %","   .00 %","  1.21 %"
"2020-07-25","   .00 %","   .50 %","   .00 %","   .66 %"," -4.00 %","   .72 %","   .00 %","   .00 %","  5.45 %","   .00 %","   .74 %"," -6.00 %","   .88 %","   .20 %","   .59 %"
"2020-07-26","   .00 %","   .50 %","   .00 %","   .49 %","   .00 %","   .54 %","   .00 %","   .00 %","  5.45 %","   .00 %","   .98 %","   .00 %","   .88 %","   .20 %","   .59 %"
"2020-07-27","   .00 %","   .50 %","   .00 %","   .51 %","   .00 %","   .71 %","   .00 %","   .00 %","  6.88 %","   .00 %","   .98 %","   .00 %","   .88 %","   .20 %","   .29 %"
"2020-07-28","   .00 %","   .50 %","   .80 %","   .28 %","   .00 %","   .71 %","   .00 %","   .00 %","  6.88 %","   .00 %","   .98 %","   .00 %","   .88 %","   .20 %","   .00 %"
"2020-07-29","  -.28 %","   .49 %","   .80 %","   .25 %","   .00 %","   .35 %","   .00 %","   .00 %","  6.88 %","   .00 %","   .48 %","   .00 %","   .43 %","   .20 %","   .00 %"
"2020-07-30","   .00 %","   .49 %","   .80 %","   .11 %","   .00 %","   .18 %","   .00 %","   .00 %","  1.43 %","   .00 %","   .24 %","   .00 %","   .00 %","   .00 %","   .29 %"
"2020-07-31","   .00 %","   .24 %","   .80 %","   .06 %","   .00 %","   .52 %","   .00 %","   .00 %","  1.43 %","   .00 %","  1.19 %","   .00 %","   .00 %","   .00 %","   .29 %"
"2020-08-01","   .28 %","   .48 %","   .80 %","   .11 %","   .00 %","   .35 %","   .00 %","   .00 %","  1.33 %","   .00 %","  1.19 %","  2.86 %","   .00 %","   .00 %","   .58 %"
