"date","New York/Albany","New York/Allegany","New York/Bronx","New York/Broome","New York/Cattaraugus","New York/Cayuga","New York/Chautauqua","New York/Chemung","New York/Chenango","New York/Clinton","New York/Columbia","New York/Cortland","New York/Delaware","New York/Dutchess","New York/Erie","New York/Essex","New York/Franklin","New York/Fulton","New York/Genesee","New York/Greene","New York/Hamilton","New York/Herkimer","New York/Jefferson","New York/Kings","New York/Lewis","New York/Livingston","New York/Madison","New York/Monroe","New York/Montgomery","New York/Nassau","New York/New York","New York/New York City","New York/Niagara","New York/Oneida","New York/Onondaga","New York/Ontario","New York/Orange","New York/Orleans","New York/Oswego","New York/Otsego","New York/Out of NY","New York/Putnam","New York/Queens","New York/Rensselaer","New York/Richmond","New York/Rockland","New York/Saratoga","New York/Schenectady","New York/Schoharie","New York/Schuyler","New York/Seneca","New York/St. Lawrence","New York/Steuben","New York/Suffolk","New York/Sullivan","New York/Tioga","New York/Tompkins","New York/Ulster","New York/Unassigned","New York/Warren","New York/Washington","New York/Wayne","New York/Westchester","New York/Wyoming","New York/Yates"
"2020-04-01","1","1","","3","0","0","1","0","0","0","1","0","0","4","11","0","0","0","1","0","0","2","0","","0","0","2","9","0","76","","1139","0","1","1","0","19","0","0","1","","0","","0","","18","1","1","0","0","0","0","0","53","1","0","0","3","565","0","0","0","25","1",""
"2020-04-02","2","1","","4","0","0","1","0","0","0","1","0","0","5","12","0","0","0","1","0","0","2","0","","0","1","2","9","0","76","","1397","0","1","2","0","19","0","0","1","","0","","0","","18","1","1","0","0","0","0","0","69","4","0","0","3","675","0","0","0","64","1","0"
"2020-04-03","2","1","","4","0","0","1","0","0","0","2","0","1","5","19","0","0","0","1","0","0","2","0","","0","1","2","10","0","95","","1584","0","1","3","0","30","0","0","1","","7","","0","","42","1","5","0","0","0","0","0","84","5","0","0","3","955","0","0","0","67","1","0"
"2020-04-04","6","1","","4","0","0","1","0","0","0","2","0","1","5","22","0","0","0","1","0","0","3","0","","0","1","2","14","0","95","","1905","0","1","4","0","40","0","0","1","","7","","0","","69","1","5","0","0","0","0","0","124","5","0","0","4","1173","0","0","0","67","1","0"
"2020-04-05","8","1","","5","0","0","1","0","0","0","3","0","1","8","27","0","0","0","1","0","0","3","0","","0","1","2","19","1","162","","2256","0","2","5","0","53","0","0","1","","7","","1","","69","1","7","0","0","0","0","1","175","5","0","0","4","1260","0","1","0","67","1","0"
"2020-04-06","8","1","","5","0","0","2","0","0","0","3","0","1","9","30","0","0","0","1","0","0","3","0","","0","1","2","26","1","162","","3485","0","2","5","0","76","0","0","1","","7","","2","","119","4","7","0","0","0","0","4","199","6","0","0","4","309","0","1","0","211","1","0"
"2020-04-07","8","1","","6","0","0","2","0","0","0","4","0","1","9","39","0","0","0","1","0","0","3","0","","0","2","2","31","1","500","","4009","1","2","6","0","93","0","2","1","","7","","3","","135","4","7","0","0","0","0","5","263","7","0","0","5","116","0","1","0","211","1","0"
"2020-04-08","9","1","","6","0","0","2","1","0","0","4","0","1","10","45","0","0","0","1","0","0","3","0","","0","2","3","34","1","500","","4571","1","2","6","0","107","0","2","1","","7","","3","","154","4","7","0","0","0","0","6","323","7","0","0","7","152","0","1","0","283","1","0"
"2020-04-09","11","1","","6","0","1","2","1","0","0","5","0","2","10","51","0","0","0","1","0","0","3","0","","0","2","3","40","1","633","","5150","4","3","7","0","115","0","2","1","","7","","5","","172","4","7","0","0","0","0","6","362","7","0","0","8","73","0","1","0","359","1","0"
"2020-04-10","11","1","","6","0","1","2","1","0","0","5","0","2","10","53","0","0","0","1","0","0","3","0","","0","2","3","40","1","723","","5820","4","3","8","0","115","0","2","1","","7","","5","","200","4","7","0","0","0","0","6","414","7","0","0","8","0","0","1","0","389","1","0"
"2020-04-11","12","1","","6","0","1","3","1","0","2","7","0","2","11","53","0","0","0","1","0","0","3","0","","0","2","3","40","1","792","","6367","4","3","8","0","132","0","2","1","","7","","5","","200","4","7","0","0","0","0","6","458","7","0","0","8","4","0","1","0","461","1","0"
"2020-04-12","12","1","","6","0","1","3","1","0","2","7","0","3","12","57","0","0","0","1","0","0","3","0","","0","2","3","40","1","846","","6898","4","3","9","0","145","0","2","1","","7","","5","","200","4","7","0","0","0","0","10","518","7","0","0","11","40","0","1","0","511","1","0"
"2020-04-13","14","1","","8","0","1","3","1","0","3","9","0","3","13","66","0","0","0","1","0","0","3","0","","0","3","3","50","1","910","","7349","5","3","11","0","171","0","2","1","","7","","6","","241","4","8","0","0","0","0","11","568","8","0","0","11","0","0","1","0","557","1","0"
"2020-04-14","16","1","","8","0","1","3","1","0","3","9","0","3","17","73","0","0","0","1","0","0","3","0","","0","3","3","56","1","1001","","7905","5","4","11","0","178","0","2","2","","7","","6","","263","4","8","0","0","0","0","16","608","9","0","0","13","0","0","1","0","596","1","0"
"2020-04-15","20","1","","8","0","1","3","1","0","3","10","0","3","18","101","0","0","0","2","0","0","3","0","","0","3","3","56","1","1057","","8455","9","4","12","0","178","0","2","3","","7","","6","","298","4","8","0","0","0","0","16","653","10","0","0","13","0","0","2","0","640","3","0"
"2020-04-16","20","1","","8","0","1","3","1","0","3","10","0","3","19","107","0","0","0","2","0","0","3","0","","0","3","3","62","1","1109","","11477","9","6","17","0","204","1","2","3","","7","","6","","319","4","8","0","0","0","0","18","693","11","0","0","15","0","0","2","0","668","3","0"
"2020-04-17","20","1","","8","0","1","3","1","0","3","10","0","3","19","107","0","0","0","2","0","0","3","0","","0","3","3","62","1","1109","","13202","9","6","17","0","204","1","2","3","","7","","6","","319","4","8","0","0","0","0","18","693","11","0","0","15","574","0","2","0","668","3","0"
"2020-04-18","20","1","","9","0","1","3","1","0","3","10","0","4","26","115","0","0","0","2","0","0","3","0","","0","3","5","62","1","1109","","13202","9","6","17","0","211","1","2","4","","7","","6","","334","7","14","0","0","0","0","21","693","11","0","0","16","1059","0","2","0","668","3","0"
"2020-04-19","20","2","","10","0","1","3","1","0","3","11","0","4","28","135","0","0","0","2","0","0","3","0","","0","3","5","68","1","1109","","14451","9","7","19","0","211","1","2","4","","7","","6","","334","7","14","0","0","0","0","23","693","11","0","0","16","401","0","2","0","668","3","0"
"2020-04-20","22","2","","10","0","1","3","1","0","3","11","0","4","28","135","0","0","0","2","0","0","3","0","","0","3","5","71","1","1329","","14604","15","7","21","0","211","1","2","4","","7","","6","","334","7","14","0","0","0","0","27","859","13","0","0","16","48","0","2","0","776","3","0"
"2020-04-21","23","2","","11","0","1","3","1","0","3","12","0","4","28","162","0","0","0","2","0","0","3","0","","0","4","5","81","1","1390","","14887","16","8","21","0","231","1","2","4","","7","","6","","401","7","14","0","0","0","0","27","888","14","0","0","17","3","0","2","0","809","3","0"
"2020-04-22","23","2","","11","0","1","3","1","0","3","12","0","4","28","162","0","0","0","2","0","0","3","0","","0","4","5","81","1","1431","","15074","16","8","22","0","244","1","2","4","","7","","9","","401","7","14","0","0","0","0","27","926","14","0","0","17","0","0","2","0","838","3","0"
"2020-04-23","30","2","","15","0","1","3","1","0","4","13","0","4","35","188","0","0","0","3","0","0","3","0","","0","5","5","91","1","1471","","16388","18","11","23","0","268","5","2","4","","7","","10","","436","7","15","0","0","0","0","33","959","17","4","0","21","0","0","2","0","863","4","1"
"2020-04-24","31","2","","17","0","1","3","1","0","4","13","0","4","35","198","0","0","0","3","5","0","3","0","","0","5","5","96","1","1518","","16646","21","11","25","9","274","7","2","4","","7","","11","","453","11","15","0","0","0","0","33","993","17","5","0","23","0","0","2","0","891","5","1"
"2020-04-25","31","2","","17","0","1","3","1","0","4","13","0","4","35","198","0","0","0","3","5","0","3","0","","0","5","5","96","1","1558","","17126","21","11","25","9","274","7","2","4","","7","","11","","453","11","15","0","0","0","0","33","1042","17","5","0","23","0","0","2","0","920","5","1"
"2020-04-26","32","2","","17","0","1","3","1","0","4","13","0","4","35","207","0","0","0","3","5","0","3","0","","0","5","5","106","1","1587","","17280","21","14","25","9","274","7","2","4","","7","","11","","453","11","15","0","0","0","0","33","1070","17","5","0","23","0","0","2","0","946","5","1"
"2020-04-27","36","2","","19","0","1","3","1","0","4","13","0","4","36","207","0","0","0","3","5","0","3","0","","0","5","5","108","1","1620","","17515","21","15","26","9","299","9","3","4","","7","","11","","481","11","22","0","0","0","0","35","1102","21","6","0","24","0","0","2","1","962","5","1"
"2020-04-28","36","2","","19","0","1","3","1","0","4","13","0","4","36","207","0","0","0","3","5","0","3","0","","0","5","5","108","1","1647","","17682","21","15","26","9","299","9","3","4","","7","","11","","481","11","22","0","0","0","0","35","1131","21","6","0","24","0","0","2","1","983","5","1"
"2020-04-29","36","2","","21","0","1","3","1","0","4","13","0","4","36","247","0","0","0","3","5","0","3","0","","0","5","5","113","1","1678","","18076","21","15","30","9","311","9","3","4","","7","","11","","500","11","22","0","0","0","0","35","1155","22","10","0","30","0","0","2","1","1006","5","1"
"2020-04-30","41","2","","22","0","1","3","1","0","4","13","0","4","37","266","0","0","0","3","5","0","3","0","","0","5","5","115","1","1700","","18069","21","15","30","9","320","9","3","4","","7","","11","","511","11","22","0","0","0","0","35","1177","22","10","0","30","0","0","2","1","1031","5","1"
"2020-05-01","44","2","","22","0","1","3","1","0","4","13","0","4","37","266","0","0","0","3","5","0","3","0","","0","5","5","121","1","1720","","18399","25","17","34","9","329","13","3","4","","7","","11","","519","11","27","0","0","0","0","37","1203","22","10","0","37","0","0","6","1","1049","5","1"
"2020-05-02","44","2","","22","0","1","3","1","0","4","13","0","4","37","266","0","0","0","3","5","0","3","0","","0","5","5","121","1","1745","","18491","25","17","34","9","329","13","3","4","","7","","11","","519","11","27","0","0","0","0","37","1227","22","10","0","37","0","0","6","1","1067","5","1"
"2020-05-03","49","0","","22","0","1","3","1","0","4","13","0","4","37","266","0","0","0","3","5","0","3","0","","0","5","5","121","1","1770","","18925","25","17","34","9","329","13","3","4","","7","","11","","519","11","27","0","0","0","0","37","1256","22","10","0","37","0","0","6","1","1086","5","1"
"2020-05-04","49","0","","22","0","1","4","1","0","4","16","0","4","40","283","0","0","0","3","10","0","3","0","","0","6","6","128","1","1792","","19057","28","18","37","9","343","14","3","4","","7","","23","","536","11","28","0","0","0","0","37","1273","23","14","0","44","0","0","8","2","1101","5","1"
"2020-05-05","49","0","","22","0","1","4","1","0","4","16","0","4","40","308","0","0","0","3","10","0","3","0","","0","6","6","128","1","1818","","19067","28","18","37","9","354","14","3","4","","7","","23","","551","11","28","0","0","0","0","37","1296","23","14","0","44","0","0","8","2","1116","5","1"
"2020-05-06","53","0","","23","0","1","4","1","0","4","16","0","4","40","323","0","0","0","3","10","0","3","0","","0","6","6","137","1","1891","","19174","28","18","41","9","358","14","3","4","","7","","23","","551","11","28","0","0","0","0","37","1522","23","14","0","49","0","0","8","2","1167","5","1"
"2020-05-07","53","0","","23","0","1","4","1","0","4","16","0","4","40","323","0","0","0","3","10","0","3","0","","0","6","6","137","1","1904","","19626","28","18","41","9","364","14","3","4","","7","","23","","557","11","28","0","0","0","0","37","1547","23","14","0","51","0","0","8","2","1184","5","1"
"2020-05-08","53","0","","23","0","1","4","1","0","4","16","0","4","96","346","0","0","0","3","10","0","3","0","","0","6","6","143","1","1918","","19561","28","20","65","9","367","14","3","4","","7","","23","","562","11","28","0","0","0","0","37","1568","23","14","0","54","0","0","8","2","1191","5","1"
"2020-05-09","59","0","","23","0","1","4","1","0","4","19","0","4","98","357","0","0","0","3","10","0","3","0","","0","6","6","147","1","1940","","19818","42","21","69","9","367","14","3","4","","7","","23","","562","11","28","0","0","0","0","39","1597","25","14","0","54","0","0","8","2","1203","5","1"
"2020-05-10","59","0","","23","0","1","4","1","0","4","19","0","4","98","357","0","0","0","3","10","0","3","0","","0","6","6","147","1","1963","","19789","42","21","69","9","367","14","3","4","","7","","23","","562","11","28","0","0","0","0","39","1617","25","14","0","54","0","0","8","2","1218","5","1"
"2020-05-11","59","0","","23","0","1","4","1","0","4","19","0","4","98","357","0","0","0","3","10","0","3","0","","0","6","6","147","1","1973","","20056","42","21","69","9","388","14","3","4","","7","","23","","576","11","28","0","0","0","0","39","1639","25","14","0","58","0","0","8","2","1227","5","1"
"2020-05-12","61","0","","23","0","1","4","1","0","4","24","0","4","103","357","0","0","0","3","14","0","3","0","","0","7","7","156","1","1991","","20237","44","23","79","9","395","20","3","4","","7","","23","","580","11","28","0","0","0","0","39","1654","25","20","0","60","0","0","13","2","1238","5","1"
"2020-05-13","62","0","","28","0","1","4","1","0","4","24","0","4","108","400","0","0","0","3","14","0","3","0","","0","7","7","156","1","2004","","20316","44","23","82","9","398","20","3","4","","7","","23","","586","11","28","0","0","0","0","39","1680","25","20","0","62","0","0","13","2","1245","5","1"
"2020-05-14","66","0","","28","0","1","4","1","0","4","24","0","4","114","400","0","0","0","3","14","0","3","0","","0","7","7","163","1","2016","","20406","44","23","84","9","403","20","3","4","","7","","23","","594","11","28","0","0","0","0","39","1697","25","20","0","64","0","0","13","2","1256","5","1"
"2020-05-15","67","0","","28","0","1","4","1","0","4","24","0","4","117","411","0","0","14","3","14","0","3","0","","0","7","7","167","1","2027","","20476","44","23","90","9","408","20","3","4","","56","","23","","602","11","28","0","0","0","2","39","1709","25","20","0","64","0","25","13","2","1269","5","4"
"2020-05-16","68","0","","28","0","1","4","1","0","4","26","0","4","120","420","0","0","14","4","14","0","3","0","","0","7","8","167","1","2034","","20576","50","31","90","9","408","21","3","4","","57","","23","","602","11","28","0","0","0","2","39","1733","25","20","0","64","0","26","13","2","1275","5","4"
"2020-05-17","68","0","","28","0","1","4","1","0","4","26","0","4","120","420","0","0","14","4","14","0","3","0","","0","7","8","167","1","2044","","20720","50","31","90","9","408","21","3","4","","57","","23","","602","11","28","0","0","0","2","39","1748","25","20","0","64","0","26","13","2","1289","5","4"
"2020-05-18","68","0","","28","0","1","4","1","0","4","26","0","4","120","420","0","0","14","4","14","0","3","0","","0","7","8","167","1","2053","","20806","50","31","90","9","408","21","3","4","","57","","23","","602","11","28","0","0","0","2","39","1754","25","20","0","64","0","26","13","2","1295","5","4"
"2020-05-19","69","0","","30","0","1","4","1","0","4","28","0","4","126","449","0","0","15","4","17","0","3","0","","0","7","8","174","4","2060","","20887","52","35","103","9","419","23","3","5","","58","","25","","611","11","28","0","0","0","2","41","1772","28","20","0","69","0","26","13","3","1298","5","4"
"2020-05-20","69","0","","30","0","1","4","1","0","4","28","0","4","126","449","0","0","15","4","17","0","3","0","","0","7","8","174","4","2065","","20934","52","35","103","9","419","23","3","5","","58","","25","","611","11","28","0","0","0","2","41","1791","28","20","0","69","0","26","13","3","1305","5","4"
"2020-05-21","69","0","","30","0","1","4","1","0","4","28","0","4","126","449","0","0","15","4","17","0","3","0","","0","7","8","174","4","2073","","21003","52","35","103","9","428","23","3","5","","58","","25","","611","11","28","0","0","0","2","41","1802","28","20","0","71","0","26","13","3","1313","5","4"
"2020-05-22","69","0","","30","0","1","4","1","0","4","28","0","4","126","449","0","0","15","4","17","0","3","0","","0","7","8","174","4","2082","","21086","52","35","103","9","428","23","3","5","","58","","25","","611","11","28","0","0","0","2","41","1814","28","20","0","71","0","26","13","3","1319","5","4"
"2020-05-23","76","0","","32","0","1","4","1","0","4","32","0","4","133","480","0","0","15","4","18","0","3","0","","0","7","10","188","4","2087","","21138","59","38","115","9","429","23","3","5","","58","","28","","618","11","29","0","0","0","2","41","1822","29","21","0","72","0","26","13","3","1327","5","4"
"2020-05-24","76","0","","32","0","1","4","1","0","4","32","0","4","133","480","0","0","18","4","18","0","3","0","","0","7","10","188","4","2094","","21216","59","38","115","9","429","23","3","5","","58","","28","","618","11","29","0","0","0","2","41","1834","29","21","0","72","0","26","13","3","1337","5","4"
"2020-05-25","76","0","","44","0","1","4","1","0","4","32","0","4","137","480","0","0","18","4","18","0","3","0","","0","7","10","194","4","2103","","21259","59","38","115","9","429","23","3","5","","58","","28","","618","11","29","0","0","0","2","41","1840","29","21","0","72","0","26","13","3","1343","5","6"
"2020-05-26","76","0","","44","0","1","4","1","0","4","32","0","4","137","480","0","0","18","4","18","0","3","0","","0","7","10","194","4","2108","","21314","59","38","115","9","429","23","3","5","","58","","28","","618","11","29","0","0","0","2","41","1851","29","21","0","72","0","26","13","3","1345","5","6"
"2020-05-27","76","0","","44","0","1","4","1","0","4","32","0","4","138","504","0","0","18","4","18","0","3","0","","0","7","10","198","4","2137","","21362","63","46","127","9","443","33","3","5","","58","","28","","626","11","29","0","0","0","2","41","1861","30","21","0","74","0","26","13","3","1352","5","6"
"2020-05-28","76","0","","44","0","1","4","1","0","4","32","0","4","138","504","0","0","18","4","18","0","3","0","","0","7","10","198","4","2114","","21415","63","46","127","9","443","33","3","5","","58","","28","","626","11","29","0","0","0","2","41","1871","30","21","0","74","0","26","13","3","1357","5","6"
"2020-05-29","76","0","","44","0","1","4","1","0","4","32","0","4","139","516","0","0","18","4","18","0","3","0","","0","7","10","216","4","2118","","21477","63","46","131","9","444","33","3","5","","58","","28","","631","11","29","0","0","0","2","41","1879","30","21","0","74","0","26","13","3","1359","5","6"
"2020-05-30","76","0","","44","0","1","4","1","0","4","32","0","4","139","516","0","0","18","4","18","0","3","0","","0","7","10","216","4","2121","","21512","63","46","131","9","444","33","3","5","","60","","28","","631","14","29","0","0","0","2","41","1892","31","21","0","74","0","28","13","3","1364","5","6"
"2020-05-31","76","0","","44","0","1","4","1","0","4","32","0","4","139","516","0","0","18","4","18","0","3","0","","0","7","10","216","4","2122","","21569","63","46","131","9","444","33","3","5","","60","","28","","631","14","29","0","0","0","2","41","1901","31","21","0","74","0","28","13","3","1371","5","6"
"2020-06-01","112","0","","44","0","1","4","1","0","4","34","0","4","142","524","0","0","18","4","18","0","3","0","","0","7","10","216","4","2125","","21607","65","49","139","9","444","37","3","5","","60","","28","","646","14","29","0","0","0","2","41","1906","31","21","0","77","0","28","13","3","1374","5","6"
"2020-06-02","112","0","","44","0","1","4","1","0","4","34","0","4","142","524","0","0","18","4","18","0","3","0","","0","7","10","216","4","2127","","21649","65","49","139","9","444","37","3","5","","60","","28","","646","14","29","0","0","0","2","41","1909","31","21","0","77","0","28","13","3","1378","5","6"
"2020-06-03","112","0","","44","0","1","4","1","0","4","34","0","4","142","524","0","0","18","4","18","0","3","0","","0","7","10","216","4","2130","","21688","65","49","139","9","444","37","3","5","","60","","28","","646","14","29","0","0","0","2","41","1915","31","21","0","77","0","28","13","3","1381","5","6"
"2020-06-04","112","0","","45","0","1","4","1","0","4","34","0","4","142","549","0","0","18","5","18","0","3","0","","0","7","15","230","4","2132","","21752","70","58","149","9","444","41","3","5","","60","","28","","655","14","29","0","0","0","2","41","1916","31","22","0","77","0","28","13","3","1385","5","6"
"2020-06-05","112","0","","52","5","2","4","2","5","4","34","0","4","142","549","0","0","24","5","18","0","3","0","","0","7","15","230","4","2132","","21782","70","58","149","9","444","41","3","5","","60","","28","","655","14","30","0","0","0","2","41","1918","31","22","0","77","0","28","13","3","1389","5","6"
"2020-06-06","112","0","","52","5","2","4","2","5","4","34","0","4","142","549","0","0","24","5","18","0","3","0","","0","7","15","230","4","2135","","21815","70","58","149","9","444","41","3","5","","60","","28","","655","14","30","0","0","0","2","41","1923","31","22","0","77","0","28","13","3","1392","5","6"
"2020-06-07","115","0","","52","5","2","4","2","5","4","34","0","4","142","560","0","0","24","5","18","0","3","0","","0","7","15","236","4","2142","","21844","70","61","151","9","465","41","3","5","","60","","28","","657","14","30","0","0","0","2","41","1931","31","22","0","79","0","28","13","3","1392","5","6"
"2020-06-08","115","0","","52","5","2","4","2","5","4","34","0","4","142","560","0","0","24","5","18","0","3","0","","0","7","15","236","4","2145","","21877","70","61","151","9","465","41","3","5","","60","","28","","657","14","30","0","0","0","2","41","1935","31","22","0","79","0","28","13","3","1395","5","6"
"2020-06-09","115","0","","52","5","2","4","2","5","4","34","0","4","142","560","0","0","24","5","18","0","3","0","","0","7","15","236","4","2145","","21918","70","61","151","9","465","41","3","5","","60","","28","","657","14","30","0","0","0","2","41","1935","31","22","0","79","0","28","13","3","1395","5","6"
"2020-06-10","115","0","","52","5","2","4","2","5","4","34","0","4","142","580","0","0","24","5","18","0","3","0","","0","7","15","236","4","2151","","21960","70","61","151","9","467","41","3","5","","60","","28","","661","14","30","0","0","0","2","41","1941","31","22","0","79","0","28","13","3","1399","5","6"
"2020-06-11","115","0","","52","5","2","4","2","5","4","34","0","4","142","580","0","0","24","5","18","0","3","0","","0","7","15","236","4","2151","","21993","70","61","151","9","467","41","3","5","","60","","28","","661","14","30","0","0","0","2","41","1945","31","22","0","79","0","28","13","3","1400","5","6"
"2020-06-12","118","0","","52","5","2","4","2","5","4","37","0","4","145","587","0","0","24","5","18","0","3","0","","0","8","17","247","4","2163","","22043","78","77","166","9","473","49","3","5","","62","","28","","661","14","36","0","0","0","2","41","1945","45","24","0","83","0","30","14","3","1402","5","6"
"2020-06-13","118","0","","52","5","2","4","2","5","4","37","0","4","145","587","0","0","24","5","18","0","3","0","","0","8","17","247","4","2163","","22076","78","77","166","9","473","49","3","5","","62","","28","","661","14","36","0","0","0","2","41","1947","45","24","0","83","0","30","14","3","1404","5","6"
"2020-06-14","118","0","","52","5","2","4","2","5","4","37","0","4","145","587","0","0","24","5","18","0","3","0","","0","8","17","247","4","2165","","22103","78","77","166","9","473","49","3","5","","62","","28","","661","14","36","0","0","0","2","41","1948","45","24","0","83","0","30","14","3","1404","5","6"
"2020-06-15","118","0","","52","5","2","4","2","5","4","37","0","4","145","587","0","0","24","5","18","0","3","0","","0","8","17","247","4","2167","","22124","78","77","166","9","473","49","3","5","","62","","28","","661","14","36","0","0","0","2","41","1955","45","24","0","83","0","30","14","3","1405","5","6"
"2020-06-16","118","0","","52","5","2","4","2","5","4","37","0","4","145","602","0","0","24","5","18","0","3","0","","0","8","17","247","4","2170","","22145","78","77","174","9","473","49","3","5","","62","","28","","665","14","36","0","0","0","2","41","1957","45","24","0","83","0","30","14","3","1405","5","6"
"2020-06-17","118","0","","52","5","2","4","2","5","4","37","0","4","145","602","0","0","24","5","18","0","3","0","","0","8","17","247","4","2171","","22171","78","77","174","9","473","49","3","5","","62","","28","","665","14","36","0","0","0","2","41","1958","45","24","0","83","0","30","14","3","1407","5","6"
"2020-06-18","118","0","","52","5","2","4","2","5","4","37","0","4","145","602","0","0","24","5","18","0","3","0","","0","8","17","247","4","2172","","22199","78","77","174","9","473","49","3","5","","62","","28","","665","14","36","0","0","0","2","41","1961","45","24","0","83","0","30","14","3","1410","5","6"
"2020-06-19","118","0","","52","5","2","4","2","5","4","37","0","4","145","602","0","0","24","5","18","0","3","0","","0","8","17","247","4","2175","","22236","78","77","174","9","473","49","3","5","","62","","28","","665","14","36","0","0","0","2","41","1962","45","24","0","83","0","30","14","3","1410","5","6"
"2020-06-20","120","0","","52","5","2","4","2","5","4","37","0","4","150","621","0","0","24","5","18","0","3","0","","0","8","17","259","4","2175","","22244","87","77","178","9","473","50","3","5","","62","","28","","667","14","36","0","0","0","2","41","1963","45","24","0","85","0","30","14","3","1413","5","6"
"2020-06-21","120","0","","52","5","2","4","2","5","4","37","0","4","151","623","0","0","24","5","18","0","3","0","","0","8","17","259","4","2178","","22278","87","77","178","9","473","50","3","5","","62","","28","","667","14","36","0","0","0","2","41","1964","45","24","0","85","0","30","14","3","1414","5","6"
"2020-06-22","120","0","","56","6","2","4","2","5","4","37","0","4","151","623","0","0","24","5","18","0","3","0","","0","8","17","259","4","2178","","22321","87","77","178","9","473","51","3","5","","62","","28","","667","14","36","0","0","0","2","41","1965","45","24","0","85","0","30","14","3","1415","5","6"
"2020-06-23","120","0","","58","6","2","4","2","5","4","37","0","4","151","632","0","0","24","5","18","0","3","0","","0","8","17","259","4","2179","","22343","88","87","182","9","473","51","3","5","","62","","28","","667","14","37","0","0","0","2","41","1970","45","24","0","85","0","30","14","3","1416","5","6"
