"date","Rhode Island/Bristol","Rhode Island/Kent","Rhode Island/Newport","Rhode Island/Providence","Rhode Island/Unassigned","Rhode Island/Washington"
"2020-06-08","   .00 %","   .00 %","   .00 %","   .00 %","  1.50 %","   .00 %"
"2020-06-09","   .00 %","   .00 %","   .00 %","   .00 %","  1.35 %","   .00 %"
"2020-06-10","   .00 %","   .00 %","   .00 %","   .00 %","  1.02 %","   .00 %"
"2020-06-11","   .00 %","   .00 %","   .00 %","   .00 %","  1.29 %","   .00 %"
"2020-06-12","   .00 %","   .00 %","   .00 %","   .00 %","  1.54 %","   .00 %"
"2020-06-13","   .00 %","   .00 %","   .00 %","   .00 %","   .84 %","   .00 %"
"2020-06-14","   .00 %","   .00 %","   .00 %","   .00 %","   .61 %","   .00 %"
"2020-06-15","   .00 %","   .00 %","   .00 %","   .00 %","   .95 %","   .00 %"
"2020-06-16","   .00 %","   .00 %","   .00 %","   .00 %","  1.00 %","   .00 %"
"2020-06-17","   .00 %","   .00 %","   .00 %","   .00 %","  1.02 %","   .00 %"
"2020-06-18","   .00 %","   .00 %","   .00 %","   .00 %","  1.22 %","   .00 %"
"2020-06-19","   .00 %","   .00 %","   .00 %","   .00 %","  1.42 %","   .00 %"
"2020-06-20","   .00 %","   .00 %","   .00 %","   .00 %","   .99 %","   .00 %"
"2020-06-21","   .00 %","   .00 %","   .00 %","   .00 %","   .66 %","   .00 %"
"2020-06-22","   .00 %","   .00 %","   .00 %","   .00 %","   .61 %","   .00 %"
"2020-06-23","   .00 %","   .00 %","   .00 %","   .00 %","   .47 %","   .00 %"
"2020-06-24","   .00 %","   .00 %","   .00 %","   .00 %","   .40 %","   .00 %"
"2020-06-25","   .00 %","   .00 %","   .00 %","   .00 %","   .58 %","   .00 %"
"2020-06-26","   .00 %","   .00 %","   .00 %","   .00 %","   .73 %","   .00 %"
"2020-06-27","   .00 %","   .00 %","   .00 %","   .00 %","   .53 %","   .00 %"
"2020-06-28","   .00 %","   .00 %","   .00 %","   .00 %","   .46 %","   .00 %"
"2020-06-29","   .00 %","   .00 %","   .00 %","   .00 %","   .74 %","   .00 %"
"2020-06-30","   .00 %","   .00 %","   .00 %","   .00 %","   .65 %","   .00 %"
"2020-07-01","   .00 %","   .00 %","   .00 %","   .00 %","   .62 %","   .00 %"
"2020-07-02","   .00 %","   .00 %","   .00 %","   .00 %","   .68 %","   .00 %"
"2020-07-03","   .00 %","   .00 %","   .00 %","   .00 %","   .70 %","   .00 %"
"2020-07-04","   .00 %","   .00 %","   .00 %","   .00 %","   .29 %","   .00 %"
"2020-07-05","   .00 %","   .00 %","   .00 %","   .00 %","   .21 %","   .00 %"
"2020-07-06","   .00 %","   .00 %","   .00 %","   .00 %","   .08 %","   .00 %"
"2020-07-07","   .00 %","   .00 %","   .00 %","   .00 %","   .21 %","   .00 %"
"2020-07-08","   .00 %","   .00 %","   .00 %","   .00 %","   .23 %","   .00 %"
"2020-07-09","   .00 %","   .00 %","   .00 %","   .00 %","   .29 %","   .00 %"
"2020-07-10","   .00 %","   .00 %","   .00 %","   .00 %","   .33 %","   .00 %"
"2020-07-11","   .00 %","   .00 %","   .00 %","   .00 %","   .33 %","   .00 %"
"2020-07-12","   .00 %","   .00 %","   .00 %","   .00 %","   .14 %","   .00 %"
"2020-07-13","   .00 %","   .00 %","   .00 %","   .00 %","   .27 %","   .00 %"
"2020-07-14","   .00 %","   .00 %","   .00 %","   .00 %","   .23 %","   .00 %"
"2020-07-15","   .00 %","   .00 %","   .00 %","   .00 %","   .22 %","   .00 %"
"2020-07-16","   .00 %","   .00 %","   .00 %","   .00 %","   .25 %","   .00 %"
"2020-07-17","   .00 %","   .00 %","   .00 %","   .00 %","   .29 %","   .00 %"
"2020-07-18","   .00 %","   .00 %","   .00 %","   .00 %","   .12 %","   .00 %"
"2020-07-19","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-07-20","   .00 %","   .00 %","   .00 %","   .00 %","   .16 %","   .00 %"
"2020-07-21","   .00 %","   .00 %","   .00 %","   .00 %","   .16 %","   .00 %"
"2020-07-22","   .00 %","   .00 %","   .00 %","   .00 %","   .14 %","   .00 %"
"2020-07-23","   .00 %","   .00 %","   .00 %","   .00 %","   .22 %","   .00 %"
"2020-07-24","   .00 %","   .00 %","   .00 %","   .00 %","   .24 %","   .00 %"
"2020-07-25","   .00 %","   .00 %","   .00 %","   .00 %","   .14 %","   .00 %"
"2020-07-26","   .00 %","   .00 %","   .00 %","   .00 %","   .12 %","   .00 %"
"2020-07-27","   .00 %","   .00 %","   .00 %","   .00 %","   .14 %","   .00 %"
"2020-07-28","   .00 %","   .00 %","   .00 %","   .00 %","   .08 %","   .00 %"
"2020-07-29","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-07-30","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-07-31","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-08-01","   .00 %","   .00 %","   .00 %","   .00 %","   .06 %","   .00 %"
"2020-08-02","   .00 %","   .00 %","   .00 %","   .00 %","   .04 %","   .00 %"
"2020-08-03","   .00 %","   .00 %","   .00 %","   .00 %","   .06 %","   .00 %"
"2020-08-04","   .00 %","   .00 %","   .00 %","   .00 %","   .08 %","   .00 %"
"2020-08-05","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-08-06","   .00 %","   .00 %","   .00 %","   .00 %","   .14 %","   .00 %"
"2020-08-07","   .00 %","   .00 %","   .00 %","   .00 %","   .14 %","   .00 %"
"2020-08-08","   .00 %","   .00 %","   .00 %","   .00 %","   .08 %","   .00 %"
"2020-08-09","   .00 %","   .00 %","   .00 %","   .00 %","   .06 %","   .00 %"
"2020-08-10","   .00 %","   .00 %","   .00 %","   .00 %","   .06 %","   .00 %"
"2020-08-11","   .00 %","   .00 %","   .00 %","   .00 %","   .04 %","   .00 %"
"2020-08-12","   .00 %","   .00 %","   .00 %","   .00 %","   .08 %","   .00 %"
"2020-08-13","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-08-14","   .00 %","   .00 %","   .00 %","   .00 %","   .14 %","   .00 %"
"2020-08-15","   .00 %","   .00 %","   .00 %","   .00 %","   .12 %","   .00 %"
"2020-08-16","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-08-17","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-08-18","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %","   .00 %"
"2020-08-19","   .00 %","   .00 %","   .00 %","   .00 %","   .12 %","   .00 %"
"2020-08-20","   .00 %","   .00 %","   .00 %","   .00 %","   .14 %","   .00 %"
"2020-08-21","   .00 %","   .00 %","   .00 %","   .00 %","   .18 %","   .00 %"
"2020-08-22","   .00 %","   .00 %","   .00 %","   .00 %","   .14 %","   .00 %"
"2020-08-23","   .00 %","   .00 %","   .00 %","   .00 %","   .12 %","   .00 %"
"2020-08-24","   .00 %","   .00 %","   .00 %","   .00 %","   .16 %","   .00 %"
