"date","New Hampshire/Belknap","New Hampshire/Carroll","New Hampshire/Cheshire","New Hampshire/Coos","New Hampshire/Grafton","New Hampshire/Hillsborough","New Hampshire/Merrimack","New Hampshire/Nashua","New Hampshire/Rockingham","New Hampshire/Strafford","New Hampshire/Sullivan","New Hampshire/Unassigned"
"2020-05-17","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.00 %"," 13.33 %",""," 17.86 %","  7.50 %","   .00 %"," 10.36 %"
"2020-05-18","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.00 %"," 13.33 %",""," 17.86 %","  7.50 %","   .00 %","  7.50 %"
"2020-05-19","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 21.57 %"
"2020-05-20","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 30.57 %"
"2020-05-21","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","  6.00 %","","  3.40 %","  1.82 %","   .00 %"," -1.18 %"
"2020-05-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","  6.00 %","","  3.40 %","  1.82 %","   .00 %","  2.01 %"
"2020-05-23","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","  6.00 %","","  3.40 %","  1.82 %","   .00 %","  4.51 %"
"2020-05-24","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","  6.00 %","","  3.40 %","  1.82 %","   .00 %","  5.07 %"
"2020-05-25","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","  6.00 %","","  3.40 %","  1.82 %","   .00 %"," -3.39 %"
"2020-05-26","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","  9.41 %"
"2020-05-27","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","  9.99 %"
"2020-05-28","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 11.02 %"
"2020-05-29","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 13.09 %","  1.54 %","","  3.55 %","  1.67 %","   .00 %"," -9.54 %"
"2020-05-30","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 13.09 %","  1.54 %","","  3.55 %","  1.67 %","   .00 %","-10.08 %"
"2020-05-31","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 13.83 %","  1.54 %","","  4.10 %","  1.67 %","   .00 %","-12.18 %"
"2020-06-01","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 13.83 %","  1.54 %","","  4.10 %","  1.67 %","   .00 %","-16.47 %"
"2020-06-02","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 15.13 %","  2.97 %","","  4.36 %","  1.67 %","   .00 %","-20.00 %"
"2020-06-03","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.99 %","  4.10 %","","   .81 %","   .00 %","   .00 %","   .00 %"
"2020-06-04","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.89 %","  5.27 %","","   .81 %","   .00 %","   .00 %","   .00 %"
"2020-06-05","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.14 %","  5.27 %","","   .27 %","   .00 %","   .00 %","   .00 %"
"2020-06-06","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  4.38 %","  5.27 %","","   .27 %","   .00 %","   .00 %","-20.00 %"
"2020-06-07","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.43 %","  3.84 %","","   .00 %","   .00 %","   .00 %","-20.00 %"
"2020-06-08","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.49 %","  1.18 %","","   .00 %","   .00 %","   .00 %","-20.00 %"
"2020-06-09","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.58 %","   .00 %","","   .00 %","   .00 %","   .00 %","-20.00 %"
"2020-06-10","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.95 %","   .00 %","","   .79 %","   .00 %","   .00 %","-20.00 %"
"2020-06-11","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.47 %","   .00 %","","   .79 %","   .00 %","   .00 %","   .00 %"
"2020-06-12","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.74 %","   .00 %","","   .79 %","   .00 %","   .00 %","   .00 %"
"2020-06-13","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.04 %","   .00 %","","   .79 %","   .00 %","   .00 %","   .00 %"
"2020-06-14","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.24 %","   .00 %","","   .79 %","   .00 %","   .00 %","   .00 %"
"2020-06-15","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.86 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-06-16","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.51 %","   .00 %","","   .51 %","   .00 %","   .00 %","   .00 %"
