"date","Rhode Island/Bristol","Rhode Island/Kent","Rhode Island/Newport","Rhode Island/Providence","Rhode Island/Unassigned","Rhode Island/Washington"
"2020-05-31","  1.03 %","   .76 %","  1.37 %","   .83 %","  2.49 %","   .53 %"
"2020-06-01","   .09 %","   .39 %","   .76 %","   .33 %","  5.18 %","   .24 %"
"2020-06-02","   .18 %","   .27 %","   .59 %","   .15 %","  5.94 %","   .12 %"
"2020-06-03","   .00 %","   .00 %","   .00 %","   .00 %","  6.59 %","   .00 %"
"2020-06-04","   .00 %","   .00 %","   .00 %","   .00 %","  5.22 %","   .00 %"
"2020-06-05","   .00 %","   .00 %","   .00 %","   .00 %","  5.00 %","   .00 %"
"2020-06-06","   .00 %","   .00 %","   .00 %","   .00 %","  4.33 %","   .00 %"
"2020-06-07","   .00 %","   .00 %","   .00 %","   .00 %","  3.06 %","   .00 %"
"2020-06-08","   .62 %","  1.01 %","  2.05 %","  1.64 %"," -4.78 %","   .56 %"
"2020-06-09","   .62 %","  1.01 %","  2.05 %","  1.64 %"," -5.14 %","   .56 %"
"2020-06-10","   .62 %","  1.01 %","  2.05 %","  1.64 %"," -5.36 %","   .56 %"
"2020-06-11","   .62 %","  1.01 %","  2.05 %","  1.64 %"," -4.10 %","   .56 %"
"2020-06-12","   .62 %","  1.01 %","  2.05 %","  1.64 %"," -3.15 %","   .56 %"
"2020-06-13","   .00 %","   .00 %","   .00 %","   .00 %","  3.65 %","   .00 %"
"2020-06-14","   .00 %","   .00 %","   .00 %","   .00 %","  3.02 %","   .00 %"
"2020-06-15","   .78 %","   .42 %","   .59 %","   .68 %"," -1.00 %","   .12 %"
"2020-06-16","   .78 %","   .42 %","   .59 %","   .68 %"," -1.36 %","   .12 %"
"2020-06-17","   .78 %","   .42 %","   .59 %","   .68 %"," -1.72 %","   .12 %"
"2020-06-18","   .78 %","   .42 %","   .59 %","   .68 %"," -1.05 %","   .12 %"
"2020-06-19","   .78 %","   .42 %","   .59 %","   .68 %","  -.27 %","   .12 %"
"2020-06-20","   .00 %","   .00 %","   .00 %","   .00 %","  2.95 %","   .00 %"
"2020-06-21","   .00 %","   .00 %","   .00 %","   .00 %","  2.04 %","   .00 %"
"2020-06-22","   .58 %","   .73 %","  1.23 %","   .56 %"," -1.86 %","   .27 %"
"2020-06-23","   .58 %","   .73 %","  1.23 %","   .56 %"," -1.54 %","   .27 %"
"2020-06-24","   .58 %","   .73 %","  1.23 %","   .56 %"," -1.40 %","   .27 %"
"2020-06-25","   .58 %","   .73 %","  1.23 %","   .56 %","  -.99 %","   .27 %"
"2020-06-26","   .58 %","   .73 %","  1.23 %","   .56 %","  -.74 %","   .27 %"
"2020-06-27","   .00 %","   .00 %","   .00 %","   .00 %","  2.55 %","   .00 %"
"2020-06-28","   .00 %","   .00 %","   .00 %","   .00 %","  1.58 %","   .00 %"
"2020-06-29","   .49 %","   .51 %","   .95 %","   .35 %"," -1.45 %","   .34 %"
"2020-06-30","   .49 %","   .51 %","   .95 %","   .35 %"," -1.22 %","   .34 %"
"2020-07-01","   .49 %","   .51 %","   .95 %","   .35 %","  -.97 %","   .34 %"
"2020-07-02","   .49 %","   .51 %","   .95 %","   .35 %","   .12 %","   .34 %"
"2020-07-03","   .72 %","  1.10 %","  2.45 %","   .67 %"," -2.50 %","   .57 %"
"2020-07-04","   .24 %","   .58 %","  1.49 %","   .32 %","  -.39 %","   .23 %"
"2020-07-05","   .24 %","   .58 %","  1.49 %","   .32 %"," -1.03 %","   .23 %"
"2020-07-06","   .24 %","   .58 %","  1.49 %","   .32 %"," -1.53 %","   .23 %"
"2020-07-07","   .24 %","   .58 %","  1.49 %","   .32 %","  -.43 %","   .23 %"
"2020-07-08","   .00 %","   .00 %","   .00 %","   .00 %","  2.80 %","   .00 %"
"2020-07-09","   .00 %","   .00 %","   .00 %","   .00 %","  3.26 %","   .00 %"
"2020-07-10","   .00 %","   .00 %","   .00 %","   .00 %","  4.05 %","   .00 %"
"2020-07-11","   .00 %","   .00 %","   .00 %","   .00 %","  4.05 %","   .00 %"
"2020-07-12","   .00 %","   .00 %","   .00 %","   .00 %","  1.86 %","   .00 %"
"2020-07-13","   .00 %","   .00 %","   .00 %","   .00 %","  3.19 %","   .00 %"
"2020-07-14","   .00 %","   .00 %","   .00 %","   .00 %","  3.75 %","   .00 %"
"2020-07-15","  2.11 %","  1.33 %","  2.05 %","   .81 %"," -3.25 %","   .97 %"
"2020-07-16","  2.11 %","  1.33 %","  2.05 %","   .81 %"," -2.27 %","   .97 %"
"2020-07-17","  2.11 %","  1.33 %","  2.05 %","   .81 %"," -1.18 %","   .97 %"
"2020-07-18","  2.11 %","  1.33 %","  2.05 %","   .81 %"," -3.11 %","   .97 %"
"2020-07-19","  2.11 %","  1.33 %","  2.05 %","   .81 %"," -4.13 %","   .97 %"
"2020-07-20","   .00 %","   .00 %","   .00 %","   .00 %","  3.47 %","   .00 %"
"2020-07-21","   .00 %","   .00 %","   .00 %","   .00 %","  3.45 %","   .00 %"
"2020-07-22","   .49 %","   .53 %","   .00 %","   .53 %"," -1.40 %","   .35 %"
"2020-07-23","   .49 %","   .53 %","   .00 %","   .53 %","  -.21 %","   .35 %"
"2020-07-24","   .49 %","   .53 %","   .00 %","   .53 %","   .78 %","   .35 %"
"2020-07-25","   .49 %","   .53 %","   .00 %","   .53 %","  -.61 %","   .35 %"
"2020-07-26","   .49 %","   .53 %","   .00 %","   .53 %"," -1.58 %","   .35 %"
"2020-07-27","   .00 %","   .00 %","   .00 %","   .00 %","  5.79 %","   .00 %"
"2020-07-28","   .00 %","   .00 %","   .00 %","   .00 %","  6.81 %","   .00 %"
"2020-07-29","   .97 %","  1.04 %","   .82 %","   .74 %","   .56 %","   .56 %"
"2020-07-30","   .97 %","  1.04 %","   .82 %","   .74 %","  2.48 %","   .56 %"
"2020-07-31","   .97 %","  1.04 %","   .82 %","   .74 %","  3.33 %","   .56 %"
"2020-08-01","   .97 %","  1.04 %","   .82 %","   .74 %","  -.28 %","   .56 %"
"2020-08-02","   .97 %","  1.04 %","   .82 %","   .74 %"," -2.49 %","   .56 %"
"2020-08-03","   .00 %","   .00 %","   .00 %","   .00 %","  5.29 %","   .00 %"
"2020-08-04","   .00 %","   .00 %","   .00 %","   .00 %","  4.80 %","   .00 %"
"2020-08-05","   .79 %","  1.03 %","   .84 %","   .68 %","  -.93 %","   .58 %"
"2020-08-06","   .79 %","  1.03 %","   .84 %","   .68 %","   .67 %","   .58 %"
"2020-08-07","   .79 %","  1.03 %","   .84 %","   .68 %","  2.12 %","   .58 %"
"2020-08-08","   .79 %","  1.03 %","   .84 %","   .68 %","  -.40 %","   .58 %"
"2020-08-09","   .79 %","  1.03 %","   .84 %","   .68 %"," -1.84 %","   .58 %"
"2020-08-10","   .00 %","   .00 %","   .00 %","   .00 %","  5.14 %","   .00 %"
"2020-08-11","   .00 %","   .00 %","   .00 %","   .00 %","  4.69 %","   .00 %"
"2020-08-12","   .38 %","   .67 %","   .45 %","   .79 %"," -2.24 %","   .46 %"
"2020-08-13","   .38 %","   .67 %","   .45 %","   .79 %","  -.84 %","   .46 %"
"2020-08-14","   .38 %","   .67 %","   .45 %","   .79 %","   .27 %","   .46 %"
"2020-08-15","   .38 %","   .67 %","   .45 %","   .79 %"," -1.82 %","   .46 %"
"2020-08-16","   .38 %","   .67 %","   .45 %","   .79 %"," -2.96 %","   .46 %"
"2020-08-17","   .00 %","   .00 %","   .00 %","   .00 %","  5.14 %","   .00 %"
"2020-08-18","   .00 %","   .00 %","   .00 %","   .00 %","  4.93 %","   .00 %"
"2020-08-19","   .43 %","   .62 %","   .30 %","   .64 %","  -.77 %","  1.22 %"
"2020-08-20","   .43 %","   .62 %","   .30 %","   .64 %","   .15 %","  1.22 %"
"2020-08-21","   .43 %","   .62 %","   .30 %","   .64 %","  1.88 %","  1.22 %"
"2020-08-22","   .43 %","   .62 %","   .30 %","   .64 %","  -.75 %","  1.22 %"
"2020-08-23","   .43 %","   .62 %","   .30 %","   .64 %"," -1.93 %","  1.22 %"
"2020-08-24","   .00 %","   .00 %","   .00 %","   .00 %","  5.62 %","   .00 %"
