"date","North Dakota/Adams","North Dakota/Barnes","North Dakota/Benson","North Dakota/Billings","North Dakota/Bottineau","North Dakota/Bowman","North Dakota/Burke","North Dakota/Burleigh","North Dakota/Cass","North Dakota/Cavalier","North Dakota/Dickey","North Dakota/Divide","North Dakota/Dunn","North Dakota/Eddy","North Dakota/Emmons","North Dakota/Foster","North Dakota/Golden Valley","North Dakota/Grand Forks","North Dakota/Grant","North Dakota/Griggs","North Dakota/Hettinger","North Dakota/Kidder","North Dakota/LaMoure","North Dakota/Logan","North Dakota/McHenry","North Dakota/McIntosh","North Dakota/McKenzie","North Dakota/McLean","North Dakota/Mercer","North Dakota/Morton","North Dakota/Mountrail","North Dakota/Nelson","North Dakota/Oliver","North Dakota/Pembina","North Dakota/Pierce","North Dakota/Ramsey","North Dakota/Ransom","North Dakota/Renville","North Dakota/Richland","North Dakota/Rolette","North Dakota/Sargent","North Dakota/Sheridan","North Dakota/Sioux","North Dakota/Slope","North Dakota/Stark","North Dakota/Steele","North Dakota/Stutsman","North Dakota/Towner","North Dakota/Traill","North Dakota/Unassigned","North Dakota/Walsh","North Dakota/Ward","North Dakota/Wells","North Dakota/Williams"
"2020-04-21","","   .00 %","","","","   .00 %","   .00 %","   .00 %","  3.66 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  3.62 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  4.55 %","  3.33 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %",""," ##.## %","   .00 %","   .00 %","","   .00 %","","","","   .00 %","   .00 %","","   .00 %"
"2020-04-22","","   .00 %","","","","   .00 %","   .00 %","  3.17 %","  7.45 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  7.69 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","",""," 20.00 %","   .00 %","   .00 %","","-50.00 %","   .00 %","  2.56 %","","   .00 %","","","","   .00 %","  5.00 %","   .00 %","   .00 %"
"2020-04-23","","   .00 %","","","","   .00 %"," 50.00 %","  3.08 %","  5.84 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  5.19 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.45 %","   .00 %","   .00 %","","   .00 %","   .00 %","",""," 16.67 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-24","","   .00 %","","","","   .00 %","   .00 %","  1.49 %","  9.66 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  4.94 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %"," 33.33 %","   .00 %","   .00 %"," 11.11 %"
"2020-04-25",""," 33.33 %","","","","   .00 %","   .00 %","  8.82 %"," 12.26 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  1.76 %","   .00 %","","","","","","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","  4.35 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %",""," 33.33 %","","","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"
"2020-04-26","","   .00 %","","","","   .00 %","   .00 %","   .00 %"," 11.20 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 12.72 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  2.50 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-27","","   .00 %","","","","   .00 %","   .00 %","   .00 %","  8.56 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 18.46 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.03 %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %"," 75.00 %","   .00 %","   .00 %","   .00 %"
"2020-04-28","","   .00 %","","","","   .00 %","   .00 %","   .00 %","  9.51 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  1.30 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.94 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  7.32 %",""," 25.00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-29","","   .00 %","","","","   .00 %","   .00 %","  2.70 %","  4.24 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  7.26 %","   .00 %","","","","","","   .00 %","   .00 %","  8.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-25.00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  4.55 %",""," 20.00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-30","","   .00 %","","","","   .00 %","   .00 %","  1.32 %","  4.27 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  2.79 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  6.52 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
