"date","New York/Albany","New York/Allegany","New York/Bronx","New York/Broome","New York/Cattaraugus","New York/Cayuga","New York/Chautauqua","New York/Chemung","New York/Chenango","New York/Clinton","New York/Columbia","New York/Cortland","New York/Delaware","New York/Dutchess","New York/Erie","New York/Essex","New York/Franklin","New York/Fulton","New York/Genesee","New York/Greene","New York/Hamilton","New York/Herkimer","New York/Jefferson","New York/Kings","New York/Lewis","New York/Livingston","New York/Madison","New York/Monroe","New York/Montgomery","New York/Nassau","New York/New York City","New York/Niagara","New York/Oneida","New York/Onondaga","New York/Ontario","New York/Orange","New York/Orleans","New York/Oswego","New York/Otsego","New York/Putnam","New York/Queens","New York/Rensselaer","New York/Richmond","New York/Rockland","New York/Saratoga","New York/Schenectady","New York/Schoharie","New York/Schuyler","New York/Seneca","New York/St. Lawrence","New York/Steuben","New York/Suffolk","New York/Sullivan","New York/Tioga","New York/Tompkins","New York/Ulster","New York/Unassigned","New York/Warren","New York/Washington","New York/Wayne","New York/Westchester","New York/Wyoming","New York/Yates"
"2020-04-01","  5.12 %"," 51.27 %",""," 18.73 %"," 73.33 %"," 16.67 %"," 40.86 %"," 15.48 %"," 49.89 %"," 18.15 %","  9.00 %"," 22.86 %"," 21.59 %"," 19.51 %"," 19.25 %","  4.00 %"," 44.00 %"," 20.00 %"," 17.13 %"," 27.90 %","   .00 %","  6.22 %"," 26.58 %","","   .00 %"," 59.74 %"," 31.26 %"," 16.54 %","  7.33 %"," 15.48 %"," 13.18 %"," 15.74 %"," 33.56 %"," 17.91 %"," 11.58 %"," 14.12 %"," 15.67 %"," 43.89 %"," 32.92 %"," 13.57 %","","  4.71 %",""," 18.07 %","  8.43 %","  7.11 %"," 27.33 %"," 20.00 %","   .00 %"," 56.62 %"," 30.17 %"," 17.63 %"," 13.72 %"," 46.19 %"," 20.01 %"," 18.36 %","   .00 %"," 20.19 %"," 14.44 %"," 18.82 %","  8.26 %","  7.86 %",""
"2020-04-02","  5.35 %"," 55.27 %",""," 15.08 %"," 76.19 %"," 16.67 %"," 10.86 %"," 13.67 %"," 31.43 %"," 16.34 %","  8.73 %","  9.86 %"," 23.59 %"," 20.61 %"," 14.50 %","  7.33 %"," 14.00 %"," 60.00 %"," 18.41 %"," 27.90 %","   .00 %","  9.56 %"," 21.58 %","","   .00 %"," 13.08 %"," 20.25 %"," 16.27 %","  6.19 %"," 13.86 %"," 11.74 %"," 26.61 %"," 22.57 %"," 15.90 %"," 10.39 %"," 12.62 %"," 15.67 %"," 21.89 %"," 27.03 %"," 10.84 %","","  3.35 %",""," 14.63 %","  6.66 %","  7.02 %"," 14.00 %"," 30.00 %"," 20.00 %"," 39.56 %"," 31.14 %"," 16.18 %"," 14.86 %","  6.19 %"," 11.07 %"," 12.84 %","   .00 %","  7.69 %","  6.26 %"," 19.50 %","  8.00 %"," 15.86 %","   .00 %"
"2020-04-03","  5.43 %"," 18.60 %",""," 14.21 %"," 18.69 %"," 26.67 %","  5.36 %"," 20.48 %"," 16.78 %"," 18.67 %"," 11.40 %"," 12.45 %"," 25.41 %"," 20.44 %"," 12.25 %","  7.33 %"," 12.22 %"," 60.00 %"," 13.95 %"," 29.81 %","   .00 %","  7.33 %"," 22.25 %","","   .00 %"," 13.08 %"," 22.19 %"," 16.68 %"," 11.19 %"," 13.30 %"," 11.12 %"," 24.24 %"," 23.24 %"," 10.72 %","  9.43 %"," 14.03 %"," 15.67 %"," 24.01 %"," 18.46 %"," 12.19 %","","  5.68 %",""," 14.20 %","  6.77 %","  7.69 %"," 18.44 %"," 30.00 %"," 30.00 %"," 31.61 %"," 26.38 %"," 15.12 %"," 13.91 %","  6.19 %","  9.48 %"," 12.80 %","   .00 %","  1.11 %"," 11.26 %"," 21.72 %","  7.72 %"," 14.43 %","   .00 %"
"2020-04-04","  6.21 %"," 18.13 %",""," 13.29 %","  8.69 %"," 20.00 %","  7.58 %"," 21.06 %"," 18.49 %"," 13.18 %","  9.75 %","  7.45 %"," 19.58 %"," 19.13 %"," 12.87 %","  7.33 %"," 12.22 %"," 70.00 %"," 17.48 %"," 22.11 %","   .00 %","  9.05 %"," 13.04 %","","   .00 %","  7.08 %"," 13.48 %"," 16.29 %"," 17.19 %"," 12.71 %"," 11.09 %"," 24.15 %"," 19.63 %","  8.90 %","  9.35 %"," 13.88 %"," 22.33 %"," 14.01 %","  9.22 %"," 11.45 %","","  5.29 %",""," 14.18 %","  5.60 %","  7.91 %"," 14.44 %"," 16.67 %"," 30.00 %"," 34.13 %"," 30.11 %"," 14.46 %"," 13.93 %","  2.86 %","  5.86 %","  8.83 %","   .00 %","  2.16 %"," 12.60 %"," 16.72 %","  7.00 %"," 18.43 %","   .00 %"
"2020-04-05","  6.20 %"," 12.41 %",""," 13.42 %"," 10.91 %"," 16.19 %"," 23.58 %"," 15.50 %"," 18.19 %","  9.77 %"," 13.96 %","  7.45 %"," 11.25 %"," 17.40 %"," 16.55 %"," 13.05 %"," 12.22 %"," 70.00 %"," 15.03 %"," 22.11 %","   .00 %"," 13.49 %"," 19.04 %",""," 10.00 %"," 10.67 %"," 12.97 %"," 16.80 %"," 20.27 %"," 11.02 %","  9.40 %"," 27.12 %"," 23.38 %","  7.91 %","  9.99 %"," 15.45 %"," 19.33 %"," 16.87 %"," 11.53 %"," 13.64 %","","  6.61 %",""," 13.24 %","  6.87 %","  8.54 %"," 14.44 %"," 16.67 %"," 40.00 %"," 22.21 %"," 34.45 %"," 14.37 %"," 12.94 %","   .00 %","  5.43 %"," 11.73 %","   .00 %","  7.16 %"," 15.10 %"," 18.06 %","  6.61 %"," 22.87 %","   .00 %"
"2020-04-06","  5.87 %"," 11.44 %",""," 12.72 %"," 11.58 %"," 23.69 %"," 20.72 %"," 18.24 %"," 12.22 %","  7.78 %"," 11.47 %","  7.45 %","  7.74 %"," 16.88 %"," 14.91 %","  9.05 %","  2.22 %"," 54.44 %"," 12.30 %","  6.11 %","   .00 %"," 16.22 %"," 22.61 %",""," 30.00 %","  6.67 %","  8.34 %"," 10.59 %"," 16.93 %"," 10.34 %","  8.77 %"," 25.37 %"," 15.02 %","  6.38 %","  5.99 %"," 15.05 %"," 18.97 %"," 11.45 %","  9.17 %"," 10.83 %","","  6.24 %",""," 11.46 %","  4.68 %","  8.22 %","  4.44 %"," 16.67 %"," 40.00 %"," 12.64 %"," 15.00 %"," 13.32 %"," 16.33 %","   .00 %","  6.09 %"," 11.62 %","   .00 %","  7.96 %"," 11.76 %","  7.31 %","  6.01 %"," 18.78 %","   .00 %"
"2020-04-07","  5.67 %","  7.44 %",""," 13.45 %"," 10.39 %"," 29.15 %"," 20.72 %"," 19.09 %"," 12.85 %","  8.33 %"," 10.09 %","  8.31 %"," 10.56 %"," 13.50 %"," 15.20 %","  5.71 %","  2.22 %"," 18.08 %"," 16.38 %","  2.77 %","   .00 %"," 14.49 %"," 21.24 %",""," 30.00 %","  6.67 %","  6.40 %","  7.29 %"," 18.08 %","  9.46 %","  8.23 %","  6.81 %"," 14.22 %","  5.71 %","  4.95 %"," 14.03 %"," 22.05 %","  8.45 %"," 10.52 %"," 13.26 %","","  8.21 %","","  9.87 %","  3.30 %","  7.51 %","  6.26 %","  6.67 %"," 22.22 %","  9.70 %"," 12.36 %"," 12.26 %"," 14.03 %","   .00 %","  5.23 %"," 10.84 %","   .00 %"," 11.81 %","  9.94 %","  5.39 %","  4.35 %"," 10.78 %","   .00 %"
"2020-04-08","  5.10 %","  8.81 %",""," 10.73 %"," 10.97 %"," 19.15 %"," 18.22 %","  9.72 %"," 10.78 %","  5.41 %","  8.54 %","  2.86 %","  9.30 %"," 11.58 %"," 13.05 %","  5.71 %","   .00 %"," 19.62 %"," 23.62 %","  1.70 %","   .00 %"," 15.97 %"," 17.76 %",""," 30.00 %"," 10.83 %","  3.75 %","  7.04 %"," 13.08 %","  9.07 %","  7.45 %"," 10.75 %"," 12.12 %","  5.57 %","  7.05 %"," 11.26 %"," 23.38 %","  4.11 %"," 12.87 %"," 11.17 %","","  5.87 %","","  8.42 %","  2.84 %","  6.28 %","  1.82 %","  6.67 %"," 16.22 %"," 13.22 %"," 14.17 %"," 10.90 %"," 12.46 %"," 17.50 %","  3.87 %"," 12.14 %","   .00 %"," 11.99 %","  6.00 %","  5.46 %","  5.22 %"," 12.83 %","   .00 %"
"2020-04-09","  5.32 %","  6.91 %",""," 10.09 %"," 13.63 %"," 18.67 %"," 20.44 %"," 10.60 %","  7.16 %","  5.26 %","  8.03 %","  2.86 %","  7.63 %","  9.80 %"," 12.48 %","  3.49 %","  2.00 %"," 11.05 %"," 23.92 %","  5.63 %"," 10.00 %"," 12.32 %"," 16.53 %",""," 30.00 %"," 10.83 %","  5.67 %","  6.41 %"," 18.19 %","  8.59 %","  6.57 %","  9.26 %"," 14.87 %","  3.89 %","  6.96 %","  9.53 %"," 17.55 %","  5.28 %","  8.64 %"," 10.07 %","","  9.06 %","","  6.48 %","  4.08 %","  7.43 %","  1.82 %","   .00 %"," 21.22 %"," 10.06 %","  9.23 %"," 10.61 %","  9.49 %"," 20.17 %","  2.87 %"," 10.08 %","   .00 %"," 15.18 %","  9.66 %","  5.46 %","  5.45 %"," 10.31 %","   .00 %"
"2020-04-10","  6.98 %"," 10.54 %","","  9.58 %"," 12.59 %"," 29.56 %","  4.44 %","  9.49 %","  6.93 %","  5.47 %","  4.06 %","  4.11 %","  7.95 %","  8.24 %","  7.19 %","  2.78 %","  2.00 %"," 15.05 %"," 25.13 %","  7.57 %"," 10.00 %"," 10.38 %"," 11.01 %",""," 20.00 %","  4.17 %","  2.85 %","  6.27 %"," 15.83 %","  8.38 %","  6.46 %","  6.42 %"," 12.89 %","  4.65 %"," 10.03 %","  7.32 %"," 17.36 %","  2.43 %","  7.35 %","  9.24 %","","  6.97 %","","  5.99 %","  3.96 %","  8.42 %","  1.82 %","  5.00 %"," 11.22 %","  6.60 %"," 10.33 %","  9.13 %"," 10.97 %"," 21.34 %","  2.44 %","  8.34 %","   .00 %"," 11.68 %","  7.96 %","  5.15 %","  5.73 %","  6.56 %"," 20.00 %"
"2020-04-11","  7.00 %","  9.29 %","","  9.07 %","  9.70 %"," 22.80 %","  4.44 %","  5.09 %","  5.86 %","  3.65 %","  4.48 %","  4.11 %","  6.46 %","  7.99 %","  5.62 %","  6.78 %","  2.00 %"," 13.94 %"," 24.84 %","  9.33 %"," 10.00 %","  8.21 %","  6.09 %","","   .00 %","  4.86 %","  2.17 %","  5.99 %"," 15.83 %","  7.68 %","  6.37 %","  7.14 %"," 12.89 %","  3.93 %"," 11.99 %","  6.53 %"," 13.73 %","  1.73 %","  8.33 %","  7.55 %","","  6.97 %","","  5.57 %","  4.11 %","  7.17 %","  1.82 %","  5.00 %"," 12.56 %","  6.60 %","  9.78 %","  7.53 %","  6.14 %"," 22.45 %","  1.15 %","  9.22 %","   .00 %"," 11.34 %"," 10.70 %","  4.39 %","  5.62 %","  6.32 %"," 20.00 %"
"2020-04-12","  7.56 %","  9.29 %","","  7.97 %"," 17.50 %"," 19.49 %","  5.35 %","  4.24 %","  4.35 %","  3.09 %","  3.91 %","  5.96 %","  1.64 %","  8.05 %","  4.98 %","  6.78 %","  3.82 %"," 10.30 %"," 17.04 %"," 13.12 %"," 10.00 %","  6.61 %","  3.36 %","","   .00 %","  7.52 %","  2.76 %","  6.03 %"," 11.83 %","  7.27 %","  6.07 %","  9.38 %"," 10.83 %","  4.54 %"," 11.73 %","  5.60 %"," 11.48 %","  4.43 %","  4.88 %","  4.78 %","","  3.18 %","","  5.22 %","  4.81 %","  6.67 %","   .00 %","  5.00 %"," 10.33 %","  8.06 %"," 14.91 %","  6.19 %","  5.85 %"," 26.66 %","  1.88 %"," 10.63 %","   .00 %","  8.41 %"," 12.63 %","  3.80 %","  6.24 %","  6.32 %"," 20.00 %"
"2020-04-13","  7.90 %","  4.59 %","","  7.46 %"," 14.43 %"," 19.49 %","  5.35 %","  1.79 %","  4.20 %","  2.48 %","  4.18 %","  5.96 %","  2.62 %","  6.18 %","  4.49 %","  6.78 %","  3.82 %","  8.76 %","  8.84 %"," 12.74 %"," 10.00 %","  5.67 %","  2.85 %","","   .00 %","  3.36 %","  3.71 %","  4.81 %"," 11.83 %","  5.62 %","  5.48 %","  4.77 %"," 10.77 %","  4.33 %","  8.09 %","  6.59 %"," 10.95 %","  4.43 %","  2.53 %","  3.53 %","","  5.34 %","","  4.44 %","  4.42 %","  6.62 %","   .00 %"," 17.00 %","  6.33 %","  2.72 %"," 11.71 %","  5.01 %","  5.16 %","  9.16 %","  1.49 %","  9.27 %","   .00 %","  7.99 %"," 13.35 %","  1.51 %","  4.50 %","  2.84 %"," 40.00 %"
"2020-04-14","  7.18 %","  5.17 %","","  6.83 %"," 14.62 %"," 17.92 %","   .91 %","  1.67 %","  4.37 %","  2.42 %","  2.33 %","  6.91 %","  4.05 %","  5.34 %","  3.87 %","  9.00 %","  3.48 %","  8.29 %","  6.42 %"," 17.27 %","   .00 %","  4.12 %","  2.29 %","","  3.33 %","  3.36 %","  1.54 %","  4.03 %","  2.78 %","  4.63 %","  4.89 %","  7.04 %","  7.73 %","  4.98 %","  7.44 %","  6.27 %","  7.30 %","  3.26 %","  2.47 %","  7.18 %","","  6.94 %","","  4.58 %","  5.47 %","  7.25 %"," 13.33 %"," 17.00 %","  3.83 %","  2.36 %"," 10.56 %","  3.86 %","  7.00 %","  7.37 %","  1.11 %","  9.27 %","   .00 %"," 15.83 %","  9.97 %","  4.37 %","  3.51 %","  2.00 %"," 50.00 %"
"2020-04-15","  5.18 %","  1.54 %","","  6.46 %"," 13.44 %","  5.99 %","  1.78 %","  3.23 %","  3.43 %","   .92 %","  3.60 %","  6.57 %","  3.41 %","  5.12 %","  3.89 %","  4.00 %","  3.48 %","  6.10 %","  3.21 %"," 17.46 %","   .00 %","  2.14 %","  1.81 %","","  3.33 %","  3.36 %","  1.54 %","  3.56 %","  2.07 %","  4.43 %","  5.08 %","  8.12 %","  7.44 %","  4.34 %","  4.05 %","  5.23 %","  6.77 %","  3.26 %","  1.44 %","  5.82 %","","  6.94 %","","  3.54 %","  4.58 %","  4.54 %"," 13.33 %"," 12.00 %","  3.83 %","  2.36 %","  5.67 %","  2.98 %","  5.95 %","  7.02 %","  2.00 %","  7.14 %","   .00 %"," 14.33 %"," 10.17 %","  3.34 %","  2.99 %","  7.56 %"," 30.00 %"
"2020-04-16","  5.45 %","  1.54 %","","  7.39 %"," 12.33 %","  5.25 %","  1.78 %","  3.19 %","  3.66 %","  1.36 %","  2.88 %","  7.44 %","  3.85 %","  3.65 %","  5.32 %","   .00 %","  3.48 %","  3.60 %","  3.12 %"," 15.97 %","   .00 %","  3.08 %","  1.77 %","","  6.19 %","  2.67 %","  1.54 %","  3.98 %","  2.07 %","  4.23 %","  4.62 %","  6.71 %","  6.64 %","  4.91 %","  3.06 %","  5.34 %","  7.38 %","  3.66 %","   .47 %","  5.54 %","","  6.94 %","","  3.20 %","  4.38 %","  4.90 %"," 13.33 %"," 12.00 %","  2.50 %","  2.58 %","  6.07 %","  4.08 %","  5.18 %","  7.51 %","  1.81 %","  7.60 %","   .00 %"," 14.90 %","  8.23 %","  3.27 %","  3.11 %","  6.90 %"," 33.33 %"
"2020-04-17","  5.32 %","  2.25 %","","  7.17 %","  4.11 %","  3.11 %","  1.70 %","  3.47 %","  3.83 %","  1.80 %","  3.08 %","  3.56 %","  4.27 %","  3.12 %","  5.20 %","  5.00 %","  1.67 %","  5.20 %","  3.50 %"," 12.99 %","   .00 %","  4.48 %","  1.69 %","","  6.19 %","   .00 %","  2.23 %","  4.09 %","  2.69 %","  3.92 %","  4.30 %","  3.30 %","  6.05 %","  3.90 %","  3.31 %","  5.39 %","  6.54 %","  1.41 %","   .47 %","  8.10 %","","  8.36 %","","  3.09 %","  3.85 %","  8.47 %"," 13.33 %"," 12.00 %","  2.50 %","  1.76 %","   .94 %","  3.65 %","  7.23 %","  5.53 %","  1.05 %","  6.19 %","   .00 %"," 16.46 %","  7.16 %","  3.27 %","  3.08 %","  7.85 %"," 36.19 %"
"2020-04-18","  5.38 %","  2.94 %","","  6.96 %","  4.11 %","  3.11 %","  1.70 %","  3.75 %","  3.45 %","  1.76 %","  2.50 %","  3.56 %","  3.15 %","  3.20 %","  4.05 %","  6.33 %","  1.67 %","  5.20 %","  4.18 %"," 13.84 %","   .00 %","  4.37 %","  1.69 %","","  6.19 %","  1.76 %","  1.27 %","  4.14 %","  3.30 %","  3.69 %","  4.91 %","  3.91 %","  5.46 %","  2.85 %","  3.91 %","  3.12 %","  9.86 %","  1.41 %","  1.83 %","  8.10 %","","  8.07 %","","  2.87 %","  4.02 %","  7.97 %"," 13.33 %","   .00 %","  2.50 %","  1.95 %","  4.45 %","  3.86 %","  6.75 %","  6.86 %","  1.05 %","  4.32 %","   .00 %"," 16.25 %","  7.06 %","  3.27 %","  3.22 %","  7.85 %"," 18.69 %"
"2020-04-19","  4.98 %","  1.40 %","","  5.65 %","  1.25 %","  1.82 %","  1.70 %","  2.70 %","  2.79 %","  1.72 %","  2.88 %","  2.61 %","  1.72 %","  2.99 %","  4.89 %","  8.83 %","   .00 %","  4.25 %","  9.67 %","  5.24 %","   .00 %","  4.69 %","  2.86 %","","  2.86 %","  2.85 %","  1.27 %","  3.96 %","  1.82 %","  3.52 %","  4.67 %","  2.67 %","  3.75 %","  3.50 %","  2.80 %","  2.29 %","  8.45 %","  2.30 %","  1.79 %","  4.35 %","","  5.98 %","","  2.36 %","  2.30 %","  4.93 %","   .00 %","   .00 %","   .00 %","  2.71 %","  4.45 %","  3.46 %","  5.41 %","  7.86 %","  1.05 %","  6.14 %","   .00 %","  4.59 %","  9.67 %","   .82 %","  3.35 %","  7.20 %","  8.69 %"
"2020-04-20","  4.65 %","  1.40 %","","  5.42 %","  1.25 %","   .00 %","   .83 %","  1.14 %","  1.91 %","  2.54 %","  2.12 %","  1.70 %","  1.28 %","  2.21 %","  3.94 %"," 11.06 %","   .00 %","  2.43 %"," 10.01 %","  3.35 %","   .00 %","  4.18 %","  2.86 %","","  5.36 %","  2.85 %","  1.27 %","  3.59 %","  1.82 %","  2.81 %","  3.62 %","  2.20 %","  2.56 %","  2.81 %","  2.76 %","  2.29 %","  7.16 %","  4.42 %","  2.21 %","  4.35 %","","  5.98 %","","  2.22 %","  2.28 %","  4.76 %","   .00 %","   .00 %","   .00 %","  3.66 %","  5.45 %","  3.65 %","  5.83 %","  8.17 %","   .17 %","  6.10 %","   .00 %","  5.63 %","  9.31 %","   .82 %","  3.02 %","   .95 %"," 10.91 %"
"2020-04-21","  3.94 %","  1.40 %","","  4.19 %","  1.84 %","   .00 %","   .83 %","  1.39 %","  1.60 %","  4.05 %","  3.74 %","   .83 %","  6.15 %","  2.26 %","  3.25 %"," 12.06 %","   .00 %","  1.60 %","  9.82 %","  3.31 %","   .00 %","  3.09 %","  2.43 %","","  2.50 %","  2.85 %","  1.27 %","  2.81 %","  2.96 %","  2.28 %","  3.22 %","  2.59 %","  2.67 %","  2.24 %","  2.07 %","  2.37 %","  9.60 %","  3.47 %","  2.21 %","  5.09 %","","  5.98 %","","  1.80 %","  3.34 %","  6.86 %","   .00 %","   .00 %","   .00 %","  5.26 %","  5.05 %","  2.96 %","  6.36 %","  6.57 %","   .84 %","  3.84 %","   .00 %","  4.79 %","  8.32 %","   .81 %","  2.47 %","   .95 %","  7.58 %"
"2020-04-22","  3.57 %","   .69 %","","  4.24 %","  1.73 %","   .00 %","  8.80 %","  1.11 %","   .78 %","  3.62 %","  3.54 %","   .00 %","  5.72 %","  2.22 %","  2.51 %","  8.01 %","   .00 %","   .74 %","  8.70 %","  2.50 %","   .00 %","  2.89 %","  1.60 %","","  2.50 %","  2.85 %","   .68 %","  2.67 %","  2.88 %","  2.03 %","  2.97 %","  3.38 %","  2.91 %","  2.24 %","  1.73 %","  1.93 %"," 10.73 %","  3.02 %","  2.21 %","  2.60 %","","  6.27 %","","  1.54 %","  3.28 %","  3.73 %","   .00 %","   .00 %","   .00 %","  5.12 %","  7.00 %","  2.89 %","  3.25 %","  5.43 %","   .67 %","  3.01 %","   .00 %","  3.50 %","  8.93 %","  1.20 %","  2.38 %","   .00 %","  6.72 %"
