"date","Madhya Pradesh/Agar Malwa","Madhya Pradesh/Alirajpur","Madhya Pradesh/Anuppur","Madhya Pradesh/Ashoknagar","Madhya Pradesh/Balaghat","Madhya Pradesh/Barwani","Madhya Pradesh/Betul","Madhya Pradesh/Bhind","Madhya Pradesh/Bhopal","Madhya Pradesh/Burhanpur","Madhya Pradesh/Chhatarpur","Madhya Pradesh/Chhindwara","Madhya Pradesh/Damoh","Madhya Pradesh/Datia","Madhya Pradesh/Dewas","Madhya Pradesh/Dhar","Madhya Pradesh/Dindori","Madhya Pradesh/Guna","Madhya Pradesh/Gwalior","Madhya Pradesh/Harda","Madhya Pradesh/Hoshangabad","Madhya Pradesh/Indore","Madhya Pradesh/Jabalpur","Madhya Pradesh/Jhabua","Madhya Pradesh/Katni","Madhya Pradesh/Khandwa","Madhya Pradesh/Khargone","Madhya Pradesh/Mandla","Madhya Pradesh/Mandsaur","Madhya Pradesh/Morena","Madhya Pradesh/Narsinghpur","Madhya Pradesh/Neemuch","Madhya Pradesh/Niwari","Madhya Pradesh/Other Region","Madhya Pradesh/Panna","Madhya Pradesh/Raisen","Madhya Pradesh/Rajgarh","Madhya Pradesh/Ratlam","Madhya Pradesh/Rewa","Madhya Pradesh/Sagar","Madhya Pradesh/Satna","Madhya Pradesh/Sehore","Madhya Pradesh/Seoni","Madhya Pradesh/Shahdol","Madhya Pradesh/Shajapur","Madhya Pradesh/Sheopur","Madhya Pradesh/Shivpuri","Madhya Pradesh/Sidhi","Madhya Pradesh/Singrauli","Madhya Pradesh/Tikamgarh","Madhya Pradesh/Ujjain","Madhya Pradesh/Umaria","Madhya Pradesh/Vidisha","Madhya Pradesh/bhind","Madhya Pradesh/bhopal","Madhya Pradesh/dewas","Madhya Pradesh/dhar","Madhya Pradesh/khargone","Madhya Pradesh/sheopur","Madhya Pradesh/ujjain","Madhya Pradesh/vidisha"
"2020-04-25","","","","","","","","","-24.32 %","","","-50.00 %","","","","","","","",""," ##.## %","-33.33 %"," ##.## %","","","-50.00 %","-##.## %","","","","","","","","","","","","","","","","","","","","","","","","-95.45 %","","","","","","","","","",""
"2020-04-26","","","","","","","",""," -3.57 %","","","","","","   .00 %","","   .00 %","","","","-50.00 %"," 62.50 %"," 33.33 %","","","","   .00 %","","   .00 %","","","","","","","   .00 %","","-##.## %","","","","","","","","","","","",""," ##.## %","","","","","","","","","",""
"2020-04-27","","","","","","","","","-51.85 %","","","","","","-50.00 %","","","","","   .00 %","-50.00 %","-65.93 %","-37.50 %","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","",""
"2020-04-28","","","","   .00 %","","   .00 %","",""," ##.## %","   .00 %","","","","","-##.## %","-66.67 %","","","","","   .00 %"," ##.## %","-90.00 %","","","","","","","","","","","",""," ##.## %","","","   .00 %","","","","","   .00 %","","","","","","","-69.23 %","","","","","","","","","",""
"2020-04-29","-85.71 %","","","","","","","","-16.67 %","","","","","","   .00 %"," ##.## %","","","","","   .00 %","-36.97 %"," ##.## %","",""," ##.## %"," ##.## %","","","","","","","","","-83.33 %","","","","","","","","","","","","","","","   .00 %","","","","","","","","","",""
"2020-04-30","","","","","","   .00 %","","","   .00 %","","","","","","","","","","","","","-90.38 %","-12.50 %","","","","","","","","","","","",""," ##.## %","","   .00 %","","","","","","-50.00 %","","","","","",""," ##.## %","","","","","","","","","",""
"2020-05-01","","","   .00 %","","","","","","-28.00 %","","","","","","   .00 %","   .00 %","","","   .00 %"," ##.## %","   .00 %"," ##.## %","-71.43 %","","","   .00 %","-66.67 %","","   .00 %","   .00 %","","","","","","-75.00 %",""," ##.## %","","","","","","","   .00 %","","","","","","-18.18 %","","","","","","","","","",""
"2020-05-02","","","","","","   .00 %","","",""," ##.## %","","","","",""," ##.## %","","","","","   .00 %","  3.45 %"," ##.## %","","   .00 %","   .00 %"," 33.33 %","","-26.67 %"," ##.## %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-03","","","","","","   .00 %","","","   .00 %","","","","","",""," ##.## %","","","","","   .00 %","-23.33 %","-20.00 %","","-##.## %","","","","-90.91 %","","","","   .00 %","","   .00 %","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","",""
"2020-05-04","","   .00 %","","","","   .00 %","",""," ##.## %"," -5.88 %","","","","","","","","","","",""," 86.96 %","-50.00 %","","","","   .00 %","","","-50.00 %","","","-##.## %","","","   .00 %","","","","","   .00 %","","","","","","","","",""," 11.11 %","","","","","","","","","",""
