"date","Madhya Pradesh/Agar Malwa","Madhya Pradesh/Alirajpur","Madhya Pradesh/Anuppur","Madhya Pradesh/Ashoknagar","Madhya Pradesh/Balaghat","Madhya Pradesh/Barwani","Madhya Pradesh/Betul","Madhya Pradesh/Bhind","Madhya Pradesh/Bhopal","Madhya Pradesh/Burhanpur","Madhya Pradesh/Chhatarpur","Madhya Pradesh/Chhindwara","Madhya Pradesh/Damoh","Madhya Pradesh/Datia","Madhya Pradesh/Dewas","Madhya Pradesh/Dhar","Madhya Pradesh/Dindori","Madhya Pradesh/Guna","Madhya Pradesh/Gwalior","Madhya Pradesh/Harda","Madhya Pradesh/Hoshangabad","Madhya Pradesh/Indore","Madhya Pradesh/Jabalpur","Madhya Pradesh/Jhabua","Madhya Pradesh/Katni","Madhya Pradesh/Khandwa","Madhya Pradesh/Khargone","Madhya Pradesh/Mandla","Madhya Pradesh/Mandsaur","Madhya Pradesh/Morena","Madhya Pradesh/Narsinghpur","Madhya Pradesh/Neemuch","Madhya Pradesh/Niwari","Madhya Pradesh/Other Region","Madhya Pradesh/Panna","Madhya Pradesh/Raisen","Madhya Pradesh/Rajgarh","Madhya Pradesh/Ratlam","Madhya Pradesh/Rewa","Madhya Pradesh/Sagar","Madhya Pradesh/Satna","Madhya Pradesh/Sehore","Madhya Pradesh/Seoni","Madhya Pradesh/Shahdol","Madhya Pradesh/Shajapur","Madhya Pradesh/Sheopur","Madhya Pradesh/Shivpuri","Madhya Pradesh/Sidhi","Madhya Pradesh/Singrauli","Madhya Pradesh/Tikamgarh","Madhya Pradesh/Ujjain","Madhya Pradesh/Umaria","Madhya Pradesh/Vidisha","Madhya Pradesh/bhind","Madhya Pradesh/bhopal","Madhya Pradesh/dewas","Madhya Pradesh/dhar","Madhya Pradesh/khargone","Madhya Pradesh/sheopur","Madhya Pradesh/ujjain","Madhya Pradesh/vidisha"
"2020-07-17","   .00 %"," 50.00 %","","-80.00 %","","-69.23 %","-28.57 %","-26.32 %"," 93.94 %","-33.33 %"," 25.00 %","   .00 %"," ##.## %",""," 11.76 %","-47.06 %","",""," 33.88 %"," ##.## %","-75.00 %"," -5.15 %","-54.00 %","","   .00 %","-31.58 %","-22.22 %","-66.67 %","-28.57 %",""," ##.## %","   .00 %","","","",""," ##.## %","-25.00 %","-66.67 %"," 44.44 %",""," 36.36 %","","","-50.00 %"," ##.## %"," 33.33 %",""," ##.## %","-68.75 %"," ##.## %","-66.67 %","-44.44 %","","","","","","","",""
"2020-07-18",""," ##.## %",""," ##.## %","   .00 %","-25.00 %"," ##.## %","-14.29 %","-14.84 %","","-40.00 %"," 66.67 %","","   .00 %","-31.58 %"," 88.89 %","","   .00 %","-68.52 %","-20.00 %"," ##.## %"," 12.40 %"," 56.52 %"," 20.00 %","   .00 %"," 38.46 %"," 78.57 %"," ##.## %","-70.00 %","   .00 %"," 12.50 %"," ##.## %","","","-50.00 %"," 42.86 %","-75.00 %"," 83.33 %"," 87.50 %","-15.38 %"," ##.## %","-53.33 %","","","-62.50 %","   .00 %","-56.25 %","   .00 %"," 33.33 %"," 60.00 %","-20.00 %","   .00 %","-40.00 %","","","","","","","",""
"2020-07-19"," ##.## %"," 66.67 %"," ##.## %","","-25.00 %","   .00 %","-63.64 %","-83.33 %"," 24.77 %","   .00 %","-66.67 %","",""," ##.## %"," 38.46 %","-35.29 %",""," ##.## %"," 17.65 %"," 62.50 %","-71.43 %","-11.03 %","-19.44 %","-33.33 %","-25.00 %","-11.11 %","-36.00 %","-50.00 %"," ##.## %"," ##.## %","-27.78 %","-66.67 %","",""," ##.## %","-70.00 %"," ##.## %"," -9.09 %","-60.00 %"," 81.82 %"," ##.## %"," 28.57 %","   .00 %","-90.91 %","-33.33 %","   .00 %"," ##.## %"," ##.## %","-25.00 %"," ##.## %","  8.33 %",""," ##.## %","","","","","","","",""
"2020-07-20","-83.33 %","-50.00 %","-58.33 %","-33.33 %","-33.33 %"," ##.## %","   .00 %"," ##.## %","  4.41 %"," ##.## %"," ##.## %","   .00 %","   .00 %","-84.38 %","   .00 %"," 63.64 %","   .00 %","-50.00 %"," 13.33 %","-38.46 %"," 66.67 %"," -6.98 %","-17.24 %"," ##.## %","-66.67 %","-37.50 %"," ##.## %",""," -5.56 %","-87.38 %","-38.46 %"," 75.00 %","   .00 %","","-83.33 %","-66.67 %","-62.50 %"," 90.00 %","","-20.00 %","-87.50 %","-44.44 %","","   .00 %"," 25.00 %","-77.78 %","-42.86 %","-50.00 %","-33.33 %","-75.00 %"," 46.15 %","","-57.69 %","","","","","","","",""
"2020-07-21"," ##.## %"," ##.## %","","-50.00 %"," ##.## %","-68.75 %"," ##.## %","-50.00 %","  4.93 %","-16.67 %","   .00 %",""," ##.## %","   .00 %","-22.22 %"," 11.11 %",""," 50.00 %","-27.94 %"," 25.00 %","-50.00 %","-41.67 %"," 45.83 %","-85.71 %"," ##.## %","-30.00 %","-72.22 %"," ##.## %"," -5.88 %"," ##.## %","-50.00 %"," 71.43 %","   .00 %",""," ##.## %"," ##.## %"," ##.## %","  5.26 %"," 66.67 %"," 12.50 %"," ##.## %","   .00 %"," ##.## %"," ##.## %","-80.00 %"," ##.## %"," 12.50 %"," ##.## %"," ##.## %"," 62.50 %","-42.11 %","","-18.18 %","","","","","","","",""
"2020-07-22","-25.00 %","-17.65 %","","",""," 50.00 %","-60.00 %","","  5.37 %","-80.00 %","  7.14 %","   .00 %","-10.00 %"," 40.00 %","   .00 %","-30.00 %","","","-12.24 %","","-60.00 %"," 62.86 %","-31.43 %"," ##.## %","","-28.57 %"," ##.## %","-75.00 %","-18.75 %","-88.71 %"," 75.00 %","-33.33 %"," ##.## %","","","-65.28 %","-37.50 %","-25.00 %","-30.00 %","-27.78 %"," ##.## %"," 40.00 %","   .00 %","   .00 %"," ##.## %"," ##.## %","-33.33 %","-80.00 %"," ##.## %"," 92.31 %"," ##.## %","   .00 %"," ##.## %","","","","","","","",""
"2020-07-23","-50.00 %","-92.86 %","   .00 %","   .00 %","   .00 %","-20.00 %","-75.00 %","   .00 %","-16.56 %",""," ##.## %"," ##.## %","-11.11 %","-28.57 %","-71.43 %","-35.71 %","","   .00 %"," 39.53 %","   .00 %","   .00 %","  3.51 %","-16.67 %","-42.86 %"," 85.71 %"," 20.00 %","-68.57 %","   .00 %","-46.15 %"," 28.57 %","   .00 %","   .00 %","","","   .00 %","-80.00 %"," ##.## %","   .00 %"," 14.29 %","-38.46 %","-25.00 %","-57.14 %","   .00 %","","-66.67 %","-55.56 %","-16.67 %"," ##.## %","","-84.00 %"," 18.52 %","","-94.29 %","","","","","","","",""
"2020-07-24","-66.67 %"," ##.## %","","","  9.09 %"," 66.67 %"," ##.## %"," ##.## %"," 35.11 %"," ##.## %"," -6.25 %",""," 62.50 %","-40.00 %"," 25.00 %","-55.56 %","","","  5.00 %","-25.00 %"," ##.## %","-16.10 %"," 40.00 %"," ##.## %","-84.62 %","-16.67 %"," 18.18 %",""," 28.57 %"," ##.## %"," 14.29 %"," ##.## %","","","-75.00 %","-80.00 %","-33.33 %",""," ##.## %"," 37.50 %"," ##.## %"," 33.33 %","-50.00 %","",""," 75.00 %","","-80.00 %","","-50.00 %","-25.00 %","   .00 %"," ##.## %","","","","","","","",""
"2020-07-25"," ##.## %"," 80.00 %","-86.67 %","   .00 %","-83.33 %"," 40.00 %","-87.50 %","","-25.42 %","   .00 %","-13.33 %"," 16.67 %","-69.23 %"," ##.## %","-20.00 %"," 50.00 %"," ##.## %","   .00 %","-53.97 %"," ##.## %","-81.25 %"," 54.55 %"," ##.## %","-83.33 %"," ##.## %"," 60.00 %"," 69.23 %",""," 22.22 %","-61.22 %","-37.50 %","-85.00 %","   .00 %","",""," ##.## %"," 50.00 %","   .00 %","-17.65 %","   .00 %","-58.33 %"," ##.## %"," ##.## %","   .00 %","   .00 %","-71.43 %","   .00 %"," ##.## %","-61.54 %"," ##.## %","-50.00 %","   .00 %","-12.00 %","","","","","","","",""
"2020-07-26","-66.67 %"," 22.22 %","","","","-10.71 %"," ##.## %"," 50.00 %"," 55.30 %"," ##.## %","-34.62 %","-57.14 %","   .00 %"," ##.## %","-25.00 %","-16.67 %","","   .00 %"," -3.45 %","-45.45 %"," ##.## %"," -2.61 %","-45.00 %","-33.33 %"," ##.## %"," 12.50 %"," 31.82 %","   .00 %"," 54.55 %"," 15.79 %"," 60.00 %"," ##.## %","","","   .00 %"," ##.## %","-50.00 %","-22.22 %"," -7.14 %","-27.27 %"," 20.00 %"," 20.83 %","   .00 %"," ##.## %"," ##.## %","   .00 %","   .00 %"," ##.## %","-20.00 %","-75.00 %"," 91.67 %","","-81.82 %","","","","","","","",""
"2020-07-27","   .00 %"," -9.09 %","","   .00 %","   .00 %","  8.00 %","-28.57 %","   .00 %"," -7.80 %"," 25.00 %","-88.24 %",""," ##.## %","-60.00 %","   .00 %"," 20.00 %","   .00 %"," ##.## %"," ##.## %","   .00 %","-41.67 %","-14.77 %","-15.15 %","-50.00 %","-83.87 %"," 33.33 %","-31.03 %","","   .00 %","-13.64 %","   .00 %"," 15.79 %"," 50.00 %","","-66.67 %","-58.62 %","   .00 %"," 28.57 %","-30.77 %"," 50.00 %","   .00 %","-27.59 %"," ##.## %","","-85.19 %","   .00 %","","-14.29 %"," 25.00 %"," ##.## %","-21.74 %",""," 50.00 %","","","","","","","",""
"2020-07-28","   .00 %","-70.00 %","","   .00 %","-42.86 %"," 22.22 %","-80.00 %","-33.33 %","-10.05 %","-40.00 %"," ##.## %","   .00 %","-93.55 %","","   .00 %","   .00 %","","","-13.56 %","-16.67 %","-28.57 %","-42.52 %","-17.86 %",""," 20.00 %","-16.67 %","","","-64.71 %","-36.84 %","","-27.27 %","","","   .00 %","-75.00 %"," 16.67 %","-11.11 %"," ##.## %","  8.33 %"," 16.67 %"," 19.05 %","-80.00 %","-30.00 %","-75.00 %","   .00 %","   .00 %","-66.67 %","-80.00 %","","-55.56 %","   .00 %"," 33.33 %","","","","","","","",""
"2020-07-29",""," ##.## %","   .00 %"," ##.## %","   .00 %"," ##.## %"," ##.## %"," ##.## %"," 17.06 %","-33.33 %","-81.25 %"," 46.15 %"," ##.## %",""," ##.## %"," 83.33 %","","   .00 %"," 54.90 %","-40.00 %"," ##.## %","  1.37 %"," 78.26 %","   .00 %"," ##.## %"," 30.00 %","   .00 %","   .00 %","-50.00 %"," ##.## %","   .00 %","-18.75 %","","",""," ##.## %"," ##.## %"," 37.50 %"," 59.09 %","-23.08 %"," ##.## %","-88.00 %","","-57.14 %"," ##.## %"," ##.## %","-14.29 %"," ##.## %","   .00 %","   .00 %"," 62.50 %",""," 25.00 %","","","","","","","",""
"2020-07-30"," 50.00 %","-14.29 %","",""," ##.## %","-27.72 %","-71.43 %","-61.54 %"," 17.09 %"," 50.00 %","-33.33 %"," -5.26 %","-76.92 %","   .00 %","-85.71 %"," 45.45 %","   .00 %"," ##.## %","-44.30 %"," ##.## %","-42.86 %"," 13.51 %"," 14.63 %"," 33.33 %","-89.47 %","   .00 %","-92.00 %","   .00 %"," 33.33 %","-50.00 %"," ##.## %","  7.69 %","-33.33 %","","   .00 %"," 18.18 %","-65.71 %"," 90.91 %","-28.57 %"," 60.00 %","-33.33 %"," ##.## %","   .00 %","-33.33 %","-33.33 %","-87.50 %","-66.67 %",""," ##.## %"," ##.## %"," -7.69 %","   .00 %","-70.00 %","","","","","","","",""
"2020-07-31","-33.33 %"," ##.## %","   .00 %"," ##.## %","","-28.77 %"," ##.## %","-20.00 %","-10.73 %"," ##.## %"," ##.## %","-72.22 %","-16.67 %","-87.50 %"," ##.## %","-50.00 %","","-50.00 %","-11.36 %",""," ##.## %"," 33.33 %","  2.13 %"," 75.00 %"," ##.## %","   .00 %"," ##.## %","   .00 %"," ##.## %","-50.00 %",""," ##.## %","   .00 %","",""," -7.69 %"," 33.33 %","-71.43 %"," 16.00 %","-56.25 %","-11.11 %","-70.37 %","   .00 %",""," ##.## %"," ##.## %"," ##.## %","","-66.67 %","-75.00 %","-33.33 %","-75.00 %"," ##.## %","","","","","","","",""
"2020-08-01"," ##.## %","-87.50 %","","-75.00 %","","-23.08 %"," 57.14 %","","-25.00 %","-66.67 %","-55.00 %","-20.00 %"," ##.## %"," ##.## %","-16.67 %","-87.50 %",""," ##.## %"," 33.33 %","   .00 %","-50.00 %","  7.14 %"," ##.## %","   .00 %"," ##.## %","   .00 %","-51.06 %","   .00 %","-30.00 %"," ##.## %","   .00 %"," -9.09 %","-25.00 %",""," 50.00 %","-75.00 %"," 18.75 %"," ##.## %","-72.41 %"," 57.14 %","-87.50 %"," ##.## %","","","-88.89 %",""," ##.## %","   .00 %","","   .00 %"," 62.50 %",""," 66.67 %","","","","","","","",""
"2020-08-02","-50.00 %","-33.33 %",""," ##.## %","   .00 %"," 40.00 %","  9.09 %","","  1.28 %"," ##.## %","-44.44 %"," ##.## %","-40.00 %"," ##.## %"," 20.00 %"," ##.## %"," ##.## %","-75.00 %"," ##.## %","-57.14 %"," ##.## %","-10.83 %","-48.00 %","-71.43 %","-72.73 %","   .00 %"," -4.35 %"," ##.## %"," ##.## %"," ##.## %","   .00 %","-30.00 %","-66.67 %",""," 33.33 %"," ##.## %"," 21.05 %"," 13.33 %"," ##.## %","-27.27 %","","-27.78 %"," ##.## %",""," ##.## %","   .00 %","-25.00 %","","",""," 61.54 %","","-30.00 %","","","","","","","",""
"2020-08-03",""," ##.## %","   .00 %"," ##.## %"," ##.## %","-85.71 %"," 33.33 %","   .00 %","  5.06 %",""," ##.## %"," 12.50 %"," ##.## %","-91.67 %","-16.67 %"," ##.## %","","   .00 %","-41.09 %"," ##.## %","-77.27 %","-14.95 %"," -1.54 %","   .00 %"," ##.## %","-15.38 %"," -4.55 %","","-14.29 %","-57.89 %","-71.43 %","-14.29 %","   .00 %","","-50.00 %","-57.14 %"," 17.39 %","-35.29 %","-44.44 %"," 75.00 %","   .00 %","-53.85 %","-25.00 %","   .00 %","-66.67 %","   .00 %","-58.33 %","   .00 %","","   .00 %","-52.38 %","","-50.00 %","","","","","","","",""
"2020-08-04","","","","-87.50 %"," ##.## %"," ##.## %","-68.75 %"," ##.## %","  3.61 %","   .00 %","-80.00 %","-22.22 %","-68.42 %"," ##.## %","-40.00 %","-85.71 %","-80.00 %"," ##.## %","  9.21 %","-87.50 %"," ##.## %"," -2.20 %"," -6.25 %","","-37.50 %","-18.18 %","-42.86 %","   .00 %","-50.00 %"," ##.## %"," ##.## %","-66.67 %","   .00 %",""," ##.## %","-77.78 %","-77.78 %"," ##.## %","   .00 %","-14.29 %","   .00 %"," 50.00 %","-33.33 %"," ##.## %","","   .00 %"," ##.## %"," 71.43 %","   .00 %","-33.33 %"," 20.00 %",""," ##.## %","","","","","","","",""
"2020-08-05","   .00 %","   .00 %","   .00 %","","-44.44 %","","-40.00 %","-81.25 %","-12.79 %","   .00 %"," ##.## %","-28.57 %"," ##.## %","-50.00 %",""," 60.00 %"," 50.00 %","-75.00 %","-16.87 %"," ##.## %","-84.62 %"," 37.08 %"," -3.33 %","   .00 %","","-66.67 %","-16.67 %"," 50.00 %"," ##.## %","-90.70 %","   .00 %"," 83.33 %","   .00 %","",""," ##.## %"," ##.## %","-59.09 %"," 10.00 %"," 25.00 %"," 66.67 %","-44.44 %","-50.00 %","","   .00 %","","-42.86 %","-83.33 %",""," ##.## %","-33.33 %","   .00 %","-85.71 %","","","","","","","",""
"2020-08-06","   .00 %"," 66.67 %",""," ##.## %","","   .00 %"," 33.33 %"," ##.## %","  3.33 %","-50.00 %"," 40.00 %",""," 22.22 %"," ##.## %","   .00 %"," ##.## %","-33.33 %",""," 28.99 %","-66.67 %"," ##.## %"," 28.69 %"," 32.76 %"," -5.26 %","   .00 %"," ##.## %"," ##.## %","-33.33 %","-30.77 %","   .00 %","-58.33 %","-90.91 %"," ##.## %","","-16.67 %"," 37.50 %","","   .00 %"," 27.27 %","-40.00 %","   .00 %"," 40.00 %","","   .00 %"," 25.00 %","   .00 %","-50.00 %"," ##.## %","   .00 %","-57.14 %"," 62.50 %",""," ##.## %","","","","","","","",""
"2020-08-07","","",""," 75.00 %","   .00 %"," -7.41 %"," ##.## %","","-15.48 %"," ##.## %","-14.29 %","   .00 %","-95.45 %","-66.67 %"," ##.## %","-52.63 %","","   .00 %","-70.79 %","   .00 %","-89.47 %"," -7.64 %","-18.18 %","-38.89 %","-76.92 %","-75.00 %"," 57.14 %","   .00 %","-33.33 %"," ##.## %","-20.00 %"," ##.## %","-66.67 %",""," ##.## %"," -9.09 %","   .00 %","-33.33 %"," 28.57 %"," 66.67 %","   .00 %"," 42.86 %","   .00 %"," ##.## %","-80.00 %"," ##.## %"," ##.## %"," 83.33 %"," 42.86 %"," 33.33 %"," 38.46 %","","-33.33 %","","","","","","","",""
"2020-08-08","   .00 %","   .00 %","   .00 %","","-28.57 %","-12.00 %","-12.50 %","-82.35 %","  5.34 %","-66.67 %","   .00 %"," 20.00 %"," ##.## %"," ##.## %"," 14.29 %","-33.33 %","-50.00 %","-50.00 %"," 34.62 %"," ##.## %"," 50.00 %"," 26.90 %"," -3.17 %","   .00 %"," ##.## %"," ##.## %",""," 50.00 %"," 50.00 %"," 33.33 %"," ##.## %"," -5.88 %"," ##.## %","","-54.55 %"," 50.00 %"," ##.## %"," ##.## %","-61.11 %","-13.33 %"," 40.00 %"," 50.00 %"," ##.## %","-83.33 %","   .00 %","   .00 %","-58.33 %",""," 60.00 %"," 25.00 %","-22.22 %","   .00 %"," ##.## %","","","","","","","",""
"2020-08-09","   .00 %","   .00 %","-75.00 %","   .00 %","-40.00 %","  9.09 %","-42.86 %","-66.67 %","  2.90 %"," ##.## %"," 16.67 %"," 33.33 %"," ##.## %"," ##.## %","   .00 %"," 50.00 %","   .00 %"," ##.## %"," ##.## %","-25.00 %","   .00 %"," -5.98 %","-19.67 %"," -9.09 %","-90.32 %","-37.50 %","   .00 %","   .00 %"," 44.44 %","-40.62 %","","-12.50 %","","","-80.00 %","-60.00 %","-56.25 %","-45.83 %","-57.14 %","  7.69 %","   .00 %"," 33.33 %","-66.67 %"," ##.## %","   .00 %"," ##.## %","-20.00 %"," -9.09 %","-87.50 %"," 20.00 %"," 92.86 %",""," 33.33 %","","","","","","","",""
"2020-08-10"," ##.## %","-40.00 %","","","-33.33 %","-91.67 %"," 50.00 %"," ##.## %","-37.32 %","-75.00 %","-42.86 %"," 50.00 %","-28.12 %","-51.43 %","-12.50 %","-44.44 %","   .00 %","   .00 %"," 18.42 %","","-33.33 %"," 20.23 %"," 44.90 %","-80.00 %"," ##.## %"," 80.00 %","-21.05 %"," ##.## %","-15.38 %"," ##.## %","   .00 %","-57.14 %","-87.50 %",""," ##.## %","-66.67 %"," 14.29 %"," 15.38 %"," 66.67 %","-28.57 %","  7.14 %","-55.00 %",""," 77.78 %"," ##.## %"," -6.67 %"," ##.## %","","   .00 %","-66.67 %","-29.63 %","   .00 %","-56.25 %","","","","","","","",""
"2020-08-11","   .00 %","-66.67 %","   .00 %","-44.44 %"," ##.## %"," ##.## %","-33.33 %","-85.71 %"," 12.36 %"," ##.## %","   .00 %","-50.00 %"," 17.39 %"," 17.65 %"," ##.## %"," 20.00 %","   .00 %"," 50.00 %"," -1.11 %","   .00 %"," 50.00 %","-15.38 %","-23.94 %"," ##.## %","-29.17 %","-11.11 %"," 33.33 %","-95.00 %","  9.09 %","-81.58 %","-71.43 %","-83.33 %","","","-76.19 %"," ##.## %",""," 20.00 %"," ##.## %"," 90.00 %","-26.67 %"," 33.33 %","   .00 %"," 50.00 %"," ##.## %","-57.14 %"," 58.33 %","","-50.00 %","-50.00 %","-36.84 %",""," ##.## %","","","","","","","",""
"2020-08-12"," ##.## %"," ##.## %","   .00 %","-80.00 %","-57.14 %","-50.00 %"," ##.## %"," ##.## %"," -9.00 %","-75.00 %",""," ##.## %","-66.67 %"," 20.00 %","-75.00 %"," 16.67 %"," ##.## %","-33.33 %","-59.55 %","   .00 %"," ##.## %"," -3.98 %","-25.93 %","-85.00 %"," -5.88 %"," 37.50 %"," 40.00 %"," ##.## %","-33.33 %"," 42.86 %"," ##.## %"," ##.## %","",""," ##.## %"," 70.00 %","   .00 %"," 16.67 %"," 75.00 %","-63.16 %","-18.18 %","-66.67 %"," ##.## %","-25.00 %"," 12.50 %"," ##.## %","-52.63 %"," ##.## %"," ##.## %",""," ##.## %","","-32.14 %","","","","","","","",""
"2020-08-13"," 25.00 %","-82.35 %"," 20.00 %"," ##.## %"," ##.## %"," ##.## %","-31.25 %","-16.67 %"," 20.88 %"," ##.## %","   .00 %"," -8.33 %"," 55.56 %","-58.33 %"," ##.## %"," 14.29 %","-43.75 %"," 75.00 %"," ##.## %","","-35.29 %"," 11.24 %"," ##.## %"," ##.## %","-31.25 %","-45.45 %","-28.57 %","-71.43 %"," ##.## %"," ##.## %"," 66.67 %","-35.29 %","   .00 %","","-50.00 %"," -5.88 %"," ##.## %","-33.33 %","-67.86 %"," 85.71 %"," 22.22 %"," ##.## %"," 36.36 %"," -5.56 %","-44.44 %","-40.00 %"," ##.## %"," 32.26 %","-28.57 %","   .00 %","-54.17 %","-66.67 %"," 57.89 %","","","","","","","",""
"2020-08-14","-50.00 %","   .00 %","-33.33 %","-40.00 %","-33.33 %"," -6.25 %","-72.73 %","-20.00 %","-38.18 %",""," 66.67 %","-27.27 %","-50.00 %","-50.00 %","-80.00 %"," 75.00 %","-55.56 %"," 28.57 %","-28.95 %","   .00 %"," 90.91 %","-16.49 %"," 10.84 %","-50.00 %"," 36.36 %"," 50.00 %"," 55.00 %"," 50.00 %","-36.36 %","   .00 %","-70.00 %","-18.18 %"," ##.## %",""," 60.00 %","-62.50 %","-80.56 %"," ##.## %"," ##.## %","-30.77 %","-72.73 %","-54.55 %","-60.00 %","-52.94 %","-80.00 %","-75.00 %","",""," ##.## %","-50.00 %"," 27.27 %","   .00 %"," 10.00 %","","","","","","","",""
"2020-08-15","-60.00 %"," ##.## %"," ##.## %","-33.33 %","-75.00 %","-60.00 %"," ##.## %","   .00 %"," 58.82 %","   .00 %"," 50.00 %"," 50.00 %"," 28.57 %"," 40.00 %"," ##.## %","   .00 %"," ##.## %"," 77.78 %"," 74.07 %"," ##.## %","-61.90 %"," 12.10 %"," 22.83 %"," ##.## %","-73.33 %","-11.11 %"," -6.45 %"," 66.67 %","-14.29 %","-60.87 %","-33.33 %","-22.22 %","","","-50.00 %","-33.33 %"," ##.## %","-14.29 %","-63.16 %"," 55.56 %",""," 80.00 %"," 16.67 %"," 12.50 %"," ##.## %"," ##.## %","   .00 %","","-75.86 %","   .00 %"," 28.57 %"," ##.## %","-12.12 %","","","","","","","",""
"2020-08-16"," ##.## %","-91.89 %","-80.00 %","   .00 %"," ##.## %","","-16.67 %","-75.00 %"," 13.89 %","   .00 %","-60.00 %","  8.33 %","   .00 %","-71.43 %","-44.44 %","  7.14 %","-91.67 %","","-30.85 %","-65.38 %"," ##.## %"," 21.59 %"," 11.50 %"," 25.00 %"," ##.## %","   .00 %"," 17.24 %","-80.00 %","-16.67 %"," 11.11 %",""," ##.## %","",""," ##.## %"," ##.## %","-35.71 %","-16.67 %"," 57.14 %"," 28.57 %","   .00 %"," 61.11 %","-28.57 %"," 33.33 %"," 23.08 %","-86.67 %"," 37.50 %","   .00 %"," ##.## %"," 50.00 %","-11.11 %","-77.78 %","-51.72 %","","","","","","","",""
"2020-08-17",""," ##.## %"," ##.## %"," ##.## %","-16.67 %","   .00 %","   .00 %","","-25.20 %"," ##.## %"," 16.67 %","   .00 %"," 22.22 %"," ##.## %"," ##.## %","   .00 %","","   .00 %","-69.23 %"," 44.44 %","-28.57 %"," 14.49 %","-26.19 %","-56.00 %"," 87.50 %","   .00 %","  5.88 %"," ##.## %","   .00 %","-40.00 %","   .00 %","-59.09 %","   .00 %","","","-50.00 %","-50.00 %","-15.00 %"," -9.09 %","-27.78 %"," 50.00 %","-51.72 %","-20.00 %","-25.00 %","-93.75 %"," ##.## %","-68.18 %","-66.67 %","-32.00 %","-66.67 %"," 18.75 %"," ##.## %"," 14.29 %","","","","","","","",""
"2020-08-18","   .00 %"," ##.## %"," ##.## %","-40.00 %","-60.00 %"," ##.## %","-13.33 %","   .00 %"," 19.57 %","-62.50 %"," ##.## %","-23.08 %"," ##.## %","-68.97 %","   .00 %"," 60.00 %","","-85.00 %"," ##.## %","-76.92 %","-46.67 %","-42.04 %"," -5.38 %"," ##.## %","-53.33 %","   .00 %"," -5.56 %"," 33.33 %","-20.00 %","-50.00 %"," ##.## %"," ##.## %","   .00 %","","   .00 %"," ##.## %"," ##.## %","  5.88 %","-60.00 %"," 53.85 %","  5.56 %"," 14.29 %"," ##.## %","-22.22 %","   .00 %"," 12.50 %"," ##.## %"," ##.## %","-76.47 %"," ##.## %"," 10.53 %","-25.00 %","-31.25 %","","","","","","","",""
"2020-08-19"," 20.00 %","-63.33 %","-50.00 %","-66.67 %"," 25.00 %","-23.53 %"," 23.08 %","   .00 %","  3.64 %"," 66.67 %","-73.33 %","-30.00 %","-40.00 %"," 88.89 %","-30.00 %","-45.83 %","   .00 %"," ##.## %"," 16.87 %"," ##.## %"," 25.00 %"," 26.06 %","  3.41 %","-45.45 %"," 14.29 %"," 75.00 %","-29.41 %"," ##.## %","-12.50 %"," ##.## %","-88.89 %","-45.83 %"," ##.## %","","   .00 %","-72.73 %","-82.05 %","-27.78 %"," ##.## %"," 25.00 %","-47.37 %","-12.50 %"," 15.38 %"," ##.## %"," ##.## %"," 11.11 %","-10.53 %"," 10.00 %","","-50.00 %","  9.52 %","   .00 %"," 54.55 %","","","","","","","",""
"2020-08-20"," 50.00 %","-54.55 %"," 14.29 %","   .00 %","-20.00 %","-15.38 %","-25.00 %","   .00 %"," 42.11 %","-20.00 %"," ##.## %"," 28.57 %"," 13.33 %","-11.76 %"," ##.## %"," 46.15 %"," 50.00 %"," ##.## %"," 34.02 %","   .00 %","   .00 %","  5.59 %"," -6.59 %"," ##.## %"," 25.00 %","-50.00 %","-12.50 %","-37.50 %"," ##.## %"," 15.38 %","   .00 %"," ##.## %","","","-83.33 %"," ##.## %"," ##.## %","-92.31 %","-53.33 %","-72.00 %","-10.00 %","-35.71 %","   .00 %","-10.00 %"," 25.00 %","-20.00 %"," 64.71 %","-27.27 %","   .00 %"," 50.00 %","  8.70 %","-66.67 %"," 29.41 %","","","","","","","",""
"2020-08-21","-77.78 %"," ##.## %"," ##.## %"," ##.## %"," ##.## %","-81.82 %"," ##.## %"," ##.## %","-13.58 %","-50.00 %"," 84.62 %","-44.44 %","-11.76 %"," 13.33 %","-50.00 %"," -5.26 %","   .00 %","-35.00 %"," -6.92 %","-38.46 %"," 30.00 %"," 20.11 %"," 37.65 %","-81.08 %","-80.00 %"," 28.57 %","-28.57 %","   .00 %","-38.10 %","-33.33 %"," ##.## %","-88.24 %","   .00 %",""," ##.## %","-40.00 %"," -9.38 %"," ##.## %"," ##.## %","-14.29 %","-77.78 %"," 55.56 %","-60.00 %"," 11.11 %","-60.00 %"," 25.00 %","-64.29 %","","-66.67 %"," 66.67 %","-12.00 %","","  9.09 %","","","","","","","",""
