"date","Meghalaya/East Garo Hills","Meghalaya/East Jaintia Hills","Meghalaya/East Khasi Hills","Meghalaya/North Garo Hills","Meghalaya/RiBhoi","Meghalaya/Ribhoi","Meghalaya/South Garo Hills","Meghalaya/South West Garo Hills","Meghalaya/South West Khasi Hills","Meghalaya/West Garo Hills","Meghalaya/West Jaintia Hills","Meghalaya/West Khasi Hills"
"2020-07-27","","17","576","2","","88","3","8","","25","","3"
"2020-07-28","","","612","","","","3","","","26","18","4"
"2020-07-29","1","","614","2","","89","","","","28","",""
"2020-07-30","","","629","","","","4","","","30","19",""
"2020-07-31","","","648","","","89","5","","","","",""
"2020-08-01","","18","674","","","92","","","","31","20","5"
"2020-08-02","","19","687","","","96","","","","","",""
"2020-08-03","","","708","","","101","","","","","22",""
"2020-08-04","","","717","","","102","","8","","29","","12"
"2020-08-05","","","736","","","102","","10","","30","",""
"2020-08-06","","","753","","","121","","","","44","23",""
"2020-08-07","","20","764","","","123","","","","45","23","13"
"2020-08-08","","","776","4","","123","","","","48","23",""
"2020-08-09","","20","795","","","143","","","","","",""
"2020-08-10","","","807","","","145","","","","87","",""
"2020-08-11","","","815","6","","153","","","1","94","24","13"
"2020-08-12","","21","838","7","","154","6","","","104","","13"
"2020-08-13","","","851","8","","154","","","","","",""
"2020-08-14","","21","865","","","","","11","","124","",""
"2020-08-15","","","884","10","","163","6","","","158","24",""
"2020-08-16","","","904","","","177","","","","206","24",""
"2020-08-17","","22","944","","","","","","","209","24",""
"2020-08-18","","23","971","","","180","","12","","216","",""
"2020-08-19","","25","1020","12","","180","","","","241","",""
"2020-08-20","2","","1126","","","186","","","","253","25",""
"2020-08-21","4","","1159","","","187","","","","256","26","30"
"2020-08-22","","29","1225","14","","189","","","","265","26","40"
"2020-08-23","","32","1289","15","","192","16","","","274","","56"
"2020-08-24","","32","1344","","","196","","","","","26","56"
"2020-08-25","","","1375","16","","199","","","1","280","27",""
"2020-08-26","13","","1407","","","183","","12","","287","",""
"2020-08-27","40","","1437","17","","183","17","14","","306","27",""
"2020-08-28","72","35","1483","20","","185","","","","329","","57"
"2020-08-29","","","1509","20","","185","19","","","344","",""
"2020-08-30","81","39","1540","","","191","20","14","","353","",""
"2020-08-31","","43","1554","19","","192","","15","","358","","58"
"2020-09-01","85","","1608","","","197","22","","","365","",""
"2020-09-02","87","52","1649","","","213","25","","","371","",""
"2020-09-03","","","1727","19","","226","27","","","386","28","58"
"2020-09-04","","56","1770","21","","253","28","","2","410","34","58"
"2020-09-05","102","","1891","23","","284","","","","422","","59"
"2020-09-06","","59","1926","27","","285","32","16","","462","35",""
"2020-09-07","103","61","1931","28","","288","33","","","474","38","60"
"2020-09-08","103","","1956","","","289","","19","","487","38",""
"2020-09-09","103","120","1986","28","","291","37","19","","512","","61"
"2020-09-10","","147","2026","","","302","","20","","530","39","62"
"2020-09-11","103","174","2124","31","","302","","23","","547","40","64"
"2020-09-12","104","181","2248","","","316","","","6","564","","65"
"2020-09-13","","183","2333","","","325","","","","577","",""
"2020-09-14","","185","2457","","","337","","","","578","",""
"2020-09-15","","246","2534","32","","360","38","24","","587","41",""
"2020-09-16","105","280","2639","32","","368","38","","8","593","","67"
"2020-09-17","107","308","2745","32","","377","","27","8","605","41","68"
"2020-09-19","","309","2832","","","381","38","28","","623","42",""
"2020-09-20","","","2910","","","395","","31","","630","","69"
"2020-09-21","","309","2969","33","","395","","31","","642","43",""
"2020-09-22","109","314","3043","32","","367","37","36","7","651","42","64"
"2020-09-23","","317","3160","37","","404","37","36","","656","45",""
"2020-09-24","110","","3260","44","","409","","37","8","661","45","66"
"2020-09-25","","318","3305","53","","411","37","39","","681","46",""
"2020-09-26","116","319","3336","57","","412","37","39","8","686","47","66"
"2020-09-27","116","319","3405","58","","412","38","41","","702","","67"
"2020-09-28","","319","3451","54","","415","39","44","","713","","67"
"2020-09-29","117","320","3505","","","417","","46","","750","51",""
"2020-09-30","118","","3618","55","","435","","57","9","780","","68"
"2020-10-01","","323","3703","","","491","40","","10","793","55",""
"2020-10-02","119","336","3886","","","498","46","66","","802","","71"
"2020-10-03","121","347","4225","61","","528","","66","20","821","61",""
"2020-10-04","","347","4351","62","","572","47","72","22","833","69",""
"2020-10-05","","357","4386","","","626","","73","23","839","71","71"
"2020-10-06","123","363","4581","65","","645","","80","24","865","81","72"
"2020-10-07","127","365","4653","66","","678","50","","","876","83",""
"2020-10-08","128","366","4732","69","","657","64","","30","883","86","73"
"2020-10-09","128","368","4825","73","","667","69","80","","896","",""
"2020-10-10","129","368","4908","74","","698","72","82","38","904","104","74"
"2020-10-11","138","368","4983","","","723","73","86","43","921","105","76"
"2020-10-12","137","370","5033","74","","723","","86","43","932","131",""
"2020-10-13","137","371","5078","76","","728","75","87","","942","132",""
"2020-10-14","143","372","5182","78","","739","76","88","44","967","132","77"
"2020-10-15","148","376","5306","79","","744","80","","44","993","136",""
"2020-10-16","155","383","5377","80","","765","82","88","44","1005","142","89"
"2020-10-17","","383","5433","","","767","","89","45","1016","142","119"
"2020-10-18","173","384","5494","81","","775","82","91","45","1029","142",""
"2020-10-19","","385","5505","","","780","","91","","1034","148",""
"2020-10-20","176","387","5531","82","","781","85","","46","1051","151",""
"2020-10-21","178","388","5543","82","","781","87","91","46","1057","156","119"
"2020-10-23","179","389","5594","","","781","88","91","46","1078","162","119"
"2020-10-24","182","388","5636","82","","783","","92","45","1091","175","128"
"2020-10-25","182","395","5675","85","","859","89","93","","1099","175","129"
"2020-10-26","","","5698","88","","860","","94","46","1104","189",""
"2020-10-27","182","400","5739","88","","860","94","","","1118","194","129"
"2020-10-28","186","","5794","89","","864","94","95","","1137","200",""
"2020-10-29","195","402","5834","89","","870","95","96","47","1152","202",""
"2020-10-30","196","402","5858","90","","893","95","96","","1179","204","128"
"2020-10-31","201","402","5897","94","","909","96","96","48","1179","208",""
"2020-11-01","203","406","5938","94","","990","","98","","1200","212",""
"2020-11-02","204","406","5967","95","","992","96","","","1202","248",""
"2020-11-03","207","414","5986","96","","1003","98","99","","1208","256","132"
"2020-11-04","214","427","6011","","","1005","","101","","1214","260","133"
"2020-11-05","231","441","6033","97","","1010","","107","48","1223","278",""
"2020-11-06","256","447","6054","","","1023","100","111","","1233","283",""
"2020-11-07","256","449","6078","97","","1032","105","113","","1241","301",""
"2020-11-08","263","","6147","","","1093","110","113","48","1252","303",""
"2020-11-09","268","449","6162","97","","1095","","114","","1256","304",""
"2020-11-10","270","458","6188","98","","1106","114","117","49","1266","303","133"
"2020-11-11","276","469","6210","100","","1112","120","119","","1272","313","134"
"2020-11-12","287","472","6250","100","","1166","123","120","48","1279","317","156"
"2020-11-13","293","474","6281","100","","1185","126","122","","1285","318","156"
"2020-11-14","294","476","6305","","","1196","129","123","","1292","320",""
"2020-11-15","294","476","6331","101","","1196","","125","","1296","320","158"
"2020-11-16","294","476","6348","102","","1202","","128","","1310","320",""
"2020-11-17","296","476","6394","","","1204","131","142","","1328","321","158"
"2020-11-18","298","483","6445","104","","1204","","143","49","1339","322",""
"2020-11-19","301","485","6496","105","","1208","135","145","49","1380","322","159"
"2020-11-20","303","489","6593","105","","1209","143","146","49","1440","",""
"2020-11-21","304","491","6646","105","","1210","151","150","","1487","322","160"
"2020-11-22","305","492","6690","106","","1213","156","154","","1497","323",""
"2020-11-23","","","6712","","","1222","176","155","","1503","",""
"2020-11-24","307","492","6744","107","","1223","180","160","","1512","326",""
"2020-11-25","307","493","6771","","","1227","","161","","1529","334","161"
"2020-11-26","307","","6822","107","","1231","","163","","1539","335",""
"2020-11-27","309","493","6856","107","","1232","180","168","","1549","",""
"2020-11-28","309","493","6909","109","","1235","","168","","1558","338","162"
"2020-11-29","309","493","6937","","","1237","181","168","","1562","339",""
"2020-11-30","309","497","6990","","","1241","182","167","","1567","","166"
"2020-12-01","325","497","7026","","","1241","182","171","51","1573","340",""
"2020-12-26","325","","7027","","","","182","172","","1573","340",""
"2020-12-27","","","7032","109","","1241","","172","","1573","",""
"2020-12-28","326","","7034","","","","","172","","","",""
"2020-12-29","","","7040","110","","1241","","","","1574","340",""
"2020-12-30","","","7056","110","","1241","182","173","","1577","341",""
"2021-01-02","","","7093","","","1242","182","","","1579","","166"
"2021-01-03","","","7103","","1","","","173","","1579","342",""
"2021-01-04","","499","7121","","","","","","","","344",""
"2021-01-05","","","7163","","","1242","183","","","1579","345",""
"2021-01-06","","","7175","","","1243","","173","","1579","351",""
"2021-01-07","326","","7183","111","","1243","","","","","352","167"
"2021-01-08","","502","7204","112","","","184","","","1579","",""
"2021-01-09","","500","7224","113","","","183","","","1579","366",""
"2021-01-10","","","7240","","","","","","","1580","368",""
"2021-01-11","","501","7257","","","","","","","1580","369","168"
"2021-01-12","","502","7274","","","1245","","","","1580","",""
"2021-01-13","","","7287","","","","","","","","374",""
"2021-01-14","","515","7291","","","","","","","1581","374",""
"2021-01-15","","","7294","","","","","","","","375",""
"2021-01-16","","","7296","113","","","","","","","",""
"2021-01-17","","516","7307","","","1245","183","","","1581","375",""
"2021-01-18","","516","7308","","","1246","","","","","",""
"2021-01-19","","516","7311","","","","","","","","375",""
"2021-01-20","","","7317","","","","","","","1582","",""
"2021-01-21","","518","7319","","","","","","","","375",""
"2021-01-22","","","7321","","","1246","","","","","","168"
"2021-01-23","","518","7324","","","","","174","","","375",""
"2021-01-24","","518","7327","","","1248","","","","1582","",""
"2021-01-25","","518","7329","113","","","","","","","375",""
"2021-01-26","","518","7333","113","","1249","","","","","","169"
"2021-01-27","","","7334","113","","","","","","","",""
"2021-01-28","","","7342","","","","","","","","","169"
"2021-01-29","","","7344","","","1250","","","","","376",""
"2021-01-30","","518","7352","","","","","","","1582","",""
"2021-01-31","","","7352","","","1251","","","","","377","170"
"2021-02-01","","","7352","","","","","","","","",""
"2021-02-02","","519","7354","","","1250","","","","","","172"
"2021-02-03","","","7360","","","1250","","174","","","",""
"2021-02-04","","","7379","","","","","175","","","",""
"2021-02-05","","521","7383","","","1268","","174","","1583","380",""
"2021-02-06","","","7407","","","","","","","","",""
"2021-02-07","","","7433","","","1271","","","","","391",""
"2021-02-08","","","7434","","","","","","","","",""
"2021-02-09","","","7434","","","1272","","","","","397","172"
"2021-02-10","","522","7455","","","","","","","","406",""
"2021-02-11","","","7462","","","1272","","","","","406","172"
"2021-02-12","","","7463","","","","","","","","",""
"2021-02-13","","","7468","","","","","","","","",""
"2021-02-14","","","7472","","","1272","","","","","407",""
"2021-02-15","","522","7472","","","1272","","","","","",""
"2021-02-16","","523","7473","","","1272","","","","1583","407","172"
"2021-02-17","","","7473","","","","","","","","","173"
"2021-02-18","","","7474","","","1272","","","","","407",""
"2021-02-19","","","7479","","","","","","","","",""
"2021-02-20","","523","7480","","","","","","","","407","173"
"2021-02-21","","","7480","","","","","","","","",""
"2021-02-22","","","7482","","","","","","","","",""
"2021-02-23","","","7482","","","","","175","","","407",""
"2021-02-24","","524","7484","","","","","","","","",""
"2021-02-25","","","7486","","","","","","","1584","",""
"2021-02-26","","524","","","","","","","","","",""
"2021-02-27","","525","7485","","","","","","","","","173"
"2021-02-28","","","7486","","","","","","","","",""
"2021-03-01","","","7487","","","","","","","","",""
"2021-03-02","","","7490","","","","","","","","",""
"2021-03-03","","","7490","","","","","","","","",""
"2021-03-04","","","7490","","","","","","","","",""
"2021-03-05","","","7492","","","","","","","","",""
"2021-03-07","","525","7494","","","1273","","175","","1585","",""
"2021-03-08","","","7495","","","","","","","1585","",""
"2021-03-09","","","7497","","","1274","","","","1586","",""
"2021-03-10","","","7503","","","","","","","","",""
"2021-03-11","","","7505","","","","","","","","",""
"2021-03-12","","","7505","","","","","","","1587","",""
"2021-03-13","","","7507","","","1278","","","","","",""
