"date","Maryland/Allegany","Maryland/Anne Arundel","Maryland/Baltimore","Maryland/Baltimore City","Maryland/Calvert","Maryland/Caroline","Maryland/Carroll","Maryland/Cecil","Maryland/Charles","Maryland/Dorchester","Maryland/Frederick","Maryland/Garrett","Maryland/Harford","Maryland/Howard","Maryland/Kent","Maryland/Montgomery","Maryland/Prince George's","Maryland/Queen Anne's","Maryland/Somerset","Maryland/St. Mary's","Maryland/Talbot","Maryland/Unassigned","Maryland/Washington","Maryland/Wicomico","Maryland/Worcester"
"2020-04-04"," 50.00 %"," 16.06 %"," 14.99 %","  9.58 %"," 10.00 %","   .00 %","  3.88 %"," 32.00 %","  5.56 %","   .00 %"," 35.19 %","   .00 %","  7.32 %","  8.43 %","   .00 %"," 13.07 %"," 15.99 %","  8.33 %","   .00 %"," 13.33 %"," 20.00 %","   .00 %","  7.41 %"," 14.29 %"," 40.00 %"
"2020-04-05"," ##.## %"," 10.38 %"," 20.16 %"," 14.87 %"," 18.18 %","   .00 %","  5.97 %","  9.09 %"," 16.84 %","   .00 %"," 64.38 %","   .00 %"," 18.18 %"," 10.56 %","   .00 %","  8.28 %"," 20.21 %","   .00 %","   .00 %"," 17.65 %"," 16.67 %","   .00 %"," 17.24 %"," 37.50 %"," 28.57 %"
"2020-04-06","   .00 %","  7.52 %","  9.83 %"," 10.41 %","  2.56 %"," 50.00 %","  5.63 %","  2.78 %"," 16.22 %","   .00 %"," 15.00 %","   .00 %","  5.77 %","  7.54 %","   .00 %"," 14.43 %"," 16.69 %"," 15.38 %","   .00 %","  2.50 %"," 14.29 %","   .00 %","  8.82 %","   .00 %"," 11.11 %"
"2020-04-07"," 16.67 %","  7.87 %","   .62 %","  5.52 %","  2.50 %"," 83.33 %","  6.00 %"," 10.81 %","  5.43 %"," ##.## %","  9.42 %","   .00 %","  7.27 %"," 10.28 %"," 60.00 %","  9.84 %"," 11.35 %","   .00 %","   .00 %"," 12.20 %","   .00 %","   .00 %"," 18.92 %"," 54.55 %","   .00 %"
"2020-04-08","-14.29 %"," 25.95 %"," 32.82 %"," 24.40 %"," 36.59 %","   .00 %"," 16.98 %"," 19.51 %"," 20.59 %"," 33.33 %"," 31.79 %"," 66.67 %"," 45.76 %"," 16.10 %"," 12.50 %"," 24.91 %"," 28.43 %","  6.67 %","   .00 %"," 34.78 %"," 25.00 %","   .00 %"," 29.55 %"," 17.65 %","   .00 %"
"2020-04-09"," 33.33 %","  8.37 %"," 13.05 %"," 11.73 %"," 17.86 %","  9.09 %","  9.14 %"," 10.20 %","  9.76 %"," 75.00 %"," 17.09 %","   .00 %"," 17.44 %","  9.12 %","   .00 %"," 11.58 %"," 12.67 %","  6.25 %","   .00 %","  4.84 %"," 30.00 %","   .00 %","  5.26 %","  5.00 %"," 60.00 %"
"2020-04-10"," 25.00 %","  9.70 %","  9.50 %","  7.99 %"," 15.15 %","   .00 %","  5.42 %"," 18.52 %"," 22.22 %","   .00 %"," 24.03 %","-20.00 %","  8.91 %","  6.69 %","   .00 %"," 14.33 %"," 16.26 %","   .00 %","   .00 %","  9.23 %","   .00 %","   .00 %"," 10.00 %"," 33.33 %","   .00 %"
"2020-04-11"," 10.00 %"," 11.01 %","  9.42 %","  9.72 %","  7.89 %"," 25.00 %","   .00 %","  3.12 %","  6.82 %"," 14.29 %"," 17.99 %","   .00 %","  9.09 %"," 10.03 %"," 11.11 %"," 10.73 %"," 12.06 %"," 11.76 %","   .00 %","  2.82 %","   .00 %","","  9.09 %"," 17.86 %"," 18.75 %"
"2020-04-12"," 18.18 %","  7.15 %","  7.16 %","  7.41 %","  9.76 %"," 13.33 %"," 10.28 %"," 12.12 %","  7.66 %"," 12.50 %","  7.92 %","   .00 %","  7.50 %","  5.70 %"," 10.00 %","  6.12 %","  5.82 %","   .00 %","   .00 %"," 12.33 %","  7.69 %","","  4.17 %"," 27.27 %","  5.26 %"
"2020-04-13"," 15.38 %","  9.86 %","  8.27 %","  7.51 %","  4.44 %"," 23.53 %","  5.93 %"," 12.16 %","  8.30 %"," 33.33 %"," 13.32 %","   .00 %"," 10.08 %","  4.04 %","   .00 %","  7.66 %","  8.35 %","   .00 %"," 50.00 %"," 15.85 %"," 14.29 %",""," 24.00 %"," 38.10 %","  5.00 %"
"2020-04-14"," 13.33 %","  8.15 %","  1.18 %"," 10.19 %","  5.32 %","   .00 %","  3.60 %","  2.41 %","  6.57 %"," 16.67 %","  5.76 %","   .00 %","  3.52 %","  4.40 %","   .00 %","  7.23 %","  6.85 %","   .00 %","-16.67 %","  3.16 %","   .00 %","","  3.23 %","  8.62 %","   .00 %"
"2020-04-15","   .00 %","  7.92 %","  7.84 %"," 10.19 %","  3.03 %","  4.76 %","  1.16 %","  5.88 %","  6.16 %"," 14.29 %","   .23 %","   .00 %","  3.40 %","  5.21 %","   .00 %","  2.66 %","  6.79 %","   .00 %","   .00 %","  1.02 %","-12.50 %",""," 10.42 %"," 20.63 %","  4.76 %"
"2020-04-16"," 17.65 %","  6.04 %","  2.09 %","  9.43 %","   .98 %","  4.55 %","  8.02 %"," 12.22 %","  5.48 %"," 12.50 %"," 12.44 %","   .00 %","  5.92 %","  6.37 %","   .00 %"," 10.35 %","  8.19 %","   .00 %"," 20.00 %"," -1.01 %","   .00 %","","  2.83 %"," 14.47 %"," 13.64 %"
"2020-04-17"," 30.00 %","  7.81 %","  3.50 %","  9.74 %","  5.83 %"," 21.74 %","  1.77 %"," 25.74 %","  3.06 %"," 11.11 %","  5.63 %","   .00 %","  9.32 %","  5.32 %"," 27.27 %","  6.89 %","  8.96 %","   .00 %"," 50.00 %","  2.04 %","   .00 %","","  6.42 %"," 18.39 %"," 12.00 %"
"2020-04-18"," 26.92 %","  4.04 %","  6.05 %","  8.25 %","   .00 %"," 17.86 %","  6.94 %","  3.15 %","  2.97 %","   .00 %","  6.10 %","   .00 %"," 10.80 %","  6.95 %"," 14.29 %","  5.44 %","  6.54 %"," 26.32 %"," 11.11 %"," 19.00 %"," 14.29 %","","   .00 %"," 33.98 %"," 10.71 %"
"2020-04-19","   .00 %","  4.18 %","  4.15 %","  1.02 %","  3.67 %","   .00 %","  1.62 %","   .00 %","  6.63 %","  5.00 %","  6.10 %","   .00 %","  7.69 %","  1.38 %"," 12.50 %","  4.28 %","  5.85 %","  4.17 %","   .00 %","  2.52 %"," 18.75 %","","   .86 %","  5.07 %","  6.45 %"
"2020-04-20"," -3.03 %","  4.87 %","  8.19 %","  8.55 %","   .88 %"," 18.18 %","  7.03 %","  2.29 %","  5.95 %","  9.52 %","  4.23 %","   .00 %","  7.62 %","  4.47 %"," 55.56 %","  5.58 %","  7.12 %","  4.00 %"," 10.00 %","-12.30 %"," 15.79 %","   .00 %","  5.13 %"," 14.48 %","  3.03 %"
"2020-04-21"," 75.00 %","  5.37 %","  2.67 %","  2.05 %","  1.75 %","  5.13 %"," -1.49 %","   .00 %","  2.30 %","  8.70 %","  2.60 %","   .00 %","  2.65 %","  5.02 %","  3.57 %","  4.57 %","  4.21 %","  3.85 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.44 %","  6.02 %"," -2.94 %"
"2020-04-22","  3.57 %","  2.85 %","  4.52 %","  3.89 %","  1.72 %","   .00 %","  4.24 %","   .00 %","  6.48 %"," 12.00 %","  4.11 %","   .00 %"," 15.09 %","  4.78 %"," 24.14 %","  3.61 %","  3.78 %"," 14.81 %","   .00 %","  4.67 %","  4.55 %","   .00 %","   .79 %","  3.98 %","  3.03 %"
"2020-04-23"," 32.76 %","  8.74 %","  5.96 %","  4.37 %","  2.54 %"," 21.95 %","  3.20 %","  4.48 %","  3.51 %"," 10.71 %","  4.86 %","   .00 %","  4.87 %","  4.39 %"," 77.78 %","  6.69 %","  6.86 %","  6.45 %","  9.09 %","  2.68 %","  8.70 %","   .00 %","  9.45 %"," 10.93 %"," 14.71 %"
"2020-04-24"," 16.88 %","  6.11 %","  4.78 %","  3.35 %","  3.31 %"," 10.00 %","  4.79 %","  2.86 %","  3.85 %","  3.23 %"," 10.87 %","   .00 %","  3.21 %","  3.88 %","  4.69 %","  5.46 %","  6.33 %"," 30.30 %","  8.33 %","  3.48 %"," -8.00 %","   .00 %","  2.88 %","  9.36 %"," 12.82 %"
"2020-04-25"," 16.67 %","  4.15 %","  6.85 %","  3.65 %","  4.00 %"," 10.91 %","  3.23 %","  1.39 %","  5.23 %"," 18.75 %","  6.41 %","   .00 %","  4.50 %","  6.85 %","   .00 %","  7.93 %","  8.90 %"," 20.93 %","  7.69 %","  4.20 %"," 21.74 %","   .00 %","  7.69 %","  9.01 %","  4.55 %"
"2020-04-26","  7.62 %","  5.59 %","  5.11 %","  4.19 %","  3.08 %","  3.28 %","  1.82 %","  5.48 %","  4.35 %"," 21.05 %","  2.46 %","   .00 %","  5.63 %","  3.06 %","  1.49 %","  4.65 %","  4.00 %","  1.92 %"," 14.29 %","  7.26 %"," 21.43 %","   .00 %"," 12.34 %"," 11.57 %","  4.35 %"
"2020-04-27","   .88 %","  2.25 %","  1.55 %","  3.59 %","  2.99 %","  7.94 %","  3.07 %","  5.84 %","  4.96 %"," 10.87 %","  3.72 %","   .00 %"," 10.34 %"," 10.04 %","  2.94 %","  5.43 %","  5.53 %","  1.89 %"," 18.75 %","  8.27 %","   .00 %","   .00 %","  4.62 %"," 24.44 %"," 10.42 %"
"2020-04-28","   .88 %","  1.75 %","  3.26 %","  2.28 %","   .72 %","  1.47 %","  3.23 %","   .00 %","  1.89 %","  1.96 %","   .58 %","   .00 %","  1.70 %","  3.08 %","  4.29 %","  4.16 %","  4.43 %","  1.85 %","  5.26 %","   .69 %","   .00 %","   .00 %","  3.31 %","  1.19 %","  1.89 %"
"2020-04-29","   .87 %","  5.79 %","  4.14 %","  1.87 %","  2.16 %","   .00 %","  1.20 %","   .61 %","  2.23 %"," -1.92 %","  2.64 %","   .00 %","  3.63 %","  3.62 %","   .00 %","  3.72 %","  4.40 %","   .00 %","  5.00 %","   .00 %","   .00 %","   .00 %","  5.35 %","  2.94 %","  1.85 %"
"2020-04-30","  1.72 %","  3.79 %","  3.32 %","  2.68 %","  5.63 %","  2.90 %","  3.56 %","  1.83 %","  2.36 %","   .00 %","  2.80 %","   .00 %"," 11.59 %","  4.33 %","  8.22 %","  3.56 %","  5.32 %"," -5.45 %"," 23.81 %","  3.45 %","  2.94 %","   .00 %","  4.57 %"," 16.00 %"," 10.91 %"
"2020-05-01","   .00 %","  4.75 %","  6.43 %","  4.55 %","  7.33 %","  4.23 %","  5.50 %","  5.39 %","  8.33 %","  5.88 %","  2.61 %","   .00 %","  5.56 %","  3.34 %","  8.86 %"," 10.56 %"," 11.45 %","   .00 %"," 15.38 %","  6.00 %","   .00 %","","  4.85 %","  4.68 %","  6.56 %"
"2020-05-02","  2.54 %","  4.32 %","  5.64 %","  3.47 %","  -.62 %","  6.76 %","  4.35 %","  6.25 %","  1.80 %","  9.26 %","  3.61 %","   .00 %","  7.09 %","  3.91 %"," -6.98 %","  3.47 %","  4.54 %","  9.62 %","  6.67 %","  3.14 %"," 11.43 %","   .00 %","  4.17 %","  6.35 %"," 10.77 %"
"2020-05-03","  2.48 %","  3.93 %","  3.71 %","  3.67 %","  1.25 %"," 20.25 %","  2.92 %","   .53 %","  2.41 %"," 20.34 %","  2.87 %","   .00 %","  2.35 %","  4.08 %"," 13.75 %","  4.70 %","  4.15 %","  5.26 %","  3.12 %","   .61 %"," 12.82 %","   .00 %","  3.11 %","  4.65 %","  4.17 %"
"2020-05-04","  1.61 %","  3.01 %","  4.45 %","  3.97 %","  5.56 %","  3.16 %","  2.43 %","  3.19 %","  2.20 %","  5.63 %","  3.39 %","   .00 %","  2.51 %","  2.37 %","  4.40 %","  4.54 %","  3.61 %","  5.00 %","  6.06 %","  1.82 %","  2.27 %","   .00 %","  2.16 %","  1.48 %","  6.67 %"
"2020-05-05","  2.38 %","  1.34 %","  -.52 %","  8.21 %","  1.75 %","  1.02 %","  1.38 %","   .52 %","  1.38 %","  1.33 %","  3.18 %","   .00 %","  1.63 %","  1.81 %","   .00 %","  2.92 %","  3.07 %","  3.17 %","  5.71 %","  1.19 %","   .00 %","   .00 %","   .42 %","  4.17 %","  1.25 %"
"2020-05-06","   .00 %","  1.96 %","  2.83 %","  5.48 %","  5.75 %","  2.02 %","  1.56 %","  2.56 %","  1.52 %","  3.95 %","  3.45 %","   .00 %","  6.61 %","  5.05 %"," -1.05 %","  4.49 %","  3.88 %","  3.08 %","  5.41 %","  9.41 %","   .00 %","   .00 %","  5.46 %","  3.40 %","  6.17 %"
"2020-05-07"," 10.85 %","  5.23 %","  3.83 %","  3.78 %","  2.17 %","  3.96 %","  2.50 %","  4.00 %","  4.18 %","  7.59 %","  3.88 %","   .00 %","  3.76 %","  3.49 %","  4.26 %","  4.18 %","  4.68 %","  1.49 %","  2.56 %","  3.76 %"," 15.56 %","   .00 %","  3.59 %","  4.64 %"," 11.63 %"
"2020-05-08","   .00 %","  4.38 %","  2.76 %","  2.98 %","  1.60 %","  1.90 %","  1.50 %","  1.44 %","  2.58 %","  1.18 %","  2.69 %"," 25.00 %","  3.62 %","  3.64 %","   .00 %","  4.71 %","  4.52 %","  2.94 %","  2.50 %","  7.25 %","  5.77 %","   .00 %","  -.38 %","  2.22 %","  2.08 %"
"2020-05-09","   .70 %","  3.58 %","  -.69 %","  9.08 %","  5.76 %","  2.80 %","  1.66 %","  3.79 %","  1.82 %","  5.81 %","  2.62 %"," 20.00 %","  2.97 %","  2.81 %","  4.08 %","  3.78 %","  3.42 %","  2.86 %","  2.44 %"," 13.04 %","  5.45 %","   .00 %","  2.32 %","   .90 %","  4.08 %"
"2020-05-10","  1.39 %","  3.84 %","  3.34 %","  3.40 %","  1.98 %"," 20.91 %","  1.63 %"," 10.50 %","  2.61 %","  4.40 %","  3.13 %","   .00 %","  2.72 %","  2.99 %"," 10.78 %","  3.16 %","  3.16 %"," 11.11 %","  2.38 %","  2.99 %","  3.45 %","   .00 %","  4.15 %","  2.33 %","  3.92 %"
"2020-05-11","   .00 %","  1.18 %","  2.23 %","  1.09 %","  1.46 %"," 25.56 %","  4.11 %"," 10.33 %","  1.07 %","  3.16 %","  1.28 %","   .00 %","   .00 %","  1.49 %","  2.65 %","  2.17 %","  2.01 %"," 25.00 %"," 16.28 %","  1.24 %","  1.67 %","   .00 %","  2.54 %"," 20.84 %","  6.60 %"
"2020-05-12","  1.37 %","  1.12 %","  2.61 %","  1.52 %","   .96 %","  4.19 %","  1.03 %","  1.12 %","   .66 %","  4.08 %","  1.18 %","   .00 %","  1.49 %","   .90 %","  3.45 %","  3.20 %","  2.12 %","  3.00 %","  2.00 %","   .82 %","   .00 %","   .00 %","   .35 %","   .58 %","   .88 %"
"2020-05-13","   .68 %","  3.02 %","  2.69 %","  2.12 %","  1.42 %","  1.72 %","  1.02 %","   .37 %","  2.23 %","   .00 %","  1.56 %","   .00 %","  2.44 %","  1.94 %","  2.50 %","  2.15 %","  1.82 %","   .97 %","   .00 %","  3.25 %","  1.64 %","   .00 %","  1.06 %","  6.34 %","  9.65 %"
"2020-05-14","   .67 %","  2.50 %","  3.12 %","   .83 %","  5.14 %","  3.39 %","  4.03 %","  7.38 %","  2.31 %","  1.96 %","  1.77 %","   .00 %","  5.41 %","  2.15 %","  1.63 %","  3.64 %","  3.74 %","  1.92 %","   .00 %","  6.69 %","  3.23 %","   .00 %","  6.27 %","  2.17 %","  1.60 %"
"2020-05-15","   .67 %","  3.42 %","  2.54 %","  2.88 %","  1.33 %","  3.83 %","  2.58 %","  3.09 %","  4.15 %","  2.88 %","  2.94 %","   .00 %","  1.21 %","  2.18 %","  4.80 %","  2.80 %","  3.27 %","  1.89 %","  5.88 %"," 10.33 %","  1.56 %","   .00 %","  4.92 %","  3.05 %","  3.15 %"
"2020-05-16","  5.96 %","  1.78 %","  3.41 %","  3.13 %","  3.95 %","  5.26 %","  -.31 %","  2.67 %","  1.81 %","  3.74 %","  2.79 %"," 16.67 %","  1.04 %","  2.97 %","  5.34 %","  2.95 %","  2.22 %","  3.70 %","  1.85 %","  2.34 %","  4.62 %","   .00 %","  3.75 %","  3.09 %","  3.82 %"
"2020-05-17","   .62 %","  1.96 %","  1.65 %","  2.12 %","  1.69 %"," -4.50 %","  2.05 %","   .00 %","  1.78 %","   .00 %","  1.50 %","-14.29 %","  1.33 %","  1.92 %","  -.72 %","  2.73 %","  2.58 %"," 11.61 %","  3.64 %","  2.29 %","   .00 %","   .00 %","  1.81 %","  2.12 %","   .74 %"
"2020-05-18","  1.86 %","  1.30 %","  2.70 %","   .84 %","  1.66 %","  4.71 %","  8.82 %","  3.25 %","   .93 %","  9.91 %","  2.60 %"," 16.67 %","  1.16 %","  2.76 %","  2.19 %","  2.57 %","  2.58 %","  3.20 %","  7.02 %","  4.15 %","   .00 %","   .00 %","  1.48 %","  2.32 %"," 19.71 %"
"2020-05-19","  1.22 %","  3.04 %","  3.60 %","  4.49 %","  4.08 %","  4.00 %","  1.28 %","  1.57 %","  3.23 %","   .00 %","  2.12 %","   .00 %","  2.01 %","  3.46 %","  2.86 %","  6.33 %","  5.44 %","  3.10 %","  1.64 %","  3.68 %","   .00 %","   .00 %","  2.62 %","   .24 %","   .00 %"
"2020-05-20","   .00 %","  1.74 %","  2.13 %","  3.75 %","  1.57 %","   .96 %","  1.12 %","  1.55 %","  2.91 %","   .00 %","  2.82 %","   .00 %","  1.69 %","  1.98 %","   .69 %","  1.14 %","  1.68 %","  1.50 %","  3.23 %","   .59 %","  1.47 %","   .00 %","  3.41 %","  1.07 %","  3.05 %"
"2020-05-21","   .00 %","  3.26 %","  2.19 %","  4.50 %","  7.34 %","  2.86 %","  1.81 %","   .91 %","  2.39 %","  1.64 %","  2.28 %","   .00 %","  2.22 %","  3.61 %"," -1.38 %","  2.30 %","  3.09 %","  4.44 %"," 10.94 %","  5.00 %","  1.45 %","   .00 %","  3.57 %","  -.47 %","  7.10 %"
"2020-05-22","  1.20 %","  2.39 %","   .68 %","  3.53 %","  4.68 %","  3.24 %","  3.00 %","  2.42 %","  1.38 %","  1.61 %","  3.64 %","   .00 %","  1.22 %","  2.45 %","  2.10 %","  1.86 %","  1.93 %","   .00 %","   .00 %","  3.64 %","  4.29 %","   .00 %","  3.18 %","  1.18 %","  -.55 %"
"2020-05-23","   .00 %","  2.34 %","  2.32 %","  4.03 %","  2.41 %","  3.59 %","  1.32 %","   .88 %","  1.36 %","   .00 %","  2.22 %","   .00 %","  2.41 %","  3.28 %","  1.37 %","  2.83 %","  1.89 %","  3.55 %","   .00 %","  2.43 %","  5.48 %","   .00 %","  2.31 %","   .59 %","   .00 %"
"2020-05-24","  1.19 %","   .76 %","  1.57 %","  2.33 %","  2.01 %","  3.90 %","  2.35 %","   .88 %","  2.06 %","   .79 %","  2.11 %","   .00 %","  2.09 %","  1.77 %","  2.70 %","  2.30 %","  1.48 %","   .00 %","  1.41 %","  3.69 %","  2.60 %","   .00 %","  2.51 %","   .93 %","  1.67 %"
"2020-05-25","  3.53 %","  1.51 %","  1.92 %","  2.22 %","   .99 %","   .42 %","  2.43 %","   .87 %","   .81 %","   .79 %","  2.06 %"," 42.86 %","  1.15 %","  2.94 %","  1.97 %","  1.90 %","  1.52 %","  3.42 %","   .00 %","   .51 %","  8.86 %","   .00 %","  1.23 %","  2.88 %","  1.09 %"
"2020-05-26","   .00 %","  1.10 %","   .40 %","  2.23 %","   .33 %","   .83 %","  1.12 %","  1.44 %","   .40 %","  1.56 %","   .87 %","   .00 %","   .76 %","   .93 %","  1.94 %","  1.78 %","   .68 %","   .00 %","  1.39 %","  1.27 %","   .00 %","   .00 %","   .00 %","  1.79 %","  4.86 %"
"2020-05-27","   .57 %","  1.59 %","  1.16 %","  1.14 %","  1.95 %","   .00 %","   .74 %","   .28 %","   .70 %","  2.31 %","  2.29 %","   .00 %","   .75 %","  1.62 %","  1.27 %","  1.71 %","  2.03 %","   .00 %","   .00 %","   .00 %"," -2.33 %","   .00 %","  1.21 %","   .22 %","  -.52 %"
"2020-05-28","   .56 %","  3.13 %","  2.09 %","  2.95 %","  1.91 %","   .82 %","  2.82 %","   .56 %","  1.88 %","  2.26 %","  2.13 %","   .00 %","  3.25 %","  3.12 %","  3.12 %","  2.72 %","  2.89 %","   .66 %","   .00 %","  4.25 %","  3.57 %","   .00 %","  1.20 %","   .99 %","  2.59 %"
"2020-05-29","  -.56 %","  2.45 %","  2.48 %","  4.29 %","  2.81 %","  1.22 %","  2.50 %","  2.25 %","  2.82 %","  2.94 %","  1.75 %","   .00 %","  3.26 %","  2.92 %","  1.21 %","  2.63 %","  1.83 %","  5.26 %","   .00 %"," 10.31 %","  4.60 %","   .00 %","  4.26 %","  1.31 %","  4.04 %"
"2020-05-30","   .00 %","  2.74 %","  2.34 %","  2.54 %","  1.52 %","  2.02 %","  2.21 %","   .55 %","  2.75 %","   .71 %","  1.83 %","   .00 %","   .82 %","  1.98 %","  1.80 %","  1.96 %","  1.69 %","  -.62 %","   .00 %","  2.39 %","  5.49 %","   .00 %","  3.40 %","  1.29 %","  1.94 %"
"2020-05-31","   .56 %","  1.12 %","  1.85 %","  1.80 %","  2.10 %","  2.37 %","  3.75 %","  1.37 %","  2.12 %","   .71 %","  1.11 %","   .00 %","  2.44 %","  1.21 %","  1.76 %","   .98 %","  1.32 %","   .63 %","   .00 %","  5.94 %","  3.12 %","   .00 %","  2.85 %","  1.06 %","  1.90 %"
"2020-06-01","  1.12 %","  1.51 %","  3.86 %"," -1.06 %","  2.35 %","   .39 %","   .11 %","  -.54 %","  1.08 %","   .00 %","   .89 %","   .00 %","  -.11 %","   .83 %","   .58 %","  1.01 %","   .87 %","   .62 %","   .00 %","  1.20 %","  2.02 %","   .00 %","   .64 %","   .21 %","   .47 %"
"2020-06-02","   .56 %","  2.13 %","  1.37 %","  1.50 %","   .86 %","  1.15 %","  1.42 %","  2.17 %","  1.16 %","  1.41 %","  1.71 %","   .00 %","  1.14 %","  1.59 %","   .00 %","  2.22 %","  1.30 %","   .00 %","  1.37 %","  2.57 %","   .00 %","   .00 %","  1.69 %","   .00 %","   .93 %"
"2020-06-03","   .55 %","  2.17 %","  1.13 %","  1.99 %"," -1.14 %","   .76 %","  1.40 %","  1.06 %","  1.68 %","  2.08 %","  2.24 %","   .00 %","  1.12 %","  1.47 %","  2.30 %","  1.65 %","  1.19 %","   .62 %","  1.35 %","  3.47 %","  1.98 %","   .00 %","  1.25 %","   .42 %","   .92 %"
