"date","Goa/Chicalim Vasco","Goa/North Goa","Goa/Other State","Goa/Sanquelim","Goa/South Goa"
"2020-07-29","","  1.45 %","  1.02 %","","  1.43 %"
"2020-07-30","","  1.62 %","  1.02 %","","  1.14 %"
"2020-07-31","","  2.04 %","  1.02 %","","  1.20 %"
"2020-08-01","","  1.58 %","   .00 %","","   .75 %"
"2020-08-02","","  2.83 %","   .00 %","","  1.25 %"
"2020-08-03","","  3.82 %","   .00 %","","  1.12 %"
"2020-08-04","","  4.08 %","   .00 %","","  1.04 %"
"2020-08-05","","  4.94 %","   .11 %","","  1.94 %"
"2020-08-06","","  4.75 %","","","  1.82 %"
"2020-08-07","","  3.50 %","   .21 %","","  3.03 %"
"2020-08-08","","  4.49 %","   .21 %","","  2.77 %"
"2020-08-09","","  5.15 %","   .21 %","","  4.68 %"
"2020-08-10","","  5.19 %","   .21 %","","  3.86 %"
"2020-08-11","","  5.17 %","","","  4.44 %"
"2020-08-12","","  7.25 %","   .21 %","","  3.77 %"
"2020-08-13","","  7.73 %","   .21 %","","  4.32 %"
"2020-08-14","","  8.08 %","","","  2.94 %"
"2020-08-15","","  7.34 %","","","  2.80 %"
"2020-08-16","","  6.99 %","","","  2.23 %"
"2020-08-17","","  5.05 %","   .21 %","","  1.51 %"
"2020-08-18","","  2.82 %","   .32 %","","  1.05 %"
"2020-08-19","","  1.80 %","   .42 %","","   .46 %"
"2020-08-20","","  1.25 %","   .52 %","","   .90 %"
"2020-08-21","","   .82 %","   .52 %","","   .90 %"
"2020-08-22","","   .68 %","","","   .53 %"
"2020-08-23","","   .44 %","   .62 %","","   .44 %"
"2020-08-24","","   .02 %","   .62 %","","   .44 %"
"2020-08-25","","   .00 %","","","   .56 %"
"2020-08-26","","  1.30 %","","","   .91 %"
"2020-08-27","","  1.45 %","","","  1.40 %"
"2020-08-28","","  1.82 %","   .52 %","","  1.68 %"
"2020-08-29","","  2.74 %","   .41 %","","  1.68 %"
"2020-08-30","","  2.74 %","   .51 %","","  1.15 %"
"2020-08-31","","  1.44 %","   .41 %","","   .80 %"
"2020-11-26","","","","",""
"2020-11-27","","","","",""
