"date","Chhattisgarh/Balod","Chhattisgarh/Baloda Bazar","Chhattisgarh/Balrampur","Chhattisgarh/Bametara","Chhattisgarh/Bastar","Chhattisgarh/Bijapur","Chhattisgarh/Bilaspur","Chhattisgarh/Buxar","Chhattisgarh/Dakshin Bastar Dantewada","Chhattisgarh/Dhamtari","Chhattisgarh/Durg","Chhattisgarh/Gariaband","Chhattisgarh/Gaurela Pendra Marwahi","Chhattisgarh/Janjgir Champa","Chhattisgarh/Jashpur","Chhattisgarh/Kabeerdham","Chhattisgarh/Kondagaon","Chhattisgarh/Korba","Chhattisgarh/Koriya","Chhattisgarh/Mahasamund","Chhattisgarh/Mungeli","Chhattisgarh/Narayanpur","Chhattisgarh/Other State","Chhattisgarh/Raigarh","Chhattisgarh/Raipur","Chhattisgarh/Rajnandgaon","Chhattisgarh/Sukma","Chhattisgarh/Surajpur","Chhattisgarh/Surguja","Chhattisgarh/Unknown","Chhattisgarh/Uttar Bastar Kanker"
"2020-05-25","","","8","2","","","39","","","2","","5","3","","","","","","8","","43","","","","4","22","","","7","","8"
"2020-05-26","24","19","9","15","","","41","","","","","5","","15","3","13","","41","8","","70","","","","","34","","8","","","12"
"2020-05-27","24","20","","","","","42","","","","","","","","","","","","","","","","","11","","35","","","","","13"
"2020-05-28","","","","","1","","46","","","","","","","","16","","","","9","","81","","","13","","34","","","","","15"
"2020-05-29","","20","10","","2","","48","","","3","10","5","","15","","19","","42","","1","82","","","","6","","","","","",""
"2020-05-30","24","","16","","","","","","","","","","","","","","","","29","","82","","","","8","","","","","","19"
"2020-05-31","27","20","","15","","","49","","","","","","","15","32","","","47","","19","","","","","10","35","","","9","","20"
"2020-06-01","28","","","20","","","60","","","6","11","6","","","41","","","51","","20","84","","","20","13","36","","","9","","20"
"2020-06-02","31","23","","20","3","","63","","","","12","7","","16","","","","54","30","","85","","","19","","","","","","",""
"2020-06-03","34","59","17","","","","65","","","","13","","","18","46","23","","","38","","86","","","20","","","","","9","","20"
"2020-06-04","37","66","17","20","","","82","","","","15","10","","47","71","27","","","38","51","86","","","26","21","44","","10","9","",""
"2020-06-05","37","81","18","20","","","97","","","","16","","","","","27","","94","39","","86","","","39","25","46","","","","","20"
"2020-06-06","41","96","17","20","3","","97","","","","21","","","55","75","29","","97","38","","86","","","45","29","50","","11","14","","21"
"2020-06-07","","102","22","21","","","98","","","","40","","","57","78","75","","108","","57","","","","46","77","51","","","","",""
"2020-06-08","41","117","","24","","","104","","","6","40","","3","68","79","81","","125","45","57","106","","1","53","85","56","","13","24","","26"
"2020-06-09","41","120","","25","","","","","","","40","","","69","","81","","","","57","106","","","53","92","58","","","","",""
"2020-06-10","","","32","26","4","","105","","","","42","","","95","80","","","127","46","","108","","","","94","","","","26","",""
"2020-06-11","","120","","27","5","","149","","","","45","","","109","82","83","1","164","","64","110","","","62","99","64","","14","27","",""
"2020-06-12","41","122","34","27","","","","","","7","48","10","","122","83","83","","179","46","64","110","","","","108","65","","","27","",""
"2020-06-13","41","135","37","38","","","157","","2","8","57","10","","125","83","88","","192","47","72","","","","62","123","78","","","","",""
"2020-06-14","","138","65","37","","","159","","","","63","12","","136","85","88","","239","","72","110","","1","68","129","","","","27","","26"
"2020-06-15","","141","67","","","","166","","","8","65","","","139","85","","3","253","48","72","116","","","68","136","84","","14","27","",""
"2020-06-16","42","172","71","37","","","167","","","","71","17","","140","85","89","","249","49","74","","2","","","147","90","","15","","",""
"2020-06-17","","180","71","41","","","167","","","","73","21","","151","93","89","","253","49","78","117","","","74","172","91","","17","27","","26"
"2020-06-18","42","194","93","41","5","","167","","","8","85","21","","162","96","91","3","257","55","77","115","","","76","178","96","","17","25","","26"
"2020-06-19","44","202","94","41","","","169","","","","86","","","180","102","","","257","56","77","119","","","76","187","99","","","42","",""
"2020-06-20","","202","100","","","","170","","","","92","22","","205","104","91","","259","54","77","","6","","83","191","156","3","","","",""
"2020-06-21","","219","101","43","","","170","","","","95","26","","208","120","","","298","","77","","","","85","208","170","","","43","","28"
"2020-06-22","","219","102","45","","","171","","","","96","26","","209","122","92","","304","","77","121","","","85","219","185","","21","","",""
"2020-06-23","","223","111","","5","","","","2","","107","26","","215","122","","3","305","56","82","","9","","91","225","206","","","49","","31"
"2020-06-24","","225","","","","","171","","","","108","26","","220","","","","306","56","82","121","","","94","231","208","","21","","","45"
"2020-06-25","","225","114","46","7","1","","","3","8","108","29","","221","125","92","","306","","82","","","","98","240","212","5","24","","",""
"2020-06-26","44","229","118","","","","","","","","122","","","221","164","95","","306","56","","","","","103","254","217","","","50","","45"
"2020-06-27","","233","128","","","","172","","","","130","29","","228","","96","","306","56","85","121","","","107","256","242","","","","",""
"2020-06-28","","237","129","","","","181","","4","","137","35","","231","164","104","3","306","","","121","10","","119","261","267","5","","","","47"
"2020-06-29","46","245","129","48","7","","","","6","","167","41","","234","189","105","","307","55","88","","11","","121","270","272","","","50","","49"
"2020-06-30","46","246","132","49","7","","181","","6","","168","","","234","189","","","309","","88","121","","","","319","273","","24","53","","51"
"2020-07-01","51","248","","","","2","184","","14","","168","","","234","189","109","","307","59","88","122","12","","123","350","291","","","53","-1","55"
"2020-07-02","52","","139","62","18","","193","","18","","165","41","","239","189","","","308","","88","123","","","124","368","290","","","56","","58"
"2020-07-03","52","248","145","62","21","2","199","","23","","166","","","","189","110","","","","","","15","","129","375","297","","24","","","66"
"2020-07-04","53","245","145","71","23","","223","","26","","168","","","249","189","110","","308","61","88","","23","","132","407","298","5","","58","",""
"2020-07-05","","","","","","2","228","","26","","168","","","252","189","110","","319","67","88","","23","","134","422","","","24","62","","66"
"2020-07-06","","253","146","74","40","","237","","27","","169","","","257","","110","","323","","89","","24","","134","441","319","","30","63","","66"
"2020-07-07","53","256","","75","","4","246","","29","","171","47","","276","189","","","","67","89","123","30","","139","487","320","","30","","-12","74"
"2020-07-08","54","256","","81","52","","266","","33","","177","48","","274","189","110","","330","69","","","47","","139","506","330","6","","69","","75"
"2020-07-09","55","257","151","83","52","17","272","","35","","182","48","","277","190","111","","339","69","","","70","","139","563","331","","31","75","","78"
"2020-07-10","59","291","153","84","","","285","","52","","187","48","","280","190","111","5","340","","90","123","92","3","146","597","340","","","84","","78"
"2020-07-11","","","","84","61","","291","","52","9","188","","","","190","","","342","73","","","94","","","633","340","","","87","","79"
"2020-07-12","67","294","154","84","64","18","291","","51","11","203","49","6","297","","112","","","76","","","97","","147","732","350","","","92","","88"
"2020-07-13","68","296","","88","64","18","294","","","18","228","57","7","298","191","116","","","77","91","132","98","","148","819","376","","","93","","88"
"2020-07-14","67","","162","88","65","18","308","","52","","229","58","","299","192","118","8","344","","","","116","","150","836","384","24","32","107","","90"
"2020-07-15","68","297","163","91","65","","317","","59","24","246","60","9","305","","117","14","345","78","92","","135","","150","913","390","25","32","116","","92"
"2020-07-16","","300","164","100","65","18","349","","59","","263","60","","317","197","133","","349","","","","135","5","153","970","413","25","","130","","92"
"2020-07-17","77","301","164","100","","","366","","61","25","288","65","","324","202","133","14","","79","98","135","133","5","156","1097","435","","","147","",""
"2020-07-18","","303","165","103","76","36","430","","64","27","306","65","","335","204","136","17","350","85","","","140","7","163","1122","436","29","","151","","137"
"2020-07-19","","310","166","109","101","36","434","","69","","314","66","","339","","","18","364","87","","136","140","","164","1167","439","29","","177","","144"
"2020-07-20","77","310","171","109","","43","444","","92","30","323","","","361","211","","19","","88","101","","","","166","1247","452","31","32","180","","144"
"2020-07-21","","310","173","109","102","45","452","","95","30","331","66","14","364","211","","42","","93","","","145","7","166","1309","452","32","","181","","148"
"2020-07-22","79","311","173","112","108","54","471","","95","","359","76","","378","212","","44","364","93","106","147","150","","175","1397","454","68","33","182","","163"
"2020-07-23","80","312","","112","118","55","479","","96","31","365","80","","390","214","170","45","367","96","109","163","154","","175","1602","477","","34","192","","184"
"2020-07-24","85","319","184","120","136","64","481","","98","34","393","81","","393","215","170","59","381","96","110","163","155","","185","1849","505","","42","206","","198"
"2020-07-25","85","323","186","120","147","","507","","99","34","501","","","405","219","172","65","393","","110","","156","7","194","1983","523","","","206","","211"
"2020-07-26","87","341","186","123","168","75","529","","110","35","585","81","","411","219","175","","394","97","111","166","","","201","2182","542","77","44","207","","217"
"2020-07-27","89","355","","127","170","","601","","110","35","634","85","","413","","180","","394","99","116","","","","207","2361","560","","44","208","","219"
"2020-07-28","","363","189","","188","75","619","","113","35","654","91","","414","222","185","65","398","102","119","170","167","","215","2519","580","","46","214","","221"
"2020-07-29","","381","190","","191","","634","","113","37","676","94","14","421","222","186","69","402","102","123","170","167","","218","2654","659","","55","218","",""
"2020-07-30","","385","191","127","192","75","646","","116","40","689","95","15","446","224","203","78","403","115","125","172","170","7","219","2758","680","","61","226","","224"
"2020-07-31","91","389","195","127","196","75","653","","134","40","708","96","30","448","225","203","101","409","117","134","","170","8","219","2942","711","","62","227","","225"
"2020-08-01","94","394","195","128","198","","662","","","41","763","97","","459","","207","102","","122","137","175","171","","223","3040","731","77","62","234","","226"
"2020-08-02","","404","197","128","199","84","668","","135","39","782","97","31","467","","","111","412","125","147","","171","","240","3107","743","77","61","237","","229"
"2020-08-03","95","404","","128","199","84","668","","135","42","819","97","","494","250","","","416","","157","179","171","","256","3176","747","77","72","237","","230"
"2020-08-04","96","409","223","128","236","85","678","","135","43","874","97","32","499","251","214","136","","127","168","175","172","8","259","3333","769","77","83","237","","234"
"2020-08-05","96","423","","129","254","","679","","135","44","923","98","","501","257","214","137","417","128","187","174","176","10","269","3475","785","","84","242","","235"
"2020-08-06","102","434","233","130","282","88","744","","135","46","976","106","32","513","258","","148","428","138","193","174","188","16","288","3668","816","79","85","244","","254"
"2020-08-07","105","443","233","133","296","88","773","","137","47","1025","109","33","519","263","215","148","429","141","200","178","197","16","306","3829","835","84","90","248","","280"
"2020-08-08","107","463","235","138","308","94","842","","139","60","1046","117","","524","267","230","148","432","144","201","179","202","17","322","3974","895","102","91","250","","287"
"2020-08-09","109","481","246","139","317","96","872","","140","","1083","119","","527","269","","153","438","146","201","182","","18","331","4083","901","105","91","257","","311"
"2020-08-10","111","486","247","146","321","108","879","","145","62","1124","122","","545","278","230","159","438","148","221","182","213","19","392","4302","921","109","91","269","","316"
"2020-08-11","111","494","","160","328","113","896","","159","64","1183","124","","556","277","","174","447","150","227","183","224","21","421","4407","939","116","97","268","","328"
"2020-08-12","116","504","247","183","354","115","913","","","67","1214","126","","565","290","","","458","150","234","184","238","24","463","4589","1070","135","107","269","","333"
"2020-08-13","140","522","248","184","369","116","939","","163","68","1257","131","","566","292","231","179","459","157","240","184","253","25","492","4784","1100","158","112","281","","339"
"2020-08-14","149","525","248","195","391","119","959","","","71","1317","138","","581","295","238","190","496","166","245","","265","28","530","4968","1118","188","114","285","","352"
"2020-08-15","151","532","249","198","391","","984","","","73","1381","142","","587","303","245","204","503","172","258","","270","32","574","5185","1134","197","118","299","","356"
"2020-08-16","187","535","249","199","391","121","1026","","168","73","1479","143","","587","314","252","204","504","174","266","","272","33","610","5431","1185","202","119","315","","357"
"2020-08-17","190","545","249","202","394","122","1062","","173","75","1538","143","","592","318","254","205","504","178","280","185","273","","617","5621","1199","212","121","335","","364"
"2020-08-18","224","547","251","204","442","134","1106","","177","80","1630","148","","607","337","257","207","525","187","282","186","293","","691","5888","1257","228","130","346","","395"
"2020-08-19","234","573","253","204","449","143","1155","","184","84","1708","167","33","611","342","262","216","526","212","286","190","305","33","757","6208","1301","255","135","348","","403"
"2020-08-20","249","582","257","208","455","151","1171","","222","97","1936","175","","641","361","275","230","547","242","292","198","325","","793","6549","1358","292","152","382","","423"
"2020-08-21","256","591","259","211","481","157","1194","","229","117","2024","189","","685","367","280","241","555","267","300","199","329","33","839","6885","1425","345","154","384","","473"
"2020-08-22","265","601","259","213","482","191","1233","","236","124","2088","219","","717","374","284","242","578","289","303","204","342","34","898","7120","1458","356","163","415","","485"
"2020-08-23","278","627","259","221","499","241","1268","","238","125","2117","224","34","768","384","","249","604","302","319","206","347","35","973","7360","1499","360","169","421","","499"
"2020-08-24","294","639","262","226","554","326","1302","","242","140","2256","232","35","805","390","293","303","613","304","337","225","358","37","1104","7658","1559","399","189","432","","532"
"2020-08-25","298","675","263","227","602","351","1406","","312","166","2328","239","36","810","392","304","316","623","305","375","226","374","42","1224","8113","1644","427","213","472","","570"
"2020-08-26","311","689","266","247","625","380","1431","","318","186","2442","239","37","822","395","313","323","632","314","412","238","395","46","1321","8731","1691","434","224","492","","588"
"2020-08-27","317","727","272","285","692","402","1486","","347","201","2703","241","40","860","400","328","326","651","333","438","254","400","48","1400","9224","1744","451","246","542","","622"
"2020-08-28","331","759","278","319","732","417","1529","","349","221","2808","248","","925","412","340","331","670","349","482","282","418","50","1471","9672","1805","470","255","604","","658"
"2020-08-29","346","775","286","345","791","438","1595","","353","265","2995","272","","966","420","361","333","690","364","516","312","441","50","1532","10302","1871","513","258","622","","686"
"2020-08-30","362","810","290","364","803","440","1697","","356","278","3069","287","","1008","433","388","334","704","367","547","316","452","52","1576","10971","1953","513","307","680","","687"
"2020-08-31","388","840","300","385","854","495","1799","","368","323","3197","","47","1115","449","399","342","730","393","572","335","476","52","1696","11329","2090","533","311","699","","691"
"2020-09-01","423","883","313","410","896","529","1903","","405","378","3440","312","48","1183","460","406","347","774","450","582","357","486","55","1799","11995","2239","536","344","728","","698"
"2020-09-02","490","924","320","422","938","564","2097","","423","437","3663","328","50","1235","482","416","363","812","466","662","378","502","68","1956","12973","2340","554","350","757","","705"
"2020-09-03","518","975","325","443","944","578","2162","","436","464","3867","397","","1403","491","440","389","869","507","736","402","537","70","2056","13685","2751","554","356","822","","732"
"2020-09-04","596","978","339","464","997","586","2432","","473","535","4133","422","","1494","538","531","408","954","520","806","413","561","79","2170","14618","2948","574","387","859","","761"
"2020-09-05","667","1068","379","487","1018","595","2627","","488","574","4466","443","55","1574","559","558","435","987","542","836","425","572","86","2393","15496","3102","587","473","889","","774"
"2020-09-06","708","1121","393","511","1104","607","2830","","536","590","4575","465","","1638","570","580","461","1012","548","961","","578","93","2560","16207","3284","618","501","915","","809"
"2020-09-07","747","1161","420","514","1113","643","3003","","546","633","4772","498","57","1748","577","595","470","1084","584","996","444","593","99","2642","16861","3474","662","547","963","","826"
"2020-09-08","801","1255","445","523","1133","741","3362","","567","682","5007","542","66","1822","602","668","498","1153","606","1044","506","618","106","2799","17649","3714","695","595","1041","","866"
"2020-09-09","823","1319","488","565","1183","743","3587","","595","717","5315","561","79","1891","634","724","516","1192","656","1047","527","677","114","2957","18655","3995","744","630","1088","","902"
"2020-09-10","862","1357","528","595","1253","799","3775","","670","754","5506","579","87","2024","642","766","561","1285","704","1130","564","699","117","3153","19520","4202","790","682","1126","","942"
"2020-09-11","940","1439","537","625","1327","840","4014","","700","819","5821","634","87","2130","682","839","587","1353","767","1176","566","733","127","3207","20460","4498","852","714","1191","","970"
"2020-09-12","992","1478","559","690","1452","896","4142","","722","910","6084","707","140","2280","694","989","645","1380","839","1260","672","758","129","3387","21224","4771","911","752","1256","","1036"
"2020-09-13","1052","1586","579","726","1464","896","4451","","765","939","6163","743","158","2344","707","991","672","1456","870","1317","731","764","133","3537","21845","5024","918","804","1280","","1068"
"2020-09-14","1124","1629","587","761","1511","985","4759","","820","1020","6587","762","191","2533","724","1155","709","1482","923","1396","781","788","139","3750","22601","5351","922","873","1366","","1090"
"2020-09-15","1209","1843","606","776","1647","1066","4991","","878","1071","6725","810","","2653","765","1324","746","1640","974","1473","856","833","141","3871","23616","5574","941","912","1489","","1148"
"2020-09-16","1287","1949","632","813","1647","","5284","","","1117","7007","860","212","2861","781","1420","799","1728","1000","1548","857","856","141","4165","24333","5972","969","980","1568","","1228"
"2020-09-17","1399","2094","659","884","1872","1089","5531","","954","1283","7329","940","232","2961","802","1467","843","1810","1074","1620","922","932","142","4494","25442","6030","1043","1025","1619","","1275"
"2020-09-18","1489","2156","674","940","2035","1234","5833","","1087","1401","7765","978","267","3295","832","1532","890","1995","1117","1623","973","1023","143","4662","26114","6339","1106","1087","1681","","1338"
"2020-09-19","1587","2181","704","961","2071","1234","5930","","1193","1517","8088","1031","","3352","832","1547","890","2032","1134","1807","1033","1056","147","4778","26894","6535","1216","1118","1753","","1338"
"2020-09-20","1694","2183","734","1001","2096","1234","6019","","1267","1555","8345","1043","","3404","832","1562","890","2058","1137","1866","1034","1063","","4827","27706","6588","1216","1152","1810","","1445"
"2020-09-21","1766","2340","749","1018","2205","1280","6103","","1279","1633","8592","1056","267","3496","848","1606","922","2073","1151","1912","1035","1118","149","4905","28185","6692","1216","1217","1858","","1502"
"2020-09-22","1836","2465","754","1039","2264","1280","6186","","1357","1710","9010","1077","267","3522","896","1610","922","2119","1152","2017","1102","1142","151","5102","29143","6732","1302","1253","1937","","1562"
"2020-09-23","1919","2467","807","1088","2451","1331","6238","","1475","1822","9302","1119","269","3557","913","1654","938","2132","1153","2064","1128","1164","154","5153","29891","6894","1372","1301","1997","","1590"
"2020-09-24","1964","2558","838","1134","2567","1381","6482","","1644","1935","9503","1163","277","3608","913","1699","974","2182","1154","2108","1194","1176","154","5164","30301","7007","1418","1334","2065","","1718"
"2020-09-25","2026","2622","851","1216","2671","1437","6700","","1777","2016","9899","1233","283","3764","942","1751","1035","2246","1180","2160","1241","1198","156","5377","30881","7174","1455","1364","2121","","1781"
"2020-09-26","2087","2698","898","1250","2859","1474","6913","","1876","2171","10212","1295","317","3947","972","1816","1138","2493","1221","2268","1283","1238","159","5658","31772","7285","1601","1392","2252","","1908"
"2020-09-27","2155","2810","923","1283","2943","1528","7090","","1975","2230","10399","1316","321","4064","998","1867","1146","2596","1249","2315","1339","1258","162","5885","32234","7365","1606","1420","2298","","1950"
"2020-09-28","2230","2950","939","1322","3112","1621","7233","","2098","2336","10918","1373","321","4304","1048","1965","1208","2774","1317","2367","1487","1270","162","6103","32824","7516","1708","1515","2411","","2018"
"2020-09-29","2280","3008","960","1351","3156","1654","7342","","2205","2417","11120","1409","321","4484","1057","1994","1221","2881","1351","2403","1531","1289","162","6296","33280","7602","1777","1550","2509","","2037"
"2020-09-30","2347","3083","991","1388","3276","1723","7505","","2316","2474","11421","1460","","4643","1133","2045","1278","3034","1439","2454","1561","1314","","6536","33824","7745","1806","1627","2586","","2102"
"2020-10-01","2457","3136","1014","1421","3351","1754","7626","","2455","2552","11611","1497","","4887","1156","2089","1340","3150","1475","2494","1591","1342","162","6887","34182","7867","1837","1669","2662","","2160"
"2020-10-02","2538","3253","1028","1440","3434","1809","7784","","2545","2588","11973","1554","321","5087","1164","2132","1383","3329","1510","2553","1628","1361","164","7105","34577","8019","1883","1719","2714","","2187"
"2020-10-03","2610","3297","1107","1497","3557","1877","7933","","2646","2653","12207","1578","335","5261","1186","2167","1422","3533","1614","2609","1689","1394","170","7324","34885","8128","1928","1765","2763","","2257"
"2020-10-04","2650","3360","1140","1517","3637","1934","8059","","2669","2670","12326","1597","339","5400","1201","2203","1465","3672","1643","2656","1709","1405","174","7508","35192","8256","1969","1836","2846","","2283"
"2020-10-05","2705","3447","1192","1559","3746","2063","8188","","2724","2723","12592","1646","351","5582","1223","2247","1507","3846","1695","2733","1741","1430","177","7695","35462","8510","2017","1904","2924","","2368"
"2020-10-06","2777","3534","1222","1588","3930","2131","8343","","2862","2779","12745","1688","362","5901","1241","2322","1570","3989","1771","2772","1769","1462","179","7945","35839","8677","2050","1949","3011","","2477"
"2020-10-07","2837","3583","1252","1617","4085","2215","8498","","2926","2890","12937","1729","370","6131","1264","2394","1652","4203","1816","2826","1839","1480","181","8183","36230","8803","2091","2031","3062","","2606"
"2020-10-08","2927","3647","1290","1682","4196","2292","8621","","3013","2988","13097","1753","378","6484","1300","2467","1724","4368","1902","2882","1873","1495","186","8455","36536","8922","2184","2069","3119","","2754"
"2020-10-09","2998","3765","1334","1704","4363","2358","8761","","3083","3082","13322","1791","385","6761","1327","2529","1802","4612","1945","2972","1919","1510","187","8684","36872","9116","2222","2118","3197","","2843"
"2020-10-10","3051","3861","1365","1749","4493","2451","8909","","3133","3176","13434","1838","394","7029","1350","2596","1874","4869","1996","3042","1951","1518","188","8893","37200","9254","2284","2152","3245","","2955"
"2020-10-11","3150","3899","1393","1793","4634","2501","9004","","3205","3237","13506","1874","398","7157","1369","2659","1905","5128","2055","3095","1991","1520","188","9030","37431","9398","2321","2208","3295","","3020"
"2020-10-12","3263","3962","1431","1825","4777","2581","9135","","3260","3311","13669","1908","416","7479","1409","2750","1990","5329","2103","3170","2027","1556","189","9259","37655","9594","2412","2293","3373","","3113"
"2020-10-13","3343","4031","1474","1859","4878","2636","9281","","3328","3391","13887","1938","443","7674","1356","2818","2045","5531","2157","3264","2056","1565","193","9523","37994","9740","2431","2351","3467","","3204"
"2020-10-14","3429","4117","1516","1892","5012","2668","9420","","3418","3473","14002","1985","448","7931","1374","2909","2131","5803","2208","3318","2122","1578","201","9749","38250","9925","2517","2423","3594","","3275"
"2020-10-15","3493","4218","1531","1919","5138","2762","9572","","3529","3535","14171","2027","451","8143","1438","3019","2282","5996","2264","3383","2149","1618","203","10001","38514","10063","2567","2498","3664","","3359"
"2020-10-16","3520","4316","1579","1932","5259","2861","9714","","3611","3624","14303","2045","458","8347","1466","3079","2372","6206","2319","3474","2195","1633","","10242","38758","10176","2619","2558","3700","","3410"
"2020-10-17","3588","4359","1628","1970","5385","2910","9865","","3695","3707","14467","2084","463","8583","1507","3122","2486","6369","2359","3565","2233","1665","203","10466","38940","10343","2646","2609","3788","","3489"
"2020-10-18","3659","4435","1807","1989","5441","2953","9957","","3730","3777","14534","2106","491","8701","1561","3152","2501","6528","2397","3621","2255","1668","206","10642","39084","10462","2696","2655","3827","","3553"
"2020-10-19","3745","4539","1853","2025","5535","3010","10152","","3813","3863","14725","2124","503","8901","1616","3186","2550","6636","2467","3688","2321","1676","211","10814","39280","10543","2738","2744","3869","","3637"
"2020-10-20","3840","4605","1873","2048","5642","3076","10289","","3883","3945","14845","2130","527","9146","1670","3232","2626","6923","2503","3735","2354","1685","212","11096","39460","10692","2777","2812","3934","","3711"
"2020-10-21","3911","4661","1891","2095","5725","3103","10441","","3966","4051","14980","2152","534","9353","1721","3278","2666","7061","2557","3835","2393","1698","212","11343","39669","10830","2808","2919","3972","","3806"
"2020-10-22","4009","4744","1939","2132","5818","3139","10715","","4068","4139","15102","2188","550","9477","1741","3324","2723","7269","2605","3916","2454","1716","221","11582","39909","10927","2862","2960","4019","","3874"
"2020-10-23","4071","4829","1982","2174","5911","3184","10829","","4149","4208","15299","2245","555","9703","1787","3376","2792","7494","2663","3993","2519","1723","224","11764","40111","11047","2897","3020","4074","","3949"
"2020-10-24","4122","4864","1989","2196","6013","3216","10997","","4212","4258","15439","2285","561","9863","1799","3418","2869","7698","2703","4024","2550","1730","228","11939","40280","11166","2931","3070","4143","","4020"
"2020-10-25","4160","4886","1998","2212","6079","3233","11140","","4276","4336","15528","2303","564","9962","1805","3439","2889","7822","2712","4049","2566","1753","232","12026","40424","11223","2972","3107","4188","","4067"
"2020-10-26","4224","4935","2015","2252","6135","3273","11251","","4326","4386","15539","2325","567","10134","1818","3493","2964","7928","2733","4095","2616","1758","233","12176","40523","11344","3050","3166","4217","","4124"
"2020-10-27","4279","5018","2028","2298","6167","3305","11324","","4384","4454","15646","2362","572","10318","1836","3540","3016","8151","2773","4145","2636","1762","241","12382","40700","11493","3103","3232","4257","","4224"
"2020-10-28","4362","5068","2050","2347","6210","3321","11458","","4429","4529","15725","2392","574","10520","1862","3596","3086","8215","2812","4210","2686","1764","243","12617","40885","11608","3159","3267","4317","","4263"
