"date","Kerala/Alappuzha","Kerala/Ernakulam","Kerala/Idukki","Kerala/KAsaragod","Kerala/Kannur","Kerala/Kasaragod","Kerala/Kollam","Kerala/Kottayam","Kerala/Kozhikode","Kerala/Malappuram","Kerala/Other State","Kerala/Palakkad","Kerala/Pathanamthitta","Kerala/Thiruvananthapuram","Kerala/Thrissur","Kerala/Wayanad","Kerala/Will add when bulletin is released","Kerala/idukki"
"2020-08-08","7","15","2","","10","11","8","1","13","8","","2","1","18","9","1","",""
"2020-08-09","7","16","2","","10","12","8","1","13","8","","2","1","18","9","1","",""
"2020-08-10","7","17","2","","10","13","9","1","14","9","","2","1","19","9","2","",""
"2020-08-11","7","18","2","","11","13","9","1","14","9","","2","1","22","9","2","",""
"2020-08-12","7","19","3","","11","15","9","2","14","9","","2","1","23","9","2","",""
"2020-08-13","7","19","3","","11","15","9","2","15","10","","2","1","24","9","2","",""
"2020-08-14","7","21","3","","11","15","9","2","15","11","","2","1","30","10","2","",""
"2020-08-15","7","23","3","","11","16","10","2","15","11","","2","1","33","10","2","",""
"2020-08-16","7","25","3","","16","16","11","2","15","11","","2","2","34","10","2","",""
"2020-08-17","9","25","3","","17","21","11","2","16","12","","2","2","37","10","2","",""
"2020-08-18","9","25","3","","17","21","11","2","18","12","","3","2","39","10","3","",""
"2020-08-19","9","28","3","","17","21","12","2","18","12","","3","3","41","10","3","",""
"2020-08-20","9","28","3","","17","21","12","2","19","12","","3","3","49","10","3","",""
"2020-08-21","10","29","3","","18","21","12","2","24","16","","3","3","49","10","3","",""
"2020-08-22","10","31","3","","19","21","12","2","24","17","","3","3","58","12","3","",""
"2020-08-23","11","31","3","","19","21","13","2","25","17","","3","3","60","12","3","",""
"2020-08-24","11","32","3","","19","24","15","3","25","18","","3","3","63","12","3","",""
"2020-08-25","13","32","3","","19","24","17","3","26","20","","3","3","65","12","4","",""
"2020-08-26","13","32","3","","20","24","17","3","26","20","","3","3","77","12","4","",""
"2020-08-27","14","32","3","","23","24","17","3","27","20","","3","3","81","13","4","",""
"2020-08-28","14","32","3","","24","24","17","3","27","22","","3","3","85","13","4","",""
"2020-08-29","14","32","3","","25","25","18","3","28","23","","3","3","85","13","5","",""
"2020-08-30","14","32","3","","27","26","18","3","29","23","","3","3","87","14","5","",""
"2020-08-31","14","32","3","","27","26","19","3","31","23","","3","3","91","14","5","",""
"2020-09-01","14","33","3","","27","28","19","3","31","23","","3","3","92","14","5","",""
"2020-09-02","14","36","3","","27","29","19","3","31","23","","3","3","95","14","5","",""
"2020-09-03","14","37","3","","28","29","19","3","31","23","","4","3","102","14","5","",""
"2020-09-04","14","37","3","","30","30","20","3","31","25","","4","3","105","16","5","",""
"2020-09-05","14","37","3","","31","31","24","3","31","25","","4","3","109","17","5","",""
"2020-09-06","15","37","3","","32","32","25","3","33","25","","4","3","113","17","5","",""
"2020-09-07","15","38","3","","32","32","26","3","36","25","","4","3","119","18","5","",""
"2020-09-08","15","41","3","","35","32","26","3","38","25","","4","3","123","19","5","",""
"2020-09-09","15","43","3","","35","36","26","3","38","25","","4","3","129","19","5","",""
"2020-09-10","16","43","3","","35","37","26","3","38","32","","4","3","131","20","5","",""
"2020-09-11","18","45","3","","36","37","26","3","39","33","","5","3","134","23","5","",""
"2020-09-12","18","46","3","","36","37","26","3","42","34","","7","3","140","25","5","",""
"2020-09-13","18","48","3","","36","37","28","3","42","34","","8","3","148","26","5","",""
"2020-09-14","18","49","3","","36","38","31","3","43","37","","11","3","151","26","5","",""
"2020-09-15","18","50","3","","36","38","31","3","44","38","","12","3","156","29","5","",""
"2020-09-16","18","50","3","","37","38","32","3","47","40","","18","3","157","29","5","",""
