"date","Arunachal Pradesh/Anjaw","Arunachal Pradesh/Changlang","Arunachal Pradesh/East Kameng","Arunachal Pradesh/East Siang","Arunachal Pradesh/Kamle","Arunachal Pradesh/Kra Daadi","Arunachal Pradesh/Kurung Kumey","Arunachal Pradesh/Lepa Rada","Arunachal Pradesh/Lohit","Arunachal Pradesh/Longding","Arunachal Pradesh/Lower Dibang Valley","Arunachal Pradesh/Lower Siang","Arunachal Pradesh/Lower Subansiri","Arunachal Pradesh/Namsai","Arunachal Pradesh/Pakke Kessang","Arunachal Pradesh/Papum Pare","Arunachal Pradesh/Shi Yomi","Arunachal Pradesh/Siang","Arunachal Pradesh/Tawang","Arunachal Pradesh/Tirap","Arunachal Pradesh/Upper Dibang Valley","Arunachal Pradesh/Upper Siang","Arunachal Pradesh/Upper Subansiri","Arunachal Pradesh/West Kameng","Arunachal Pradesh/West Siang"
"2020-08-02","","0","-10","-7","","","","0","5","","","","","","","-30","","","","","","","","-4",""
"2020-08-03","","8","3","11","","","","","","0","","2","","","","0","","","","","","","","-2",""
"2020-08-04","","-7","-4","-10","","","","","","","","1","","","","-3","","","","","","","","2",""
"2020-08-05","","17","3","8","","","","","0","","","","","","","6","","","","0","","","","","1"
"2020-08-06","","-17","4","","","","","","2","","","","","52","","-4","","","5","-1","","","","-2","-3"
"2020-08-07","","10","26","","","","","","-4","0","","3","","-54","","5","","","-3","","","","","4",""
"2020-08-08","","-11","-14","-18","","","","","","","","0","","3","","-1","","","0","","","","","-1","11"
"2020-08-09","","","-9","2","","","","","","","","-1","","-2","","-6","","","-1","-2","","","","","-9"
"2020-08-10","","5","-9","1","","","","3","-4","","","-2","","2","","11","","","0","","","","","19",""
"2020-08-11","25","-2","0","0","","","","","10","","-1","","","","","11","","","","","","","","","13"
"2020-08-12","","-1","20","1","","","","","25","","-1","","","","","-15","","","2","","","","","","-15"
"2020-08-13","","2","-21","5","","","","","-35","0","","2","","-1","","13","","","","","","","-3","6","7"
"2020-08-14","-26","4","0","-3","","","","","0","","2","-3","","4","","-16","","","","-4","","0","0","30","-6"
"2020-08-15","","-6","1","-7","","","","","0","","-2","","","-3","","-3","","","-2","0","","0","6","-27","3"
"2020-08-16","","1","-1","1","","","","-2","","","4","","","","","5","","","2","","","","-5","-7",""
"2020-08-17","0","2","1","-1","","","","","","","","","","-1","","2","","","1","","","","","-2",""
"2020-08-18","","2","0","-1","","","","0","","","","","","0","","5","","0","-1","7","","","62","14","0"
"2020-08-19","2","-4","0","2","","","","0","","","","","","2","","4","","","-1","-3","","0","-61","-13","1"
"2020-08-20","-1","28","8","16","","","","","2","","","-1","","","","-12","-1","","0","","","","-3","11","6"
"2020-08-21","","-21","-6","-14","","","","","","","","-2","","","1","6","","","1","","","","","-10","-5"
"2020-08-22","","","0","-3","0","","","","-5","","","-1","","-3","","6","","","21","","","","23","6","-2"
"2020-08-23","-1","-4","","-1","","","","","","","","0","","","","-11","","","-23","","","","-23","-10","7"
"2020-08-24","","-5","","2","","","","0","","","","2","","","-1","0","0","","8","1","","","","6",""
"2020-08-25","","11","","13","","","","","","","","1","","","9","14","0","","-5","0","","","","-3","-4"
"2020-08-26","0","-10","","8","","","","0","","","","-3","6","-2","-3","13","","","","7","","7","0","1","-1"
"2020-08-27","0","1","-14","-21","","","","1","1","","","1","","","-6","-16","0","","","-4","","6","","5","-2"
"2020-08-28","2","0","3","5","","","","0","","","","8","","","1","19","","16","2","-3","","","","-5","2"
"2020-08-29","","-1","2","2","","","","","0","","-2","-6","","","1","2","","-16","7","6","","-10","","17","2"
"2020-08-30","","43","","-1","","","","","","","0","8","","","","-18","","18","-2","1","","-1","","-25","6"
"2020-08-31","","-38","","-5","","","","","-1","","0","-8","-1","","","3","0","","-3","-7","","","-4","7","-9"
"2020-09-01","4","2","2","2","","-1","","","0","","-1","-3","","","","21","","","-2","1","","1","","-4","-1"
"2020-09-02","","-6","","-3","","","1","18","1","1","1","0","0","1","","-12","","","9","25","","-3","","1","17"
"2020-09-03","","24","-6","3","","","","-19","0","6","8","","2","","","28","0","","-11","9","","2","-4","1","18"
"2020-09-04","","-19","","-1","","0","","1","4","-3","-1","","1","","","8","-1","","10","-35","","-2","9","9","6"
"2020-09-05","","-2","4","-3","","","2","4","-2","3","-5","","","1","","-8","0","","1","-1","","","-9","-14","-29"
"2020-09-06","","-6","","5","","","-3","-2","-1","4","","","","","","-35","0","","-13","3","","","","1","4"
"2020-09-07","","535","","334","","","7","","162","59","81","","","202","","1735","19","","211","203","","73","","406","262"
